# _root_ Some lawyers say the slump , while more obvious in recent weeks , began earlier this year .
#goldHeads=2,3,0,5,14,14,9,9,14,9,12,10,14,3,17,17,14,3,
#predictedHeads=2,3,0,5,14,5,14,9,5,9,12,10,5,3,17,17,14,3,
(0,3),(3,9),(3,14),-0.0288181 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,9),(3,15),-0.0115347 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,9),(3,17),-0.0211531 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,9),(3,18),0.0677718 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,9),(3,19),-0.0328261 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,10),(3,11),-0.0310113 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,10),(3,12),-0.00345167 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,10),(3,13),0.0311435 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,10),(3,14),-0.0473578 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,10),(3,15),0.0214715 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,10),(3,17),-0.00272041 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,10),(3,18),0.108288 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,10),(3,19),-0.0623025 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,11),(3,12),-0.020647 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,11),(3,13),-0.0672822 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,11),(3,14),-0.0288181 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,11),(3,15),-0.0115347 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,11),(3,17),-0.0211716 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,11),(3,18),0.0677694 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,11),(3,19),-0.0328261 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,12),(3,13),-0.0675942 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,12),(3,14),-0.00203505 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,12),(3,15),-0.0440207 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,12),(3,17),0.0340324 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,12),(3,18),0.0466609 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,12),(3,19),-0.0753363 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,13),(3,14),-0.0299966 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,13),(3,15),0.0119293 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,13),(3,17),-0.0997793 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,13),(3,18),-0.0164541 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,13),(3,19),-0.0562055 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,14),(3,15),-0.0103469 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,14),(3,17),-0.00226521 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,14),(3,18),-0.0150205 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,14),(3,19),-0.0596582 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,15),(3,17),0.00543584 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,15),(3,18),0.0782568 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,15),(3,19),-0.0304661 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,17),(3,18),0.0479652 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,17),(3,19),-0.0753538 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,18),(3,19),0.194711 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,3),(3,2),0.324323 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,1),0.255556 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,-1),-0.635233 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,3),(3,2),(3,1),0.0804699 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,2),(3,-1),0.0665352 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,1),(3,-1),-0.108296 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,14),(14,15),-0.00579276 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,16),-0.00512733 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,17),-0.028618 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,18),-0.111076 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,19),-0.195809 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,14),(14,15),(14,16),-0.0019478 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,15),(14,17),0.00482773 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,15),(14,18),0.0754806 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,15),(14,19),-0.0304645 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,16),(14,17),0.00206649 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,16),(14,18),-0.0193363 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,16),(14,19),-0.0273276 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,17),(14,18),0.0561361 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,17),(14,19),-0.0753538 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,18),(14,19),0.178067 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,14),(14,13),0.119563 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,12),0.322506 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,11),0.218674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,10),0.159507 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,9),0.218675 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,8),0.189944 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,7),0.164228 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,6),0.119563 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,5),0.322873 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,4),0.231522 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,3),0.0437842 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,2),0.323142 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,1),0.251594 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,-1),-0.633935 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,14),(14,13),(14,12),0.106641 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,13),(14,11),0.139946 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,13),(14,10),0.316476 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,13),(14,9),0.139948 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,13),(14,8),0.147484 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,13),(14,7),0.30417 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,13),(14,6),0.072063 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,13),(14,5),0.107658 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,13),(14,4),0.119908 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,13),(14,3),0.0823286 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,13),(14,2),0.107571 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,13),(14,1),0.119946 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,13),(14,-1),-0.349673 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,12),(14,11),0.0905629 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,12),(14,10),-0.0382453 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,12),(14,9),0.0905629 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,12),(14,8),0.114007 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,12),(14,7),-0.0887228 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,12),(14,6),0.286044 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,12),(14,5),0.107402 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,12),(14,4),0.0802399 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,12),(14,3),0.130601 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,12),(14,2),0.107334 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,12),(14,1),0.0805193 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,12),(14,-1),0.0696009 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,11),(14,10),0.106202 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,11),(14,9),0.109358 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,11),(14,8),0.10618 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,11),(14,7),0.106106 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,11),(14,6),0.138326 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,11),(14,5),0.0991657 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,11),(14,4),0.106852 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,11),(14,3),0.111984 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,11),(14,2),0.0991657 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,11),(14,1),0.107569 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,11),(14,-1),-0.0625876 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,10),(14,9),0.101293 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,10),(14,8),0.0488306 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,10),(14,7),0.1198 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,10),(14,6),0.122392 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,10),(14,5),0.170576 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,10),(14,4),0.109262 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,10),(14,3),0.100038 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,10),(14,2),0.170576 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,10),(14,1),0.109142 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,10),(14,-1),-0.197719 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,9),(14,8),0.10618 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,9),(14,7),0.106108 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,9),(14,6),0.138326 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,9),(14,5),0.0991657 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,9),(14,4),0.106852 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,9),(14,3),0.111984 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,9),(14,2),0.0991657 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,9),(14,1),0.107569 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,9),(14,-1),-0.0625869 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,8),(14,7),0.105085 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,8),(14,6),0.103967 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,8),(14,5),0.163761 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,8),(14,4),0.124452 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,8),(14,3),0.102733 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,8),(14,2),0.16503 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,8),(14,1),0.131212 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,8),(14,-1),-0.186774 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,7),(14,6),0.112062 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,7),(14,5),0.162825 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,7),(14,4),0.109269 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,7),(14,3),0.100785 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,7),(14,2),0.162825 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,7),(14,1),0.109149 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,7),(14,-1),-0.259584 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,6),(14,5),0.107658 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,6),(14,4),0.119908 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,6),(14,3),0.0823286 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,6),(14,2),0.107571 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,6),(14,1),0.119946 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,6),(14,-1),-0.349673 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,5),(14,4),0.0802399 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,5),(14,3),0.130601 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,5),(14,2),0.107334 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,5),(14,1),0.0805193 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,5),(14,-1),0.0700207 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,4),(14,3),0.109893 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,4),(14,2),0.113404 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,4),(14,1),0.107611 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,4),(14,-1),-0.129852 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,3),(14,2),0.0536342 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,3),(14,1),0.0858398 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,3),(14,-1),-0.064918 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,2),(14,1),0.0804779 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,2),(14,-1),0.0697674 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,1),(14,-1),-0.109168 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,2),(2,3),-0.0218627 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,2),(2,2),(2,5),-0.0220901 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,2),(2,2),(2,6),-0.0198951 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,2),(2,2),(2,8),-0.0195768 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,2),(2,2),(2,9),-0.0194551 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,2),(2,2),(2,10),-0.0148001 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,2),(2,2),(2,12),-0.0220901 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,2),(2,2),(2,13),-0.0198951 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,2),(2,2),(2,14),-0.0216282 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,2),(2,2),(2,17),-0.0220901 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,2),(2,2),(2,18),-0.0204647 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,2),(2,2),(2,19),-0.0473454 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,2),(2,3),(2,5),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,3),(2,6),-0.0194724 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,3),(2,8),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,3),(2,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,3),(2,10),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,3),(2,12),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,3),(2,13),-0.0194724 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,3),(2,14),-0.019448 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,3),(2,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,3),(2,18),-0.0194417 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,3),(2,19),-0.0220393 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,5),(2,6),-0.0194409 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,5),(2,8),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,5),(2,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,5),(2,10),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,5),(2,12),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,5),(2,13),-0.0194409 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,5),(2,14),-0.0194439 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,5),(2,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,5),(2,18),-0.0196028 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,5),(2,19),-0.0219047 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,6),(2,8),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,6),(2,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,6),(2,10),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,6),(2,12),-0.0196556 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,6),(2,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,6),(2,14),-0.0194591 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,6),(2,17),-0.0196556 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,6),(2,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,6),(2,19),-0.0194465 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,8),(2,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,8),(2,10),-0.019447 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,8),(2,12),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,8),(2,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,8),(2,14),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,8),(2,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,8),(2,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,8),(2,19),-0.0195505 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,9),(2,10),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,9),(2,12),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,9),(2,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,9),(2,14),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,9),(2,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,9),(2,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,9),(2,19),-0.0194551 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,10),(2,12),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,10),(2,13),-0.019443 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,10),(2,14),-0.0194443 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,10),(2,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,10),(2,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,10),(2,19),-0.0148801 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,12),(2,13),-0.0194409 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,12),(2,14),-0.0194439 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,12),(2,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,12),(2,18),-0.0196028 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,12),(2,19),-0.0219047 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,13),(2,14),-0.0194591 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,13),(2,17),-0.0196556 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,13),(2,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,13),(2,19),-0.0194465 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,14),(2,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,14),(2,18),-0.0194417 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,14),(2,19),-0.0218048 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,17),(2,18),-0.0196028 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,17),(2,19),-0.0219344 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,18),(2,19),-0.0207106 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,2),(2,1),0.105387 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,2),(2,2),(2,-1),-0.167516 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,2),(2,1),(2,-1),-0.148855 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,3),(3,3),(3,4),-0.019634 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,5),-0.0624837 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,6),-0.020134 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,7),-0.0121971 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,8),-0.0217731 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,9),-0.0179825 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,10),-0.00561748 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,11),-0.0179825 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,12),-0.0624837 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,13),-0.020134 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,14),-0.00302465 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,15),-0.0217731 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,17),-0.0624837 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,19),0.0148973 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,3),(3,4),(3,5),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,6),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,7),-0.019449 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,8),-0.019443 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,10),-0.019449 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,11),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,12),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,14),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,15),-0.019443 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,19),-0.0196163 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,5),(3,6),-0.0214236 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,5),(3,7),-0.0224943 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,5),(3,8),-0.0194669 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,5),(3,9),-0.0197223 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,5),(3,10),-0.0225203 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,5),(3,11),-0.0197223 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,5),(3,12),-0.0200982 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,5),(3,13),-0.0214236 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,5),(3,14),-0.0201052 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,5),(3,15),-0.0194669 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,5),(3,17),-0.0207558 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,5),(3,18),-0.0197135 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,5),(3,19),-0.0412493 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,6),(3,7),-0.0205806 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,6),(3,8),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,6),(3,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,6),(3,10),-0.0205806 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,6),(3,11),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,6),(3,12),-0.019452 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,6),(3,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,6),(3,14),-0.022552 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,6),(3,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,6),(3,17),-0.019452 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,6),(3,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,6),(3,19),-0.0196615 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,7),(3,8),-0.0176154 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,7),(3,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,7),(3,10),-0.0127312 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,7),(3,11),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,7),(3,12),-0.0195089 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,7),(3,13),-0.0203271 # DEPENDENCYPART_GRANDSIBL
