# _root_ Also , a cockpit warning system failed to alert the pilots the flaps and slats were not set for takeoff , the NTSB said .
#goldHeads=24,24,6,6,6,7,24,9,7,11,9,14,14,16,14,9,16,16,18,19,24,23,24,0,24,
#predictedHeads=24,7,6,6,6,7,24,9,7,11,9,14,14,16,14,24,16,16,18,19,24,23,24,0,24,
(14,9),(9,24),-0.947587 # DEPENDENCYPART_GRANDPAR
(14,9),(9,25),-1.30579 # DEPENDENCYPART_GRANDPAR
(14,10),(10,9),0.0165819 # DEPENDENCYPART_GRANDPAR
(14,10),(10,11),0.0744475 # DEPENDENCYPART_GRANDPAR
(14,11),(11,3),0.0568145 # DEPENDENCYPART_GRANDPAR
(14,11),(11,5),-0.2 # DEPENDENCYPART_GRANDPAR
(14,11),(11,6),0.307839 # DEPENDENCYPART_GRANDPAR
(14,11),(11,7),-0.104975 # DEPENDENCYPART_GRANDPAR
(14,11),(11,8),-0.0646556 # DEPENDENCYPART_GRANDPAR
(14,11),(11,9),0.0366853 # DEPENDENCYPART_GRANDPAR
(14,11),(11,10),-0.147262 # DEPENDENCYPART_GRANDPAR
(14,11),(11,12),-0.134606 # DEPENDENCYPART_GRANDPAR
(14,11),(11,13),0.210634 # DEPENDENCYPART_GRANDPAR
(14,11),(11,14),-1.30962 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,11),(11,15),-0.157686 # DEPENDENCYPART_GRANDPAR
(14,11),(11,16),-0.292885 # DEPENDENCYPART_GRANDPAR
(14,11),(11,17),-0.254303 # DEPENDENCYPART_GRANDPAR
(14,11),(11,18),-0.481943 # DEPENDENCYPART_GRANDPAR
(14,11),(11,19),-0.29028 # DEPENDENCYPART_GRANDPAR
(14,11),(11,20),-0.368926 # DEPENDENCYPART_GRANDPAR
(14,11),(11,21),-0.643853 # DEPENDENCYPART_GRANDPAR
(14,12),(12,13),-0.0377464 # DEPENDENCYPART_GRANDPAR
(14,13),(13,10),-0.105919 # DEPENDENCYPART_GRANDPAR
(14,13),(13,11),0.314058 # DEPENDENCYPART_GRANDPAR
(14,13),(13,12),-0.201942 # DEPENDENCYPART_GRANDPAR
(14,13),(13,15),-0.163625 # DEPENDENCYPART_GRANDPAR
(14,13),(13,16),-0.292885 # DEPENDENCYPART_GRANDPAR
(14,15),(15,10),-0.632441 # DEPENDENCYPART_GRANDPAR
(14,15),(15,11),-0.227506 # DEPENDENCYPART_GRANDPAR
(14,15),(15,12),-0.728464 # DEPENDENCYPART_GRANDPAR
(14,15),(15,13),-0.338788 # DEPENDENCYPART_GRANDPAR
(14,15),(15,14),-0.591517 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,15),(15,16),0.231414 # DEPENDENCYPART_GRANDPAR
(14,15),(15,19),0.0760438 # DEPENDENCYPART_GRANDPAR
(14,16),(16,1),-0.45579 # DEPENDENCYPART_GRANDPAR
(14,16),(16,2),-0.213956 # DEPENDENCYPART_GRANDPAR
(14,16),(16,3),-0.382363 # DEPENDENCYPART_GRANDPAR
(14,16),(16,4),-0.25535 # DEPENDENCYPART_GRANDPAR
(14,16),(16,5),-0.802588 # DEPENDENCYPART_GRANDPAR
(14,16),(16,6),-0.328384 # DEPENDENCYPART_GRANDPAR
(14,16),(16,7),-0.71242 # DEPENDENCYPART_GRANDPAR
(14,16),(16,8),-0.7163 # DEPENDENCYPART_GRANDPAR
(14,16),(16,9),-0.574516 # DEPENDENCYPART_GRANDPAR
(14,16),(16,10),-0.679222 # DEPENDENCYPART_GRANDPAR
(14,16),(16,11),-0.344733 # DEPENDENCYPART_GRANDPAR
(14,16),(16,12),-0.775246 # DEPENDENCYPART_GRANDPAR
(14,16),(16,13),-0.456089 # DEPENDENCYPART_GRANDPAR
(14,16),(16,14),-0.603278 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,16),(16,15),0.236401 # DEPENDENCYPART_GRANDPAR
(14,16),(16,17),0.289209 # DEPENDENCYPART_GRANDPAR
(14,16),(16,18),0.0988517 # DEPENDENCYPART_GRANDPAR
(14,16),(16,19),0.167699 # DEPENDENCYPART_GRANDPAR
(14,16),(16,20),0.171213 # DEPENDENCYPART_GRANDPAR
(14,16),(16,21),0.0391677 # DEPENDENCYPART_GRANDPAR
(14,16),(16,24),-0.227662 # DEPENDENCYPART_GRANDPAR
(14,16),(16,25),-0.784785 # DEPENDENCYPART_GRANDPAR
(14,17),(17,15),0.207701 # DEPENDENCYPART_GRANDPAR
(14,17),(17,18),-0.0786082 # DEPENDENCYPART_GRANDPAR
(14,17),(17,19),0.0526779 # DEPENDENCYPART_GRANDPAR
(14,17),(17,20),-0.0160973 # DEPENDENCYPART_GRANDPAR
(14,17),(17,24),-0.416496 # DEPENDENCYPART_GRANDPAR
(14,18),(18,2),-0.210139 # DEPENDENCYPART_GRANDPAR
(14,18),(18,4),-0.247956 # DEPENDENCYPART_GRANDPAR
(14,18),(18,6),-0.32099 # DEPENDENCYPART_GRANDPAR
(14,18),(18,7),-0.71024 # DEPENDENCYPART_GRANDPAR
(14,18),(18,11),-0.337339 # DEPENDENCYPART_GRANDPAR
(14,18),(18,12),-0.771129 # DEPENDENCYPART_GRANDPAR
(14,18),(18,13),-0.448696 # DEPENDENCYPART_GRANDPAR
(14,18),(18,14),-0.637013 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,18),(18,15),0.226968 # DEPENDENCYPART_GRANDPAR
(14,18),(18,16),0.336073 # DEPENDENCYPART_GRANDPAR
(14,18),(18,17),0.231219 # DEPENDENCYPART_GRANDPAR
(14,18),(18,19),0.137195 # DEPENDENCYPART_GRANDPAR
(14,18),(18,20),0.117035 # DEPENDENCYPART_GRANDPAR
(14,18),(18,21),-0.0458936 # DEPENDENCYPART_GRANDPAR
(14,18),(18,23),-0.18099 # DEPENDENCYPART_GRANDPAR
(14,18),(18,24),-0.272386 # DEPENDENCYPART_GRANDPAR
(14,18),(18,25),-0.856912 # DEPENDENCYPART_GRANDPAR
(14,19),(19,17),0.148214 # DEPENDENCYPART_GRANDPAR
(14,19),(19,18),-0.0159519 # DEPENDENCYPART_GRANDPAR
(14,19),(19,20),0.189757 # DEPENDENCYPART_GRANDPAR
(14,19),(19,21),0.0957143 # DEPENDENCYPART_GRANDPAR
(14,19),(19,23),-0.108465 # DEPENDENCYPART_GRANDPAR
(14,19),(19,24),-0.290787 # DEPENDENCYPART_GRANDPAR
(14,20),(20,12),-0.728464 # DEPENDENCYPART_GRANDPAR
(14,20),(20,17),0.19101 # DEPENDENCYPART_GRANDPAR
(14,20),(20,18),0.212801 # DEPENDENCYPART_GRANDPAR
(14,20),(20,19),0.0343152 # DEPENDENCYPART_GRANDPAR
(14,20),(20,21),0.121089 # DEPENDENCYPART_GRANDPAR
(14,20),(20,22),-0.13419 # DEPENDENCYPART_GRANDPAR
(14,20),(20,23),-0.122304 # DEPENDENCYPART_GRANDPAR
(14,20),(20,24),-0.303206 # DEPENDENCYPART_GRANDPAR
(14,23),(23,20),0.172564 # DEPENDENCYPART_GRANDPAR
(14,23),(23,22),-0.0673168 # DEPENDENCYPART_GRANDPAR
(14,23),(23,24),-0.303206 # DEPENDENCYPART_GRANDPAR
(14,24),(24,1),-0.462456 # DEPENDENCYPART_GRANDPAR
(14,24),(24,2),-0.221618 # DEPENDENCYPART_GRANDPAR
(14,24),(24,4),-0.263032 # DEPENDENCYPART_GRANDPAR
(14,24),(24,5),-0.817834 # DEPENDENCYPART_GRANDPAR
(14,24),(24,6),-0.336067 # DEPENDENCYPART_GRANDPAR
(14,24),(24,7),-0.727666 # DEPENDENCYPART_GRANDPAR
(14,24),(24,9),-0.589762 # DEPENDENCYPART_GRANDPAR
(14,24),(24,11),-0.352416 # DEPENDENCYPART_GRANDPAR
(14,24),(24,12),-0.78238 # DEPENDENCYPART_GRANDPAR
(14,24),(24,13),-0.463772 # DEPENDENCYPART_GRANDPAR
(14,24),(24,14),-0.677402 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,24),(24,15),0.110561 # DEPENDENCYPART_GRANDPAR
(14,24),(24,16),0.298825 # DEPENDENCYPART_GRANDPAR
(14,24),(24,17),0.19763 # DEPENDENCYPART_GRANDPAR
(14,24),(24,18),0.0932447 # DEPENDENCYPART_GRANDPAR
(14,24),(24,19),0.0600481 # DEPENDENCYPART_GRANDPAR
(14,24),(24,20),-0.0989801 # DEPENDENCYPART_GRANDPAR
(14,24),(24,21),-0.0348715 # DEPENDENCYPART_GRANDPAR
(14,24),(24,22),-0.304333 # DEPENDENCYPART_GRANDPAR
(14,24),(24,23),-0.395975 # DEPENDENCYPART_GRANDPAR
(14,24),(24,25),-0.647501 # DEPENDENCYPART_GRANDPAR
(15,10),(10,9),-1.07658 # DEPENDENCYPART_GRANDPAR
(15,10),(10,11),-0.651209 # DEPENDENCYPART_GRANDPAR
(15,11),(11,3),-1.23394 # DEPENDENCYPART_GRANDPAR
(15,11),(11,5),-1.26893 # DEPENDENCYPART_GRANDPAR
(15,11),(11,6),-1.23849 # DEPENDENCYPART_GRANDPAR
(15,11),(11,7),-1.15335 # DEPENDENCYPART_GRANDPAR
(15,11),(11,8),-0.886966 # DEPENDENCYPART_GRANDPAR
(15,11),(11,9),-1.06389 # DEPENDENCYPART_GRANDPAR
(15,11),(11,10),-0.523959 # DEPENDENCYPART_GRANDPAR
(15,11),(11,12),-0.346872 # DEPENDENCYPART_GRANDPAR
(15,11),(11,13),-0.402497 # DEPENDENCYPART_GRANDPAR
(15,11),(11,14),-0.487582 # DEPENDENCYPART_GRANDPAR
(15,11),(11,15),-1.37781 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,11),(11,16),-0.750004 # DEPENDENCYPART_GRANDPAR
(15,11),(11,17),-0.77029 # DEPENDENCYPART_GRANDPAR
(15,11),(11,18),-0.752183 # DEPENDENCYPART_GRANDPAR
(15,11),(11,19),-0.691606 # DEPENDENCYPART_GRANDPAR
(15,11),(11,20),-0.873799 # DEPENDENCYPART_GRANDPAR
(15,11),(11,21),-0.674863 # DEPENDENCYPART_GRANDPAR
(15,12),(12,13),-0.508758 # DEPENDENCYPART_GRANDPAR
(15,13),(13,10),-0.527071 # DEPENDENCYPART_GRANDPAR
(15,13),(13,11),-0.506119 # DEPENDENCYPART_GRANDPAR
(15,13),(13,12),-0.555897 # DEPENDENCYPART_GRANDPAR
(15,13),(13,15),-1.38375 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,13),(13,16),-0.750004 # DEPENDENCYPART_GRANDPAR
(15,14),(14,1),-1.05364 # DEPENDENCYPART_GRANDPAR
(15,14),(14,2),-1.16159 # DEPENDENCYPART_GRANDPAR
(15,14),(14,3),-1.04744 # DEPENDENCYPART_GRANDPAR
(15,14),(14,4),-1.31064 # DEPENDENCYPART_GRANDPAR
(15,14),(14,5),-1.14458 # DEPENDENCYPART_GRANDPAR
(15,14),(14,6),-1.24948 # DEPENDENCYPART_GRANDPAR
(15,14),(14,7),-1.0217 # DEPENDENCYPART_GRANDPAR
(15,14),(14,8),-0.841027 # DEPENDENCYPART_GRANDPAR
(15,14),(14,9),-0.926041 # DEPENDENCYPART_GRANDPAR
(15,14),(14,10),-0.420815 # DEPENDENCYPART_GRANDPAR
(15,14),(14,11),-0.49761 # DEPENDENCYPART_GRANDPAR
(15,14),(14,12),-0.44964 # DEPENDENCYPART_GRANDPAR
(15,14),(14,13),-0.3623 # DEPENDENCYPART_GRANDPAR
(15,14),(14,15),-1.50921 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,14),(14,16),-0.772776 # DEPENDENCYPART_GRANDPAR
(15,14),(14,17),-0.77271 # DEPENDENCYPART_GRANDPAR
(15,14),(14,18),-0.776945 # DEPENDENCYPART_GRANDPAR
(15,14),(14,19),-0.794609 # DEPENDENCYPART_GRANDPAR
(15,14),(14,20),-1.0052 # DEPENDENCYPART_GRANDPAR
(15,14),(14,21),-0.641592 # DEPENDENCYPART_GRANDPAR
(15,14),(14,23),-1.13521 # DEPENDENCYPART_GRANDPAR
(15,14),(14,24),-1.03274 # DEPENDENCYPART_GRANDPAR
(15,14),(14,25),-1.19461 # DEPENDENCYPART_GRANDPAR
(15,16),(16,1),-1.70931 # DEPENDENCYPART_GRANDPAR
(15,16),(16,2),-1.77314 # DEPENDENCYPART_GRANDPAR
(15,16),(16,3),-1.59681 # DEPENDENCYPART_GRANDPAR
(15,16),(16,4),-2.02088 # DEPENDENCYPART_GRANDPAR
(15,16),(16,5),-1.83196 # DEPENDENCYPART_GRANDPAR
(15,16),(16,6),-1.95348 # DEPENDENCYPART_GRANDPAR
(15,16),(16,7),-1.72936 # DEPENDENCYPART_GRANDPAR
(15,16),(16,8),-1.48452 # DEPENDENCYPART_GRANDPAR
(15,16),(16,9),-1.64042 # DEPENDENCYPART_GRANDPAR
(15,16),(16,10),-0.989024 # DEPENDENCYPART_GRANDPAR
(15,16),(16,11),-1.22248 # DEPENDENCYPART_GRANDPAR
(15,16),(16,12),-1.01785 # DEPENDENCYPART_GRANDPAR
(15,16),(16,13),-1.07769 # DEPENDENCYPART_GRANDPAR
(15,16),(16,14),-1.20621 # DEPENDENCYPART_GRANDPAR
(15,16),(16,15),-0.956713 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,16),(16,17),-0.28363 # DEPENDENCYPART_GRANDPAR
(15,16),(16,18),-0.276416 # DEPENDENCYPART_GRANDPAR
(15,16),(16,19),-0.171966 # DEPENDENCYPART_GRANDPAR
(15,16),(16,20),-0.31646 # DEPENDENCYPART_GRANDPAR
(15,16),(16,21),-0.145863 # DEPENDENCYPART_GRANDPAR
(15,16),(16,24),-0.534836 # DEPENDENCYPART_GRANDPAR
(15,16),(16,25),-0.778594 # DEPENDENCYPART_GRANDPAR
(15,19),(19,17),-0.250151 # DEPENDENCYPART_GRANDPAR
(15,19),(19,18),-0.139504 # DEPENDENCYPART_GRANDPAR
(15,19),(19,20),-0.248332 # DEPENDENCYPART_GRANDPAR
(15,19),(19,21),-0.0643174 # DEPENDENCYPART_GRANDPAR
(15,19),(19,23),-0.380482 # DEPENDENCYPART_GRANDPAR
(15,19),(19,24),-0.423361 # DEPENDENCYPART_GRANDPAR
(16,1),(1,2),0.114176 # DEPENDENCYPART_GRANDPAR
(16,1),(1,3),-0.138395 # DEPENDENCYPART_GRANDPAR
(16,1),(1,4),0.0487036 # DEPENDENCYPART_GRANDPAR
(16,1),(1,6),0.0651661 # DEPENDENCYPART_GRANDPAR
(16,1),(1,7),-0.194198 # DEPENDENCYPART_GRANDPAR
(16,2),(2,1),-0.0183821 # DEPENDENCYPART_GRANDPAR
(16,3),(3,2),0.103082 # DEPENDENCYPART_GRANDPAR
(16,3),(3,4),0.0807661 # DEPENDENCYPART_GRANDPAR
(16,3),(3,5),0.0183446 # DEPENDENCYPART_GRANDPAR
(16,4),(4,1),0.0743979 # DEPENDENCYPART_GRANDPAR
(16,4),(4,3),-0.132605 # DEPENDENCYPART_GRANDPAR
(16,4),(4,5),0.109897 # DEPENDENCYPART_GRANDPAR
(16,4),(4,6),0.0798291 # DEPENDENCYPART_GRANDPAR
(16,4),(4,7),0.0021449 # DEPENDENCYPART_GRANDPAR
(16,4),(4,8),0.0768835 # DEPENDENCYPART_GRANDPAR
(16,4),(4,9),0.146298 # DEPENDENCYPART_GRANDPAR
(16,4),(4,12),0.516703 # DEPENDENCYPART_GRANDPAR
(16,4),(4,14),0.343022 # DEPENDENCYPART_GRANDPAR
(16,5),(5,2),0.264437 # DEPENDENCYPART_GRANDPAR
(16,5),(5,4),0.155476 # DEPENDENCYPART_GRANDPAR
(16,5),(5,6),-0.00278101 # DEPENDENCYPART_GRANDPAR
(16,5),(5,7),-0.207606 # DEPENDENCYPART_GRANDPAR
(16,5),(5,8),0.152579 # DEPENDENCYPART_GRANDPAR
(16,5),(5,9),-0.0641188 # DEPENDENCYPART_GRANDPAR
(16,5),(5,14),0.0442636 # DEPENDENCYPART_GRANDPAR
(16,5),(5,16),-0.813745 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,5),(5,17),0.0762067 # DEPENDENCYPART_GRANDPAR
(16,5),(5,18),-0.0421308 # DEPENDENCYPART_GRANDPAR
(16,5),(5,21),0.0696274 # DEPENDENCYPART_GRANDPAR
(16,5),(5,25),-0.664741 # DEPENDENCYPART_GRANDPAR
(16,6),(6,1),0.0972218 # DEPENDENCYPART_GRANDPAR
(16,6),(6,2),0.190871 # DEPENDENCYPART_GRANDPAR
(16,6),(6,3),-0.0887207 # DEPENDENCYPART_GRANDPAR
(16,6),(6,4),0.111399 # DEPENDENCYPART_GRANDPAR
(16,6),(6,5),-0.0285074 # DEPENDENCYPART_GRANDPAR
(16,6),(6,7),0.045802 # DEPENDENCYPART_GRANDPAR
(16,6),(6,8),0.0969114 # DEPENDENCYPART_GRANDPAR
(16,6),(6,9),0.189953 # DEPENDENCYPART_GRANDPAR
(16,7),(7,1),0.0965686 # DEPENDENCYPART_GRANDPAR
(16,7),(7,2),0.280536 # DEPENDENCYPART_GRANDPAR
(16,7),(7,3),-0.105216 # DEPENDENCYPART_GRANDPAR
(16,7),(7,4),0.174869 # DEPENDENCYPART_GRANDPAR
(16,7),(7,5),-0.108359 # DEPENDENCYPART_GRANDPAR
(16,7),(7,6),0.175278 # DEPENDENCYPART_GRANDPAR
(16,7),(7,8),0.157061 # DEPENDENCYPART_GRANDPAR
(16,7),(7,9),-0.0523852 # DEPENDENCYPART_GRANDPAR
(16,7),(7,11),0.245271 # DEPENDENCYPART_GRANDPAR
(16,7),(7,13),0.429936 # DEPENDENCYPART_GRANDPAR
(16,7),(7,14),0.0524568 # DEPENDENCYPART_GRANDPAR
(16,7),(7,16),-0.813096 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,7),(7,17),0.0768595 # DEPENDENCYPART_GRANDPAR
(16,7),(7,18),-0.0414814 # DEPENDENCYPART_GRANDPAR
(16,7),(7,19),0.0245991 # DEPENDENCYPART_GRANDPAR
(16,7),(7,21),0.0702802 # DEPENDENCYPART_GRANDPAR
(16,7),(7,24),-0.229142 # DEPENDENCYPART_GRANDPAR
(16,7),(7,25),-0.664089 # DEPENDENCYPART_GRANDPAR
(16,8),(8,9),-0.0294506 # DEPENDENCYPART_GRANDPAR
(16,8),(8,11),0.293768 # DEPENDENCYPART_GRANDPAR
(16,8),(8,13),0.474915 # DEPENDENCYPART_GRANDPAR
(16,8),(8,14),0.131206 # DEPENDENCYPART_GRANDPAR
(16,9),(9,1),0.0954725 # DEPENDENCYPART_GRANDPAR
(16,9),(9,2),0.270193 # DEPENDENCYPART_GRANDPAR
(16,9),(9,4),0.171789 # DEPENDENCYPART_GRANDPAR
(16,9),(9,6),0.172198 # DEPENDENCYPART_GRANDPAR
(16,9),(9,8),0.212698 # DEPENDENCYPART_GRANDPAR
(16,9),(9,10),-0.0336446 # DEPENDENCYPART_GRANDPAR
(16,9),(9,11),0.232079 # DEPENDENCYPART_GRANDPAR
(16,9),(9,12),0.245175 # DEPENDENCYPART_GRANDPAR
(16,9),(9,13),0.412349 # DEPENDENCYPART_GRANDPAR
(16,9),(9,14),0.0409778 # DEPENDENCYPART_GRANDPAR
(16,9),(9,15),0.311103 # DEPENDENCYPART_GRANDPAR
(16,9),(9,16),-0.813741 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,9),(9,17),0.0762083 # DEPENDENCYPART_GRANDPAR
(16,9),(9,18),-0.0421261 # DEPENDENCYPART_GRANDPAR
(16,9),(9,19),0.0247689 # DEPENDENCYPART_GRANDPAR
(16,9),(9,20),-0.248009 # DEPENDENCYPART_GRANDPAR
(16,9),(9,21),0.069629 # DEPENDENCYPART_GRANDPAR
(16,9),(9,24),-0.229787 # DEPENDENCYPART_GRANDPAR
(16,9),(9,25),-0.66474 # DEPENDENCYPART_GRANDPAR
(16,10),(10,9),-0.0899633 # DEPENDENCYPART_GRANDPAR
(16,10),(10,11),0.337197 # DEPENDENCYPART_GRANDPAR
(16,11),(11,3),-0.130815 # DEPENDENCYPART_GRANDPAR
(16,11),(11,5),-0.0570726 # DEPENDENCYPART_GRANDPAR
(16,11),(11,6),0.0875058 # DEPENDENCYPART_GRANDPAR
(16,11),(11,7),-0.151969 # DEPENDENCYPART_GRANDPAR
(16,11),(11,8),0.139328 # DEPENDENCYPART_GRANDPAR
(16,11),(11,9),0.00117699 # DEPENDENCYPART_GRANDPAR
(16,11),(11,10),0.219973 # DEPENDENCYPART_GRANDPAR
(16,11),(11,12),0.509006 # DEPENDENCYPART_GRANDPAR
(16,11),(11,13),0.513678 # DEPENDENCYPART_GRANDPAR
(16,11),(11,14),0.343967 # DEPENDENCYPART_GRANDPAR
(16,11),(11,15),0.411216 # DEPENDENCYPART_GRANDPAR
(16,11),(11,16),-0.715503 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,11),(11,17),0.157631 # DEPENDENCYPART_GRANDPAR
(16,11),(11,18),0.0573085 # DEPENDENCYPART_GRANDPAR
(16,11),(11,19),0.207172 # DEPENDENCYPART_GRANDPAR
(16,11),(11,20),-0.0220312 # DEPENDENCYPART_GRANDPAR
(16,11),(11,21),0.0677982 # DEPENDENCYPART_GRANDPAR
(16,12),(12,13),0.518344 # DEPENDENCYPART_GRANDPAR
(16,13),(13,10),0.218998 # DEPENDENCYPART_GRANDPAR
(16,13),(13,11),0.350351 # DEPENDENCYPART_GRANDPAR
(16,13),(13,12),0.497817 # DEPENDENCYPART_GRANDPAR
(16,13),(13,15),0.400077 # DEPENDENCYPART_GRANDPAR
(16,13),(13,16),-0.721441 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,14),(14,1),0.0865882 # DEPENDENCYPART_GRANDPAR
(16,14),(14,2),0.0473537 # DEPENDENCYPART_GRANDPAR
(16,14),(14,3),-0.0364829 # DEPENDENCYPART_GRANDPAR
(16,14),(14,4),0.214706 # DEPENDENCYPART_GRANDPAR
(16,14),(14,5),-0.0867911 # DEPENDENCYPART_GRANDPAR
(16,14),(14,6),0.201539 # DEPENDENCYPART_GRANDPAR
(16,14),(14,7),-0.185724 # DEPENDENCYPART_GRANDPAR
(16,14),(14,8),0.199659 # DEPENDENCYPART_GRANDPAR
(16,14),(14,9),-0.030094 # DEPENDENCYPART_GRANDPAR
(16,14),(14,10),0.245344 # DEPENDENCYPART_GRANDPAR
(16,14),(14,11),0.475143 # DEPENDENCYPART_GRANDPAR
(16,14),(14,12),0.524163 # DEPENDENCYPART_GRANDPAR
(16,14),(14,13),0.65453 # DEPENDENCYPART_GRANDPAR
(16,14),(14,15),0.468463 # DEPENDENCYPART_GRANDPAR
(16,14),(14,16),-0.95247 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,14),(14,17),-0.0286145 # DEPENDENCYPART_GRANDPAR
(16,14),(14,18),-0.181625 # DEPENDENCYPART_GRANDPAR
(16,14),(14,19),-0.166726 # DEPENDENCYPART_GRANDPAR
(16,14),(14,20),-0.412302 # DEPENDENCYPART_GRANDPAR
(16,14),(14,21),-0.0553957 # DEPENDENCYPART_GRANDPAR
(16,14),(14,23),-0.688601 # DEPENDENCYPART_GRANDPAR
(16,14),(14,24),-0.37589 # DEPENDENCYPART_GRANDPAR
(16,14),(14,25),-0.786378 # DEPENDENCYPART_GRANDPAR
(16,15),(15,10),0.219004 # DEPENDENCYPART_GRANDPAR
(16,15),(15,11),0.35323 # DEPENDENCYPART_GRANDPAR
(16,15),(15,12),0.497824 # DEPENDENCYPART_GRANDPAR
(16,15),(15,13),0.526755 # DEPENDENCYPART_GRANDPAR
(16,15),(15,14),0.132676 # DEPENDENCYPART_GRANDPAR
(16,15),(15,16),-0.721443 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,15),(15,19),0.201233 # DEPENDENCYPART_GRANDPAR
(16,17),(17,15),-0.0374194 # DEPENDENCYPART_GRANDPAR
(16,17),(17,18),0.322587 # DEPENDENCYPART_GRANDPAR
(16,17),(17,19),0.253581 # DEPENDENCYPART_GRANDPAR
(16,17),(17,20),0.258599 # DEPENDENCYPART_GRANDPAR
(16,17),(17,24),0.11216 # DEPENDENCYPART_GRANDPAR
(16,18),(18,2),-0.403364 # DEPENDENCYPART_GRANDPAR
(16,18),(18,4),-0.417114 # DEPENDENCYPART_GRANDPAR
(16,18),(18,6),-0.403755 # DEPENDENCYPART_GRANDPAR
(16,18),(18,7),-0.563299 # DEPENDENCYPART_GRANDPAR
(16,18),(18,11),-0.150405 # DEPENDENCYPART_GRANDPAR
(16,18),(18,12),-0.00599051 # DEPENDENCYPART_GRANDPAR
(16,18),(18,13),0.0297233 # DEPENDENCYPART_GRANDPAR
(16,18),(18,14),-0.420456 # DEPENDENCYPART_GRANDPAR
(16,18),(18,15),-0.0697109 # DEPENDENCYPART_GRANDPAR
(16,18),(18,16),-0.471809 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,18),(18,17),0.388688 # DEPENDENCYPART_GRANDPAR
(16,18),(18,19),0.37203 # DEPENDENCYPART_GRANDPAR
(16,18),(18,20),0.332003 # DEPENDENCYPART_GRANDPAR
(16,18),(18,21),0.73535 # DEPENDENCYPART_GRANDPAR
(16,18),(18,23),0.0533832 # DEPENDENCYPART_GRANDPAR
(16,18),(18,24),0.100048 # DEPENDENCYPART_GRANDPAR
(16,18),(18,25),-0.33427 # DEPENDENCYPART_GRANDPAR
(16,19),(19,17),0.496021 # DEPENDENCYPART_GRANDPAR
(16,19),(19,18),0.321705 # DEPENDENCYPART_GRANDPAR
(16,19),(19,20),0.362193 # DEPENDENCYPART_GRANDPAR
(16,19),(19,21),0.68937 # DEPENDENCYPART_GRANDPAR
(16,19),(19,23),0.0766495 # DEPENDENCYPART_GRANDPAR
(16,19),(19,24),0.130625 # DEPENDENCYPART_GRANDPAR
(16,20),(20,12),-0.00193071 # DEPENDENCYPART_GRANDPAR
(16,20),(20,17),0.439029 # DEPENDENCYPART_GRANDPAR
(16,20),(20,18),0.500126 # DEPENDENCYPART_GRANDPAR
(16,20),(20,19),0.299881 # DEPENDENCYPART_GRANDPAR
(16,20),(20,21),0.631596 # DEPENDENCYPART_GRANDPAR
(16,20),(20,22),-0.0277119 # DEPENDENCYPART_GRANDPAR
(16,20),(20,23),-0.0307503 # DEPENDENCYPART_GRANDPAR
(16,20),(20,24),0.168479 # DEPENDENCYPART_GRANDPAR
(16,24),(24,1),-0.365411 # DEPENDENCYPART_GRANDPAR
(16,24),(24,2),-0.404038 # DEPENDENCYPART_GRANDPAR
(16,24),(24,4),-0.422716 # DEPENDENCYPART_GRANDPAR
(16,24),(24,5),-0.465327 # DEPENDENCYPART_GRANDPAR
(16,24),(24,6),-0.409357 # DEPENDENCYPART_GRANDPAR
(16,24),(24,7),-0.562857 # DEPENDENCYPART_GRANDPAR
(16,24),(24,9),-0.413053 # DEPENDENCYPART_GRANDPAR
(16,24),(24,11),-0.156007 # DEPENDENCYPART_GRANDPAR
(16,24),(24,12),-0.00789172 # DEPENDENCYPART_GRANDPAR
(16,24),(24,13),0.0241212 # DEPENDENCYPART_GRANDPAR
(16,24),(24,14),-0.429248 # DEPENDENCYPART_GRANDPAR
(16,24),(24,15),-0.075313 # DEPENDENCYPART_GRANDPAR
(16,24),(24,16),-0.550589 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,24),(24,17),0.339746 # DEPENDENCYPART_GRANDPAR
(16,24),(24,18),0.206176 # DEPENDENCYPART_GRANDPAR
(16,24),(24,19),0.227088 # DEPENDENCYPART_GRANDPAR
(16,24),(24,20),0.0559064 # DEPENDENCYPART_GRANDPAR
(16,24),(24,21),0.545441 # DEPENDENCYPART_GRANDPAR
