# _root_ `` We wo n't have any more of this wayward behavior , '' says Sir Peter Hordern , a backbench Tory member of Parliament .
#goldHeads=14,3,14,3,3,7,5,7,11,11,8,14,14,0,17,17,14,17,22,22,22,17,22,23,14,
#predictedHeads=14,3,14,3,3,7,5,7,11,11,8,14,14,0,17,17,14,17,22,22,22,17,22,23,14,
(3,5),(5,9),(5,13),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,9),(5,14),-0.0487979 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,9),(5,17),-0.0442888 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,9),(5,18),-0.0372626 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,9),(5,22),-0.0442888 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,9),(5,25),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,9),(5,26),-0.0424331 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,10),(5,11),-0.0445195 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,10),(5,12),-0.0577526 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,10),(5,13),-0.0430477 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,10),(5,14),-0.0249733 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,10),(5,17),-0.0445195 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,10),(5,18),-0.0577526 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,10),(5,22),-0.0445195 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,10),(5,25),-0.0438161 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,10),(5,26),-0.042364 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,11),(5,12),-0.0535147 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,11),(5,13),-0.0293789 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,11),(5,14),-0.0745159 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,11),(5,17),-0.0282797 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,11),(5,18),-0.0535147 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,11),(5,22),-0.0282797 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,11),(5,25),-0.0480111 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,11),(5,26),-0.0819827 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,12),(5,13),-0.053219 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,12),(5,14),-0.0641584 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,12),(5,17),-0.0769064 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,12),(5,18),-0.0193487 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,12),(5,22),-0.0769064 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,12),(5,25),-0.0420023 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,12),(5,26),0.0636031 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,13),(5,14),-0.0314351 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,13),(5,17),-0.0373823 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,13),(5,18),-0.0157738 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,13),(5,22),-0.0373823 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,13),(5,25),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,13),(5,26),-0.059842 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,14),(5,17),-0.0391016 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,14),(5,18),-0.0559371 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,14),(5,22),-0.0391016 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,14),(5,25),-0.0469281 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,14),(5,26),-0.0769485 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,17),(5,18),-0.0535147 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,17),(5,22),-0.0282797 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,17),(5,25),-0.0480111 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,17),(5,26),-0.0819827 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,18),(5,22),-0.0769064 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,18),(5,25),-0.0420023 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,18),(5,26),0.0636031 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,22),(5,25),-0.0480111 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,22),(5,26),-0.0796331 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,25),(5,26),-0.0629433 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,5),(5,4),0.0655932 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,3),0.102531 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,5),(5,5),(5,2),-0.141864 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,1),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,-1),-0.116707 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,5),(5,4),(5,3),0.118938 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,4),(5,2),-0.127373 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,4),(5,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,4),(5,-1),-0.15059 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,3),(5,2),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,3),(5,1),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,3),(5,-1),-0.135113 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,5),(5,2),(5,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,2),(5,-1),-0.171777 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,1),(5,-1),-0.0705382 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,8),(8,9),-0.0224684 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,10),-0.0431999 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,11),-0.046193 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,12),-0.0430433 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,13),-0.0420276 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,14),-0.0538289 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,17),-0.046193 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,22),-0.046193 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,26),0.0140085 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,8),(8,9),(8,10),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,9),(8,11),-0.0420057 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,9),(8,12),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,9),(8,13),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,9),(8,14),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,9),(8,17),-0.0420057 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,9),(8,22),-0.0420057 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,9),(8,26),-0.0226245 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,10),(8,11),-0.0419989 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,10),(8,12),-0.042362 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,10),(8,13),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,10),(8,14),-0.0419992 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,10),(8,17),-0.0419989 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,10),(8,22),-0.0419989 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,10),(8,26),-0.0438886 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,11),(8,12),-0.0376707 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,11),(8,13),-0.0420127 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,11),(8,14),-0.0420032 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,11),(8,17),-0.0420717 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,11),(8,22),-0.0420717 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,11),(8,26),-0.0518607 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,12),(8,13),-0.0419989 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,12),(8,14),-0.0420341 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,12),(8,17),-0.042066 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,12),(8,22),-0.042066 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,12),(8,26),-0.0346387 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,13),(8,14),-0.0419989 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,13),(8,17),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,13),(8,22),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,13),(8,26),-0.0420484 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,14),(8,17),-0.0426947 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,14),(8,22),-0.0426947 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,14),(8,26),-0.05226 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,17),(8,22),-0.0420717 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,17),(8,26),-0.0518607 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,22),(8,26),-0.0518607 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,8),(8,7),0.101619 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,6),0.101922 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,-1),0.0321235 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,8),(8,7),(8,6),0.119133 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,7),(8,-1),-0.137102 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,6),(8,-1),-0.137544 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,11),(11,12),-0.0344181 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,13),-0.0411406 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,14),-0.0754853 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,15),-0.0187472 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,16),-0.0197522 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,17),-0.0199519 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,18),-0.0344181 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,20),-0.0615373 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,22),-0.0183155 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,23),-0.0133859 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,26),0.0942803 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,11),(11,12),(11,13),-0.042484 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,12),(11,14),-0.0436944 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,12),(11,15),-0.0604314 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,12),(11,16),-0.0604314 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,12),(11,17),-0.0604314 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,12),(11,18),-0.0420209 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,12),(11,20),-0.0343476 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,12),(11,22),-0.0604314 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,12),(11,23),-0.0496587 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,12),(11,26),-0.0180469 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,13),(11,14),-0.0426097 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,13),(11,15),-0.0411651 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,13),(11,16),-0.0411651 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,13),(11,17),-0.0411651 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,13),(11,18),-0.0508569 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,13),(11,20),-0.0364392 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,13),(11,22),-0.0411651 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,13),(11,23),-0.0425609 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,13),(11,26),-0.0481813 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,14),(11,15),-0.0345062 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,14),(11,16),-0.0345062 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,14),(11,17),-0.0345062 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,14),(11,18),-0.031859 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,14),(11,20),-0.0391903 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,14),(11,22),-0.0345062 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,14),(11,23),-0.0422774 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,14),(11,26),-0.0892567 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,15),(11,16),-0.0387657 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,15),(11,17),-0.0387657 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,15),(11,18),-0.0355992 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,15),(11,20),-0.0392328 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,15),(11,22),-0.0387657 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,15),(11,23),-0.0439747 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,15),(11,26),-0.0494689 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,16),(11,17),-0.0415238 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,16),(11,18),-0.0355992 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,16),(11,20),-0.0392328 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,16),(11,22),-0.0415238 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,16),(11,23),-0.0439747 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,16),(11,26),-0.0499507 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,17),(11,18),-0.0355992 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,17),(11,20),-0.0392328 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,17),(11,22),-0.0415238 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,17),(11,23),-0.0439747 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,17),(11,26),-0.0501504 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,18),(11,20),-0.0343476 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,18),(11,22),-0.0604314 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,18),(11,23),-0.0496587 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,18),(11,26),-0.0180469 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,20),(11,22),-0.0332065 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,20),(11,23),-0.0483776 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,20),(11,26),-0.0427114 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,22),(11,23),-0.0439747 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,22),(11,26),-0.0511084 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,23),(11,26),-0.0309207 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,11),(11,10),0.116073 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,9),0.137527 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,8),0.159523 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,7),0.11338 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,6),0.136703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,1),-0.124891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,-1),-0.288237 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,11),(11,10),(11,9),0.126032 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,10),(11,8),0.120901 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,10),(11,7),0.118981 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,10),(11,6),0.12603 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,10),(11,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,10),(11,-1),-0.105276 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,9),(11,8),0.118821 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,9),(11,7),0.119141 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,9),(11,6),0.119003 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,9),(11,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,9),(11,-1),-0.0898074 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,8),(11,7),0.116709 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,8),(11,6),0.118542 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,8),(11,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,8),(11,-1),-0.0649296 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,7),(11,6),0.12603 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,7),(11,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,7),(11,-1),-0.107821 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,6),(11,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,6),(11,-1),-0.0913519 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,1),(11,-1),-0.133464 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,12),(12,26),0.00264349 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,12),(12,12),(12,8),0.114559 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,-1),-0.0838398 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,12),(12,8),(12,-1),-0.12952 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,13),(13,26),-0.0697268 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,13),(13,13),(13,-1),-0.152388 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,14),(14,14),(14,15),-0.0038799 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,16),-0.0038799 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,17),-0.0038799 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,18),-0.118789 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,20),-0.00235579 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,22),-0.00153029 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,25),-0.04632 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,26),0.0961305 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,14),(14,15),(14,16),-0.0282547 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,15),(14,17),-0.0282547 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,15),(14,18),-0.0479852 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,15),(14,20),-0.0506721 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,15),(14,22),-0.0282547 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,15),(14,25),-0.0480111 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,15),(14,26),-0.087213 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,16),(14,17),-0.0282547 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,16),(14,18),-0.0479852 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,16),(14,20),-0.0506721 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,16),(14,22),-0.0282547 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,16),(14,25),-0.0480111 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,16),(14,26),-0.087213 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,17),(14,18),-0.0479852 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,17),(14,20),-0.0506721 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,17),(14,22),-0.0282547 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,17),(14,25),-0.0480111 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,17),(14,26),-0.087213 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,18),(14,20),-0.0488895 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,18),(14,22),-0.0759051 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,18),(14,25),-0.0420023 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,18),(14,26),0.0786365 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,20),(14,22),-0.0445077 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,20),(14,25),-0.0438161 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,20),(14,26),-0.0410561 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,22),(14,25),-0.0480111 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,22),(14,26),-0.0848633 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,25),(14,26),-0.0628569 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,14),(14,13),0.0999308 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,12),0.259637 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,11),0.0879057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,10),0.121638 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,9),0.105185 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,8),0.0886509 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,7),0.132002 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,6),0.106055 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,5),0.139474 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,4),0.0758935 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,3),0.10237 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,14),(14,14),(14,2),-0.141861 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,1),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,-1),-0.152965 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,14),(14,13),(14,12),0.105532 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,11),0.119151 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,10),0.119157 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,9),0.119164 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,8),0.119153 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,7),0.119157 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,6),0.119164 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,5),0.119114 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,4),0.115353 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,3),0.119164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,13),(14,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,-1),-0.12807 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,12),(14,11),0.128297 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,12),(14,10),0.11742 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,12),(14,9),0.119074 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,12),(14,8),0.09248 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,12),(14,7),0.11742 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,12),(14,6),0.119074 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,12),(14,5),0.095852 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,12),(14,4),0.116444 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,12),(14,3),0.1151 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,12),(14,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,12),(14,1),-0.125217 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,12),(14,-1),-0.0145955 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,11),(14,10),0.118539 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,11),(14,9),0.119144 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,11),(14,8),0.110088 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,11),(14,7),0.118539 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,11),(14,6),0.119144 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,11),(14,5),0.121323 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,11),(14,4),0.1253 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,11),(14,3),0.118959 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
