# _root_ Like its parent that year , `` Bluefield was not having a good year , '' the judge said .
#goldHeads=9,3,1,5,3,9,9,9,19,9,9,14,14,11,19,19,18,19,0,19,
#predictedHeads=9,3,1,5,3,9,9,9,19,9,9,14,14,11,19,19,18,19,0,19,
(5,9),(5,11),-0.0349348 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0738589 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.322277 # DEPENDENCYPART_SIBL
(5,9),(5,16),0.0181255 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.0284309 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.052177 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.228917 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.0890097 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.0541016 # DEPENDENCYPART_SIBL
(5,10),(5,18),0.226779 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0179932 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.243304 # DEPENDENCYPART_SIBL
(5,11),(5,16),0.00226715 # DEPENDENCYPART_SIBL
(5,11),(5,18),0.00730653 # DEPENDENCYPART_SIBL
(5,14),(5,15),0.140227 # DEPENDENCYPART_SIBL
(5,14),(5,16),0.0065286 # DEPENDENCYPART_SIBL
(5,14),(5,18),-0.0348789 # DEPENDENCYPART_SIBL
(5,15),(5,16),0.374245 # DEPENDENCYPART_SIBL
(5,15),(5,18),0.716531 # DEPENDENCYPART_SIBL
(5,16),(5,18),0.358762 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0873351 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.00561507 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.272006 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0424281 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0088454 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.107863 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.106905 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0897905 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.00665272 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.166709 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0506829 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0591512 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0389745 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0186982 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.100804 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.0498158 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.139357 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.0700054 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.0621916 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.324056 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.142008 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.00429715 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.0162509 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.0301729 # DEPENDENCYPART_SIBL
(8,1),(8,14),-0.0420882 # DEPENDENCYPART_SIBL
(8,1),(8,15),-0.0739071 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.31474 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.0220878 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.238296 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.0763653 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.357904 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.0857384 # DEPENDENCYPART_SIBL
(8,2),(8,10),0.0738586 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.0518745 # DEPENDENCYPART_SIBL
(8,2),(8,14),-0.00928911 # DEPENDENCYPART_SIBL
(8,2),(8,15),-0.0665951 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.145613 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.09281 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0878358 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.438543 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.0613541 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.00789238 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.018738 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.00369861 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.0152244 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.0409939 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.0579414 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.528478 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.0345663 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.107294 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.0463587 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0849337 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.0915272 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.168295 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.404698 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.0853378 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0819111 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.044817 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.055885 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.0366777 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.19093 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.05984 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0768435 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0440021 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.135449 # DEPENDENCYPART_SIBL
(8,6),(8,15),0.00138496 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0676359 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.0658444 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.168323 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.218076 # DEPENDENCYPART_SIBL
(8,7),(8,15),0.115559 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0508393 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0689012 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.171464 # DEPENDENCYPART_SIBL
(8,9),(8,15),0.450276 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.0758739 # DEPENDENCYPART_SIBL
(8,10),(8,14),0.165878 # DEPENDENCYPART_SIBL
(8,10),(8,15),0.118599 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.0861312 # DEPENDENCYPART_SIBL
(8,11),(8,15),0.255741 # DEPENDENCYPART_SIBL
(8,14),(8,15),0.26071 # DEPENDENCYPART_SIBL
(9,1),(9,2),0.00679524 # DEPENDENCYPART_SIBL
(9,1),(9,3),-0.0611059 # DEPENDENCYPART_SIBL
(9,1),(9,4),0.0120507 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.0211524 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.492623 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.119645 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.00979788 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.017079 # DEPENDENCYPART_SIBL
(9,1),(9,11),0.00643874 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.179765 # DEPENDENCYPART_SIBL
(9,1),(9,13),-0.0469077 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.0473925 # DEPENDENCYPART_SIBL
(9,1),(9,15),-0.0266692 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.0506238 # DEPENDENCYPART_SIBL
(9,1),(9,18),-0.0711839 # DEPENDENCYPART_SIBL
(9,1),(9,19),-0.0755956 # DEPENDENCYPART_SIBL
(9,1),(9,20),-0.0272078 # DEPENDENCYPART_SIBL
(9,2),(9,3),-0.0769557 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.205885 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.0369153 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.0613328 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.0867368 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.0545281 # DEPENDENCYPART_SIBL
(9,2),(9,10),0.0275007 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.0903281 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.182989 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.0452731 # DEPENDENCYPART_SIBL
(9,2),(9,14),-0.00701108 # DEPENDENCYPART_SIBL
(9,2),(9,15),-0.00817114 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.0318945 # DEPENDENCYPART_SIBL
(9,2),(9,18),-0.0517433 # DEPENDENCYPART_SIBL
(9,2),(9,19),-0.0841403 # DEPENDENCYPART_SIBL
(9,2),(9,20),-0.102594 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.602366 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.706741 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.0807548 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.0989408 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.559623 # DEPENDENCYPART_SIBL
(9,3),(9,10),0.0124322 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.00437629 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.184569 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.0169819 # DEPENDENCYPART_SIBL
(9,3),(9,14),-0.058184 # DEPENDENCYPART_SIBL
(9,3),(9,15),-0.0221287 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.0148088 # DEPENDENCYPART_SIBL
(9,3),(9,18),-0.067133 # DEPENDENCYPART_SIBL
(9,3),(9,19),-0.0581499 # DEPENDENCYPART_SIBL
(9,3),(9,20),-0.0457145 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.326718 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.256359 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.0775566 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.251972 # DEPENDENCYPART_SIBL
(9,4),(9,10),0.242294 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.000696425 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.04179 # DEPENDENCYPART_SIBL
(9,4),(9,13),0.130172 # DEPENDENCYPART_SIBL
(9,4),(9,14),0.0567292 # DEPENDENCYPART_SIBL
(9,4),(9,15),-0.0422911 # DEPENDENCYPART_SIBL
(9,4),(9,16),0.0682186 # DEPENDENCYPART_SIBL
(9,4),(9,18),0.0504284 # DEPENDENCYPART_SIBL
(9,4),(9,19),-0.0755192 # DEPENDENCYPART_SIBL
(9,4),(9,20),-0.0260501 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.294442 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.0748978 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.262057 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0202754 # DEPENDENCYPART_SIBL
(9,5),(9,11),0.0402711 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.154892 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.00486307 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.0294862 # DEPENDENCYPART_SIBL
(9,5),(9,15),0.11243 # DEPENDENCYPART_SIBL
(9,5),(9,16),0.0620872 # DEPENDENCYPART_SIBL
(9,5),(9,18),-0.0382818 # DEPENDENCYPART_SIBL
(9,5),(9,19),0.0359827 # DEPENDENCYPART_SIBL
(9,5),(9,20),0.0355493 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0524278 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.00686645 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0219789 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.0452855 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.11637 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.0157983 # DEPENDENCYPART_SIBL
(9,6),(9,14),0.0230261 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.00268046 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.0294421 # DEPENDENCYPART_SIBL
(9,6),(9,18),-0.0220358 # DEPENDENCYPART_SIBL
(9,6),(9,19),0.0445978 # DEPENDENCYPART_SIBL
(9,6),(9,20),0.0636823 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.00274398 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0610516 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.00230439 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.20796 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0132544 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.0856136 # DEPENDENCYPART_SIBL
(9,7),(9,15),0.0635154 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.211635 # DEPENDENCYPART_SIBL
(9,7),(9,18),0.0897066 # DEPENDENCYPART_SIBL
(9,7),(9,19),-0.138627 # DEPENDENCYPART_SIBL
(9,7),(9,20),0.0920124 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0225842 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.0405594 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.140701 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0253592 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.000231062 # DEPENDENCYPART_SIBL
(9,8),(9,15),0.0294932 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.0370086 # DEPENDENCYPART_SIBL
(9,8),(9,18),-0.0346955 # DEPENDENCYPART_SIBL
(9,8),(9,19),-0.086891 # DEPENDENCYPART_SIBL
(9,8),(9,20),-0.0159933 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.0485985 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.087764 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.215542 # DEPENDENCYPART_SIBL
(9,10),(9,14),0.220549 # DEPENDENCYPART_SIBL
(9,10),(9,15),0.0551291 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.0365008 # DEPENDENCYPART_SIBL
(9,10),(9,18),0.146887 # DEPENDENCYPART_SIBL
(9,10),(9,19),0.0734517 # DEPENDENCYPART_SIBL
(9,10),(9,20),0.0252023 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.197012 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.295097 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.323883 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.0400366 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.120931 # DEPENDENCYPART_SIBL
(9,11),(9,18),-0.374646 # DEPENDENCYPART_SIBL
(9,11),(9,19),-0.176901 # DEPENDENCYPART_SIBL
(9,11),(9,20),-0.0150508 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.200622 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.120634 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.135402 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.198943 # DEPENDENCYPART_SIBL
(9,12),(9,18),-0.238492 # DEPENDENCYPART_SIBL
(9,12),(9,19),-0.0828519 # DEPENDENCYPART_SIBL
(9,12),(9,20),-0.243099 # DEPENDENCYPART_SIBL
(9,13),(9,14),0.0169313 # DEPENDENCYPART_SIBL
(9,13),(9,15),0.126523 # DEPENDENCYPART_SIBL
(9,13),(9,16),0.003054 # DEPENDENCYPART_SIBL
(9,13),(9,18),-0.109546 # DEPENDENCYPART_SIBL
(9,13),(9,19),-0.0872445 # DEPENDENCYPART_SIBL
(9,13),(9,20),-0.0204987 # DEPENDENCYPART_SIBL
(9,14),(9,15),0.121681 # DEPENDENCYPART_SIBL
(9,14),(9,16),0.0196963 # DEPENDENCYPART_SIBL
(9,14),(9,18),-0.26423 # DEPENDENCYPART_SIBL
(9,14),(9,19),-0.0701315 # DEPENDENCYPART_SIBL
(9,14),(9,20),0.0200739 # DEPENDENCYPART_SIBL
(9,15),(9,16),0.0615398 # DEPENDENCYPART_SIBL
(9,15),(9,18),0.0723214 # DEPENDENCYPART_SIBL
(9,15),(9,19),0.0261724 # DEPENDENCYPART_SIBL
(9,15),(9,20),0.0041776 # DEPENDENCYPART_SIBL
(9,16),(9,18),0.0509004 # DEPENDENCYPART_SIBL
(9,16),(9,19),0.0564708 # DEPENDENCYPART_SIBL
(9,16),(9,20),-0.0590334 # DEPENDENCYPART_SIBL
(9,18),(9,19),-0.0673582 # DEPENDENCYPART_SIBL
(9,18),(9,20),0.0346952 # DEPENDENCYPART_SIBL
(9,19),(9,20),0.0119182 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.0197333 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.0210196 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.0324689 # DEPENDENCYPART_SIBL
(10,1),(10,11),0.0654574 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.0134703 # DEPENDENCYPART_SIBL
(10,1),(10,14),0.169753 # DEPENDENCYPART_SIBL
(10,1),(10,15),0.0293106 # DEPENDENCYPART_SIBL
(10,1),(10,16),0.0187307 # DEPENDENCYPART_SIBL
(10,1),(10,19),0.0548345 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.0127924 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.0833354 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.0637063 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0457671 # DEPENDENCYPART_SIBL
(10,7),(10,14),0.0745106 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.095029 # DEPENDENCYPART_SIBL
(10,7),(10,16),0.471155 # DEPENDENCYPART_SIBL
(10,7),(10,19),-0.0351307 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0135306 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.010593 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0224048 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.0782134 # DEPENDENCYPART_SIBL
(10,8),(10,15),0.142275 # DEPENDENCYPART_SIBL
(10,8),(10,16),0.0213185 # DEPENDENCYPART_SIBL
(10,8),(10,19),-0.0129834 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.0194226 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0474324 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.0413123 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.074576 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.0368669 # DEPENDENCYPART_SIBL
(10,9),(10,19),-0.0393704 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.0694535 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.0753282 # DEPENDENCYPART_SIBL
(10,11),(10,15),0.113045 # DEPENDENCYPART_SIBL
(10,11),(10,16),0.125529 # DEPENDENCYPART_SIBL
(10,11),(10,19),-0.0250551 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.128096 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.00941799 # DEPENDENCYPART_SIBL
(10,12),(10,16),0.0341196 # DEPENDENCYPART_SIBL
(10,12),(10,19),0.0624832 # DEPENDENCYPART_SIBL
(10,14),(10,15),0.0234714 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.030664 # DEPENDENCYPART_SIBL
(10,14),(10,19),-0.129814 # DEPENDENCYPART_SIBL
(10,15),(10,16),0.324803 # DEPENDENCYPART_SIBL
(10,15),(10,19),0.268765 # DEPENDENCYPART_SIBL
(10,16),(10,19),0.00481962 # DEPENDENCYPART_SIBL
(11,1),(11,3),-0.0415143 # DEPENDENCYPART_SIBL
(11,1),(11,4),0.0322949 # DEPENDENCYPART_SIBL
(11,1),(11,5),-0.048441 # DEPENDENCYPART_SIBL
(11,1),(11,6),0.343119 # DEPENDENCYPART_SIBL
(11,1),(11,7),0.0117972 # DEPENDENCYPART_SIBL
(11,1),(11,8),-0.0569621 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.0454793 # DEPENDENCYPART_SIBL
(11,1),(11,10),-0.0907124 # DEPENDENCYPART_SIBL
(11,1),(11,12),-0.0746749 # DEPENDENCYPART_SIBL
(11,1),(11,13),-0.0544046 # DEPENDENCYPART_SIBL
(11,1),(11,14),-0.0347728 # DEPENDENCYPART_SIBL
(11,1),(11,15),-0.10277 # DEPENDENCYPART_SIBL
(11,1),(11,16),-0.05713 # DEPENDENCYPART_SIBL
(11,1),(11,18),-0.0561158 # DEPENDENCYPART_SIBL
(11,1),(11,19),-0.0449936 # DEPENDENCYPART_SIBL
(11,3),(11,4),-0.241121 # DEPENDENCYPART_SIBL
(11,3),(11,5),-0.216044 # DEPENDENCYPART_SIBL
(11,3),(11,6),0.127548 # DEPENDENCYPART_SIBL
(11,3),(11,7),0.184529 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.113919 # DEPENDENCYPART_SIBL
(11,3),(11,9),0.0221989 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.0583969 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.00643142 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.0164531 # DEPENDENCYPART_SIBL
(11,3),(11,14),0.00322998 # DEPENDENCYPART_SIBL
(11,3),(11,15),0.0118025 # DEPENDENCYPART_SIBL
(11,3),(11,16),0.0569012 # DEPENDENCYPART_SIBL
(11,3),(11,18),0.00288421 # DEPENDENCYPART_SIBL
(11,3),(11,19),-0.00670619 # DEPENDENCYPART_SIBL
(11,4),(11,5),-0.107829 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.0216791 # DEPENDENCYPART_SIBL
(11,4),(11,7),0.277238 # DEPENDENCYPART_SIBL
(11,4),(11,8),-0.0423887 # DEPENDENCYPART_SIBL
(11,4),(11,9),0.000484 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.0751224 # DEPENDENCYPART_SIBL
(11,4),(11,12),0.0579171 # DEPENDENCYPART_SIBL
(11,4),(11,13),0.00378689 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.0240459 # DEPENDENCYPART_SIBL
(11,4),(11,15),0.0549965 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.00593236 # DEPENDENCYPART_SIBL
(11,4),(11,18),-0.0255055 # DEPENDENCYPART_SIBL
(11,4),(11,19),0.00661118 # DEPENDENCYPART_SIBL
(11,5),(11,6),0.235562 # DEPENDENCYPART_SIBL
(11,5),(11,7),0.176264 # DEPENDENCYPART_SIBL
(11,5),(11,8),-0.0531819 # DEPENDENCYPART_SIBL
(11,5),(11,9),0.0259856 # DEPENDENCYPART_SIBL
(11,5),(11,10),0.0318759 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.0371042 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.0575355 # DEPENDENCYPART_SIBL
(11,5),(11,14),-0.0286731 # DEPENDENCYPART_SIBL
(11,5),(11,15),0.0221118 # DEPENDENCYPART_SIBL
(11,5),(11,16),0.0701702 # DEPENDENCYPART_SIBL
(11,5),(11,18),-0.0298898 # DEPENDENCYPART_SIBL
(11,5),(11,19),0.0205842 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.104033 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.0591462 # DEPENDENCYPART_SIBL
(11,6),(11,9),0.0619288 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.0960975 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.00970459 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.0429554 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.0214948 # DEPENDENCYPART_SIBL
(11,6),(11,15),0.0565126 # DEPENDENCYPART_SIBL
(11,6),(11,16),-0.0336349 # DEPENDENCYPART_SIBL
(11,6),(11,18),-0.0421497 # DEPENDENCYPART_SIBL
(11,6),(11,19),0.162458 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.00221525 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.0929986 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.00437333 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.074901 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.0567508 # DEPENDENCYPART_SIBL
(11,7),(11,14),0.0287311 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.00111529 # DEPENDENCYPART_SIBL
(11,7),(11,16),0.468002 # DEPENDENCYPART_SIBL
(11,7),(11,18),0.0263776 # DEPENDENCYPART_SIBL
(11,7),(11,19),-0.106975 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.0235703 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.0369181 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.0110424 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.0361402 # DEPENDENCYPART_SIBL
(11,8),(11,14),0.0645902 # DEPENDENCYPART_SIBL
(11,8),(11,15),0.0219672 # DEPENDENCYPART_SIBL
(11,8),(11,16),0.0427457 # DEPENDENCYPART_SIBL
(11,8),(11,18),0.0390937 # DEPENDENCYPART_SIBL
(11,8),(11,19),-0.0148503 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.0469824 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0145447 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0241414 # DEPENDENCYPART_SIBL
(11,9),(11,14),0.0133461 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.0209219 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.0194157 # DEPENDENCYPART_SIBL
(11,9),(11,18),0.0140827 # DEPENDENCYPART_SIBL
(11,9),(11,19),-0.0499655 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.042167 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.0104485 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.0696729 # DEPENDENCYPART_SIBL
(11,10),(11,15),0.103492 # DEPENDENCYPART_SIBL
(11,10),(11,16),0.0756073 # DEPENDENCYPART_SIBL
(11,10),(11,18),-0.0703889 # DEPENDENCYPART_SIBL
(11,10),(11,19),0.0387228 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.088897 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.0183815 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.0690627 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.100201 # DEPENDENCYPART_SIBL
(11,12),(11,18),-0.116626 # DEPENDENCYPART_SIBL
(11,12),(11,19),-0.0567506 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.0558782 # DEPENDENCYPART_SIBL
(11,13),(11,15),0.0188576 # DEPENDENCYPART_SIBL
(11,13),(11,16),0.00626121 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.146504 # DEPENDENCYPART_SIBL
(11,13),(11,19),-0.101834 # DEPENDENCYPART_SIBL
(11,14),(11,15),0.0418257 # DEPENDENCYPART_SIBL
(11,14),(11,16),0.00756074 # DEPENDENCYPART_SIBL
(11,14),(11,18),-0.224511 # DEPENDENCYPART_SIBL
(11,14),(11,19),-0.0734835 # DEPENDENCYPART_SIBL
(11,15),(11,16),0.164265 # DEPENDENCYPART_SIBL
(11,15),(11,18),0.16531 # DEPENDENCYPART_SIBL
(11,15),(11,19),0.127745 # DEPENDENCYPART_SIBL
(11,16),(11,18),0.103032 # DEPENDENCYPART_SIBL
