# _root_ For holders who decide not to tender their shares , Sea Containers will issue one share of preferred stock with a stated value of $ 25 , plus a cash dividend on the common stock .
#goldHeads=13,1,4,2,7,7,4,9,7,13,12,13,0,13,16,28,16,19,17,19,23,23,20,23,26,24,28,14,31,31,28,31,35,35,32,13,
#predictedHeads=13,1,4,2,4,7,4,9,7,13,12,13,0,13,16,14,16,19,17,14,23,23,28,23,26,24,28,20,31,31,28,31,35,35,32,13,
(0,3),(0,5),-1.09151 # DEPENDENCYPART_NEXTSIBL
(0,3),(0,7),-1.04677 # DEPENDENCYPART_NEXTSIBL
(0,3),(0,13),-0.944084 # DEPENDENCYPART_NEXTSIBL
(0,3),(0,14),-1.10595 # DEPENDENCYPART_NEXTSIBL
(0,3),(0,28),-1.06067 # DEPENDENCYPART_NEXTSIBL
(0,3),(0,37),-0.323956 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,4),(0,5),-1.04192 # DEPENDENCYPART_NEXTSIBL
(0,4),(0,7),-1.08595 # DEPENDENCYPART_NEXTSIBL
(0,4),(0,13),-1.13404 # DEPENDENCYPART_NEXTSIBL
(0,4),(0,14),-1.05737 # DEPENDENCYPART_NEXTSIBL
(0,4),(0,28),-1.39169 # DEPENDENCYPART_NEXTSIBL
(0,4),(0,37),-0.115972 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,5),(0,7),-0.420503 # DEPENDENCYPART_NEXTSIBL
(0,5),(0,13),-0.454592 # DEPENDENCYPART_NEXTSIBL
(0,5),(0,14),-0.851305 # DEPENDENCYPART_NEXTSIBL
(0,5),(0,28),-0.668336 # DEPENDENCYPART_NEXTSIBL
(0,5),(0,37),-1.17584 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,7),(0,13),-1.30365 # DEPENDENCYPART_NEXTSIBL
(0,7),(0,14),-1.12459 # DEPENDENCYPART_NEXTSIBL
(0,7),(0,28),-1.66197 # DEPENDENCYPART_NEXTSIBL
(0,7),(0,37),-0.386603 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,13),(0,14),-0.754785 # DEPENDENCYPART_NEXTSIBL
(0,13),(0,28),-0.855239 # DEPENDENCYPART_NEXTSIBL
(0,13),(0,37),-0.342934 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,14),(0,28),-1.28937 # DEPENDENCYPART_NEXTSIBL
(0,14),(0,37),-0.836654 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,28),(0,37),-0.221897 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,0),(0,-1),-0.405313 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(1,1),(1,2),-0.0749789 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,4),-0.0577688 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,5),-0.508419 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,6),-0.184369 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,9),-0.065874 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,37),-0.789702 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(1,2),(1,4),-0.752455 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,5),-0.982079 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,6),-0.76248 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,9),-1.24019 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,37),-0.382688 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,4),(1,5),-0.933971 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,6),-0.863824 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,9),-0.805177 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,37),-0.272358 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,5),(1,6),-0.503544 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,9),-0.643214 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,37),-1.0121 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,6),(1,9),-0.92622 # DEPENDENCYPART_NEXTSIBL
(1,6),(1,37),-0.697311 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,9),(1,37),-0.215111 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,1),(1,-1),-0.243008 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,2),(2,4),-0.141314 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,5),-0.523279 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,6),-0.151298 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,7),-0.259619 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,9),-0.427491 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,10),-0.900277 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,12),-0.241811 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,13),0.00186086 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,36),-1.03851 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,37),-0.342053 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,4),(2,5),-0.914104 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,6),-0.835103 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,7),-0.823448 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,9),-0.826748 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,10),-0.152788 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,12),-0.819382 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,13),-1.09164 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,36),0.20232 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,37),-0.32426 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,5),(2,6),-0.513503 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,7),-0.347316 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,9),-0.640163 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,10),-0.690305 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,12),-0.763526 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,13),-0.475954 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,36),-1.32694 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,37),-1.03046 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,6),(2,7),-0.905003 # DEPENDENCYPART_NEXTSIBL
(2,6),(2,9),-0.948596 # DEPENDENCYPART_NEXTSIBL
(2,6),(2,10),-0.629518 # DEPENDENCYPART_NEXTSIBL
(2,6),(2,12),-0.939056 # DEPENDENCYPART_NEXTSIBL
(2,6),(2,13),-0.933777 # DEPENDENCYPART_NEXTSIBL
(2,6),(2,36),-0.759102 # DEPENDENCYPART_NEXTSIBL
(2,6),(2,37),-0.586737 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,7),(2,9),-1.02026 # DEPENDENCYPART_NEXTSIBL
(2,7),(2,10),-0.502249 # DEPENDENCYPART_NEXTSIBL
(2,7),(2,12),-1.00278 # DEPENDENCYPART_NEXTSIBL
(2,7),(2,13),-1.27025 # DEPENDENCYPART_NEXTSIBL
(2,7),(2,36),-0.525454 # DEPENDENCYPART_NEXTSIBL
(2,7),(2,37),-0.608217 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,9),(2,10),-0.585007 # DEPENDENCYPART_NEXTSIBL
(2,9),(2,12),-1.07014 # DEPENDENCYPART_NEXTSIBL
(2,9),(2,13),-0.730492 # DEPENDENCYPART_NEXTSIBL
(2,9),(2,36),-0.697512 # DEPENDENCYPART_NEXTSIBL
(2,9),(2,37),-0.399225 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,10),(2,12),-0.164128 # DEPENDENCYPART_NEXTSIBL
(2,10),(2,13),-0.473584 # DEPENDENCYPART_NEXTSIBL
(2,10),(2,36),-1.41681 # DEPENDENCYPART_NEXTSIBL
(2,10),(2,37),-0.576047 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,12),(2,13),-0.902515 # DEPENDENCYPART_NEXTSIBL
(2,12),(2,36),-0.709859 # DEPENDENCYPART_NEXTSIBL
(2,12),(2,37),-0.519389 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,13),(2,36),0.021554 # DEPENDENCYPART_NEXTSIBL
(2,13),(2,37),-0.609826 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,36),(2,37),-2.02373 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,2),(2,1),-0.917321 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,-1),-0.412384 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,1),(2,-1),-0.481118 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,3),(3,4),-0.207595 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,7),-0.300321 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,37),-0.383425 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(3,4),(3,7),-0.937652 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,37),-0.329265 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,7),(3,37),-0.604119 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,3),(3,-1),-0.39215 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(4,4),(4,5),-0.48721 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,6),-0.213138 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,7),-0.266162 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,9),-0.228661 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,10),-0.931996 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,13),0.0959168 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,14),0.228768 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,20),-0.365058 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,27),-0.916171 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,28),0.288496 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,32),-0.458314 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,36),-1.39596 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,37),-0.709007 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(4,5),(4,6),-0.480715 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,7),-0.31772 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,9),-0.651575 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,10),-0.629595 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,13),-0.487896 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,14),-0.73562 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,20),-0.736959 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,27),-1.03941 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,28),-0.531539 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,32),-0.5481 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,36),-1.32352 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,37),-1.10621 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,6),(4,7),-0.909843 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,9),-0.937573 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,10),-0.575746 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,13),-0.911386 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,14),-0.902155 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,20),-1.02809 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,27),-0.531684 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,28),-0.711086 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,32),-1.18494 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,36),-0.749801 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,37),-0.483985 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,7),(4,9),-1.04582 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,10),-0.67324 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,13),-1.33742 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,14),-0.969451 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,20),-0.857665 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,27),-0.595669 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,28),-1.531 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,32),-0.93354 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,36),-0.515131 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,37),-0.521914 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,9),(4,10),-0.866505 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,13),-0.75614 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,14),-0.956915 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,20),-0.901398 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,27),-0.535032 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,28),-0.956166 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,32),-0.406459 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,36),-0.82061 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,37),-0.445541 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,10),(4,13),-0.622191 # DEPENDENCYPART_NEXTSIBL
(4,10),(4,14),-0.631719 # DEPENDENCYPART_NEXTSIBL
(4,10),(4,20),-1.13444 # DEPENDENCYPART_NEXTSIBL
(4,10),(4,27),-1.09531 # DEPENDENCYPART_NEXTSIBL
(4,10),(4,28),-0.749191 # DEPENDENCYPART_NEXTSIBL
(4,10),(4,32),-1.81092 # DEPENDENCYPART_NEXTSIBL
(4,10),(4,36),-1.48221 # DEPENDENCYPART_NEXTSIBL
(4,10),(4,37),-0.7862 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,13),(4,14),-0.785386 # DEPENDENCYPART_NEXTSIBL
(4,13),(4,20),-0.63118 # DEPENDENCYPART_NEXTSIBL
(4,13),(4,27),-0.153269 # DEPENDENCYPART_NEXTSIBL
(4,13),(4,28),-0.84846 # DEPENDENCYPART_NEXTSIBL
(4,13),(4,32),-0.84985 # DEPENDENCYPART_NEXTSIBL
(4,13),(4,36),-0.0490435 # DEPENDENCYPART_NEXTSIBL
(4,13),(4,37),-0.539573 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,14),(4,20),-0.530997 # DEPENDENCYPART_NEXTSIBL
(4,14),(4,27),-0.171718 # DEPENDENCYPART_NEXTSIBL
(4,14),(4,28),-1.14832 # DEPENDENCYPART_NEXTSIBL
(4,14),(4,32),-0.782773 # DEPENDENCYPART_NEXTSIBL
(4,14),(4,36),0.364093 # DEPENDENCYPART_NEXTSIBL
(4,14),(4,37),-0.963862 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,20),(4,27),-0.39218 # DEPENDENCYPART_NEXTSIBL
(4,20),(4,28),-0.763388 # DEPENDENCYPART_NEXTSIBL
(4,20),(4,32),-0.347088 # DEPENDENCYPART_NEXTSIBL
(4,20),(4,36),-0.445538 # DEPENDENCYPART_NEXTSIBL
(4,20),(4,37),-0.343236 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,27),(4,28),-0.593705 # DEPENDENCYPART_NEXTSIBL
(4,27),(4,32),-0.766865 # DEPENDENCYPART_NEXTSIBL
(4,27),(4,36),-0.955983 # DEPENDENCYPART_NEXTSIBL
(4,27),(4,37),-0.955523 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,28),(4,32),-0.334662 # DEPENDENCYPART_NEXTSIBL
(4,28),(4,36),-0.770738 # DEPENDENCYPART_NEXTSIBL
(4,28),(4,37),-0.162279 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,32),(4,36),-0.488361 # DEPENDENCYPART_NEXTSIBL
(4,32),(4,37),-0.264794 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,36),(4,37),-2.11676 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,4),(4,3),-0.129813 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,2),-0.228283 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,1),-0.925042 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,-1),-0.666573 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(4,3),(4,2),-0.370076 # DEPENDENCYPART_NEXTSIBL
(4,3),(4,1),-0.526579 # DEPENDENCYPART_NEXTSIBL
(4,3),(4,-1),0.0800511 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,2),(4,1),-0.477374 # DEPENDENCYPART_NEXTSIBL
(4,2),(4,-1),-0.750292 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,1),(4,-1),-0.419497 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,5),(5,6),-0.225055 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,7),-0.393136 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,9),-0.31723 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,10),-1.00287 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,13),-0.0195629 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,37),-0.156123 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(5,6),(5,7),-0.869254 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,9),-0.954594 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,10),-0.71728 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,13),-0.943571 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,37),-0.638465 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,7),(5,9),-1.00131 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,10),-0.678639 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,13),-1.31202 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,37),-0.620622 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,9),(5,10),-0.783003 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,13),-0.776536 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,37),-0.43037 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,10),(5,13),-0.654501 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,37),-0.708123 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,13),(5,37),-0.633439 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,5),(5,4),-0.132504 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,3),-0.290762 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,2),-0.38571 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,1),-0.874609 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,-1),-0.331203 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(5,4),(5,3),-0.560858 # DEPENDENCYPART_NEXTSIBL
(5,4),(5,2),-0.703242 # DEPENDENCYPART_NEXTSIBL
(5,4),(5,1),-0.768981 # DEPENDENCYPART_NEXTSIBL
(5,4),(5,-1),-0.421078 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,3),(5,2),-0.377117 # DEPENDENCYPART_NEXTSIBL
(5,3),(5,1),-0.652787 # DEPENDENCYPART_NEXTSIBL
(5,3),(5,-1),-0.160566 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,2),(5,1),-0.577347 # DEPENDENCYPART_NEXTSIBL
(5,2),(5,-1),-0.4822 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,1),(5,-1),-0.54583 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,6),(6,7),-0.29673 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,9),-0.166223 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,37),-0.752469 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(6,7),(6,9),-1.05577 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,37),-0.631752 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,9),(6,37),-0.320142 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,6),(6,5),-0.572864 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,3),-0.202689 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,1),-0.90137 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,-1),-0.280451 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(6,5),(6,3),-0.879918 # DEPENDENCYPART_NEXTSIBL
(6,5),(6,1),-1.12373 # DEPENDENCYPART_NEXTSIBL
(6,5),(6,-1),-0.899524 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,3),(6,1),-0.601431 # DEPENDENCYPART_NEXTSIBL
(6,3),(6,-1),-0.0695203 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,1),(6,-1),-0.473728 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,7),(7,8),-0.612081 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,9),-0.233266 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,10),-0.939513 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,11),-0.076029 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,12),-0.0088579 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,13),0.100545 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,14),0.219359 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,15),-0.330097 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,16),0.353428 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,20),-0.370667 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,27),-0.923687 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,28),0.265674 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,32),-0.4647 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,36),-1.39422 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,37),-0.693632 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(7,8),(7,9),-0.485778 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,10),-0.971338 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,11),-0.899262 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,12),-0.904013 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,13),-0.708295 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,14),-0.828959 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,15),-1.00751 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,16),-1.02838 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,20),-1.28986 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,27),-1.37263 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,28),-0.548536 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,32),-1.46077 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,36),-1.34287 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,37),-0.634005 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,9),(7,10),-0.874231 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,11),-0.833269 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,12),-1.01746 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,13),-0.75804 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,14),-0.958352 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,15),-0.875953 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,16),-1.0236 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,20),-0.905467 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,27),-0.542757 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,28),-0.963813 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,32),-0.410928 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,36),-0.819092 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,37),-0.448794 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,10),(7,11),-0.588465 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,12),-0.457584 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,13),-0.627564 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,14),-0.640312 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,15),-0.670966 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,16),-0.964148 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,20),-1.1459 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,27),-1.11034 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,28),-0.763913 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,32),-1.82278 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,36),-1.48797 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,37),-0.807809 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,11),(7,12),-0.845291 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,13),-0.8596 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,14),-0.937467 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,15),-0.962082 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,16),-1.05365 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,20),-0.966576 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,27),-0.727974 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,28),-1.05939 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,32),-0.859428 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,36),-0.861993 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,37),-0.61746 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,12),(7,13),-0.918695 # DEPENDENCYPART_NEXTSIBL
(7,12),(7,14),-0.966703 # DEPENDENCYPART_NEXTSIBL
(7,12),(7,15),-1.03397 # DEPENDENCYPART_NEXTSIBL
(7,12),(7,16),-1.12193 # DEPENDENCYPART_NEXTSIBL
(7,12),(7,20),-0.919995 # DEPENDENCYPART_NEXTSIBL
(7,12),(7,27),-0.722999 # DEPENDENCYPART_NEXTSIBL
(7,12),(7,28),-1.16287 # DEPENDENCYPART_NEXTSIBL
(7,12),(7,32),-0.870351 # DEPENDENCYPART_NEXTSIBL
(7,12),(7,36),-0.804756 # DEPENDENCYPART_NEXTSIBL
