# _root_ The high point of foreigners ' copper stocks this year was 136,000 tons at the end of April , according to Mr. Demler .
#goldHeads=3,3,11,3,8,5,8,4,10,11,0,13,11,11,16,14,16,17,11,11,20,23,21,11,
#predictedHeads=3,3,11,3,8,5,8,4,10,3,0,13,11,11,16,14,16,17,11,11,20,23,21,11,
(2,1),(2,-1),-0.280867 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,3),(3,4),-0.0126964 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,5),-0.634893 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,6),-0.231781 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,7),-0.485773 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,8),-0.560125 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,9),-0.417777 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,10),-0.546749 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,11),-0.0473914 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,12),-0.386291 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,13),0.140686 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,14),-0.528086 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,16),-0.494321 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,17),-0.0737037 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,19),-1.28062 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,21),-0.260694 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,24),-0.901607 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,25),-0.378001 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(3,4),(3,5),-0.831673 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,6),-0.585703 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,7),-0.842016 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,8),-0.761429 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,9),-0.977977 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,10),-0.709117 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,11),-0.584085 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,12),-0.971737 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,13),-0.843183 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,14),-0.440113 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,16),-0.781179 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,17),-1.08395 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,19),-0.373127 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,21),-1.05735 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,24),-0.840408 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,25),-0.687381 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,5),(3,6),-0.772412 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,7),-1.10995 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,8),-1.22374 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,9),-1.09508 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,10),-1.10733 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,11),-0.905471 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,12),-1.08365 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,13),-1.28268 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,14),-0.858742 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,16),-1.18544 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,17),-0.889822 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,19),-0.381271 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,21),-0.812051 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,24),-0.88954 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,25),-0.293781 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,6),(3,7),-0.780293 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,8),-0.780348 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,9),-0.883685 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,10),-0.817214 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,11),-0.775833 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,12),-0.916329 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,13),-0.935753 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,14),-0.87481 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,16),-0.926762 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,17),-0.936628 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,19),-0.786463 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,21),-0.896306 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,24),-0.86696 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,25),-0.347511 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,7),(3,8),-0.89883 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,9),-1.05275 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,10),-1.01255 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,11),-0.960078 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,12),-1.05663 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,13),-1.15405 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,14),-0.923887 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,16),-1.07277 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,17),-0.971286 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,19),-0.311301 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,21),-0.829545 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,24),-0.854162 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,25),-0.984666 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,8),(3,9),-0.744548 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,10),-0.549279 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,11),-0.695162 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,12),-0.794108 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,13),-0.829132 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,14),-0.573532 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,16),-0.728184 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,17),-0.562777 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,19),-0.0672403 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,21),-0.492082 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,24),-0.770257 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,25),-0.780788 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,9),(3,10),-0.91937 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,11),-0.88022 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,12),-1.05509 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,13),-1.06752 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,14),-0.978479 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,16),-1.07649 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,17),-0.962908 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,19),-1.07169 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,21),-1.10258 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,24),-0.807106 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,25),-0.861962 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,10),(3,11),-0.804052 # DEPENDENCYPART_NEXTSIBL
(3,10),(3,12),-1.07596 # DEPENDENCYPART_NEXTSIBL
(3,10),(3,13),-1.30998 # DEPENDENCYPART_NEXTSIBL
(3,10),(3,14),-1.01011 # DEPENDENCYPART_NEXTSIBL
(3,10),(3,16),-1.20858 # DEPENDENCYPART_NEXTSIBL
(3,10),(3,17),-0.99459 # DEPENDENCYPART_NEXTSIBL
(3,10),(3,19),-0.331176 # DEPENDENCYPART_NEXTSIBL
(3,10),(3,21),-0.961015 # DEPENDENCYPART_NEXTSIBL
(3,10),(3,24),-1.13491 # DEPENDENCYPART_NEXTSIBL
(3,10),(3,25),-0.367403 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,11),(3,12),-0.678381 # DEPENDENCYPART_NEXTSIBL
(3,11),(3,13),-0.744789 # DEPENDENCYPART_NEXTSIBL
(3,11),(3,14),-0.555867 # DEPENDENCYPART_NEXTSIBL
(3,11),(3,16),-0.678255 # DEPENDENCYPART_NEXTSIBL
(3,11),(3,17),-0.557706 # DEPENDENCYPART_NEXTSIBL
(3,11),(3,19),0.36283 # DEPENDENCYPART_NEXTSIBL
(3,11),(3,21),-0.794469 # DEPENDENCYPART_NEXTSIBL
(3,11),(3,24),-0.0179756 # DEPENDENCYPART_NEXTSIBL
(3,11),(3,25),-0.616742 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,12),(3,13),-0.800983 # DEPENDENCYPART_NEXTSIBL
(3,12),(3,14),-1.00108 # DEPENDENCYPART_NEXTSIBL
(3,12),(3,16),-1.03843 # DEPENDENCYPART_NEXTSIBL
(3,12),(3,17),-1.00278 # DEPENDENCYPART_NEXTSIBL
(3,12),(3,19),-0.889252 # DEPENDENCYPART_NEXTSIBL
(3,12),(3,21),-0.943178 # DEPENDENCYPART_NEXTSIBL
(3,12),(3,24),-0.993646 # DEPENDENCYPART_NEXTSIBL
(3,12),(3,25),-0.762204 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,13),(3,14),-0.303353 # DEPENDENCYPART_NEXTSIBL
(3,13),(3,16),-0.805761 # DEPENDENCYPART_NEXTSIBL
(3,13),(3,17),-0.365161 # DEPENDENCYPART_NEXTSIBL
(3,13),(3,19),-0.0798844 # DEPENDENCYPART_NEXTSIBL
(3,13),(3,21),-0.420436 # DEPENDENCYPART_NEXTSIBL
(3,13),(3,24),-0.119631 # DEPENDENCYPART_NEXTSIBL
(3,13),(3,25),-0.902197 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,14),(3,16),-0.75846 # DEPENDENCYPART_NEXTSIBL
(3,14),(3,17),-0.470783 # DEPENDENCYPART_NEXTSIBL
(3,14),(3,19),-0.438899 # DEPENDENCYPART_NEXTSIBL
(3,14),(3,21),-0.722377 # DEPENDENCYPART_NEXTSIBL
(3,14),(3,24),-0.55201 # DEPENDENCYPART_NEXTSIBL
(3,14),(3,25),-0.750288 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,16),(3,17),-0.532115 # DEPENDENCYPART_NEXTSIBL
(3,16),(3,19),-0.121472 # DEPENDENCYPART_NEXTSIBL
(3,16),(3,21),-0.5753 # DEPENDENCYPART_NEXTSIBL
(3,16),(3,24),-0.331258 # DEPENDENCYPART_NEXTSIBL
(3,16),(3,25),-0.408477 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,17),(3,19),-0.600828 # DEPENDENCYPART_NEXTSIBL
(3,17),(3,21),-0.713943 # DEPENDENCYPART_NEXTSIBL
(3,17),(3,24),-0.698534 # DEPENDENCYPART_NEXTSIBL
(3,17),(3,25),-0.459393 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,19),(3,21),-0.297705 # DEPENDENCYPART_NEXTSIBL
(3,19),(3,24),-0.679436 # DEPENDENCYPART_NEXTSIBL
(3,19),(3,25),-1.25661 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,21),(3,24),-0.850066 # DEPENDENCYPART_NEXTSIBL
(3,21),(3,25),-0.655181 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,24),(3,25),-1.29107 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,3),(3,2),-0.343293 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,1),-0.446283 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,-1),-0.435651 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(3,2),(3,1),-0.137017 # DEPENDENCYPART_NEXTSIBL
(3,2),(3,-1),-0.843518 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,1),(3,-1),-0.0508806 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,4),(4,5),-0.389916 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,7),-0.235326 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,8),-0.338603 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,10),-0.431255 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,13),0.388831 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,25),-0.897478 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(4,5),(4,7),-1.2465 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,8),-1.37062 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,10),-1.267 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,13),-1.42202 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,25),-0.097415 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,7),(4,8),-1.04379 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,10),-1.1703 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,13),-1.29146 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,25),-0.782702 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,8),(4,10),-0.717357 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,13),-0.976875 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,25),-0.62003 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,10),(4,13),-1.48031 # DEPENDENCYPART_NEXTSIBL
(4,10),(4,25),-0.24751 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,13),(4,25),-0.703257 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,4),(4,2),-0.556661 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,-1),-0.182319 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(4,2),(4,-1),-0.972265 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,5),(5,6),-0.231781 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,7),-0.492276 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,8),-0.566629 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,10),-0.560066 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,11),-0.0271535 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,14),-0.520407 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,19),-1.26149 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,24),-0.913432 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,25),-0.376126 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(5,6),(5,7),-0.78213 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,8),-0.782185 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,10),-0.822388 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,11),-0.767564 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,14),-0.866906 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,19),-0.771412 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,24),-0.878788 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,25),-0.347511 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,7),(5,8),-0.902504 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,10),-1.01956 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,11),-0.954201 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,14),-0.915305 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,19),-0.297743 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,24),-0.86755 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,25),-0.994961 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,8),(5,10),-0.55629 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,11),-0.689285 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,14),-0.564949 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,19),-0.0536826 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,24),-0.783645 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,25),-0.791084 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,10),(5,11),-0.801514 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,14),-1.00486 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,19),-0.320956 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,24),-1.1515 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,25),-0.384614 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,11),(5,14),-0.539093 # DEPENDENCYPART_NEXTSIBL
(5,11),(5,19),0.388042 # DEPENDENCYPART_NEXTSIBL
(5,11),(5,24),-0.00737388 # DEPENDENCYPART_NEXTSIBL
(5,11),(5,25),-0.609799 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,14),(5,19),-0.409935 # DEPENDENCYPART_NEXTSIBL
(5,14),(5,24),-0.559843 # DEPENDENCYPART_NEXTSIBL
(5,14),(5,25),-0.73397 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,19),(5,24),-0.676165 # DEPENDENCYPART_NEXTSIBL
(5,19),(5,25),-1.23752 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,24),(5,25),-1.31824 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,5),(5,4),-0.175583 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,3),-0.134625 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,2),-0.334275 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,1),-0.453792 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,-1),-0.389288 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(5,4),(5,3),-0.832266 # DEPENDENCYPART_NEXTSIBL
(5,4),(5,2),-1.05422 # DEPENDENCYPART_NEXTSIBL
(5,4),(5,1),-1.31833 # DEPENDENCYPART_NEXTSIBL
(5,4),(5,-1),-0.75691 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,3),(5,2),-0.704613 # DEPENDENCYPART_NEXTSIBL
(5,3),(5,1),-0.712778 # DEPENDENCYPART_NEXTSIBL
(5,3),(5,-1),-0.529414 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,2),(5,1),-0.12945 # DEPENDENCYPART_NEXTSIBL
(5,2),(5,-1),-0.822452 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,1),(5,-1),-0.0524961 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,6),(6,25),-0.375864 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(6,6),(6,-1),-0.391444 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(7,7),(7,8),-0.562969 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,10),-0.555654 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,11),-0.039665 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,13),0.137842 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,14),-0.526227 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,25),-0.355196 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(7,8),(7,10),-0.552187 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,11),-0.690244 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,13),-0.829079 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,14),-0.56503 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,25),-0.787111 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,10),(7,11),-0.802096 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,13),-1.31289 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,14),-1.00457 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,25),-0.379888 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,11),(7,13),-0.73998 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,14),-0.544668 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,25),-0.621994 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,13),(7,14),-0.294852 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,25),-0.90852 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,14),(7,25),-0.739795 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,7),(7,6),-0.755472 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,5),-0.55112 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,3),-0.12147 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,2),-0.33425 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,-1),-0.404719 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(7,6),(7,5),-0.543579 # DEPENDENCYPART_NEXTSIBL
(7,6),(7,3),-0.854782 # DEPENDENCYPART_NEXTSIBL
(7,6),(7,2),-0.955254 # DEPENDENCYPART_NEXTSIBL
(7,6),(7,-1),-0.958775 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,5),(7,3),-1.65112 # DEPENDENCYPART_NEXTSIBL
(7,5),(7,2),-1.31062 # DEPENDENCYPART_NEXTSIBL
(7,5),(7,-1),-0.312527 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,3),(7,2),-0.700252 # DEPENDENCYPART_NEXTSIBL
(7,3),(7,-1),-0.516374 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,2),(7,-1),-0.822415 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,8),(8,9),-0.416555 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,10),-0.558293 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,11),0.00282781 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,12),-0.397392 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,13),0.135204 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,14),-0.511896 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,16),-0.499802 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,17),-0.0609349 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,18),-0.141001 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,19),-1.33147 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,20),-1.26544 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,23),-0.403114 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,24),-0.914724 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,25),-0.327692 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(8,9),(8,10),-0.920939 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,11),-0.862702 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,12),-1.0578 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,13),-1.06613 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,14),-0.972939 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,16),-1.0751 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,17),-0.956345 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,18),-1.15825 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,19),-1.08042 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,20),-1.06504 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,23),-1.25331 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,24),-0.819255 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,25),-0.86157 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,10),(8,11),-0.788672 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,12),-1.08105 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,13),-1.30797 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,14),-1.00444 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,16),-1.20657 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,17),-0.987686 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,18),-1.43176 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,19),-0.339771 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,20),-0.992026 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,23),-1.45605 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,24),-1.14904 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,25),-0.385938 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,11),(8,12),-0.664394 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,13),-0.726625 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,14),-0.535126 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,16),-0.660091 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,17),-0.535941 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,18),-0.69034 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,19),0.369069 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,20),-0.595002 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,23),-0.71049 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,24),0.00039685 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,25),-0.5816 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,12),(8,13),-0.80311 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,14),-0.999073 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,16),-1.04055 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,17),-0.999742 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,18),-1.18127 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,19),-0.902353 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,20),-1.08132 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,23),-1.37009 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,24),-1.00933 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,25),-0.76185 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,13),(8,14),-0.294723 # DEPENDENCYPART_NEXTSIBL
(8,13),(8,16),-0.800789 # DEPENDENCYPART_NEXTSIBL
(8,13),(8,17),-0.355294 # DEPENDENCYPART_NEXTSIBL
(8,13),(8,18),-0.958728 # DEPENDENCYPART_NEXTSIBL
