# _root_ Spencer J. Volk , president and chief operating officer of this consumer and industrial products company , was elected a director .
#goldHeads=3,3,18,3,6,3,9,9,6,6,13,13,10,13,13,13,3,0,18,21,19,18,
#predictedHeads=3,3,18,3,6,3,9,9,6,6,13,13,10,13,13,13,3,0,18,21,19,18,
(1,9),(9,11),(9,14),-0.0384331 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,11),(9,15),-0.0411891 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,11),(9,16),-0.0411891 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,11),(9,17),-0.044629 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,11),(9,18),-0.0420444 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,11),(9,19),-0.0420444 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,11),(9,21),-0.0411891 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,11),(9,22),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,11),(9,23),-0.0446197 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,12),(9,13),-0.0427057 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,12),(9,14),-0.048054 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,12),(9,15),-0.0140198 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,12),(9,16),-0.0177761 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,12),(9,17),-0.0517423 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,12),(9,18),-0.0437168 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,12),(9,19),-0.0429856 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,12),(9,21),-0.0139954 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,12),(9,22),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,12),(9,23),0.000882485 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,13),(9,14),0.131337 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,13),(9,15),-0.22753 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,13),(9,16),-0.243781 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,13),(9,17),0.219764 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,13),(9,18),0.0490643 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,13),(9,19),-0.00597583 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,13),(9,21),-0.305205 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,13),(9,22),0.0576745 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,13),(9,23),-0.033732 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,14),(9,15),-0.0605795 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,14),(9,16),-0.0611506 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,14),(9,17),-0.0325485 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,14),(9,18),-0.0395049 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,14),(9,19),-0.0395049 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,14),(9,21),-0.0605795 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,14),(9,22),-0.0421103 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,14),(9,23),-0.0474578 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,15),(9,16),-0.0171948 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,15),(9,17),-0.0517423 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,15),(9,18),-0.0437255 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,15),(9,19),-0.0429944 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,15),(9,21),-0.0134141 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,15),(9,22),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,15),(9,23),0.00221348 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,16),(9,17),-0.052548 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,16),(9,18),-0.0437228 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,16),(9,19),-0.0429916 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,16),(9,21),-0.0134099 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,16),(9,22),-0.0383563 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,16),(9,23),-0.00914449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,17),(9,18),-0.117265 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,17),(9,19),-0.11715 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,17),(9,21),0.132794 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,17),(9,22),-0.0439761 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,17),(9,23),-0.0437627 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,18),(9,19),-0.0450753 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,18),(9,21),-0.0485895 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,18),(9,22),-0.0421587 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,18),(9,23),-0.0169376 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,19),(9,21),-0.0485633 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,19),(9,22),-0.0421587 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,19),(9,23),-0.0125912 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,21),(9,22),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,21),(9,23),0.0030779 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,22),(9,23),0.0957853 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,9),(9,8),0.158457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,7),0.173002 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,6),0.0418712 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,5),0.158072 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,4),0.16579 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,3),0.157802 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,2),0.158256 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,1),0.157802 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,9),(9,9),(9,-1),0.01605 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,9),(9,8),(9,7),0.129377 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,8),(9,6),0.104652 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,8),(9,5),0.12718 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,8),(9,4),0.122614 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,8),(9,3),0.131043 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,8),(9,2),0.129843 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,8),(9,1),0.131043 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,8),(9,-1),-0.134527 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,7),(9,6),0.106001 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,7),(9,5),0.134739 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,7),(9,4),0.122456 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,7),(9,3),0.138601 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,7),(9,2),0.137401 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,7),(9,1),0.138601 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,7),(9,-1),-0.129439 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,6),(9,5),0.107761 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,6),(9,4),0.215481 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,6),(9,3),0.168232 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,6),(9,2),0.265487 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,6),(9,1),0.197931 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,6),(9,-1),-0.218912 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,5),(9,4),0.121228 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,5),(9,3),0.125252 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,5),(9,2),0.124052 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,5),(9,1),0.125252 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,5),(9,-1),-0.136623 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,4),(9,3),0.112742 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,4),(9,2),0.112742 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,4),(9,1),0.112742 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,4),(9,-1),-0.00337865 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,3),(9,2),0.125677 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,3),(9,1),0.126877 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,3),(9,-1),-0.133842 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,2),(9,1),0.127135 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,2),(9,-1),-0.134846 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,1),(9,-1),-0.133842 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,17),(17,17),(17,23),-0.00625752 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,17),(17,17),(17,-1),-0.091128 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,18),(18,18),(18,19),-0.0361582 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,18),(18,18),(18,20),-0.0372432 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,18),(18,18),(18,21),-0.037479 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,18),(18,18),(18,22),-0.048883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,18),(18,18),(18,23),0.0694651 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,18),(18,19),(18,20),-0.0420115 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,19),(18,21),-0.0470552 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,19),(18,22),-0.0419685 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,19),(18,23),-0.0731069 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,18),(18,20),(18,21),-0.0441227 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,20),(18,22),-0.0430447 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,20),(18,23),-0.0322194 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,18),(18,21),(18,22),-0.0554613 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,21),(18,23),-0.0537534 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,18),(18,22),(18,23),-0.0875764 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,18),(18,18),(18,17),0.14433 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,18),(18,18),(18,16),0.173588 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,18),(18,18),(18,15),0.166047 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,18),(18,18),(18,14),0.043193 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,18),(18,18),(18,13),0.141056 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,18),(18,18),(18,12),0.167886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,18),(18,18),(18,11),0.123156 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,18),(18,18),(18,10),0.259369 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,18),(18,18),(18,9),0.167735 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,18),(18,18),(18,8),0.167853 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,18),(18,18),(18,7),0.16747 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,18),(18,18),(18,6),0.141056 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,18),(18,18),(18,5),0.165818 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,18),(18,18),(18,4),0.14433 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,18),(18,18),(18,3),0.167895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,18),(18,18),(18,2),0.167895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,18),(18,18),(18,1),0.167885 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,18),(18,18),(18,-1),0.0255572 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,18),(18,17),(18,16),0.119004 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,17),(18,15),0.119015 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,17),(18,14),0.114387 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,17),(18,13),0.132626 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,17),(18,12),0.119013 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,17),(18,11),0.11812 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,17),(18,10),0.149789 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,17),(18,9),0.119014 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,17),(18,8),0.119015 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,17),(18,7),0.119001 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,17),(18,6),0.132626 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,17),(18,5),0.118746 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,17),(18,4),0.11865 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,17),(18,3),0.119015 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,17),(18,2),0.119015 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,17),(18,1),0.119015 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,18),(18,17),(18,-1),-0.191256 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,18),(18,16),(18,15),0.0919996 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,16),(18,14),0.116134 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,16),(18,13),0.106356 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,16),(18,12),0.0919997 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,16),(18,11),0.120421 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,16),(18,10),0.0760571 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,16),(18,9),0.0919997 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,16),(18,8),0.0919997 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,16),(18,7),0.0919975 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,16),(18,6),0.106356 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,16),(18,5),0.0919872 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,16),(18,4),0.0511743 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,16),(18,3),0.0919997 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,16),(18,2),0.0919997 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,16),(18,1),0.0919997 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,18),(18,16),(18,-1),-0.00978568 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,18),(18,15),(18,14),0.116135 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,15),(18,13),0.106397 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,15),(18,12),0.092243 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,15),(18,11),0.120448 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,15),(18,10),0.0756795 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,15),(18,9),0.092243 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,15),(18,8),0.092243 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,15),(18,7),0.0922408 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,15),(18,6),0.106397 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,15),(18,5),0.0922306 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,15),(18,4),0.0524131 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,15),(18,3),0.092243 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,15),(18,2),0.092243 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,15),(18,1),0.092243 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,18),(18,15),(18,-1),-0.0158789 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,18),(18,14),(18,13),0.119152 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,14),(18,12),0.118007 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,14),(18,11),0.11736 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,14),(18,10),0.117958 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,14),(18,9),0.118007 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,14),(18,8),0.118007 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,14),(18,7),0.118007 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,14),(18,6),0.119152 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,14),(18,5),0.118007 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,14),(18,4),0.120659 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,14),(18,3),0.118007 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,14),(18,2),0.118007 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,14),(18,1),0.118007 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,18),(18,14),(18,-1),-0.205271 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,18),(18,13),(18,12),0.0184183 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,13),(18,11),0.3073 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,13),(18,10),0.404017 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,13),(18,9),0.0792089 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,13),(18,8),0.0695288 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,13),(18,7),0.125188 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,13),(18,6),-0.101659 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,13),(18,5),0.107794 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,13),(18,4),0.229441 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,13),(18,3),0.168248 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,13),(18,2),0.265503 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,13),(18,1),0.197947 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,18),(18,13),(18,-1),-0.130293 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,18),(18,12),(18,11),0.120448 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,12),(18,10),0.076972 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,12),(18,9),0.092243 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,12),(18,8),0.092243 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,12),(18,7),0.0922408 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,12),(18,6),0.106397 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,12),(18,5),0.0922306 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,12),(18,4),0.0524131 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,12),(18,3),0.092243 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,12),(18,2),0.092243 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,12),(18,1),0.092243 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,18),(18,12),(18,-1),-0.0143955 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,18),(18,11),(18,10),0.120163 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,11),(18,9),0.118717 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,11),(18,8),0.118717 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,11),(18,7),0.118717 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,11),(18,6),0.118857 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,11),(18,5),0.118717 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,11),(18,4),0.126218 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,11),(18,3),0.118717 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,11),(18,2),0.118717 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,11),(18,1),0.118717 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,18),(18,11),(18,-1),-0.126774 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,18),(18,10),(18,9),0.108281 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,10),(18,8),0.108281 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,10),(18,7),0.108281 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,10),(18,6),0.118716 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,10),(18,5),0.108281 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,10),(18,4),0.168391 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,10),(18,3),0.108281 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,10),(18,2),0.108281 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,10),(18,1),0.108281 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,18),(18,10),(18,-1),-0.164816 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,18),(18,9),(18,8),0.0922251 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,9),(18,7),0.0922229 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,9),(18,6),0.106397 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,9),(18,5),0.0922127 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,9),(18,4),0.0524131 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,9),(18,3),0.0922251 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,9),(18,2),0.0922251 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,9),(18,1),0.0922251 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,18),(18,9),(18,-1),-0.0144873 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,18),(18,8),(18,7),0.0922408 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,8),(18,6),0.106396 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,8),(18,5),0.0922306 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,8),(18,4),0.0524131 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,8),(18,3),0.092243 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,8),(18,2),0.092243 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,8),(18,1),0.092243 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,18),(18,8),(18,-1),-0.0144277 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,18),(18,7),(18,6),0.106397 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,7),(18,5),0.0922282 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,7),(18,4),0.0524104 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,7),(18,3),0.0922407 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,7),(18,2),0.0922407 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,7),(18,1),0.0922407 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,18),(18,7),(18,-1),-0.0148253 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,18),(18,6),(18,5),0.107794 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,6),(18,4),0.229441 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,6),(18,3),0.168248 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,6),(18,2),0.265503 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,6),(18,1),0.197947 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,18),(18,6),(18,-1),-0.130293 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,18),(18,5),(18,4),0.0523103 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,5),(18,3),0.092236 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,5),(18,2),0.0922359 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,5),(18,1),0.092236 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,18),(18,5),(18,-1),-0.0168498 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,18),(18,4),(18,3),0.119015 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,4),(18,2),0.119015 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,4),(18,1),0.119015 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,18),(18,4),(18,-1),-0.191256 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,18),(18,3),(18,2),0.092243 # DEPENDENCYPART_GRANDSIBL
(1,18),(18,3),(18,1),0.092243 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,18),(18,3),(18,-1),-0.0143857 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,18),(18,2),(18,1),0.092243 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,18),(18,2),(18,-1),-0.0143857 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,18),(18,1),(18,-1),-0.0143857 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,1),(1,2),-0.141316 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,1),(1,3),-0.141316 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,4),-0.129725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,5),-0.141316 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,6),-0.139415 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,9),-0.141316 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,17),-0.129725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,18),-0.154371 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,23),0.0127849 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,2),(1,3),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,4),-0.126785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
