# _root_ The internal investigation also criticized MiniScribe 's auditors , Coopers & Lybrand , for allegedly ignoring numerous red flags .
#goldHeads=3,3,5,5,0,8,6,5,8,11,8,11,8,5,16,14,19,19,16,5,
#predictedHeads=3,3,5,5,0,8,6,5,8,11,8,11,8,5,16,14,19,19,16,5,
(19,19),(19,20),-1.1585 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,21),-0.362267 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(19,20),(19,21),-1.48459 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,19),(19,18),-0.309153 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,17),-0.631566 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,16),-0.232905 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,15),0.391367 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,14),-0.568191 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,13),-1.36282 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,11),0.600872 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,9),-1.10788 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,-1),-0.405507 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(19,18),(19,17),-0.377177 # DEPENDENCYPART_NEXTSIBL
(19,18),(19,16),-0.583616 # DEPENDENCYPART_NEXTSIBL
(19,18),(19,15),-0.861586 # DEPENDENCYPART_NEXTSIBL
(19,18),(19,14),-0.952357 # DEPENDENCYPART_NEXTSIBL
(19,18),(19,13),-0.917978 # DEPENDENCYPART_NEXTSIBL
(19,18),(19,11),-0.735363 # DEPENDENCYPART_NEXTSIBL
(19,18),(19,9),-1.24006 # DEPENDENCYPART_NEXTSIBL
(19,18),(19,-1),-1.04683 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,17),(19,16),-0.363351 # DEPENDENCYPART_NEXTSIBL
(19,17),(19,15),-0.701974 # DEPENDENCYPART_NEXTSIBL
(19,17),(19,14),-0.938438 # DEPENDENCYPART_NEXTSIBL
(19,17),(19,13),-0.837011 # DEPENDENCYPART_NEXTSIBL
(19,17),(19,11),-0.805457 # DEPENDENCYPART_NEXTSIBL
(19,17),(19,9),-1.19545 # DEPENDENCYPART_NEXTSIBL
(19,17),(19,-1),-0.75904 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,16),(19,15),-0.51513 # DEPENDENCYPART_NEXTSIBL
(19,16),(19,14),-0.73511 # DEPENDENCYPART_NEXTSIBL
(19,16),(19,13),-0.537098 # DEPENDENCYPART_NEXTSIBL
(19,16),(19,11),-0.809163 # DEPENDENCYPART_NEXTSIBL
(19,16),(19,9),-0.902972 # DEPENDENCYPART_NEXTSIBL
(19,16),(19,-1),-0.822004 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,15),(19,14),-0.68399 # DEPENDENCYPART_NEXTSIBL
(19,15),(19,13),-0.902681 # DEPENDENCYPART_NEXTSIBL
(19,15),(19,11),-0.668827 # DEPENDENCYPART_NEXTSIBL
(19,15),(19,9),-1.39158 # DEPENDENCYPART_NEXTSIBL
(19,15),(19,-1),-0.497375 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,14),(19,13),-0.364432 # DEPENDENCYPART_NEXTSIBL
(19,14),(19,11),-0.946645 # DEPENDENCYPART_NEXTSIBL
(19,14),(19,9),-1.20914 # DEPENDENCYPART_NEXTSIBL
(19,14),(19,-1),-0.866641 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,13),(19,11),-0.564544 # DEPENDENCYPART_NEXTSIBL
(19,13),(19,9),-1.45437 # DEPENDENCYPART_NEXTSIBL
(19,13),(19,-1),-0.954421 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,11),(19,9),0.141574 # DEPENDENCYPART_NEXTSIBL
(19,11),(19,-1),-0.388737 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,9),(19,-1),-1.41901 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,20),(20,21),-0.405394 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(20,20),(20,-1),0.00726794 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(0,3),(3,1),0.180395 # DEPENDENCYPART_GRANDPAR
(0,3),(3,2),-0.0630842 # DEPENDENCYPART_GRANDPAR
(0,3),(3,4),0.967418 # DEPENDENCYPART_GRANDPAR
(0,3),(3,5),0.556251 # DEPENDENCYPART_GRANDPAR
(0,3),(3,6),0.192792 # DEPENDENCYPART_GRANDPAR
(0,3),(3,8),0.251536 # DEPENDENCYPART_GRANDPAR
(0,3),(3,9),0.314664 # DEPENDENCYPART_GRANDPAR
(0,3),(3,11),-0.692296 # DEPENDENCYPART_GRANDPAR
(0,3),(3,13),0.179062 # DEPENDENCYPART_GRANDPAR
(0,3),(3,14),0.453689 # DEPENDENCYPART_GRANDPAR
(0,3),(3,19),0.0984491 # DEPENDENCYPART_GRANDPAR
(0,3),(3,20),2.43901 # DEPENDENCYPART_GRANDPAR
(0,4),(4,1),0.113255 # DEPENDENCYPART_GRANDPAR
(0,4),(4,2),0.0350475 # DEPENDENCYPART_GRANDPAR
(0,4),(4,3),0.341712 # DEPENDENCYPART_GRANDPAR
(0,4),(4,5),0.483442 # DEPENDENCYPART_GRANDPAR
(0,4),(4,6),-0.198426 # DEPENDENCYPART_GRANDPAR
(0,4),(4,8),-0.139679 # DEPENDENCYPART_GRANDPAR
(0,4),(4,9),0.170067 # DEPENDENCYPART_GRANDPAR
(0,5),(5,1),0.0331407 # DEPENDENCYPART_GRANDPAR
(0,5),(5,2),0.0241393 # DEPENDENCYPART_GRANDPAR
(0,5),(5,3),0.331538 # DEPENDENCYPART_GRANDPAR
(0,5),(5,4),0.83542 # DEPENDENCYPART_GRANDPAR
(0,5),(5,6),0.0595327 # DEPENDENCYPART_GRANDPAR
(0,5),(5,8),0.121723 # DEPENDENCYPART_GRANDPAR
(0,5),(5,9),0.270387 # DEPENDENCYPART_GRANDPAR
(0,5),(5,10),-0.182166 # DEPENDENCYPART_GRANDPAR
(0,5),(5,11),-0.786789 # DEPENDENCYPART_GRANDPAR
(0,5),(5,12),-0.084992 # DEPENDENCYPART_GRANDPAR
(0,5),(5,13),0.134784 # DEPENDENCYPART_GRANDPAR
(0,5),(5,14),0.489318 # DEPENDENCYPART_GRANDPAR
(0,5),(5,15),0.225921 # DEPENDENCYPART_GRANDPAR
(0,5),(5,16),0.45471 # DEPENDENCYPART_GRANDPAR
(0,5),(5,17),-0.235912 # DEPENDENCYPART_GRANDPAR
(0,5),(5,18),-0.162548 # DEPENDENCYPART_GRANDPAR
(0,5),(5,20),2.44262 # DEPENDENCYPART_GRANDPAR
(0,6),(6,1),0.182168 # DEPENDENCYPART_GRANDPAR
(0,6),(6,2),-0.061176 # DEPENDENCYPART_GRANDPAR
(0,6),(6,3),0.177795 # DEPENDENCYPART_GRANDPAR
(0,6),(6,4),0.678345 # DEPENDENCYPART_GRANDPAR
(0,6),(6,5),0.41793 # DEPENDENCYPART_GRANDPAR
(0,6),(6,7),-0.0223715 # DEPENDENCYPART_GRANDPAR
(0,6),(6,8),0.252506 # DEPENDENCYPART_GRANDPAR
(0,6),(6,9),0.315349 # DEPENDENCYPART_GRANDPAR
(0,6),(6,11),-0.692028 # DEPENDENCYPART_GRANDPAR
(0,6),(6,13),0.179747 # DEPENDENCYPART_GRANDPAR
(0,6),(6,14),0.438731 # DEPENDENCYPART_GRANDPAR
(0,6),(6,15),0.282451 # DEPENDENCYPART_GRANDPAR
(0,6),(6,16),0.491318 # DEPENDENCYPART_GRANDPAR
(0,6),(6,20),2.43904 # DEPENDENCYPART_GRANDPAR
(0,8),(8,1),0.182168 # DEPENDENCYPART_GRANDPAR
(0,8),(8,2),-0.0639518 # DEPENDENCYPART_GRANDPAR
(0,8),(8,3),0.178903 # DEPENDENCYPART_GRANDPAR
(0,8),(8,4),0.678345 # DEPENDENCYPART_GRANDPAR
(0,8),(8,5),0.417945 # DEPENDENCYPART_GRANDPAR
(0,8),(8,6),-0.394937 # DEPENDENCYPART_GRANDPAR
(0,8),(8,7),-0.00475289 # DEPENDENCYPART_GRANDPAR
(0,8),(8,9),0.31535 # DEPENDENCYPART_GRANDPAR
(0,8),(8,10),-0.0513628 # DEPENDENCYPART_GRANDPAR
(0,8),(8,11),-0.692027 # DEPENDENCYPART_GRANDPAR
(0,8),(8,12),0.0458114 # DEPENDENCYPART_GRANDPAR
(0,8),(8,13),0.179748 # DEPENDENCYPART_GRANDPAR
(0,8),(8,14),0.438732 # DEPENDENCYPART_GRANDPAR
(0,8),(8,15),0.282452 # DEPENDENCYPART_GRANDPAR
(0,8),(8,16),0.491366 # DEPENDENCYPART_GRANDPAR
(0,8),(8,17),-0.201414 # DEPENDENCYPART_GRANDPAR
(0,8),(8,18),-0.124677 # DEPENDENCYPART_GRANDPAR
(0,8),(8,19),0.0994394 # DEPENDENCYPART_GRANDPAR
(0,8),(8,20),2.43904 # DEPENDENCYPART_GRANDPAR
(0,11),(11,1),0.0666956 # DEPENDENCYPART_GRANDPAR
(0,11),(11,2),0.00312493 # DEPENDENCYPART_GRANDPAR
(0,11),(11,3),0.371341 # DEPENDENCYPART_GRANDPAR
(0,11),(11,4),0.754613 # DEPENDENCYPART_GRANDPAR
(0,11),(11,5),0.558134 # DEPENDENCYPART_GRANDPAR
(0,11),(11,6),-0.189993 # DEPENDENCYPART_GRANDPAR
(0,11),(11,8),-0.154393 # DEPENDENCYPART_GRANDPAR
(0,11),(11,9),0.348156 # DEPENDENCYPART_GRANDPAR
(0,11),(11,10),-0.458283 # DEPENDENCYPART_GRANDPAR
(0,11),(11,12),-0.209047 # DEPENDENCYPART_GRANDPAR
(0,11),(11,13),0.128726 # DEPENDENCYPART_GRANDPAR
(0,11),(11,14),0.311788 # DEPENDENCYPART_GRANDPAR
(0,11),(11,15),0.106965 # DEPENDENCYPART_GRANDPAR
(0,11),(11,16),0.521155 # DEPENDENCYPART_GRANDPAR
(0,11),(11,17),-0.360082 # DEPENDENCYPART_GRANDPAR
(0,11),(11,18),-0.286505 # DEPENDENCYPART_GRANDPAR
(0,11),(11,19),-0.155419 # DEPENDENCYPART_GRANDPAR
(0,11),(11,20),2.253 # DEPENDENCYPART_GRANDPAR
(0,16),(16,5),0.387467 # DEPENDENCYPART_GRANDPAR
(0,16),(16,8),-0.189743 # DEPENDENCYPART_GRANDPAR
(0,16),(16,11),-0.742407 # DEPENDENCYPART_GRANDPAR
(0,16),(16,13),0.348707 # DEPENDENCYPART_GRANDPAR
(0,16),(16,14),-0.0158076 # DEPENDENCYPART_GRANDPAR
(0,16),(16,15),-0.00118523 # DEPENDENCYPART_GRANDPAR
(0,16),(16,17),-0.240127 # DEPENDENCYPART_GRANDPAR
(0,16),(16,18),-0.166762 # DEPENDENCYPART_GRANDPAR
(0,16),(16,19),-0.0402706 # DEPENDENCYPART_GRANDPAR
(0,16),(16,20),2.43115 # DEPENDENCYPART_GRANDPAR
(0,19),(19,9),0.353046 # DEPENDENCYPART_GRANDPAR
(0,19),(19,11),-0.773254 # DEPENDENCYPART_GRANDPAR
(0,19),(19,13),0.217443 # DEPENDENCYPART_GRANDPAR
(0,19),(19,14),-0.156551 # DEPENDENCYPART_GRANDPAR
(0,19),(19,15),-0.0715587 # DEPENDENCYPART_GRANDPAR
(0,19),(19,16),0.362413 # DEPENDENCYPART_GRANDPAR
(0,19),(19,17),-0.634578 # DEPENDENCYPART_GRANDPAR
(0,19),(19,18),-0.567027 # DEPENDENCYPART_GRANDPAR
(0,19),(19,20),2.43904 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-0.989142 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,2),(2,3),0.0868421 # DEPENDENCYPART_GRANDPAR
(1,2),(2,4),0.121956 # DEPENDENCYPART_GRANDPAR
(1,2),(2,5),-0.0391731 # DEPENDENCYPART_GRANDPAR
(2,1),(1,2),-1.50306 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,1),(1,9),-0.300347 # DEPENDENCYPART_GRANDPAR
(2,3),(3,1),-0.634786 # DEPENDENCYPART_GRANDPAR
(2,3),(3,2),-1.0397 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,3),(3,4),0.0695938 # DEPENDENCYPART_GRANDPAR
(2,3),(3,5),0.119 # DEPENDENCYPART_GRANDPAR
(2,3),(3,6),-0.232787 # DEPENDENCYPART_GRANDPAR
(2,3),(3,8),-0.274944 # DEPENDENCYPART_GRANDPAR
(2,3),(3,9),0.177095 # DEPENDENCYPART_GRANDPAR
(2,3),(3,11),-0.185756 # DEPENDENCYPART_GRANDPAR
(2,3),(3,13),0.082017 # DEPENDENCYPART_GRANDPAR
(2,3),(3,14),-0.0814651 # DEPENDENCYPART_GRANDPAR
(2,3),(3,19),-0.569589 # DEPENDENCYPART_GRANDPAR
(2,3),(3,20),-0.530708 # DEPENDENCYPART_GRANDPAR
(2,4),(4,1),-0.572815 # DEPENDENCYPART_GRANDPAR
(2,4),(4,2),-1.05558 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,4),(4,3),0.296537 # DEPENDENCYPART_GRANDPAR
(2,4),(4,5),0.101739 # DEPENDENCYPART_GRANDPAR
(2,4),(4,6),-0.285914 # DEPENDENCYPART_GRANDPAR
(2,4),(4,8),-0.328067 # DEPENDENCYPART_GRANDPAR
(2,4),(4,9),0.202563 # DEPENDENCYPART_GRANDPAR
(2,5),(5,1),-0.554313 # DEPENDENCYPART_GRANDPAR
(2,5),(5,2),-1.11818 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,5),(5,3),0.247854 # DEPENDENCYPART_GRANDPAR
(2,5),(5,4),-0.00104099 # DEPENDENCYPART_GRANDPAR
(2,5),(5,6),-0.249855 # DEPENDENCYPART_GRANDPAR
(2,5),(5,8),-0.288566 # DEPENDENCYPART_GRANDPAR
(2,5),(5,9),0.200909 # DEPENDENCYPART_GRANDPAR
(2,5),(5,10),-0.422814 # DEPENDENCYPART_GRANDPAR
(2,5),(5,11),-0.163374 # DEPENDENCYPART_GRANDPAR
(2,5),(5,12),-0.483469 # DEPENDENCYPART_GRANDPAR
(2,5),(5,13),0.105831 # DEPENDENCYPART_GRANDPAR
(2,5),(5,14),0.0353957 # DEPENDENCYPART_GRANDPAR
(2,5),(5,15),-0.0375995 # DEPENDENCYPART_GRANDPAR
(2,5),(5,16),-0.0935731 # DEPENDENCYPART_GRANDPAR
(2,5),(5,17),-0.505994 # DEPENDENCYPART_GRANDPAR
(2,5),(5,18),-0.566508 # DEPENDENCYPART_GRANDPAR
(2,5),(5,20),-0.598873 # DEPENDENCYPART_GRANDPAR
(3,1),(1,2),0.45138 # DEPENDENCYPART_GRANDPAR
(3,1),(1,9),-0.487928 # DEPENDENCYPART_GRANDPAR
(3,2),(2,1),0.133806 # DEPENDENCYPART_GRANDPAR
(3,2),(2,3),-1.386 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,2),(2,4),-0.0647301 # DEPENDENCYPART_GRANDPAR
(3,2),(2,5),-0.648737 # DEPENDENCYPART_GRANDPAR
(3,4),(4,1),-0.33944 # DEPENDENCYPART_GRANDPAR
(3,4),(4,2),0.02034 # DEPENDENCYPART_GRANDPAR
(3,4),(4,3),-0.749739 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,4),(4,5),-0.0505533 # DEPENDENCYPART_GRANDPAR
(3,4),(4,6),0.0688814 # DEPENDENCYPART_GRANDPAR
(3,4),(4,8),0.0169635 # DEPENDENCYPART_GRANDPAR
(3,4),(4,9),0.0969813 # DEPENDENCYPART_GRANDPAR
(3,5),(5,1),-0.461036 # DEPENDENCYPART_GRANDPAR
(3,5),(5,2),-0.0807413 # DEPENDENCYPART_GRANDPAR
(3,5),(5,3),-0.867726 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,5),(5,4),0.45621 # DEPENDENCYPART_GRANDPAR
(3,5),(5,6),0.122245 # DEPENDENCYPART_GRANDPAR
(3,5),(5,8),0.0737747 # DEPENDENCYPART_GRANDPAR
(3,5),(5,9),0.0497957 # DEPENDENCYPART_GRANDPAR
(3,5),(5,10),0.122155 # DEPENDENCYPART_GRANDPAR
(3,5),(5,11),0.10033 # DEPENDENCYPART_GRANDPAR
(3,5),(5,12),-0.00596782 # DEPENDENCYPART_GRANDPAR
(3,5),(5,13),0.0899091 # DEPENDENCYPART_GRANDPAR
(3,5),(5,14),0.176147 # DEPENDENCYPART_GRANDPAR
(3,5),(5,15),0.175061 # DEPENDENCYPART_GRANDPAR
(3,5),(5,16),-0.2502 # DEPENDENCYPART_GRANDPAR
(3,5),(5,17),-0.465351 # DEPENDENCYPART_GRANDPAR
(3,5),(5,18),-0.563508 # DEPENDENCYPART_GRANDPAR
(3,5),(5,20),-0.762788 # DEPENDENCYPART_GRANDPAR
(3,6),(6,1),-0.463096 # DEPENDENCYPART_GRANDPAR
(3,6),(6,2),-0.0645995 # DEPENDENCYPART_GRANDPAR
(3,6),(6,3),-0.764022 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,6),(6,4),0.437666 # DEPENDENCYPART_GRANDPAR
(3,6),(6,5),0.0291519 # DEPENDENCYPART_GRANDPAR
(3,6),(6,7),-0.670308 # DEPENDENCYPART_GRANDPAR
(3,6),(6,8),0.0237974 # DEPENDENCYPART_GRANDPAR
(3,6),(6,9),0.0885645 # DEPENDENCYPART_GRANDPAR
(3,6),(6,11),0.00810161 # DEPENDENCYPART_GRANDPAR
(3,6),(6,13),0.128678 # DEPENDENCYPART_GRANDPAR
(3,6),(6,14),0.00700731 # DEPENDENCYPART_GRANDPAR
(3,6),(6,15),0.0343207 # DEPENDENCYPART_GRANDPAR
(3,6),(6,16),-0.23457 # DEPENDENCYPART_GRANDPAR
(3,6),(6,20),-0.63962 # DEPENDENCYPART_GRANDPAR
(3,8),(8,1),-0.463096 # DEPENDENCYPART_GRANDPAR
(3,8),(8,2),-0.0645995 # DEPENDENCYPART_GRANDPAR
(3,8),(8,3),-0.763967 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,8),(8,4),0.436613 # DEPENDENCYPART_GRANDPAR
(3,8),(8,5),0.0281141 # DEPENDENCYPART_GRANDPAR
(3,8),(8,6),0.0450088 # DEPENDENCYPART_GRANDPAR
(3,8),(8,7),0.0454682 # DEPENDENCYPART_GRANDPAR
(3,8),(8,9),0.0885645 # DEPENDENCYPART_GRANDPAR
(3,8),(8,10),0.0721975 # DEPENDENCYPART_GRANDPAR
(3,8),(8,11),0.00810161 # DEPENDENCYPART_GRANDPAR
(3,8),(8,12),-0.0559257 # DEPENDENCYPART_GRANDPAR
(3,8),(8,13),0.128678 # DEPENDENCYPART_GRANDPAR
(3,8),(8,14),0.00700731 # DEPENDENCYPART_GRANDPAR
(3,8),(8,15),0.0343207 # DEPENDENCYPART_GRANDPAR
(3,8),(8,16),-0.234524 # DEPENDENCYPART_GRANDPAR
(3,8),(8,17),-0.57851 # DEPENDENCYPART_GRANDPAR
(3,8),(8,18),-0.672094 # DEPENDENCYPART_GRANDPAR
(3,8),(8,19),-0.305935 # DEPENDENCYPART_GRANDPAR
(3,8),(8,20),-0.63962 # DEPENDENCYPART_GRANDPAR
(3,11),(11,1),-0.391038 # DEPENDENCYPART_GRANDPAR
(3,11),(11,2),-0.0376176 # DEPENDENCYPART_GRANDPAR
(3,11),(11,3),-0.67682 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,11),(11,4),0.460595 # DEPENDENCYPART_GRANDPAR
(3,11),(11,5),0.0492824 # DEPENDENCYPART_GRANDPAR
(3,11),(11,6),0.13477 # DEPENDENCYPART_GRANDPAR
(3,11),(11,8),0.0757194 # DEPENDENCYPART_GRANDPAR
(3,11),(11,9),0.0999554 # DEPENDENCYPART_GRANDPAR
(3,11),(11,10),0.1241 # DEPENDENCYPART_GRANDPAR
(3,11),(11,12),0.0627342 # DEPENDENCYPART_GRANDPAR
(3,11),(11,13),0.120841 # DEPENDENCYPART_GRANDPAR
(3,11),(11,14),0.189485 # DEPENDENCYPART_GRANDPAR
(3,11),(11,15),0.193296 # DEPENDENCYPART_GRANDPAR
(3,11),(11,16),-0.12795 # DEPENDENCYPART_GRANDPAR
(3,11),(11,17),-0.331924 # DEPENDENCYPART_GRANDPAR
(3,11),(11,18),-0.425851 # DEPENDENCYPART_GRANDPAR
(3,11),(11,19),-0.187276 # DEPENDENCYPART_GRANDPAR
(3,11),(11,20),-0.650661 # DEPENDENCYPART_GRANDPAR
(3,14),(14,11),0.0658569 # DEPENDENCYPART_GRANDPAR
(3,14),(14,13),0.0256576 # DEPENDENCYPART_GRANDPAR
(3,14),(14,15),0.131743 # DEPENDENCYPART_GRANDPAR
(3,14),(14,16),-0.110595 # DEPENDENCYPART_GRANDPAR
(3,14),(14,17),-0.405293 # DEPENDENCYPART_GRANDPAR
(3,14),(14,18),-0.498265 # DEPENDENCYPART_GRANDPAR
(3,14),(14,19),-0.205807 # DEPENDENCYPART_GRANDPAR
(3,14),(14,20),-0.693042 # DEPENDENCYPART_GRANDPAR
(3,19),(19,9),0.0650756 # DEPENDENCYPART_GRANDPAR
(3,19),(19,11),0.14188 # DEPENDENCYPART_GRANDPAR
(3,19),(19,13),0.105189 # DEPENDENCYPART_GRANDPAR
(3,19),(19,14),0.0636356 # DEPENDENCYPART_GRANDPAR
(3,19),(19,15),0.075246 # DEPENDENCYPART_GRANDPAR
(3,19),(19,16),-0.108033 # DEPENDENCYPART_GRANDPAR
(3,19),(19,17),-0.347997 # DEPENDENCYPART_GRANDPAR
(3,19),(19,18),-0.463938 # DEPENDENCYPART_GRANDPAR
(3,19),(19,20),-0.63962 # DEPENDENCYPART_GRANDPAR
(4,1),(1,2),0.134963 # DEPENDENCYPART_GRANDPAR
(4,1),(1,9),-0.584663 # DEPENDENCYPART_GRANDPAR
(4,2),(2,1),-0.114419 # DEPENDENCYPART_GRANDPAR
(4,2),(2,3),0.0243709 # DEPENDENCYPART_GRANDPAR
(4,2),(2,4),-1.54404 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,2),(2,5),-0.456599 # DEPENDENCYPART_GRANDPAR
(4,3),(3,1),-0.111992 # DEPENDENCYPART_GRANDPAR
(4,3),(3,2),0.186741 # DEPENDENCYPART_GRANDPAR
(4,3),(3,4),-1.55836 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,3),(3,5),-0.472443 # DEPENDENCYPART_GRANDPAR
(4,3),(3,6),-0.571279 # DEPENDENCYPART_GRANDPAR
(4,3),(3,8),-0.639081 # DEPENDENCYPART_GRANDPAR
(4,3),(3,9),-0.677357 # DEPENDENCYPART_GRANDPAR
(4,3),(3,11),-0.70198 # DEPENDENCYPART_GRANDPAR
(4,3),(3,13),-0.694711 # DEPENDENCYPART_GRANDPAR
(4,3),(3,14),-0.697615 # DEPENDENCYPART_GRANDPAR
(4,3),(3,19),-1.14412 # DEPENDENCYPART_GRANDPAR
(4,3),(3,20),-1.09343 # DEPENDENCYPART_GRANDPAR
(4,5),(5,1),-0.561597 # DEPENDENCYPART_GRANDPAR
(4,5),(5,2),-0.284088 # DEPENDENCYPART_GRANDPAR
(4,5),(5,3),-0.462088 # DEPENDENCYPART_GRANDPAR
(4,5),(5,4),-1.05757 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,5),(5,6),-0.201236 # DEPENDENCYPART_GRANDPAR
(4,5),(5,8),-0.265596 # DEPENDENCYPART_GRANDPAR
(4,5),(5,9),-0.137741 # DEPENDENCYPART_GRANDPAR
(4,5),(5,10),-0.509321 # DEPENDENCYPART_GRANDPAR
(4,5),(5,11),-0.252438 # DEPENDENCYPART_GRANDPAR
(4,5),(5,12),-0.557809 # DEPENDENCYPART_GRANDPAR
(4,5),(5,13),-0.155094 # DEPENDENCYPART_GRANDPAR
(4,5),(5,14),-0.271874 # DEPENDENCYPART_GRANDPAR
(4,5),(5,15),-0.0889675 # DEPENDENCYPART_GRANDPAR
(4,5),(5,16),-0.352653 # DEPENDENCYPART_GRANDPAR
(4,5),(5,17),-0.576017 # DEPENDENCYPART_GRANDPAR
(4,5),(5,18),-0.564655 # DEPENDENCYPART_GRANDPAR
(4,5),(5,20),-0.690474 # DEPENDENCYPART_GRANDPAR
(4,6),(6,1),-0.616088 # DEPENDENCYPART_GRANDPAR
(4,6),(6,2),-0.319333 # DEPENDENCYPART_GRANDPAR
(4,6),(6,3),-0.36764 # DEPENDENCYPART_GRANDPAR
(4,6),(6,4),-1.13987 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,6),(6,5),0.0765534 # DEPENDENCYPART_GRANDPAR
(4,6),(6,7),-0.202107 # DEPENDENCYPART_GRANDPAR
(4,6),(6,8),-0.205013 # DEPENDENCYPART_GRANDPAR
(4,6),(6,9),-0.0554015 # DEPENDENCYPART_GRANDPAR
(4,6),(6,11),-0.241034 # DEPENDENCYPART_GRANDPAR
(4,6),(6,13),-0.0727551 # DEPENDENCYPART_GRANDPAR
(4,6),(6,14),-0.323075 # DEPENDENCYPART_GRANDPAR
(4,6),(6,15),-0.0501072 # DEPENDENCYPART_GRANDPAR
(4,6),(6,16),-0.243887 # DEPENDENCYPART_GRANDPAR
(4,6),(6,20),-0.576471 # DEPENDENCYPART_GRANDPAR
(4,8),(8,1),-0.616088 # DEPENDENCYPART_GRANDPAR
(4,8),(8,2),-0.319333 # DEPENDENCYPART_GRANDPAR
(4,8),(8,3),-0.36764 # DEPENDENCYPART_GRANDPAR
(4,8),(8,4),-1.13987 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,8),(8,5),0.0765688 # DEPENDENCYPART_GRANDPAR
(4,8),(8,6),-0.0839724 # DEPENDENCYPART_GRANDPAR
(4,8),(8,7),0.131383 # DEPENDENCYPART_GRANDPAR
(4,8),(8,9),-0.0554015 # DEPENDENCYPART_GRANDPAR
(4,8),(8,10),-0.448718 # DEPENDENCYPART_GRANDPAR
(4,8),(8,11),-0.241034 # DEPENDENCYPART_GRANDPAR
(4,8),(8,12),-0.497207 # DEPENDENCYPART_GRANDPAR
(4,8),(8,13),-0.0727551 # DEPENDENCYPART_GRANDPAR
(4,8),(8,14),-0.323075 # DEPENDENCYPART_GRANDPAR
(4,8),(8,15),-0.0501072 # DEPENDENCYPART_GRANDPAR
(4,8),(8,16),-0.243841 # DEPENDENCYPART_GRANDPAR
(4,8),(8,17),-0.526117 # DEPENDENCYPART_GRANDPAR
(4,8),(8,18),-0.510459 # DEPENDENCYPART_GRANDPAR
(4,8),(8,19),-0.71003 # DEPENDENCYPART_GRANDPAR
(4,8),(8,20),-0.576471 # DEPENDENCYPART_GRANDPAR
(5,1),(1,2),0.502927 # DEPENDENCYPART_GRANDPAR
(5,1),(1,9),0.0198599 # DEPENDENCYPART_GRANDPAR
(5,2),(2,1),0.814949 # DEPENDENCYPART_GRANDPAR
(5,2),(2,3),0.262693 # DEPENDENCYPART_GRANDPAR
(5,2),(2,4),0.487264 # DEPENDENCYPART_GRANDPAR
(5,2),(2,5),-0.878277 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,3),(3,1),0.828393 # DEPENDENCYPART_GRANDPAR
(5,3),(3,2),0.621898 # DEPENDENCYPART_GRANDPAR
(5,3),(3,4),0.523116 # DEPENDENCYPART_GRANDPAR
(5,3),(3,5),-0.868779 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
