# _root_ MCI Communications Corp. said it won a $ 27 million contract from Stuart-James Co. , a Denver investment banking concern , to provide voice and data telecommunications services .
#goldHeads=3,3,4,0,6,4,11,11,8,8,6,6,14,12,14,20,20,20,20,14,14,23,11,25,28,25,28,23,4,
#predictedHeads=3,3,4,0,6,4,11,11,8,8,6,6,14,12,14,20,20,20,20,14,14,23,11,25,28,25,25,23,4,
(5,6),(6,12),(6,29),-0.0195169 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,30),-0.0203493 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,13),(6,14),-0.0196082 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,13),(6,15),-0.0194609 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,13),(6,18),-0.0196082 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,13),(6,20),-0.0196082 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,13),(6,21),-0.0194609 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,13),(6,22),-0.0209689 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,13),(6,23),-0.0200612 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,13),(6,24),-0.0196082 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,13),(6,25),-0.0196251 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,13),(6,29),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,13),(6,30),-0.0174836 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,14),(6,15),-0.0194609 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,14),(6,18),-0.0196082 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,14),(6,20),-0.0196082 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,14),(6,21),-0.0194609 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,14),(6,22),-0.0209689 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,14),(6,23),-0.0200612 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,14),(6,24),-0.0196082 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,14),(6,25),-0.0196251 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,14),(6,29),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,14),(6,30),-0.0174836 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,15),(6,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,15),(6,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,15),(6,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,15),(6,22),-0.0194474 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,15),(6,23),-0.019584 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,15),(6,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,15),(6,25),-0.0194542 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,15),(6,29),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,15),(6,30),-0.0211213 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,18),(6,20),-0.0196082 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,18),(6,21),-0.0194609 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,18),(6,22),-0.0209689 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,18),(6,23),-0.0200612 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,18),(6,24),-0.0196082 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,18),(6,25),-0.0196251 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,18),(6,29),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,18),(6,30),-0.0174836 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,20),(6,21),-0.0194609 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,20),(6,22),-0.0209689 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,20),(6,23),-0.0200612 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,20),(6,24),-0.0196082 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,20),(6,25),-0.0196251 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,20),(6,29),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,20),(6,30),-0.0174836 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,21),(6,22),-0.0194474 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,21),(6,23),-0.019584 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,21),(6,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,21),(6,25),-0.0194542 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,21),(6,29),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,21),(6,30),-0.0211213 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,22),(6,23),-0.0194654 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,22),(6,24),-0.0194416 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,22),(6,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,22),(6,29),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,22),(6,30),-0.0238083 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,23),(6,24),-0.0194938 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,23),(6,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,23),(6,29),-0.0194411 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,23),(6,30),-0.00835706 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,24),(6,25),-0.0196251 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,24),(6,29),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,24),(6,30),-0.0174836 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,25),(6,29),0.14467 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,25),(6,30),-0.0234937 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,29),(6,30),-0.0195405 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,6),(6,5),0.114639 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,3),-0.145563 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,2),-0.145563 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,1),-0.145563 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,-1),-0.203086 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,6),(6,5),(6,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,5),(6,3),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,5),(6,2),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,5),(6,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,5),(6,-1),-0.145924 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,6),(6,4),(6,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,4),(6,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,4),(6,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,4),(6,-1),-0.145872 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,3),(6,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,3),(6,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,3),(6,-1),-0.144758 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,2),(6,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,2),(6,-1),-0.144758 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,1),(6,-1),-0.144758 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,1),(1,2),0.0258138 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,1),(1,3),0.0250046 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,1),(1,4),0.11706 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,1),(1,6),-0.125783 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,1),(1,30),-0.181177 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,1),(1,2),(1,3),0.110552 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,2),(1,4),0.129826 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,2),(1,6),-0.145067 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,2),(1,30),-0.114906 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,3),(1,4),0.129826 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,3),(1,6),-0.145067 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,3),(1,30),-0.114824 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,4),(1,6),-0.142049 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,4),(1,30),-0.148344 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,6),(1,30),-0.138321 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,1),(1,1),(1,-1),0.0727282 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,2),(2,2),(2,3),0.0205256 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,2),(2,2),(2,4),0.11706 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,2),(2,2),(2,5),0.102465 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,2),(2,2),(2,6),-0.125783 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,2),(2,2),(2,8),-0.147299 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,2),(2,2),(2,30),-0.187164 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,2),(2,3),(2,4),0.129826 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,3),(2,5),0.106405 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,3),(2,6),-0.145067 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,3),(2,8),-0.144712 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,3),(2,30),-0.119302 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,2),(2,4),(2,5),0.117608 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,4),(2,6),-0.142049 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,4),(2,8),-0.144702 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,4),(2,30),-0.148344 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,2),(2,5),(2,6),-0.144951 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,5),(2,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,5),(2,30),-0.228428 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,2),(2,6),(2,8),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,2),(2,6),(2,30),-0.138321 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,2),(2,8),(2,30),-0.160842 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,2),(2,2),(2,1),0.0363272 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,2),(2,2),(2,-1),0.0589344 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,2),(2,1),(2,-1),-0.00387338 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,3),(3,3),(3,4),0.116602 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,3),(3,3),(3,5),0.102274 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,3),(3,3),(3,6),-0.125783 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,3),(3,3),(3,8),-0.147299 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,3),(3,3),(3,12),-0.0775571 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,3),(3,3),(3,20),-0.0540059 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,3),(3,3),(3,21),-0.144869 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,3),(3,3),(3,29),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,3),(3,3),(3,30),-0.18976 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,3),(3,4),(3,5),0.117608 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,4),(3,6),-0.142049 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,4),(3,8),-0.144702 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,4),(3,12),-0.147341 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,4),(3,20),-0.142067 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,4),(3,21),-0.161446 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,4),(3,29),-0.144709 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,4),(3,30),-0.148013 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,3),(3,5),(3,6),-0.144951 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,5),(3,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,5),(3,12),-0.144704 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,5),(3,20),-0.145337 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,5),(3,21),-0.144702 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,5),(3,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,5),(3,30),-0.228618 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,3),(3,6),(3,8),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,3),(3,6),(3,12),-0.147067 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,3),(3,6),(3,20),-0.142065 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,3),(3,6),(3,21),-0.161434 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,3),(3,6),(3,29),-0.144708 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,3),(3,6),(3,30),-0.13799 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,3),(3,8),(3,12),-0.144728 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,8),(3,20),-0.144705 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,8),(3,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,8),(3,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,8),(3,30),-0.160842 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,3),(3,12),(3,20),-0.145619 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,12),(3,21),-0.148968 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,12),(3,29),-0.144742 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,12),(3,30),-0.054889 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,3),(3,20),(3,21),-0.158956 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,20),(3,29),-0.144958 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,20),(3,30),-0.106112 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,3),(3,21),(3,29),-0.144938 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,21),(3,30),-0.144372 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,3),(3,29),(3,30),-0.14799 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,3),(3,3),(3,2),0.0337636 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,3),(3,3),(3,1),0.0381454 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,3),(3,3),(3,-1),0.0638132 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,3),(3,2),(3,1),-0.0136238 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,2),(3,-1),-0.00566959 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,3),(3,1),(3,-1),-0.00357813 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,4),(4,4),(4,5),0.0822716 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,4),(4,6),-0.130571 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,4),(4,8),-0.1462 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,4),(4,9),-0.145993 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,4),(4,11),-0.191209 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,4),(4,12),-0.0193181 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,4),(4,15),-0.144727 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,4),(4,25),-0.166993 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,4),(4,29),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,4),(4,30),-0.23403 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,4),(4,5),(4,6),-0.145421 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,5),(4,8),-0.144728 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,5),(4,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,5),(4,11),-0.144813 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,5),(4,12),-0.151057 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,5),(4,15),-0.145363 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,5),(4,25),-0.144934 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,5),(4,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,5),(4,30),-0.135509 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,4),(4,6),(4,8),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,6),(4,9),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,6),(4,11),-0.145197 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,6),(4,12),-0.151747 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,6),(4,15),-0.146216 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,6),(4,25),-0.144757 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,6),(4,29),-0.144704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,6),(4,30),-0.145198 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,4),(4,8),(4,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,8),(4,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,8),(4,12),-0.145252 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,8),(4,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,8),(4,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,8),(4,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,8),(4,30),-0.151168 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,4),(4,9),(4,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,9),(4,12),-0.144884 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,9),(4,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,9),(4,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,9),(4,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,9),(4,30),-0.167134 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,4),(4,11),(4,12),-0.191218 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,11),(4,15),-0.147788 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,11),(4,25),-0.145897 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,11),(4,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,11),(4,30),-0.17526 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,4),(4,12),(4,15),-0.146437 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,12),(4,25),-0.148543 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,12),(4,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,12),(4,30),-0.12694 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,4),(4,15),(4,25),-0.152144 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,15),(4,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,15),(4,30),-0.078879 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,4),(4,25),(4,29),0.108642 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,25),(4,30),-0.212576 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,4),(4,29),(4,30),-0.142964 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,4),(4,4),(4,3),0.0469143 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,4),(4,2),0.0478864 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,4),(4,1),0.0480664 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,4),(4,-1),0.0668283 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,4),(4,3),(4,2),-0.00215334 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,3),(4,1),-0.00215334 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,3),(4,-1),-0.0448053 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,4),(4,2),(4,1),-0.00431091 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,2),(4,-1),-0.0453496 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,4),(4,1),(4,-1),-0.0453951 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,5),(5,5),(5,6),-0.105979 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,5),(5,30),-0.128951 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,5),(5,6),(5,30),-0.138143 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,5),(5,5),(5,-1),0.0864621 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,7),(7,7),(7,12),-0.013365 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,30),-0.0579353 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,7),(7,12),(7,30),-0.019908 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,7),(7,-1),-0.330051 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,8),(8,8),(8,9),-0.040445 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,10),-0.0375189 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,11),-0.0257947 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,12),-0.0165048 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,13),-0.0257947 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,14),-0.0257947 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,15),-0.0194449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,17),-0.0257947 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,18),-0.0257947 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,19),-0.0257947 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,20),-0.0257947 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,21),-0.0194449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,29),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,30),-0.0993624 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,8),(8,9),(8,10),-0.0156952 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,11),-0.00112678 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,12),-0.0320319 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,13),-0.000969238 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,14),-0.000969238 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,15),-0.00650148 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,17),-0.000969238 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,18),-0.000969238 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,19),-0.000969238 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,20),-0.000969238 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,21),-0.00650148 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,29),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,30),-0.0397986 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,8),(8,10),(8,11),-0.000825169 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,10),(8,12),-0.0240871 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,10),(8,13),-0.00066763 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,10),(8,14),-0.00066763 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,10),(8,15),-0.00629637 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,10),(8,17),-0.00066763 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,10),(8,18),-0.00066763 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,10),(8,19),-0.00066763 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,10),(8,20),-0.00066763 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,10),(8,21),-0.00629637 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,10),(8,29),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,10),(8,30),-0.0385981 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,8),(8,11),(8,12),-0.00992763 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,11),(8,13),-0.0194406 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,11),(8,14),-0.0194406 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,11),(8,15),-0.0118308 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,11),(8,17),-0.0194406 # DEPENDENCYPART_GRANDSIBL
