# _root_ That may leave a lot of leeway for U.S. Bankruptcy Judge Burton R. Lifland to decide what , if anything , the pilots actually collect .
#goldHeads=2,0,2,5,3,5,6,16,14,14,14,14,14,16,16,7,25,25,20,25,25,23,25,25,16,2,
#predictedHeads=2,0,2,5,3,5,6,7,14,14,14,14,14,8,16,5,25,25,25,19,25,23,25,25,16,2,
(5,19),(19,20),(19,24),-0.0535778 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,20),(19,27),0.0145354 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,19),(19,23),(19,24),-0.053517 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,23),(19,27),0.0106555 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,19),(19,24),(19,27),-0.0266671 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,19),(19,19),(19,18),0.109015 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,19),(19,19),(19,17),0.112381 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,19),(19,19),(19,-1),-0.0852491 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,19),(19,18),(19,17),0.114107 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,18),(19,-1),-0.114197 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,19),(19,17),(19,-1),-0.13661 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,20),(20,20),(20,21),0.138956 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,20),(20,20),(20,22),-0.0399581 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,20),(20,20),(20,23),-0.183487 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,20),(20,20),(20,24),-0.0717611 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,20),(20,20),(20,25),0.0466337 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,20),(20,20),(20,26),0.0853667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,20),(20,20),(20,27),0.104278 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,20),(20,21),(20,22),-0.0474936 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,21),(20,23),0.134205 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,21),(20,24),-0.0503674 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,21),(20,25),-0.11715 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,21),(20,26),-0.0439761 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,21),(20,27),-0.0437623 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,20),(20,22),(20,23),-0.0452827 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,22),(20,24),-0.0552322 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,22),(20,25),-0.0420477 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,22),(20,26),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,22),(20,27),-0.00998461 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,20),(20,23),(20,24),-0.0370397 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,23),(20,25),-0.0429904 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,23),(20,26),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,23),(20,27),0.00244962 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,20),(20,24),(20,25),-0.0450051 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,24),(20,26),-0.0425367 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,24),(20,27),-0.0820653 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,20),(20,25),(20,26),-0.0421587 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,25),(20,27),-0.0128769 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,20),(20,26),(20,27),0.0957846 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,20),(20,20),(20,19),0.199843 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,20),(20,20),(20,18),0.165777 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,20),(20,20),(20,17),0.0979109 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,20),(20,20),(20,-1),0.019857 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,20),(20,19),(20,18),0.114313 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,19),(20,17),0.11916 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,19),(20,-1),-0.0965425 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,20),(20,18),(20,17),0.119016 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,18),(20,-1),-0.00339193 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,20),(20,17),(20,-1),-0.178359 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,21),(21,21),(21,27),-0.00797944 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,21),(21,21),(21,-1),-0.0928438 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,24),(24,24),(24,25),-0.0528823 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,24),(24,24),(24,26),-0.046086 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,24),(24,24),(24,27),-0.0316598 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,24),(24,25),(24,26),-0.042058 # DEPENDENCYPART_GRANDSIBL
(5,24),(24,25),(24,27),-0.0274548 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,24),(24,26),(24,27),-0.0440021 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,24),(24,24),(24,23),0.108535 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,24),(24,24),(24,22),0.104246 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,24),(24,24),(24,20),0.108536 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,24),(24,24),(24,19),0.114535 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,24),(24,24),(24,15),0.127997 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,24),(24,24),(24,5),0.108536 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,24),(24,24),(24,-1),-0.20959 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,24),(24,23),(24,22),0.118998 # DEPENDENCYPART_GRANDSIBL
(5,24),(24,23),(24,20),0.118858 # DEPENDENCYPART_GRANDSIBL
(5,24),(24,23),(24,19),0.121591 # DEPENDENCYPART_GRANDSIBL
(5,24),(24,23),(24,15),0.11634 # DEPENDENCYPART_GRANDSIBL
(5,24),(24,23),(24,5),0.118858 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,24),(24,23),(24,-1),-0.133728 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,24),(24,22),(24,20),0.116693 # DEPENDENCYPART_GRANDSIBL
(5,24),(24,22),(24,19),0.119089 # DEPENDENCYPART_GRANDSIBL
(5,24),(24,22),(24,15),0.119164 # DEPENDENCYPART_GRANDSIBL
(5,24),(24,22),(24,5),0.116693 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,24),(24,22),(24,-1),-0.134136 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,24),(24,20),(24,19),0.121591 # DEPENDENCYPART_GRANDSIBL
(5,24),(24,20),(24,15),0.11634 # DEPENDENCYPART_GRANDSIBL
(5,24),(24,20),(24,5),0.118858 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,24),(24,20),(24,-1),-0.133727 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,24),(24,19),(24,15),0.119113 # DEPENDENCYPART_GRANDSIBL
(5,24),(24,19),(24,5),0.122648 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,24),(24,19),(24,-1),-0.107011 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,24),(24,15),(24,5),0.11911 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,24),(24,15),(24,-1),-0.156108 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,24),(24,5),(24,-1),-0.133737 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,26),(26,26),(26,27),-0.00516394 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,26),(26,26),(26,-1),-0.0509464 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,4),(4,4),(4,6),-0.124913 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,4),(4,4),(4,8),-0.124907 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,4),(4,27),-0.0951223 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,4),(4,6),(4,8),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,6),(4,27),-0.128861 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,4),(4,8),(4,27),-0.128012 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,4),(4,4),(4,-1),-0.0140272 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,7),(7,7),(7,8),-0.0963934 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,9),-0.202476 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,10),-0.198572 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,13),-0.200203 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,14),-0.198572 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,15),0.0260636 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,16),-0.0522756 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,18),-0.0906154 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,21),-0.0906154 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,23),-0.198572 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,25),-0.0517076 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,26),-0.0716542 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,27),0.256399 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,7),(7,8),(7,9),-0.0463667 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,8),(7,10),-0.0463556 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,8),(7,13),-0.0463556 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,8),(7,14),-0.0463556 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,8),(7,15),-0.0251533 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,8),(7,16),-0.0265951 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,8),(7,18),-0.00589986 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,8),(7,21),-0.00589986 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,8),(7,23),-0.0463556 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,8),(7,25),-0.0265962 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,8),(7,26),-0.044143 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,8),(7,27),-0.0541678 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,9),(7,10),-0.0502486 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,9),(7,13),-0.0502486 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,9),(7,14),-0.0502486 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,9),(7,15),-0.047187 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,9),(7,16),-0.0703599 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,9),(7,18),-0.0771207 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,9),(7,21),-0.0771207 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,9),(7,23),-0.0502486 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,9),(7,25),-0.0703599 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,9),(7,26),-0.04666 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,9),(7,27),-0.0978613 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,10),(7,13),-0.0502486 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,10),(7,14),-0.0502486 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,10),(7,15),-0.047187 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,10),(7,16),-0.0703599 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,10),(7,18),-0.0771276 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,10),(7,21),-0.0771276 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,10),(7,23),-0.0502486 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,10),(7,25),-0.0703599 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,10),(7,26),-0.04666 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,10),(7,27),-0.0939409 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,13),(7,14),-0.0502486 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,13),(7,15),-0.047187 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,13),(7,16),-0.0703599 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,13),(7,18),-0.077101 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,13),(7,21),-0.077101 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,13),(7,23),-0.0502486 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,13),(7,25),-0.0703599 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,13),(7,26),-0.04666 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,13),(7,27),-0.0956103 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,14),(7,15),-0.047187 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,14),(7,16),-0.0703599 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,14),(7,18),-0.0770969 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,14),(7,21),-0.0770969 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,14),(7,23),-0.0502486 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,14),(7,25),-0.0703599 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,14),(7,26),-0.04666 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,14),(7,27),-0.0939409 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,15),(7,16),-0.0613151 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,15),(7,18),-0.0284865 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,15),(7,21),-0.0284865 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,15),(7,23),-0.0353663 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,15),(7,25),-0.0613151 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,15),(7,26),-0.0430535 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,15),(7,27),0.0106211 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,16),(7,18),0.00336713 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,16),(7,21),0.00336713 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,16),(7,23),-0.0480217 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,16),(7,25),-0.0159974 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,16),(7,26),-0.0426312 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,16),(7,27),-0.0999267 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,18),(7,21),-0.0831079 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,18),(7,23),-0.0800401 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,18),(7,25),0.0283084 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,18),(7,26),-0.0420212 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,18),(7,27),-0.0615791 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,21),(7,23),-0.0800401 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,21),(7,25),0.0283084 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,21),(7,26),-0.0420212 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,21),(7,27),-0.0615791 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,23),(7,25),-0.0703599 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,23),(7,26),-0.04666 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,23),(7,27),-0.0939409 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,25),(7,26),-0.0426312 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,25),(7,27),-0.10214 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,26),(7,27),-0.0647184 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,7),(7,6),0.176774 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,7),(7,7),(7,5),-0.133895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,4),-0.132918 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,1),-0.132917 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,-1),-0.0901727 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,7),(7,6),(7,5),-0.124995 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,6),(7,4),-0.124896 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,6),(7,1),-0.124896 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,6),(7,-1),-0.102084 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,7),(7,5),(7,4),-0.126454 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,5),(7,1),-0.126202 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,5),(7,-1),-0.076772 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,4),(7,1),-0.12491 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,4),(7,-1),-0.066061 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,1),(7,-1),-0.0437902 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,8),(8,8),(8,9),-0.105558 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,10),-0.118219 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,11),-0.118217 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,12),-0.118217 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,13),-0.118217 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,14),-0.118217 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,15),-0.0532823 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,16),-0.0425214 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,24),-0.0488454 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,27),-0.000304911 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,8),(8,9),(8,10),-0.039424 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,11),-0.039424 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,12),-0.039424 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,13),-0.039424 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,14),-0.039424 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,15),-0.03658 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,16),-0.043122 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,24),-0.0428454 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,27),-0.0626671 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,8),(8,10),(8,11),-0.039424 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,10),(8,12),-0.039424 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,10),(8,13),-0.039424 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,10),(8,14),-0.039424 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,10),(8,15),-0.03658 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,10),(8,16),-0.043122 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,10),(8,24),-0.0428454 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,10),(8,27),-0.0753802 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,8),(8,11),(8,12),-0.039424 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,11),(8,13),-0.039424 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,11),(8,14),-0.039424 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,11),(8,15),-0.03658 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,11),(8,16),-0.043122 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,11),(8,24),-0.0428454 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,11),(8,27),-0.0753782 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,8),(8,12),(8,13),-0.039424 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,12),(8,14),-0.039424 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,12),(8,15),-0.03658 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,12),(8,16),-0.043122 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,12),(8,24),-0.0428454 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,12),(8,27),-0.0753782 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,8),(8,13),(8,14),-0.039424 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,13),(8,15),-0.03658 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,13),(8,16),-0.043122 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,13),(8,24),-0.0428454 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,13),(8,27),-0.0753782 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,8),(8,14),(8,15),-0.03658 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,14),(8,16),-0.043122 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,14),(8,24),-0.0428454 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,14),(8,27),-0.0753782 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,8),(8,15),(8,16),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,15),(8,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,15),(8,27),-0.0558681 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,8),(8,16),(8,24),-0.0419992 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,16),(8,27),-0.0473365 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,8),(8,24),(8,27),-0.0501439 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,8),(8,8),(8,7),0.151495 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,6),0.114355 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,8),(8,8),(8,5),-0.13951 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,-1),-0.055706 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,8),(8,7),(8,6),0.119008 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,8),(8,7),(8,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,7),(8,-1),-0.0947939 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,8),(8,6),(8,5),-0.124929 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,6),(8,-1),-0.127086 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,8),(8,5),(8,-1),-0.0949596 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,9),(9,9),(9,10),-0.198693 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,9),(9,9),(9,27),0.248451 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,9),(9,10),(9,27),-0.0960017 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,9),(9,9),(9,8),0.170352 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,9),(9,9),(9,-1),-0.106294 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,9),(9,8),(9,-1),-0.125743 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,10),(10,10),(10,11),-0.199578 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,10),(10,10),(10,12),-0.198671 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,10),(10,10),(10,13),-0.200302 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,10),(10,10),(10,14),-0.198671 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,10),(10,10),(10,27),0.253764 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,10),(10,11),(10,12),-0.0503812 # DEPENDENCYPART_GRANDSIBL
(6,10),(10,11),(10,13),-0.0503812 # DEPENDENCYPART_GRANDSIBL
(6,10),(10,11),(10,14),-0.0503812 # DEPENDENCYPART_GRANDSIBL
(6,10),(10,11),(10,27),-0.0938628 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,10),(10,12),(10,13),-0.0502486 # DEPENDENCYPART_GRANDSIBL
(6,10),(10,12),(10,14),-0.0502486 # DEPENDENCYPART_GRANDSIBL
(6,10),(10,12),(10,27),-0.0940402 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,10),(10,13),(10,14),-0.0502486 # DEPENDENCYPART_GRANDSIBL
(6,10),(10,13),(10,27),-0.0957096 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,10),(10,14),(10,27),-0.0940402 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,10),(10,10),(10,9),0.183711 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,10),(10,10),(10,8),0.170353 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,10),(10,10),(10,-1),-0.0929307 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,10),(10,9),(10,8),0.11126 # DEPENDENCYPART_GRANDSIBL
(6,10),(10,9),(10,-1),-0.0721684 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,10),(10,8),(10,-1),-0.125742 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,11),(11,11),(11,12),-0.19869 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,11),(11,11),(11,13),-0.200321 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
