# _root_ Mr. Ehrlich was succeeded as chairman by Gerd Krick , a director of Fresenius , a West German pharmaceutical concern .
#goldHeads=2,3,0,3,4,5,4,9,7,9,12,9,12,13,14,20,18,20,20,14,3,
#predictedHeads=2,3,0,3,4,5,4,9,7,9,12,9,12,13,14,20,18,20,20,14,3,
(0,2),(2,3),(2,12),-0.0505125 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,15),-0.0782408 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,20),-0.0505163 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,21),-0.20985 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,22),-0.0591203 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,4),(2,5),-0.0339011 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,6),-0.0505117 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,7),-0.0339237 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,10),-0.0768722 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,12),-0.0505117 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,15),-0.0768722 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,20),-0.0505155 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,21),-0.207955 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,22),-0.0705658 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,5),(2,6),-0.0390071 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,7),-0.0200094 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,10),-0.0323531 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,12),-0.0390071 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,15),-0.0323531 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,20),-0.0390074 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,21),0.0227625 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,22),-0.0972523 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,6),(2,7),-0.0470204 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,10),0.000946047 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,12),-0.00931759 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,15),0.000946047 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,20),-0.00932435 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,21),0.0519159 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,22),-0.0837979 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,7),(2,10),-0.0332602 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,7),(2,12),-0.039078 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,7),(2,15),-0.0332602 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,7),(2,20),-0.0390783 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,7),(2,21),0.0308816 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,7),(2,22),-0.0978834 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,10),(2,12),-0.0021533 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,10),(2,15),-0.043308 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,10),(2,20),-0.00262187 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,10),(2,21),-0.074127 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,10),(2,22),-0.0696832 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,12),(2,15),0.000134521 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,12),(2,20),-0.00932383 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,12),(2,21),0.0524201 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,12),(2,22),-0.0839584 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,15),(2,20),-0.00262187 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,15),(2,21),-0.074127 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,15),(2,22),-0.0696832 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,20),(2,21),0.051938 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,20),(2,22),-0.0837654 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,21),(2,22),-0.0483362 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,2),(2,1),0.265188 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,-1),-0.258485 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,2),(2,1),(2,-1),-0.0619383 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,3),(3,4),-0.0989045 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,5),-0.23078 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,6),-0.0479895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,7),-0.222302 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,9),-0.0564549 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,10),-0.0337434 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,15),-0.0337434 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,17),0.0161836 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,21),-0.147743 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,22),-0.249922 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,3),(3,4),(3,5),0.0231138 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,6),0.00582956 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,7),0.0271871 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,9),0.00608867 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,10),-0.133214 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,15),-0.133214 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,17),-0.0380896 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,21),-0.0423867 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,22),-0.117243 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,5),(3,6),-0.0379149 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,7),-0.0771174 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,9),-0.0374913 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,10),0.0115225 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,15),0.0115225 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,17),-0.0518427 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,21),0.0964305 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,22),-0.0922769 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,6),(3,7),0.0492303 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,9),-0.0109373 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,10),-0.0599314 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,15),-0.0599314 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,17),-0.0448199 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,21),0.0571908 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,22),-0.138948 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,7),(3,9),-0.0455929 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,10),0.000632775 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,15),0.000632775 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,17),-0.0488158 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,21),0.0651258 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,22),-0.0921476 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,9),(3,10),-0.0585976 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,9),(3,15),-0.0585976 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,9),(3,17),-0.0448199 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,9),(3,21),0.0506177 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,9),(3,22),-0.138395 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,10),(3,15),-0.0148542 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,10),(3,17),-0.0527878 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,10),(3,21),-0.01008 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,10),(3,22),-0.0762511 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,15),(3,17),-0.0527878 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,15),(3,21),-0.01008 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,15),(3,22),-0.0762511 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,17),(3,21),0.037892 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,17),(3,22),-0.0554113 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,21),(3,22),0.153579 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,3),(3,2),0.282106 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,1),0.281507 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,-1),-0.645288 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,3),(3,2),(3,1),0.141756 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,2),(3,-1),0.0457829 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,1),(3,-1),0.0429529 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,4),(4,5),-0.241463 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,6),-0.0611853 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,7),-0.232985 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,9),-0.0696507 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,10),-0.0367839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,12),-0.0676241 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,13),-0.214879 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,15),-0.0367839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,17),0.0162988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,18),0.0162342 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,20),-0.0590904 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,21),-0.144976 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,22),-0.240693 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,4),(4,5),(4,6),-0.0346014 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,7),-0.0776143 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,9),-0.0341778 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,10),0.0126467 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,12),-0.0341778 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,13),-0.0769005 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,15),0.0126467 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,17),-0.0518427 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,18),-0.0518427 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,20),-0.0341778 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,21),0.0907457 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,22),-0.0922035 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,6),(4,7),0.0607292 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,9),-0.00740223 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,10),-0.0601127 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,12),-0.0074556 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,13),0.0559207 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,15),-0.0601127 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,17),-0.0460563 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,18),-0.0460563 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,20),-0.00761105 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,21),0.0363539 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,22),-0.138412 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,7),(4,9),-0.0422794 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,7),(4,10),0.001757 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,7),(4,12),-0.0422794 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,7),(4,13),-0.0595666 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,7),(4,15),0.001757 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,7),(4,17),-0.0488158 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,7),(4,18),-0.0488158 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,7),(4,20),-0.0422794 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,7),(4,21),0.059441 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,7),(4,22),-0.0920742 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,9),(4,10),-0.0587789 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,9),(4,12),-0.00703486 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,9),(4,13),0.0559488 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,9),(4,15),-0.0587789 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,9),(4,17),-0.0460563 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,9),(4,18),-0.0460563 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,9),(4,20),-0.00719031 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,9),(4,21),0.0297808 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,9),(4,22),-0.13786 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,10),(4,12),-0.103641 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,10),(4,13),0.0963703 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,10),(4,15),-0.0148542 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,10),(4,17),-0.0531117 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,10),(4,18),-0.0531117 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,10),(4,20),-0.104111 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,10),(4,21),-0.00172918 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,10),(4,22),-0.0762482 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,12),(4,13),0.0538902 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,12),(4,15),-0.0587816 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,12),(4,17),-0.0460563 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,12),(4,18),-0.0460563 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,12),(4,20),-0.00719031 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,12),(4,21),0.0333188 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,12),(4,22),-0.137862 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,13),(4,15),0.0118867 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,13),(4,17),-0.0490465 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,13),(4,18),-0.0490465 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,13),(4,20),-0.0397583 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,13),(4,21),0.0854693 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,13),(4,22),-0.0918433 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,15),(4,17),-0.0531117 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,15),(4,18),-0.0531117 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,15),(4,20),-0.104111 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,15),(4,21),-0.00172918 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,15),(4,22),-0.0762482 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,17),(4,18),-0.0462092 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,17),(4,20),-0.0351019 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,17),(4,21),0.0240746 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,17),(4,22),-0.0553977 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,18),(4,20),-0.0351019 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,18),(4,21),0.0239828 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,18),(4,22),-0.0553705 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,20),(4,21),0.0347034 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,20),(4,22),-0.137865 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,21),(4,22),0.140933 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,4),(4,3),0.023744 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,2),0.29251 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,1),0.291911 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,-1),-0.644007 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,4),(4,3),(4,2),0.0900547 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,3),(4,1),0.0900444 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,3),(4,-1),0.0350016 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,2),(4,1),0.140117 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,2),(4,-1),0.044008 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,1),(4,-1),0.041178 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,2),(2,3),0.0450333 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,2),(2,2),(2,4),0.0453933 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,2),(2,2),(2,5),-0.0407852 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,2),(2,2),(2,6),-0.18342 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,2),(2,2),(2,7),-0.0485017 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,2),(2,2),(2,10),0.138871 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,2),(2,2),(2,12),-0.183317 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,2),(2,2),(2,15),0.138871 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,2),(2,2),(2,20),-0.183046 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,2),(2,2),(2,21),0.0851298 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,2),(2,2),(2,22),0.0855382 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,2),(2,3),(2,4),-0.0450753 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,3),(2,5),-0.0510649 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,3),(2,6),-0.0484349 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,3),(2,7),-0.0527145 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,3),(2,10),-0.0542013 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,3),(2,12),-0.048566 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,3),(2,15),-0.0542013 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,3),(2,20),-0.0484343 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,3),(2,21),-0.0421587 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,3),(2,22),-0.0179631 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,4),(2,5),-0.0510581 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,4),(2,6),-0.0484087 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,4),(2,7),-0.0527077 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,4),(2,10),-0.0559524 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,4),(2,12),-0.0485398 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,4),(2,15),-0.0559524 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,4),(2,20),-0.0484081 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,4),(2,21),-0.0421587 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,4),(2,22),-0.0138142 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,5),(2,6),-0.0414052 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,5),(2,7),-0.0472761 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,5),(2,10),-0.0740161 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,5),(2,12),-0.0409779 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,5),(2,15),-0.0740161 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,5),(2,20),-0.0410191 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,5),(2,21),-0.0454342 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,5),(2,22),-0.0810696 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,6),(2,7),-0.0299424 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,6),(2,10),-0.0533667 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,6),(2,12),-0.0133331 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,6),(2,15),-0.0533667 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,6),(2,20),-0.0139895 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,6),(2,21),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,6),(2,22),-0.00243281 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,7),(2,10),-0.0705353 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,7),(2,12),-0.0412939 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,7),(2,15),-0.0705353 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,7),(2,20),-0.0413351 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,7),(2,21),-0.0454342 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,7),(2,22),-0.0883218 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,10),(2,12),0.13278 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,10),(2,15),-0.0496519 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,10),(2,20),0.133338 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,10),(2,21),-0.0439761 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,10),(2,22),-0.0437693 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,12),(2,15),-0.0521102 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,12),(2,20),-0.0139853 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,12),(2,21),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,12),(2,22),0.00317335 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,15),(2,20),0.133338 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,15),(2,21),-0.0439761 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,15),(2,22),-0.0437693 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,20),(2,21),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,20),(2,22),0.0017062 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,21),(2,22),0.0955477 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,2),(2,1),0.150038 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,2),(2,2),(2,-1),0.0155235 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,2),(2,1),(2,-1),-0.144153 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,3),(3,3),(3,4),-0.0335563 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,5),-0.0274963 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,6),-0.0306295 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,7),0.0524725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,9),-0.0308762 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,10),-0.0722637 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,15),-0.0722637 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,17),-0.0022965 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,21),-0.048883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,22),0.0687522 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,3),(3,4),(3,5),-0.0502875 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,6),-0.0470551 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,7),-0.0546185 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,9),-0.0470551 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,10),-0.0353024 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,15),-0.0353024 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,17),-0.044134 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,21),-0.0419685 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,22),-0.0721051 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,5),(3,6),-0.0377411 # DEPENDENCYPART_GRANDSIBL
