# _root_ By October , when the committee rejected a much more modest covert proposal , even the administration was agreeing little should be done .
#goldHeads=18,1,2,7,6,7,2,13,11,11,13,13,7,2,17,17,18,0,18,21,19,21,22,18,
#predictedHeads=18,1,2,7,6,7,2,13,13,9,13,13,7,18,17,17,18,0,18,21,19,21,22,18,
(11,14),(11,19),-0.506917 # DEPENDENCYPART_NEXTSIBL
(11,14),(11,21),-0.488504 # DEPENDENCYPART_NEXTSIBL
(11,14),(11,25),-0.576574 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,15),(11,17),-0.249029 # DEPENDENCYPART_NEXTSIBL
(11,15),(11,18),-0.106013 # DEPENDENCYPART_NEXTSIBL
(11,15),(11,19),-0.386336 # DEPENDENCYPART_NEXTSIBL
(11,15),(11,21),-0.324729 # DEPENDENCYPART_NEXTSIBL
(11,15),(11,25),-0.828759 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,17),(11,18),-1.0692 # DEPENDENCYPART_NEXTSIBL
(11,17),(11,19),-1.19385 # DEPENDENCYPART_NEXTSIBL
(11,17),(11,21),-1.17792 # DEPENDENCYPART_NEXTSIBL
(11,17),(11,25),-1.04812 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,18),(11,19),-0.784262 # DEPENDENCYPART_NEXTSIBL
(11,18),(11,21),-0.766693 # DEPENDENCYPART_NEXTSIBL
(11,18),(11,25),-0.213124 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,19),(11,21),-1.14181 # DEPENDENCYPART_NEXTSIBL
(11,19),(11,25),-0.263419 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,21),(11,25),-0.748737 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,11),(11,10),0.00111039 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,9),-0.0563603 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,8),-0.557035 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,6),-0.334954 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,-1),-0.363975 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(11,10),(11,9),-0.61813 # DEPENDENCYPART_NEXTSIBL
(11,10),(11,8),-0.706847 # DEPENDENCYPART_NEXTSIBL
(11,10),(11,6),-0.71663 # DEPENDENCYPART_NEXTSIBL
(11,10),(11,-1),-0.78287 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,9),(11,8),-0.332884 # DEPENDENCYPART_NEXTSIBL
(11,9),(11,6),-0.607802 # DEPENDENCYPART_NEXTSIBL
(11,9),(11,-1),-0.540981 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,8),(11,6),-0.970913 # DEPENDENCYPART_NEXTSIBL
(11,8),(11,-1),-0.802492 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,6),(11,-1),-0.693841 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,12),(12,18),-0.17205 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,20),-0.00105329 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,25),-0.336468 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(12,18),(12,20),-0.855807 # DEPENDENCYPART_NEXTSIBL
(12,18),(12,25),-0.209906 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,20),(12,25),-0.589715 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,12),(12,11),-0.391134 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,10),0.00672647 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,9),-0.0499893 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,8),-0.547416 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,-1),-0.341649 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(12,11),(12,10),-0.525289 # DEPENDENCYPART_NEXTSIBL
(12,11),(12,9),-0.592591 # DEPENDENCYPART_NEXTSIBL
(12,11),(12,8),-0.639592 # DEPENDENCYPART_NEXTSIBL
(12,11),(12,-1),-0.684551 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,10),(12,9),-0.614261 # DEPENDENCYPART_NEXTSIBL
(12,10),(12,8),-0.70128 # DEPENDENCYPART_NEXTSIBL
(12,10),(12,-1),-0.777553 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,9),(12,8),-0.326941 # DEPENDENCYPART_NEXTSIBL
(12,9),(12,-1),-0.534909 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,8),(12,-1),-0.792876 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,13),(13,14),-0.751797 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,15),-0.469473 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,17),-0.310089 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,18),-0.137802 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,19),-0.0230191 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,20),-0.0425962 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,21),0.107559 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,24),-0.916419 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,25),-0.364985 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(13,14),(13,15),-0.376293 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,17),-0.453626 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,18),-0.137508 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,19),-0.379912 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,20),-0.431037 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,21),-0.371967 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,24),-0.964493 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,25),-0.426482 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,15),(13,17),-0.191437 # DEPENDENCYPART_NEXTSIBL
(13,15),(13,18),-0.132221 # DEPENDENCYPART_NEXTSIBL
(13,15),(13,19),-0.408649 # DEPENDENCYPART_NEXTSIBL
(13,15),(13,20),-0.507654 # DEPENDENCYPART_NEXTSIBL
(13,15),(13,21),-0.320374 # DEPENDENCYPART_NEXTSIBL
(13,15),(13,24),-0.681504 # DEPENDENCYPART_NEXTSIBL
(13,15),(13,25),-0.779199 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,17),(13,18),-1.02354 # DEPENDENCYPART_NEXTSIBL
(13,17),(13,19),-1.14303 # DEPENDENCYPART_NEXTSIBL
(13,17),(13,20),-1.18887 # DEPENDENCYPART_NEXTSIBL
(13,17),(13,21),-1.13004 # DEPENDENCYPART_NEXTSIBL
(13,17),(13,24),-1.0108 # DEPENDENCYPART_NEXTSIBL
(13,17),(13,25),-1.00312 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,18),(13,19),-0.678645 # DEPENDENCYPART_NEXTSIBL
(13,18),(13,20),-0.846739 # DEPENDENCYPART_NEXTSIBL
(13,18),(13,21),-0.717677 # DEPENDENCYPART_NEXTSIBL
(13,18),(13,24),-0.153276 # DEPENDENCYPART_NEXTSIBL
(13,18),(13,25),-0.19182 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,19),(13,20),-1.09311 # DEPENDENCYPART_NEXTSIBL
(13,19),(13,21),-1.08892 # DEPENDENCYPART_NEXTSIBL
(13,19),(13,24),-0.520086 # DEPENDENCYPART_NEXTSIBL
(13,19),(13,25),-0.219325 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,20),(13,21),-0.692082 # DEPENDENCYPART_NEXTSIBL
(13,20),(13,24),-0.718647 # DEPENDENCYPART_NEXTSIBL
(13,20),(13,25),-0.60496 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,21),(13,24),-0.209998 # DEPENDENCYPART_NEXTSIBL
(13,21),(13,25),-0.714245 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,24),(13,25),-2.00823 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,13),(13,12),-0.25596 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,11),-0.341864 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,10),-0.0147404 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,9),-0.0879479 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,8),-0.612269 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,7),-0.231406 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,6),-0.230473 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,5),-0.267844 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,3),-1.13758 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,-1),-0.430297 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(13,12),(13,11),-0.308518 # DEPENDENCYPART_NEXTSIBL
(13,12),(13,10),-0.7664 # DEPENDENCYPART_NEXTSIBL
(13,12),(13,9),-0.872238 # DEPENDENCYPART_NEXTSIBL
(13,12),(13,8),-0.679609 # DEPENDENCYPART_NEXTSIBL
(13,12),(13,7),-0.858142 # DEPENDENCYPART_NEXTSIBL
(13,12),(13,6),-0.868642 # DEPENDENCYPART_NEXTSIBL
(13,12),(13,5),-1.11955 # DEPENDENCYPART_NEXTSIBL
(13,12),(13,3),-1.0475 # DEPENDENCYPART_NEXTSIBL
(13,12),(13,-1),-0.949823 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,11),(13,10),-0.554369 # DEPENDENCYPART_NEXTSIBL
(13,11),(13,9),-0.599183 # DEPENDENCYPART_NEXTSIBL
(13,11),(13,8),-0.479974 # DEPENDENCYPART_NEXTSIBL
(13,11),(13,7),-0.717406 # DEPENDENCYPART_NEXTSIBL
(13,11),(13,6),-0.636611 # DEPENDENCYPART_NEXTSIBL
(13,11),(13,5),-0.983686 # DEPENDENCYPART_NEXTSIBL
(13,11),(13,3),-0.846032 # DEPENDENCYPART_NEXTSIBL
(13,11),(13,-1),-0.646335 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,10),(13,9),-0.718733 # DEPENDENCYPART_NEXTSIBL
(13,10),(13,8),-0.587286 # DEPENDENCYPART_NEXTSIBL
(13,10),(13,7),-1.1049 # DEPENDENCYPART_NEXTSIBL
(13,10),(13,6),-0.763084 # DEPENDENCYPART_NEXTSIBL
(13,10),(13,5),-0.864641 # DEPENDENCYPART_NEXTSIBL
(13,10),(13,3),-1.20074 # DEPENDENCYPART_NEXTSIBL
(13,10),(13,-1),-0.75295 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,9),(13,8),-0.180531 # DEPENDENCYPART_NEXTSIBL
(13,9),(13,7),-0.910222 # DEPENDENCYPART_NEXTSIBL
(13,9),(13,6),-0.609856 # DEPENDENCYPART_NEXTSIBL
(13,9),(13,5),-0.619214 # DEPENDENCYPART_NEXTSIBL
(13,9),(13,3),-1.15376 # DEPENDENCYPART_NEXTSIBL
(13,9),(13,-1),-0.597704 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,8),(13,7),-0.765197 # DEPENDENCYPART_NEXTSIBL
(13,8),(13,6),-0.752155 # DEPENDENCYPART_NEXTSIBL
(13,8),(13,5),-0.909024 # DEPENDENCYPART_NEXTSIBL
(13,8),(13,3),-1.08502 # DEPENDENCYPART_NEXTSIBL
(13,8),(13,-1),-0.435444 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,7),(13,6),-0.509881 # DEPENDENCYPART_NEXTSIBL
(13,7),(13,5),-0.507952 # DEPENDENCYPART_NEXTSIBL
(13,7),(13,3),-0.743039 # DEPENDENCYPART_NEXTSIBL
(13,7),(13,-1),-0.799539 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,6),(13,5),-0.280946 # DEPENDENCYPART_NEXTSIBL
(13,6),(13,3),-1.01328 # DEPENDENCYPART_NEXTSIBL
(13,6),(13,-1),-0.721562 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,5),(13,3),-0.831828 # DEPENDENCYPART_NEXTSIBL
(13,5),(13,-1),-0.293775 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,3),(13,-1),-1.43833 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,14),(14,25),-0.0846584 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(14,14),(14,-1),-0.181471 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(15,15),(15,16),-0.590206 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,17),-0.261879 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,18),-0.253747 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,20),-0.0509155 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,21),0.0617724 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,22),-0.401452 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,24),-1.16094 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,25),-0.217671 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(15,16),(15,17),-0.808101 # DEPENDENCYPART_NEXTSIBL
(15,16),(15,18),-0.742519 # DEPENDENCYPART_NEXTSIBL
(15,16),(15,20),-0.944895 # DEPENDENCYPART_NEXTSIBL
(15,16),(15,21),-0.815232 # DEPENDENCYPART_NEXTSIBL
(15,16),(15,22),-0.782874 # DEPENDENCYPART_NEXTSIBL
(15,16),(15,24),-0.942957 # DEPENDENCYPART_NEXTSIBL
(15,16),(15,25),-1.23114 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,17),(15,18),-1.09632 # DEPENDENCYPART_NEXTSIBL
(15,17),(15,20),-1.20805 # DEPENDENCYPART_NEXTSIBL
(15,17),(15,21),-1.18976 # DEPENDENCYPART_NEXTSIBL
(15,17),(15,22),-1.22906 # DEPENDENCYPART_NEXTSIBL
(15,17),(15,24),-1.19935 # DEPENDENCYPART_NEXTSIBL
(15,17),(15,25),-1.07317 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,18),(15,20),-0.859151 # DEPENDENCYPART_NEXTSIBL
(15,18),(15,21),-0.775773 # DEPENDENCYPART_NEXTSIBL
(15,18),(15,22),-0.888122 # DEPENDENCYPART_NEXTSIBL
(15,18),(15,24),-0.123894 # DEPENDENCYPART_NEXTSIBL
(15,18),(15,25),-0.232999 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,20),(15,21),-0.676992 # DEPENDENCYPART_NEXTSIBL
(15,20),(15,22),-0.65265 # DEPENDENCYPART_NEXTSIBL
(15,20),(15,24),-0.765474 # DEPENDENCYPART_NEXTSIBL
(15,20),(15,25),-0.612364 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,21),(15,22),-0.582885 # DEPENDENCYPART_NEXTSIBL
(15,21),(15,24),-0.275108 # DEPENDENCYPART_NEXTSIBL
(15,21),(15,25),-0.740511 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,22),(15,24),-0.274103 # DEPENDENCYPART_NEXTSIBL
(15,22),(15,25),-0.463663 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,24),(15,25),-2.22912 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,15),(15,14),-0.907145 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,13),-0.289178 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,12),-0.346461 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,11),-0.431734 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,6),-0.323033 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,-1),-0.327672 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(15,14),(15,13),-0.208786 # DEPENDENCYPART_NEXTSIBL
(15,14),(15,12),-0.446568 # DEPENDENCYPART_NEXTSIBL
(15,14),(15,11),-0.37531 # DEPENDENCYPART_NEXTSIBL
(15,14),(15,6),-0.467586 # DEPENDENCYPART_NEXTSIBL
(15,14),(15,-1),-0.695938 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,13),(15,12),-0.313658 # DEPENDENCYPART_NEXTSIBL
(15,13),(15,11),-0.489584 # DEPENDENCYPART_NEXTSIBL
(15,13),(15,6),-1.00334 # DEPENDENCYPART_NEXTSIBL
(15,13),(15,-1),-0.553965 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,12),(15,11),-0.434078 # DEPENDENCYPART_NEXTSIBL
(15,12),(15,6),-1.01173 # DEPENDENCYPART_NEXTSIBL
(15,12),(15,-1),-1.05328 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,11),(15,6),-0.779702 # DEPENDENCYPART_NEXTSIBL
(15,11),(15,-1),-0.75838 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,6),(15,-1),-0.706795 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,16),(16,19),-0.139693 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,25),-0.0865392 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(16,19),(16,25),-0.263804 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,16),(16,15),-0.478784 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,-1),-0.220431 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(16,15),(16,-1),-0.564191 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,17),(17,18),-0.166104 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,19),-0.0608225 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,20),-0.0250454 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,21),0.107337 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,25),-0.31858 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(17,18),(17,19),-0.707559 # DEPENDENCYPART_NEXTSIBL
(17,18),(17,20),-0.851432 # DEPENDENCYPART_NEXTSIBL
(17,18),(17,21),-0.731074 # DEPENDENCYPART_NEXTSIBL
(17,18),(17,25),-0.216135 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,19),(17,20),-1.10255 # DEPENDENCYPART_NEXTSIBL
(17,19),(17,21),-1.10715 # DEPENDENCYPART_NEXTSIBL
(17,19),(17,25),-0.253193 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,20),(17,21),-0.689213 # DEPENDENCYPART_NEXTSIBL
(17,20),(17,25),-0.587348 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,21),(17,25),-0.720418 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,17),(17,16),-0.227405 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,15),-0.331118 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,14),-1.25783 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,13),-0.252961 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,12),-0.258142 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,11),-0.344046 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,8),-0.595449 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,-1),-0.442071 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(17,16),(17,15),-0.149198 # DEPENDENCYPART_NEXTSIBL
(17,16),(17,14),-0.902558 # DEPENDENCYPART_NEXTSIBL
(17,16),(17,13),-1.08355 # DEPENDENCYPART_NEXTSIBL
(17,16),(17,12),-0.989458 # DEPENDENCYPART_NEXTSIBL
(17,16),(17,11),-1.00149 # DEPENDENCYPART_NEXTSIBL
(17,16),(17,8),-1.12247 # DEPENDENCYPART_NEXTSIBL
(17,16),(17,-1),-0.401983 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,15),(17,14),-0.829647 # DEPENDENCYPART_NEXTSIBL
(17,15),(17,13),-0.769185 # DEPENDENCYPART_NEXTSIBL
(17,15),(17,12),-0.896639 # DEPENDENCYPART_NEXTSIBL
(17,15),(17,11),-0.937282 # DEPENDENCYPART_NEXTSIBL
(17,15),(17,8),-0.894332 # DEPENDENCYPART_NEXTSIBL
(17,15),(17,-1),-0.409112 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,14),(17,13),-0.383678 # DEPENDENCYPART_NEXTSIBL
(17,14),(17,12),-0.484554 # DEPENDENCYPART_NEXTSIBL
(17,14),(17,11),-0.413291 # DEPENDENCYPART_NEXTSIBL
(17,14),(17,8),-1.06276 # DEPENDENCYPART_NEXTSIBL
(17,14),(17,-1),-0.844788 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,13),(17,12),-0.196903 # DEPENDENCYPART_NEXTSIBL
(17,13),(17,11),-0.372854 # DEPENDENCYPART_NEXTSIBL
(17,13),(17,8),-0.714134 # DEPENDENCYPART_NEXTSIBL
(17,13),(17,-1),-0.594769 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,12),(17,11),-0.311263 # DEPENDENCYPART_NEXTSIBL
(17,12),(17,8),-0.671103 # DEPENDENCYPART_NEXTSIBL
(17,12),(17,-1),-0.950496 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,11),(17,8),-0.471467 # DEPENDENCYPART_NEXTSIBL
(17,11),(17,-1),-0.647008 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,8),(17,-1),-0.397003 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,18),(18,19),-0.0285511 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,20),0.14961 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,21),0.154617 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,22),-0.208501 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,23),-0.0378995 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,24),-1.25227 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,25),-0.788561 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(18,19),(18,20),-1.12728 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,21),-1.17418 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,22),-1.23612 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,23),-1.29534 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,24),-0.504971 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,25),-0.11831 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,20),(18,21),-0.665932 # DEPENDENCYPART_NEXTSIBL
(18,20),(18,22),-0.757932 # DEPENDENCYPART_NEXTSIBL
(18,20),(18,23),-0.832895 # DEPENDENCYPART_NEXTSIBL
(18,20),(18,24),-0.643262 # DEPENDENCYPART_NEXTSIBL
(18,20),(18,25),-0.508764 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,21),(18,22),-0.622172 # DEPENDENCYPART_NEXTSIBL
(18,21),(18,23),-0.678007 # DEPENDENCYPART_NEXTSIBL
(18,21),(18,24),-0.23436 # DEPENDENCYPART_NEXTSIBL
(18,21),(18,25),-0.685 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,22),(18,23),-0.973111 # DEPENDENCYPART_NEXTSIBL
(18,22),(18,24),-0.316209 # DEPENDENCYPART_NEXTSIBL
(18,22),(18,25),-0.347397 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,23),(18,24),-0.369763 # DEPENDENCYPART_NEXTSIBL
(18,23),(18,25),-0.124507 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,24),(18,25),-2.04037 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,18),(18,17),-0.0448575 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,16),-0.347766 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,15),-0.386816 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,14),-1.3695 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,13),-0.088548 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,12),-0.285472 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,11),-0.366522 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,10),-0.0159879 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,9),-0.0565073 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,8),-0.658326 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,7),-0.198668 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,6),-0.13398 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,4),-0.431782 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,3),-1.24795 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,2),-0.231466 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,1),-0.942959 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,-1),-0.746045 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(18,17),(18,16),-0.599817 # DEPENDENCYPART_NEXTSIBL
(18,17),(18,15),-0.53277 # DEPENDENCYPART_NEXTSIBL
(18,17),(18,14),-0.824077 # DEPENDENCYPART_NEXTSIBL
(18,17),(18,13),-1.08766 # DEPENDENCYPART_NEXTSIBL
(18,17),(18,12),-1.13507 # DEPENDENCYPART_NEXTSIBL
(18,17),(18,11),-1.27476 # DEPENDENCYPART_NEXTSIBL
(18,17),(18,10),-0.9831 # DEPENDENCYPART_NEXTSIBL
(18,17),(18,9),-1.00103 # DEPENDENCYPART_NEXTSIBL
(18,17),(18,8),-1.08114 # DEPENDENCYPART_NEXTSIBL
(18,17),(18,7),-0.861198 # DEPENDENCYPART_NEXTSIBL
(18,17),(18,6),-1.10862 # DEPENDENCYPART_NEXTSIBL
(18,17),(18,4),-1.06398 # DEPENDENCYPART_NEXTSIBL
(18,17),(18,3),-1.82449 # DEPENDENCYPART_NEXTSIBL
(18,17),(18,2),-0.97303 # DEPENDENCYPART_NEXTSIBL
(18,17),(18,1),-1.26193 # DEPENDENCYPART_NEXTSIBL
(18,17),(18,-1),-1.1174 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,16),(18,15),-0.492729 # DEPENDENCYPART_NEXTSIBL
(18,16),(18,14),-1.0801 # DEPENDENCYPART_NEXTSIBL
(18,16),(18,13),-1.39268 # DEPENDENCYPART_NEXTSIBL
(18,16),(18,12),-1.29182 # DEPENDENCYPART_NEXTSIBL
(18,16),(18,11),-1.29963 # DEPENDENCYPART_NEXTSIBL
(18,16),(18,10),-1.18457 # DEPENDENCYPART_NEXTSIBL
