# _root_ The issue is one of a judge 's experience , his competence and his physical ability to serve on the bench , '' Justice Rubin said .
#goldHeads=2,3,26,3,4,7,9,7,13,13,12,13,5,16,16,13,18,16,18,21,19,26,26,25,26,0,26,
#predictedHeads=2,3,26,3,4,7,9,7,5,4,12,13,4,16,16,13,18,16,18,21,19,26,26,25,26,0,26,
(2,13),(13,17),(13,26),-0.0433854 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,17),(13,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,17),(13,28),-0.0448297 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,18),(13,19),-0.0713354 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,18),(13,21),0.00137909 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,18),(13,22),-0.0173936 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,18),(13,23),-0.0450856 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,18),(13,25),0.00137909 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,18),(13,26),-0.0440329 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,18),(13,27),-0.0451559 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,18),(13,28),-0.0372268 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,19),(13,21),-0.0465818 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,19),(13,22),-0.0524687 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,19),(13,23),-0.0421516 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,19),(13,25),-0.0465818 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,19),(13,26),-0.0554047 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,19),(13,27),-0.0422131 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,19),(13,28),0.00774648 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,21),(13,22),-0.0507305 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,21),(13,23),-0.0472059 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,21),(13,25),-0.0585896 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,21),(13,26),-0.0625645 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,21),(13,27),-0.0366662 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,21),(13,28),0.0093149 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,22),(13,23),-0.0336059 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,22),(13,25),-0.140863 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,22),(13,26),-0.0677974 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,22),(13,27),-0.0420554 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,22),(13,28),-0.0846631 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,23),(13,25),-0.0471392 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,23),(13,26),-0.0438918 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,23),(13,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,23),(13,28),-0.0453187 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,25),(13,26),-0.0625645 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,25),(13,27),-0.0366662 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,25),(13,28),0.0093149 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,26),(13,27),-0.0451611 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,26),(13,28),-0.0384769 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,27),(13,28),-0.0552103 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,13),(13,12),0.2058 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,11),0.117654 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,10),0.123595 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,9),0.2058 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,7),0.204791 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,6),0.14099 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,5),0.245768 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,4),0.0655651 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,3),0.231178 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,2),0.204351 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,13),(13,13),(13,1),-0.124945 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,-1),-0.515875 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,13),(13,12),(13,11),0.112568 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,12),(13,10),0.106531 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,12),(13,9),0.160153 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,12),(13,7),0.159893 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,12),(13,6),0.124444 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,12),(13,5),0.0807337 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,12),(13,4),0.113829 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,12),(13,3),0.112863 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,12),(13,2),0.160129 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,12),(13,1),-0.124982 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,12),(13,-1),-0.213433 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,11),(13,10),0.115692 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,11),(13,9),0.119041 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,11),(13,7),0.119041 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,11),(13,6),0.118572 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,11),(13,5),0.13603 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,11),(13,4),0.119164 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,11),(13,3),0.116858 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,11),(13,2),0.119041 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,11),(13,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,11),(13,-1),-0.149895 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,10),(13,9),0.142404 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,10),(13,7),0.142404 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,10),(13,6),0.110054 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,10),(13,5),0.184781 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,10),(13,4),0.117235 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,10),(13,3),0.112227 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,10),(13,2),0.142383 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,10),(13,1),-0.12492 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,10),(13,-1),-0.124487 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,9),(13,7),0.159893 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,9),(13,6),0.124444 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,9),(13,5),0.0807337 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,9),(13,4),0.113829 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,9),(13,3),0.112863 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,9),(13,2),0.160129 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,9),(13,1),-0.124982 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,9),(13,-1),-0.213433 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,7),(13,6),0.124444 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,7),(13,5),0.079837 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,7),(13,4),0.113829 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,7),(13,3),0.112863 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,7),(13,2),0.160122 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,7),(13,1),-0.124982 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,7),(13,-1),-0.214448 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,6),(13,5),0.114606 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,6),(13,4),0.116537 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,6),(13,3),0.116114 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,6),(13,2),0.117971 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,6),(13,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,6),(13,-1),-0.0753713 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,5),(13,4),0.126571 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,5),(13,3),0.108193 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,5),(13,2),0.1169 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,5),(13,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,5),(13,-1),-0.0235391 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,4),(13,3),0.119556 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,4),(13,2),0.12039 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,4),(13,1),-0.124905 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,4),(13,-1),-0.163304 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,3),(13,2),0.0652685 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,3),(13,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,3),(13,-1),-0.111076 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,2),(13,1),-0.124982 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,2),(13,-1),-0.214241 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,13),(13,1),(13,-1),-0.0813082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,1),(1,3),-0.130775 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,1),(1,1),(1,5),-0.101878 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,1),(1,28),-0.308212 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,1),(1,3),(1,5),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,3),(1,28),-0.114215 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,1),(1,5),(1,28),-0.109725 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,1),(1,-1),-0.103471 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,2),(2,3),-0.0859719 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,2),(2,4),-0.130229 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,5),-0.055788 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,13),-0.0973975 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,28),-0.195826 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,3),(2,4),-0.125149 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,5),-0.128552 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,13),-0.127351 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,28),-0.0610018 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,4),(2,5),-0.125002 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,28),-0.0680145 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,5),(2,13),-0.102758 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,5),(2,28),-0.0213784 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,13),(2,28),-0.0733169 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,2),(2,1),-0.152439 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,-1),-0.0202456 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,1),(2,-1),0.118695 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,4),(4,5),-0.00398004 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,6),0.0176975 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,7),-0.122893 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,9),-0.122893 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,10),-0.0657212 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,12),-0.122893 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,13),-0.054843 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,16),-0.122893 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,19),-0.0302451 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,22),-0.0657212 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,28),-0.129045 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,4),(4,5),(4,6),-0.0431303 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,5),(4,7),-0.0514266 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,5),(4,9),-0.0514266 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,5),(4,10),-0.0507982 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,5),(4,12),-0.0514266 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,5),(4,13),-0.0507368 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,5),(4,16),-0.0514266 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,5),(4,19),-0.0580659 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,5),(4,22),-0.0507982 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,5),(4,27),-0.0422837 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,5),(4,28),-0.0140945 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,6),(4,7),-0.0453731 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,6),(4,9),-0.0453731 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,6),(4,10),-0.0420248 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,6),(4,12),-0.0453731 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,6),(4,13),-0.0421014 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,6),(4,16),-0.0453731 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,6),(4,19),-0.0432759 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,6),(4,22),-0.0420248 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,6),(4,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,6),(4,28),0.0621761 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,7),(4,9),-0.0430425 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,7),(4,10),-0.0507021 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,7),(4,12),-0.0430425 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,7),(4,13),-0.0419994 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,7),(4,16),-0.0430425 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,7),(4,19),-0.0461917 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,7),(4,22),-0.0507021 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,7),(4,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,7),(4,28),-0.110935 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,9),(4,10),-0.0507021 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,9),(4,12),-0.0430425 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,9),(4,13),-0.0419994 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,9),(4,16),-0.0430425 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,9),(4,19),-0.0461917 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,9),(4,22),-0.0507021 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,9),(4,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,9),(4,28),-0.110935 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,10),(4,12),-0.0471631 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,10),(4,13),-0.0433666 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,10),(4,16),-0.0471631 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,10),(4,19),-0.0560106 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,10),(4,22),-0.0422873 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,10),(4,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,10),(4,28),-0.069371 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,12),(4,13),-0.0419994 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,12),(4,16),-0.0430425 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,12),(4,19),-0.0461917 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,12),(4,22),-0.0507021 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,12),(4,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,12),(4,28),-0.110935 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,13),(4,16),-0.291642 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,13),(4,19),0.0840123 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,13),(4,22),0.128726 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,13),(4,27),-0.125971 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,13),(4,28),-0.068642 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,16),(4,19),-0.0461917 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,16),(4,22),-0.0507021 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,16),(4,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,16),(4,28),-0.110935 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,19),(4,22),-0.0560872 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,19),(4,27),-0.0422837 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,19),(4,28),-0.0426954 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,22),(4,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,22),(4,28),-0.069371 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,27),(4,28),-0.0424262 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,4),(4,2),-0.125164 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,1),-0.125214 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,-1),-0.380008 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,4),(4,2),(4,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,2),(4,-1),-0.0810466 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,1),(4,-1),-0.112355 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,5),(5,6),-0.00902198 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,7),-0.0265714 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,9),-0.0272992 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,10),-0.0552557 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,12),-0.0298961 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,13),0.0435987 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,16),-0.0256309 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,28),-0.157526 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,5),(5,6),(5,7),-0.0472728 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,6),(5,9),-0.0472728 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,6),(5,10),-0.0448959 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,6),(5,12),-0.0472728 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,6),(5,13),-0.0422259 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,6),(5,16),-0.0472728 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,6),(5,28),0.00992675 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,7),(5,9),-0.0868238 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,7),(5,10),-0.0489138 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,7),(5,12),-0.0868238 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,7),(5,13),-0.0579059 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,7),(5,16),-0.0868247 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,7),(5,28),0.000952806 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,9),(5,10),-0.0489144 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,9),(5,12),-0.0867791 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,9),(5,13),-0.0579092 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,9),(5,16),-0.0867801 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,9),(5,28),0.000186305 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,10),(5,12),-0.059651 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,10),(5,13),-0.0547051 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,10),(5,16),-0.059651 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,10),(5,28),0.0317327 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,12),(5,13),-0.0579059 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,12),(5,16),-0.0867801 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,12),(5,28),-0.00241491 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,13),(5,16),-0.291627 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,13),(5,28),0.0117707 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,16),(5,28),0.00234366 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,5),(5,4),0.0937877 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,2),-0.166372 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,-1),-0.108978 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,5),(5,4),(5,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,4),(5,-1),-0.20196 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,2),(5,-1),-0.153212 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,7),(7,8),-0.139744 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,9),-0.0202514 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,10),0.0396511 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,12),-0.0200775 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,13),0.0304405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,16),-0.0204992 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,17),-0.131697 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,18),0.0153061 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,28),-0.0265595 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,7),(7,8),(7,9),-0.039572 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,10),-0.0343018 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,12),-0.039572 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,13),-0.0444127 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,16),-0.039572 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,17),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,18),-0.0468125 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,28),-0.130351 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,9),(7,10),-0.0529898 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,9),(7,12),-0.030475 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,9),(7,13),-0.0701655 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,9),(7,16),-0.030477 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,9),(7,17),-0.0472991 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,9),(7,18),-0.0177774 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,9),(7,28),-0.0268597 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,10),(7,12),-0.0981256 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,10),(7,13),0.0455136 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,10),(7,16),-0.0981256 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,10),(7,17),-0.0482424 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,10),(7,18),-0.0285225 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,10),(7,28),-0.0424344 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,12),(7,13),-0.0701655 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,12),(7,16),-0.030477 # DEPENDENCYPART_GRANDSIBL
