# _root_ Meanwhile , the average yield on taxable funds dropped nearly a tenth of a percentage point , the largest drop since midsummer .
#goldHeads=9,9,5,5,9,5,8,6,0,12,12,9,12,16,16,13,9,20,20,9,20,21,9,
#predictedHeads=9,9,5,5,9,5,8,6,0,12,12,9,12,16,16,13,16,20,20,16,20,21,9,
(12,3),(12,2),-0.365698 # DEPENDENCYPART_NEXTSIBL
(12,3),(12,-1),-0.31411 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,2),(12,-1),-1.31476 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,13),(13,14),-0.596555 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,15),0.0467717 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,16),0.537919 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,17),-0.997129 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,20),0.162262 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,22),-0.040097 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,23),-1.13669 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,24),-0.74842 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(13,14),(13,15),-0.727323 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,16),-0.913398 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,17),-1.04935 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,20),-0.986523 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,22),-1.03921 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,23),-1.34707 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,24),-1.0551 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,15),(13,16),-1.23808 # DEPENDENCYPART_NEXTSIBL
(13,15),(13,17),-0.938418 # DEPENDENCYPART_NEXTSIBL
(13,15),(13,20),-1.39575 # DEPENDENCYPART_NEXTSIBL
(13,15),(13,22),-1.47412 # DEPENDENCYPART_NEXTSIBL
(13,15),(13,23),-1.17396 # DEPENDENCYPART_NEXTSIBL
(13,15),(13,24),-0.728531 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,16),(13,17),-0.599827 # DEPENDENCYPART_NEXTSIBL
(13,16),(13,20),-1.13633 # DEPENDENCYPART_NEXTSIBL
(13,16),(13,22),-1.25871 # DEPENDENCYPART_NEXTSIBL
(13,16),(13,23),-0.211953 # DEPENDENCYPART_NEXTSIBL
(13,16),(13,24),0.0933193 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,17),(13,20),-0.222078 # DEPENDENCYPART_NEXTSIBL
(13,17),(13,22),-0.330483 # DEPENDENCYPART_NEXTSIBL
(13,17),(13,23),-0.841158 # DEPENDENCYPART_NEXTSIBL
(13,17),(13,24),-0.745978 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,20),(13,22),-0.905753 # DEPENDENCYPART_NEXTSIBL
(13,20),(13,23),-0.461856 # DEPENDENCYPART_NEXTSIBL
(13,20),(13,24),-0.468637 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,22),(13,23),-0.737072 # DEPENDENCYPART_NEXTSIBL
(13,22),(13,24),-0.278037 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,23),(13,24),-1.47305 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,13),(13,12),-0.238345 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,11),-0.526789 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,10),0.0616052 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,-1),-0.0942818 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(13,12),(13,11),-0.584515 # DEPENDENCYPART_NEXTSIBL
(13,12),(13,10),-0.60051 # DEPENDENCYPART_NEXTSIBL
(13,12),(13,-1),-0.733412 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,11),(13,10),-0.47737 # DEPENDENCYPART_NEXTSIBL
(13,11),(13,-1),-1.01258 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,10),(13,-1),-0.458166 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,14),(14,15),-0.166443 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,24),-0.131006 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(14,15),(14,24),-0.998208 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,14),(14,-1),-0.187677 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(15,15),(15,16),0.227159 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,20),-0.176709 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,22),-0.329944 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,24),-0.239957 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(15,16),(15,20),-1.04818 # DEPENDENCYPART_NEXTSIBL
(15,16),(15,22),-1.15378 # DEPENDENCYPART_NEXTSIBL
(15,16),(15,24),-0.164466 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,20),(15,22),-0.811798 # DEPENDENCYPART_NEXTSIBL
(15,20),(15,24),-0.762819 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,22),(15,24),-0.516063 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,15),(15,14),-0.410194 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,10),0.20405 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,-1),-0.278129 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(15,14),(15,10),-0.728483 # DEPENDENCYPART_NEXTSIBL
(15,14),(15,-1),-0.560049 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,10),(15,-1),-0.383526 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,16),(16,17),-0.843274 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,18),-1.13843 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,19),-0.248175 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,20),-0.175986 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,21),-0.306534 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,22),-0.329222 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,23),-0.909377 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,24),-0.245162 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(16,17),(16,18),-0.343016 # DEPENDENCYPART_NEXTSIBL
(16,17),(16,19),-0.0681239 # DEPENDENCYPART_NEXTSIBL
(16,17),(16,20),0.00139946 # DEPENDENCYPART_NEXTSIBL
(16,17),(16,21),-0.569512 # DEPENDENCYPART_NEXTSIBL
(16,17),(16,22),-0.0857612 # DEPENDENCYPART_NEXTSIBL
(16,17),(16,23),-0.726109 # DEPENDENCYPART_NEXTSIBL
(16,17),(16,24),-0.80353 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,18),(16,19),-0.653148 # DEPENDENCYPART_NEXTSIBL
(16,18),(16,20),-0.724219 # DEPENDENCYPART_NEXTSIBL
(16,18),(16,21),-0.771604 # DEPENDENCYPART_NEXTSIBL
(16,18),(16,22),-0.807171 # DEPENDENCYPART_NEXTSIBL
(16,18),(16,23),-0.845977 # DEPENDENCYPART_NEXTSIBL
(16,18),(16,24),-0.939734 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,19),(16,20),-0.888246 # DEPENDENCYPART_NEXTSIBL
(16,19),(16,21),-0.96331 # DEPENDENCYPART_NEXTSIBL
(16,19),(16,22),-1.07576 # DEPENDENCYPART_NEXTSIBL
(16,19),(16,23),-0.785066 # DEPENDENCYPART_NEXTSIBL
(16,19),(16,24),-0.428139 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,20),(16,21),-0.438548 # DEPENDENCYPART_NEXTSIBL
(16,20),(16,22),-0.812184 # DEPENDENCYPART_NEXTSIBL
(16,20),(16,23),-0.317602 # DEPENDENCYPART_NEXTSIBL
(16,20),(16,24),-0.754899 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,21),(16,22),-0.898251 # DEPENDENCYPART_NEXTSIBL
(16,21),(16,23),-0.530388 # DEPENDENCYPART_NEXTSIBL
(16,21),(16,24),-0.393629 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,22),(16,23),-0.574415 # DEPENDENCYPART_NEXTSIBL
(16,22),(16,24),-0.508143 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,23),(16,24),-1.2612 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,16),(16,15),-0.0368841 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,14),-0.39589 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,13),-0.0640784 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,12),-0.163216 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,11),-0.373224 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,10),0.222961 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,7),-0.111386 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,6),-0.0284725 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,4),-0.21533 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,-1),-0.332172 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(16,15),(16,14),-0.0939515 # DEPENDENCYPART_NEXTSIBL
(16,15),(16,13),-0.626993 # DEPENDENCYPART_NEXTSIBL
(16,15),(16,12),-1.03149 # DEPENDENCYPART_NEXTSIBL
(16,15),(16,11),-0.801505 # DEPENDENCYPART_NEXTSIBL
(16,15),(16,10),-0.680126 # DEPENDENCYPART_NEXTSIBL
(16,15),(16,7),-0.854438 # DEPENDENCYPART_NEXTSIBL
(16,15),(16,6),-1.31796 # DEPENDENCYPART_NEXTSIBL
(16,15),(16,4),-0.906503 # DEPENDENCYPART_NEXTSIBL
(16,15),(16,-1),-0.95708 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,14),(16,13),-0.56723 # DEPENDENCYPART_NEXTSIBL
(16,14),(16,12),-0.898771 # DEPENDENCYPART_NEXTSIBL
(16,14),(16,11),-0.98653 # DEPENDENCYPART_NEXTSIBL
(16,14),(16,10),-0.718505 # DEPENDENCYPART_NEXTSIBL
(16,14),(16,7),-0.932152 # DEPENDENCYPART_NEXTSIBL
(16,14),(16,6),-0.929974 # DEPENDENCYPART_NEXTSIBL
(16,14),(16,4),-0.959975 # DEPENDENCYPART_NEXTSIBL
(16,14),(16,-1),-0.562982 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,13),(16,12),-0.809634 # DEPENDENCYPART_NEXTSIBL
(16,13),(16,11),-0.906505 # DEPENDENCYPART_NEXTSIBL
(16,13),(16,10),-0.842704 # DEPENDENCYPART_NEXTSIBL
(16,13),(16,7),-1.20887 # DEPENDENCYPART_NEXTSIBL
(16,13),(16,6),-1.41784 # DEPENDENCYPART_NEXTSIBL
(16,13),(16,4),-1.18108 # DEPENDENCYPART_NEXTSIBL
(16,13),(16,-1),-0.561431 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,12),(16,11),-0.410676 # DEPENDENCYPART_NEXTSIBL
(16,12),(16,10),-0.500303 # DEPENDENCYPART_NEXTSIBL
(16,12),(16,7),-1.02536 # DEPENDENCYPART_NEXTSIBL
(16,12),(16,6),-1.36752 # DEPENDENCYPART_NEXTSIBL
(16,12),(16,4),-1.19744 # DEPENDENCYPART_NEXTSIBL
(16,12),(16,-1),-0.617218 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,11),(16,10),-0.3171 # DEPENDENCYPART_NEXTSIBL
(16,11),(16,7),-0.892249 # DEPENDENCYPART_NEXTSIBL
(16,11),(16,6),-0.861342 # DEPENDENCYPART_NEXTSIBL
(16,11),(16,4),-0.95492 # DEPENDENCYPART_NEXTSIBL
(16,11),(16,-1),-0.634724 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,10),(16,7),-0.875281 # DEPENDENCYPART_NEXTSIBL
(16,10),(16,6),-0.95514 # DEPENDENCYPART_NEXTSIBL
(16,10),(16,4),-1.00164 # DEPENDENCYPART_NEXTSIBL
(16,10),(16,-1),-0.36204 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,7),(16,6),-0.63742 # DEPENDENCYPART_NEXTSIBL
(16,7),(16,4),-0.972001 # DEPENDENCYPART_NEXTSIBL
(16,7),(16,-1),-0.77232 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,6),(16,4),-0.739292 # DEPENDENCYPART_NEXTSIBL
(16,6),(16,-1),-0.69261 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,4),(16,-1),-0.95571 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,17),(17,24),-0.0493416 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(17,17),(17,-1),-0.141806 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(18,18),(18,21),-0.319019 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,24),-0.0767088 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(18,21),(18,24),-0.409385 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,18),(18,17),-1.12556 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,-1),-0.140459 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(18,17),(18,-1),-1.04514 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,19),(19,21),-0.261391 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,24),-0.239354 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(19,21),(19,24),-0.365227 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,19),(19,18),-0.65047 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,-1),-0.301569 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(19,18),(19,-1),-0.396928 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,20),(20,21),-0.264319 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,22),-0.331254 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,23),-0.916959 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,24),-0.250656 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(20,21),(20,22),-0.872934 # DEPENDENCYPART_NEXTSIBL
(20,21),(20,23),-0.519426 # DEPENDENCYPART_NEXTSIBL
(20,21),(20,24),-0.366028 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,22),(20,23),-0.581304 # DEPENDENCYPART_NEXTSIBL
(20,22),(20,24),-0.508595 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,23),(20,24),-1.28015 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,20),(20,19),-0.346764 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,18),-0.69551 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,17),-1.24157 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,16),0.343217 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,15),-0.0264003 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,14),-0.40136 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,11),-0.378694 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,-1),-0.31599 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(20,19),(20,18),-0.20747 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,17),-0.714851 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,16),-0.841986 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,15),-0.973737 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,14),-0.796983 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,11),-0.988671 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,-1),-0.471933 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,18),(20,17),-0.303155 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,16),-0.769714 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,15),-0.82856 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,14),-0.857231 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,11),-0.938951 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,-1),-0.161083 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,17),(20,16),-0.669062 # DEPENDENCYPART_NEXTSIBL
(20,17),(20,15),-0.78592 # DEPENDENCYPART_NEXTSIBL
(20,17),(20,14),-0.984616 # DEPENDENCYPART_NEXTSIBL
(20,17),(20,11),-1.12146 # DEPENDENCYPART_NEXTSIBL
(20,17),(20,-1),-1.13003 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,16),(20,15),-0.0176202 # DEPENDENCYPART_NEXTSIBL
(20,16),(20,14),0.011169 # DEPENDENCYPART_NEXTSIBL
(20,16),(20,11),-0.327314 # DEPENDENCYPART_NEXTSIBL
(20,16),(20,-1),-0.132341 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,15),(20,14),-0.0731649 # DEPENDENCYPART_NEXTSIBL
(20,15),(20,11),-0.780719 # DEPENDENCYPART_NEXTSIBL
(20,15),(20,-1),-0.948851 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,14),(20,11),-0.981184 # DEPENDENCYPART_NEXTSIBL
(20,14),(20,-1),-0.54334 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,11),(20,-1),-0.615082 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,21),(21,22),-0.246219 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,23),-1.13143 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,24),-0.466807 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(21,22),(21,23),-0.780298 # DEPENDENCYPART_NEXTSIBL
(21,22),(21,24),-0.492821 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,23),(21,24),-1.46445 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,21),(21,20),-0.0901486 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,-1),-0.09725 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(21,20),(21,-1),-0.819718 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,22),(22,23),-0.916914 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,24),-0.235627 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(22,23),(22,24),-1.28005 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,22),(22,21),-0.239556 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,20),0.00106292 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,19),-0.32169 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,18),-0.703764 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,17),-1.24156 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,14),-0.407674 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,-1),-0.308173 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(22,21),(22,20),-0.720079 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,19),-0.843094 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,18),-1.06296 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,17),-1.08191 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,14),-1.25203 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,-1),-0.196663 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,20),(22,19),-0.685309 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,18),-0.61925 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,17),-0.614458 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,14),-0.803437 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,-1),-0.688773 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,19),(22,18),-0.190086 # DEPENDENCYPART_NEXTSIBL
(22,19),(22,17),-0.706728 # DEPENDENCYPART_NEXTSIBL
(22,19),(22,14),-0.787606 # DEPENDENCYPART_NEXTSIBL
(22,19),(22,-1),-0.463335 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,18),(22,17),-0.30932 # DEPENDENCYPART_NEXTSIBL
(22,18),(22,14),-0.869221 # DEPENDENCYPART_NEXTSIBL
(22,18),(22,-1),-0.181014 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,17),(22,14),-0.99041 # DEPENDENCYPART_NEXTSIBL
(22,17),(22,-1),-1.13002 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,14),(22,-1),-0.562702 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,23),(23,24),-0.311412 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(23,23),(23,22),-0.361337 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,21),-0.303245 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,-1),0.0321518 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(23,22),(23,21),-0.598538 # DEPENDENCYPART_NEXTSIBL
(23,22),(23,-1),-0.701207 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,21),(23,-1),-0.257312 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,1),(1,2),0.737883 # DEPENDENCYPART_GRANDPAR
(0,1),(1,3),0.0184037 # DEPENDENCYPART_GRANDPAR
(0,1),(1,4),0.108284 # DEPENDENCYPART_GRANDPAR
(0,1),(1,5),0.295499 # DEPENDENCYPART_GRANDPAR
(0,1),(1,6),0.062017 # DEPENDENCYPART_GRANDPAR
(0,1),(1,8),0.140646 # DEPENDENCYPART_GRANDPAR
(0,1),(1,9),0.546332 # DEPENDENCYPART_GRANDPAR
(0,5),(5,1),0.888649 # DEPENDENCYPART_GRANDPAR
(0,5),(5,2),0.981 # DEPENDENCYPART_GRANDPAR
(0,5),(5,3),-0.101805 # DEPENDENCYPART_GRANDPAR
(0,5),(5,4),-0.00679334 # DEPENDENCYPART_GRANDPAR
(0,5),(5,6),0.289205 # DEPENDENCYPART_GRANDPAR
(0,5),(5,7),0.101142 # DEPENDENCYPART_GRANDPAR
(0,5),(5,8),0.474416 # DEPENDENCYPART_GRANDPAR
(0,5),(5,9),0.587251 # DEPENDENCYPART_GRANDPAR
(0,5),(5,10),-0.135107 # DEPENDENCYPART_GRANDPAR
(0,5),(5,12),0.300463 # DEPENDENCYPART_GRANDPAR
(0,5),(5,13),-0.217643 # DEPENDENCYPART_GRANDPAR
(0,5),(5,16),0.271578 # DEPENDENCYPART_GRANDPAR
(0,5),(5,17),0.216776 # DEPENDENCYPART_GRANDPAR
(0,5),(5,20),0.168665 # DEPENDENCYPART_GRANDPAR
(0,5),(5,21),-0.380347 # DEPENDENCYPART_GRANDPAR
(0,5),(5,23),2.55434 # DEPENDENCYPART_GRANDPAR
(0,6),(6,4),0.0541185 # DEPENDENCYPART_GRANDPAR
(0,6),(6,5),0.190861 # DEPENDENCYPART_GRANDPAR
(0,6),(6,7),0.00437284 # DEPENDENCYPART_GRANDPAR
(0,6),(6,8),0.249463 # DEPENDENCYPART_GRANDPAR
(0,6),(6,9),0.582244 # DEPENDENCYPART_GRANDPAR
(0,6),(6,10),-0.277046 # DEPENDENCYPART_GRANDPAR
(0,6),(6,12),0.059176 # DEPENDENCYPART_GRANDPAR
(0,6),(6,13),-0.299616 # DEPENDENCYPART_GRANDPAR
(0,6),(6,16),0.0373788 # DEPENDENCYPART_GRANDPAR
(0,6),(6,20),-0.0536543 # DEPENDENCYPART_GRANDPAR
(0,6),(6,23),2.35693 # DEPENDENCYPART_GRANDPAR
(0,9),(9,1),1.01758 # DEPENDENCYPART_GRANDPAR
(0,9),(9,2),1.12481 # DEPENDENCYPART_GRANDPAR
(0,9),(9,3),-0.167247 # DEPENDENCYPART_GRANDPAR
(0,9),(9,4),0.0590686 # DEPENDENCYPART_GRANDPAR
(0,9),(9,5),0.202303 # DEPENDENCYPART_GRANDPAR
(0,9),(9,6),-0.159653 # DEPENDENCYPART_GRANDPAR
(0,9),(9,7),-0.125262 # DEPENDENCYPART_GRANDPAR
(0,9),(9,8),0.0490607 # DEPENDENCYPART_GRANDPAR
(0,9),(9,10),-0.161724 # DEPENDENCYPART_GRANDPAR
(0,9),(9,11),-0.281031 # DEPENDENCYPART_GRANDPAR
(0,9),(9,12),0.24277 # DEPENDENCYPART_GRANDPAR
(0,9),(9,13),-0.144372 # DEPENDENCYPART_GRANDPAR
(0,9),(9,15),-0.115615 # DEPENDENCYPART_GRANDPAR
(0,9),(9,16),0.246266 # DEPENDENCYPART_GRANDPAR
(0,9),(9,17),0.224156 # DEPENDENCYPART_GRANDPAR
(0,9),(9,20),0.125961 # DEPENDENCYPART_GRANDPAR
(0,9),(9,21),-0.251319 # DEPENDENCYPART_GRANDPAR
(0,9),(9,22),-0.265161 # DEPENDENCYPART_GRANDPAR
(0,9),(9,23),2.63313 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-0.944654 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,3),(3,2),0.0384588 # DEPENDENCYPART_GRANDPAR
(1,3),(3,4),-0.205171 # DEPENDENCYPART_GRANDPAR
(1,3),(3,6),-0.165597 # DEPENDENCYPART_GRANDPAR
(1,4),(4,1),-0.944695 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,4),(4,2),0.00762121 # DEPENDENCYPART_GRANDPAR
(1,4),(4,3),-0.0568111 # DEPENDENCYPART_GRANDPAR
(1,4),(4,5),-0.2698 # DEPENDENCYPART_GRANDPAR
(1,4),(4,6),-0.224265 # DEPENDENCYPART_GRANDPAR
(1,4),(4,7),-0.276886 # DEPENDENCYPART_GRANDPAR
(1,4),(4,8),-0.276958 # DEPENDENCYPART_GRANDPAR
(1,4),(4,12),-0.599073 # DEPENDENCYPART_GRANDPAR
(1,4),(4,23),-0.743828 # DEPENDENCYPART_GRANDPAR
(1,5),(5,1),-0.93648 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,5),(5,2),0.0938672 # DEPENDENCYPART_GRANDPAR
(1,5),(5,3),0.0158907 # DEPENDENCYPART_GRANDPAR
(1,5),(5,4),-0.107431 # DEPENDENCYPART_GRANDPAR
(1,5),(5,6),-0.1543 # DEPENDENCYPART_GRANDPAR
(1,5),(5,7),-0.238379 # DEPENDENCYPART_GRANDPAR
(1,5),(5,8),-0.199034 # DEPENDENCYPART_GRANDPAR
(1,5),(5,9),-0.261905 # DEPENDENCYPART_GRANDPAR
(1,5),(5,10),0.0053764 # DEPENDENCYPART_GRANDPAR
