# _root_ As they did when the Philippines was a colony of the U.S. , teachers for the most part teach in English , even though it is a foreign language for most Philippine children .
#goldHeads=3,3,19,7,6,7,3,9,7,9,12,10,19,19,19,18,18,15,0,19,20,19,26,26,26,19,29,29,26,26,33,33,30,19,
#predictedHeads=3,3,19,7,6,7,3,9,7,9,12,10,19,19,14,18,18,15,0,19,20,19,26,26,26,19,29,29,26,29,33,33,30,19,
(24,23),(24,29),0.155055 # DEPENDENCYPART_SIBL
(24,23),(24,30),0.00121454 # DEPENDENCYPART_SIBL
(24,23),(24,33),0.157172 # DEPENDENCYPART_SIBL
(24,25),(24,26),-0.0189105 # DEPENDENCYPART_SIBL
(24,25),(24,29),-0.0486961 # DEPENDENCYPART_SIBL
(24,25),(24,30),-0.0279671 # DEPENDENCYPART_SIBL
(24,25),(24,33),-0.0501092 # DEPENDENCYPART_SIBL
(24,26),(24,29),-0.030085 # DEPENDENCYPART_SIBL
(24,26),(24,30),0.0048514 # DEPENDENCYPART_SIBL
(24,26),(24,33),-0.0313498 # DEPENDENCYPART_SIBL
(24,29),(24,30),-0.012757 # DEPENDENCYPART_SIBL
(24,29),(24,33),-0.0919652 # DEPENDENCYPART_SIBL
(24,30),(24,33),-0.00612023 # DEPENDENCYPART_SIBL
(26,1),(26,3),-0.032674 # DEPENDENCYPART_SIBL
(26,1),(26,6),-0.0192185 # DEPENDENCYPART_SIBL
(26,1),(26,7),-0.0216394 # DEPENDENCYPART_SIBL
(26,1),(26,9),-0.0247615 # DEPENDENCYPART_SIBL
(26,1),(26,12),-0.0364313 # DEPENDENCYPART_SIBL
(26,1),(26,13),-0.00883089 # DEPENDENCYPART_SIBL
(26,1),(26,14),-0.0247612 # DEPENDENCYPART_SIBL
(26,1),(26,15),-0.104386 # DEPENDENCYPART_SIBL
(26,1),(26,18),-0.0602576 # DEPENDENCYPART_SIBL
(26,1),(26,19),-0.0111859 # DEPENDENCYPART_SIBL
(26,1),(26,20),-0.0634658 # DEPENDENCYPART_SIBL
(26,1),(26,21),-0.025749 # DEPENDENCYPART_SIBL
(26,1),(26,22),-0.00883089 # DEPENDENCYPART_SIBL
(26,1),(26,23),-0.0494252 # DEPENDENCYPART_SIBL
(26,1),(26,24),-0.0721534 # DEPENDENCYPART_SIBL
(26,1),(26,25),-0.0151345 # DEPENDENCYPART_SIBL
(26,1),(26,27),-0.147569 # DEPENDENCYPART_SIBL
(26,1),(26,28),-0.0803364 # DEPENDENCYPART_SIBL
(26,1),(26,29),-0.0897935 # DEPENDENCYPART_SIBL
(26,1),(26,30),-0.0316273 # DEPENDENCYPART_SIBL
(26,1),(26,32),-0.0743026 # DEPENDENCYPART_SIBL
(26,1),(26,33),-0.0897465 # DEPENDENCYPART_SIBL
(26,1),(26,34),-0.140388 # DEPENDENCYPART_SIBL
(26,3),(26,6),-0.0288149 # DEPENDENCYPART_SIBL
(26,3),(26,7),-0.0822844 # DEPENDENCYPART_SIBL
(26,3),(26,9),-0.0326675 # DEPENDENCYPART_SIBL
(26,3),(26,12),-0.0371575 # DEPENDENCYPART_SIBL
(26,3),(26,13),0.00251067 # DEPENDENCYPART_SIBL
(26,3),(26,14),-0.032666 # DEPENDENCYPART_SIBL
(26,3),(26,15),-0.0552919 # DEPENDENCYPART_SIBL
(26,3),(26,18),-0.0391481 # DEPENDENCYPART_SIBL
(26,3),(26,19),-0.0530132 # DEPENDENCYPART_SIBL
(26,3),(26,20),-0.0513693 # DEPENDENCYPART_SIBL
(26,3),(26,21),-0.0329178 # DEPENDENCYPART_SIBL
(26,3),(26,22),0.00251067 # DEPENDENCYPART_SIBL
(26,3),(26,23),-0.0427283 # DEPENDENCYPART_SIBL
(26,3),(26,24),-0.0621017 # DEPENDENCYPART_SIBL
(26,3),(26,25),-0.0514596 # DEPENDENCYPART_SIBL
(26,3),(26,27),-0.0980509 # DEPENDENCYPART_SIBL
(26,3),(26,28),0.013249 # DEPENDENCYPART_SIBL
(26,3),(26,29),0.0158446 # DEPENDENCYPART_SIBL
(26,3),(26,30),-0.00630547 # DEPENDENCYPART_SIBL
(26,3),(26,32),0.0181377 # DEPENDENCYPART_SIBL
(26,3),(26,33),0.0138194 # DEPENDENCYPART_SIBL
(26,3),(26,34),0.0206633 # DEPENDENCYPART_SIBL
(26,6),(26,7),-0.0352999 # DEPENDENCYPART_SIBL
(26,6),(26,9),-0.141288 # DEPENDENCYPART_SIBL
(26,6),(26,12),-0.160285 # DEPENDENCYPART_SIBL
(26,6),(26,13),0.0328521 # DEPENDENCYPART_SIBL
(26,6),(26,14),-0.141294 # DEPENDENCYPART_SIBL
(26,6),(26,15),-0.00510688 # DEPENDENCYPART_SIBL
(26,6),(26,18),-0.140398 # DEPENDENCYPART_SIBL
(26,6),(26,19),-0.0179699 # DEPENDENCYPART_SIBL
(26,6),(26,20),-0.00969098 # DEPENDENCYPART_SIBL
(26,6),(26,21),-0.141305 # DEPENDENCYPART_SIBL
(26,6),(26,22),0.0328521 # DEPENDENCYPART_SIBL
(26,6),(26,23),-0.0181021 # DEPENDENCYPART_SIBL
(26,6),(26,24),-0.0173502 # DEPENDENCYPART_SIBL
(26,6),(26,25),-0.123259 # DEPENDENCYPART_SIBL
(26,6),(26,27),-0.160251 # DEPENDENCYPART_SIBL
(26,6),(26,28),0.0105959 # DEPENDENCYPART_SIBL
(26,6),(26,29),-0.0883302 # DEPENDENCYPART_SIBL
(26,6),(26,30),-0.0135436 # DEPENDENCYPART_SIBL
(26,6),(26,32),0.0108026 # DEPENDENCYPART_SIBL
(26,6),(26,33),-0.0995147 # DEPENDENCYPART_SIBL
(26,6),(26,34),-0.011271 # DEPENDENCYPART_SIBL
(26,7),(26,9),-0.0250362 # DEPENDENCYPART_SIBL
(26,7),(26,12),-0.0295317 # DEPENDENCYPART_SIBL
(26,7),(26,13),-0.0102044 # DEPENDENCYPART_SIBL
(26,7),(26,14),-0.0250347 # DEPENDENCYPART_SIBL
(26,7),(26,15),-0.0586947 # DEPENDENCYPART_SIBL
(26,7),(26,18),-0.0315158 # DEPENDENCYPART_SIBL
(26,7),(26,19),-0.0535713 # DEPENDENCYPART_SIBL
(26,7),(26,20),-0.0544791 # DEPENDENCYPART_SIBL
(26,7),(26,21),-0.0252866 # DEPENDENCYPART_SIBL
(26,7),(26,22),-0.0102044 # DEPENDENCYPART_SIBL
(26,7),(26,23),-0.0338761 # DEPENDENCYPART_SIBL
(26,7),(26,24),-0.0653129 # DEPENDENCYPART_SIBL
(26,7),(26,25),-0.0308122 # DEPENDENCYPART_SIBL
(26,7),(26,27),-0.0797822 # DEPENDENCYPART_SIBL
(26,7),(26,28),0.0333391 # DEPENDENCYPART_SIBL
(26,7),(26,29),0.0204913 # DEPENDENCYPART_SIBL
(26,7),(26,30),0.0220894 # DEPENDENCYPART_SIBL
(26,7),(26,32),0.0382278 # DEPENDENCYPART_SIBL
(26,7),(26,33),0.0184661 # DEPENDENCYPART_SIBL
(26,7),(26,34),0.0668056 # DEPENDENCYPART_SIBL
(26,9),(26,12),-0.167688 # DEPENDENCYPART_SIBL
(26,9),(26,13),0.0301379 # DEPENDENCYPART_SIBL
(26,9),(26,14),-0.146367 # DEPENDENCYPART_SIBL
(26,9),(26,15),-0.00532851 # DEPENDENCYPART_SIBL
(26,9),(26,18),-0.145471 # DEPENDENCYPART_SIBL
(26,9),(26,19),-0.0181988 # DEPENDENCYPART_SIBL
(26,9),(26,20),-0.00992207 # DEPENDENCYPART_SIBL
(26,9),(26,21),-0.146378 # DEPENDENCYPART_SIBL
(26,9),(26,22),0.0301379 # DEPENDENCYPART_SIBL
(26,9),(26,23),-0.018342 # DEPENDENCYPART_SIBL
(26,9),(26,24),-0.0175812 # DEPENDENCYPART_SIBL
(26,9),(26,25),-0.123134 # DEPENDENCYPART_SIBL
(26,9),(26,27),-0.161344 # DEPENDENCYPART_SIBL
(26,9),(26,28),0.00951794 # DEPENDENCYPART_SIBL
(26,9),(26,29),-0.0892377 # DEPENDENCYPART_SIBL
(26,9),(26,30),-0.0187527 # DEPENDENCYPART_SIBL
(26,9),(26,32),0.0097515 # DEPENDENCYPART_SIBL
(26,9),(26,33),-0.100422 # DEPENDENCYPART_SIBL
(26,9),(26,34),-0.0105553 # DEPENDENCYPART_SIBL
(26,12),(26,13),0.073549 # DEPENDENCYPART_SIBL
(26,12),(26,14),-0.126314 # DEPENDENCYPART_SIBL
(26,12),(26,15),-0.00404304 # DEPENDENCYPART_SIBL
(26,12),(26,18),-0.125418 # DEPENDENCYPART_SIBL
(26,12),(26,19),-0.0251136 # DEPENDENCYPART_SIBL
(26,12),(26,20),-0.00444036 # DEPENDENCYPART_SIBL
(26,12),(26,21),-0.126325 # DEPENDENCYPART_SIBL
(26,12),(26,22),0.073549 # DEPENDENCYPART_SIBL
(26,12),(26,23),-0.0183676 # DEPENDENCYPART_SIBL
(26,12),(26,24),-0.0173506 # DEPENDENCYPART_SIBL
(26,12),(26,25),-0.119769 # DEPENDENCYPART_SIBL
(26,12),(26,27),-0.169968 # DEPENDENCYPART_SIBL
(26,12),(26,28),0.0579528 # DEPENDENCYPART_SIBL
(26,12),(26,29),-0.112719 # DEPENDENCYPART_SIBL
(26,12),(26,30),-0.00915178 # DEPENDENCYPART_SIBL
(26,12),(26,32),0.044429 # DEPENDENCYPART_SIBL
(26,12),(26,33),-0.123903 # DEPENDENCYPART_SIBL
(26,12),(26,34),-0.0511947 # DEPENDENCYPART_SIBL
(26,13),(26,14),0.000715774 # DEPENDENCYPART_SIBL
(26,13),(26,15),0.0268775 # DEPENDENCYPART_SIBL
(26,13),(26,18),0.00403086 # DEPENDENCYPART_SIBL
(26,13),(26,19),-0.00236303 # DEPENDENCYPART_SIBL
(26,13),(26,20),0.00063059 # DEPENDENCYPART_SIBL
(26,13),(26,21),0.000503868 # DEPENDENCYPART_SIBL
(26,13),(26,22),0.0357719 # DEPENDENCYPART_SIBL
(26,13),(26,23),-0.0264724 # DEPENDENCYPART_SIBL
(26,13),(26,24),-0.0277853 # DEPENDENCYPART_SIBL
(26,13),(26,25),-0.02747 # DEPENDENCYPART_SIBL
(26,13),(26,27),-0.144493 # DEPENDENCYPART_SIBL
(26,13),(26,28),-0.00106283 # DEPENDENCYPART_SIBL
(26,13),(26,29),0.00559043 # DEPENDENCYPART_SIBL
(26,13),(26,30),-0.13885 # DEPENDENCYPART_SIBL
(26,13),(26,32),0.00957195 # DEPENDENCYPART_SIBL
(26,13),(26,33),-0.0115964 # DEPENDENCYPART_SIBL
(26,13),(26,34),0.037156 # DEPENDENCYPART_SIBL
(26,14),(26,15),-0.00532851 # DEPENDENCYPART_SIBL
(26,14),(26,18),-0.140266 # DEPENDENCYPART_SIBL
(26,14),(26,19),-0.0181995 # DEPENDENCYPART_SIBL
(26,14),(26,20),-0.00992207 # DEPENDENCYPART_SIBL
(26,14),(26,21),-0.141173 # DEPENDENCYPART_SIBL
(26,14),(26,22),0.030138 # DEPENDENCYPART_SIBL
(26,14),(26,23),-0.018342 # DEPENDENCYPART_SIBL
(26,14),(26,24),-0.0175812 # DEPENDENCYPART_SIBL
(26,14),(26,25),-0.123134 # DEPENDENCYPART_SIBL
(26,14),(26,27),-0.161344 # DEPENDENCYPART_SIBL
(26,14),(26,28),0.00957146 # DEPENDENCYPART_SIBL
(26,14),(26,29),-0.087824 # DEPENDENCYPART_SIBL
(26,14),(26,30),-0.0190938 # DEPENDENCYPART_SIBL
(26,14),(26,32),0.00977818 # DEPENDENCYPART_SIBL
(26,14),(26,33),-0.0990086 # DEPENDENCYPART_SIBL
(26,14),(26,34),-0.0102488 # DEPENDENCYPART_SIBL
(26,15),(26,18),-0.062069 # DEPENDENCYPART_SIBL
(26,15),(26,19),0.0381474 # DEPENDENCYPART_SIBL
(26,15),(26,20),-0.0221295 # DEPENDENCYPART_SIBL
(26,15),(26,21),-0.0407081 # DEPENDENCYPART_SIBL
(26,15),(26,22),0.0594366 # DEPENDENCYPART_SIBL
(26,15),(26,23),-0.0597617 # DEPENDENCYPART_SIBL
(26,15),(26,24),-0.0521019 # DEPENDENCYPART_SIBL
(26,15),(26,25),-0.00759626 # DEPENDENCYPART_SIBL
(26,15),(26,27),-0.073368 # DEPENDENCYPART_SIBL
(26,15),(26,28),0.00150385 # DEPENDENCYPART_SIBL
(26,15),(26,29),-0.0181652 # DEPENDENCYPART_SIBL
(26,15),(26,30),0.00164752 # DEPENDENCYPART_SIBL
(26,15),(26,32),0.00758802 # DEPENDENCYPART_SIBL
(26,15),(26,33),-0.0184941 # DEPENDENCYPART_SIBL
(26,15),(26,34),0.0235983 # DEPENDENCYPART_SIBL
(26,18),(26,19),-0.0309978 # DEPENDENCYPART_SIBL
(26,18),(26,20),-0.0193954 # DEPENDENCYPART_SIBL
(26,18),(26,21),-0.161485 # DEPENDENCYPART_SIBL
(26,18),(26,22),0.00499601 # DEPENDENCYPART_SIBL
(26,18),(26,23),-0.0287982 # DEPENDENCYPART_SIBL
(26,18),(26,24),-0.0270155 # DEPENDENCYPART_SIBL
(26,18),(26,25),-0.13226 # DEPENDENCYPART_SIBL
(26,18),(26,27),-0.184773 # DEPENDENCYPART_SIBL
(26,18),(26,28),-0.00963521 # DEPENDENCYPART_SIBL
(26,18),(26,29),-0.112115 # DEPENDENCYPART_SIBL
(26,18),(26,30),-0.0386394 # DEPENDENCYPART_SIBL
(26,18),(26,32),-0.00942849 # DEPENDENCYPART_SIBL
(26,18),(26,33),-0.123301 # DEPENDENCYPART_SIBL
(26,18),(26,34),-0.0472415 # DEPENDENCYPART_SIBL
(26,19),(26,20),-0.0451182 # DEPENDENCYPART_SIBL
(26,19),(26,21),-0.0269305 # DEPENDENCYPART_SIBL
(26,19),(26,22),0.00120334 # DEPENDENCYPART_SIBL
(26,19),(26,23),-0.0333722 # DEPENDENCYPART_SIBL
(26,19),(26,24),-0.0560736 # DEPENDENCYPART_SIBL
(26,19),(26,25),-0.0539511 # DEPENDENCYPART_SIBL
(26,19),(26,27),-0.0837482 # DEPENDENCYPART_SIBL
(26,19),(26,28),0.0284977 # DEPENDENCYPART_SIBL
(26,19),(26,29),0.0299996 # DEPENDENCYPART_SIBL
(26,19),(26,30),0.0222677 # DEPENDENCYPART_SIBL
(26,19),(26,32),0.0333864 # DEPENDENCYPART_SIBL
(26,19),(26,33),0.0279743 # DEPENDENCYPART_SIBL
(26,19),(26,34),0.0339652 # DEPENDENCYPART_SIBL
(26,20),(26,21),-0.00619392 # DEPENDENCYPART_SIBL
(26,20),(26,22),0.0347139 # DEPENDENCYPART_SIBL
(26,20),(26,23),-0.0669794 # DEPENDENCYPART_SIBL
(26,20),(26,24),-0.0528605 # DEPENDENCYPART_SIBL
(26,20),(26,25),-0.0175172 # DEPENDENCYPART_SIBL
(26,20),(26,27),-0.0874159 # DEPENDENCYPART_SIBL
(26,20),(26,28),0.00634798 # DEPENDENCYPART_SIBL
(26,20),(26,29),-0.017063 # DEPENDENCYPART_SIBL
(26,20),(26,30),0.0343499 # DEPENDENCYPART_SIBL
(26,20),(26,32),0.0123891 # DEPENDENCYPART_SIBL
(26,20),(26,33),-0.0176112 # DEPENDENCYPART_SIBL
(26,20),(26,34),0.018849 # DEPENDENCYPART_SIBL
(26,21),(26,22),0.0290137 # DEPENDENCYPART_SIBL
(26,21),(26,23),-0.0187182 # DEPENDENCYPART_SIBL
(26,21),(26,24),-0.0179554 # DEPENDENCYPART_SIBL
(26,21),(26,25),-0.123863 # DEPENDENCYPART_SIBL
(26,21),(26,27),-0.161891 # DEPENDENCYPART_SIBL
(26,21),(26,28),0.00866191 # DEPENDENCYPART_SIBL
(26,21),(26,29),-0.0875608 # DEPENDENCYPART_SIBL
(26,21),(26,30),-0.0196422 # DEPENDENCYPART_SIBL
(26,21),(26,32),0.00886863 # DEPENDENCYPART_SIBL
(26,21),(26,33),-0.0987453 # DEPENDENCYPART_SIBL
(26,21),(26,34),-0.0108095 # DEPENDENCYPART_SIBL
(26,22),(26,23),-0.0264724 # DEPENDENCYPART_SIBL
(26,22),(26,24),-0.0277853 # DEPENDENCYPART_SIBL
(26,22),(26,25),-0.02747 # DEPENDENCYPART_SIBL
(26,22),(26,27),-0.144493 # DEPENDENCYPART_SIBL
(26,22),(26,28),-0.00106283 # DEPENDENCYPART_SIBL
(26,22),(26,29),0.00559043 # DEPENDENCYPART_SIBL
(26,22),(26,30),-0.13885 # DEPENDENCYPART_SIBL
(26,22),(26,32),0.00957195 # DEPENDENCYPART_SIBL
(26,22),(26,33),-0.0115964 # DEPENDENCYPART_SIBL
(26,22),(26,34),0.037156 # DEPENDENCYPART_SIBL
(26,23),(26,24),0.167933 # DEPENDENCYPART_SIBL
(26,23),(26,25),0.0465191 # DEPENDENCYPART_SIBL
(26,23),(26,27),-0.0686664 # DEPENDENCYPART_SIBL
(26,23),(26,28),0.0149181 # DEPENDENCYPART_SIBL
(26,23),(26,29),0.0482058 # DEPENDENCYPART_SIBL
(26,23),(26,30),-0.0428297 # DEPENDENCYPART_SIBL
(26,23),(26,32),0.0199407 # DEPENDENCYPART_SIBL
(26,23),(26,33),0.0453101 # DEPENDENCYPART_SIBL
(26,23),(26,34),0.0124699 # DEPENDENCYPART_SIBL
(26,24),(26,25),0.0195628 # DEPENDENCYPART_SIBL
(26,24),(26,27),-0.0776273 # DEPENDENCYPART_SIBL
(26,24),(26,28),0.032773 # DEPENDENCYPART_SIBL
(26,24),(26,29),-0.0216713 # DEPENDENCYPART_SIBL
(26,24),(26,30),0.0119941 # DEPENDENCYPART_SIBL
(26,24),(26,32),0.0387932 # DEPENDENCYPART_SIBL
(26,24),(26,33),-0.0219733 # DEPENDENCYPART_SIBL
(26,24),(26,34),-0.0669352 # DEPENDENCYPART_SIBL
(26,25),(26,27),-0.0746603 # DEPENDENCYPART_SIBL
(26,25),(26,28),0.0102531 # DEPENDENCYPART_SIBL
(26,25),(26,29),0.01186 # DEPENDENCYPART_SIBL
(26,25),(26,30),-0.0748332 # DEPENDENCYPART_SIBL
(26,25),(26,32),0.0123254 # DEPENDENCYPART_SIBL
(26,25),(26,33),0.0114457 # DEPENDENCYPART_SIBL
(26,25),(26,34),0.022589 # DEPENDENCYPART_SIBL
(26,27),(26,28),-0.0394342 # DEPENDENCYPART_SIBL
(26,27),(26,29),-0.0276128 # DEPENDENCYPART_SIBL
(26,27),(26,30),-0.0520503 # DEPENDENCYPART_SIBL
(26,27),(26,32),-0.0387972 # DEPENDENCYPART_SIBL
(26,27),(26,33),-0.023015 # DEPENDENCYPART_SIBL
(26,27),(26,34),-0.0388681 # DEPENDENCYPART_SIBL
(26,28),(26,29),-0.0551997 # DEPENDENCYPART_SIBL
(26,28),(26,30),-0.0215043 # DEPENDENCYPART_SIBL
(26,28),(26,32),-0.0708144 # DEPENDENCYPART_SIBL
(26,28),(26,33),-0.0523811 # DEPENDENCYPART_SIBL
(26,28),(26,34),-0.0146437 # DEPENDENCYPART_SIBL
(26,29),(26,30),-0.037665 # DEPENDENCYPART_SIBL
(26,29),(26,32),-0.035099 # DEPENDENCYPART_SIBL
(26,29),(26,33),-0.0526628 # DEPENDENCYPART_SIBL
(26,29),(26,34),0.00662383 # DEPENDENCYPART_SIBL
(26,30),(26,32),-0.0116605 # DEPENDENCYPART_SIBL
(26,30),(26,33),-0.00285924 # DEPENDENCYPART_SIBL
(26,30),(26,34),-0.0170815 # DEPENDENCYPART_SIBL
(26,32),(26,33),-0.055098 # DEPENDENCYPART_SIBL
(26,32),(26,34),-0.0108228 # DEPENDENCYPART_SIBL
(26,33),(26,34),-0.0177335 # DEPENDENCYPART_SIBL
(27,28),(27,30),-0.0157885 # DEPENDENCYPART_SIBL
(28,24),(28,25),0.0494897 # DEPENDENCYPART_SIBL
(28,24),(28,27),0.0544729 # DEPENDENCYPART_SIBL
(28,24),(28,30),0.116133 # DEPENDENCYPART_SIBL
(28,24),(28,32),-0.020606 # DEPENDENCYPART_SIBL
(28,24),(28,33),-0.0245584 # DEPENDENCYPART_SIBL
(28,25),(28,27),0.0477269 # DEPENDENCYPART_SIBL
(28,25),(28,30),-0.000842734 # DEPENDENCYPART_SIBL
(28,25),(28,32),-0.07707 # DEPENDENCYPART_SIBL
(28,25),(28,33),0.00270091 # DEPENDENCYPART_SIBL
(28,27),(28,30),0.223421 # DEPENDENCYPART_SIBL
(28,27),(28,32),0.0178786 # DEPENDENCYPART_SIBL
(28,27),(28,33),0.00929167 # DEPENDENCYPART_SIBL
(28,30),(28,32),0.0284931 # DEPENDENCYPART_SIBL
(28,30),(28,33),0.0702078 # DEPENDENCYPART_SIBL
(28,32),(28,33),0.0201585 # DEPENDENCYPART_SIBL
(29,23),(29,24),0.173539 # DEPENDENCYPART_SIBL
(29,23),(29,25),0.141337 # DEPENDENCYPART_SIBL
(29,23),(29,27),0.156399 # DEPENDENCYPART_SIBL
(29,23),(29,28),0.110899 # DEPENDENCYPART_SIBL
(29,23),(29,30),-0.135913 # DEPENDENCYPART_SIBL
(29,23),(29,31),-0.015241 # DEPENDENCYPART_SIBL
(29,23),(29,32),-0.00275325 # DEPENDENCYPART_SIBL
(29,23),(29,33),0.0263374 # DEPENDENCYPART_SIBL
(29,23),(29,34),0.0164008 # DEPENDENCYPART_SIBL
(29,24),(29,25),0.0311762 # DEPENDENCYPART_SIBL
(29,24),(29,27),0.0480608 # DEPENDENCYPART_SIBL
(29,24),(29,28),-0.00312301 # DEPENDENCYPART_SIBL
(29,24),(29,30),0.0436366 # DEPENDENCYPART_SIBL
(29,24),(29,31),-0.0198684 # DEPENDENCYPART_SIBL
(29,24),(29,32),0.000208678 # DEPENDENCYPART_SIBL
(29,24),(29,33),0.00824561 # DEPENDENCYPART_SIBL
(29,24),(29,34),-0.0232007 # DEPENDENCYPART_SIBL
(29,25),(29,27),0.0353841 # DEPENDENCYPART_SIBL
(29,25),(29,28),0.0109604 # DEPENDENCYPART_SIBL
(29,25),(29,30),0.0312034 # DEPENDENCYPART_SIBL
(29,25),(29,31),-0.0451823 # DEPENDENCYPART_SIBL
(29,25),(29,32),-0.0261693 # DEPENDENCYPART_SIBL
(29,25),(29,33),0.0686815 # DEPENDENCYPART_SIBL
(29,25),(29,34),0.0631463 # DEPENDENCYPART_SIBL
(29,27),(29,28),0.000197097 # DEPENDENCYPART_SIBL
(29,27),(29,30),0.122154 # DEPENDENCYPART_SIBL
(29,27),(29,31),0.0661028 # DEPENDENCYPART_SIBL
(29,27),(29,32),0.0909109 # DEPENDENCYPART_SIBL
(29,27),(29,33),-0.01362 # DEPENDENCYPART_SIBL
(29,27),(29,34),-0.0121719 # DEPENDENCYPART_SIBL
(29,28),(29,30),-0.0404003 # DEPENDENCYPART_SIBL
(29,28),(29,31),0.00409918 # DEPENDENCYPART_SIBL
(29,28),(29,32),0.0310096 # DEPENDENCYPART_SIBL
(29,28),(29,33),0.0109105 # DEPENDENCYPART_SIBL
(29,28),(29,34),-0.0594787 # DEPENDENCYPART_SIBL
(29,30),(29,31),0.0249515 # DEPENDENCYPART_SIBL
(29,30),(29,32),0.0338831 # DEPENDENCYPART_SIBL
(29,30),(29,33),0.0359115 # DEPENDENCYPART_SIBL
(29,30),(29,34),0.0462645 # DEPENDENCYPART_SIBL
(29,31),(29,32),-0.0262782 # DEPENDENCYPART_SIBL
(29,31),(29,33),-0.0158936 # DEPENDENCYPART_SIBL
(29,31),(29,34),-0.00750639 # DEPENDENCYPART_SIBL
(29,32),(29,33),-0.00744313 # DEPENDENCYPART_SIBL
(29,32),(29,34),0.00638069 # DEPENDENCYPART_SIBL
(29,33),(29,34),0.0226188 # DEPENDENCYPART_SIBL
(30,28),(30,29),0.0945066 # DEPENDENCYPART_SIBL
(30,28),(30,31),0.0582759 # DEPENDENCYPART_SIBL
(30,28),(30,32),0.0728847 # DEPENDENCYPART_SIBL
(30,28),(30,33),-0.0562933 # DEPENDENCYPART_SIBL
(30,28),(30,34),0.00242881 # DEPENDENCYPART_SIBL
(30,29),(30,31),-0.0505093 # DEPENDENCYPART_SIBL
(30,29),(30,32),-0.0362068 # DEPENDENCYPART_SIBL
(30,29),(30,33),-0.022878 # DEPENDENCYPART_SIBL
(30,29),(30,34),-0.00484068 # DEPENDENCYPART_SIBL
(30,31),(30,32),-0.0461026 # DEPENDENCYPART_SIBL
(30,31),(30,33),-0.0839783 # DEPENDENCYPART_SIBL
(30,31),(30,34),-0.0342257 # DEPENDENCYPART_SIBL
(30,32),(30,33),-0.0715014 # DEPENDENCYPART_SIBL
(30,32),(30,34),-0.0165276 # DEPENDENCYPART_SIBL
(30,33),(30,34),-0.0091268 # DEPENDENCYPART_SIBL
(31,29),(31,32),-0.0507595 # DEPENDENCYPART_SIBL
(32,28),(32,29),0.0414776 # DEPENDENCYPART_SIBL
(32,28),(32,31),0.0732356 # DEPENDENCYPART_SIBL
(32,29),(32,31),0.0452489 # DEPENDENCYPART_SIBL
(33,23),(33,24),0.173528 # DEPENDENCYPART_SIBL
(33,23),(33,27),0.15678 # DEPENDENCYPART_SIBL
(33,23),(33,28),0.111462 # DEPENDENCYPART_SIBL
(33,23),(33,29),0.119644 # DEPENDENCYPART_SIBL
(33,23),(33,30),0.133086 # DEPENDENCYPART_SIBL
(33,23),(33,31),0.0905306 # DEPENDENCYPART_SIBL
(33,23),(33,32),0.124107 # DEPENDENCYPART_SIBL
(33,23),(33,34),0.0163708 # DEPENDENCYPART_SIBL
(33,24),(33,27),0.0480459 # DEPENDENCYPART_SIBL
(33,24),(33,28),-0.00238341 # DEPENDENCYPART_SIBL
(33,24),(33,29),0.0151414 # DEPENDENCYPART_SIBL
(33,24),(33,30),0.0349524 # DEPENDENCYPART_SIBL
(33,24),(33,31),0.00179925 # DEPENDENCYPART_SIBL
(33,24),(33,32),0.0161813 # DEPENDENCYPART_SIBL
(33,24),(33,34),-0.0182935 # DEPENDENCYPART_SIBL
(33,27),(33,28),0.00151314 # DEPENDENCYPART_SIBL
(33,27),(33,29),0.0425156 # DEPENDENCYPART_SIBL
(33,27),(33,30),0.0709015 # DEPENDENCYPART_SIBL
(33,27),(33,31),0.00812622 # DEPENDENCYPART_SIBL
(33,27),(33,32),0.0344776 # DEPENDENCYPART_SIBL
(33,27),(33,34),-0.0121644 # DEPENDENCYPART_SIBL
(33,28),(33,29),0.0593222 # DEPENDENCYPART_SIBL
(33,28),(33,30),0.0158922 # DEPENDENCYPART_SIBL
(33,28),(33,31),-0.0183099 # DEPENDENCYPART_SIBL
(33,28),(33,32),-0.00126973 # DEPENDENCYPART_SIBL
(33,28),(33,34),-0.0644857 # DEPENDENCYPART_SIBL
(33,29),(33,30),0.0687685 # DEPENDENCYPART_SIBL
(33,29),(33,31),-0.034916 # DEPENDENCYPART_SIBL
(33,29),(33,32),0.0141404 # DEPENDENCYPART_SIBL
(33,29),(33,34),0.0155414 # DEPENDENCYPART_SIBL
(33,30),(33,31),-0.0447558 # DEPENDENCYPART_SIBL
(33,30),(33,32),-0.0334802 # DEPENDENCYPART_SIBL
(33,30),(33,34),0.0121991 # DEPENDENCYPART_SIBL
(33,31),(33,32),0.0263713 # DEPENDENCYPART_SIBL
(33,31),(33,34),-0.0929859 # DEPENDENCYPART_SIBL
(33,32),(33,34),-0.0610898 # DEPENDENCYPART_SIBL
(0,0),(0,1),-0.896976 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,3),0.122993 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,7),0.283509 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,19),0.181921 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,26),0.320812 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
