# _root_ The subsidiary also increased reserves by $ 140 million , however , and set aside an additional $ 25 million for claims connected with Hurricane Hugo .
#goldHeads=2,13,13,13,4,4,6,7,7,13,13,13,0,13,14,17,14,17,18,18,14,21,22,23,26,24,13,
#predictedHeads=2,4,4,13,4,4,6,7,7,4,4,13,0,13,14,17,14,17,18,18,17,21,22,23,26,24,13,
(4,13),(13,15),(13,21),-0.039348 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,15),(13,22),-0.0264349 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,15),(13,23),-0.00443537 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,15),(13,26),-0.0264345 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,15),(13,27),-0.0210755 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,15),(13,28),0.0119114 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,16),(13,17),-0.0207254 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,16),(13,18),-0.0194868 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,16),(13,19),-0.0209813 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,16),(13,20),-0.0209813 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,16),(13,21),-0.0140625 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,16),(13,22),-0.0278652 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,16),(13,23),-0.0208655 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,16),(13,26),-0.0278652 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,16),(13,27),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,16),(13,28),0.00985828 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,17),(13,18),-0.0194606 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,17),(13,19),-0.0201895 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,17),(13,20),-0.0201897 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,17),(13,21),0.0131884 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,17),(13,22),-0.0308668 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,17),(13,23),0.00284147 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,17),(13,26),-0.0308668 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,17),(13,27),-0.021425 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,17),(13,28),-0.0489363 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,18),(13,19),0.00357798 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,18),(13,20),0.00342904 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,18),(13,21),-0.0295637 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,18),(13,22),-0.0211728 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,18),(13,23),-0.0222962 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,18),(13,26),-0.0211728 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,18),(13,27),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,18),(13,28),0.0426956 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,19),(13,20),-0.00207356 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,19),(13,21),-0.0241927 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,19),(13,22),-0.00824168 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,19),(13,23),-0.0232592 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,19),(13,26),-0.00824168 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,19),(13,27),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,19),(13,28),-0.0464931 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,20),(13,21),-0.0217967 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,20),(13,22),-0.00884846 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,20),(13,23),-0.0234298 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,20),(13,26),-0.00884846 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,20),(13,27),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,20),(13,28),-0.0427938 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,21),(13,22),-0.0371862 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,21),(13,23),-0.0350037 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,21),(13,26),-0.0371862 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,21),(13,27),-0.0195539 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,21),(13,28),-0.00504282 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,22),(13,23),-0.0380942 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,22),(13,26),0.0597343 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,22),(13,27),-0.0207308 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,22),(13,28),0.00842482 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,23),(13,26),-0.0567437 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,23),(13,27),-0.0281551 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,23),(13,28),-0.103018 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,26),(13,27),-0.0207308 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,26),(13,28),0.00957735 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,27),(13,28),-0.030308 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,13),(13,12),0.0579284 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,11),0.0818274 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,10),0.0579284 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,9),0.0863996 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,8),0.0749984 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,7),0.134407 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,6),0.153832 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,5),0.136108 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,4),0.166369 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,3),-0.145015 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,2),-0.155019 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,1),-0.144751 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,-1),-0.154845 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,13),(13,12),(13,11),0.0616398 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,12),(13,10),0.122361 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,12),(13,9),0.106747 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,12),(13,8),0.107526 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,12),(13,7),0.0953775 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,12),(13,6),0.141824 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,12),(13,5),0.227448 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,12),(13,4),0.136523 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,12),(13,3),-0.145264 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,12),(13,2),-0.151597 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,12),(13,1),-0.145067 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,12),(13,-1),-0.168599 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,11),(13,10),0.0746537 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,11),(13,9),0.107302 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,11),(13,8),0.107409 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,11),(13,7),0.107904 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,11),(13,6),0.10839 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,11),(13,5),0.0796838 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,11),(13,4),0.0963949 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,11),(13,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,11),(13,2),-0.147007 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,11),(13,1),-0.144737 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,11),(13,-1),-0.0744357 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,10),(13,9),0.106747 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,10),(13,8),0.107526 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,10),(13,7),0.0953775 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,10),(13,6),0.141824 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,10),(13,5),0.227448 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,10),(13,4),0.136523 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,10),(13,3),-0.145264 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,10),(13,2),-0.151597 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,10),(13,1),-0.145067 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,10),(13,-1),-0.168599 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,9),(13,8),0.137611 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,9),(13,7),0.120168 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,9),(13,6),0.114867 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,9),(13,5),0.093514 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,9),(13,4),0.107401 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,9),(13,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,9),(13,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,9),(13,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,9),(13,-1),-0.204925 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,8),(13,7),0.120446 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,8),(13,6),0.11487 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,8),(13,5),0.0935142 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,8),(13,4),0.107401 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,8),(13,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,8),(13,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,8),(13,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,8),(13,-1),-0.204389 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,7),(13,6),0.125855 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,7),(13,5),0.10623 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,7),(13,4),0.102465 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,7),(13,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,7),(13,2),-0.145681 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,7),(13,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,7),(13,-1),-0.140241 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,6),(13,5),0.104779 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,6),(13,4),0.0945063 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,6),(13,3),-0.145455 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,6),(13,2),-0.144766 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,6),(13,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,6),(13,-1),-0.058008 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,5),(13,4),0.117057 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,5),(13,3),-0.144873 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,5),(13,2),-0.147103 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,5),(13,1),-0.146169 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,5),(13,-1),-0.17243 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,4),(13,3),-0.145104 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,4),(13,2),-0.149936 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,4),(13,1),-0.145109 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,4),(13,-1),-0.138618 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,13),(13,3),(13,2),-0.147008 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,3),(13,1),-0.144738 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,3),(13,-1),-0.0741226 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,2),(13,1),-0.146169 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,2),(13,-1),-0.171795 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,1),(13,-1),-0.138499 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,14),(14,15),-0.0516303 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,16),-0.0356142 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,17),0.0191769 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,18),0.00109124 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,19),-0.00691039 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,21),-0.0508079 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,22),0.0493233 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,23),-0.0708693 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,24),-0.0835964 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,26),0.040852 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,27),-0.0411165 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,28),0.0833809 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,14),(14,15),(14,16),-0.0219988 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,15),(14,17),-0.00711531 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,15),(14,18),-0.0249275 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,15),(14,19),-0.0207958 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,15),(14,21),-0.0409999 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,15),(14,22),-0.0356266 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,15),(14,23),-0.0182446 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,15),(14,24),-0.0573428 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,15),(14,26),-0.0356266 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,15),(14,27),-0.0233504 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,15),(14,28),0.00920195 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,16),(14,17),-0.0252816 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,16),(14,18),-0.0208764 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,16),(14,19),-0.0195204 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,16),(14,21),-0.00917711 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,16),(14,22),-0.0234185 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,16),(14,23),-0.0241591 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,16),(14,24),-0.0124865 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,16),(14,26),-0.0234185 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,16),(14,27),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,16),(14,28),-0.0386689 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,17),(14,18),-0.0214179 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,17),(14,19),-0.0196381 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,17),(14,21),0.000149386 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,17),(14,22),-0.0354474 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,17),(14,23),-0.0210297 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,17),(14,24),0.00266107 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,17),(14,26),-0.0354474 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,17),(14,27),-0.0198773 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,17),(14,28),-0.00283998 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,18),(14,19),-0.0261658 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,18),(14,21),0.0328249 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,18),(14,22),-0.0191404 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,18),(14,23),-0.0187839 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,18),(14,24),0.016964 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,18),(14,26),-0.0191404 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,18),(14,27),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,18),(14,28),-0.0474438 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,19),(14,21),0.00720525 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,19),(14,22),-0.0236789 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,19),(14,23),-0.024579 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,19),(14,24),-0.00364132 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,19),(14,26),-0.0236789 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,19),(14,27),-0.02122 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,19),(14,28),-0.0129802 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,21),(14,22),-0.0229797 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,21),(14,23),-0.0278776 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,21),(14,24),-0.0782497 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,21),(14,26),-0.0229797 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,21),(14,27),-0.0308336 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,21),(14,28),0.0583107 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,22),(14,23),-0.0522529 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,22),(14,24),-0.00536454 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,22),(14,26),-0.00311096 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,22),(14,27),-0.0145731 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,22),(14,28),-0.00583741 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,23),(14,24),-0.0311307 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,23),(14,26),-0.0291546 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,23),(14,27),-0.00237462 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,23),(14,28),-0.0414113 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,24),(14,26),-0.0175835 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,24),(14,27),-0.0302553 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,24),(14,28),0.0269884 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,26),(14,27),-0.0145716 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,26),(14,28),-0.0177809 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,27),(14,28),-0.0327537 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,14),(14,13),0.0165482 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,12),0.116573 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,11),0.0511301 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,10),0.116573 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,7),0.100718 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,6),-0.0165085 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,5),0.151808 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,4),0.138848 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,3),-0.148517 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,2),-0.190315 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,-1),-0.237615 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,14),(14,13),(14,12),-0.0493407 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,13),(14,11),0.0780315 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,13),(14,10),0.00839085 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,13),(14,7),0.138379 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,13),(14,6),0.289318 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,13),(14,5),0.182567 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,13),(14,4),0.175378 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,13),(14,3),-0.004108 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,13),(14,2),-0.058195 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,13),(14,-1),-0.206771 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,12),(14,11),0.121978 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,12),(14,10),0.113096 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,12),(14,7),0.107309 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,12),(14,6),0.0607115 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,12),(14,5),0.11936 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,12),(14,4),0.136008 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,12),(14,3),-0.145055 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,12),(14,2),-0.146864 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,12),(14,-1),-0.113846 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,11),(14,10),0.110817 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,11),(14,7),0.10954 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,11),(14,6),0.094548 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,11),(14,5),0.110781 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,11),(14,4),0.103656 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,11),(14,3),-0.144791 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,11),(14,2),-0.145881 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,11),(14,-1),-0.175678 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,10),(14,7),0.107309 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,10),(14,6),0.0607115 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,10),(14,5),0.11936 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,10),(14,4),0.136008 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,10),(14,3),-0.145055 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,10),(14,2),-0.146864 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,10),(14,-1),-0.113846 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,7),(14,6),0.101146 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,7),(14,5),0.108374 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,7),(14,4),0.10919 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,7),(14,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,7),(14,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,7),(14,-1),-0.151132 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,6),(14,5),0.111148 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,6),(14,4),0.110141 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,6),(14,3),-0.145178 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,6),(14,2),-0.145338 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,6),(14,-1),-0.14407 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,5),(14,4),0.104628 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,5),(14,3),-0.145272 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,5),(14,2),-0.147956 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,5),(14,-1),-0.166074 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,4),(14,3),-0.144838 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,4),(14,2),-0.145204 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,4),(14,-1),-0.14258 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,14),(14,3),(14,2),-0.146766 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,3),(14,-1),-0.180027 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,2),(14,-1),-0.16453 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,15),(15,16),-0.0110729 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,17),-0.0788721 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,18),-0.0302554 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,19),-0.0197418 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,20),-0.0197339 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,21),-0.00729707 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,22),0.0112964 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,24),-0.0160629 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,28),0.0874728 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,15),(15,16),(15,17),-0.0199741 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,16),(15,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
