# _root_ Institutional investors and bankers , many of whom spent the night before in their offices watching Far Eastern markets , were cautiously optimistic after the mild 1.8 % decline in Tokyo stock prices .
#goldHeads=2,21,2,3,2,9,6,7,2,11,9,11,9,15,13,9,19,19,16,2,0,23,21,21,29,29,28,29,24,29,33,33,30,21,
#predictedHeads=2,21,2,3,2,9,6,7,2,11,9,9,12,15,13,2,19,19,16,2,0,23,21,21,29,29,28,29,24,29,33,33,30,21,
(19,11),(19,15),-0.0535005 # DEPENDENCYPART_SIBL
(19,11),(19,16),0.0281306 # DEPENDENCYPART_SIBL
(19,11),(19,17),-0.0887975 # DEPENDENCYPART_SIBL
(19,11),(19,18),-0.09211 # DEPENDENCYPART_SIBL
(19,11),(19,20),-0.0131161 # DEPENDENCYPART_SIBL
(19,11),(19,21),-0.0354327 # DEPENDENCYPART_SIBL
(19,11),(19,22),-0.0479383 # DEPENDENCYPART_SIBL
(19,11),(19,23),-0.0481638 # DEPENDENCYPART_SIBL
(19,11),(19,24),-0.214864 # DEPENDENCYPART_SIBL
(19,11),(19,29),-0.0196493 # DEPENDENCYPART_SIBL
(19,11),(19,30),-0.0250912 # DEPENDENCYPART_SIBL
(19,11),(19,33),-0.0615258 # DEPENDENCYPART_SIBL
(19,11),(19,34),-0.0229594 # DEPENDENCYPART_SIBL
(19,12),(19,14),-0.021282 # DEPENDENCYPART_SIBL
(19,12),(19,15),0.0619673 # DEPENDENCYPART_SIBL
(19,12),(19,16),-0.0380886 # DEPENDENCYPART_SIBL
(19,12),(19,17),-0.0445363 # DEPENDENCYPART_SIBL
(19,12),(19,18),-0.00323783 # DEPENDENCYPART_SIBL
(19,12),(19,20),0.0386594 # DEPENDENCYPART_SIBL
(19,12),(19,21),-0.0211901 # DEPENDENCYPART_SIBL
(19,12),(19,22),-0.0360295 # DEPENDENCYPART_SIBL
(19,12),(19,23),0.0600802 # DEPENDENCYPART_SIBL
(19,12),(19,24),-0.0445179 # DEPENDENCYPART_SIBL
(19,12),(19,29),0.0449944 # DEPENDENCYPART_SIBL
(19,12),(19,30),0.00139355 # DEPENDENCYPART_SIBL
(19,12),(19,33),-0.0186758 # DEPENDENCYPART_SIBL
(19,12),(19,34),0.0601497 # DEPENDENCYPART_SIBL
(19,14),(19,15),-0.0929721 # DEPENDENCYPART_SIBL
(19,14),(19,16),0.0990777 # DEPENDENCYPART_SIBL
(19,14),(19,17),0.0130112 # DEPENDENCYPART_SIBL
(19,14),(19,18),0.00697906 # DEPENDENCYPART_SIBL
(19,14),(19,20),0.0351761 # DEPENDENCYPART_SIBL
(19,14),(19,21),-0.0310831 # DEPENDENCYPART_SIBL
(19,14),(19,22),-0.0220258 # DEPENDENCYPART_SIBL
(19,14),(19,23),-0.172928 # DEPENDENCYPART_SIBL
(19,14),(19,24),-0.363903 # DEPENDENCYPART_SIBL
(19,14),(19,29),-0.0258662 # DEPENDENCYPART_SIBL
(19,14),(19,30),-0.0552354 # DEPENDENCYPART_SIBL
(19,14),(19,33),-0.0874816 # DEPENDENCYPART_SIBL
(19,14),(19,34),-0.160692 # DEPENDENCYPART_SIBL
(19,15),(19,16),0.0393231 # DEPENDENCYPART_SIBL
(19,15),(19,17),-0.0629023 # DEPENDENCYPART_SIBL
(19,15),(19,18),-0.0667163 # DEPENDENCYPART_SIBL
(19,15),(19,20),0.0598574 # DEPENDENCYPART_SIBL
(19,15),(19,21),0.0195237 # DEPENDENCYPART_SIBL
(19,15),(19,22),-0.002148 # DEPENDENCYPART_SIBL
(19,15),(19,23),-0.0559042 # DEPENDENCYPART_SIBL
(19,15),(19,24),-0.108139 # DEPENDENCYPART_SIBL
(19,15),(19,29),-0.00821471 # DEPENDENCYPART_SIBL
(19,15),(19,30),-0.0574359 # DEPENDENCYPART_SIBL
(19,15),(19,33),-0.0423454 # DEPENDENCYPART_SIBL
(19,15),(19,34),-0.0253923 # DEPENDENCYPART_SIBL
(19,16),(19,17),0.00812227 # DEPENDENCYPART_SIBL
(19,16),(19,18),0.00355896 # DEPENDENCYPART_SIBL
(19,16),(19,20),0.0333952 # DEPENDENCYPART_SIBL
(19,16),(19,21),-0.039972 # DEPENDENCYPART_SIBL
(19,16),(19,22),-0.0132669 # DEPENDENCYPART_SIBL
(19,16),(19,23),-0.0122503 # DEPENDENCYPART_SIBL
(19,16),(19,24),-0.138256 # DEPENDENCYPART_SIBL
(19,16),(19,29),0.00144671 # DEPENDENCYPART_SIBL
(19,16),(19,30),-0.00715037 # DEPENDENCYPART_SIBL
(19,16),(19,33),-0.032057 # DEPENDENCYPART_SIBL
(19,16),(19,34),0.000793396 # DEPENDENCYPART_SIBL
(19,17),(19,18),-0.212835 # DEPENDENCYPART_SIBL
(19,17),(19,20),0.0627573 # DEPENDENCYPART_SIBL
(19,17),(19,21),0.0119123 # DEPENDENCYPART_SIBL
(19,17),(19,22),-0.0946265 # DEPENDENCYPART_SIBL
(19,17),(19,23),-0.0852115 # DEPENDENCYPART_SIBL
(19,17),(19,24),-0.148438 # DEPENDENCYPART_SIBL
(19,17),(19,29),0.0196005 # DEPENDENCYPART_SIBL
(19,17),(19,30),-0.176515 # DEPENDENCYPART_SIBL
(19,17),(19,33),-0.0944258 # DEPENDENCYPART_SIBL
(19,17),(19,34),-0.138768 # DEPENDENCYPART_SIBL
(19,18),(19,20),0.0676814 # DEPENDENCYPART_SIBL
(19,18),(19,21),0.0147599 # DEPENDENCYPART_SIBL
(19,18),(19,22),-0.0813846 # DEPENDENCYPART_SIBL
(19,18),(19,23),-0.0857904 # DEPENDENCYPART_SIBL
(19,18),(19,24),-0.170931 # DEPENDENCYPART_SIBL
(19,18),(19,29),-0.0125325 # DEPENDENCYPART_SIBL
(19,18),(19,30),-0.167442 # DEPENDENCYPART_SIBL
(19,18),(19,33),-0.12982 # DEPENDENCYPART_SIBL
(19,18),(19,34),-0.177574 # DEPENDENCYPART_SIBL
(19,20),(19,21),0.635583 # DEPENDENCYPART_SIBL
(19,20),(19,22),0.307441 # DEPENDENCYPART_SIBL
(19,20),(19,23),0.347265 # DEPENDENCYPART_SIBL
(19,20),(19,24),0.351244 # DEPENDENCYPART_SIBL
(19,20),(19,29),0.63604 # DEPENDENCYPART_SIBL
(19,20),(19,30),0.217244 # DEPENDENCYPART_SIBL
(19,20),(19,33),0.678182 # DEPENDENCYPART_SIBL
(19,20),(19,34),0.0270219 # DEPENDENCYPART_SIBL
(19,21),(19,22),-0.0924367 # DEPENDENCYPART_SIBL
(19,21),(19,23),-0.103945 # DEPENDENCYPART_SIBL
(19,21),(19,24),-0.124636 # DEPENDENCYPART_SIBL
(19,21),(19,29),-0.0586169 # DEPENDENCYPART_SIBL
(19,21),(19,30),-0.0789428 # DEPENDENCYPART_SIBL
(19,21),(19,33),-0.0464993 # DEPENDENCYPART_SIBL
(19,21),(19,34),-0.028144 # DEPENDENCYPART_SIBL
(19,22),(19,23),-0.0258111 # DEPENDENCYPART_SIBL
(19,22),(19,24),-0.025024 # DEPENDENCYPART_SIBL
(19,22),(19,29),0.0765958 # DEPENDENCYPART_SIBL
(19,22),(19,30),-0.034368 # DEPENDENCYPART_SIBL
(19,22),(19,33),0.127823 # DEPENDENCYPART_SIBL
(19,22),(19,34),-0.0316348 # DEPENDENCYPART_SIBL
(19,23),(19,24),0.0427811 # DEPENDENCYPART_SIBL
(19,23),(19,29),-0.039436 # DEPENDENCYPART_SIBL
(19,23),(19,30),0.0582968 # DEPENDENCYPART_SIBL
(19,23),(19,33),-0.0331937 # DEPENDENCYPART_SIBL
(19,23),(19,34),-0.0349471 # DEPENDENCYPART_SIBL
(19,24),(19,29),0.0313162 # DEPENDENCYPART_SIBL
(19,24),(19,30),0.000912046 # DEPENDENCYPART_SIBL
(19,24),(19,33),-0.0260381 # DEPENDENCYPART_SIBL
(19,24),(19,34),0.107072 # DEPENDENCYPART_SIBL
(19,29),(19,30),-0.0740718 # DEPENDENCYPART_SIBL
(19,29),(19,33),-0.161021 # DEPENDENCYPART_SIBL
(19,29),(19,34),0.0190668 # DEPENDENCYPART_SIBL
(19,30),(19,33),0.0484044 # DEPENDENCYPART_SIBL
(19,30),(19,34),0.000727938 # DEPENDENCYPART_SIBL
(19,33),(19,34),-0.00305495 # DEPENDENCYPART_SIBL
(21,1),(21,2),-0.17403 # DEPENDENCYPART_SIBL
(21,1),(21,3),-0.161863 # DEPENDENCYPART_SIBL
(21,1),(21,4),-0.152399 # DEPENDENCYPART_SIBL
(21,1),(21,5),0.115908 # DEPENDENCYPART_SIBL
(21,1),(21,6),-0.232977 # DEPENDENCYPART_SIBL
(21,1),(21,7),-0.107303 # DEPENDENCYPART_SIBL
(21,1),(21,8),-0.146771 # DEPENDENCYPART_SIBL
(21,1),(21,9),-0.0339768 # DEPENDENCYPART_SIBL
(21,1),(21,11),-0.0465223 # DEPENDENCYPART_SIBL
(21,1),(21,12),-0.0994506 # DEPENDENCYPART_SIBL
(21,1),(21,13),-0.065939 # DEPENDENCYPART_SIBL
(21,1),(21,14),-0.157008 # DEPENDENCYPART_SIBL
(21,1),(21,15),-0.178965 # DEPENDENCYPART_SIBL
(21,1),(21,16),-0.0267824 # DEPENDENCYPART_SIBL
(21,1),(21,17),-0.135921 # DEPENDENCYPART_SIBL
(21,1),(21,18),-0.142997 # DEPENDENCYPART_SIBL
(21,1),(21,19),-0.183985 # DEPENDENCYPART_SIBL
(21,1),(21,20),0.115908 # DEPENDENCYPART_SIBL
(21,1),(21,22),-0.0355032 # DEPENDENCYPART_SIBL
(21,1),(21,23),0.0435525 # DEPENDENCYPART_SIBL
(21,1),(21,24),0.017796 # DEPENDENCYPART_SIBL
(21,1),(21,25),0.0109817 # DEPENDENCYPART_SIBL
(21,1),(21,26),0.0473399 # DEPENDENCYPART_SIBL
(21,1),(21,27),-0.0503154 # DEPENDENCYPART_SIBL
(21,1),(21,28),0.00493157 # DEPENDENCYPART_SIBL
(21,1),(21,29),0.158651 # DEPENDENCYPART_SIBL
(21,1),(21,30),-0.0933802 # DEPENDENCYPART_SIBL
(21,1),(21,33),0.0188203 # DEPENDENCYPART_SIBL
(21,1),(21,34),0.0724237 # DEPENDENCYPART_SIBL
(21,2),(21,3),-0.312391 # DEPENDENCYPART_SIBL
(21,2),(21,4),-0.889637 # DEPENDENCYPART_SIBL
(21,2),(21,5),-0.0256383 # DEPENDENCYPART_SIBL
(21,2),(21,6),-0.343163 # DEPENDENCYPART_SIBL
(21,2),(21,7),-0.0380974 # DEPENDENCYPART_SIBL
(21,2),(21,8),-0.397446 # DEPENDENCYPART_SIBL
(21,2),(21,9),-0.230099 # DEPENDENCYPART_SIBL
(21,2),(21,11),-0.561127 # DEPENDENCYPART_SIBL
(21,2),(21,12),-0.0931599 # DEPENDENCYPART_SIBL
(21,2),(21,13),-0.0270435 # DEPENDENCYPART_SIBL
(21,2),(21,14),-0.274073 # DEPENDENCYPART_SIBL
(21,2),(21,15),-0.913794 # DEPENDENCYPART_SIBL
(21,2),(21,16),-0.18253 # DEPENDENCYPART_SIBL
(21,2),(21,17),-0.343004 # DEPENDENCYPART_SIBL
(21,2),(21,18),-0.340855 # DEPENDENCYPART_SIBL
(21,2),(21,19),-0.939199 # DEPENDENCYPART_SIBL
(21,2),(21,20),-0.0256383 # DEPENDENCYPART_SIBL
(21,2),(21,22),0.00100423 # DEPENDENCYPART_SIBL
(21,2),(21,23),0.043816 # DEPENDENCYPART_SIBL
(21,2),(21,24),0.0310494 # DEPENDENCYPART_SIBL
(21,2),(21,25),-0.0919734 # DEPENDENCYPART_SIBL
(21,2),(21,26),0.0500756 # DEPENDENCYPART_SIBL
(21,2),(21,27),-0.0575219 # DEPENDENCYPART_SIBL
(21,2),(21,28),-0.0229042 # DEPENDENCYPART_SIBL
(21,2),(21,29),0.0698421 # DEPENDENCYPART_SIBL
(21,2),(21,30),0.0202698 # DEPENDENCYPART_SIBL
(21,2),(21,33),-0.0495835 # DEPENDENCYPART_SIBL
(21,2),(21,34),-0.0094039 # DEPENDENCYPART_SIBL
(21,3),(21,4),0.00977918 # DEPENDENCYPART_SIBL
(21,3),(21,5),0.259416 # DEPENDENCYPART_SIBL
(21,3),(21,6),0.196304 # DEPENDENCYPART_SIBL
(21,3),(21,7),0.0211428 # DEPENDENCYPART_SIBL
(21,3),(21,8),-0.0329636 # DEPENDENCYPART_SIBL
(21,3),(21,9),0.144306 # DEPENDENCYPART_SIBL
(21,3),(21,11),0.0194667 # DEPENDENCYPART_SIBL
(21,3),(21,12),0.00201009 # DEPENDENCYPART_SIBL
(21,3),(21,13),0.0115932 # DEPENDENCYPART_SIBL
(21,3),(21,14),0.0392221 # DEPENDENCYPART_SIBL
(21,3),(21,15),-0.0425294 # DEPENDENCYPART_SIBL
(21,3),(21,16),0.0313022 # DEPENDENCYPART_SIBL
(21,3),(21,17),-0.0248447 # DEPENDENCYPART_SIBL
(21,3),(21,18),-0.021313 # DEPENDENCYPART_SIBL
(21,3),(21,19),-0.0335601 # DEPENDENCYPART_SIBL
(21,3),(21,20),0.259416 # DEPENDENCYPART_SIBL
(21,3),(21,22),-0.0697384 # DEPENDENCYPART_SIBL
(21,3),(21,23),-0.0233456 # DEPENDENCYPART_SIBL
(21,3),(21,24),-0.0649035 # DEPENDENCYPART_SIBL
(21,3),(21,25),-0.178915 # DEPENDENCYPART_SIBL
(21,3),(21,26),-0.018988 # DEPENDENCYPART_SIBL
(21,3),(21,27),-0.101842 # DEPENDENCYPART_SIBL
(21,3),(21,28),-0.0641221 # DEPENDENCYPART_SIBL
(21,3),(21,29),0.023969 # DEPENDENCYPART_SIBL
(21,3),(21,30),-0.143979 # DEPENDENCYPART_SIBL
(21,3),(21,33),-0.0381369 # DEPENDENCYPART_SIBL
(21,3),(21,34),0.0717915 # DEPENDENCYPART_SIBL
(21,4),(21,5),-0.1306 # DEPENDENCYPART_SIBL
(21,4),(21,6),-0.357201 # DEPENDENCYPART_SIBL
(21,4),(21,7),-0.0623847 # DEPENDENCYPART_SIBL
(21,4),(21,8),-0.417746 # DEPENDENCYPART_SIBL
(21,4),(21,9),-0.252374 # DEPENDENCYPART_SIBL
(21,4),(21,11),-0.569357 # DEPENDENCYPART_SIBL
(21,4),(21,12),-0.12813 # DEPENDENCYPART_SIBL
(21,4),(21,13),-0.0441819 # DEPENDENCYPART_SIBL
(21,4),(21,14),-0.296487 # DEPENDENCYPART_SIBL
(21,4),(21,15),-0.935317 # DEPENDENCYPART_SIBL
(21,4),(21,16),-0.212821 # DEPENDENCYPART_SIBL
(21,4),(21,17),-0.362855 # DEPENDENCYPART_SIBL
(21,4),(21,18),-0.360706 # DEPENDENCYPART_SIBL
(21,4),(21,19),-0.960473 # DEPENDENCYPART_SIBL
(21,4),(21,20),-0.1306 # DEPENDENCYPART_SIBL
(21,4),(21,22),0.00610849 # DEPENDENCYPART_SIBL
(21,4),(21,23),0.0252522 # DEPENDENCYPART_SIBL
(21,4),(21,24),0.0618218 # DEPENDENCYPART_SIBL
(21,4),(21,25),-0.0770204 # DEPENDENCYPART_SIBL
(21,4),(21,26),0.0315118 # DEPENDENCYPART_SIBL
(21,4),(21,27),-0.0499106 # DEPENDENCYPART_SIBL
(21,4),(21,28),-0.0442014 # DEPENDENCYPART_SIBL
(21,4),(21,29),0.0487204 # DEPENDENCYPART_SIBL
(21,4),(21,30),0.0554628 # DEPENDENCYPART_SIBL
(21,4),(21,33),-0.0445084 # DEPENDENCYPART_SIBL
(21,4),(21,34),0.023843 # DEPENDENCYPART_SIBL
(21,5),(21,6),0.013786 # DEPENDENCYPART_SIBL
(21,5),(21,7),-0.0798646 # DEPENDENCYPART_SIBL
(21,5),(21,8),-0.198476 # DEPENDENCYPART_SIBL
(21,5),(21,9),0.084934 # DEPENDENCYPART_SIBL
(21,5),(21,11),-0.0259227 # DEPENDENCYPART_SIBL
(21,5),(21,12),0.0229202 # DEPENDENCYPART_SIBL
(21,5),(21,13),0.0674085 # DEPENDENCYPART_SIBL
(21,5),(21,14),0.00215461 # DEPENDENCYPART_SIBL
(21,5),(21,15),-0.00162221 # DEPENDENCYPART_SIBL
(21,5),(21,16),0.155192 # DEPENDENCYPART_SIBL
(21,5),(21,17),-0.0207442 # DEPENDENCYPART_SIBL
(21,5),(21,18),-0.00771333 # DEPENDENCYPART_SIBL
(21,5),(21,19),0.00166664 # DEPENDENCYPART_SIBL
(21,5),(21,20),0.0361094 # DEPENDENCYPART_SIBL
(21,5),(21,22),-0.017047 # DEPENDENCYPART_SIBL
(21,5),(21,23),-0.0491974 # DEPENDENCYPART_SIBL
(21,5),(21,24),-0.102593 # DEPENDENCYPART_SIBL
(21,5),(21,25),-0.0604187 # DEPENDENCYPART_SIBL
(21,5),(21,26),-0.043944 # DEPENDENCYPART_SIBL
(21,5),(21,27),-0.103556 # DEPENDENCYPART_SIBL
(21,5),(21,28),-0.0558981 # DEPENDENCYPART_SIBL
(21,5),(21,29),0.130073 # DEPENDENCYPART_SIBL
(21,5),(21,30),-0.0433106 # DEPENDENCYPART_SIBL
(21,5),(21,33),0.0831798 # DEPENDENCYPART_SIBL
(21,5),(21,34),0.055833 # DEPENDENCYPART_SIBL
(21,6),(21,7),-0.115928 # DEPENDENCYPART_SIBL
(21,6),(21,8),-0.318935 # DEPENDENCYPART_SIBL
(21,6),(21,9),-0.126521 # DEPENDENCYPART_SIBL
(21,6),(21,11),-0.210665 # DEPENDENCYPART_SIBL
(21,6),(21,12),-0.111245 # DEPENDENCYPART_SIBL
(21,6),(21,13),-0.139807 # DEPENDENCYPART_SIBL
(21,6),(21,14),-0.227707 # DEPENDENCYPART_SIBL
(21,6),(21,15),-0.347724 # DEPENDENCYPART_SIBL
(21,6),(21,16),0.0366115 # DEPENDENCYPART_SIBL
(21,6),(21,17),-0.0775348 # DEPENDENCYPART_SIBL
(21,6),(21,18),-0.0995963 # DEPENDENCYPART_SIBL
(21,6),(21,19),-0.362706 # DEPENDENCYPART_SIBL
(21,6),(21,20),-0.133628 # DEPENDENCYPART_SIBL
(21,6),(21,22),0.0201218 # DEPENDENCYPART_SIBL
(21,6),(21,23),-0.0133494 # DEPENDENCYPART_SIBL
(21,6),(21,24),0.0669027 # DEPENDENCYPART_SIBL
(21,6),(21,25),-0.0860925 # DEPENDENCYPART_SIBL
(21,6),(21,26),-0.00186663 # DEPENDENCYPART_SIBL
(21,6),(21,27),-0.0685673 # DEPENDENCYPART_SIBL
(21,6),(21,28),-0.116438 # DEPENDENCYPART_SIBL
(21,6),(21,29),0.0239159 # DEPENDENCYPART_SIBL
(21,6),(21,30),0.0756471 # DEPENDENCYPART_SIBL
(21,6),(21,33),0.00480008 # DEPENDENCYPART_SIBL
(21,6),(21,34),-0.00877702 # DEPENDENCYPART_SIBL
(21,7),(21,8),-0.179417 # DEPENDENCYPART_SIBL
(21,7),(21,9),-0.0603591 # DEPENDENCYPART_SIBL
(21,7),(21,11),-0.10029 # DEPENDENCYPART_SIBL
(21,7),(21,12),-0.0967313 # DEPENDENCYPART_SIBL
(21,7),(21,13),-0.163989 # DEPENDENCYPART_SIBL
(21,7),(21,14),-0.0198062 # DEPENDENCYPART_SIBL
(21,7),(21,15),-0.137498 # DEPENDENCYPART_SIBL
(21,7),(21,16),-0.110955 # DEPENDENCYPART_SIBL
(21,7),(21,17),-0.123731 # DEPENDENCYPART_SIBL
(21,7),(21,18),-0.123547 # DEPENDENCYPART_SIBL
(21,7),(21,19),-0.140317 # DEPENDENCYPART_SIBL
(21,7),(21,20),0.0944683 # DEPENDENCYPART_SIBL
(21,7),(21,22),-0.0327207 # DEPENDENCYPART_SIBL
(21,7),(21,23),-0.0834995 # DEPENDENCYPART_SIBL
(21,7),(21,24),-0.0340942 # DEPENDENCYPART_SIBL
(21,7),(21,25),-0.0781247 # DEPENDENCYPART_SIBL
(21,7),(21,26),-0.0776615 # DEPENDENCYPART_SIBL
(21,7),(21,27),-0.0304069 # DEPENDENCYPART_SIBL
(21,7),(21,28),-0.0409324 # DEPENDENCYPART_SIBL
(21,7),(21,29),0.0529245 # DEPENDENCYPART_SIBL
(21,7),(21,30),-0.0650678 # DEPENDENCYPART_SIBL
(21,7),(21,33),0.0846862 # DEPENDENCYPART_SIBL
(21,7),(21,34),0.0154248 # DEPENDENCYPART_SIBL
(21,8),(21,9),0.0112155 # DEPENDENCYPART_SIBL
(21,8),(21,11),-0.0743454 # DEPENDENCYPART_SIBL
(21,8),(21,12),0.0800905 # DEPENDENCYPART_SIBL
(21,8),(21,13),0.108973 # DEPENDENCYPART_SIBL
(21,8),(21,14),-0.025492 # DEPENDENCYPART_SIBL
(21,8),(21,15),-0.0599756 # DEPENDENCYPART_SIBL
(21,8),(21,16),0.0265785 # DEPENDENCYPART_SIBL
(21,8),(21,17),-0.0437568 # DEPENDENCYPART_SIBL
(21,8),(21,18),-0.0414727 # DEPENDENCYPART_SIBL
(21,8),(21,19),-0.0655332 # DEPENDENCYPART_SIBL
(21,8),(21,20),0.184005 # DEPENDENCYPART_SIBL
(21,8),(21,22),-0.141539 # DEPENDENCYPART_SIBL
(21,8),(21,23),-0.180482 # DEPENDENCYPART_SIBL
(21,8),(21,24),-0.137266 # DEPENDENCYPART_SIBL
(21,8),(21,25),-0.213259 # DEPENDENCYPART_SIBL
(21,8),(21,26),-0.176695 # DEPENDENCYPART_SIBL
(21,8),(21,27),-0.20796 # DEPENDENCYPART_SIBL
(21,8),(21,28),-0.0932993 # DEPENDENCYPART_SIBL
(21,8),(21,29),0.00766511 # DEPENDENCYPART_SIBL
(21,8),(21,30),-0.163458 # DEPENDENCYPART_SIBL
(21,8),(21,33),-0.0859591 # DEPENDENCYPART_SIBL
(21,8),(21,34),-0.482531 # DEPENDENCYPART_SIBL
(21,9),(21,11),-0.0250498 # DEPENDENCYPART_SIBL
(21,9),(21,12),-0.0993848 # DEPENDENCYPART_SIBL
(21,9),(21,13),-0.167262 # DEPENDENCYPART_SIBL
(21,9),(21,14),-0.0484889 # DEPENDENCYPART_SIBL
(21,9),(21,15),-0.0374512 # DEPENDENCYPART_SIBL
(21,9),(21,16),-0.0863931 # DEPENDENCYPART_SIBL
(21,9),(21,17),-0.0909363 # DEPENDENCYPART_SIBL
(21,9),(21,18),-0.0905467 # DEPENDENCYPART_SIBL
(21,9),(21,19),-0.0538242 # DEPENDENCYPART_SIBL
(21,9),(21,20),0.287434 # DEPENDENCYPART_SIBL
(21,9),(21,22),0.0274177 # DEPENDENCYPART_SIBL
(21,9),(21,23),0.0616176 # DEPENDENCYPART_SIBL
(21,9),(21,24),0.0115228 # DEPENDENCYPART_SIBL
(21,9),(21,25),-0.0147161 # DEPENDENCYPART_SIBL
(21,9),(21,26),0.0654046 # DEPENDENCYPART_SIBL
(21,9),(21,27),-0.0085913 # DEPENDENCYPART_SIBL
(21,9),(21,28),0.00878607 # DEPENDENCYPART_SIBL
(21,9),(21,29),0.115789 # DEPENDENCYPART_SIBL
(21,9),(21,30),-0.0118245 # DEPENDENCYPART_SIBL
(21,9),(21,33),0.0408563 # DEPENDENCYPART_SIBL
(21,9),(21,34),0.131159 # DEPENDENCYPART_SIBL
(21,11),(21,12),-0.0303136 # DEPENDENCYPART_SIBL
(21,11),(21,13),-0.00875757 # DEPENDENCYPART_SIBL
(21,11),(21,14),-0.144891 # DEPENDENCYPART_SIBL
(21,11),(21,15),-0.49636 # DEPENDENCYPART_SIBL
(21,11),(21,16),-0.0510597 # DEPENDENCYPART_SIBL
(21,11),(21,17),-0.244236 # DEPENDENCYPART_SIBL
(21,11),(21,18),-0.245694 # DEPENDENCYPART_SIBL
(21,11),(21,19),-0.522694 # DEPENDENCYPART_SIBL
(21,11),(21,20),0.0745216 # DEPENDENCYPART_SIBL
(21,11),(21,22),-0.0209771 # DEPENDENCYPART_SIBL
(21,11),(21,23),-0.0110819 # DEPENDENCYPART_SIBL
(21,11),(21,24),0.0750535 # DEPENDENCYPART_SIBL
(21,11),(21,25),-0.0938315 # DEPENDENCYPART_SIBL
(21,11),(21,26),0.00131708 # DEPENDENCYPART_SIBL
(21,11),(21,27),-0.061027 # DEPENDENCYPART_SIBL
(21,11),(21,28),0.0239542 # DEPENDENCYPART_SIBL
(21,11),(21,29),0.0940408 # DEPENDENCYPART_SIBL
(21,11),(21,30),0.0770075 # DEPENDENCYPART_SIBL
(21,11),(21,33),0.0389418 # DEPENDENCYPART_SIBL
(21,11),(21,34),0.0268773 # DEPENDENCYPART_SIBL
(21,12),(21,13),-0.0117222 # DEPENDENCYPART_SIBL
(21,12),(21,14),0.0768295 # DEPENDENCYPART_SIBL
(21,12),(21,15),-0.00197954 # DEPENDENCYPART_SIBL
(21,12),(21,16),0.0390612 # DEPENDENCYPART_SIBL
(21,12),(21,17),-0.0532236 # DEPENDENCYPART_SIBL
(21,12),(21,18),-0.00513418 # DEPENDENCYPART_SIBL
(21,12),(21,19),-0.0270543 # DEPENDENCYPART_SIBL
(21,12),(21,20),0.328221 # DEPENDENCYPART_SIBL
(21,12),(21,22),0.0269991 # DEPENDENCYPART_SIBL
(21,12),(21,23),-0.00169587 # DEPENDENCYPART_SIBL
(21,12),(21,24),0.0184335 # DEPENDENCYPART_SIBL
(21,12),(21,25),-0.0454088 # DEPENDENCYPART_SIBL
(21,12),(21,26),-0.016981 # DEPENDENCYPART_SIBL
(21,12),(21,27),-0.0477147 # DEPENDENCYPART_SIBL
(21,12),(21,28),0.0573614 # DEPENDENCYPART_SIBL
(21,12),(21,29),0.132127 # DEPENDENCYPART_SIBL
(21,12),(21,30),-0.0347581 # DEPENDENCYPART_SIBL
(21,12),(21,33),-3.02138e-05 # DEPENDENCYPART_SIBL
(21,12),(21,34),0.0266371 # DEPENDENCYPART_SIBL
(21,13),(21,14),0.00133786 # DEPENDENCYPART_SIBL
(21,13),(21,15),-0.00733132 # DEPENDENCYPART_SIBL
(21,13),(21,16),-0.0804181 # DEPENDENCYPART_SIBL
(21,13),(21,17),-0.0901823 # DEPENDENCYPART_SIBL
(21,13),(21,18),-0.081927 # DEPENDENCYPART_SIBL
(21,13),(21,19),-0.0143607 # DEPENDENCYPART_SIBL
(21,13),(21,20),0.339099 # DEPENDENCYPART_SIBL
(21,13),(21,22),0.0892966 # DEPENDENCYPART_SIBL
(21,13),(21,23),-0.072259 # DEPENDENCYPART_SIBL
(21,13),(21,24),-0.00752349 # DEPENDENCYPART_SIBL
(21,13),(21,25),-0.051984 # DEPENDENCYPART_SIBL
(21,13),(21,26),-0.0664115 # DEPENDENCYPART_SIBL
(21,13),(21,27),-0.075521 # DEPENDENCYPART_SIBL
(21,13),(21,28),0.0131826 # DEPENDENCYPART_SIBL
(21,13),(21,29),0.0530217 # DEPENDENCYPART_SIBL
(21,13),(21,30),-0.0820016 # DEPENDENCYPART_SIBL
(21,13),(21,33),0.0153487 # DEPENDENCYPART_SIBL
(21,13),(21,34),0.0750882 # DEPENDENCYPART_SIBL
(21,14),(21,15),-0.237473 # DEPENDENCYPART_SIBL
(21,14),(21,16),0.0576828 # DEPENDENCYPART_SIBL
(21,14),(21,17),-0.0145413 # DEPENDENCYPART_SIBL
(21,14),(21,18),-0.0143482 # DEPENDENCYPART_SIBL
(21,14),(21,19),-0.253347 # DEPENDENCYPART_SIBL
(21,14),(21,20),0.0369297 # DEPENDENCYPART_SIBL
(21,14),(21,22),0.0472611 # DEPENDENCYPART_SIBL
(21,14),(21,23),-0.0345705 # DEPENDENCYPART_SIBL
(21,14),(21,24),-0.0982839 # DEPENDENCYPART_SIBL
(21,14),(21,25),-0.074513 # DEPENDENCYPART_SIBL
(21,14),(21,26),-0.0307826 # DEPENDENCYPART_SIBL
(21,14),(21,27),-0.0265458 # DEPENDENCYPART_SIBL
(21,14),(21,28),-0.00692723 # DEPENDENCYPART_SIBL
