# _root_ Next spring , nearly 30 % of its suits will have pleated pants , compared with virtually none a couple of years ago .
#goldHeads=2,10,10,6,4,10,6,9,7,0,10,13,11,11,11,15,18,16,20,23,20,21,18,10,
#predictedHeads=2,10,10,6,4,10,6,9,7,0,10,13,11,11,11,15,18,16,20,23,20,21,18,10,
(11,5),(11,3),-0.796223 # DEPENDENCYPART_NEXTSIBL
(11,5),(11,2),-1.42451 # DEPENDENCYPART_NEXTSIBL
(11,5),(11,-1),-1.26265 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,4),(11,3),-0.704286 # DEPENDENCYPART_NEXTSIBL
(11,4),(11,2),-0.848771 # DEPENDENCYPART_NEXTSIBL
(11,4),(11,-1),-0.750462 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,3),(11,2),-0.45162 # DEPENDENCYPART_NEXTSIBL
(11,3),(11,-1),-1.25128 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,2),(11,-1),-0.928449 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,12),(12,13),-0.486133 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,14),-1.03399 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,15),-0.668683 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,16),-0.202972 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,25),-0.400399 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(12,13),(12,14),-0.471031 # DEPENDENCYPART_NEXTSIBL
(12,13),(12,15),-0.973902 # DEPENDENCYPART_NEXTSIBL
(12,13),(12,16),-0.972726 # DEPENDENCYPART_NEXTSIBL
(12,13),(12,25),-0.764687 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,14),(12,15),0.318234 # DEPENDENCYPART_NEXTSIBL
(12,14),(12,16),-0.494342 # DEPENDENCYPART_NEXTSIBL
(12,14),(12,25),-0.924024 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,15),(12,16),-0.466898 # DEPENDENCYPART_NEXTSIBL
(12,15),(12,25),-0.45017 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,16),(12,25),-0.255373 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,12),(12,11),-0.120926 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,9),-0.483486 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,-1),-0.408579 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(12,11),(12,9),-0.955597 # DEPENDENCYPART_NEXTSIBL
(12,11),(12,-1),-0.851195 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,9),(12,-1),-0.441049 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,13),(13,14),-0.948579 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,15),-0.657035 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,16),-0.216142 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,17),-0.293935 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,18),-0.504362 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,20),-0.422808 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,24),-1.02541 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,25),-0.431942 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(13,14),(13,15),0.415365 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,16),-0.377349 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,17),-0.493096 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,18),-0.572978 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,20),-0.63087 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,24),-0.743429 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,25),-0.793014 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,15),(13,16),-0.484295 # DEPENDENCYPART_NEXTSIBL
(13,15),(13,17),-0.668523 # DEPENDENCYPART_NEXTSIBL
(13,15),(13,18),-0.595512 # DEPENDENCYPART_NEXTSIBL
(13,15),(13,20),-0.512442 # DEPENDENCYPART_NEXTSIBL
(13,15),(13,24),0.303422 # DEPENDENCYPART_NEXTSIBL
(13,15),(13,25),-0.474862 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,16),(13,17),-0.752277 # DEPENDENCYPART_NEXTSIBL
(13,16),(13,18),-0.677718 # DEPENDENCYPART_NEXTSIBL
(13,16),(13,20),-0.487514 # DEPENDENCYPART_NEXTSIBL
(13,16),(13,24),-0.466653 # DEPENDENCYPART_NEXTSIBL
(13,16),(13,25),-0.278952 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,17),(13,18),-0.74472 # DEPENDENCYPART_NEXTSIBL
(13,17),(13,20),-0.932984 # DEPENDENCYPART_NEXTSIBL
(13,17),(13,24),-1.19065 # DEPENDENCYPART_NEXTSIBL
(13,17),(13,25),-0.478424 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,18),(13,20),-0.519613 # DEPENDENCYPART_NEXTSIBL
(13,18),(13,24),-0.305706 # DEPENDENCYPART_NEXTSIBL
(13,18),(13,25),-0.548746 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,20),(13,24),-0.355791 # DEPENDENCYPART_NEXTSIBL
(13,20),(13,25),-0.700797 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,24),(13,25),-1.7183 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,13),(13,12),-0.41308 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,11),-0.216727 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,9),-0.407341 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,8),-0.417733 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,7),0.00298609 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,5),-0.394198 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,4),0.113759 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,3),-1.30815 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,-1),-0.47212 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(13,12),(13,11),-0.439058 # DEPENDENCYPART_NEXTSIBL
(13,12),(13,9),-0.94101 # DEPENDENCYPART_NEXTSIBL
(13,12),(13,8),-0.957224 # DEPENDENCYPART_NEXTSIBL
(13,12),(13,7),-1.0985 # DEPENDENCYPART_NEXTSIBL
(13,12),(13,5),-1.13344 # DEPENDENCYPART_NEXTSIBL
(13,12),(13,4),-1.03814 # DEPENDENCYPART_NEXTSIBL
(13,12),(13,3),-1.1746 # DEPENDENCYPART_NEXTSIBL
(13,12),(13,-1),-0.743699 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,11),(13,9),-0.862194 # DEPENDENCYPART_NEXTSIBL
(13,11),(13,8),-1.10294 # DEPENDENCYPART_NEXTSIBL
(13,11),(13,7),-1.18071 # DEPENDENCYPART_NEXTSIBL
(13,11),(13,5),-1.15789 # DEPENDENCYPART_NEXTSIBL
(13,11),(13,4),-1.14722 # DEPENDENCYPART_NEXTSIBL
(13,11),(13,3),-1.0294 # DEPENDENCYPART_NEXTSIBL
(13,11),(13,-1),-0.839083 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,9),(13,8),-0.382957 # DEPENDENCYPART_NEXTSIBL
(13,9),(13,7),-0.886901 # DEPENDENCYPART_NEXTSIBL
(13,9),(13,5),-0.938964 # DEPENDENCYPART_NEXTSIBL
(13,9),(13,4),-0.802286 # DEPENDENCYPART_NEXTSIBL
(13,9),(13,3),-1.30842 # DEPENDENCYPART_NEXTSIBL
(13,9),(13,-1),-0.473741 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,8),(13,7),-0.336435 # DEPENDENCYPART_NEXTSIBL
(13,8),(13,5),-1.00399 # DEPENDENCYPART_NEXTSIBL
(13,8),(13,4),-0.895008 # DEPENDENCYPART_NEXTSIBL
(13,8),(13,3),-1.27412 # DEPENDENCYPART_NEXTSIBL
(13,8),(13,-1),-0.446544 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,7),(13,5),-1.11651 # DEPENDENCYPART_NEXTSIBL
(13,7),(13,4),-0.946454 # DEPENDENCYPART_NEXTSIBL
(13,7),(13,3),-1.27114 # DEPENDENCYPART_NEXTSIBL
(13,7),(13,-1),-0.763564 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,5),(13,4),-0.76461 # DEPENDENCYPART_NEXTSIBL
(13,5),(13,3),-0.851148 # DEPENDENCYPART_NEXTSIBL
(13,5),(13,-1),-1.07729 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,4),(13,3),-0.618121 # DEPENDENCYPART_NEXTSIBL
(13,4),(13,-1),-0.602789 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,3),(13,-1),-1.34354 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,14),(14,25),-0.148562 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(14,14),(14,-1),-0.245374 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(15,15),(15,16),-0.348844 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,17),-0.35999 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,18),-0.294559 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,20),-0.212537 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,21),-0.1174 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,23),-0.40365 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,24),-1.38925 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,25),-0.733243 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(15,16),(15,17),-0.751529 # DEPENDENCYPART_NEXTSIBL
(15,16),(15,18),-0.677705 # DEPENDENCYPART_NEXTSIBL
(15,16),(15,20),-0.483766 # DEPENDENCYPART_NEXTSIBL
(15,16),(15,21),-0.596368 # DEPENDENCYPART_NEXTSIBL
(15,16),(15,23),-0.401549 # DEPENDENCYPART_NEXTSIBL
(15,16),(15,24),-0.489248 # DEPENDENCYPART_NEXTSIBL
(15,16),(15,25),-0.123522 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,17),(15,18),-0.797379 # DEPENDENCYPART_NEXTSIBL
(15,17),(15,20),-0.980357 # DEPENDENCYPART_NEXTSIBL
(15,17),(15,21),-1.02551 # DEPENDENCYPART_NEXTSIBL
(15,17),(15,23),-0.949983 # DEPENDENCYPART_NEXTSIBL
(15,17),(15,24),-1.19975 # DEPENDENCYPART_NEXTSIBL
(15,17),(15,25),-0.532548 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,18),(15,20),-0.478652 # DEPENDENCYPART_NEXTSIBL
(15,18),(15,21),-0.507696 # DEPENDENCYPART_NEXTSIBL
(15,18),(15,23),-0.457357 # DEPENDENCYPART_NEXTSIBL
(15,18),(15,24),-0.423075 # DEPENDENCYPART_NEXTSIBL
(15,18),(15,25),-0.561446 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,20),(15,21),-0.603223 # DEPENDENCYPART_NEXTSIBL
(15,20),(15,23),-0.573255 # DEPENDENCYPART_NEXTSIBL
(15,20),(15,24),-0.467112 # DEPENDENCYPART_NEXTSIBL
(15,20),(15,25),-0.70047 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,21),(15,23),-0.72022 # DEPENDENCYPART_NEXTSIBL
(15,21),(15,24),-0.67751 # DEPENDENCYPART_NEXTSIBL
(15,21),(15,25),-0.555238 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,23),(15,24),-0.345979 # DEPENDENCYPART_NEXTSIBL
(15,23),(15,25),-0.438925 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,24),(15,25),-1.82732 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,15),(15,14),-1.57856 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,13),-0.357223 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,12),-0.469742 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,9),-0.337676 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,7),-0.142437 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,6),-0.0654025 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,3),-1.44267 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,2),-0.525078 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,-1),-0.626132 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(15,14),(15,13),-0.581478 # DEPENDENCYPART_NEXTSIBL
(15,14),(15,12),-0.695093 # DEPENDENCYPART_NEXTSIBL
(15,14),(15,9),-0.923293 # DEPENDENCYPART_NEXTSIBL
(15,14),(15,7),-0.820191 # DEPENDENCYPART_NEXTSIBL
(15,14),(15,6),-0.806025 # DEPENDENCYPART_NEXTSIBL
(15,14),(15,3),-1.58082 # DEPENDENCYPART_NEXTSIBL
(15,14),(15,2),-0.808575 # DEPENDENCYPART_NEXTSIBL
(15,14),(15,-1),-1.10162 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,13),(15,12),-0.42337 # DEPENDENCYPART_NEXTSIBL
(15,13),(15,9),-1.26919 # DEPENDENCYPART_NEXTSIBL
(15,13),(15,7),-1.64227 # DEPENDENCYPART_NEXTSIBL
(15,13),(15,6),-1.57429 # DEPENDENCYPART_NEXTSIBL
(15,13),(15,3),-1.61002 # DEPENDENCYPART_NEXTSIBL
(15,13),(15,2),-1.47202 # DEPENDENCYPART_NEXTSIBL
(15,13),(15,-1),-0.957718 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,12),(15,9),-1.16065 # DEPENDENCYPART_NEXTSIBL
(15,12),(15,7),-1.15641 # DEPENDENCYPART_NEXTSIBL
(15,12),(15,6),-1.42029 # DEPENDENCYPART_NEXTSIBL
(15,12),(15,3),-1.21957 # DEPENDENCYPART_NEXTSIBL
(15,12),(15,2),-1.30923 # DEPENDENCYPART_NEXTSIBL
(15,12),(15,-1),-0.925343 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,9),(15,7),-0.952504 # DEPENDENCYPART_NEXTSIBL
(15,9),(15,6),-1.4413 # DEPENDENCYPART_NEXTSIBL
(15,9),(15,3),-1.28619 # DEPENDENCYPART_NEXTSIBL
(15,9),(15,2),-1.46886 # DEPENDENCYPART_NEXTSIBL
(15,9),(15,-1),-0.730701 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,7),(15,6),-0.854415 # DEPENDENCYPART_NEXTSIBL
(15,7),(15,3),-1.23092 # DEPENDENCYPART_NEXTSIBL
(15,7),(15,2),-1.30673 # DEPENDENCYPART_NEXTSIBL
(15,7),(15,-1),-0.993492 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,6),(15,3),-0.857946 # DEPENDENCYPART_NEXTSIBL
(15,6),(15,2),-1.4527 # DEPENDENCYPART_NEXTSIBL
(15,6),(15,-1),-1.31697 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,3),(15,2),-0.445747 # DEPENDENCYPART_NEXTSIBL
(15,3),(15,-1),-1.25313 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,2),(15,-1),-0.950378 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,16),(16,17),-0.323539 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,18),-0.334826 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,20),-0.237271 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,21),0.0180545 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,22),-0.462467 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,23),-0.449962 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,24),-1.21701 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,25),-0.813706 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(16,17),(16,18),-0.855611 # DEPENDENCYPART_NEXTSIBL
(16,17),(16,20),-1.03612 # DEPENDENCYPART_NEXTSIBL
(16,17),(16,21),-0.93762 # DEPENDENCYPART_NEXTSIBL
(16,17),(16,22),-1.03181 # DEPENDENCYPART_NEXTSIBL
(16,17),(16,23),-0.991344 # DEPENDENCYPART_NEXTSIBL
(16,17),(16,24),-1.25987 # DEPENDENCYPART_NEXTSIBL
(16,17),(16,25),-0.530427 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,18),(16,20),-0.673909 # DEPENDENCYPART_NEXTSIBL
(16,18),(16,21),-0.341723 # DEPENDENCYPART_NEXTSIBL
(16,18),(16,22),-0.859809 # DEPENDENCYPART_NEXTSIBL
(16,18),(16,23),-0.457539 # DEPENDENCYPART_NEXTSIBL
(16,18),(16,24),-0.423192 # DEPENDENCYPART_NEXTSIBL
(16,18),(16,25),-0.438721 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,20),(16,21),-0.433256 # DEPENDENCYPART_NEXTSIBL
(16,20),(16,22),-0.938498 # DEPENDENCYPART_NEXTSIBL
(16,20),(16,23),-0.569214 # DEPENDENCYPART_NEXTSIBL
(16,20),(16,24),-0.465517 # DEPENDENCYPART_NEXTSIBL
(16,20),(16,25),-0.560473 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,21),(16,22),-0.80358 # DEPENDENCYPART_NEXTSIBL
(16,21),(16,23),-0.611319 # DEPENDENCYPART_NEXTSIBL
(16,21),(16,24),-0.62818 # DEPENDENCYPART_NEXTSIBL
(16,21),(16,25),-0.695978 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,22),(16,23),-0.791204 # DEPENDENCYPART_NEXTSIBL
(16,22),(16,24),-0.747513 # DEPENDENCYPART_NEXTSIBL
(16,22),(16,25),-0.245491 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,23),(16,24),-0.391889 # DEPENDENCYPART_NEXTSIBL
(16,23),(16,25),-0.647032 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,24),(16,25),-1.81144 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,16),(16,15),-0.491723 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,14),-1.2168 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,13),-0.508696 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,7),-0.0557072 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,-1),-0.258311 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(16,15),(16,14),-0.380583 # DEPENDENCYPART_NEXTSIBL
(16,15),(16,13),-0.691417 # DEPENDENCYPART_NEXTSIBL
(16,15),(16,7),-1.28207 # DEPENDENCYPART_NEXTSIBL
(16,15),(16,-1),-0.453585 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,14),(16,13),-0.483709 # DEPENDENCYPART_NEXTSIBL
(16,14),(16,7),-0.791757 # DEPENDENCYPART_NEXTSIBL
(16,14),(16,-1),-1.00165 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,13),(16,7),-1.5993 # DEPENDENCYPART_NEXTSIBL
(16,13),(16,-1),-0.802744 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,7),(16,-1),-0.931406 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,17),(17,18),-0.418358 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,19),-1.24784 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,20),-0.334238 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,21),0.128241 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,22),-0.631658 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,23),-0.401698 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,25),-0.281522 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(17,18),(17,19),-0.632736 # DEPENDENCYPART_NEXTSIBL
(17,18),(17,20),-0.609337 # DEPENDENCYPART_NEXTSIBL
(17,18),(17,21),-0.349185 # DEPENDENCYPART_NEXTSIBL
(17,18),(17,22),-0.814251 # DEPENDENCYPART_NEXTSIBL
(17,18),(17,23),-0.441212 # DEPENDENCYPART_NEXTSIBL
(17,18),(17,25),-0.602292 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,19),(17,20),-0.626041 # DEPENDENCYPART_NEXTSIBL
(17,19),(17,21),-0.743393 # DEPENDENCYPART_NEXTSIBL
(17,19),(17,22),-0.837526 # DEPENDENCYPART_NEXTSIBL
(17,19),(17,23),-0.769724 # DEPENDENCYPART_NEXTSIBL
(17,19),(17,25),-0.819884 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,20),(17,21),-0.44537 # DEPENDENCYPART_NEXTSIBL
(17,20),(17,22),-0.897634 # DEPENDENCYPART_NEXTSIBL
(17,20),(17,23),-0.55756 # DEPENDENCYPART_NEXTSIBL
(17,20),(17,25),-0.73815 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,21),(17,22),-0.865537 # DEPENDENCYPART_NEXTSIBL
(17,21),(17,23),-0.495073 # DEPENDENCYPART_NEXTSIBL
(17,21),(17,25),-0.479695 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,22),(17,23),-0.791536 # DEPENDENCYPART_NEXTSIBL
(17,22),(17,25),-0.502195 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,23),(17,25),-0.53837 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,17),(17,16),-0.447613 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,2),-0.658199 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,-1),-0.430913 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(17,16),(17,2),-1.20358 # DEPENDENCYPART_NEXTSIBL
(17,16),(17,-1),-0.465824 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,2),(17,-1),-0.691112 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,18),(18,19),-1.38222 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,20),-0.412568 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,21),0.221871 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,22),-0.726904 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,23),-0.285896 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,24),-1.02819 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,25),-0.465984 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(18,19),(18,20),-0.650257 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,21),-0.890124 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,22),-0.865561 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,23),-0.871132 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,24),-0.888297 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,25),-0.904383 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,20),(18,21),-0.432411 # DEPENDENCYPART_NEXTSIBL
(18,20),(18,22),-0.798441 # DEPENDENCYPART_NEXTSIBL
(18,20),(18,23),-0.544363 # DEPENDENCYPART_NEXTSIBL
(18,20),(18,24),-0.350601 # DEPENDENCYPART_NEXTSIBL
(18,20),(18,25),-0.680661 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,21),(18,22),-0.891152 # DEPENDENCYPART_NEXTSIBL
(18,21),(18,23),-0.487134 # DEPENDENCYPART_NEXTSIBL
(18,21),(18,24),-0.570596 # DEPENDENCYPART_NEXTSIBL
(18,21),(18,25),-0.455004 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,22),(18,23),-0.781544 # DEPENDENCYPART_NEXTSIBL
(18,22),(18,24),-0.656925 # DEPENDENCYPART_NEXTSIBL
(18,22),(18,25),-0.455612 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,23),(18,24),-0.291123 # DEPENDENCYPART_NEXTSIBL
(18,23),(18,25),-0.506047 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,24),(18,25),-1.72525 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,18),(18,17),-0.132315 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,16),-0.501395 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,15),-0.608905 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,8),-0.417736 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,-1),-0.436673 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(18,17),(18,16),-0.741055 # DEPENDENCYPART_NEXTSIBL
(18,17),(18,15),-1.10245 # DEPENDENCYPART_NEXTSIBL
(18,17),(18,8),-1.20627 # DEPENDENCYPART_NEXTSIBL
(18,17),(18,-1),-0.341458 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,16),(18,15),-0.903358 # DEPENDENCYPART_NEXTSIBL
(18,16),(18,8),-1.38776 # DEPENDENCYPART_NEXTSIBL
(18,16),(18,-1),-0.422905 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,15),(18,8),-1.05364 # DEPENDENCYPART_NEXTSIBL
(18,15),(18,-1),-0.502958 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,8),(18,-1),-0.446555 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,19),(19,21),0.177095 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,23),-0.348508 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,25),-0.248975 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(19,21),(19,23),-0.572938 # DEPENDENCYPART_NEXTSIBL
(19,21),(19,25),-0.502327 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,23),(19,25),-0.546603 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,19),(19,-1),-0.323627 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(20,20),(20,21),0.219044 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,22),-0.737276 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,23),-0.288544 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,24),-1.02544 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,25),-0.437739 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(20,21),(20,22),-0.899686 # DEPENDENCYPART_NEXTSIBL
(20,21),(20,23),-0.48537 # DEPENDENCYPART_NEXTSIBL
