# _root_ `` Because of distance , it takes a while for them to appreciate the economic stability we 've achieved , '' says one economic policymaker .
#goldHeads=22,7,2,2,7,7,22,9,7,13,13,13,7,16,16,13,18,16,18,22,22,0,25,25,22,22,
#predictedHeads=22,7,2,2,7,7,22,9,7,13,13,13,7,16,16,13,18,16,18,22,22,0,25,25,22,22,
(18,10),(18,21),0.0203812 # DEPENDENCYPART_SIBL
(18,10),(18,22),-0.0400411 # DEPENDENCYPART_SIBL
(18,10),(18,25),0.00692779 # DEPENDENCYPART_SIBL
(18,10),(18,26),0.0696763 # DEPENDENCYPART_SIBL
(18,11),(18,12),0.136926 # DEPENDENCYPART_SIBL
(18,11),(18,13),-0.00767284 # DEPENDENCYPART_SIBL
(18,11),(18,14),-0.0141448 # DEPENDENCYPART_SIBL
(18,11),(18,15),0.0694349 # DEPENDENCYPART_SIBL
(18,11),(18,16),0.00229954 # DEPENDENCYPART_SIBL
(18,11),(18,17),-0.019717 # DEPENDENCYPART_SIBL
(18,11),(18,19),0.0557976 # DEPENDENCYPART_SIBL
(18,11),(18,20),0.046626 # DEPENDENCYPART_SIBL
(18,11),(18,21),0.0583565 # DEPENDENCYPART_SIBL
(18,11),(18,22),0.0078944 # DEPENDENCYPART_SIBL
(18,11),(18,25),-0.0044497 # DEPENDENCYPART_SIBL
(18,11),(18,26),0.104829 # DEPENDENCYPART_SIBL
(18,12),(18,13),-0.0170352 # DEPENDENCYPART_SIBL
(18,12),(18,14),-0.0371803 # DEPENDENCYPART_SIBL
(18,12),(18,15),-0.0261029 # DEPENDENCYPART_SIBL
(18,12),(18,16),-0.0173529 # DEPENDENCYPART_SIBL
(18,12),(18,17),-0.0174269 # DEPENDENCYPART_SIBL
(18,12),(18,19),0.0130559 # DEPENDENCYPART_SIBL
(18,12),(18,20),-0.0342689 # DEPENDENCYPART_SIBL
(18,12),(18,21),-0.0294295 # DEPENDENCYPART_SIBL
(18,12),(18,22),-0.00348234 # DEPENDENCYPART_SIBL
(18,12),(18,25),0.0392717 # DEPENDENCYPART_SIBL
(18,12),(18,26),-0.192421 # DEPENDENCYPART_SIBL
(18,13),(18,14),-0.0362904 # DEPENDENCYPART_SIBL
(18,13),(18,15),-0.0158468 # DEPENDENCYPART_SIBL
(18,13),(18,16),-0.00847513 # DEPENDENCYPART_SIBL
(18,13),(18,17),0.0285413 # DEPENDENCYPART_SIBL
(18,13),(18,19),0.0140092 # DEPENDENCYPART_SIBL
(18,13),(18,20),-0.0395787 # DEPENDENCYPART_SIBL
(18,13),(18,21),0.00101411 # DEPENDENCYPART_SIBL
(18,13),(18,22),-0.02454 # DEPENDENCYPART_SIBL
(18,13),(18,25),0.01053 # DEPENDENCYPART_SIBL
(18,13),(18,26),0.0676835 # DEPENDENCYPART_SIBL
(18,14),(18,15),-0.0678106 # DEPENDENCYPART_SIBL
(18,14),(18,16),-0.0446155 # DEPENDENCYPART_SIBL
(18,14),(18,17),-0.119688 # DEPENDENCYPART_SIBL
(18,14),(18,19),-0.0661672 # DEPENDENCYPART_SIBL
(18,14),(18,20),-0.0354496 # DEPENDENCYPART_SIBL
(18,14),(18,21),-0.0583735 # DEPENDENCYPART_SIBL
(18,14),(18,22),-0.103357 # DEPENDENCYPART_SIBL
(18,14),(18,25),-0.0923525 # DEPENDENCYPART_SIBL
(18,14),(18,26),-0.0628408 # DEPENDENCYPART_SIBL
(18,15),(18,16),-0.0137649 # DEPENDENCYPART_SIBL
(18,15),(18,17),-0.00685838 # DEPENDENCYPART_SIBL
(18,15),(18,19),0.00190311 # DEPENDENCYPART_SIBL
(18,15),(18,20),-0.00196063 # DEPENDENCYPART_SIBL
(18,15),(18,21),-0.00908568 # DEPENDENCYPART_SIBL
(18,15),(18,22),-0.0120545 # DEPENDENCYPART_SIBL
(18,15),(18,25),0.0033842 # DEPENDENCYPART_SIBL
(18,15),(18,26),0.0403852 # DEPENDENCYPART_SIBL
(18,16),(18,17),-0.0533428 # DEPENDENCYPART_SIBL
(18,16),(18,19),0.000578117 # DEPENDENCYPART_SIBL
(18,16),(18,20),-0.0181603 # DEPENDENCYPART_SIBL
(18,16),(18,21),0.0051742 # DEPENDENCYPART_SIBL
(18,16),(18,22),-0.004061 # DEPENDENCYPART_SIBL
(18,16),(18,25),-0.0165849 # DEPENDENCYPART_SIBL
(18,16),(18,26),0.0448558 # DEPENDENCYPART_SIBL
(18,17),(18,19),0.147858 # DEPENDENCYPART_SIBL
(18,17),(18,20),0.113809 # DEPENDENCYPART_SIBL
(18,17),(18,21),0.0951791 # DEPENDENCYPART_SIBL
(18,17),(18,22),0.091902 # DEPENDENCYPART_SIBL
(18,17),(18,25),0.0124797 # DEPENDENCYPART_SIBL
(18,17),(18,26),0.252128 # DEPENDENCYPART_SIBL
(18,19),(18,20),-0.0101478 # DEPENDENCYPART_SIBL
(18,19),(18,21),-0.00258957 # DEPENDENCYPART_SIBL
(18,19),(18,22),-0.042054 # DEPENDENCYPART_SIBL
(18,19),(18,25),-0.0257541 # DEPENDENCYPART_SIBL
(18,19),(18,26),0.0136659 # DEPENDENCYPART_SIBL
(18,20),(18,21),0.00596042 # DEPENDENCYPART_SIBL
(18,20),(18,22),0.0183817 # DEPENDENCYPART_SIBL
(18,20),(18,25),-0.00825549 # DEPENDENCYPART_SIBL
(18,20),(18,26),0.00690557 # DEPENDENCYPART_SIBL
(18,21),(18,22),0.00818861 # DEPENDENCYPART_SIBL
(18,21),(18,25),0.0223351 # DEPENDENCYPART_SIBL
(18,21),(18,26),-0.0418758 # DEPENDENCYPART_SIBL
(18,22),(18,25),0.00418117 # DEPENDENCYPART_SIBL
(18,22),(18,26),0.0434368 # DEPENDENCYPART_SIBL
(18,25),(18,26),0.00491801 # DEPENDENCYPART_SIBL
(19,2),(19,5),0.0347971 # DEPENDENCYPART_SIBL
(19,2),(19,9),0.0421877 # DEPENDENCYPART_SIBL
(19,2),(19,10),-0.00546095 # DEPENDENCYPART_SIBL
(19,2),(19,15),0.0302583 # DEPENDENCYPART_SIBL
(19,2),(19,16),0.0706416 # DEPENDENCYPART_SIBL
(19,2),(19,17),0.159822 # DEPENDENCYPART_SIBL
(19,2),(19,18),0.0305891 # DEPENDENCYPART_SIBL
(19,2),(19,20),-0.0819369 # DEPENDENCYPART_SIBL
(19,2),(19,21),-0.0324583 # DEPENDENCYPART_SIBL
(19,2),(19,22),0.0211819 # DEPENDENCYPART_SIBL
(19,2),(19,23),-0.0101147 # DEPENDENCYPART_SIBL
(19,2),(19,25),0.0255788 # DEPENDENCYPART_SIBL
(19,2),(19,26),-0.0857537 # DEPENDENCYPART_SIBL
(19,5),(19,9),-0.00225228 # DEPENDENCYPART_SIBL
(19,5),(19,10),0.0635851 # DEPENDENCYPART_SIBL
(19,5),(19,15),0.0130016 # DEPENDENCYPART_SIBL
(19,5),(19,16),0.0181083 # DEPENDENCYPART_SIBL
(19,5),(19,17),0.04632 # DEPENDENCYPART_SIBL
(19,5),(19,18),0.0162507 # DEPENDENCYPART_SIBL
(19,5),(19,20),0.174837 # DEPENDENCYPART_SIBL
(19,5),(19,21),-0.019302 # DEPENDENCYPART_SIBL
(19,5),(19,22),-0.0189473 # DEPENDENCYPART_SIBL
(19,5),(19,23),-0.0252269 # DEPENDENCYPART_SIBL
(19,5),(19,25),-0.00853905 # DEPENDENCYPART_SIBL
(19,5),(19,26),0.0423271 # DEPENDENCYPART_SIBL
(19,9),(19,10),0.0170521 # DEPENDENCYPART_SIBL
(19,9),(19,15),0.00384247 # DEPENDENCYPART_SIBL
(19,9),(19,16),-0.0596722 # DEPENDENCYPART_SIBL
(19,9),(19,17),-0.0692475 # DEPENDENCYPART_SIBL
(19,9),(19,18),-0.0134015 # DEPENDENCYPART_SIBL
(19,9),(19,20),-0.0365209 # DEPENDENCYPART_SIBL
(19,9),(19,21),-0.0194503 # DEPENDENCYPART_SIBL
(19,9),(19,22),0.0544421 # DEPENDENCYPART_SIBL
(19,9),(19,23),0.0463543 # DEPENDENCYPART_SIBL
(19,9),(19,25),0.0569331 # DEPENDENCYPART_SIBL
(19,9),(19,26),-0.163951 # DEPENDENCYPART_SIBL
(19,10),(19,15),0.0224099 # DEPENDENCYPART_SIBL
(19,10),(19,16),0.044473 # DEPENDENCYPART_SIBL
(19,10),(19,17),0.13965 # DEPENDENCYPART_SIBL
(19,10),(19,18),0.0402558 # DEPENDENCYPART_SIBL
(19,10),(19,20),-0.0448835 # DEPENDENCYPART_SIBL
(19,10),(19,21),0.0242346 # DEPENDENCYPART_SIBL
(19,10),(19,22),-0.0485024 # DEPENDENCYPART_SIBL
(19,10),(19,23),-0.0384619 # DEPENDENCYPART_SIBL
(19,10),(19,25),0.0283993 # DEPENDENCYPART_SIBL
(19,10),(19,26),0.0335717 # DEPENDENCYPART_SIBL
(19,15),(19,16),-0.00608225 # DEPENDENCYPART_SIBL
(19,15),(19,17),-0.0139801 # DEPENDENCYPART_SIBL
(19,15),(19,18),-0.0327627 # DEPENDENCYPART_SIBL
(19,15),(19,20),0.0124663 # DEPENDENCYPART_SIBL
(19,15),(19,21),-0.0123146 # DEPENDENCYPART_SIBL
(19,15),(19,22),-0.0260811 # DEPENDENCYPART_SIBL
(19,15),(19,23),0.02107 # DEPENDENCYPART_SIBL
(19,15),(19,25),0.0202679 # DEPENDENCYPART_SIBL
(19,15),(19,26),0.00650363 # DEPENDENCYPART_SIBL
(19,16),(19,17),-0.0655919 # DEPENDENCYPART_SIBL
(19,16),(19,18),-0.00656123 # DEPENDENCYPART_SIBL
(19,16),(19,20),-0.0120687 # DEPENDENCYPART_SIBL
(19,16),(19,21),-0.00534285 # DEPENDENCYPART_SIBL
(19,16),(19,22),-0.0273942 # DEPENDENCYPART_SIBL
(19,16),(19,23),0.0318641 # DEPENDENCYPART_SIBL
(19,16),(19,25),-0.00599019 # DEPENDENCYPART_SIBL
(19,16),(19,26),-0.00545207 # DEPENDENCYPART_SIBL
(19,17),(19,18),-0.00864627 # DEPENDENCYPART_SIBL
(19,17),(19,20),0.0826454 # DEPENDENCYPART_SIBL
(19,17),(19,21),0.0461075 # DEPENDENCYPART_SIBL
(19,17),(19,22),-0.00271863 # DEPENDENCYPART_SIBL
(19,17),(19,23),-0.0205362 # DEPENDENCYPART_SIBL
(19,17),(19,25),-0.0193169 # DEPENDENCYPART_SIBL
(19,17),(19,26),0.138983 # DEPENDENCYPART_SIBL
(19,18),(19,20),-0.0436554 # DEPENDENCYPART_SIBL
(19,18),(19,21),-0.0362568 # DEPENDENCYPART_SIBL
(19,18),(19,22),-0.0606244 # DEPENDENCYPART_SIBL
(19,18),(19,23),-0.0469763 # DEPENDENCYPART_SIBL
(19,18),(19,25),0.0120809 # DEPENDENCYPART_SIBL
(19,18),(19,26),0.0177208 # DEPENDENCYPART_SIBL
(19,20),(19,21),0.0286674 # DEPENDENCYPART_SIBL
(19,20),(19,22),0.00205788 # DEPENDENCYPART_SIBL
(19,20),(19,23),0.0229491 # DEPENDENCYPART_SIBL
(19,20),(19,25),-0.00132733 # DEPENDENCYPART_SIBL
(19,20),(19,26),-0.000692799 # DEPENDENCYPART_SIBL
(19,21),(19,22),0.0017172 # DEPENDENCYPART_SIBL
(19,21),(19,23),0.000200657 # DEPENDENCYPART_SIBL
(19,21),(19,25),0.0270288 # DEPENDENCYPART_SIBL
(19,21),(19,26),-0.0561209 # DEPENDENCYPART_SIBL
(19,22),(19,23),-0.0105304 # DEPENDENCYPART_SIBL
(19,22),(19,25),0.00717033 # DEPENDENCYPART_SIBL
(19,22),(19,26),0.0208524 # DEPENDENCYPART_SIBL
(19,23),(19,25),-0.0541595 # DEPENDENCYPART_SIBL
(19,23),(19,26),-0.00831234 # DEPENDENCYPART_SIBL
(19,25),(19,26),-0.0176456 # DEPENDENCYPART_SIBL
(22,1),(22,2),-0.0531928 # DEPENDENCYPART_SIBL
(22,1),(22,4),-0.0317736 # DEPENDENCYPART_SIBL
(22,1),(22,5),0.0510204 # DEPENDENCYPART_SIBL
(22,1),(22,7),0.00422704 # DEPENDENCYPART_SIBL
(22,1),(22,9),-0.0395798 # DEPENDENCYPART_SIBL
(22,1),(22,10),-0.018011 # DEPENDENCYPART_SIBL
(22,1),(22,11),-0.0313205 # DEPENDENCYPART_SIBL
(22,1),(22,13),0.00819404 # DEPENDENCYPART_SIBL
(22,1),(22,14),-0.0302599 # DEPENDENCYPART_SIBL
(22,1),(22,15),-0.0391192 # DEPENDENCYPART_SIBL
(22,1),(22,16),-0.0305274 # DEPENDENCYPART_SIBL
(22,1),(22,17),0.0305334 # DEPENDENCYPART_SIBL
(22,1),(22,18),0.0122584 # DEPENDENCYPART_SIBL
(22,1),(22,19),0.00571931 # DEPENDENCYPART_SIBL
(22,1),(22,20),0.0510204 # DEPENDENCYPART_SIBL
(22,1),(22,21),0.523236 # DEPENDENCYPART_SIBL
(22,1),(22,23),-0.101101 # DEPENDENCYPART_SIBL
(22,1),(22,24),-0.0622742 # DEPENDENCYPART_SIBL
(22,1),(22,25),-0.0902215 # DEPENDENCYPART_SIBL
(22,1),(22,26),0.0123847 # DEPENDENCYPART_SIBL
(22,2),(22,4),0.00791441 # DEPENDENCYPART_SIBL
(22,2),(22,5),-0.0807704 # DEPENDENCYPART_SIBL
(22,2),(22,7),-0.0293089 # DEPENDENCYPART_SIBL
(22,2),(22,9),-0.0195352 # DEPENDENCYPART_SIBL
(22,2),(22,10),-0.0642082 # DEPENDENCYPART_SIBL
(22,2),(22,11),-0.0846083 # DEPENDENCYPART_SIBL
(22,2),(22,13),-0.0288875 # DEPENDENCYPART_SIBL
(22,2),(22,14),-0.0390548 # DEPENDENCYPART_SIBL
(22,2),(22,15),-0.0261668 # DEPENDENCYPART_SIBL
(22,2),(22,16),0.00892856 # DEPENDENCYPART_SIBL
(22,2),(22,17),0.064219 # DEPENDENCYPART_SIBL
(22,2),(22,18),-0.0348385 # DEPENDENCYPART_SIBL
(22,2),(22,19),-0.0297287 # DEPENDENCYPART_SIBL
(22,2),(22,20),-0.0807704 # DEPENDENCYPART_SIBL
(22,2),(22,21),-0.0514317 # DEPENDENCYPART_SIBL
(22,2),(22,23),-0.0427159 # DEPENDENCYPART_SIBL
(22,2),(22,24),-0.0321081 # DEPENDENCYPART_SIBL
(22,2),(22,25),-0.0601402 # DEPENDENCYPART_SIBL
(22,2),(22,26),-0.125521 # DEPENDENCYPART_SIBL
(22,4),(22,5),-0.0520593 # DEPENDENCYPART_SIBL
(22,4),(22,7),-0.035177 # DEPENDENCYPART_SIBL
(22,4),(22,9),-0.142162 # DEPENDENCYPART_SIBL
(22,4),(22,10),-0.0215778 # DEPENDENCYPART_SIBL
(22,4),(22,11),-0.16422 # DEPENDENCYPART_SIBL
(22,4),(22,13),-0.0348752 # DEPENDENCYPART_SIBL
(22,4),(22,14),-0.14091 # DEPENDENCYPART_SIBL
(22,4),(22,15),-0.0299921 # DEPENDENCYPART_SIBL
(22,4),(22,16),-0.133026 # DEPENDENCYPART_SIBL
(22,4),(22,17),-0.128495 # DEPENDENCYPART_SIBL
(22,4),(22,18),-0.0416607 # DEPENDENCYPART_SIBL
(22,4),(22,19),-0.0361225 # DEPENDENCYPART_SIBL
(22,4),(22,20),-0.0520593 # DEPENDENCYPART_SIBL
(22,4),(22,21),-0.0584239 # DEPENDENCYPART_SIBL
(22,4),(22,23),0.0418718 # DEPENDENCYPART_SIBL
(22,4),(22,24),0.00165678 # DEPENDENCYPART_SIBL
(22,4),(22,25),-0.107059 # DEPENDENCYPART_SIBL
(22,4),(22,26),0.00547672 # DEPENDENCYPART_SIBL
(22,5),(22,7),-0.0168996 # DEPENDENCYPART_SIBL
(22,5),(22,9),-0.00995989 # DEPENDENCYPART_SIBL
(22,5),(22,10),0.0437882 # DEPENDENCYPART_SIBL
(22,5),(22,11),-0.0658961 # DEPENDENCYPART_SIBL
(22,5),(22,13),-0.0145223 # DEPENDENCYPART_SIBL
(22,5),(22,14),-0.0358699 # DEPENDENCYPART_SIBL
(22,5),(22,15),-0.0121822 # DEPENDENCYPART_SIBL
(22,5),(22,16),0.0104198 # DEPENDENCYPART_SIBL
(22,5),(22,17),-0.0194692 # DEPENDENCYPART_SIBL
(22,5),(22,18),-0.0201079 # DEPENDENCYPART_SIBL
(22,5),(22,19),-0.016735 # DEPENDENCYPART_SIBL
(22,5),(22,20),-0.037689 # DEPENDENCYPART_SIBL
(22,5),(22,21),0.0467284 # DEPENDENCYPART_SIBL
(22,5),(22,23),-0.00140226 # DEPENDENCYPART_SIBL
(22,5),(22,24),0.0151942 # DEPENDENCYPART_SIBL
(22,5),(22,25),0.0411979 # DEPENDENCYPART_SIBL
(22,5),(22,26),0.0111329 # DEPENDENCYPART_SIBL
(22,7),(22,9),-0.0247695 # DEPENDENCYPART_SIBL
(22,7),(22,10),-0.0497745 # DEPENDENCYPART_SIBL
(22,7),(22,11),-0.0785997 # DEPENDENCYPART_SIBL
(22,7),(22,13),-0.0840104 # DEPENDENCYPART_SIBL
(22,7),(22,14),-0.0563698 # DEPENDENCYPART_SIBL
(22,7),(22,15),-0.0413487 # DEPENDENCYPART_SIBL
(22,7),(22,16),-0.0278802 # DEPENDENCYPART_SIBL
(22,7),(22,17),-0.0337045 # DEPENDENCYPART_SIBL
(22,7),(22,18),-0.0887072 # DEPENDENCYPART_SIBL
(22,7),(22,19),-0.0848222 # DEPENDENCYPART_SIBL
(22,7),(22,20),-0.0101425 # DEPENDENCYPART_SIBL
(22,7),(22,21),-0.00970748 # DEPENDENCYPART_SIBL
(22,7),(22,23),-0.0414213 # DEPENDENCYPART_SIBL
(22,7),(22,24),0.00823961 # DEPENDENCYPART_SIBL
(22,7),(22,25),-0.00617244 # DEPENDENCYPART_SIBL
(22,7),(22,26),0.0391032 # DEPENDENCYPART_SIBL
(22,9),(22,10),-0.0095988 # DEPENDENCYPART_SIBL
(22,9),(22,11),-0.163928 # DEPENDENCYPART_SIBL
(22,9),(22,13),-0.0392013 # DEPENDENCYPART_SIBL
(22,9),(22,14),-0.124115 # DEPENDENCYPART_SIBL
(22,9),(22,15),-0.0236402 # DEPENDENCYPART_SIBL
(22,9),(22,16),-0.0993986 # DEPENDENCYPART_SIBL
(22,9),(22,17),-0.129658 # DEPENDENCYPART_SIBL
(22,9),(22,18),-0.0459868 # DEPENDENCYPART_SIBL
(22,9),(22,19),-0.0404487 # DEPENDENCYPART_SIBL
(22,9),(22,20),-0.12191 # DEPENDENCYPART_SIBL
(22,9),(22,21),-0.0571724 # DEPENDENCYPART_SIBL
(22,9),(22,23),0.0587647 # DEPENDENCYPART_SIBL
(22,9),(22,24),0.0178948 # DEPENDENCYPART_SIBL
(22,9),(22,25),-0.0298976 # DEPENDENCYPART_SIBL
(22,9),(22,26),-0.146808 # DEPENDENCYPART_SIBL
(22,10),(22,11),-0.110196 # DEPENDENCYPART_SIBL
(22,10),(22,13),-0.0169123 # DEPENDENCYPART_SIBL
(22,10),(22,14),-0.0337072 # DEPENDENCYPART_SIBL
(22,10),(22,15),-0.031693 # DEPENDENCYPART_SIBL
(22,10),(22,16),-0.0125619 # DEPENDENCYPART_SIBL
(22,10),(22,17),0.045216 # DEPENDENCYPART_SIBL
(22,10),(22,18),-0.0228588 # DEPENDENCYPART_SIBL
(22,10),(22,19),-0.0177535 # DEPENDENCYPART_SIBL
(22,10),(22,20),-0.0108998 # DEPENDENCYPART_SIBL
(22,10),(22,21),-0.0420163 # DEPENDENCYPART_SIBL
(22,10),(22,23),-0.0627468 # DEPENDENCYPART_SIBL
(22,10),(22,24),-0.0264599 # DEPENDENCYPART_SIBL
(22,10),(22,25),-0.0495703 # DEPENDENCYPART_SIBL
(22,10),(22,26),0.00510846 # DEPENDENCYPART_SIBL
(22,11),(22,13),-0.0387654 # DEPENDENCYPART_SIBL
(22,11),(22,14),-0.0324475 # DEPENDENCYPART_SIBL
(22,11),(22,15),0.0463868 # DEPENDENCYPART_SIBL
(22,11),(22,16),-0.0175698 # DEPENDENCYPART_SIBL
(22,11),(22,17),-0.0857795 # DEPENDENCYPART_SIBL
(22,11),(22,18),-0.0497599 # DEPENDENCYPART_SIBL
(22,11),(22,19),-0.0395772 # DEPENDENCYPART_SIBL
(22,11),(22,20),-0.076105 # DEPENDENCYPART_SIBL
(22,11),(22,21),0.0209387 # DEPENDENCYPART_SIBL
(22,11),(22,23),-0.0580552 # DEPENDENCYPART_SIBL
(22,11),(22,24),-0.0304256 # DEPENDENCYPART_SIBL
(22,11),(22,25),-0.0888784 # DEPENDENCYPART_SIBL
(22,11),(22,26),0.0268983 # DEPENDENCYPART_SIBL
(22,13),(22,14),-0.0560046 # DEPENDENCYPART_SIBL
(22,13),(22,15),-0.0409938 # DEPENDENCYPART_SIBL
(22,13),(22,16),-0.0269987 # DEPENDENCYPART_SIBL
(22,13),(22,17),-0.0342088 # DEPENDENCYPART_SIBL
(22,13),(22,18),-0.0883317 # DEPENDENCYPART_SIBL
(22,13),(22,19),-0.0844466 # DEPENDENCYPART_SIBL
(22,13),(22,20),-0.0111983 # DEPENDENCYPART_SIBL
(22,13),(22,21),-0.00893004 # DEPENDENCYPART_SIBL
(22,13),(22,23),-0.04116 # DEPENDENCYPART_SIBL
(22,13),(22,24),0.00856556 # DEPENDENCYPART_SIBL
(22,13),(22,25),-0.00571326 # DEPENDENCYPART_SIBL
(22,13),(22,26),0.0365642 # DEPENDENCYPART_SIBL
(22,14),(22,15),-0.0858781 # DEPENDENCYPART_SIBL
(22,14),(22,16),-0.0620579 # DEPENDENCYPART_SIBL
(22,14),(22,17),-0.179274 # DEPENDENCYPART_SIBL
(22,14),(22,18),-0.0949476 # DEPENDENCYPART_SIBL
(22,14),(22,19),-0.0911882 # DEPENDENCYPART_SIBL
(22,14),(22,20),-0.177763 # DEPENDENCYPART_SIBL
(22,14),(22,21),-0.0742447 # DEPENDENCYPART_SIBL
(22,14),(22,23),-0.101477 # DEPENDENCYPART_SIBL
(22,14),(22,24),-0.0726985 # DEPENDENCYPART_SIBL
(22,14),(22,25),-0.127176 # DEPENDENCYPART_SIBL
(22,14),(22,26),-0.121424 # DEPENDENCYPART_SIBL
(22,15),(22,16),-0.0242378 # DEPENDENCYPART_SIBL
(22,15),(22,17),-0.0624506 # DEPENDENCYPART_SIBL
(22,15),(22,18),-0.0548299 # DEPENDENCYPART_SIBL
(22,15),(22,19),-0.0510691 # DEPENDENCYPART_SIBL
(22,15),(22,20),-0.0521098 # DEPENDENCYPART_SIBL
(22,15),(22,21),-0.0179948 # DEPENDENCYPART_SIBL
(22,15),(22,23),0.0191097 # DEPENDENCYPART_SIBL
(22,15),(22,24),0.0807538 # DEPENDENCYPART_SIBL
(22,15),(22,25),-0.0176398 # DEPENDENCYPART_SIBL
(22,15),(22,26),-0.00183674 # DEPENDENCYPART_SIBL
(22,16),(22,17),-0.128494 # DEPENDENCYPART_SIBL
(22,16),(22,18),-0.0416399 # DEPENDENCYPART_SIBL
(22,16),(22,19),-0.0361018 # DEPENDENCYPART_SIBL
(22,16),(22,20),-0.0525387 # DEPENDENCYPART_SIBL
(22,16),(22,21),-0.0584233 # DEPENDENCYPART_SIBL
(22,16),(22,23),0.0421437 # DEPENDENCYPART_SIBL
(22,16),(22,24),0.00192845 # DEPENDENCYPART_SIBL
(22,16),(22,25),-0.0949491 # DEPENDENCYPART_SIBL
(22,16),(22,26),0.00956044 # DEPENDENCYPART_SIBL
(22,17),(22,18),-0.041533 # DEPENDENCYPART_SIBL
(22,17),(22,19),-0.0277895 # DEPENDENCYPART_SIBL
(22,17),(22,20),-0.0278453 # DEPENDENCYPART_SIBL
(22,17),(22,21),0.0376956 # DEPENDENCYPART_SIBL
(22,17),(22,23),-0.0455598 # DEPENDENCYPART_SIBL
(22,17),(22,24),-0.0220682 # DEPENDENCYPART_SIBL
(22,17),(22,25),-0.090291 # DEPENDENCYPART_SIBL
(22,17),(22,26),0.147788 # DEPENDENCYPART_SIBL
(22,18),(22,19),-0.0905085 # DEPENDENCYPART_SIBL
(22,18),(22,20),-0.0239227 # DEPENDENCYPART_SIBL
(22,18),(22,21),-0.0312645 # DEPENDENCYPART_SIBL
(22,18),(22,23),-0.0481161 # DEPENDENCYPART_SIBL
(22,18),(22,24),0.00459148 # DEPENDENCYPART_SIBL
(22,18),(22,25),-0.00573358 # DEPENDENCYPART_SIBL
(22,18),(22,26),0.0247607 # DEPENDENCYPART_SIBL
(22,19),(22,20),-0.00317652 # DEPENDENCYPART_SIBL
(22,19),(22,21),0.00345961 # DEPENDENCYPART_SIBL
(22,19),(22,23),-0.0414415 # DEPENDENCYPART_SIBL
(22,19),(22,24),0.008284 # DEPENDENCYPART_SIBL
(22,19),(22,25),-0.0059954 # DEPENDENCYPART_SIBL
(22,19),(22,26),0.0389127 # DEPENDENCYPART_SIBL
(22,20),(22,21),0.0467284 # DEPENDENCYPART_SIBL
(22,20),(22,23),-0.00140226 # DEPENDENCYPART_SIBL
(22,20),(22,24),0.0151942 # DEPENDENCYPART_SIBL
(22,20),(22,25),0.0411979 # DEPENDENCYPART_SIBL
(22,20),(22,26),0.0111329 # DEPENDENCYPART_SIBL
(22,21),(22,23),-0.0714842 # DEPENDENCYPART_SIBL
(22,21),(22,24),0.0157986 # DEPENDENCYPART_SIBL
(22,21),(22,25),-0.0143364 # DEPENDENCYPART_SIBL
(22,21),(22,26),0.0177224 # DEPENDENCYPART_SIBL
(22,23),(22,24),-0.0268669 # DEPENDENCYPART_SIBL
(22,23),(22,25),-0.0700373 # DEPENDENCYPART_SIBL
(22,23),(22,26),0.00344987 # DEPENDENCYPART_SIBL
(22,24),(22,25),-0.0617983 # DEPENDENCYPART_SIBL
(22,24),(22,26),-0.0184973 # DEPENDENCYPART_SIBL
(22,25),(22,26),-0.0331287 # DEPENDENCYPART_SIBL
(23,21),(23,24),0.070389 # DEPENDENCYPART_SIBL
(23,21),(23,25),0.0914345 # DEPENDENCYPART_SIBL
(23,21),(23,26),0.149374 # DEPENDENCYPART_SIBL
(23,24),(23,25),0.0569721 # DEPENDENCYPART_SIBL
(23,24),(23,26),-0.0142501 # DEPENDENCYPART_SIBL
(23,25),(23,26),-0.0350345 # DEPENDENCYPART_SIBL
(24,23),(24,25),0.0241901 # DEPENDENCYPART_SIBL
(25,13),(25,14),-0.0030907 # DEPENDENCYPART_SIBL
(25,13),(25,15),0.0294832 # DEPENDENCYPART_SIBL
(25,13),(25,18),0.0263331 # DEPENDENCYPART_SIBL
(25,13),(25,19),0.0262163 # DEPENDENCYPART_SIBL
(25,13),(25,20),0.128377 # DEPENDENCYPART_SIBL
(25,13),(25,21),0.193506 # DEPENDENCYPART_SIBL
(25,13),(25,22),0.033373 # DEPENDENCYPART_SIBL
(25,13),(25,23),-0.000401411 # DEPENDENCYPART_SIBL
(25,13),(25,24),0.0294832 # DEPENDENCYPART_SIBL
(25,13),(25,26),0.0318624 # DEPENDENCYPART_SIBL
(25,14),(25,15),0.0616256 # DEPENDENCYPART_SIBL
(25,14),(25,18),0.122276 # DEPENDENCYPART_SIBL
(25,14),(25,19),0.122067 # DEPENDENCYPART_SIBL
(25,14),(25,20),0.0191876 # DEPENDENCYPART_SIBL
(25,14),(25,21),0.266904 # DEPENDENCYPART_SIBL
(25,14),(25,22),0.122391 # DEPENDENCYPART_SIBL
(25,14),(25,23),0.0255254 # DEPENDENCYPART_SIBL
(25,14),(25,24),0.0616256 # DEPENDENCYPART_SIBL
(25,14),(25,26),-0.0779908 # DEPENDENCYPART_SIBL
(25,15),(25,18),0.0451982 # DEPENDENCYPART_SIBL
(25,15),(25,19),0.0449904 # DEPENDENCYPART_SIBL
(25,15),(25,20),0.0711396 # DEPENDENCYPART_SIBL
(25,15),(25,21),0.243831 # DEPENDENCYPART_SIBL
