# _root_ However , HomeFed 's loan originations and purchases plunged 26 % in the quarter , to $ 1.4 billion from $ 1.9 billion a year earlier .
#goldHeads=9,9,7,3,7,7,9,7,0,11,9,9,14,12,9,9,16,17,17,9,20,21,21,25,26,20,9,
#predictedHeads=9,9,6,3,6,7,9,7,0,11,9,9,14,12,9,9,16,17,17,9,20,21,21,25,26,20,9,
(5,6),(6,7),0.329602 # DEPENDENCYPART_GRANDPAR
(5,6),(6,8),0.382478 # DEPENDENCYPART_GRANDPAR
(5,6),(6,9),0.146016 # DEPENDENCYPART_GRANDPAR
(5,6),(6,11),0.0388775 # DEPENDENCYPART_GRANDPAR
(5,6),(6,15),0.108995 # DEPENDENCYPART_GRANDPAR
(5,6),(6,16),0.119565 # DEPENDENCYPART_GRANDPAR
(5,7),(7,1),-0.548551 # DEPENDENCYPART_GRANDPAR
(5,7),(7,2),-0.581664 # DEPENDENCYPART_GRANDPAR
(5,7),(7,3),-0.589669 # DEPENDENCYPART_GRANDPAR
(5,7),(7,5),-0.723384 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,7),(7,6),0.545963 # DEPENDENCYPART_GRANDPAR
(5,7),(7,8),0.399943 # DEPENDENCYPART_GRANDPAR
(5,7),(7,9),0.27433 # DEPENDENCYPART_GRANDPAR
(5,7),(7,10),0.214395 # DEPENDENCYPART_GRANDPAR
(5,7),(7,11),0.0431584 # DEPENDENCYPART_GRANDPAR
(5,7),(7,12),0.344621 # DEPENDENCYPART_GRANDPAR
(5,7),(7,14),0.00834992 # DEPENDENCYPART_GRANDPAR
(5,7),(7,15),0.105394 # DEPENDENCYPART_GRANDPAR
(5,7),(7,27),-0.741563 # DEPENDENCYPART_GRANDPAR
(5,9),(9,1),-0.617118 # DEPENDENCYPART_GRANDPAR
(5,9),(9,2),-0.635811 # DEPENDENCYPART_GRANDPAR
(5,9),(9,3),-0.577965 # DEPENDENCYPART_GRANDPAR
(5,9),(9,5),-0.825579 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,9),(9,6),0.456236 # DEPENDENCYPART_GRANDPAR
(5,9),(9,7),0.383653 # DEPENDENCYPART_GRANDPAR
(5,9),(9,8),0.230875 # DEPENDENCYPART_GRANDPAR
(5,9),(9,10),0.145551 # DEPENDENCYPART_GRANDPAR
(5,9),(9,11),0.0426257 # DEPENDENCYPART_GRANDPAR
(5,9),(9,12),0.338234 # DEPENDENCYPART_GRANDPAR
(5,9),(9,13),-0.0278374 # DEPENDENCYPART_GRANDPAR
(5,9),(9,14),0.0741661 # DEPENDENCYPART_GRANDPAR
(5,9),(9,15),0.0723095 # DEPENDENCYPART_GRANDPAR
(5,9),(9,16),0.0813623 # DEPENDENCYPART_GRANDPAR
(5,9),(9,17),-0.159331 # DEPENDENCYPART_GRANDPAR
(5,9),(9,20),0.265603 # DEPENDENCYPART_GRANDPAR
(5,9),(9,25),0.123606 # DEPENDENCYPART_GRANDPAR
(5,9),(9,27),-0.872207 # DEPENDENCYPART_GRANDPAR
(5,11),(11,2),-0.646631 # DEPENDENCYPART_GRANDPAR
(5,11),(11,3),-0.413695 # DEPENDENCYPART_GRANDPAR
(5,11),(11,5),-0.728922 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,11),(11,6),0.552426 # DEPENDENCYPART_GRANDPAR
(5,11),(11,7),0.430788 # DEPENDENCYPART_GRANDPAR
(5,11),(11,8),0.328046 # DEPENDENCYPART_GRANDPAR
(5,11),(11,9),0.267738 # DEPENDENCYPART_GRANDPAR
(5,11),(11,10),0.0612675 # DEPENDENCYPART_GRANDPAR
(5,11),(11,12),0.161472 # DEPENDENCYPART_GRANDPAR
(5,11),(11,13),0.0370656 # DEPENDENCYPART_GRANDPAR
(5,11),(11,14),0.109454 # DEPENDENCYPART_GRANDPAR
(5,11),(11,15),0.184649 # DEPENDENCYPART_GRANDPAR
(5,11),(11,16),0.163975 # DEPENDENCYPART_GRANDPAR
(5,11),(11,17),-0.136488 # DEPENDENCYPART_GRANDPAR
(5,11),(11,18),0.0501636 # DEPENDENCYPART_GRANDPAR
(5,11),(11,20),0.140988 # DEPENDENCYPART_GRANDPAR
(5,11),(11,25),0.0906284 # DEPENDENCYPART_GRANDPAR
(5,11),(11,27),-0.677026 # DEPENDENCYPART_GRANDPAR
(5,16),(16,12),0.0706565 # DEPENDENCYPART_GRANDPAR
(5,16),(16,15),-0.102269 # DEPENDENCYPART_GRANDPAR
(5,16),(16,17),-0.171284 # DEPENDENCYPART_GRANDPAR
(5,16),(16,18),-0.051664 # DEPENDENCYPART_GRANDPAR
(5,16),(16,19),-0.185164 # DEPENDENCYPART_GRANDPAR
(5,16),(16,20),0.193393 # DEPENDENCYPART_GRANDPAR
(5,16),(16,25),0.06376 # DEPENDENCYPART_GRANDPAR
(5,16),(16,27),-0.820957 # DEPENDENCYPART_GRANDPAR
(6,1),(1,2),0.155584 # DEPENDENCYPART_GRANDPAR
(6,1),(1,3),0.393447 # DEPENDENCYPART_GRANDPAR
(6,1),(1,5),0.506184 # DEPENDENCYPART_GRANDPAR
(6,1),(1,7),-0.0813929 # DEPENDENCYPART_GRANDPAR
(6,1),(1,9),-0.496076 # DEPENDENCYPART_GRANDPAR
(6,2),(2,1),-0.11959 # DEPENDENCYPART_GRANDPAR
(6,3),(3,1),-0.0481192 # DEPENDENCYPART_GRANDPAR
(6,3),(3,2),0.213619 # DEPENDENCYPART_GRANDPAR
(6,3),(3,4),1.07949 # DEPENDENCYPART_GRANDPAR
(6,3),(3,5),0.491844 # DEPENDENCYPART_GRANDPAR
(6,3),(3,6),-1.31694 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,3),(3,7),-0.203114 # DEPENDENCYPART_GRANDPAR
(6,3),(3,9),-0.5992 # DEPENDENCYPART_GRANDPAR
(6,3),(3,11),-0.687998 # DEPENDENCYPART_GRANDPAR
(6,3),(3,12),-0.481752 # DEPENDENCYPART_GRANDPAR
(6,3),(3,15),-0.576017 # DEPENDENCYPART_GRANDPAR
(6,3),(3,27),-1.4495 # DEPENDENCYPART_GRANDPAR
(6,5),(5,1),-0.0569047 # DEPENDENCYPART_GRANDPAR
(6,5),(5,2),0.211432 # DEPENDENCYPART_GRANDPAR
(6,5),(5,3),0.401287 # DEPENDENCYPART_GRANDPAR
(6,5),(5,4),0.354437 # DEPENDENCYPART_GRANDPAR
(6,5),(5,6),-1.31697 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,5),(5,7),-0.203115 # DEPENDENCYPART_GRANDPAR
(6,5),(5,9),-0.599414 # DEPENDENCYPART_GRANDPAR
(6,5),(5,11),-0.688026 # DEPENDENCYPART_GRANDPAR
(6,5),(5,16),-0.651671 # DEPENDENCYPART_GRANDPAR
(6,7),(7,1),-0.580812 # DEPENDENCYPART_GRANDPAR
(6,7),(7,2),-0.459739 # DEPENDENCYPART_GRANDPAR
(6,7),(7,3),-0.415577 # DEPENDENCYPART_GRANDPAR
(6,7),(7,5),-0.293247 # DEPENDENCYPART_GRANDPAR
(6,7),(7,6),-0.713718 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,7),(7,8),0.29324 # DEPENDENCYPART_GRANDPAR
(6,7),(7,9),0.142019 # DEPENDENCYPART_GRANDPAR
(6,7),(7,10),0.129246 # DEPENDENCYPART_GRANDPAR
(6,7),(7,11),-0.0596475 # DEPENDENCYPART_GRANDPAR
(6,7),(7,12),0.249842 # DEPENDENCYPART_GRANDPAR
(6,7),(7,14),-0.108399 # DEPENDENCYPART_GRANDPAR
(6,7),(7,15),0.159336 # DEPENDENCYPART_GRANDPAR
(6,7),(7,27),-0.806129 # DEPENDENCYPART_GRANDPAR
(6,8),(8,1),-0.575365 # DEPENDENCYPART_GRANDPAR
(6,8),(8,2),-0.523745 # DEPENDENCYPART_GRANDPAR
(6,8),(8,3),-0.242676 # DEPENDENCYPART_GRANDPAR
(6,8),(8,5),-0.120284 # DEPENDENCYPART_GRANDPAR
(6,8),(8,6),-0.699532 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,8),(8,7),0.52702 # DEPENDENCYPART_GRANDPAR
(6,8),(8,9),0.00980752 # DEPENDENCYPART_GRANDPAR
(6,8),(8,10),0.0281711 # DEPENDENCYPART_GRANDPAR
(6,8),(8,11),-0.0637464 # DEPENDENCYPART_GRANDPAR
(6,8),(8,12),0.0344979 # DEPENDENCYPART_GRANDPAR
(6,8),(8,15),0.158545 # DEPENDENCYPART_GRANDPAR
(6,8),(8,16),-0.0164795 # DEPENDENCYPART_GRANDPAR
(6,9),(9,1),-0.649816 # DEPENDENCYPART_GRANDPAR
(6,9),(9,2),-0.514323 # DEPENDENCYPART_GRANDPAR
(6,9),(9,3),-0.404309 # DEPENDENCYPART_GRANDPAR
(6,9),(9,5),-0.282201 # DEPENDENCYPART_GRANDPAR
(6,9),(9,6),-0.808006 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,9),(9,7),0.467334 # DEPENDENCYPART_GRANDPAR
(6,9),(9,8),0.126134 # DEPENDENCYPART_GRANDPAR
(6,9),(9,10),0.0609388 # DEPENDENCYPART_GRANDPAR
(6,9),(9,11),-0.0575131 # DEPENDENCYPART_GRANDPAR
(6,9),(9,12),0.242816 # DEPENDENCYPART_GRANDPAR
(6,9),(9,13),-0.0468065 # DEPENDENCYPART_GRANDPAR
(6,9),(9,14),-0.0399162 # DEPENDENCYPART_GRANDPAR
(6,9),(9,15),0.12673 # DEPENDENCYPART_GRANDPAR
(6,9),(9,16),-0.0511946 # DEPENDENCYPART_GRANDPAR
(6,9),(9,17),-0.270799 # DEPENDENCYPART_GRANDPAR
(6,9),(9,20),0.205368 # DEPENDENCYPART_GRANDPAR
(6,9),(9,25),0.000919592 # DEPENDENCYPART_GRANDPAR
(6,9),(9,27),-0.936361 # DEPENDENCYPART_GRANDPAR
(6,11),(11,2),-0.524982 # DEPENDENCYPART_GRANDPAR
(6,11),(11,3),-0.239879 # DEPENDENCYPART_GRANDPAR
(6,11),(11,5),-0.117487 # DEPENDENCYPART_GRANDPAR
(6,11),(11,6),-0.705787 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,11),(11,7),0.518863 # DEPENDENCYPART_GRANDPAR
(6,11),(11,8),0.229335 # DEPENDENCYPART_GRANDPAR
(6,11),(11,9),0.136516 # DEPENDENCYPART_GRANDPAR
(6,11),(11,10),-0.036412 # DEPENDENCYPART_GRANDPAR
(6,11),(11,12),0.0645248 # DEPENDENCYPART_GRANDPAR
(6,11),(11,13),0.00894297 # DEPENDENCYPART_GRANDPAR
(6,11),(11,14),-0.00940108 # DEPENDENCYPART_GRANDPAR
(6,11),(11,15),0.237002 # DEPENDENCYPART_GRANDPAR
(6,11),(11,16),0.0285328 # DEPENDENCYPART_GRANDPAR
(6,11),(11,17),-0.250905 # DEPENDENCYPART_GRANDPAR
(6,11),(11,18),-0.0698113 # DEPENDENCYPART_GRANDPAR
(6,11),(11,20),0.0786922 # DEPENDENCYPART_GRANDPAR
(6,11),(11,25),-0.0368312 # DEPENDENCYPART_GRANDPAR
(6,11),(11,27),-0.743935 # DEPENDENCYPART_GRANDPAR
(6,16),(16,12),-0.0245814 # DEPENDENCYPART_GRANDPAR
(6,16),(16,15),-0.050039 # DEPENDENCYPART_GRANDPAR
(6,16),(16,17),-0.284446 # DEPENDENCYPART_GRANDPAR
(6,16),(16,18),-0.170584 # DEPENDENCYPART_GRANDPAR
(6,16),(16,19),-0.269384 # DEPENDENCYPART_GRANDPAR
(6,16),(16,20),0.13214 # DEPENDENCYPART_GRANDPAR
(6,16),(16,25),-0.0645346 # DEPENDENCYPART_GRANDPAR
(6,16),(16,27),-0.886649 # DEPENDENCYPART_GRANDPAR
(7,1),(1,2),0.0418868 # DEPENDENCYPART_GRANDPAR
(7,1),(1,3),0.112662 # DEPENDENCYPART_GRANDPAR
(7,1),(1,5),0.272915 # DEPENDENCYPART_GRANDPAR
(7,1),(1,7),-1.14401 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,1),(1,9),-0.0604602 # DEPENDENCYPART_GRANDPAR
(7,2),(2,1),-0.015229 # DEPENDENCYPART_GRANDPAR
(7,3),(3,1),0.184474 # DEPENDENCYPART_GRANDPAR
(7,3),(3,2),0.315735 # DEPENDENCYPART_GRANDPAR
(7,3),(3,4),0.524338 # DEPENDENCYPART_GRANDPAR
(7,3),(3,5),0.40106 # DEPENDENCYPART_GRANDPAR
(7,3),(3,6),0.302213 # DEPENDENCYPART_GRANDPAR
(7,3),(3,7),-1.17689 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,3),(3,9),-0.0694649 # DEPENDENCYPART_GRANDPAR
(7,3),(3,11),0.1859 # DEPENDENCYPART_GRANDPAR
(7,3),(3,12),-0.155245 # DEPENDENCYPART_GRANDPAR
(7,3),(3,15),-0.371914 # DEPENDENCYPART_GRANDPAR
(7,3),(3,27),-0.884494 # DEPENDENCYPART_GRANDPAR
(7,5),(5,1),0.206464 # DEPENDENCYPART_GRANDPAR
(7,5),(5,2),0.348768 # DEPENDENCYPART_GRANDPAR
(7,5),(5,3),0.355295 # DEPENDENCYPART_GRANDPAR
(7,5),(5,4),0.134167 # DEPENDENCYPART_GRANDPAR
(7,5),(5,6),0.31479 # DEPENDENCYPART_GRANDPAR
(7,5),(5,7),-1.1769 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,5),(5,9),-0.0696806 # DEPENDENCYPART_GRANDPAR
(7,5),(5,11),0.185869 # DEPENDENCYPART_GRANDPAR
(7,5),(5,16),-0.107966 # DEPENDENCYPART_GRANDPAR
(7,6),(6,1),0.183095 # DEPENDENCYPART_GRANDPAR
(7,6),(6,2),0.314357 # DEPENDENCYPART_GRANDPAR
(7,6),(6,3),0.319816 # DEPENDENCYPART_GRANDPAR
(7,6),(6,4),0.110793 # DEPENDENCYPART_GRANDPAR
(7,6),(6,5),0.478335 # DEPENDENCYPART_GRANDPAR
(7,6),(6,7),-1.17689 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,6),(6,8),0.201992 # DEPENDENCYPART_GRANDPAR
(7,6),(6,9),-0.0694649 # DEPENDENCYPART_GRANDPAR
(7,6),(6,11),0.185901 # DEPENDENCYPART_GRANDPAR
(7,6),(6,15),-0.371914 # DEPENDENCYPART_GRANDPAR
(7,6),(6,16),-0.107964 # DEPENDENCYPART_GRANDPAR
(7,8),(8,1),-0.410487 # DEPENDENCYPART_GRANDPAR
(7,8),(8,2),-0.635195 # DEPENDENCYPART_GRANDPAR
(7,8),(8,3),-0.245384 # DEPENDENCYPART_GRANDPAR
(7,8),(8,5),-0.0735667 # DEPENDENCYPART_GRANDPAR
(7,8),(8,6),-0.199213 # DEPENDENCYPART_GRANDPAR
(7,8),(8,7),-0.379653 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,8),(8,9),0.501033 # DEPENDENCYPART_GRANDPAR
(7,8),(8,10),0.496769 # DEPENDENCYPART_GRANDPAR
(7,8),(8,11),0.66986 # DEPENDENCYPART_GRANDPAR
(7,8),(8,12),0.234401 # DEPENDENCYPART_GRANDPAR
(7,8),(8,15),0.556057 # DEPENDENCYPART_GRANDPAR
(7,8),(8,16),0.481224 # DEPENDENCYPART_GRANDPAR
(7,9),(9,1),-0.550275 # DEPENDENCYPART_GRANDPAR
(7,9),(9,2),-0.675986 # DEPENDENCYPART_GRANDPAR
(7,9),(9,3),-0.417326 # DEPENDENCYPART_GRANDPAR
(7,9),(9,5),-0.245792 # DEPENDENCYPART_GRANDPAR
(7,9),(9,6),-0.371156 # DEPENDENCYPART_GRANDPAR
(7,9),(9,7),-0.479941 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,9),(9,8),0.56761 # DEPENDENCYPART_GRANDPAR
(7,9),(9,10),0.371124 # DEPENDENCYPART_GRANDPAR
(7,9),(9,11),0.700863 # DEPENDENCYPART_GRANDPAR
(7,9),(9,12),0.282426 # DEPENDENCYPART_GRANDPAR
(7,9),(9,13),0.0534463 # DEPENDENCYPART_GRANDPAR
(7,9),(9,14),0.493806 # DEPENDENCYPART_GRANDPAR
(7,9),(9,15),0.427078 # DEPENDENCYPART_GRANDPAR
(7,9),(9,16),0.459284 # DEPENDENCYPART_GRANDPAR
(7,9),(9,17),0.123726 # DEPENDENCYPART_GRANDPAR
(7,9),(9,20),0.480933 # DEPENDENCYPART_GRANDPAR
(7,9),(9,25),0.148004 # DEPENDENCYPART_GRANDPAR
(7,9),(9,27),-0.419738 # DEPENDENCYPART_GRANDPAR
(7,10),(10,7),-0.595182 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,10),(10,11),0.474366 # DEPENDENCYPART_GRANDPAR
(7,10),(10,12),0.255723 # DEPENDENCYPART_GRANDPAR
(7,10),(10,14),0.255545 # DEPENDENCYPART_GRANDPAR
(7,10),(10,15),0.35486 # DEPENDENCYPART_GRANDPAR
(7,11),(11,2),-0.621976 # DEPENDENCYPART_GRANDPAR
(7,11),(11,3),-0.212419 # DEPENDENCYPART_GRANDPAR
(7,11),(11,5),-0.0406018 # DEPENDENCYPART_GRANDPAR
(7,11),(11,6),-0.166249 # DEPENDENCYPART_GRANDPAR
(7,11),(11,7),-0.400741 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,11),(11,8),0.685712 # DEPENDENCYPART_GRANDPAR
(7,11),(11,9),0.611356 # DEPENDENCYPART_GRANDPAR
(7,11),(11,10),0.325876 # DEPENDENCYPART_GRANDPAR
(7,11),(11,12),0.263287 # DEPENDENCYPART_GRANDPAR
(7,11),(11,13),0.157661 # DEPENDENCYPART_GRANDPAR
(7,11),(11,14),0.47033 # DEPENDENCYPART_GRANDPAR
(7,11),(11,15),0.612356 # DEPENDENCYPART_GRANDPAR
(7,11),(11,16),0.463292 # DEPENDENCYPART_GRANDPAR
(7,11),(11,17),0.209626 # DEPENDENCYPART_GRANDPAR
(7,11),(11,18),0.203938 # DEPENDENCYPART_GRANDPAR
(7,11),(11,20),0.51302 # DEPENDENCYPART_GRANDPAR
(7,11),(11,25),0.101592 # DEPENDENCYPART_GRANDPAR
(7,11),(11,27),-0.33427 # DEPENDENCYPART_GRANDPAR
(7,12),(12,10),0.134332 # DEPENDENCYPART_GRANDPAR
(7,12),(12,11),0.386511 # DEPENDENCYPART_GRANDPAR
(7,12),(12,13),0.0579955 # DEPENDENCYPART_GRANDPAR
(7,12),(12,14),0.473477 # DEPENDENCYPART_GRANDPAR
(7,12),(12,15),0.463824 # DEPENDENCYPART_GRANDPAR
(7,12),(12,16),0.312819 # DEPENDENCYPART_GRANDPAR
(7,12),(12,17),0.106824 # DEPENDENCYPART_GRANDPAR
(7,12),(12,18),0.0667674 # DEPENDENCYPART_GRANDPAR
(7,12),(12,19),0.006007 # DEPENDENCYPART_GRANDPAR
(7,12),(12,20),0.50409 # DEPENDENCYPART_GRANDPAR
(7,14),(14,3),-0.245386 # DEPENDENCYPART_GRANDPAR
(7,14),(14,7),-0.372596 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,14),(14,10),0.375103 # DEPENDENCYPART_GRANDPAR
(7,14),(14,11),0.666724 # DEPENDENCYPART_GRANDPAR
(7,14),(14,13),0.216925 # DEPENDENCYPART_GRANDPAR
(7,14),(14,15),0.57749 # DEPENDENCYPART_GRANDPAR
(7,14),(14,16),0.517475 # DEPENDENCYPART_GRANDPAR
(7,14),(14,17),0.224425 # DEPENDENCYPART_GRANDPAR
(7,14),(14,18),0.199785 # DEPENDENCYPART_GRANDPAR
(7,14),(14,19),0.142359 # DEPENDENCYPART_GRANDPAR
(7,14),(14,20),0.52271 # DEPENDENCYPART_GRANDPAR
(7,14),(14,21),0.0324602 # DEPENDENCYPART_GRANDPAR
(7,14),(14,22),0.00955498 # DEPENDENCYPART_GRANDPAR
(7,14),(14,23),-0.12214 # DEPENDENCYPART_GRANDPAR
(7,14),(14,26),0.12455 # DEPENDENCYPART_GRANDPAR
(7,14),(14,27),-0.318425 # DEPENDENCYPART_GRANDPAR
(8,1),(1,2),-0.825663 # DEPENDENCYPART_GRANDPAR
(8,1),(1,3),-0.585464 # DEPENDENCYPART_GRANDPAR
(8,1),(1,5),-0.575045 # DEPENDENCYPART_GRANDPAR
(8,1),(1,7),-0.551708 # DEPENDENCYPART_GRANDPAR
(8,1),(1,9),-0.726145 # DEPENDENCYPART_GRANDPAR
(8,2),(2,1),-0.990668 # DEPENDENCYPART_GRANDPAR
(8,3),(3,1),-0.924255 # DEPENDENCYPART_GRANDPAR
(8,3),(3,2),-0.770675 # DEPENDENCYPART_GRANDPAR
(8,3),(3,4),0.420938 # DEPENDENCYPART_GRANDPAR
(8,3),(3,5),-0.593966 # DEPENDENCYPART_GRANDPAR
(8,3),(3,6),-0.789959 # DEPENDENCYPART_GRANDPAR
(8,3),(3,7),-0.559157 # DEPENDENCYPART_GRANDPAR
(8,3),(3,9),-0.829269 # DEPENDENCYPART_GRANDPAR
(8,3),(3,11),-0.872641 # DEPENDENCYPART_GRANDPAR
(8,3),(3,12),-0.596625 # DEPENDENCYPART_GRANDPAR
(8,3),(3,15),-0.892851 # DEPENDENCYPART_GRANDPAR
(8,3),(3,27),-1.53029 # DEPENDENCYPART_GRANDPAR
(8,5),(5,1),-0.933041 # DEPENDENCYPART_GRANDPAR
(8,5),(5,2),-0.772862 # DEPENDENCYPART_GRANDPAR
(8,5),(5,3),-0.580536 # DEPENDENCYPART_GRANDPAR
(8,5),(5,4),-0.288133 # DEPENDENCYPART_GRANDPAR
(8,5),(5,6),-0.78993 # DEPENDENCYPART_GRANDPAR
(8,5),(5,7),-0.562385 # DEPENDENCYPART_GRANDPAR
(8,5),(5,9),-0.829483 # DEPENDENCYPART_GRANDPAR
(8,5),(5,11),-0.872668 # DEPENDENCYPART_GRANDPAR
(8,5),(5,16),-0.823771 # DEPENDENCYPART_GRANDPAR
(8,6),(6,1),-0.924256 # DEPENDENCYPART_GRANDPAR
(8,6),(6,2),-0.770674 # DEPENDENCYPART_GRANDPAR
(8,6),(6,3),-0.571436 # DEPENDENCYPART_GRANDPAR
(8,6),(6,4),-0.27935 # DEPENDENCYPART_GRANDPAR
(8,6),(6,5),-0.55524 # DEPENDENCYPART_GRANDPAR
(8,6),(6,7),-0.559158 # DEPENDENCYPART_GRANDPAR
(8,6),(6,8),-1.57056 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,6),(6,9),-0.829269 # DEPENDENCYPART_GRANDPAR
(8,6),(6,11),-0.87264 # DEPENDENCYPART_GRANDPAR
(8,6),(6,15),-0.892851 # DEPENDENCYPART_GRANDPAR
(8,6),(6,16),-0.823771 # DEPENDENCYPART_GRANDPAR
(8,7),(7,1),-0.741054 # DEPENDENCYPART_GRANDPAR
(8,7),(7,2),-0.773006 # DEPENDENCYPART_GRANDPAR
(8,7),(7,3),-0.552483 # DEPENDENCYPART_GRANDPAR
(8,7),(7,5),-0.516512 # DEPENDENCYPART_GRANDPAR
(8,7),(7,6),-0.736352 # DEPENDENCYPART_GRANDPAR
(8,7),(7,8),-1.74346 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,7),(7,9),-0.892206 # DEPENDENCYPART_GRANDPAR
(8,7),(7,10),-0.783543 # DEPENDENCYPART_GRANDPAR
(8,7),(7,11),-1.04768 # DEPENDENCYPART_GRANDPAR
(8,7),(7,12),-0.71718 # DEPENDENCYPART_GRANDPAR
(8,7),(7,14),-1.12478 # DEPENDENCYPART_GRANDPAR
(8,7),(7,15),-0.828845 # DEPENDENCYPART_GRANDPAR
(8,7),(7,27),-1.53247 # DEPENDENCYPART_GRANDPAR
(8,9),(9,1),-1.52124 # DEPENDENCYPART_GRANDPAR
(8,9),(9,2),-1.49338 # DEPENDENCYPART_GRANDPAR
(8,9),(9,3),-1.38035 # DEPENDENCYPART_GRANDPAR
(8,9),(9,5),-1.36056 # DEPENDENCYPART_GRANDPAR
(8,9),(9,6),-1.56423 # DEPENDENCYPART_GRANDPAR
(8,9),(9,7),-1.37423 # DEPENDENCYPART_GRANDPAR
(8,9),(9,8),-1.07 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,9),(9,10),-0.130507 # DEPENDENCYPART_GRANDPAR
(8,9),(9,11),-0.242901 # DEPENDENCYPART_GRANDPAR
(8,9),(9,12),0.126686 # DEPENDENCYPART_GRANDPAR
(8,9),(9,13),-0.348191 # DEPENDENCYPART_GRANDPAR
(8,9),(9,14),-0.2493 # DEPENDENCYPART_GRANDPAR
(8,9),(9,15),-0.190319 # DEPENDENCYPART_GRANDPAR
(8,9),(9,16),-0.223498 # DEPENDENCYPART_GRANDPAR
(8,9),(9,17),-0.428961 # DEPENDENCYPART_GRANDPAR
(8,9),(9,20),-0.0922202 # DEPENDENCYPART_GRANDPAR
(8,9),(9,25),-0.173276 # DEPENDENCYPART_GRANDPAR
(8,9),(9,27),-1.01735 # DEPENDENCYPART_GRANDPAR
(8,10),(10,7),-1.16119 # DEPENDENCYPART_GRANDPAR
(8,10),(10,11),-0.4901 # DEPENDENCYPART_GRANDPAR
(8,10),(10,12),-0.0609381 # DEPENDENCYPART_GRANDPAR
(8,10),(10,14),-0.530261 # DEPENDENCYPART_GRANDPAR
(8,10),(10,15),-0.291307 # DEPENDENCYPART_GRANDPAR
(8,11),(11,2),-1.5042 # DEPENDENCYPART_GRANDPAR
(8,11),(11,3),-1.21608 # DEPENDENCYPART_GRANDPAR
(8,11),(11,5),-1.19601 # DEPENDENCYPART_GRANDPAR
(8,11),(11,6),-1.39996 # DEPENDENCYPART_GRANDPAR
(8,11),(11,7),-1.28904 # DEPENDENCYPART_GRANDPAR
(8,11),(11,8),-0.970123 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,11),(11,9),-0.097172 # DEPENDENCYPART_GRANDPAR
(8,11),(11,10),-0.231227 # DEPENDENCYPART_GRANDPAR
(8,11),(11,12),-0.0563278 # DEPENDENCYPART_GRANDPAR
(8,11),(11,13),-0.306199 # DEPENDENCYPART_GRANDPAR
(8,11),(11,14),-0.223723 # DEPENDENCYPART_GRANDPAR
(8,11),(11,15),-0.084958 # DEPENDENCYPART_GRANDPAR
(8,11),(11,16),-0.14867 # DEPENDENCYPART_GRANDPAR
(8,11),(11,17),-0.413966 # DEPENDENCYPART_GRANDPAR
(8,11),(11,18),-0.228755 # DEPENDENCYPART_GRANDPAR
(8,11),(11,20),-0.223618 # DEPENDENCYPART_GRANDPAR
(8,11),(11,25),-0.215965 # DEPENDENCYPART_GRANDPAR
(8,11),(11,27),-0.829827 # DEPENDENCYPART_GRANDPAR
(8,12),(12,10),-0.253408 # DEPENDENCYPART_GRANDPAR
(8,12),(12,11),-0.245836 # DEPENDENCYPART_GRANDPAR
(8,12),(12,13),-0.334281 # DEPENDENCYPART_GRANDPAR
(8,12),(12,14),-0.359923 # DEPENDENCYPART_GRANDPAR
(8,12),(12,15),-0.176252 # DEPENDENCYPART_GRANDPAR
(8,12),(12,16),-0.245596 # DEPENDENCYPART_GRANDPAR
(8,12),(12,17),-0.37854 # DEPENDENCYPART_GRANDPAR
(8,12),(12,18),-0.310701 # DEPENDENCYPART_GRANDPAR
(8,12),(12,19),-0.441847 # DEPENDENCYPART_GRANDPAR
(8,12),(12,20),-0.165817 # DEPENDENCYPART_GRANDPAR
(8,16),(16,12),-0.134352 # DEPENDENCYPART_GRANDPAR
(8,16),(16,15),-0.3689 # DEPENDENCYPART_GRANDPAR
(8,16),(16,17),-0.442874 # DEPENDENCYPART_GRANDPAR
(8,16),(16,18),-0.324803 # DEPENDENCYPART_GRANDPAR
