# _root_ And Fairfax County , Va. , Water Authority 's 7 1\/4 % issue of 2027 was down 3\/4 at 99 7\/8 bid .
#goldHeads=16,5,5,5,8,5,8,13,8,11,13,11,16,13,14,0,16,17,16,21,22,19,16,
#predictedHeads=16,3,16,3,3,5,8,13,8,11,13,11,16,13,14,0,16,17,16,21,19,21,16,
(5,4),(5,10),0.0111988 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.00901406 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.13186 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.139301 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0651022 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0190257 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.066933 # DEPENDENCYPART_SIBL
(5,4),(5,19),0.0179976 # DEPENDENCYPART_SIBL
(5,4),(5,21),-0.0255246 # DEPENDENCYPART_SIBL
(5,4),(5,23),-0.111242 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.641232 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.627749 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0317279 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.515414 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.507608 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.386079 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.580473 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.301835 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.522037 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.43087 # DEPENDENCYPART_SIBL
(5,6),(5,19),0.107095 # DEPENDENCYPART_SIBL
(5,6),(5,21),0.486203 # DEPENDENCYPART_SIBL
(5,6),(5,23),-0.039104 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0584849 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.127947 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0239846 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0263838 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.056113 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0442695 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.0447062 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0221481 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0873852 # DEPENDENCYPART_SIBL
(5,7),(5,19),0.00552889 # DEPENDENCYPART_SIBL
(5,7),(5,21),-0.038425 # DEPENDENCYPART_SIBL
(5,7),(5,23),-3.60754e-05 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.131965 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0280195 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0304187 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0838946 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0720511 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.00292485 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.026183 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.0935639 # DEPENDENCYPART_SIBL
(5,8),(5,19),-0.0348122 # DEPENDENCYPART_SIBL
(5,8),(5,21),-0.0424599 # DEPENDENCYPART_SIBL
(5,8),(5,23),-0.00678197 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0885349 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.0915579 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.261569 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.238725 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.240991 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.0957764 # DEPENDENCYPART_SIBL
(5,9),(5,16),0.0593441 # DEPENDENCYPART_SIBL
(5,9),(5,19),0.171561 # DEPENDENCYPART_SIBL
(5,9),(5,21),0.0795005 # DEPENDENCYPART_SIBL
(5,9),(5,23),-0.0775828 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0135312 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0443572 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0383339 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.0317146 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.00365309 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.0273128 # DEPENDENCYPART_SIBL
(5,10),(5,19),-0.0690613 # DEPENDENCYPART_SIBL
(5,10),(5,21),-0.0496405 # DEPENDENCYPART_SIBL
(5,10),(5,23),-0.0658015 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.0686359 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.0577854 # DEPENDENCYPART_SIBL
(5,11),(5,14),0.009761 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.00513778 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.0122812 # DEPENDENCYPART_SIBL
(5,11),(5,19),-0.0841661 # DEPENDENCYPART_SIBL
(5,11),(5,21),-0.0511262 # DEPENDENCYPART_SIBL
(5,11),(5,23),-0.0414147 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.237585 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.0998666 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.0703389 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.0460879 # DEPENDENCYPART_SIBL
(5,12),(5,19),-0.0283173 # DEPENDENCYPART_SIBL
(5,12),(5,21),-0.0870841 # DEPENDENCYPART_SIBL
(5,12),(5,23),0.0811808 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.041921 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.0544698 # DEPENDENCYPART_SIBL
(5,13),(5,16),-0.0575389 # DEPENDENCYPART_SIBL
(5,13),(5,19),0.0436627 # DEPENDENCYPART_SIBL
(5,13),(5,21),-0.0710396 # DEPENDENCYPART_SIBL
(5,13),(5,23),0.0452475 # DEPENDENCYPART_SIBL
(5,14),(5,15),0.0606407 # DEPENDENCYPART_SIBL
(5,14),(5,16),-0.0565279 # DEPENDENCYPART_SIBL
(5,14),(5,19),0.111364 # DEPENDENCYPART_SIBL
(5,14),(5,21),0.0396345 # DEPENDENCYPART_SIBL
(5,14),(5,23),-0.021099 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.0168633 # DEPENDENCYPART_SIBL
(5,15),(5,19),-0.078096 # DEPENDENCYPART_SIBL
(5,15),(5,21),-0.0471446 # DEPENDENCYPART_SIBL
(5,15),(5,23),-0.0554788 # DEPENDENCYPART_SIBL
(5,16),(5,19),-0.023042 # DEPENDENCYPART_SIBL
(5,16),(5,21),-0.0327422 # DEPENDENCYPART_SIBL
(5,16),(5,23),0.0148893 # DEPENDENCYPART_SIBL
(5,19),(5,21),-0.0159412 # DEPENDENCYPART_SIBL
(5,19),(5,23),-0.00771474 # DEPENDENCYPART_SIBL
(5,21),(5,23),-0.0259503 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.188226 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.448264 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.150834 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.448264 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.0296029 # DEPENDENCYPART_SIBL
(7,2),(7,23),0.016013 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.473185 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.16074 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.473185 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0494301 # DEPENDENCYPART_SIBL
(7,3),(7,23),0.0536055 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.056137 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.101015 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.570059 # DEPENDENCYPART_SIBL
(7,4),(7,23),-0.132163 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.469624 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0787686 # DEPENDENCYPART_SIBL
(7,5),(7,23),0.0207238 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.570059 # DEPENDENCYPART_SIBL
(7,6),(7,23),-0.132163 # DEPENDENCYPART_SIBL
(7,9),(7,23),-0.0854458 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.148321 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.435413 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.110929 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.435413 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.130832 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.06977 # DEPENDENCYPART_SIBL
(8,2),(8,10),0.0505342 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.0296336 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.00445398 # DEPENDENCYPART_SIBL
(8,2),(8,13),0.0614834 # DEPENDENCYPART_SIBL
(8,2),(8,14),0.0452026 # DEPENDENCYPART_SIBL
(8,2),(8,15),0.0284833 # DEPENDENCYPART_SIBL
(8,2),(8,16),0.0871478 # DEPENDENCYPART_SIBL
(8,2),(8,17),0.0729564 # DEPENDENCYPART_SIBL
(8,2),(8,18),0.0300555 # DEPENDENCYPART_SIBL
(8,2),(8,23),0.105936 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.460334 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.120834 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.460334 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.140434 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.0895971 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.0778083 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.0569077 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.0212233 # DEPENDENCYPART_SIBL
(8,3),(8,13),0.087161 # DEPENDENCYPART_SIBL
(8,3),(8,14),0.052394 # DEPENDENCYPART_SIBL
(8,3),(8,15),0.0557574 # DEPENDENCYPART_SIBL
(8,3),(8,16),0.108552 # DEPENDENCYPART_SIBL
(8,3),(8,17),0.0933771 # DEPENDENCYPART_SIBL
(8,3),(8,18),0.0573296 # DEPENDENCYPART_SIBL
(8,3),(8,23),0.143529 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0345893 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.100796 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0459092 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.567583 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0034664 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.0236793 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.141457 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.149908 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0969956 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.0336909 # DEPENDENCYPART_SIBL
(8,4),(8,16),0.0546655 # DEPENDENCYPART_SIBL
(8,4),(8,17),-0.0870605 # DEPENDENCYPART_SIBL
(8,4),(8,18),-0.0490054 # DEPENDENCYPART_SIBL
(8,4),(8,23),-0.105701 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.456773 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.137513 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.118936 # DEPENDENCYPART_SIBL
(8,5),(8,10),0.0624973 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.0415968 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.00872518 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.0746626 # DEPENDENCYPART_SIBL
(8,5),(8,14),0.0488509 # DEPENDENCYPART_SIBL
(8,5),(8,15),0.0404464 # DEPENDENCYPART_SIBL
(8,5),(8,16),0.0980884 # DEPENDENCYPART_SIBL
(8,5),(8,17),0.084559 # DEPENDENCYPART_SIBL
(8,5),(8,18),0.0420187 # DEPENDENCYPART_SIBL
(8,5),(8,23),0.110647 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0459092 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.567583 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0034664 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0236793 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.141457 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.149908 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.0969956 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.0336909 # DEPENDENCYPART_SIBL
(8,6),(8,16),0.0546655 # DEPENDENCYPART_SIBL
(8,6),(8,17),-0.0870605 # DEPENDENCYPART_SIBL
(8,6),(8,18),-0.0490054 # DEPENDENCYPART_SIBL
(8,6),(8,23),-0.105701 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.101402 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.0829173 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0620168 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.019606 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.0855435 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.064981 # DEPENDENCYPART_SIBL
(8,7),(8,15),0.0608664 # DEPENDENCYPART_SIBL
(8,7),(8,16),0.118097 # DEPENDENCYPART_SIBL
(8,7),(8,17),0.104438 # DEPENDENCYPART_SIBL
(8,7),(8,18),0.0624387 # DEPENDENCYPART_SIBL
(8,7),(8,23),0.148164 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.0823538 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.0853768 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.265848 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.243663 # DEPENDENCYPART_SIBL
(8,9),(8,14),0.240433 # DEPENDENCYPART_SIBL
(8,9),(8,15),0.0895954 # DEPENDENCYPART_SIBL
(8,9),(8,16),0.0579741 # DEPENDENCYPART_SIBL
(8,9),(8,17),-0.0471793 # DEPENDENCYPART_SIBL
(8,9),(8,18),0.0819627 # DEPENDENCYPART_SIBL
(8,9),(8,23),-0.0596019 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.0218749 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0502645 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0445758 # DEPENDENCYPART_SIBL
(8,10),(8,14),0.0278746 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.0119967 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.0308429 # DEPENDENCYPART_SIBL
(8,10),(8,17),-0.0300065 # DEPENDENCYPART_SIBL
(8,10),(8,18),-0.023894 # DEPENDENCYPART_SIBL
(8,10),(8,23),-0.050597 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.0745432 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.0640273 # DEPENDENCYPART_SIBL
(8,11),(8,14),0.00592099 # DEPENDENCYPART_SIBL
(8,11),(8,15),-0.0134815 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.0158114 # DEPENDENCYPART_SIBL
(8,11),(8,17),-0.0203461 # DEPENDENCYPART_SIBL
(8,11),(8,18),-0.0253775 # DEPENDENCYPART_SIBL
(8,11),(8,23),-0.0262103 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.239135 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.0983548 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.0743434 # DEPENDENCYPART_SIBL
(8,12),(8,16),-0.045053 # DEPENDENCYPART_SIBL
(8,12),(8,17),0.0273287 # DEPENDENCYPART_SIBL
(8,12),(8,18),-0.0819854 # DEPENDENCYPART_SIBL
(8,12),(8,23),0.100945 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.0407415 # DEPENDENCYPART_SIBL
(8,13),(8,15),-0.058802 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.0568316 # DEPENDENCYPART_SIBL
(8,13),(8,17),0.0333086 # DEPENDENCYPART_SIBL
(8,13),(8,18),-0.066444 # DEPENDENCYPART_SIBL
(8,13),(8,23),0.0643665 # DEPENDENCYPART_SIBL
(8,14),(8,15),0.0428705 # DEPENDENCYPART_SIBL
(8,14),(8,16),-0.06843 # DEPENDENCYPART_SIBL
(8,14),(8,17),-0.00200814 # DEPENDENCYPART_SIBL
(8,14),(8,18),0.0256188 # DEPENDENCYPART_SIBL
(8,14),(8,23),-0.0112277 # DEPENDENCYPART_SIBL
(8,15),(8,16),-0.0203934 # DEPENDENCYPART_SIBL
(8,15),(8,17),-0.0242781 # DEPENDENCYPART_SIBL
(8,15),(8,18),-0.0213969 # DEPENDENCYPART_SIBL
(8,15),(8,23),-0.0402743 # DEPENDENCYPART_SIBL
(8,16),(8,17),-0.046498 # DEPENDENCYPART_SIBL
(8,16),(8,18),-0.0294041 # DEPENDENCYPART_SIBL
(8,16),(8,23),0.0351516 # DEPENDENCYPART_SIBL
(8,17),(8,18),-0.0230528 # DEPENDENCYPART_SIBL
(8,17),(8,23),0.0502044 # DEPENDENCYPART_SIBL
(8,18),(8,23),-0.0378237 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.0404358 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.0385222 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.150029 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.0380878 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.0315495 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.0342575 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.138699 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.146127 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.147096 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.115225 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.15163 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.152599 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.03934 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0347941 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.0573662 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.0402071 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.0303069 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.0646295 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.00032577 # DEPENDENCYPART_SIBL
(10,1),(10,15),-0.0687993 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0683113 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0621475 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.116271 # DEPENDENCYPART_SIBL
(10,8),(10,15),0.0593807 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.064406 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.0472106 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.0629144 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0211651 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.000280289 # DEPENDENCYPART_SIBL
(10,12),(10,15),0.0158332 # DEPENDENCYPART_SIBL
(11,1),(11,8),-0.0409882 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.0310727 # DEPENDENCYPART_SIBL
(11,1),(11,10),0.00508674 # DEPENDENCYPART_SIBL
(11,1),(11,12),0.00754563 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.0683095 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.00678264 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.125284 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.0524961 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.0541566 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.632895 # DEPENDENCYPART_SIBL
(12,2),(12,5),-0.178429 # DEPENDENCYPART_SIBL
(12,2),(12,8),-0.106137 # DEPENDENCYPART_SIBL
(12,2),(12,10),-0.255133 # DEPENDENCYPART_SIBL
(12,2),(12,11),-0.211378 # DEPENDENCYPART_SIBL
(12,2),(12,13),-0.127291 # DEPENDENCYPART_SIBL
(12,2),(12,14),-0.202746 # DEPENDENCYPART_SIBL
(12,2),(12,16),-0.0332808 # DEPENDENCYPART_SIBL
(12,2),(12,17),-0.0119036 # DEPENDENCYPART_SIBL
(12,2),(12,22),-0.0771645 # DEPENDENCYPART_SIBL
(12,5),(12,8),-0.103608 # DEPENDENCYPART_SIBL
(12,5),(12,10),-0.253212 # DEPENDENCYPART_SIBL
(12,5),(12,11),-0.209456 # DEPENDENCYPART_SIBL
(12,5),(12,13),-0.129115 # DEPENDENCYPART_SIBL
(12,5),(12,14),-0.220885 # DEPENDENCYPART_SIBL
(12,5),(12,16),-0.0365887 # DEPENDENCYPART_SIBL
(12,5),(12,17),-0.0145425 # DEPENDENCYPART_SIBL
(12,5),(12,22),-0.0789892 # DEPENDENCYPART_SIBL
(12,8),(12,10),-0.248175 # DEPENDENCYPART_SIBL
(12,8),(12,11),-0.204437 # DEPENDENCYPART_SIBL
(12,8),(12,13),-0.120143 # DEPENDENCYPART_SIBL
(12,8),(12,14),-0.206033 # DEPENDENCYPART_SIBL
(12,8),(12,16),-0.0364911 # DEPENDENCYPART_SIBL
(12,8),(12,17),-0.0141286 # DEPENDENCYPART_SIBL
(12,8),(12,22),-0.07008 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.145148 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.0316801 # DEPENDENCYPART_SIBL
(12,10),(12,14),0.0573211 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.00133979 # DEPENDENCYPART_SIBL
(12,10),(12,17),0.0434759 # DEPENDENCYPART_SIBL
(12,10),(12,22),0.0478912 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.0888484 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.021746 # DEPENDENCYPART_SIBL
(12,11),(12,16),-0.0403114 # DEPENDENCYPART_SIBL
(12,11),(12,17),0.0288781 # DEPENDENCYPART_SIBL
(12,11),(12,22),-0.00870866 # DEPENDENCYPART_SIBL
(12,13),(12,14),0.136273 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.0255077 # DEPENDENCYPART_SIBL
(12,13),(12,17),-0.018365 # DEPENDENCYPART_SIBL
(12,13),(12,22),-0.100377 # DEPENDENCYPART_SIBL
(12,14),(12,16),-0.0755637 # DEPENDENCYPART_SIBL
(12,14),(12,17),0.0302302 # DEPENDENCYPART_SIBL
(12,14),(12,22),0.208825 # DEPENDENCYPART_SIBL
(12,16),(12,17),-0.0868677 # DEPENDENCYPART_SIBL
(12,16),(12,22),-0.0727143 # DEPENDENCYPART_SIBL
(12,17),(12,22),0.0731788 # DEPENDENCYPART_SIBL
(13,1),(13,2),0.072964 # DEPENDENCYPART_SIBL
(13,1),(13,3),0.0708292 # DEPENDENCYPART_SIBL
(13,1),(13,4),0.355715 # DEPENDENCYPART_SIBL
(13,1),(13,5),0.0576274 # DEPENDENCYPART_SIBL
(13,1),(13,6),0.355715 # DEPENDENCYPART_SIBL
(13,1),(13,7),0.0728368 # DEPENDENCYPART_SIBL
(13,1),(13,8),0.0809653 # DEPENDENCYPART_SIBL
(13,1),(13,9),0.0316375 # DEPENDENCYPART_SIBL
(13,1),(13,10),0.0448615 # DEPENDENCYPART_SIBL
(13,1),(13,11),0.073284 # DEPENDENCYPART_SIBL
(13,1),(13,12),-0.0259663 # DEPENDENCYPART_SIBL
(13,1),(13,14),0.053612 # DEPENDENCYPART_SIBL
(13,1),(13,15),-0.0360444 # DEPENDENCYPART_SIBL
(13,1),(13,16),0.0129265 # DEPENDENCYPART_SIBL
(13,1),(13,17),0.0107306 # DEPENDENCYPART_SIBL
(13,1),(13,18),-0.0407594 # DEPENDENCYPART_SIBL
(13,1),(13,19),-0.0322908 # DEPENDENCYPART_SIBL
(13,1),(13,20),-0.036064 # DEPENDENCYPART_SIBL
(13,1),(13,21),-0.0355146 # DEPENDENCYPART_SIBL
(13,1),(13,22),-0.0128372 # DEPENDENCYPART_SIBL
(13,1),(13,23),0.17337 # DEPENDENCYPART_SIBL
(13,2),(13,3),0.116195 # DEPENDENCYPART_SIBL
(13,2),(13,4),0.160332 # DEPENDENCYPART_SIBL
(13,2),(13,5),0.0833856 # DEPENDENCYPART_SIBL
(13,2),(13,6),0.160332 # DEPENDENCYPART_SIBL
(13,2),(13,7),0.113458 # DEPENDENCYPART_SIBL
(13,2),(13,8),0.160774 # DEPENDENCYPART_SIBL
(13,2),(13,9),0.0310278 # DEPENDENCYPART_SIBL
(13,2),(13,10),0.104782 # DEPENDENCYPART_SIBL
(13,2),(13,11),0.15396 # DEPENDENCYPART_SIBL
(13,2),(13,12),0.262058 # DEPENDENCYPART_SIBL
(13,2),(13,14),-0.00820427 # DEPENDENCYPART_SIBL
(13,2),(13,15),0.0108668 # DEPENDENCYPART_SIBL
(13,2),(13,16),0.0470301 # DEPENDENCYPART_SIBL
(13,2),(13,17),0.0279545 # DEPENDENCYPART_SIBL
(13,2),(13,18),0.0101545 # DEPENDENCYPART_SIBL
(13,2),(13,19),-0.0635076 # DEPENDENCYPART_SIBL
(13,2),(13,20),0.0108201 # DEPENDENCYPART_SIBL
(13,2),(13,21),0.026887 # DEPENDENCYPART_SIBL
(13,2),(13,22),0.0320625 # DEPENDENCYPART_SIBL
(13,2),(13,23),0.0265049 # DEPENDENCYPART_SIBL
(13,3),(13,4),0.194027 # DEPENDENCYPART_SIBL
(13,3),(13,5),0.102995 # DEPENDENCYPART_SIBL
(13,3),(13,6),0.194027 # DEPENDENCYPART_SIBL
(13,3),(13,7),0.132461 # DEPENDENCYPART_SIBL
(13,3),(13,8),0.179776 # DEPENDENCYPART_SIBL
(13,3),(13,9),0.0394679 # DEPENDENCYPART_SIBL
(13,3),(13,10),0.112007 # DEPENDENCYPART_SIBL
(13,3),(13,11),0.161184 # DEPENDENCYPART_SIBL
(13,3),(13,12),0.268488 # DEPENDENCYPART_SIBL
(13,3),(13,14),-0.00189393 # DEPENDENCYPART_SIBL
(13,3),(13,15),0.0307869 # DEPENDENCYPART_SIBL
(13,3),(13,16),0.060368 # DEPENDENCYPART_SIBL
(13,3),(13,17),0.0411856 # DEPENDENCYPART_SIBL
(13,3),(13,18),0.0300746 # DEPENDENCYPART_SIBL
(13,3),(13,19),-0.0545101 # DEPENDENCYPART_SIBL
(13,3),(13,20),0.0307401 # DEPENDENCYPART_SIBL
(13,3),(13,21),0.0468071 # DEPENDENCYPART_SIBL
(13,3),(13,22),0.0500003 # DEPENDENCYPART_SIBL
(13,3),(13,23),0.0693636 # DEPENDENCYPART_SIBL
(13,4),(13,5),0.0952735 # DEPENDENCYPART_SIBL
(13,4),(13,6),0.562311 # DEPENDENCYPART_SIBL
(13,4),(13,7),0.129859 # DEPENDENCYPART_SIBL
(13,4),(13,8),0.148229 # DEPENDENCYPART_SIBL
(13,4),(13,9),0.175758 # DEPENDENCYPART_SIBL
(13,4),(13,10),0.0898164 # DEPENDENCYPART_SIBL
(13,4),(13,11),0.123854 # DEPENDENCYPART_SIBL
(13,4),(13,12),0.163122 # DEPENDENCYPART_SIBL
(13,4),(13,14),0.132808 # DEPENDENCYPART_SIBL
(13,4),(13,15),0.0118299 # DEPENDENCYPART_SIBL
(13,4),(13,16),0.0655601 # DEPENDENCYPART_SIBL
(13,4),(13,17),0.0687629 # DEPENDENCYPART_SIBL
(13,4),(13,18),-0.00694853 # DEPENDENCYPART_SIBL
(13,4),(13,19),0.0511962 # DEPENDENCYPART_SIBL
