# _root_ One customer , Dayna Brunsdon , says she spurned a color portrait for black and white because `` it 's more dramatic .
#goldHeads=2,7,2,5,2,2,0,9,7,12,12,9,9,13,14,15,9,20,20,17,22,20,7,
#predictedHeads=2,7,2,5,2,2,0,9,7,12,12,9,12,13,14,15,9,17,20,17,22,20,7,
(7,2),(7,16),0.0272618 # DEPENDENCYPART_SIBL
(7,2),(7,17),0.0709103 # DEPENDENCYPART_SIBL
(7,2),(7,18),-0.0393404 # DEPENDENCYPART_SIBL
(7,2),(7,20),0.00987944 # DEPENDENCYPART_SIBL
(7,2),(7,21),-0.0593933 # DEPENDENCYPART_SIBL
(7,2),(7,22),0.0153294 # DEPENDENCYPART_SIBL
(7,2),(7,23),0.12499 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.126528 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.126528 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.328597 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.00448129 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0027886 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0275247 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.0299052 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.102328 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.0107028 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.129055 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.000917645 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.0120664 # DEPENDENCYPART_SIBL
(7,3),(7,18),-0.0656741 # DEPENDENCYPART_SIBL
(7,3),(7,20),-0.0907053 # DEPENDENCYPART_SIBL
(7,3),(7,21),-0.100227 # DEPENDENCYPART_SIBL
(7,3),(7,22),-0.00447769 # DEPENDENCYPART_SIBL
(7,3),(7,23),-0.00580342 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.468516 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.330235 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0480409 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.05069 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.10376 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.104167 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0515147 # DEPENDENCYPART_SIBL
(7,4),(7,14),0.0143572 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.0200383 # DEPENDENCYPART_SIBL
(7,4),(7,16),0.0295467 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.0256667 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.0461869 # DEPENDENCYPART_SIBL
(7,4),(7,20),0.0480365 # DEPENDENCYPART_SIBL
(7,4),(7,21),-0.122443 # DEPENDENCYPART_SIBL
(7,4),(7,22),0.0176066 # DEPENDENCYPART_SIBL
(7,4),(7,23),0.210961 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.330235 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0480409 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.05069 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.10376 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.104167 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0515147 # DEPENDENCYPART_SIBL
(7,5),(7,14),0.0143572 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.0200383 # DEPENDENCYPART_SIBL
(7,5),(7,16),0.0295467 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.0256667 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.0461869 # DEPENDENCYPART_SIBL
(7,5),(7,20),0.0480365 # DEPENDENCYPART_SIBL
(7,5),(7,21),-0.122443 # DEPENDENCYPART_SIBL
(7,5),(7,22),0.0176066 # DEPENDENCYPART_SIBL
(7,5),(7,23),0.210961 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.00448129 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0027886 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.0275247 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.0299052 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.102328 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.0107028 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.129055 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.000917645 # DEPENDENCYPART_SIBL
(7,6),(7,17),-0.0120664 # DEPENDENCYPART_SIBL
(7,6),(7,18),-0.0656741 # DEPENDENCYPART_SIBL
(7,6),(7,20),-0.0907053 # DEPENDENCYPART_SIBL
(7,6),(7,21),-0.100227 # DEPENDENCYPART_SIBL
(7,6),(7,22),-0.00447769 # DEPENDENCYPART_SIBL
(7,6),(7,23),-0.00580342 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0831846 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.15578 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.15451 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.193031 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.052124 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.127799 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.0538524 # DEPENDENCYPART_SIBL
(7,8),(7,17),-0.138969 # DEPENDENCYPART_SIBL
(7,8),(7,18),-0.0858102 # DEPENDENCYPART_SIBL
(7,8),(7,20),-0.127502 # DEPENDENCYPART_SIBL
(7,8),(7,21),-0.0804896 # DEPENDENCYPART_SIBL
(7,8),(7,22),-0.0568325 # DEPENDENCYPART_SIBL
(7,8),(7,23),-0.169376 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.276511 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.275242 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.219944 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.18723 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.0383247 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.188912 # DEPENDENCYPART_SIBL
(7,9),(7,17),-0.16373 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.0605823 # DEPENDENCYPART_SIBL
(7,9),(7,20),-0.295893 # DEPENDENCYPART_SIBL
(7,9),(7,21),-0.151231 # DEPENDENCYPART_SIBL
(7,9),(7,22),-0.191407 # DEPENDENCYPART_SIBL
(7,9),(7,23),-0.00859899 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.334054 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.146334 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.07507 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.0632613 # DEPENDENCYPART_SIBL
(7,11),(7,16),-0.0851158 # DEPENDENCYPART_SIBL
(7,11),(7,17),0.049155 # DEPENDENCYPART_SIBL
(7,11),(7,18),0.00458611 # DEPENDENCYPART_SIBL
(7,11),(7,20),-0.188934 # DEPENDENCYPART_SIBL
(7,11),(7,21),-0.0602222 # DEPENDENCYPART_SIBL
(7,11),(7,22),-0.0988914 # DEPENDENCYPART_SIBL
(7,11),(7,23),-0.201615 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.140218 # DEPENDENCYPART_SIBL
(7,12),(7,14),-0.0713765 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.0581322 # DEPENDENCYPART_SIBL
(7,12),(7,16),-0.0814224 # DEPENDENCYPART_SIBL
(7,12),(7,17),0.0552387 # DEPENDENCYPART_SIBL
(7,12),(7,18),0.0111967 # DEPENDENCYPART_SIBL
(7,12),(7,20),-0.184594 # DEPENDENCYPART_SIBL
(7,12),(7,21),-0.0558824 # DEPENDENCYPART_SIBL
(7,12),(7,22),-0.0951979 # DEPENDENCYPART_SIBL
(7,12),(7,23),-0.195328 # DEPENDENCYPART_SIBL
(7,13),(7,14),-0.138995 # DEPENDENCYPART_SIBL
(7,13),(7,15),0.000186525 # DEPENDENCYPART_SIBL
(7,13),(7,16),-0.150404 # DEPENDENCYPART_SIBL
(7,13),(7,17),-0.101923 # DEPENDENCYPART_SIBL
(7,13),(7,18),0.0540296 # DEPENDENCYPART_SIBL
(7,13),(7,20),-0.149004 # DEPENDENCYPART_SIBL
(7,13),(7,21),-0.18037 # DEPENDENCYPART_SIBL
(7,13),(7,22),-0.149206 # DEPENDENCYPART_SIBL
(7,13),(7,23),-0.0128644 # DEPENDENCYPART_SIBL
(7,14),(7,15),-0.0269192 # DEPENDENCYPART_SIBL
(7,14),(7,16),-0.203729 # DEPENDENCYPART_SIBL
(7,14),(7,17),0.0936423 # DEPENDENCYPART_SIBL
(7,14),(7,18),0.0271383 # DEPENDENCYPART_SIBL
(7,14),(7,20),-0.148137 # DEPENDENCYPART_SIBL
(7,14),(7,21),-0.135671 # DEPENDENCYPART_SIBL
(7,14),(7,22),-0.21665 # DEPENDENCYPART_SIBL
(7,14),(7,23),-0.09079 # DEPENDENCYPART_SIBL
(7,15),(7,16),-0.120992 # DEPENDENCYPART_SIBL
(7,15),(7,17),-0.221961 # DEPENDENCYPART_SIBL
(7,15),(7,18),0.0351868 # DEPENDENCYPART_SIBL
(7,15),(7,20),-0.193567 # DEPENDENCYPART_SIBL
(7,15),(7,21),-0.111987 # DEPENDENCYPART_SIBL
(7,15),(7,22),-0.12224 # DEPENDENCYPART_SIBL
(7,15),(7,23),-0.0413645 # DEPENDENCYPART_SIBL
(7,16),(7,17),0.109622 # DEPENDENCYPART_SIBL
(7,16),(7,18),0.0316406 # DEPENDENCYPART_SIBL
(7,16),(7,20),-0.143075 # DEPENDENCYPART_SIBL
(7,16),(7,21),-0.131169 # DEPENDENCYPART_SIBL
(7,16),(7,22),-0.212155 # DEPENDENCYPART_SIBL
(7,16),(7,23),-0.0711014 # DEPENDENCYPART_SIBL
(7,17),(7,18),0.0548988 # DEPENDENCYPART_SIBL
(7,17),(7,20),-0.182144 # DEPENDENCYPART_SIBL
(7,17),(7,21),-0.177415 # DEPENDENCYPART_SIBL
(7,17),(7,22),-0.16464 # DEPENDENCYPART_SIBL
(7,17),(7,23),0.109386 # DEPENDENCYPART_SIBL
(7,18),(7,20),0.0226452 # DEPENDENCYPART_SIBL
(7,18),(7,21),-0.0620383 # DEPENDENCYPART_SIBL
(7,18),(7,22),0.0778783 # DEPENDENCYPART_SIBL
(7,18),(7,23),0.0152247 # DEPENDENCYPART_SIBL
(7,20),(7,21),-0.104054 # DEPENDENCYPART_SIBL
(7,20),(7,22),-0.0816888 # DEPENDENCYPART_SIBL
(7,20),(7,23),0.102702 # DEPENDENCYPART_SIBL
(7,21),(7,22),-0.0479839 # DEPENDENCYPART_SIBL
(7,21),(7,23),-0.149471 # DEPENDENCYPART_SIBL
(7,22),(7,23),-0.0910835 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.0294845 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.00804542 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.00590624 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.208942 # DEPENDENCYPART_SIBL
(9,1),(9,3),-0.172178 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.136424 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.136424 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.172178 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.23522 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.224615 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.0481092 # DEPENDENCYPART_SIBL
(9,1),(9,11),0.0505353 # DEPENDENCYPART_SIBL
(9,1),(9,12),0.0467223 # DEPENDENCYPART_SIBL
(9,1),(9,13),-0.0548812 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.0183723 # DEPENDENCYPART_SIBL
(9,1),(9,15),0.0451438 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.018668 # DEPENDENCYPART_SIBL
(9,1),(9,17),0.0294708 # DEPENDENCYPART_SIBL
(9,1),(9,18),-0.108171 # DEPENDENCYPART_SIBL
(9,1),(9,19),-0.0110303 # DEPENDENCYPART_SIBL
(9,1),(9,20),-0.0596131 # DEPENDENCYPART_SIBL
(9,1),(9,21),-0.0676992 # DEPENDENCYPART_SIBL
(9,1),(9,22),-0.00478307 # DEPENDENCYPART_SIBL
(9,1),(9,23),0.0554482 # DEPENDENCYPART_SIBL
(9,2),(9,3),-0.0691344 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.387119 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.387119 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.0691344 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.242722 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.33353 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.112401 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.0238453 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.024644 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.0201645 # DEPENDENCYPART_SIBL
(9,2),(9,14),-0.0751856 # DEPENDENCYPART_SIBL
(9,2),(9,15),0.0205255 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.0697614 # DEPENDENCYPART_SIBL
(9,2),(9,17),-0.0188975 # DEPENDENCYPART_SIBL
(9,2),(9,18),-0.0271316 # DEPENDENCYPART_SIBL
(9,2),(9,19),-0.0759758 # DEPENDENCYPART_SIBL
(9,2),(9,20),-0.0371841 # DEPENDENCYPART_SIBL
(9,2),(9,21),-0.153898 # DEPENDENCYPART_SIBL
(9,2),(9,22),-0.053109 # DEPENDENCYPART_SIBL
(9,2),(9,23),0.00830342 # DEPENDENCYPART_SIBL
(9,3),(9,4),0.042004 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.042004 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.00775796 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.17676 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.0361775 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.0222535 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.00619091 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.00692996 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.0309746 # DEPENDENCYPART_SIBL
(9,3),(9,14),-0.0651581 # DEPENDENCYPART_SIBL
(9,3),(9,15),-0.0376254 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.0715213 # DEPENDENCYPART_SIBL
(9,3),(9,17),0.128035 # DEPENDENCYPART_SIBL
(9,3),(9,18),-0.0266648 # DEPENDENCYPART_SIBL
(9,3),(9,19),-0.0428485 # DEPENDENCYPART_SIBL
(9,3),(9,20),-0.0766899 # DEPENDENCYPART_SIBL
(9,3),(9,21),-0.117663 # DEPENDENCYPART_SIBL
(9,3),(9,22),-0.0486943 # DEPENDENCYPART_SIBL
(9,3),(9,23),0.0907148 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.456525 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.0405164 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.233187 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.379974 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0573823 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.0114991 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.0150018 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.051181 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.0769297 # DEPENDENCYPART_SIBL
(9,4),(9,15),0.0362056 # DEPENDENCYPART_SIBL
(9,4),(9,16),-0.0572754 # DEPENDENCYPART_SIBL
(9,4),(9,17),0.00599319 # DEPENDENCYPART_SIBL
(9,4),(9,18),-0.0149633 # DEPENDENCYPART_SIBL
(9,4),(9,19),0.0311908 # DEPENDENCYPART_SIBL
(9,4),(9,20),-0.0109963 # DEPENDENCYPART_SIBL
(9,4),(9,21),-0.156867 # DEPENDENCYPART_SIBL
(9,4),(9,22),-0.0400367 # DEPENDENCYPART_SIBL
(9,4),(9,23),0.0151829 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.0405164 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.233187 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.379974 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.0573823 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.0114991 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.0150018 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.051181 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.0769297 # DEPENDENCYPART_SIBL
(9,5),(9,15),0.0362056 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.0572754 # DEPENDENCYPART_SIBL
(9,5),(9,17),0.00599319 # DEPENDENCYPART_SIBL
(9,5),(9,18),-0.0149633 # DEPENDENCYPART_SIBL
(9,5),(9,19),0.0311908 # DEPENDENCYPART_SIBL
(9,5),(9,20),-0.0109963 # DEPENDENCYPART_SIBL
(9,5),(9,21),-0.156867 # DEPENDENCYPART_SIBL
(9,5),(9,22),-0.0400367 # DEPENDENCYPART_SIBL
(9,5),(9,23),0.0151829 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.17676 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.0361775 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0222535 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.00619091 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.00692996 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.0309746 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.0651581 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.0376254 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.0715213 # DEPENDENCYPART_SIBL
(9,6),(9,17),0.128035 # DEPENDENCYPART_SIBL
(9,6),(9,18),-0.0266648 # DEPENDENCYPART_SIBL
(9,6),(9,19),-0.0428485 # DEPENDENCYPART_SIBL
(9,6),(9,20),-0.0766899 # DEPENDENCYPART_SIBL
(9,6),(9,21),-0.117663 # DEPENDENCYPART_SIBL
(9,6),(9,22),-0.0486943 # DEPENDENCYPART_SIBL
(9,6),(9,23),0.0907148 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0211578 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.11941 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0751266 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.0759112 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.129792 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.109854 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.0127425 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.109936 # DEPENDENCYPART_SIBL
(9,7),(9,17),-0.0902539 # DEPENDENCYPART_SIBL
(9,7),(9,18),-0.0981052 # DEPENDENCYPART_SIBL
(9,7),(9,19),-0.103052 # DEPENDENCYPART_SIBL
(9,7),(9,20),-0.15552 # DEPENDENCYPART_SIBL
(9,7),(9,21),-0.137356 # DEPENDENCYPART_SIBL
(9,7),(9,22),-0.094499 # DEPENDENCYPART_SIBL
(9,7),(9,23),-0.036656 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.095687 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0971579 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0972211 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.131611 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.0238398 # DEPENDENCYPART_SIBL
(9,8),(9,15),0.124539 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.0253136 # DEPENDENCYPART_SIBL
(9,8),(9,17),0.138935 # DEPENDENCYPART_SIBL
(9,8),(9,18),0.0550321 # DEPENDENCYPART_SIBL
(9,8),(9,19),-0.0156836 # DEPENDENCYPART_SIBL
(9,8),(9,20),0.0440822 # DEPENDENCYPART_SIBL
(9,8),(9,21),-0.0590906 # DEPENDENCYPART_SIBL
(9,8),(9,22),0.000309979 # DEPENDENCYPART_SIBL
(9,8),(9,23),0.0191271 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.184213 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.18638 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.078942 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.130262 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.0649504 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.131263 # DEPENDENCYPART_SIBL
(9,10),(9,17),-0.0715775 # DEPENDENCYPART_SIBL
(9,10),(9,18),-0.143118 # DEPENDENCYPART_SIBL
(9,10),(9,19),-0.133246 # DEPENDENCYPART_SIBL
(9,10),(9,20),-0.0776806 # DEPENDENCYPART_SIBL
(9,10),(9,21),-0.102999 # DEPENDENCYPART_SIBL
(9,10),(9,22),-0.11716 # DEPENDENCYPART_SIBL
(9,10),(9,23),-0.137623 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.195866 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.0037341 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.0450023 # DEPENDENCYPART_SIBL
(9,11),(9,15),0.0228657 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.0552805 # DEPENDENCYPART_SIBL
(9,11),(9,17),0.217364 # DEPENDENCYPART_SIBL
(9,11),(9,18),-0.00801684 # DEPENDENCYPART_SIBL
(9,11),(9,19),-0.141462 # DEPENDENCYPART_SIBL
(9,11),(9,20),-0.0277368 # DEPENDENCYPART_SIBL
(9,11),(9,21),0.038818 # DEPENDENCYPART_SIBL
(9,11),(9,22),-0.0490344 # DEPENDENCYPART_SIBL
(9,11),(9,23),0.0133562 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.00354842 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.0459488 # DEPENDENCYPART_SIBL
(9,12),(9,15),0.0229063 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.056227 # DEPENDENCYPART_SIBL
(9,12),(9,17),0.217533 # DEPENDENCYPART_SIBL
(9,12),(9,18),-0.00650465 # DEPENDENCYPART_SIBL
(9,12),(9,19),-0.142221 # DEPENDENCYPART_SIBL
(9,12),(9,20),-0.0284954 # DEPENDENCYPART_SIBL
(9,12),(9,21),0.0380594 # DEPENDENCYPART_SIBL
(9,12),(9,22),-0.049981 # DEPENDENCYPART_SIBL
(9,12),(9,23),0.0113007 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.0521505 # DEPENDENCYPART_SIBL
(9,13),(9,15),0.0350332 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.062921 # DEPENDENCYPART_SIBL
(9,13),(9,17),0.063327 # DEPENDENCYPART_SIBL
(9,13),(9,18),-0.0291454 # DEPENDENCYPART_SIBL
(9,13),(9,19),-0.238946 # DEPENDENCYPART_SIBL
(9,13),(9,20),-0.00743225 # DEPENDENCYPART_SIBL
(9,13),(9,21),-0.112105 # DEPENDENCYPART_SIBL
(9,13),(9,22),-0.0378184 # DEPENDENCYPART_SIBL
(9,13),(9,23),-0.0295865 # DEPENDENCYPART_SIBL
(9,14),(9,15),-0.0100682 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.220403 # DEPENDENCYPART_SIBL
(9,14),(9,17),0.12265 # DEPENDENCYPART_SIBL
(9,14),(9,18),-0.104983 # DEPENDENCYPART_SIBL
(9,14),(9,19),-0.145476 # DEPENDENCYPART_SIBL
(9,14),(9,20),-0.0581048 # DEPENDENCYPART_SIBL
(9,14),(9,21),-0.131425 # DEPENDENCYPART_SIBL
(9,14),(9,22),-0.21628 # DEPENDENCYPART_SIBL
(9,14),(9,23),-0.0441686 # DEPENDENCYPART_SIBL
(9,15),(9,16),-0.111812 # DEPENDENCYPART_SIBL
(9,15),(9,17),-0.102232 # DEPENDENCYPART_SIBL
(9,15),(9,18),-0.0423404 # DEPENDENCYPART_SIBL
(9,15),(9,19),0.0129136 # DEPENDENCYPART_SIBL
(9,15),(9,20),-0.0479892 # DEPENDENCYPART_SIBL
(9,15),(9,21),-0.106738 # DEPENDENCYPART_SIBL
(9,15),(9,22),-0.0960174 # DEPENDENCYPART_SIBL
(9,15),(9,23),0.0431635 # DEPENDENCYPART_SIBL
(9,16),(9,17),0.144862 # DEPENDENCYPART_SIBL
(9,16),(9,18),-0.0924407 # DEPENDENCYPART_SIBL
(9,16),(9,19),-0.132932 # DEPENDENCYPART_SIBL
(9,16),(9,20),-0.0452027 # DEPENDENCYPART_SIBL
(9,16),(9,21),-0.118882 # DEPENDENCYPART_SIBL
(9,16),(9,22),-0.203745 # DEPENDENCYPART_SIBL
(9,16),(9,23),-0.010426 # DEPENDENCYPART_SIBL
(9,17),(9,18),-0.0696478 # DEPENDENCYPART_SIBL
(9,17),(9,19),-0.304403 # DEPENDENCYPART_SIBL
(9,17),(9,20),-0.108331 # DEPENDENCYPART_SIBL
(9,17),(9,21),-0.191183 # DEPENDENCYPART_SIBL
(9,17),(9,22),-0.130264 # DEPENDENCYPART_SIBL
(9,17),(9,23),0.039988 # DEPENDENCYPART_SIBL
(9,18),(9,19),-0.109238 # DEPENDENCYPART_SIBL
(9,18),(9,20),0.241384 # DEPENDENCYPART_SIBL
(9,18),(9,21),-0.0452821 # DEPENDENCYPART_SIBL
(9,18),(9,22),0.0431746 # DEPENDENCYPART_SIBL
(9,18),(9,23),0.0487622 # DEPENDENCYPART_SIBL
(9,19),(9,20),0.235295 # DEPENDENCYPART_SIBL
(9,19),(9,21),0.0252331 # DEPENDENCYPART_SIBL
(9,19),(9,22),0.12249 # DEPENDENCYPART_SIBL
(9,19),(9,23),-0.0323561 # DEPENDENCYPART_SIBL
(9,20),(9,21),-0.209429 # DEPENDENCYPART_SIBL
(9,20),(9,22),-0.17595 # DEPENDENCYPART_SIBL
(9,20),(9,23),0.0255104 # DEPENDENCYPART_SIBL
(9,21),(9,22),-0.00296021 # DEPENDENCYPART_SIBL
(9,21),(9,23),-0.0531497 # DEPENDENCYPART_SIBL
(9,22),(9,23),0.0159476 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.0148066 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.0149337 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.118813 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.148795 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.0739079 # DEPENDENCYPART_SIBL
(11,10),(11,17),-0.131871 # DEPENDENCYPART_SIBL
(11,10),(11,20),0.281705 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.071503 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.00286266 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.0300026 # DEPENDENCYPART_SIBL
(11,12),(11,17),0.0453122 # DEPENDENCYPART_SIBL
(11,12),(11,20),-0.0766844 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.118928 # DEPENDENCYPART_SIBL
(11,13),(11,15),0.214112 # DEPENDENCYPART_SIBL
(11,13),(11,17),0.125109 # DEPENDENCYPART_SIBL
(11,13),(11,20),0.0190457 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.0152485 # DEPENDENCYPART_SIBL
(11,14),(11,17),0.0760679 # DEPENDENCYPART_SIBL
(11,14),(11,20),-0.0391729 # DEPENDENCYPART_SIBL
(11,15),(11,17),-0.134775 # DEPENDENCYPART_SIBL
(11,15),(11,20),-0.0470782 # DEPENDENCYPART_SIBL
