# _root_ Applied , then a closely held company , was stagnating under the management of its controlling family .
#goldHeads=9,7,7,7,6,7,1,7,0,9,10,13,11,13,17,17,14,9,
#predictedHeads=9,1,6,7,6,7,1,1,0,9,10,13,11,13,17,17,14,9,
(6,5),(6,13),-0.0999362 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0285847 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.056527 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.0956042 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.0450803 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0111201 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.00732748 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.037277 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.145445 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.162053 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.00294746 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.0290321 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.159829 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.0511422 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.283055 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.758994 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.320178 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.156028 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.130531 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.754176 # DEPENDENCYPART_SIBL
(6,8),(6,17),0.110747 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.0242917 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0302911 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.0360658 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.171507 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.0985388 # DEPENDENCYPART_SIBL
(6,9),(6,16),0.0270761 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.171863 # DEPENDENCYPART_SIBL
(6,9),(6,18),0.00257237 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0724766 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.244202 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.148132 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.14864 # DEPENDENCYPART_SIBL
(6,10),(6,17),-0.243877 # DEPENDENCYPART_SIBL
(6,10),(6,18),0.0323874 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.183616 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.229699 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.0236011 # DEPENDENCYPART_SIBL
(6,11),(6,17),-0.182986 # DEPENDENCYPART_SIBL
(6,11),(6,18),-0.142289 # DEPENDENCYPART_SIBL
(6,13),(6,14),0.00139804 # DEPENDENCYPART_SIBL
(6,13),(6,16),0.0727224 # DEPENDENCYPART_SIBL
(6,13),(6,17),-0.150674 # DEPENDENCYPART_SIBL
(6,13),(6,18),0.0726748 # DEPENDENCYPART_SIBL
(6,14),(6,16),-0.128724 # DEPENDENCYPART_SIBL
(6,14),(6,17),-0.142434 # DEPENDENCYPART_SIBL
(6,14),(6,18),-0.23096 # DEPENDENCYPART_SIBL
(6,16),(6,17),-0.243926 # DEPENDENCYPART_SIBL
(6,16),(6,18),0.0333223 # DEPENDENCYPART_SIBL
(6,17),(6,18),0.101544 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.098354 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0227745 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.486356 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0224771 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0665025 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.037937 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0420654 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0120006 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.161622 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.0721293 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.199424 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0202279 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.0641821 # DEPENDENCYPART_SIBL
(7,1),(7,18),-0.0222088 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.058749 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.114691 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.056731 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.112136 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0491633 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.121862 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.153384 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0223185 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0196999 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.0620768 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.171038 # DEPENDENCYPART_SIBL
(7,2),(7,17),-0.00618701 # DEPENDENCYPART_SIBL
(7,2),(7,18),0.0872885 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0776224 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0302739 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0733797 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0181201 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0195254 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.020806 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.118306 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0626223 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.100077 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.0306531 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.0485611 # DEPENDENCYPART_SIBL
(7,3),(7,18),0.0396324 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.135562 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.417831 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.117891 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.1627 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.401418 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0118283 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0419763 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.0176401 # DEPENDENCYPART_SIBL
(7,4),(7,16),0.375336 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.0449053 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.033263 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0882677 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0228261 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0136239 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.00732575 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0589104 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0671588 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.0611697 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.00252129 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.0530997 # DEPENDENCYPART_SIBL
(7,5),(7,18),0.0722043 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0015839 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0098875 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0315001 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0723073 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0331695 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.0876008 # DEPENDENCYPART_SIBL
(7,6),(7,16),0.0285629 # DEPENDENCYPART_SIBL
(7,6),(7,17),-0.0262829 # DEPENDENCYPART_SIBL
(7,6),(7,18),0.044815 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.528399 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.551365 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.426152 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.723835 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.348554 # DEPENDENCYPART_SIBL
(7,8),(7,16),0.549882 # DEPENDENCYPART_SIBL
(7,8),(7,17),0.682417 # DEPENDENCYPART_SIBL
(7,8),(7,18),-0.00355325 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0146878 # DEPENDENCYPART_SIBL
(7,9),(7,11),0.0713952 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0759013 # DEPENDENCYPART_SIBL
(7,9),(7,14),0.00414903 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.0147344 # DEPENDENCYPART_SIBL
(7,9),(7,17),-0.0673373 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.0254495 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.104039 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.0517364 # DEPENDENCYPART_SIBL
(7,10),(7,14),0.0987704 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.111814 # DEPENDENCYPART_SIBL
(7,10),(7,17),-0.0425641 # DEPENDENCYPART_SIBL
(7,10),(7,18),0.0266095 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.0208704 # DEPENDENCYPART_SIBL
(7,11),(7,14),0.0422304 # DEPENDENCYPART_SIBL
(7,11),(7,16),0.0604773 # DEPENDENCYPART_SIBL
(7,11),(7,17),-0.00986664 # DEPENDENCYPART_SIBL
(7,11),(7,18),-0.00134049 # DEPENDENCYPART_SIBL
(7,13),(7,14),0.0651817 # DEPENDENCYPART_SIBL
(7,13),(7,16),-0.0541744 # DEPENDENCYPART_SIBL
(7,13),(7,17),-0.113753 # DEPENDENCYPART_SIBL
(7,13),(7,18),-0.0591256 # DEPENDENCYPART_SIBL
(7,14),(7,16),-0.0347692 # DEPENDENCYPART_SIBL
(7,14),(7,17),0.0223767 # DEPENDENCYPART_SIBL
(7,14),(7,18),-0.0891037 # DEPENDENCYPART_SIBL
(7,16),(7,17),-0.0445316 # DEPENDENCYPART_SIBL
(7,16),(7,18),0.0257234 # DEPENDENCYPART_SIBL
(7,17),(7,18),-0.0404674 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.00219387 # DEPENDENCYPART_SIBL
(9,1),(9,3),-0.0401853 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.272556 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.0236345 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.0209367 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.283113 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.00219387 # DEPENDENCYPART_SIBL
(9,1),(9,10),0.021971 # DEPENDENCYPART_SIBL
(9,1),(9,11),0.0498328 # DEPENDENCYPART_SIBL
(9,1),(9,13),-0.0562713 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.0662382 # DEPENDENCYPART_SIBL
(9,1),(9,16),0.0168741 # DEPENDENCYPART_SIBL
(9,1),(9,17),-0.0181636 # DEPENDENCYPART_SIBL
(9,1),(9,18),-0.0105886 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.0284939 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.101085 # DEPENDENCYPART_SIBL
(9,2),(9,5),0.0108673 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.139434 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.0192802 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.000959273 # DEPENDENCYPART_SIBL
(9,2),(9,10),0.0171047 # DEPENDENCYPART_SIBL
(9,2),(9,11),0.106454 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.0260499 # DEPENDENCYPART_SIBL
(9,2),(9,14),-0.11518 # DEPENDENCYPART_SIBL
(9,2),(9,16),0.035692 # DEPENDENCYPART_SIBL
(9,2),(9,17),0.0102411 # DEPENDENCYPART_SIBL
(9,2),(9,18),0.0636823 # DEPENDENCYPART_SIBL
(9,3),(9,4),0.142955 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.0993593 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.105694 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.0991258 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.414752 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.0289171 # DEPENDENCYPART_SIBL
(9,3),(9,11),0.0295998 # DEPENDENCYPART_SIBL
(9,3),(9,13),0.0964674 # DEPENDENCYPART_SIBL
(9,3),(9,14),-0.137605 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.0365853 # DEPENDENCYPART_SIBL
(9,3),(9,17),0.128663 # DEPENDENCYPART_SIBL
(9,3),(9,18),0.09574 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.102961 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.137752 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.272384 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.0532681 # DEPENDENCYPART_SIBL
(9,4),(9,10),0.142212 # DEPENDENCYPART_SIBL
(9,4),(9,11),0.179907 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.0174391 # DEPENDENCYPART_SIBL
(9,4),(9,14),0.0842504 # DEPENDENCYPART_SIBL
(9,4),(9,16),0.128596 # DEPENDENCYPART_SIBL
(9,4),(9,17),0.00429278 # DEPENDENCYPART_SIBL
(9,4),(9,18),0.0394655 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.0158805 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.0524398 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.234932 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.0616451 # DEPENDENCYPART_SIBL
(9,5),(9,11),0.00336001 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.0211976 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.161486 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.0693133 # DEPENDENCYPART_SIBL
(9,5),(9,17),0.0109957 # DEPENDENCYPART_SIBL
(9,5),(9,18),0.021239 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.0637609 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.392574 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.00145755 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.0822884 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.000485738 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.048236 # DEPENDENCYPART_SIBL
(9,6),(9,16),0.00174192 # DEPENDENCYPART_SIBL
(9,6),(9,17),0.0257853 # DEPENDENCYPART_SIBL
(9,6),(9,18),0.107835 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.161836 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.043323 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.0882514 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0544956 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.0811038 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.0496679 # DEPENDENCYPART_SIBL
(9,7),(9,17),-0.00550659 # DEPENDENCYPART_SIBL
(9,7),(9,18),-0.0192368 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.0171047 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.106454 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0260499 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.11518 # DEPENDENCYPART_SIBL
(9,8),(9,16),0.035692 # DEPENDENCYPART_SIBL
(9,8),(9,17),0.0102411 # DEPENDENCYPART_SIBL
(9,8),(9,18),0.0636823 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.213801 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.354889 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.276465 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.322763 # DEPENDENCYPART_SIBL
(9,10),(9,17),-0.35093 # DEPENDENCYPART_SIBL
(9,10),(9,18),-0.00302228 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.101135 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.298399 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.0149078 # DEPENDENCYPART_SIBL
(9,11),(9,17),-0.0940075 # DEPENDENCYPART_SIBL
(9,11),(9,18),-0.00464612 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.124924 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.101459 # DEPENDENCYPART_SIBL
(9,13),(9,17),-0.24279 # DEPENDENCYPART_SIBL
(9,13),(9,18),-0.0337777 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.173451 # DEPENDENCYPART_SIBL
(9,14),(9,17),-0.100293 # DEPENDENCYPART_SIBL
(9,14),(9,18),-0.0815554 # DEPENDENCYPART_SIBL
(9,16),(9,17),-0.352102 # DEPENDENCYPART_SIBL
(9,16),(9,18),-0.00537899 # DEPENDENCYPART_SIBL
(9,17),(9,18),0.0719286 # DEPENDENCYPART_SIBL
(10,1),(10,3),0.0119033 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.0269237 # DEPENDENCYPART_SIBL
(10,1),(10,6),0.0271163 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.0432852 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.166308 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.0195361 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.00103274 # DEPENDENCYPART_SIBL
(10,1),(10,13),0.0399778 # DEPENDENCYPART_SIBL
(10,1),(10,14),-0.0318145 # DEPENDENCYPART_SIBL
(10,1),(10,15),-0.0213355 # DEPENDENCYPART_SIBL
(10,1),(10,16),-0.0134998 # DEPENDENCYPART_SIBL
(10,1),(10,17),0.0459772 # DEPENDENCYPART_SIBL
(10,1),(10,18),0.0966078 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.0108752 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.0681665 # DEPENDENCYPART_SIBL
(10,3),(10,7),0.0185506 # DEPENDENCYPART_SIBL
(10,3),(10,8),0.0334787 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.0578646 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.0120162 # DEPENDENCYPART_SIBL
(10,3),(10,13),0.0176625 # DEPENDENCYPART_SIBL
(10,3),(10,14),-0.0788283 # DEPENDENCYPART_SIBL
(10,3),(10,15),-0.0402155 # DEPENDENCYPART_SIBL
(10,3),(10,16),-0.0351882 # DEPENDENCYPART_SIBL
(10,3),(10,17),0.0234791 # DEPENDENCYPART_SIBL
(10,3),(10,18),0.0555096 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.0645097 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.00497344 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.0621042 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.001257 # DEPENDENCYPART_SIBL
(10,5),(10,12),0.0126644 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.00878826 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.0237555 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.031954 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.0271379 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.00297379 # DEPENDENCYPART_SIBL
(10,5),(10,18),0.0675736 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.0238964 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.274507 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.0328516 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.000475694 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.00413061 # DEPENDENCYPART_SIBL
(10,6),(10,14),0.059887 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.00608138 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.00672228 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.00427409 # DEPENDENCYPART_SIBL
(10,6),(10,18),0.05456 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.0791992 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.0329889 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0232979 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.0341539 # DEPENDENCYPART_SIBL
(10,7),(10,14),0.00385267 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.0118975 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.020703 # DEPENDENCYPART_SIBL
(10,7),(10,17),0.0374738 # DEPENDENCYPART_SIBL
(10,7),(10,18),0.0386564 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0214956 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0251761 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0258545 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.0214634 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.0274899 # DEPENDENCYPART_SIBL
(10,8),(10,16),0.0225209 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.0194977 # DEPENDENCYPART_SIBL
(10,8),(10,18),0.127601 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0847326 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.133174 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.17337 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.0855829 # DEPENDENCYPART_SIBL
(10,11),(10,16),0.0561412 # DEPENDENCYPART_SIBL
(10,11),(10,17),-0.130775 # DEPENDENCYPART_SIBL
(10,11),(10,18),-0.0435783 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.154623 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.0944395 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.0681655 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.0595435 # DEPENDENCYPART_SIBL
(10,12),(10,17),-0.153971 # DEPENDENCYPART_SIBL
(10,12),(10,18),-0.111206 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.0236537 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.0232783 # DEPENDENCYPART_SIBL
(10,13),(10,16),0.0166739 # DEPENDENCYPART_SIBL
(10,13),(10,17),-0.159459 # DEPENDENCYPART_SIBL
(10,13),(10,18),-0.0235135 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.125644 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.0200188 # DEPENDENCYPART_SIBL
(10,14),(10,17),-0.0829511 # DEPENDENCYPART_SIBL
(10,14),(10,18),-0.0865997 # DEPENDENCYPART_SIBL
(10,15),(10,16),0.0097484 # DEPENDENCYPART_SIBL
(10,15),(10,17),-0.0793609 # DEPENDENCYPART_SIBL
(10,15),(10,18),-0.096393 # DEPENDENCYPART_SIBL
(10,16),(10,17),-0.233591 # DEPENDENCYPART_SIBL
(10,16),(10,18),0.0100507 # DEPENDENCYPART_SIBL
(10,17),(10,18),-0.0132754 # DEPENDENCYPART_SIBL
(11,3),(11,7),0.003864 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.00851031 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.0150566 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.0572133 # DEPENDENCYPART_SIBL
(11,3),(11,13),0.0301219 # DEPENDENCYPART_SIBL
(11,3),(11,14),0.043498 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.0541023 # DEPENDENCYPART_SIBL
(11,3),(11,17),0.0632561 # DEPENDENCYPART_SIBL
(11,3),(11,18),0.146381 # DEPENDENCYPART_SIBL
(11,7),(11,8),-0.0420146 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.0193159 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.0879605 # DEPENDENCYPART_SIBL
(11,7),(11,13),0.0553179 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.0480183 # DEPENDENCYPART_SIBL
(11,7),(11,16),-0.0667071 # DEPENDENCYPART_SIBL
(11,7),(11,17),0.0760382 # DEPENDENCYPART_SIBL
(11,7),(11,18),0.0433853 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.0664846 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.0315225 # DEPENDENCYPART_SIBL
(11,8),(11,13),0.0218188 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.0398906 # DEPENDENCYPART_SIBL
(11,8),(11,16),-0.00493592 # DEPENDENCYPART_SIBL
(11,8),(11,17),0.0501555 # DEPENDENCYPART_SIBL
(11,8),(11,18),0.0808945 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0619273 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.00692849 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.028113 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.0665508 # DEPENDENCYPART_SIBL
(11,10),(11,17),0.0225616 # DEPENDENCYPART_SIBL
(11,10),(11,18),0.0511096 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.475243 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.114046 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.419579 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.480935 # DEPENDENCYPART_SIBL
(11,12),(11,18),-0.197766 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.0390399 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.571628 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.797537 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.0871694 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.196463 # DEPENDENCYPART_SIBL
(11,14),(11,17),0.200748 # DEPENDENCYPART_SIBL
(11,14),(11,18),0.0143348 # DEPENDENCYPART_SIBL
(11,16),(11,17),-0.573352 # DEPENDENCYPART_SIBL
(11,16),(11,18),-0.0371542 # DEPENDENCYPART_SIBL
(11,17),(11,18),-0.067077 # DEPENDENCYPART_SIBL
(13,3),(13,6),-0.101521 # DEPENDENCYPART_SIBL
(13,3),(13,8),0.0464609 # DEPENDENCYPART_SIBL
(13,3),(13,10),-0.0375194 # DEPENDENCYPART_SIBL
(13,3),(13,11),0.0891964 # DEPENDENCYPART_SIBL
(13,3),(13,12),-0.144231 # DEPENDENCYPART_SIBL
(13,3),(13,14),-0.0421429 # DEPENDENCYPART_SIBL
(13,3),(13,15),-0.105342 # DEPENDENCYPART_SIBL
(13,3),(13,16),-0.0808937 # DEPENDENCYPART_SIBL
(13,3),(13,17),-0.0460735 # DEPENDENCYPART_SIBL
(13,3),(13,18),0.0183868 # DEPENDENCYPART_SIBL
(13,6),(13,8),0.347419 # DEPENDENCYPART_SIBL
(13,6),(13,10),0.0106746 # DEPENDENCYPART_SIBL
(13,6),(13,11),-0.118039 # DEPENDENCYPART_SIBL
(13,6),(13,12),-0.38021 # DEPENDENCYPART_SIBL
(13,6),(13,14),0.00724967 # DEPENDENCYPART_SIBL
(13,6),(13,15),-0.0312913 # DEPENDENCYPART_SIBL
(13,6),(13,16),-0.00185901 # DEPENDENCYPART_SIBL
(13,6),(13,17),-0.00639751 # DEPENDENCYPART_SIBL
(13,6),(13,18),0.0382177 # DEPENDENCYPART_SIBL
(13,8),(13,10),-0.00138429 # DEPENDENCYPART_SIBL
(13,8),(13,11),0.104232 # DEPENDENCYPART_SIBL
