# _root_ Fewer people said they were working up a sweat with such activities as jogging , tennis , swimming and aerobics .
#goldHeads=2,3,0,5,3,5,6,9,6,6,12,10,12,19,19,19,19,19,13,19,3,
#predictedHeads=2,3,0,5,3,5,6,9,6,9,12,10,12,19,19,19,19,19,13,19,3,
(21,21),(21,-1),-0.0337536 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(0,2),(2,1),0.473171 # DEPENDENCYPART_GRANDPAR
(0,2),(2,3),1.05936 # DEPENDENCYPART_GRANDPAR
(0,2),(2,4),0.171435 # DEPENDENCYPART_GRANDPAR
(0,2),(2,5),0.367779 # DEPENDENCYPART_GRANDPAR
(0,2),(2,6),0.294271 # DEPENDENCYPART_GRANDPAR
(0,2),(2,10),0.301369 # DEPENDENCYPART_GRANDPAR
(0,2),(2,17),-0.0883394 # DEPENDENCYPART_GRANDPAR
(0,3),(3,1),0.485941 # DEPENDENCYPART_GRANDPAR
(0,3),(3,2),0.56896 # DEPENDENCYPART_GRANDPAR
(0,3),(3,4),0.00710218 # DEPENDENCYPART_GRANDPAR
(0,3),(3,5),0.271367 # DEPENDENCYPART_GRANDPAR
(0,3),(3,6),0.261874 # DEPENDENCYPART_GRANDPAR
(0,3),(3,7),-0.100136 # DEPENDENCYPART_GRANDPAR
(0,3),(3,9),-0.12124 # DEPENDENCYPART_GRANDPAR
(0,3),(3,10),0.34294 # DEPENDENCYPART_GRANDPAR
(0,3),(3,12),0.00420525 # DEPENDENCYPART_GRANDPAR
(0,3),(3,13),-0.0654102 # DEPENDENCYPART_GRANDPAR
(0,3),(3,15),0.376871 # DEPENDENCYPART_GRANDPAR
(0,3),(3,17),-0.137307 # DEPENDENCYPART_GRANDPAR
(0,3),(3,19),-0.418942 # DEPENDENCYPART_GRANDPAR
(0,3),(3,21),2.48377 # DEPENDENCYPART_GRANDPAR
(0,5),(5,1),0.586213 # DEPENDENCYPART_GRANDPAR
(0,5),(5,2),0.549398 # DEPENDENCYPART_GRANDPAR
(0,5),(5,3),0.884821 # DEPENDENCYPART_GRANDPAR
(0,5),(5,4),-0.0586961 # DEPENDENCYPART_GRANDPAR
(0,5),(5,6),0.307273 # DEPENDENCYPART_GRANDPAR
(0,5),(5,7),-0.000436534 # DEPENDENCYPART_GRANDPAR
(0,5),(5,9),0.0867006 # DEPENDENCYPART_GRANDPAR
(0,5),(5,10),0.458596 # DEPENDENCYPART_GRANDPAR
(0,5),(5,12),0.212146 # DEPENDENCYPART_GRANDPAR
(0,5),(5,13),0.0313001 # DEPENDENCYPART_GRANDPAR
(0,5),(5,15),0.462174 # DEPENDENCYPART_GRANDPAR
(0,5),(5,17),-0.0520041 # DEPENDENCYPART_GRANDPAR
(0,5),(5,19),-0.41895 # DEPENDENCYPART_GRANDPAR
(0,5),(5,21),2.37657 # DEPENDENCYPART_GRANDPAR
(0,6),(6,2),0.54188 # DEPENDENCYPART_GRANDPAR
(0,6),(6,3),0.838442 # DEPENDENCYPART_GRANDPAR
(0,6),(6,4),-0.0794082 # DEPENDENCYPART_GRANDPAR
(0,6),(6,5),0.276661 # DEPENDENCYPART_GRANDPAR
(0,6),(6,7),-0.0860476 # DEPENDENCYPART_GRANDPAR
(0,6),(6,8),-0.235442 # DEPENDENCYPART_GRANDPAR
(0,6),(6,9),0.0157704 # DEPENDENCYPART_GRANDPAR
(0,6),(6,10),0.426866 # DEPENDENCYPART_GRANDPAR
(0,6),(6,11),-0.494778 # DEPENDENCYPART_GRANDPAR
(0,6),(6,12),0.141216 # DEPENDENCYPART_GRANDPAR
(0,6),(6,13),0.0191491 # DEPENDENCYPART_GRANDPAR
(0,6),(6,14),-0.21727 # DEPENDENCYPART_GRANDPAR
(0,6),(6,15),0.386199 # DEPENDENCYPART_GRANDPAR
(0,6),(6,16),0.0277431 # DEPENDENCYPART_GRANDPAR
(0,6),(6,17),-0.127979 # DEPENDENCYPART_GRANDPAR
(0,6),(6,19),-0.464844 # DEPENDENCYPART_GRANDPAR
(0,6),(6,20),-0.117241 # DEPENDENCYPART_GRANDPAR
(0,6),(6,21),2.25957 # DEPENDENCYPART_GRANDPAR
(0,19),(19,2),0.434991 # DEPENDENCYPART_GRANDPAR
(0,19),(19,3),1.17833 # DEPENDENCYPART_GRANDPAR
(0,19),(19,4),-0.0435822 # DEPENDENCYPART_GRANDPAR
(0,19),(19,5),0.633668 # DEPENDENCYPART_GRANDPAR
(0,19),(19,6),0.490148 # DEPENDENCYPART_GRANDPAR
(0,19),(19,8),-0.602959 # DEPENDENCYPART_GRANDPAR
(0,19),(19,9),-0.329275 # DEPENDENCYPART_GRANDPAR
(0,19),(19,10),-0.183047 # DEPENDENCYPART_GRANDPAR
(0,19),(19,11),-0.789601 # DEPENDENCYPART_GRANDPAR
(0,19),(19,12),-0.221148 # DEPENDENCYPART_GRANDPAR
(0,19),(19,13),-0.55513 # DEPENDENCYPART_GRANDPAR
(0,19),(19,14),-0.566188 # DEPENDENCYPART_GRANDPAR
(0,19),(19,15),0.5135 # DEPENDENCYPART_GRANDPAR
(0,19),(19,16),-0.322925 # DEPENDENCYPART_GRANDPAR
(0,19),(19,17),-0.000678653 # DEPENDENCYPART_GRANDPAR
(0,19),(19,18),-0.442481 # DEPENDENCYPART_GRANDPAR
(0,19),(19,20),-0.279595 # DEPENDENCYPART_GRANDPAR
(0,19),(19,21),2.23584 # DEPENDENCYPART_GRANDPAR
(1,3),(3,1),-1.00348 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,3),(3,2),0.489533 # DEPENDENCYPART_GRANDPAR
(1,3),(3,4),0.141933 # DEPENDENCYPART_GRANDPAR
(1,3),(3,5),0.195226 # DEPENDENCYPART_GRANDPAR
(1,3),(3,6),0.123595 # DEPENDENCYPART_GRANDPAR
(1,3),(3,7),0.0601397 # DEPENDENCYPART_GRANDPAR
(1,3),(3,9),-0.453432 # DEPENDENCYPART_GRANDPAR
(1,3),(3,10),0.137834 # DEPENDENCYPART_GRANDPAR
(1,3),(3,12),-0.524675 # DEPENDENCYPART_GRANDPAR
(1,3),(3,13),-0.0117168 # DEPENDENCYPART_GRANDPAR
(1,3),(3,15),0.24769 # DEPENDENCYPART_GRANDPAR
(1,3),(3,17),0.196681 # DEPENDENCYPART_GRANDPAR
(1,3),(3,19),-0.111384 # DEPENDENCYPART_GRANDPAR
(1,3),(3,21),-0.43231 # DEPENDENCYPART_GRANDPAR
(1,5),(5,1),-0.956329 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,5),(5,2),0.490803 # DEPENDENCYPART_GRANDPAR
(1,5),(5,3),0.215792 # DEPENDENCYPART_GRANDPAR
(1,5),(5,4),0.23888 # DEPENDENCYPART_GRANDPAR
(1,5),(5,6),0.0527545 # DEPENDENCYPART_GRANDPAR
(1,5),(5,7),0.0605095 # DEPENDENCYPART_GRANDPAR
(1,5),(5,9),-0.374896 # DEPENDENCYPART_GRANDPAR
(1,5),(5,10),0.134002 # DEPENDENCYPART_GRANDPAR
(1,5),(5,12),-0.446138 # DEPENDENCYPART_GRANDPAR
(1,5),(5,13),-0.0236439 # DEPENDENCYPART_GRANDPAR
(1,5),(5,15),0.205657 # DEPENDENCYPART_GRANDPAR
(1,5),(5,17),0.154648 # DEPENDENCYPART_GRANDPAR
(1,5),(5,19),-0.131651 # DEPENDENCYPART_GRANDPAR
(1,5),(5,21),-0.516184 # DEPENDENCYPART_GRANDPAR
(2,1),(1,3),-0.468543 # DEPENDENCYPART_GRANDPAR
(2,1),(1,5),-0.602017 # DEPENDENCYPART_GRANDPAR
(2,3),(3,1),-0.125556 # DEPENDENCYPART_GRANDPAR
(2,3),(3,2),-0.630457 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,3),(3,4),0.015599 # DEPENDENCYPART_GRANDPAR
(2,3),(3,5),0.00998937 # DEPENDENCYPART_GRANDPAR
(2,3),(3,6),-0.168887 # DEPENDENCYPART_GRANDPAR
(2,3),(3,7),-0.163575 # DEPENDENCYPART_GRANDPAR
(2,3),(3,9),-0.325002 # DEPENDENCYPART_GRANDPAR
(2,3),(3,10),0.382008 # DEPENDENCYPART_GRANDPAR
(2,3),(3,12),-0.331939 # DEPENDENCYPART_GRANDPAR
(2,3),(3,13),0.259649 # DEPENDENCYPART_GRANDPAR
(2,3),(3,15),-0.195398 # DEPENDENCYPART_GRANDPAR
(2,3),(3,17),-0.243548 # DEPENDENCYPART_GRANDPAR
(2,3),(3,19),-0.144127 # DEPENDENCYPART_GRANDPAR
(2,3),(3,21),-0.803525 # DEPENDENCYPART_GRANDPAR
(2,4),(4,5),-0.0494819 # DEPENDENCYPART_GRANDPAR
(2,5),(5,1),-0.124585 # DEPENDENCYPART_GRANDPAR
(2,5),(5,2),-0.618601 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,5),(5,3),0.124802 # DEPENDENCYPART_GRANDPAR
(2,5),(5,4),0.0216671 # DEPENDENCYPART_GRANDPAR
(2,5),(5,6),-0.248617 # DEPENDENCYPART_GRANDPAR
(2,5),(5,7),-0.163523 # DEPENDENCYPART_GRANDPAR
(2,5),(5,9),-0.23375 # DEPENDENCYPART_GRANDPAR
(2,5),(5,10),0.363041 # DEPENDENCYPART_GRANDPAR
(2,5),(5,12),-0.240687 # DEPENDENCYPART_GRANDPAR
(2,5),(5,13),0.237958 # DEPENDENCYPART_GRANDPAR
(2,5),(5,15),-0.218654 # DEPENDENCYPART_GRANDPAR
(2,5),(5,17),-0.266804 # DEPENDENCYPART_GRANDPAR
(2,5),(5,19),-0.134787 # DEPENDENCYPART_GRANDPAR
(2,5),(5,21),-0.883208 # DEPENDENCYPART_GRANDPAR
(2,6),(6,2),-0.632217 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,6),(6,3),0.104786 # DEPENDENCYPART_GRANDPAR
(2,6),(6,4),0.0138876 # DEPENDENCYPART_GRANDPAR
(2,6),(6,5),-0.0398449 # DEPENDENCYPART_GRANDPAR
(2,6),(6,7),-0.157606 # DEPENDENCYPART_GRANDPAR
(2,6),(6,8),-0.00445927 # DEPENDENCYPART_GRANDPAR
(2,6),(6,9),-0.21676 # DEPENDENCYPART_GRANDPAR
(2,6),(6,10),0.444152 # DEPENDENCYPART_GRANDPAR
(2,6),(6,11),-0.31503 # DEPENDENCYPART_GRANDPAR
(2,6),(6,12),-0.223697 # DEPENDENCYPART_GRANDPAR
(2,6),(6,13),0.314567 # DEPENDENCYPART_GRANDPAR
(2,6),(6,14),-0.478641 # DEPENDENCYPART_GRANDPAR
(2,6),(6,15),-0.203828 # DEPENDENCYPART_GRANDPAR
(2,6),(6,16),-0.369444 # DEPENDENCYPART_GRANDPAR
(2,6),(6,17),-0.251978 # DEPENDENCYPART_GRANDPAR
(2,6),(6,19),-0.134661 # DEPENDENCYPART_GRANDPAR
(2,6),(6,20),-0.518776 # DEPENDENCYPART_GRANDPAR
(2,6),(6,21),-0.890019 # DEPENDENCYPART_GRANDPAR
(2,10),(10,8),0.249014 # DEPENDENCYPART_GRANDPAR
(2,10),(10,9),-0.484779 # DEPENDENCYPART_GRANDPAR
(2,10),(10,11),-0.317585 # DEPENDENCYPART_GRANDPAR
(2,10),(10,12),-0.130832 # DEPENDENCYPART_GRANDPAR
(2,10),(10,13),0.151466 # DEPENDENCYPART_GRANDPAR
(2,10),(10,14),-0.413594 # DEPENDENCYPART_GRANDPAR
(2,10),(10,15),-0.233599 # DEPENDENCYPART_GRANDPAR
(2,10),(10,16),-0.304397 # DEPENDENCYPART_GRANDPAR
(2,10),(10,19),-0.207047 # DEPENDENCYPART_GRANDPAR
(2,10),(10,20),-0.455453 # DEPENDENCYPART_GRANDPAR
(3,1),(1,3),-0.89828 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,1),(1,5),0.337745 # DEPENDENCYPART_GRANDPAR
(3,2),(2,1),0.44422 # DEPENDENCYPART_GRANDPAR
(3,2),(2,3),-0.905309 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,2),(2,4),0.447891 # DEPENDENCYPART_GRANDPAR
(3,2),(2,5),0.330556 # DEPENDENCYPART_GRANDPAR
(3,2),(2,6),0.123799 # DEPENDENCYPART_GRANDPAR
(3,2),(2,10),-0.140778 # DEPENDENCYPART_GRANDPAR
(3,2),(2,17),-0.441024 # DEPENDENCYPART_GRANDPAR
(3,4),(4,5),0.643152 # DEPENDENCYPART_GRANDPAR
(3,5),(5,1),-0.0413838 # DEPENDENCYPART_GRANDPAR
(3,5),(5,2),-0.416222 # DEPENDENCYPART_GRANDPAR
(3,5),(5,3),-0.54783 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,5),(5,4),0.973219 # DEPENDENCYPART_GRANDPAR
(3,5),(5,6),0.527009 # DEPENDENCYPART_GRANDPAR
(3,5),(5,7),0.149485 # DEPENDENCYPART_GRANDPAR
(3,5),(5,9),0.183059 # DEPENDENCYPART_GRANDPAR
(3,5),(5,10),0.0313869 # DEPENDENCYPART_GRANDPAR
(3,5),(5,12),0.0838938 # DEPENDENCYPART_GRANDPAR
(3,5),(5,13),0.161369 # DEPENDENCYPART_GRANDPAR
(3,5),(5,15),0.542917 # DEPENDENCYPART_GRANDPAR
(3,5),(5,17),0.461725 # DEPENDENCYPART_GRANDPAR
(3,5),(5,19),0.361289 # DEPENDENCYPART_GRANDPAR
(3,5),(5,21),-0.257043 # DEPENDENCYPART_GRANDPAR
(3,6),(6,2),-0.409325 # DEPENDENCYPART_GRANDPAR
(3,6),(6,3),-0.605185 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,6),(6,4),0.899219 # DEPENDENCYPART_GRANDPAR
(3,6),(6,5),0.653432 # DEPENDENCYPART_GRANDPAR
(3,6),(6,7),0.195775 # DEPENDENCYPART_GRANDPAR
(3,6),(6,8),-0.150138 # DEPENDENCYPART_GRANDPAR
(3,6),(6,9),0.203708 # DEPENDENCYPART_GRANDPAR
(3,6),(6,10),0.150785 # DEPENDENCYPART_GRANDPAR
(3,6),(6,11),-0.211496 # DEPENDENCYPART_GRANDPAR
(3,6),(6,12),0.104543 # DEPENDENCYPART_GRANDPAR
(3,6),(6,13),0.289929 # DEPENDENCYPART_GRANDPAR
(3,6),(6,14),-0.259868 # DEPENDENCYPART_GRANDPAR
(3,6),(6,15),0.641766 # DEPENDENCYPART_GRANDPAR
(3,6),(6,16),-0.457645 # DEPENDENCYPART_GRANDPAR
(3,6),(6,17),0.560573 # DEPENDENCYPART_GRANDPAR
(3,6),(6,19),0.468571 # DEPENDENCYPART_GRANDPAR
(3,6),(6,20),-0.314906 # DEPENDENCYPART_GRANDPAR
(3,6),(6,21),-0.215792 # DEPENDENCYPART_GRANDPAR
(3,7),(7,6),0.477772 # DEPENDENCYPART_GRANDPAR
(3,7),(7,9),-0.0689154 # DEPENDENCYPART_GRANDPAR
(3,7),(7,12),-0.17264 # DEPENDENCYPART_GRANDPAR
(3,7),(7,19),0.163572 # DEPENDENCYPART_GRANDPAR
(3,9),(9,4),0.640887 # DEPENDENCYPART_GRANDPAR
(3,9),(9,7),-0.122045 # DEPENDENCYPART_GRANDPAR
(3,9),(9,8),-0.323192 # DEPENDENCYPART_GRANDPAR
(3,9),(9,10),-0.179701 # DEPENDENCYPART_GRANDPAR
(3,9),(9,11),-0.38227 # DEPENDENCYPART_GRANDPAR
(3,9),(9,12),-0.0705715 # DEPENDENCYPART_GRANDPAR
(3,9),(9,13),-0.0503277 # DEPENDENCYPART_GRANDPAR
(3,9),(9,14),-0.432701 # DEPENDENCYPART_GRANDPAR
(3,9),(9,15),0.445564 # DEPENDENCYPART_GRANDPAR
(3,9),(9,16),-0.629137 # DEPENDENCYPART_GRANDPAR
(3,9),(9,17),0.364372 # DEPENDENCYPART_GRANDPAR
(3,9),(9,19),0.19673 # DEPENDENCYPART_GRANDPAR
(3,9),(9,21),-0.274932 # DEPENDENCYPART_GRANDPAR
(3,10),(10,8),-0.486253 # DEPENDENCYPART_GRANDPAR
(3,10),(10,9),-0.266683 # DEPENDENCYPART_GRANDPAR
(3,10),(10,11),-0.384329 # DEPENDENCYPART_GRANDPAR
(3,10),(10,12),0.0206145 # DEPENDENCYPART_GRANDPAR
(3,10),(10,13),-0.048061 # DEPENDENCYPART_GRANDPAR
(3,10),(10,14),-0.360016 # DEPENDENCYPART_GRANDPAR
(3,10),(10,15),0.341349 # DEPENDENCYPART_GRANDPAR
(3,10),(10,16),-0.557793 # DEPENDENCYPART_GRANDPAR
(3,10),(10,19),0.368244 # DEPENDENCYPART_GRANDPAR
(3,10),(10,20),-0.415916 # DEPENDENCYPART_GRANDPAR
(3,12),(12,8),-0.303689 # DEPENDENCYPART_GRANDPAR
(3,12),(12,9),-0.129852 # DEPENDENCYPART_GRANDPAR
(3,12),(12,10),-0.321884 # DEPENDENCYPART_GRANDPAR
(3,12),(12,11),-0.547642 # DEPENDENCYPART_GRANDPAR
(3,12),(12,13),-0.0588514 # DEPENDENCYPART_GRANDPAR
(3,12),(12,14),-0.43663 # DEPENDENCYPART_GRANDPAR
(3,12),(12,15),0.438309 # DEPENDENCYPART_GRANDPAR
(3,12),(12,16),-0.633065 # DEPENDENCYPART_GRANDPAR
(3,12),(12,17),0.357117 # DEPENDENCYPART_GRANDPAR
(3,12),(12,19),0.189956 # DEPENDENCYPART_GRANDPAR
(3,13),(13,9),-0.163488 # DEPENDENCYPART_GRANDPAR
(3,13),(13,10),-0.0784495 # DEPENDENCYPART_GRANDPAR
(3,13),(13,11),-0.407389 # DEPENDENCYPART_GRANDPAR
(3,13),(13,12),-0.279026 # DEPENDENCYPART_GRANDPAR
(3,13),(13,14),-0.381026 # DEPENDENCYPART_GRANDPAR
(3,13),(13,15),0.395989 # DEPENDENCYPART_GRANDPAR
(3,13),(13,16),-0.578802 # DEPENDENCYPART_GRANDPAR
(3,13),(13,18),-0.362369 # DEPENDENCYPART_GRANDPAR
(3,13),(13,19),0.41802 # DEPENDENCYPART_GRANDPAR
(3,13),(13,20),-0.436925 # DEPENDENCYPART_GRANDPAR
(3,19),(19,2),-0.579718 # DEPENDENCYPART_GRANDPAR
(3,19),(19,3),-0.459833 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,19),(19,4),0.778011 # DEPENDENCYPART_GRANDPAR
(3,19),(19,5),0.871967 # DEPENDENCYPART_GRANDPAR
(3,19),(19,6),0.593492 # DEPENDENCYPART_GRANDPAR
(3,19),(19,8),-0.485978 # DEPENDENCYPART_GRANDPAR
(3,19),(19,9),-0.0619878 # DEPENDENCYPART_GRANDPAR
(3,19),(19,10),-0.146011 # DEPENDENCYPART_GRANDPAR
(3,19),(19,11),-0.545841 # DEPENDENCYPART_GRANDPAR
(3,19),(19,12),-0.184847 # DEPENDENCYPART_GRANDPAR
(3,19),(19,13),0.0112815 # DEPENDENCYPART_GRANDPAR
(3,19),(19,14),-0.524665 # DEPENDENCYPART_GRANDPAR
(3,19),(19,15),0.342074 # DEPENDENCYPART_GRANDPAR
(3,19),(19,16),-0.724161 # DEPENDENCYPART_GRANDPAR
(3,19),(19,17),0.260882 # DEPENDENCYPART_GRANDPAR
(3,19),(19,18),-0.518872 # DEPENDENCYPART_GRANDPAR
(3,19),(19,20),-0.479742 # DEPENDENCYPART_GRANDPAR
(3,19),(19,21),-0.275865 # DEPENDENCYPART_GRANDPAR
(4,5),(5,1),-0.34839 # DEPENDENCYPART_GRANDPAR
(4,5),(5,2),-0.481196 # DEPENDENCYPART_GRANDPAR
(4,5),(5,3),-0.347471 # DEPENDENCYPART_GRANDPAR
(4,5),(5,4),-0.728254 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,5),(5,6),0.0706606 # DEPENDENCYPART_GRANDPAR
(4,5),(5,7),-0.0423939 # DEPENDENCYPART_GRANDPAR
(4,5),(5,9),0.0725818 # DEPENDENCYPART_GRANDPAR
(4,5),(5,10),0.111422 # DEPENDENCYPART_GRANDPAR
(4,5),(5,12),-0.0071561 # DEPENDENCYPART_GRANDPAR
(4,5),(5,13),0.0605799 # DEPENDENCYPART_GRANDPAR
(4,5),(5,15),-0.0717195 # DEPENDENCYPART_GRANDPAR
(4,5),(5,17),-0.141168 # DEPENDENCYPART_GRANDPAR
(4,5),(5,19),-0.220539 # DEPENDENCYPART_GRANDPAR
(4,5),(5,21),-0.262685 # DEPENDENCYPART_GRANDPAR
(5,1),(1,3),0.192889 # DEPENDENCYPART_GRANDPAR
(5,1),(1,5),-0.865468 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,2),(2,1),0.312297 # DEPENDENCYPART_GRANDPAR
(5,2),(2,3),0.326495 # DEPENDENCYPART_GRANDPAR
(5,2),(2,4),0.0769469 # DEPENDENCYPART_GRANDPAR
(5,2),(2,5),-0.83263 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,2),(2,6),0.31834 # DEPENDENCYPART_GRANDPAR
(5,2),(2,10),0.137369 # DEPENDENCYPART_GRANDPAR
(5,2),(2,17),-0.475517 # DEPENDENCYPART_GRANDPAR
(5,3),(3,1),0.301966 # DEPENDENCYPART_GRANDPAR
(5,3),(3,2),-0.0166316 # DEPENDENCYPART_GRANDPAR
(5,3),(3,4),-0.0413429 # DEPENDENCYPART_GRANDPAR
(5,3),(3,5),-1.01877 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,3),(3,6),0.131824 # DEPENDENCYPART_GRANDPAR
(5,3),(3,7),-0.147542 # DEPENDENCYPART_GRANDPAR
(5,3),(3,9),-0.232993 # DEPENDENCYPART_GRANDPAR
(5,3),(3,10),-0.238427 # DEPENDENCYPART_GRANDPAR
(5,3),(3,12),-0.331455 # DEPENDENCYPART_GRANDPAR
(5,3),(3,13),-0.0779147 # DEPENDENCYPART_GRANDPAR
(5,3),(3,15),-0.379896 # DEPENDENCYPART_GRANDPAR
(5,3),(3,17),-0.535421 # DEPENDENCYPART_GRANDPAR
(5,3),(3,19),-0.0554952 # DEPENDENCYPART_GRANDPAR
(5,3),(3,21),-1.10023 # DEPENDENCYPART_GRANDPAR
(5,4),(4,5),-0.878695 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,6),(6,2),-0.635191 # DEPENDENCYPART_GRANDPAR
(5,6),(6,3),-0.265723 # DEPENDENCYPART_GRANDPAR
(5,6),(6,4),-0.343244 # DEPENDENCYPART_GRANDPAR
(5,6),(6,5),-0.667101 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,6),(6,7),0.329634 # DEPENDENCYPART_GRANDPAR
(5,6),(6,8),-0.0130289 # DEPENDENCYPART_GRANDPAR
(5,6),(6,9),0.464772 # DEPENDENCYPART_GRANDPAR
(5,6),(6,10),0.26454 # DEPENDENCYPART_GRANDPAR
(5,6),(6,11),-0.0868837 # DEPENDENCYPART_GRANDPAR
(5,6),(6,12),0.376619 # DEPENDENCYPART_GRANDPAR
(5,6),(6,13),0.483218 # DEPENDENCYPART_GRANDPAR
(5,6),(6,14),0.0389585 # DEPENDENCYPART_GRANDPAR
(5,6),(6,15),0.423644 # DEPENDENCYPART_GRANDPAR
(5,6),(6,16),-0.0563369 # DEPENDENCYPART_GRANDPAR
(5,6),(6,17),0.268119 # DEPENDENCYPART_GRANDPAR
(5,6),(6,19),0.731429 # DEPENDENCYPART_GRANDPAR
(5,6),(6,20),0.305399 # DEPENDENCYPART_GRANDPAR
(5,6),(6,21),-0.645002 # DEPENDENCYPART_GRANDPAR
(5,7),(7,6),0.628554 # DEPENDENCYPART_GRANDPAR
(5,7),(7,9),0.385755 # DEPENDENCYPART_GRANDPAR
(5,7),(7,12),0.293044 # DEPENDENCYPART_GRANDPAR
(5,7),(7,19),0.573944 # DEPENDENCYPART_GRANDPAR
(5,9),(9,4),-0.213757 # DEPENDENCYPART_GRANDPAR
(5,9),(9,7),0.245214 # DEPENDENCYPART_GRANDPAR
(5,9),(9,8),0.245057 # DEPENDENCYPART_GRANDPAR
(5,9),(9,10),0.0220078 # DEPENDENCYPART_GRANDPAR
(5,9),(9,11),-0.0323404 # DEPENDENCYPART_GRANDPAR
(5,9),(9,12),0.28933 # DEPENDENCYPART_GRANDPAR
(5,9),(9,13),0.247114 # DEPENDENCYPART_GRANDPAR
(5,9),(9,14),-0.0460518 # DEPENDENCYPART_GRANDPAR
(5,9),(9,15),0.359616 # DEPENDENCYPART_GRANDPAR
(5,9),(9,16),-0.140006 # DEPENDENCYPART_GRANDPAR
(5,9),(9,17),0.204091 # DEPENDENCYPART_GRANDPAR
(5,9),(9,19),0.595657 # DEPENDENCYPART_GRANDPAR
(5,9),(9,21),-0.563383 # DEPENDENCYPART_GRANDPAR
(5,10),(10,8),-0.0913883 # DEPENDENCYPART_GRANDPAR
(5,10),(10,9),0.170154 # DEPENDENCYPART_GRANDPAR
(5,10),(10,11),-0.0125575 # DEPENDENCYPART_GRANDPAR
(5,10),(10,12),0.476863 # DEPENDENCYPART_GRANDPAR
(5,10),(10,13),0.32879 # DEPENDENCYPART_GRANDPAR
(5,10),(10,14),0.122981 # DEPENDENCYPART_GRANDPAR
(5,10),(10,15),0.347364 # DEPENDENCYPART_GRANDPAR
(5,10),(10,16),0.0276855 # DEPENDENCYPART_GRANDPAR
(5,10),(10,19),0.825586 # DEPENDENCYPART_GRANDPAR
(5,10),(10,20),0.38856 # DEPENDENCYPART_GRANDPAR
(5,12),(12,8),0.264559 # DEPENDENCYPART_GRANDPAR
(5,12),(12,9),0.351908 # DEPENDENCYPART_GRANDPAR
(5,12),(12,10),-0.0134353 # DEPENDENCYPART_GRANDPAR
(5,12),(12,11),-0.149227 # DEPENDENCYPART_GRANDPAR
(5,12),(12,13),0.23859 # DEPENDENCYPART_GRANDPAR
(5,12),(12,14),-0.0499802 # DEPENDENCYPART_GRANDPAR
(5,12),(12,15),0.352361 # DEPENDENCYPART_GRANDPAR
(5,12),(12,16),-0.143934 # DEPENDENCYPART_GRANDPAR
(5,12),(12,17),0.196837 # DEPENDENCYPART_GRANDPAR
(5,12),(12,19),0.588883 # DEPENDENCYPART_GRANDPAR
(5,13),(13,9),0.268987 # DEPENDENCYPART_GRANDPAR
(5,13),(13,10),0.0979391 # DEPENDENCYPART_GRANDPAR
(5,13),(13,11),-0.153836 # DEPENDENCYPART_GRANDPAR
(5,13),(13,12),0.164178 # DEPENDENCYPART_GRANDPAR
(5,13),(13,14),0.100311 # DEPENDENCYPART_GRANDPAR
(5,13),(13,15),0.398259 # DEPENDENCYPART_GRANDPAR
(5,13),(13,16),0.0050152 # DEPENDENCYPART_GRANDPAR
(5,13),(13,18),0.36613 # DEPENDENCYPART_GRANDPAR
(5,13),(13,19),0.861111 # DEPENDENCYPART_GRANDPAR
(5,13),(13,20),0.36589 # DEPENDENCYPART_GRANDPAR
(5,19),(19,2),-0.80252 # DEPENDENCYPART_GRANDPAR
(5,19),(19,3),-0.428992 # DEPENDENCYPART_GRANDPAR
(5,19),(19,4),-0.429607 # DEPENDENCYPART_GRANDPAR
(5,19),(19,5),-0.482267 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,19),(19,6),0.616283 # DEPENDENCYPART_GRANDPAR
(5,19),(19,8),-0.105997 # DEPENDENCYPART_GRANDPAR
(5,19),(19,9),0.430012 # DEPENDENCYPART_GRANDPAR
(5,19),(19,10),0.0500847 # DEPENDENCYPART_GRANDPAR
(5,19),(19,11),-0.295332 # DEPENDENCYPART_GRANDPAR
(5,19),(19,12),0.317874 # DEPENDENCYPART_GRANDPAR
(5,19),(19,13),0.306449 # DEPENDENCYPART_GRANDPAR
(5,19),(19,14),0.00479012 # DEPENDENCYPART_GRANDPAR
(5,19),(19,15),0.409842 # DEPENDENCYPART_GRANDPAR
