# _root_ Under the circumstances , it wo n't be easy for GM to exceed its record 1988 fourth-quarter net of $ 1.4 billion , the spokesman acknowledged .
#goldHeads=6,3,1,6,6,26,6,6,8,13,13,13,8,18,18,18,18,13,18,19,20,20,26,25,26,0,26,
#predictedHeads=6,3,1,6,6,26,6,6,8,13,13,13,8,18,18,18,18,13,18,19,20,20,26,25,26,0,26,
(17,19),(19,20),-0.0595833 # DEPENDENCYPART_GRANDPAR
(17,19),(19,21),0.292226 # DEPENDENCYPART_GRANDPAR
(17,19),(19,22),0.284446 # DEPENDENCYPART_GRANDPAR
(17,19),(19,23),0.178233 # DEPENDENCYPART_GRANDPAR
(17,19),(19,25),-0.212812 # DEPENDENCYPART_GRANDPAR
(17,19),(19,26),-0.322948 # DEPENDENCYPART_GRANDPAR
(17,21),(21,17),-1.01324 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,21),(21,18),0.275166 # DEPENDENCYPART_GRANDPAR
(17,21),(21,20),-0.0465795 # DEPENDENCYPART_GRANDPAR
(17,21),(21,22),0.19356 # DEPENDENCYPART_GRANDPAR
(17,21),(21,23),0.0368328 # DEPENDENCYPART_GRANDPAR
(17,21),(21,25),-0.48879 # DEPENDENCYPART_GRANDPAR
(17,21),(21,26),-0.367105 # DEPENDENCYPART_GRANDPAR
(17,21),(21,27),-0.496283 # DEPENDENCYPART_GRANDPAR
(18,9),(9,5),-0.312983 # DEPENDENCYPART_GRANDPAR
(18,9),(9,7),0.169663 # DEPENDENCYPART_GRANDPAR
(18,9),(9,8),-0.206606 # DEPENDENCYPART_GRANDPAR
(18,9),(9,10),-0.413927 # DEPENDENCYPART_GRANDPAR
(18,9),(9,11),-0.278963 # DEPENDENCYPART_GRANDPAR
(18,9),(9,12),-0.199499 # DEPENDENCYPART_GRANDPAR
(18,9),(9,13),-0.00873527 # DEPENDENCYPART_GRANDPAR
(18,9),(9,15),0.453143 # DEPENDENCYPART_GRANDPAR
(18,9),(9,17),0.532674 # DEPENDENCYPART_GRANDPAR
(18,9),(9,18),-1.1446 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,9),(9,19),-0.142601 # DEPENDENCYPART_GRANDPAR
(18,9),(9,25),-0.207847 # DEPENDENCYPART_GRANDPAR
(18,9),(9,27),-0.565978 # DEPENDENCYPART_GRANDPAR
(18,10),(10,7),0.112896 # DEPENDENCYPART_GRANDPAR
(18,10),(10,9),-0.03695 # DEPENDENCYPART_GRANDPAR
(18,10),(10,11),-0.306565 # DEPENDENCYPART_GRANDPAR
(18,10),(10,12),-0.0154172 # DEPENDENCYPART_GRANDPAR
(18,10),(10,13),0.00908308 # DEPENDENCYPART_GRANDPAR
(18,10),(10,15),0.451962 # DEPENDENCYPART_GRANDPAR
(18,10),(10,16),0.71848 # DEPENDENCYPART_GRANDPAR
(18,10),(10,18),-1.1928 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,11),(11,9),-0.138504 # DEPENDENCYPART_GRANDPAR
(18,11),(11,10),-0.423899 # DEPENDENCYPART_GRANDPAR
(18,11),(11,13),0.0675306 # DEPENDENCYPART_GRANDPAR
(18,11),(11,15),0.517308 # DEPENDENCYPART_GRANDPAR
(18,11),(11,16),0.721797 # DEPENDENCYPART_GRANDPAR
(18,11),(11,19),-0.177089 # DEPENDENCYPART_GRANDPAR
(18,11),(11,27),-0.609433 # DEPENDENCYPART_GRANDPAR
(18,15),(15,9),-0.00340754 # DEPENDENCYPART_GRANDPAR
(18,15),(15,11),-0.0847667 # DEPENDENCYPART_GRANDPAR
(18,15),(15,12),0.00967167 # DEPENDENCYPART_GRANDPAR
(18,15),(15,14),-0.0168845 # DEPENDENCYPART_GRANDPAR
(18,15),(15,16),0.723887 # DEPENDENCYPART_GRANDPAR
(18,15),(15,17),0.533621 # DEPENDENCYPART_GRANDPAR
(18,15),(15,18),-1.14624 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,15),(15,19),-0.144234 # DEPENDENCYPART_GRANDPAR
(18,15),(15,25),-0.209491 # DEPENDENCYPART_GRANDPAR
(18,16),(16,14),-0.0859606 # DEPENDENCYPART_GRANDPAR
(18,16),(16,15),0.326514 # DEPENDENCYPART_GRANDPAR
(18,16),(16,17),0.568711 # DEPENDENCYPART_GRANDPAR
(18,16),(16,18),-1.13602 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,16),(16,19),-0.166233 # DEPENDENCYPART_GRANDPAR
(18,16),(16,20),-0.343574 # DEPENDENCYPART_GRANDPAR
(18,16),(16,21),-0.2433 # DEPENDENCYPART_GRANDPAR
(18,16),(16,22),-0.346673 # DEPENDENCYPART_GRANDPAR
(18,16),(16,25),-0.199266 # DEPENDENCYPART_GRANDPAR
(18,17),(17,9),-0.00411132 # DEPENDENCYPART_GRANDPAR
(18,17),(17,12),0.00720933 # DEPENDENCYPART_GRANDPAR
(18,17),(17,15),0.458805 # DEPENDENCYPART_GRANDPAR
(18,17),(17,16),0.767614 # DEPENDENCYPART_GRANDPAR
(18,17),(17,19),-0.1426 # DEPENDENCYPART_GRANDPAR
(18,17),(17,21),-0.253112 # DEPENDENCYPART_GRANDPAR
(18,19),(19,17),0.0454769 # DEPENDENCYPART_GRANDPAR
(18,19),(19,20),0.220805 # DEPENDENCYPART_GRANDPAR
(18,19),(19,21),0.427228 # DEPENDENCYPART_GRANDPAR
(18,19),(19,22),0.28953 # DEPENDENCYPART_GRANDPAR
(18,19),(19,23),0.400556 # DEPENDENCYPART_GRANDPAR
(18,19),(19,25),0.457875 # DEPENDENCYPART_GRANDPAR
(18,19),(19,26),0.132308 # DEPENDENCYPART_GRANDPAR
(18,20),(20,15),-0.00815664 # DEPENDENCYPART_GRANDPAR
(18,20),(20,17),0.0682863 # DEPENDENCYPART_GRANDPAR
(18,20),(20,18),-0.729213 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,20),(20,19),0.199854 # DEPENDENCYPART_GRANDPAR
(18,20),(20,21),0.341065 # DEPENDENCYPART_GRANDPAR
(18,20),(20,22),0.298563 # DEPENDENCYPART_GRANDPAR
(18,20),(20,23),0.320607 # DEPENDENCYPART_GRANDPAR
(18,20),(20,25),0.317302 # DEPENDENCYPART_GRANDPAR
(18,20),(20,26),0.0696879 # DEPENDENCYPART_GRANDPAR
(18,20),(20,27),-0.166744 # DEPENDENCYPART_GRANDPAR
(18,21),(21,17),0.0636299 # DEPENDENCYPART_GRANDPAR
(18,21),(21,18),-0.552177 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,21),(21,20),0.222179 # DEPENDENCYPART_GRANDPAR
(18,21),(21,22),0.144397 # DEPENDENCYPART_GRANDPAR
(18,21),(21,23),0.24138 # DEPENDENCYPART_GRANDPAR
(18,21),(21,25),0.195698 # DEPENDENCYPART_GRANDPAR
(18,21),(21,26),0.0303745 # DEPENDENCYPART_GRANDPAR
(18,21),(21,27),-0.173498 # DEPENDENCYPART_GRANDPAR
(18,22),(22,20),0.256135 # DEPENDENCYPART_GRANDPAR
(18,22),(22,21),0.148402 # DEPENDENCYPART_GRANDPAR
(18,22),(22,23),0.257397 # DEPENDENCYPART_GRANDPAR
(18,22),(22,24),0.335368 # DEPENDENCYPART_GRANDPAR
(18,22),(22,25),0.212783 # DEPENDENCYPART_GRANDPAR
(18,22),(22,26),0.0468909 # DEPENDENCYPART_GRANDPAR
(18,25),(25,14),-0.502519 # DEPENDENCYPART_GRANDPAR
(18,25),(25,16),0.242498 # DEPENDENCYPART_GRANDPAR
(18,25),(25,20),0.144233 # DEPENDENCYPART_GRANDPAR
(18,25),(25,21),0.174556 # DEPENDENCYPART_GRANDPAR
(18,25),(25,22),0.0784907 # DEPENDENCYPART_GRANDPAR
(18,25),(25,24),0.575114 # DEPENDENCYPART_GRANDPAR
(18,25),(25,26),0.0295693 # DEPENDENCYPART_GRANDPAR
(18,26),(26,1),-1.21729 # DEPENDENCYPART_GRANDPAR
(18,26),(26,3),-1.31771 # DEPENDENCYPART_GRANDPAR
(18,26),(26,4),-0.951714 # DEPENDENCYPART_GRANDPAR
(18,26),(26,5),-0.863528 # DEPENDENCYPART_GRANDPAR
(18,26),(26,6),-0.88629 # DEPENDENCYPART_GRANDPAR
(18,26),(26,7),-0.434972 # DEPENDENCYPART_GRANDPAR
(18,26),(26,8),-0.884644 # DEPENDENCYPART_GRANDPAR
(18,26),(26,9),-0.561117 # DEPENDENCYPART_GRANDPAR
(18,26),(26,10),-0.981753 # DEPENDENCYPART_GRANDPAR
(18,26),(26,11),-0.883154 # DEPENDENCYPART_GRANDPAR
(18,26),(26,12),-0.734897 # DEPENDENCYPART_GRANDPAR
(18,26),(26,13),-0.682552 # DEPENDENCYPART_GRANDPAR
(18,26),(26,15),-0.102402 # DEPENDENCYPART_GRANDPAR
(18,26),(26,16),0.198665 # DEPENDENCYPART_GRANDPAR
(18,26),(26,17),-0.0259458 # DEPENDENCYPART_GRANDPAR
(18,26),(26,18),-0.727975 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,26),(26,19),0.22979 # DEPENDENCYPART_GRANDPAR
(18,26),(26,20),0.0558581 # DEPENDENCYPART_GRANDPAR
(18,26),(26,21),0.0862159 # DEPENDENCYPART_GRANDPAR
(18,26),(26,22),-0.0156836 # DEPENDENCYPART_GRANDPAR
(18,26),(26,23),0.203033 # DEPENDENCYPART_GRANDPAR
(18,26),(26,24),0.32512 # DEPENDENCYPART_GRANDPAR
(18,26),(26,25),0.227525 # DEPENDENCYPART_GRANDPAR
(18,26),(26,27),-0.199898 # DEPENDENCYPART_GRANDPAR
(19,17),(17,9),-0.24501 # DEPENDENCYPART_GRANDPAR
(19,17),(17,12),-0.291428 # DEPENDENCYPART_GRANDPAR
(19,17),(17,15),-0.137103 # DEPENDENCYPART_GRANDPAR
(19,17),(17,16),-0.0104944 # DEPENDENCYPART_GRANDPAR
(19,17),(17,19),-0.863836 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,17),(17,21),0.308775 # DEPENDENCYPART_GRANDPAR
(19,20),(20,15),-0.624645 # DEPENDENCYPART_GRANDPAR
(19,20),(20,17),-0.543904 # DEPENDENCYPART_GRANDPAR
(19,20),(20,18),-0.722738 # DEPENDENCYPART_GRANDPAR
(19,20),(20,19),-0.300401 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,20),(20,21),0.953694 # DEPENDENCYPART_GRANDPAR
(19,20),(20,22),0.999413 # DEPENDENCYPART_GRANDPAR
(19,20),(20,23),0.546518 # DEPENDENCYPART_GRANDPAR
(19,20),(20,25),0.0779901 # DEPENDENCYPART_GRANDPAR
(19,20),(20,26),0.261888 # DEPENDENCYPART_GRANDPAR
(19,20),(20,27),-0.197797 # DEPENDENCYPART_GRANDPAR
(19,21),(21,17),-0.542925 # DEPENDENCYPART_GRANDPAR
(19,21),(21,18),-0.725712 # DEPENDENCYPART_GRANDPAR
(19,21),(21,20),1.16483 # DEPENDENCYPART_GRANDPAR
(19,21),(21,22),0.681962 # DEPENDENCYPART_GRANDPAR
(19,21),(21,23),0.657666 # DEPENDENCYPART_GRANDPAR
(19,21),(21,25),0.00104611 # DEPENDENCYPART_GRANDPAR
(19,21),(21,26),0.236019 # DEPENDENCYPART_GRANDPAR
(19,21),(21,27),-0.179095 # DEPENDENCYPART_GRANDPAR
(19,22),(22,20),1.15173 # DEPENDENCYPART_GRANDPAR
(19,22),(22,21),0.582126 # DEPENDENCYPART_GRANDPAR
(19,22),(22,23),0.642762 # DEPENDENCYPART_GRANDPAR
(19,22),(22,24),-0.33874 # DEPENDENCYPART_GRANDPAR
(19,22),(22,25),-0.011672 # DEPENDENCYPART_GRANDPAR
(19,22),(22,26),0.223291 # DEPENDENCYPART_GRANDPAR
(19,25),(25,14),-0.771063 # DEPENDENCYPART_GRANDPAR
(19,25),(25,16),-0.555307 # DEPENDENCYPART_GRANDPAR
(19,25),(25,20),1.09105 # DEPENDENCYPART_GRANDPAR
(19,25),(25,21),0.573538 # DEPENDENCYPART_GRANDPAR
(19,25),(25,22),0.501983 # DEPENDENCYPART_GRANDPAR
(19,25),(25,24),-0.37321 # DEPENDENCYPART_GRANDPAR
(19,25),(25,26),0.284448 # DEPENDENCYPART_GRANDPAR
(19,26),(26,1),-0.789905 # DEPENDENCYPART_GRANDPAR
(19,26),(26,3),-1.17453 # DEPENDENCYPART_GRANDPAR
(19,26),(26,4),-0.882341 # DEPENDENCYPART_GRANDPAR
(19,26),(26,5),-0.872806 # DEPENDENCYPART_GRANDPAR
(19,26),(26,6),-0.740579 # DEPENDENCYPART_GRANDPAR
(19,26),(26,7),-0.543934 # DEPENDENCYPART_GRANDPAR
(19,26),(26,8),-0.725125 # DEPENDENCYPART_GRANDPAR
(19,26),(26,9),-0.71292 # DEPENDENCYPART_GRANDPAR
(19,26),(26,10),-0.65204 # DEPENDENCYPART_GRANDPAR
(19,26),(26,11),-0.99942 # DEPENDENCYPART_GRANDPAR
(19,26),(26,12),-0.744596 # DEPENDENCYPART_GRANDPAR
(19,26),(26,13),-0.701346 # DEPENDENCYPART_GRANDPAR
(19,26),(26,15),-0.609783 # DEPENDENCYPART_GRANDPAR
(19,26),(26,16),-0.492403 # DEPENDENCYPART_GRANDPAR
(19,26),(26,17),-0.529002 # DEPENDENCYPART_GRANDPAR
(19,26),(26,18),-0.754394 # DEPENDENCYPART_GRANDPAR
(19,26),(26,19),-0.652191 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,26),(26,20),1.03061 # DEPENDENCYPART_GRANDPAR
(19,26),(26,21),0.549628 # DEPENDENCYPART_GRANDPAR
(19,26),(26,22),0.457206 # DEPENDENCYPART_GRANDPAR
(19,26),(26,23),0.456794 # DEPENDENCYPART_GRANDPAR
(19,26),(26,24),-0.618633 # DEPENDENCYPART_GRANDPAR
(19,26),(26,25),0.0309111 # DEPENDENCYPART_GRANDPAR
(19,26),(26,27),-0.175266 # DEPENDENCYPART_GRANDPAR
(20,15),(15,9),-0.488615 # DEPENDENCYPART_GRANDPAR
(20,15),(15,11),-0.499881 # DEPENDENCYPART_GRANDPAR
(20,15),(15,12),-0.438622 # DEPENDENCYPART_GRANDPAR
(20,15),(15,14),-0.365264 # DEPENDENCYPART_GRANDPAR
(20,15),(15,16),-0.377827 # DEPENDENCYPART_GRANDPAR
(20,15),(15,17),-0.41545 # DEPENDENCYPART_GRANDPAR
(20,15),(15,18),-0.34352 # DEPENDENCYPART_GRANDPAR
(20,15),(15,19),-0.236457 # DEPENDENCYPART_GRANDPAR
(20,15),(15,25),-0.250946 # DEPENDENCYPART_GRANDPAR
(20,17),(17,9),-0.48587 # DEPENDENCYPART_GRANDPAR
(20,17),(17,12),-0.437636 # DEPENDENCYPART_GRANDPAR
(20,17),(17,15),-0.403892 # DEPENDENCYPART_GRANDPAR
(20,17),(17,16),-0.357193 # DEPENDENCYPART_GRANDPAR
(20,17),(17,19),-0.237561 # DEPENDENCYPART_GRANDPAR
(20,17),(17,21),-0.257579 # DEPENDENCYPART_GRANDPAR
(20,18),(18,9),-0.532776 # DEPENDENCYPART_GRANDPAR
(20,18),(18,10),-0.481914 # DEPENDENCYPART_GRANDPAR
(20,18),(18,11),-0.524908 # DEPENDENCYPART_GRANDPAR
(20,18),(18,14),-0.364097 # DEPENDENCYPART_GRANDPAR
(20,18),(18,15),-0.449511 # DEPENDENCYPART_GRANDPAR
(20,18),(18,16),-0.333033 # DEPENDENCYPART_GRANDPAR
(20,18),(18,17),-0.427446 # DEPENDENCYPART_GRANDPAR
(20,18),(18,19),-0.182615 # DEPENDENCYPART_GRANDPAR
(20,18),(18,20),-1.10543 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,18),(18,21),-0.265794 # DEPENDENCYPART_GRANDPAR
(20,18),(18,22),-0.43449 # DEPENDENCYPART_GRANDPAR
(20,18),(18,23),-0.330925 # DEPENDENCYPART_GRANDPAR
(20,18),(18,24),-0.390625 # DEPENDENCYPART_GRANDPAR
(20,18),(18,25),-0.206048 # DEPENDENCYPART_GRANDPAR
(20,18),(18,26),-0.338305 # DEPENDENCYPART_GRANDPAR
(20,18),(18,27),-0.555474 # DEPENDENCYPART_GRANDPAR
(20,19),(19,17),-0.341289 # DEPENDENCYPART_GRANDPAR
(20,19),(19,20),-1.1082 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,19),(19,21),-0.268644 # DEPENDENCYPART_GRANDPAR
(20,19),(19,22),-0.436919 # DEPENDENCYPART_GRANDPAR
(20,19),(19,23),-0.283784 # DEPENDENCYPART_GRANDPAR
(20,19),(19,25),-0.293269 # DEPENDENCYPART_GRANDPAR
(20,19),(19,26),-0.331643 # DEPENDENCYPART_GRANDPAR
(20,21),(21,17),-0.800967 # DEPENDENCYPART_GRANDPAR
(20,21),(21,18),-0.7583 # DEPENDENCYPART_GRANDPAR
(20,21),(21,20),-0.645828 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,21),(21,22),-0.117882 # DEPENDENCYPART_GRANDPAR
(20,21),(21,23),0.0144336 # DEPENDENCYPART_GRANDPAR
(20,21),(21,25),-0.0408858 # DEPENDENCYPART_GRANDPAR
(20,21),(21,26),-0.028563 # DEPENDENCYPART_GRANDPAR
(20,21),(21,27),-0.241588 # DEPENDENCYPART_GRANDPAR
(20,22),(22,20),-0.645112 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,22),(22,21),0.050264 # DEPENDENCYPART_GRANDPAR
(20,22),(22,23),-0.0075832 # DEPENDENCYPART_GRANDPAR
(20,22),(22,24),-0.0409488 # DEPENDENCYPART_GRANDPAR
(20,22),(22,25),-0.0631962 # DEPENDENCYPART_GRANDPAR
(20,22),(22,26),-0.0512632 # DEPENDENCYPART_GRANDPAR
(20,25),(25,14),-0.781972 # DEPENDENCYPART_GRANDPAR
(20,25),(25,16),-0.757594 # DEPENDENCYPART_GRANDPAR
(20,25),(25,20),-0.630081 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,25),(25,21),0.137779 # DEPENDENCYPART_GRANDPAR
(20,25),(25,22),-0.0258516 # DEPENDENCYPART_GRANDPAR
(20,25),(25,24),0.232919 # DEPENDENCYPART_GRANDPAR
(20,25),(25,26),0.0146918 # DEPENDENCYPART_GRANDPAR
(20,26),(26,1),-0.922083 # DEPENDENCYPART_GRANDPAR
(20,26),(26,3),-1.08621 # DEPENDENCYPART_GRANDPAR
(20,26),(26,4),-0.931291 # DEPENDENCYPART_GRANDPAR
(20,26),(26,5),-0.938555 # DEPENDENCYPART_GRANDPAR
(20,26),(26,6),-0.937667 # DEPENDENCYPART_GRANDPAR
(20,26),(26,7),-0.736848 # DEPENDENCYPART_GRANDPAR
(20,26),(26,8),-0.934845 # DEPENDENCYPART_GRANDPAR
(20,26),(26,9),-0.890321 # DEPENDENCYPART_GRANDPAR
(20,26),(26,10),-0.84677 # DEPENDENCYPART_GRANDPAR
(20,26),(26,11),-0.940932 # DEPENDENCYPART_GRANDPAR
(20,26),(26,12),-0.902688 # DEPENDENCYPART_GRANDPAR
(20,26),(26,13),-0.818271 # DEPENDENCYPART_GRANDPAR
(20,26),(26,15),-0.806193 # DEPENDENCYPART_GRANDPAR
(20,26),(26,16),-0.754256 # DEPENDENCYPART_GRANDPAR
(20,26),(26,17),-0.789902 # DEPENDENCYPART_GRANDPAR
(20,26),(26,18),-0.785447 # DEPENDENCYPART_GRANDPAR
(20,26),(26,19),-0.680196 # DEPENDENCYPART_GRANDPAR
(20,26),(26,20),-0.681653 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,26),(26,21),0.101526 # DEPENDENCYPART_GRANDPAR
(20,26),(26,22),-0.0698785 # DEPENDENCYPART_GRANDPAR
(20,26),(26,23),0.124646 # DEPENDENCYPART_GRANDPAR
(20,26),(26,24),0.0300701 # DEPENDENCYPART_GRANDPAR
(20,26),(26,25),0.205571 # DEPENDENCYPART_GRANDPAR
(20,26),(26,27),-0.169418 # DEPENDENCYPART_GRANDPAR
(21,17),(17,9),-0.476732 # DEPENDENCYPART_GRANDPAR
(21,17),(17,12),-0.426503 # DEPENDENCYPART_GRANDPAR
(21,17),(17,15),-0.333286 # DEPENDENCYPART_GRANDPAR
(21,17),(17,16),-0.240041 # DEPENDENCYPART_GRANDPAR
(21,17),(17,19),-0.286835 # DEPENDENCYPART_GRANDPAR
(21,17),(17,21),-1.26445 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,18),(18,9),-0.51609 # DEPENDENCYPART_GRANDPAR
(21,18),(18,10),-0.454122 # DEPENDENCYPART_GRANDPAR
(21,18),(18,11),-0.463346 # DEPENDENCYPART_GRANDPAR
(21,18),(18,14),-0.364372 # DEPENDENCYPART_GRANDPAR
(21,18),(18,15),-0.371357 # DEPENDENCYPART_GRANDPAR
(21,18),(18,16),-0.193648 # DEPENDENCYPART_GRANDPAR
(21,18),(18,17),-0.320981 # DEPENDENCYPART_GRANDPAR
(21,18),(18,19),-0.287604 # DEPENDENCYPART_GRANDPAR
(21,18),(18,20),-0.205192 # DEPENDENCYPART_GRANDPAR
(21,18),(18,21),-1.2734 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,18),(18,22),-0.317136 # DEPENDENCYPART_GRANDPAR
(21,18),(18,23),-0.572272 # DEPENDENCYPART_GRANDPAR
(21,18),(18,24),-0.643123 # DEPENDENCYPART_GRANDPAR
(21,18),(18,25),-0.558598 # DEPENDENCYPART_GRANDPAR
(21,18),(18,26),-0.623516 # DEPENDENCYPART_GRANDPAR
(21,18),(18,27),-0.702262 # DEPENDENCYPART_GRANDPAR
(21,20),(20,15),-0.404206 # DEPENDENCYPART_GRANDPAR
(21,20),(20,17),-0.357454 # DEPENDENCYPART_GRANDPAR
(21,20),(20,18),-0.414354 # DEPENDENCYPART_GRANDPAR
(21,20),(20,19),-0.327649 # DEPENDENCYPART_GRANDPAR
(21,20),(20,21),-1.31631 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,20),(20,22),-0.369871 # DEPENDENCYPART_GRANDPAR
(21,20),(20,23),-0.534188 # DEPENDENCYPART_GRANDPAR
(21,20),(20,25),-0.61654 # DEPENDENCYPART_GRANDPAR
(21,20),(20,26),-0.622873 # DEPENDENCYPART_GRANDPAR
(21,20),(20,27),-0.719284 # DEPENDENCYPART_GRANDPAR
(21,22),(22,20),-0.675991 # DEPENDENCYPART_GRANDPAR
(21,22),(22,21),-0.891451 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,22),(22,23),-0.155897 # DEPENDENCYPART_GRANDPAR
(21,22),(22,24),-0.209485 # DEPENDENCYPART_GRANDPAR
(21,22),(22,25),-0.28059 # DEPENDENCYPART_GRANDPAR
(21,22),(22,26),-0.237925 # DEPENDENCYPART_GRANDPAR
(21,25),(25,14),-0.783495 # DEPENDENCYPART_GRANDPAR
(21,25),(25,16),-0.655672 # DEPENDENCYPART_GRANDPAR
(21,25),(25,20),-0.67876 # DEPENDENCYPART_GRANDPAR
(21,25),(25,21),-0.846229 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,25),(25,22),0.118846 # DEPENDENCYPART_GRANDPAR
(21,25),(25,24),-0.0989381 # DEPENDENCYPART_GRANDPAR
(21,25),(25,26),-0.274713 # DEPENDENCYPART_GRANDPAR
(21,26),(26,1),-0.924576 # DEPENDENCYPART_GRANDPAR
(21,26),(26,3),-1.1388 # DEPENDENCYPART_GRANDPAR
(21,26),(26,4),-1.00417 # DEPENDENCYPART_GRANDPAR
(21,26),(26,5),-0.875519 # DEPENDENCYPART_GRANDPAR
(21,26),(26,6),-0.926241 # DEPENDENCYPART_GRANDPAR
(21,26),(26,7),-0.955104 # DEPENDENCYPART_GRANDPAR
(21,26),(26,8),-0.920472 # DEPENDENCYPART_GRANDPAR
(21,26),(26,9),-0.868474 # DEPENDENCYPART_GRANDPAR
(21,26),(26,10),-0.822606 # DEPENDENCYPART_GRANDPAR
(21,26),(26,11),-0.924896 # DEPENDENCYPART_GRANDPAR
(21,26),(26,12),-0.892259 # DEPENDENCYPART_GRANDPAR
(21,26),(26,13),-0.857375 # DEPENDENCYPART_GRANDPAR
(21,26),(26,15),-0.725034 # DEPENDENCYPART_GRANDPAR
(21,26),(26,16),-0.650478 # DEPENDENCYPART_GRANDPAR
(21,26),(26,17),-0.678276 # DEPENDENCYPART_GRANDPAR
(21,26),(26,18),-0.809689 # DEPENDENCYPART_GRANDPAR
(21,26),(26,19),-0.721174 # DEPENDENCYPART_GRANDPAR
(21,26),(26,20),-0.672792 # DEPENDENCYPART_GRANDPAR
(21,26),(26,21),-0.868635 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,26),(26,22),0.0885231 # DEPENDENCYPART_GRANDPAR
(21,26),(26,23),-0.12789 # DEPENDENCYPART_GRANDPAR
(21,26),(26,24),-0.232496 # DEPENDENCYPART_GRANDPAR
(21,26),(26,25),-0.169731 # DEPENDENCYPART_GRANDPAR
(21,26),(26,27),-0.341823 # DEPENDENCYPART_GRANDPAR
(22,20),(20,15),-0.164932 # DEPENDENCYPART_GRANDPAR
(22,20),(20,17),-0.15845 # DEPENDENCYPART_GRANDPAR
(22,20),(20,18),-0.172852 # DEPENDENCYPART_GRANDPAR
(22,20),(20,19),-0.1644 # DEPENDENCYPART_GRANDPAR
(22,20),(20,21),0.0495146 # DEPENDENCYPART_GRANDPAR
(22,20),(20,22),-1.21893 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(22,20),(20,23),-0.22774 # DEPENDENCYPART_GRANDPAR
(22,20),(20,25),-0.403336 # DEPENDENCYPART_GRANDPAR
(22,20),(20,26),-0.524011 # DEPENDENCYPART_GRANDPAR
(22,20),(20,27),-0.604602 # DEPENDENCYPART_GRANDPAR
(22,21),(21,17),-0.13554 # DEPENDENCYPART_GRANDPAR
(22,21),(21,18),-0.225872 # DEPENDENCYPART_GRANDPAR
(22,21),(21,20),-0.263087 # DEPENDENCYPART_GRANDPAR
(22,21),(21,22),-1.13663 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(22,21),(21,23),-0.199424 # DEPENDENCYPART_GRANDPAR
(22,21),(21,25),-0.379335 # DEPENDENCYPART_GRANDPAR
(22,21),(21,26),-0.497444 # DEPENDENCYPART_GRANDPAR
(22,21),(21,27),-0.578096 # DEPENDENCYPART_GRANDPAR
(22,25),(25,14),-0.589867 # DEPENDENCYPART_GRANDPAR
(22,25),(25,16),-0.473787 # DEPENDENCYPART_GRANDPAR
(22,25),(25,20),-0.558056 # DEPENDENCYPART_GRANDPAR
(22,25),(25,21),-0.312439 # DEPENDENCYPART_GRANDPAR
(22,25),(25,22),-0.715186 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(22,25),(25,24),0.0933071 # DEPENDENCYPART_GRANDPAR
(22,25),(25,26),-0.171206 # DEPENDENCYPART_GRANDPAR
(22,26),(26,1),-0.732203 # DEPENDENCYPART_GRANDPAR
(22,26),(26,3),-0.893965 # DEPENDENCYPART_GRANDPAR
(22,26),(26,4),-0.810064 # DEPENDENCYPART_GRANDPAR
(22,26),(26,5),-0.670279 # DEPENDENCYPART_GRANDPAR
(22,26),(26,6),-0.638441 # DEPENDENCYPART_GRANDPAR
(22,26),(26,7),-0.709712 # DEPENDENCYPART_GRANDPAR
(22,26),(26,8),-0.748856 # DEPENDENCYPART_GRANDPAR
(22,26),(26,9),-0.619941 # DEPENDENCYPART_GRANDPAR
(22,26),(26,10),-0.654472 # DEPENDENCYPART_GRANDPAR
(22,26),(26,11),-0.748322 # DEPENDENCYPART_GRANDPAR
