# _root_ The explosion sent shards of metal flying , severing the DC-10 's hydraulic or control systems , and led to the crash that killed 112 people .
#goldHeads=2,18,18,7,4,5,3,3,3,11,16,11,14,16,14,9,18,0,18,19,22,20,24,22,26,24,18,
#predictedHeads=2,18,18,3,4,5,3,18,18,11,9,11,14,16,14,9,18,0,18,19,22,20,24,22,26,24,18,
(4,11),(11,11),(11,12),0.0423571 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,13),-0.0415639 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,14),-0.0404138 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,16),-0.132839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,28),0.134108 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,11),(11,12),(11,13),-0.0202934 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,12),(11,14),-0.02098 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,12),(11,16),-0.0243149 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,12),(11,28),-0.00417125 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,13),(11,14),-0.0202238 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,13),(11,16),-0.0388087 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,13),(11,28),-0.0294546 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,14),(11,16),-0.142207 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,14),(11,28),-0.0347996 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,16),(11,28),0.0256993 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,11),(11,10),0.102301 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,9),0.0931914 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,-1),-0.0183774 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,11),(11,10),(11,9),0.107358 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,10),(11,-1),-0.159238 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,9),(11,-1),-0.196507 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,13),(13,14),-0.0294984 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,15),-0.013647 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,16),-0.0136458 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,19),-0.0219812 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,28),0.0399995 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,13),(13,14),(13,15),-0.155621 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,14),(13,16),-0.143151 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,14),(13,19),0.102523 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,14),(13,28),-0.0291648 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,15),(13,16),0.00247557 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,15),(13,19),-0.021465 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,15),(13,28),0.0192664 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,16),(13,19),-0.021465 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,16),(13,28),0.0192676 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,19),(13,28),-0.0303687 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,13),(13,11),0.125167 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,10),0.116057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,-1),-0.0114411 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,13),(13,11),(13,10),0.10812 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,11),(13,-1),-0.121725 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,10),(13,-1),-0.14543 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,17),(17,17),(17,28),-0.0464173 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,17),(17,17),(17,-1),-0.186854 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,18),(18,18),(18,19),0.00831025 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,18),(18,18),(18,20),-0.0169274 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,18),(18,18),(18,21),0.0331798 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,18),(18,18),(18,22),-0.067607 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,18),(18,18),(18,24),0.00720423 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,18),(18,18),(18,25),-0.0118587 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,18),(18,18),(18,26),-0.0676911 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,18),(18,18),(18,27),-0.0252004 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,18),(18,18),(18,28),-0.253183 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,18),(18,19),(18,20),-0.0213536 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,19),(18,21),-0.0202043 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,19),(18,22),-0.00042405 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,19),(18,24),-0.024446 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,19),(18,25),-0.0202627 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,19),(18,26),-0.00042405 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,19),(18,27),-0.0223631 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,19),(18,28),-0.0211177 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,18),(18,20),(18,21),-0.0194453 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,20),(18,22),-0.0216532 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,20),(18,24),-0.020233 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,20),(18,25),-0.0202926 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,20),(18,26),-0.0216532 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,20),(18,27),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,20),(18,28),-0.0283501 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,18),(18,21),(18,22),-0.0210612 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,21),(18,24),-0.0210593 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,21),(18,25),-0.0197944 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,21),(18,26),-0.0210612 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,21),(18,27),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,21),(18,28),0.0123556 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,18),(18,22),(18,24),-0.0315015 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,22),(18,25),-0.0199724 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,22),(18,26),-0.00255124 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,22),(18,27),-0.0156692 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,22),(18,28),-0.00987527 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,18),(18,24),(18,25),-0.0202627 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,24),(18,26),-0.00042405 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,24),(18,27),-0.0223631 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,24),(18,28),-0.022224 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,18),(18,25),(18,26),-0.0248254 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,25),(18,27),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,25),(18,28),-0.0534442 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,18),(18,26),(18,27),-0.0156692 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,26),(18,28),-0.0100825 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,18),(18,27),(18,28),-0.0291688 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,18),(18,18),(18,17),0.131504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,18),(18,18),(18,16),0.193711 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,18),(18,18),(18,15),0.199403 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,18),(18,18),(18,14),0.0943237 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,18),(18,18),(18,13),0.177957 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,18),(18,18),(18,12),0.181583 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,18),(18,18),(18,11),0.195461 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,18),(18,18),(18,10),0.119791 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,18),(18,18),(18,9),0.179157 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,18),(18,18),(18,8),0.131504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,18),(18,18),(18,7),0.179157 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,18),(18,18),(18,6),0.192174 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,18),(18,18),(18,5),0.208636 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,18),(18,18),(18,4),0.195461 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,18),(18,18),(18,3),-0.155772 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,18),(18,18),(18,2),-0.161073 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,18),(18,18),(18,1),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,18),(18,18),(18,-1),-0.451396 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,18),(18,17),(18,16),0.0908805 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,17),(18,15),0.0908338 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,17),(18,14),0.118718 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,17),(18,13),0.122165 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,17),(18,12),0.13339 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,17),(18,11),0.0908805 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,17),(18,10),0.102878 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,17),(18,9),0.133629 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,17),(18,8),0.108642 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,17),(18,7),0.133629 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,17),(18,6),0.0908805 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,17),(18,5),0.12599 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,17),(18,4),0.0908805 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,17),(18,3),-0.148431 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,17),(18,2),-0.147778 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,17),(18,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,17),(18,-1),-0.165062 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,18),(18,16),(18,15),0.137916 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,16),(18,14),0.114198 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,16),(18,13),0.0901123 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,16),(18,12),0.09609 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,16),(18,11),0.137916 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,16),(18,10),0.0964029 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,16),(18,9),0.0869256 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,16),(18,8),0.0783011 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,16),(18,7),0.0869256 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,16),(18,6),0.137916 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,16),(18,5),0.0789756 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,16),(18,4),0.137916 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,16),(18,3),-0.146269 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,16),(18,2),-0.146776 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,16),(18,1),-0.145401 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,16),(18,-1),-0.197748 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,18),(18,15),(18,14),0.114122 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,15),(18,13),0.0901123 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,15),(18,12),0.0971431 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,15),(18,11),0.138461 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,15),(18,10),0.0964029 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,15),(18,9),0.0879786 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,15),(18,8),0.0783033 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,15),(18,7),0.0879786 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,15),(18,6),0.138461 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,15),(18,5),0.0789756 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,15),(18,4),0.138461 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,15),(18,3),-0.146269 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,15),(18,2),-0.146776 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,15),(18,1),-0.145401 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,15),(18,-1),-0.196808 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,18),(18,14),(18,13),0.0719376 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,14),(18,12),0.235348 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,14),(18,11),-0.0592885 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,14),(18,10),0.195409 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,14),(18,9),0.229591 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,14),(18,8),0.211128 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,14),(18,7),0.265659 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,14),(18,6),0.0562674 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,14),(18,5),0.248034 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,14),(18,4),0.0800395 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,14),(18,3),-0.0212957 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,14),(18,2),-0.023598 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,14),(18,1),-0.0429736 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,14),(18,-1),-0.171158 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,18),(18,13),(18,12),0.102535 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,13),(18,11),0.0741465 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,13),(18,10),0.107485 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,13),(18,9),0.102537 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,13),(18,8),0.131172 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,13),(18,7),0.102537 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,13),(18,6),0.0738559 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,13),(18,5),0.110759 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,13),(18,4),0.0741465 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,13),(18,3),-0.145344 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,13),(18,2),-0.149473 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,13),(18,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,13),(18,-1),-0.061001 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,18),(18,12),(18,11),0.0753081 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,12),(18,10),0.11421 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,12),(18,9),0.0959161 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,12),(18,8),0.113905 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,12),(18,7),0.0959161 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,12),(18,6),0.0753081 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,12),(18,5),0.0939761 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,12),(18,4),0.0753081 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,12),(18,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,12),(18,2),-0.14523 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,12),(18,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,12),(18,-1),-0.165913 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,18),(18,11),(18,10),0.0964029 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,11),(18,9),0.0879786 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,11),(18,8),0.0783033 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,11),(18,7),0.0879786 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,11),(18,6),0.138593 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,11),(18,5),0.0789756 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,11),(18,4),0.138593 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,11),(18,3),-0.146269 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,11),(18,2),-0.146776 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,11),(18,1),-0.145401 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,11),(18,-1),-0.197725 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,18),(18,10),(18,9),0.108569 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,10),(18,8),0.106442 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,10),(18,7),0.108569 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,10),(18,6),0.1082 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,10),(18,5),0.10783 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,10),(18,4),0.1082 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,10),(18,3),-0.144714 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,10),(18,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,10),(18,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,10),(18,-1),-0.0982665 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,18),(18,9),(18,8),0.113914 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,9),(18,7),0.0959161 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,9),(18,6),0.0754458 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,9),(18,5),0.0939761 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,9),(18,4),0.0754458 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,9),(18,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,9),(18,2),-0.14523 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,9),(18,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,9),(18,-1),-0.171196 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,18),(18,8),(18,7),0.133629 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,8),(18,6),0.0908805 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,8),(18,5),0.12599 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,8),(18,4),0.0908805 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,8),(18,3),-0.148431 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,8),(18,2),-0.147778 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,8),(18,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,8),(18,-1),-0.165062 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,18),(18,7),(18,6),0.0754458 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,7),(18,5),0.0939761 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,7),(18,4),0.0754458 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,7),(18,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,7),(18,2),-0.14523 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,7),(18,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,7),(18,-1),-0.171197 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,18),(18,6),(18,5),0.0789756 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,6),(18,4),0.138593 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,6),(18,3),-0.146269 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,6),(18,2),-0.146776 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,6),(18,1),-0.145401 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,6),(18,-1),-0.201302 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,18),(18,5),(18,4),0.101426 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,5),(18,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,5),(18,2),-0.144704 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,5),(18,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,5),(18,-1),-0.0599574 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,18),(18,4),(18,3),-0.146269 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,18),(18,4),(18,2),-0.146776 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,18),(18,4),(18,1),-0.145401 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,18),(18,4),(18,-1),-0.197725 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,18),(18,3),(18,2),-0.14523 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,3),(18,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,3),(18,-1),-0.171201 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,18),(18,2),(18,1),-0.145401 # DEPENDENCYPART_GRANDSIBL
(4,18),(18,2),(18,-1),-0.197725 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,18),(18,1),(18,-1),-0.0982665 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,24),(24,24),(24,25),-0.00145484 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,24),(24,24),(24,26),-0.0202779 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,24),(24,24),(24,27),-0.0230578 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,24),(24,24),(24,28),0.0567547 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,24),(24,25),(24,26),-0.0228194 # DEPENDENCYPART_GRANDSIBL
(4,24),(24,25),(24,27),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,24),(24,25),(24,28),-3.89608e-05 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,24),(24,26),(24,27),-0.0253691 # DEPENDENCYPART_GRANDSIBL
(4,24),(24,26),(24,28),-0.0273825 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,24),(24,27),(24,28),-0.0609297 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,24),(24,24),(24,23),0.131423 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,24),(24,24),(24,22),0.131512 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,24),(24,24),(24,21),0.0896582 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,24),(24,24),(24,20),0.181517 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,24),(24,24),(24,16),0.131425 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,24),(24,24),(24,12),0.145887 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,24),(24,24),(24,11),0.131528 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,24),(24,24),(24,7),0.135185 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,24),(24,24),(24,6),0.131349 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,24),(24,24),(24,4),0.131528 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,24),(24,24),(24,3),-0.189763 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,24),(24,24),(24,2),-0.193413 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,24),(24,24),(24,-1),-0.0155006 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,24),(24,23),(24,22),0.107174 # DEPENDENCYPART_GRANDSIBL
(4,24),(24,23),(24,21),0.109538 # DEPENDENCYPART_GRANDSIBL
(4,24),(24,23),(24,20),0.109196 # DEPENDENCYPART_GRANDSIBL
(4,24),(24,23),(24,16),0.107174 # DEPENDENCYPART_GRANDSIBL
(4,24),(24,23),(24,12),0.109364 # DEPENDENCYPART_GRANDSIBL
(4,24),(24,23),(24,11),0.107174 # DEPENDENCYPART_GRANDSIBL
(4,24),(24,23),(24,7),0.109364 # DEPENDENCYPART_GRANDSIBL
(4,24),(24,23),(24,6),0.107174 # DEPENDENCYPART_GRANDSIBL
(4,24),(24,23),(24,4),0.107174 # DEPENDENCYPART_GRANDSIBL
(4,24),(24,23),(24,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,24),(24,23),(24,2),-0.144703 # DEPENDENCYPART_GRANDSIBL
(4,24),(24,23),(24,-1),-0.0905453 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,24),(24,22),(24,21),0.10926 # DEPENDENCYPART_GRANDSIBL
(4,24),(24,22),(24,20),0.0923388 # DEPENDENCYPART_GRANDSIBL
(4,24),(24,22),(24,16),0.0941065 # DEPENDENCYPART_GRANDSIBL
(4,24),(24,22),(24,12),0.103747 # DEPENDENCYPART_GRANDSIBL
(4,24),(24,22),(24,11),0.0941065 # DEPENDENCYPART_GRANDSIBL
(4,24),(24,22),(24,7),0.103747 # DEPENDENCYPART_GRANDSIBL
(4,24),(24,22),(24,6),0.0941065 # DEPENDENCYPART_GRANDSIBL
(4,24),(24,22),(24,4),0.0941065 # DEPENDENCYPART_GRANDSIBL
(4,24),(24,22),(24,3),-0.146174 # DEPENDENCYPART_GRANDSIBL
(4,24),(24,22),(24,2),-0.144891 # DEPENDENCYPART_GRANDSIBL
(4,24),(24,22),(24,-1),-0.082967 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
