# _root_ With the golden share as protection , Jaguar officials have rebuffed Ford 's overtures , and moved instead to forge an alliance with GM .
#goldHeads=10,4,4,1,4,5,10,9,10,0,16,14,12,11,16,10,16,17,20,17,22,20,22,23,10,
#predictedHeads=10,4,4,1,4,5,10,9,10,16,10,14,12,11,16,0,16,17,20,17,22,20,22,23,16,
(16,6),(6,9),0.126345 # DEPENDENCYPART_GRANDPAR
(16,6),(6,10),0.264649 # DEPENDENCYPART_GRANDPAR
(16,6),(6,11),0.270324 # DEPENDENCYPART_GRANDPAR
(16,6),(6,12),0.267104 # DEPENDENCYPART_GRANDPAR
(16,6),(6,14),0.389679 # DEPENDENCYPART_GRANDPAR
(16,6),(6,15),0.525896 # DEPENDENCYPART_GRANDPAR
(16,6),(6,16),-0.933007 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,6),(6,18),0.299425 # DEPENDENCYPART_GRANDPAR
(16,6),(6,19),0.283116 # DEPENDENCYPART_GRANDPAR
(16,6),(6,20),0.342394 # DEPENDENCYPART_GRANDPAR
(16,8),(8,6),0.0837694 # DEPENDENCYPART_GRANDPAR
(16,8),(8,7),0.683683 # DEPENDENCYPART_GRANDPAR
(16,8),(8,10),0.266533 # DEPENDENCYPART_GRANDPAR
(16,8),(8,11),0.272208 # DEPENDENCYPART_GRANDPAR
(16,8),(8,13),0.547056 # DEPENDENCYPART_GRANDPAR
(16,9),(9,1),-0.116497 # DEPENDENCYPART_GRANDPAR
(16,9),(9,2),0.336529 # DEPENDENCYPART_GRANDPAR
(16,9),(9,3),0.571497 # DEPENDENCYPART_GRANDPAR
(16,9),(9,4),0.174408 # DEPENDENCYPART_GRANDPAR
(16,9),(9,5),0.104915 # DEPENDENCYPART_GRANDPAR
(16,9),(9,6),0.110891 # DEPENDENCYPART_GRANDPAR
(16,9),(9,7),0.688196 # DEPENDENCYPART_GRANDPAR
(16,9),(9,8),0.277817 # DEPENDENCYPART_GRANDPAR
(16,9),(9,10),0.239929 # DEPENDENCYPART_GRANDPAR
(16,9),(9,11),0.245646 # DEPENDENCYPART_GRANDPAR
(16,9),(9,14),0.327386 # DEPENDENCYPART_GRANDPAR
(16,9),(9,15),0.483761 # DEPENDENCYPART_GRANDPAR
(16,10),(10,1),0.0728888 # DEPENDENCYPART_GRANDPAR
(16,10),(10,3),0.448529 # DEPENDENCYPART_GRANDPAR
(16,10),(10,4),0.118767 # DEPENDENCYPART_GRANDPAR
(16,10),(10,5),0.224714 # DEPENDENCYPART_GRANDPAR
(16,10),(10,6),0.0816408 # DEPENDENCYPART_GRANDPAR
(16,10),(10,7),0.493105 # DEPENDENCYPART_GRANDPAR
(16,10),(10,8),0.237102 # DEPENDENCYPART_GRANDPAR
(16,10),(10,9),0.115205 # DEPENDENCYPART_GRANDPAR
(16,10),(10,11),0.157444 # DEPENDENCYPART_GRANDPAR
(16,10),(10,12),-0.0868614 # DEPENDENCYPART_GRANDPAR
(16,10),(10,14),0.046355 # DEPENDENCYPART_GRANDPAR
(16,10),(10,15),0.214041 # DEPENDENCYPART_GRANDPAR
(16,10),(10,16),-1.07531 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,10),(10,17),0.573819 # DEPENDENCYPART_GRANDPAR
(16,10),(10,18),0.19416 # DEPENDENCYPART_GRANDPAR
(16,10),(10,19),0.185108 # DEPENDENCYPART_GRANDPAR
(16,10),(10,20),0.214355 # DEPENDENCYPART_GRANDPAR
(16,10),(10,25),-0.610214 # DEPENDENCYPART_GRANDPAR
(16,11),(11,1),0.0618517 # DEPENDENCYPART_GRANDPAR
(16,11),(11,4),0.0683348 # DEPENDENCYPART_GRANDPAR
(16,11),(11,5),0.219457 # DEPENDENCYPART_GRANDPAR
(16,11),(11,7),0.513389 # DEPENDENCYPART_GRANDPAR
(16,11),(11,8),0.186957 # DEPENDENCYPART_GRANDPAR
(16,11),(11,9),0.0621358 # DEPENDENCYPART_GRANDPAR
(16,11),(11,10),0.0905389 # DEPENDENCYPART_GRANDPAR
(16,11),(11,12),0.0823359 # DEPENDENCYPART_GRANDPAR
(16,11),(11,14),0.215552 # DEPENDENCYPART_GRANDPAR
(16,11),(11,15),0.297305 # DEPENDENCYPART_GRANDPAR
(16,11),(11,16),-1.06902 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,11),(11,17),0.578952 # DEPENDENCYPART_GRANDPAR
(16,11),(11,18),0.197654 # DEPENDENCYPART_GRANDPAR
(16,11),(11,19),0.18902 # DEPENDENCYPART_GRANDPAR
(16,11),(11,20),0.219489 # DEPENDENCYPART_GRANDPAR
(16,11),(11,22),-0.00872886 # DEPENDENCYPART_GRANDPAR
(16,11),(11,23),0.0508831 # DEPENDENCYPART_GRANDPAR
(16,11),(11,25),-0.607287 # DEPENDENCYPART_GRANDPAR
(16,12),(12,8),0.246031 # DEPENDENCYPART_GRANDPAR
(16,12),(12,9),0.116672 # DEPENDENCYPART_GRANDPAR
(16,12),(12,11),0.111703 # DEPENDENCYPART_GRANDPAR
(16,12),(12,13),0.573632 # DEPENDENCYPART_GRANDPAR
(16,12),(12,14),0.406384 # DEPENDENCYPART_GRANDPAR
(16,12),(12,15),0.566234 # DEPENDENCYPART_GRANDPAR
(16,12),(12,16),-0.932946 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,12),(12,17),0.701782 # DEPENDENCYPART_GRANDPAR
(16,14),(14,6),0.0830271 # DEPENDENCYPART_GRANDPAR
(16,14),(14,8),0.249952 # DEPENDENCYPART_GRANDPAR
(16,14),(14,9),0.120594 # DEPENDENCYPART_GRANDPAR
(16,14),(14,11),0.108926 # DEPENDENCYPART_GRANDPAR
(16,14),(14,12),0.255475 # DEPENDENCYPART_GRANDPAR
(16,14),(14,13),0.133284 # DEPENDENCYPART_GRANDPAR
(16,14),(14,15),0.534299 # DEPENDENCYPART_GRANDPAR
(16,14),(14,16),-0.932946 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,14),(14,17),0.701782 # DEPENDENCYPART_GRANDPAR
(16,14),(14,18),0.299426 # DEPENDENCYPART_GRANDPAR
(16,14),(14,19),0.283117 # DEPENDENCYPART_GRANDPAR
(16,14),(14,20),0.342396 # DEPENDENCYPART_GRANDPAR
(16,14),(14,22),0.100809 # DEPENDENCYPART_GRANDPAR
(16,17),(17,14),-0.274056 # DEPENDENCYPART_GRANDPAR
(16,17),(17,18),0.826405 # DEPENDENCYPART_GRANDPAR
(16,17),(17,19),0.805257 # DEPENDENCYPART_GRANDPAR
(16,17),(17,20),0.882096 # DEPENDENCYPART_GRANDPAR
(16,17),(17,22),0.600173 # DEPENDENCYPART_GRANDPAR
(16,17),(17,23),0.707231 # DEPENDENCYPART_GRANDPAR
(16,17),(17,25),-0.140971 # DEPENDENCYPART_GRANDPAR
(16,18),(18,4),-0.446902 # DEPENDENCYPART_GRANDPAR
(16,18),(18,9),-0.46898 # DEPENDENCYPART_GRANDPAR
(16,18),(18,14),-0.192615 # DEPENDENCYPART_GRANDPAR
(16,18),(18,15),-0.136884 # DEPENDENCYPART_GRANDPAR
(16,18),(18,16),-0.408584 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,18),(18,19),0.761127 # DEPENDENCYPART_GRANDPAR
(16,18),(18,20),0.790666 # DEPENDENCYPART_GRANDPAR
(16,18),(18,22),0.503002 # DEPENDENCYPART_GRANDPAR
(16,18),(18,23),0.617809 # DEPENDENCYPART_GRANDPAR
(16,19),(19,18),0.696279 # DEPENDENCYPART_GRANDPAR
(16,19),(19,20),0.795076 # DEPENDENCYPART_GRANDPAR
(16,19),(19,22),0.622183 # DEPENDENCYPART_GRANDPAR
(16,19),(19,23),0.580356 # DEPENDENCYPART_GRANDPAR
(16,19),(19,24),0.534899 # DEPENDENCYPART_GRANDPAR
(16,20),(20,4),-0.527722 # DEPENDENCYPART_GRANDPAR
(16,20),(20,5),-0.418913 # DEPENDENCYPART_GRANDPAR
(16,20),(20,6),-0.568737 # DEPENDENCYPART_GRANDPAR
(16,20),(20,7),-0.114105 # DEPENDENCYPART_GRANDPAR
(16,20),(20,10),-0.540224 # DEPENDENCYPART_GRANDPAR
(16,20),(20,14),-0.272801 # DEPENDENCYPART_GRANDPAR
(16,20),(20,15),-0.2566 # DEPENDENCYPART_GRANDPAR
(16,20),(20,16),-0.267884 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,20),(20,18),0.744412 # DEPENDENCYPART_GRANDPAR
(16,20),(20,19),0.841453 # DEPENDENCYPART_GRANDPAR
(16,20),(20,21),0.225143 # DEPENDENCYPART_GRANDPAR
(16,20),(20,22),0.605425 # DEPENDENCYPART_GRANDPAR
(16,20),(20,23),0.705791 # DEPENDENCYPART_GRANDPAR
(16,20),(20,24),0.519773 # DEPENDENCYPART_GRANDPAR
(16,20),(20,25),-0.144044 # DEPENDENCYPART_GRANDPAR
(16,21),(21,23),0.622588 # DEPENDENCYPART_GRANDPAR
(16,22),(22,18),0.751538 # DEPENDENCYPART_GRANDPAR
(16,22),(22,19),0.646239 # DEPENDENCYPART_GRANDPAR
(16,22),(22,21),0.457896 # DEPENDENCYPART_GRANDPAR
(16,22),(22,23),0.531083 # DEPENDENCYPART_GRANDPAR
(16,22),(22,24),0.555379 # DEPENDENCYPART_GRANDPAR
(16,22),(22,25),0.00253221 # DEPENDENCYPART_GRANDPAR
(16,23),(23,21),0.15144 # DEPENDENCYPART_GRANDPAR
(16,23),(23,22),0.236478 # DEPENDENCYPART_GRANDPAR
(16,23),(23,24),0.556766 # DEPENDENCYPART_GRANDPAR
(16,24),(24,21),0.455784 # DEPENDENCYPART_GRANDPAR
(16,24),(24,22),0.649269 # DEPENDENCYPART_GRANDPAR
(16,24),(24,23),0.612327 # DEPENDENCYPART_GRANDPAR
(16,24),(24,25),0.00268797 # DEPENDENCYPART_GRANDPAR
(16,25),(25,23),0.575298 # DEPENDENCYPART_GRANDPAR
(17,14),(14,6),-0.742427 # DEPENDENCYPART_GRANDPAR
(17,14),(14,8),-0.823424 # DEPENDENCYPART_GRANDPAR
(17,14),(14,9),-1.01036 # DEPENDENCYPART_GRANDPAR
(17,14),(14,11),-0.94258 # DEPENDENCYPART_GRANDPAR
(17,14),(14,12),-0.695166 # DEPENDENCYPART_GRANDPAR
(17,14),(14,13),-1.09599 # DEPENDENCYPART_GRANDPAR
(17,14),(14,15),-0.566583 # DEPENDENCYPART_GRANDPAR
(17,14),(14,16),-0.603071 # DEPENDENCYPART_GRANDPAR
(17,14),(14,17),-0.980189 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,14),(14,18),-0.00803443 # DEPENDENCYPART_GRANDPAR
(17,14),(14,19),-0.0683339 # DEPENDENCYPART_GRANDPAR
(17,14),(14,20),0.0883052 # DEPENDENCYPART_GRANDPAR
(17,14),(14,22),-0.422745 # DEPENDENCYPART_GRANDPAR
(17,18),(18,4),-1.25775 # DEPENDENCYPART_GRANDPAR
(17,18),(18,9),-1.50692 # DEPENDENCYPART_GRANDPAR
(17,18),(18,14),-1.3363 # DEPENDENCYPART_GRANDPAR
(17,18),(18,15),-1.12008 # DEPENDENCYPART_GRANDPAR
(17,18),(18,16),-1.24368 # DEPENDENCYPART_GRANDPAR
(17,18),(18,19),0.34462 # DEPENDENCYPART_GRANDPAR
(17,18),(18,20),0.390842 # DEPENDENCYPART_GRANDPAR
(17,18),(18,22),-0.0924215 # DEPENDENCYPART_GRANDPAR
(17,18),(18,23),-0.101067 # DEPENDENCYPART_GRANDPAR
(17,19),(19,18),0.36434 # DEPENDENCYPART_GRANDPAR
(17,19),(19,20),0.442206 # DEPENDENCYPART_GRANDPAR
(17,19),(19,22),0.0906243 # DEPENDENCYPART_GRANDPAR
(17,19),(19,23),-0.0548635 # DEPENDENCYPART_GRANDPAR
(17,19),(19,24),0.0701019 # DEPENDENCYPART_GRANDPAR
(17,20),(20,4),-1.29375 # DEPENDENCYPART_GRANDPAR
(17,20),(20,5),-0.88176 # DEPENDENCYPART_GRANDPAR
(17,20),(20,6),-1.28843 # DEPENDENCYPART_GRANDPAR
(17,20),(20,7),-1.16728 # DEPENDENCYPART_GRANDPAR
(17,20),(20,10),-1.31673 # DEPENDENCYPART_GRANDPAR
(17,20),(20,14),-1.37106 # DEPENDENCYPART_GRANDPAR
(17,20),(20,15),-1.14845 # DEPENDENCYPART_GRANDPAR
(17,20),(20,16),-1.33386 # DEPENDENCYPART_GRANDPAR
(17,20),(20,18),0.259272 # DEPENDENCYPART_GRANDPAR
(17,20),(20,19),0.341877 # DEPENDENCYPART_GRANDPAR
(17,20),(20,21),-0.130743 # DEPENDENCYPART_GRANDPAR
(17,20),(20,22),0.0109082 # DEPENDENCYPART_GRANDPAR
(17,20),(20,23),0.0426323 # DEPENDENCYPART_GRANDPAR
(17,20),(20,24),0.00106433 # DEPENDENCYPART_GRANDPAR
(17,20),(20,25),-0.425998 # DEPENDENCYPART_GRANDPAR
(17,22),(22,18),0.306361 # DEPENDENCYPART_GRANDPAR
(17,22),(22,19),0.205421 # DEPENDENCYPART_GRANDPAR
(17,22),(22,21),-0.0102883 # DEPENDENCYPART_GRANDPAR
(17,22),(22,23),-0.174508 # DEPENDENCYPART_GRANDPAR
(17,22),(22,24),-0.0842046 # DEPENDENCYPART_GRANDPAR
(17,22),(22,25),-0.373479 # DEPENDENCYPART_GRANDPAR
(17,23),(23,21),-0.228518 # DEPENDENCYPART_GRANDPAR
(17,23),(23,22),-0.316733 # DEPENDENCYPART_GRANDPAR
(17,23),(23,24),0.103091 # DEPENDENCYPART_GRANDPAR
(17,25),(25,23),-0.122533 # DEPENDENCYPART_GRANDPAR
(18,4),(4,1),-0.139161 # DEPENDENCYPART_GRANDPAR
(18,4),(4,2),-0.148084 # DEPENDENCYPART_GRANDPAR
(18,4),(4,3),-0.0170301 # DEPENDENCYPART_GRANDPAR
(18,4),(4,5),0.328374 # DEPENDENCYPART_GRANDPAR
(18,4),(4,6),0.140305 # DEPENDENCYPART_GRANDPAR
(18,4),(4,7),0.176566 # DEPENDENCYPART_GRANDPAR
(18,4),(4,9),0.24245 # DEPENDENCYPART_GRANDPAR
(18,4),(4,10),0.176296 # DEPENDENCYPART_GRANDPAR
(18,4),(4,11),0.266162 # DEPENDENCYPART_GRANDPAR
(18,4),(4,15),0.220567 # DEPENDENCYPART_GRANDPAR
(18,4),(4,20),-0.445487 # DEPENDENCYPART_GRANDPAR
(18,9),(9,1),-0.128664 # DEPENDENCYPART_GRANDPAR
(18,9),(9,2),-0.118067 # DEPENDENCYPART_GRANDPAR
(18,9),(9,3),-0.00441981 # DEPENDENCYPART_GRANDPAR
(18,9),(9,4),0.0377911 # DEPENDENCYPART_GRANDPAR
(18,9),(9,5),0.203669 # DEPENDENCYPART_GRANDPAR
(18,9),(9,6),0.0437831 # DEPENDENCYPART_GRANDPAR
(18,9),(9,7),0.1457 # DEPENDENCYPART_GRANDPAR
(18,9),(9,8),0.182355 # DEPENDENCYPART_GRANDPAR
(18,9),(9,10),0.182633 # DEPENDENCYPART_GRANDPAR
(18,9),(9,11),0.272541 # DEPENDENCYPART_GRANDPAR
(18,9),(9,14),0.312187 # DEPENDENCYPART_GRANDPAR
(18,9),(9,15),0.210254 # DEPENDENCYPART_GRANDPAR
(18,14),(14,6),0.0320652 # DEPENDENCYPART_GRANDPAR
(18,14),(14,8),0.170637 # DEPENDENCYPART_GRANDPAR
(18,14),(14,9),0.138262 # DEPENDENCYPART_GRANDPAR
(18,14),(14,11),0.135716 # DEPENDENCYPART_GRANDPAR
(18,14),(14,12),0.208495 # DEPENDENCYPART_GRANDPAR
(18,14),(14,13),0.100381 # DEPENDENCYPART_GRANDPAR
(18,14),(14,15),0.2256 # DEPENDENCYPART_GRANDPAR
(18,14),(14,16),0.399152 # DEPENDENCYPART_GRANDPAR
(18,14),(14,17),0.423858 # DEPENDENCYPART_GRANDPAR
(18,14),(14,18),-1.13895 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,14),(14,19),-0.0320404 # DEPENDENCYPART_GRANDPAR
(18,14),(14,20),-0.445487 # DEPENDENCYPART_GRANDPAR
(18,14),(14,22),-0.489753 # DEPENDENCYPART_GRANDPAR
(18,16),(16,1),-0.0195356 # DEPENDENCYPART_GRANDPAR
(18,16),(16,2),-0.0784344 # DEPENDENCYPART_GRANDPAR
(18,16),(16,3),0.102408 # DEPENDENCYPART_GRANDPAR
(18,16),(16,4),0.111683 # DEPENDENCYPART_GRANDPAR
(18,16),(16,5),0.287592 # DEPENDENCYPART_GRANDPAR
(18,16),(16,6),0.140948 # DEPENDENCYPART_GRANDPAR
(18,16),(16,7),0.156197 # DEPENDENCYPART_GRANDPAR
(18,16),(16,8),0.2741 # DEPENDENCYPART_GRANDPAR
(18,16),(16,9),0.235872 # DEPENDENCYPART_GRANDPAR
(18,16),(16,10),0.0697293 # DEPENDENCYPART_GRANDPAR
(18,16),(16,11),0.207011 # DEPENDENCYPART_GRANDPAR
(18,16),(16,12),0.31178 # DEPENDENCYPART_GRANDPAR
(18,16),(16,14),0.32221 # DEPENDENCYPART_GRANDPAR
(18,16),(16,15),0.200198 # DEPENDENCYPART_GRANDPAR
(18,16),(16,17),0.434668 # DEPENDENCYPART_GRANDPAR
(18,16),(16,18),-1.13388 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,16),(16,19),-0.0261354 # DEPENDENCYPART_GRANDPAR
(18,16),(16,20),-0.473296 # DEPENDENCYPART_GRANDPAR
(18,16),(16,21),-0.441793 # DEPENDENCYPART_GRANDPAR
(18,16),(16,22),-0.602046 # DEPENDENCYPART_GRANDPAR
(18,16),(16,23),-0.45979 # DEPENDENCYPART_GRANDPAR
(18,16),(16,24),-0.6785 # DEPENDENCYPART_GRANDPAR
(18,16),(16,25),-0.605181 # DEPENDENCYPART_GRANDPAR
(18,19),(19,18),-0.73352 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,19),(19,20),-0.0156376 # DEPENDENCYPART_GRANDPAR
(18,19),(19,22),-0.0766947 # DEPENDENCYPART_GRANDPAR
(18,19),(19,23),-0.0432665 # DEPENDENCYPART_GRANDPAR
(18,19),(19,24),-0.15323 # DEPENDENCYPART_GRANDPAR
(18,20),(20,4),-0.423733 # DEPENDENCYPART_GRANDPAR
(18,20),(20,5),-0.174224 # DEPENDENCYPART_GRANDPAR
(18,20),(20,6),-0.399856 # DEPENDENCYPART_GRANDPAR
(18,20),(20,7),-0.28604 # DEPENDENCYPART_GRANDPAR
(18,20),(20,10),-0.376973 # DEPENDENCYPART_GRANDPAR
(18,20),(20,14),-0.219281 # DEPENDENCYPART_GRANDPAR
(18,20),(20,15),-0.242038 # DEPENDENCYPART_GRANDPAR
(18,20),(20,16),-0.213346 # DEPENDENCYPART_GRANDPAR
(18,20),(20,18),-0.717098 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,20),(20,19),0.627811 # DEPENDENCYPART_GRANDPAR
(18,20),(20,21),-0.0771184 # DEPENDENCYPART_GRANDPAR
(18,20),(20,22),-0.166629 # DEPENDENCYPART_GRANDPAR
(18,20),(20,23),-0.0179572 # DEPENDENCYPART_GRANDPAR
(18,20),(20,24),-0.241393 # DEPENDENCYPART_GRANDPAR
(18,20),(20,25),-0.269889 # DEPENDENCYPART_GRANDPAR
(18,22),(22,18),-0.767212 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,22),(22,19),0.391868 # DEPENDENCYPART_GRANDPAR
(18,22),(22,21),0.10513 # DEPENDENCYPART_GRANDPAR
(18,22),(22,23),-0.087582 # DEPENDENCYPART_GRANDPAR
(18,22),(22,24),-0.20965 # DEPENDENCYPART_GRANDPAR
(18,22),(22,25),-0.161761 # DEPENDENCYPART_GRANDPAR
(18,23),(23,21),-0.0891837 # DEPENDENCYPART_GRANDPAR
(18,23),(23,22),-0.235058 # DEPENDENCYPART_GRANDPAR
(18,23),(23,24),-0.175526 # DEPENDENCYPART_GRANDPAR
(19,18),(18,4),-0.550114 # DEPENDENCYPART_GRANDPAR
(19,18),(18,9),-0.388988 # DEPENDENCYPART_GRANDPAR
(19,18),(18,14),-0.310765 # DEPENDENCYPART_GRANDPAR
(19,18),(18,15),-0.357315 # DEPENDENCYPART_GRANDPAR
(19,18),(18,16),-0.281689 # DEPENDENCYPART_GRANDPAR
(19,18),(18,19),-1.20447 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,18),(18,20),0.157819 # DEPENDENCYPART_GRANDPAR
(19,18),(18,22),-0.205405 # DEPENDENCYPART_GRANDPAR
(19,18),(18,23),-0.204323 # DEPENDENCYPART_GRANDPAR
(19,20),(20,4),-1.01689 # DEPENDENCYPART_GRANDPAR
(19,20),(20,5),-0.846554 # DEPENDENCYPART_GRANDPAR
(19,20),(20,6),-0.940754 # DEPENDENCYPART_GRANDPAR
(19,20),(20,7),-0.857758 # DEPENDENCYPART_GRANDPAR
(19,20),(20,10),-0.805214 # DEPENDENCYPART_GRANDPAR
(19,20),(20,14),-0.774211 # DEPENDENCYPART_GRANDPAR
(19,20),(20,15),-0.708408 # DEPENDENCYPART_GRANDPAR
(19,20),(20,16),-0.761848 # DEPENDENCYPART_GRANDPAR
(19,20),(20,18),-0.539042 # DEPENDENCYPART_GRANDPAR
(19,20),(20,19),-0.813591 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,20),(20,21),-0.0921594 # DEPENDENCYPART_GRANDPAR
(19,20),(20,22),0.235055 # DEPENDENCYPART_GRANDPAR
(19,20),(20,23),0.175657 # DEPENDENCYPART_GRANDPAR
(19,20),(20,24),-0.00197143 # DEPENDENCYPART_GRANDPAR
(19,20),(20,25),-0.224667 # DEPENDENCYPART_GRANDPAR
(19,22),(22,18),-0.549553 # DEPENDENCYPART_GRANDPAR
(19,22),(22,19),-0.906401 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,22),(22,21),0.108127 # DEPENDENCYPART_GRANDPAR
(19,22),(22,23),0.146301 # DEPENDENCYPART_GRANDPAR
(19,22),(22,24),0.0208102 # DEPENDENCYPART_GRANDPAR
(19,22),(22,25),-0.0791093 # DEPENDENCYPART_GRANDPAR
(19,23),(23,21),-0.0467678 # DEPENDENCYPART_GRANDPAR
(19,23),(23,22),0.149077 # DEPENDENCYPART_GRANDPAR
(19,23),(23,24),0.124584 # DEPENDENCYPART_GRANDPAR
(19,24),(24,21),0.106233 # DEPENDENCYPART_GRANDPAR
(19,24),(24,22),0.275009 # DEPENDENCYPART_GRANDPAR
(19,24),(24,23),0.226717 # DEPENDENCYPART_GRANDPAR
(19,24),(24,25),-0.0792242 # DEPENDENCYPART_GRANDPAR
(20,4),(4,1),-0.169345 # DEPENDENCYPART_GRANDPAR
(20,4),(4,2),0.162265 # DEPENDENCYPART_GRANDPAR
(20,4),(4,3),-0.286848 # DEPENDENCYPART_GRANDPAR
(20,4),(4,5),-0.128812 # DEPENDENCYPART_GRANDPAR
(20,4),(4,6),-0.195053 # DEPENDENCYPART_GRANDPAR
(20,4),(4,7),0.131618 # DEPENDENCYPART_GRANDPAR
(20,4),(4,9),-0.356212 # DEPENDENCYPART_GRANDPAR
(20,4),(4,10),-0.0931394 # DEPENDENCYPART_GRANDPAR
(20,4),(4,11),-0.140854 # DEPENDENCYPART_GRANDPAR
(20,4),(4,15),-0.114768 # DEPENDENCYPART_GRANDPAR
(20,4),(4,20),-0.913397 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,5),(5,1),0.110448 # DEPENDENCYPART_GRANDPAR
(20,5),(5,3),-0.134588 # DEPENDENCYPART_GRANDPAR
(20,5),(5,4),0.0879868 # DEPENDENCYPART_GRANDPAR
(20,5),(5,6),-0.255182 # DEPENDENCYPART_GRANDPAR
(20,5),(5,7),0.00297587 # DEPENDENCYPART_GRANDPAR
(20,5),(5,9),-0.408714 # DEPENDENCYPART_GRANDPAR
(20,5),(5,10),-0.238237 # DEPENDENCYPART_GRANDPAR
(20,5),(5,16),-0.244478 # DEPENDENCYPART_GRANDPAR
(20,5),(5,18),-0.0661811 # DEPENDENCYPART_GRANDPAR
(20,6),(6,1),-0.12371 # DEPENDENCYPART_GRANDPAR
(20,6),(6,2),0.218568 # DEPENDENCYPART_GRANDPAR
(20,6),(6,3),-0.256142 # DEPENDENCYPART_GRANDPAR
(20,6),(6,4),-0.0801045 # DEPENDENCYPART_GRANDPAR
(20,6),(6,5),-0.143323 # DEPENDENCYPART_GRANDPAR
(20,6),(6,7),0.1436 # DEPENDENCYPART_GRANDPAR
(20,6),(6,8),-0.1819 # DEPENDENCYPART_GRANDPAR
(20,6),(6,9),-0.335686 # DEPENDENCYPART_GRANDPAR
(20,6),(6,10),-0.0848579 # DEPENDENCYPART_GRANDPAR
(20,6),(6,11),-0.132573 # DEPENDENCYPART_GRANDPAR
(20,6),(6,12),-0.139726 # DEPENDENCYPART_GRANDPAR
(20,6),(6,14),-0.276212 # DEPENDENCYPART_GRANDPAR
(20,6),(6,15),-0.102786 # DEPENDENCYPART_GRANDPAR
(20,6),(6,16),-0.000334104 # DEPENDENCYPART_GRANDPAR
(20,6),(6,18),-0.0907621 # DEPENDENCYPART_GRANDPAR
(20,6),(6,19),-0.126363 # DEPENDENCYPART_GRANDPAR
(20,6),(6,20),-0.912185 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,10),(10,1),0.123511 # DEPENDENCYPART_GRANDPAR
(20,10),(10,3),-0.263837 # DEPENDENCYPART_GRANDPAR
(20,10),(10,4),0.00924741 # DEPENDENCYPART_GRANDPAR
(20,10),(10,5),0.030729 # DEPENDENCYPART_GRANDPAR
(20,10),(10,6),-0.0418081 # DEPENDENCYPART_GRANDPAR
(20,10),(10,7),0.150186 # DEPENDENCYPART_GRANDPAR
(20,10),(10,8),-0.0448367 # DEPENDENCYPART_GRANDPAR
(20,10),(10,9),-0.222463 # DEPENDENCYPART_GRANDPAR
(20,10),(10,11),-0.309467 # DEPENDENCYPART_GRANDPAR
(20,10),(10,12),-0.224673 # DEPENDENCYPART_GRANDPAR
(20,10),(10,14),-0.361046 # DEPENDENCYPART_GRANDPAR
(20,10),(10,15),-0.276679 # DEPENDENCYPART_GRANDPAR
(20,10),(10,16),-0.242802 # DEPENDENCYPART_GRANDPAR
(20,10),(10,17),-0.180626 # DEPENDENCYPART_GRANDPAR
(20,10),(10,18),-0.142538 # DEPENDENCYPART_GRANDPAR
(20,10),(10,19),0.0367329 # DEPENDENCYPART_GRANDPAR
(20,10),(10,20),-0.995712 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,10),(10,25),-0.458386 # DEPENDENCYPART_GRANDPAR
(20,14),(14,6),-0.121065 # DEPENDENCYPART_GRANDPAR
(20,14),(14,8),-0.127552 # DEPENDENCYPART_GRANDPAR
(20,14),(14,9),-0.295467 # DEPENDENCYPART_GRANDPAR
(20,14),(14,11),-0.278347 # DEPENDENCYPART_GRANDPAR
(20,14),(14,12),-0.0932525 # DEPENDENCYPART_GRANDPAR
(20,14),(14,13),-0.602688 # DEPENDENCYPART_GRANDPAR
(20,14),(14,15),-0.100109 # DEPENDENCYPART_GRANDPAR
(20,14),(14,16),0.000553779 # DEPENDENCYPART_GRANDPAR
(20,14),(14,17),-0.00359873 # DEPENDENCYPART_GRANDPAR
(20,14),(14,18),-0.0899153 # DEPENDENCYPART_GRANDPAR
(20,14),(14,19),-0.125516 # DEPENDENCYPART_GRANDPAR
(20,14),(14,20),-0.912185 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,14),(14,22),0.42765 # DEPENDENCYPART_GRANDPAR
(20,16),(16,1),0.0243991 # DEPENDENCYPART_GRANDPAR
