# _root_ Most Wall Street firms , in pulling back , have merely stopped such trading for their own accounts .
#goldHeads=4,4,4,10,10,10,6,7,10,0,12,10,12,13,12,18,18,15,10,
#predictedHeads=4,4,4,10,10,10,6,7,10,0,10,10,12,13,14,18,18,15,10,
(18,11),(11,15),0.138086 # DEPENDENCYPART_GRANDPAR
(18,11),(11,18),-1.17331 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,11),(11,19),0.00137494 # DEPENDENCYPART_GRANDPAR
(18,12),(12,2),-0.399599 # DEPENDENCYPART_GRANDPAR
(18,12),(12,4),-0.459489 # DEPENDENCYPART_GRANDPAR
(18,12),(12,5),0.143082 # DEPENDENCYPART_GRANDPAR
(18,12),(12,6),-0.253431 # DEPENDENCYPART_GRANDPAR
(18,12),(12,7),-0.10067 # DEPENDENCYPART_GRANDPAR
(18,12),(12,8),0.28344 # DEPENDENCYPART_GRANDPAR
(18,12),(12,9),0.0391438 # DEPENDENCYPART_GRANDPAR
(18,12),(12,11),0.390777 # DEPENDENCYPART_GRANDPAR
(18,12),(12,13),0.312331 # DEPENDENCYPART_GRANDPAR
(18,12),(12,14),0.168854 # DEPENDENCYPART_GRANDPAR
(18,12),(12,15),0.157632 # DEPENDENCYPART_GRANDPAR
(18,12),(12,18),-1.33802 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,12),(12,19),-0.125338 # DEPENDENCYPART_GRANDPAR
(18,13),(13,6),-0.332044 # DEPENDENCYPART_GRANDPAR
(18,13),(13,8),0.184586 # DEPENDENCYPART_GRANDPAR
(18,13),(13,9),0.0934364 # DEPENDENCYPART_GRANDPAR
(18,13),(13,11),0.326166 # DEPENDENCYPART_GRANDPAR
(18,13),(13,14),0.164836 # DEPENDENCYPART_GRANDPAR
(18,13),(13,15),0.0554283 # DEPENDENCYPART_GRANDPAR
(18,13),(13,17),0.563642 # DEPENDENCYPART_GRANDPAR
(18,13),(13,18),-1.17994 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,13),(13,19),-0.0229037 # DEPENDENCYPART_GRANDPAR
(18,14),(14,4),-0.463924 # DEPENDENCYPART_GRANDPAR
(18,14),(14,6),-0.271545 # DEPENDENCYPART_GRANDPAR
(18,14),(14,10),-0.111289 # DEPENDENCYPART_GRANDPAR
(18,14),(14,12),-0.0347364 # DEPENDENCYPART_GRANDPAR
(18,14),(14,13),0.343701 # DEPENDENCYPART_GRANDPAR
(18,14),(14,15),0.126575 # DEPENDENCYPART_GRANDPAR
(18,14),(14,17),0.444479 # DEPENDENCYPART_GRANDPAR
(18,14),(14,18),-1.3385 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,14),(14,19),-0.125663 # DEPENDENCYPART_GRANDPAR
(18,15),(15,13),0.380654 # DEPENDENCYPART_GRANDPAR
(18,15),(15,14),0.274417 # DEPENDENCYPART_GRANDPAR
(18,15),(15,16),0.24362 # DEPENDENCYPART_GRANDPAR
(18,15),(15,17),0.554962 # DEPENDENCYPART_GRANDPAR
(18,15),(15,18),-1.22431 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,15),(15,19),-0.0247425 # DEPENDENCYPART_GRANDPAR
(18,17),(17,11),0.350974 # DEPENDENCYPART_GRANDPAR
(18,17),(17,13),0.388161 # DEPENDENCYPART_GRANDPAR
(18,17),(17,16),0.300917 # DEPENDENCYPART_GRANDPAR
(18,19),(19,15),-0.405287 # DEPENDENCYPART_GRANDPAR
(19,15),(15,13),-0.109769 # DEPENDENCYPART_GRANDPAR
(19,15),(15,14),-0.00161793 # DEPENDENCYPART_GRANDPAR
(19,15),(15,16),-0.0523525 # DEPENDENCYPART_GRANDPAR
(19,15),(15,17),-0.175526 # DEPENDENCYPART_GRANDPAR
(19,15),(15,18),-0.202898 # DEPENDENCYPART_GRANDPAR
(19,15),(15,19),-1.05651 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(0,4),(4,4),(4,5),-0.0998064 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,6),-0.0870013 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,7),-0.135863 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,8),-0.0439049 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,9),-0.0998064 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,10),-0.13834 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,11),-0.0439028 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,12),-0.135878 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,13),-0.0408652 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,14),-0.130783 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,19),-0.0181231 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,20),-0.0864738 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,4),(4,5),(4,6),-0.00698836 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,7),-0.106945 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,8),-0.0378452 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,9),-0.043308 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,10),-0.107469 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,11),-0.0378452 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,12),-0.106945 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,13),-0.0433007 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,14),-0.107314 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,19),-0.074127 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,20),-0.0696836 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,6),(4,7),-0.0653665 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,8),-0.0427091 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,9),-0.0336746 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,10),-0.0654223 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,11),-0.0427091 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,12),-0.0653711 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,13),-0.0254441 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,14),-0.0653665 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,19),0.0215354 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,20),-0.0979397 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,7),(4,8),-0.0422158 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,7),(4,9),-0.0768819 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,7),(4,10),-0.0163378 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,7),(4,11),-0.0422158 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,7),(4,12),-0.0163205 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,7),(4,13),-0.0419989 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,7),(4,14),-0.0163205 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,7),(4,19),-0.209367 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,7),(4,20),-0.0705824 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,8),(4,9),-0.0525515 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,8),(4,10),-0.0572319 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,8),(4,11),-0.0351358 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,8),(4,12),-0.0572226 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,8),(4,13),-0.042116 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,8),(4,14),-0.0572226 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,8),(4,19),-0.0435168 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,8),(4,20),-0.018958 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,9),(4,10),-0.107469 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,9),(4,11),-0.0378452 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,9),(4,12),-0.106945 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,9),(4,13),-0.0433007 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,9),(4,14),-0.107314 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,9),(4,19),-0.074127 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,9),(4,20),-0.0696836 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,10),(4,11),-0.0422158 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,10),(4,12),-0.0167221 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,10),(4,13),-0.0419989 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,10),(4,14),-0.0167221 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,10),(4,19),-0.211429 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,10),(4,20),-0.0709007 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,11),(4,12),-0.0572226 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,11),(4,13),-0.042116 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,11),(4,14),-0.0572226 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,11),(4,19),-0.0435168 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,11),(4,20),-0.0189559 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,12),(4,13),-0.0419989 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,12),(4,14),-0.0163205 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,12),(4,19),-0.209386 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,12),(4,20),-0.0705824 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,13),(4,14),-0.0452607 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,13),(4,19),-0.0370129 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,13),(4,20),-0.0429458 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,14),(4,19),-0.209561 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,14),(4,20),-0.0707401 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,19),(4,20),-0.0497572 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,4),(4,3),0.267882 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,2),0.267857 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,1),0.0618397 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,-1),-0.258485 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,4),(4,3),(4,2),0.0591424 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,3),(4,1),0.0770984 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,3),(4,-1),-0.0564492 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,2),(4,1),0.0770984 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,2),(4,-1),-0.0564724 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,1),(4,-1),-0.159313 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,7),(7,8),-0.034372 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,7),(7,7),(7,9),-0.0367839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,7),(7,7),(7,10),-0.111636 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,7),(7,7),(7,11),-0.0312158 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,7),(7,7),(7,12),-0.107452 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,7),(7,7),(7,13),0.0105195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,7),(7,7),(7,14),-0.106555 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,7),(7,7),(7,15),-0.245364 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,7),(7,7),(7,18),-0.0698418 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,7),(7,7),(7,19),-0.144976 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,7),(7,7),(7,20),-0.240693 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,7),(7,8),(7,9),-0.0574946 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,8),(7,10),-0.102433 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,8),(7,11),-0.0348156 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,8),(7,12),-0.0951534 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,8),(7,13),-0.0242332 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,8),(7,14),-0.0954997 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,8),(7,15),-0.0821039 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,8),(7,18),0.00016914 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,8),(7,19),0.0576043 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,8),(7,20),-0.0663438 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,9),(7,10),-0.0301853 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,9),(7,11),-0.0428311 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,9),(7,12),-0.0208076 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,9),(7,13),-0.0541267 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,9),(7,14),-0.0237551 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,9),(7,15),0.098105 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,9),(7,18),-0.103742 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,9),(7,19),-0.00172918 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,9),(7,20),-0.0762482 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,10),(7,11),-0.0114791 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,10),(7,12),-0.0597792 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,10),(7,13),-0.0379696 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,10),(7,14),-0.0620529 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,10),(7,15),0.0218286 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,10),(7,18),0.0090803 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,10),(7,19),-0.0414647 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,10),(7,20),-0.119107 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,11),(7,12),-0.0922657 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,11),(7,13),-0.0242332 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,11),(7,14),-0.092612 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,11),(7,15),-0.0790802 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,11),(7,18),0.00245615 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,11),(7,19),0.0544106 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,11),(7,20),-0.0663274 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,12),(7,13),-0.0379696 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,12),(7,14),-0.0599856 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,12),(7,15),0.0239719 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,12),(7,18),0.00904404 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,12),(7,19),-0.0418117 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,12),(7,20),-0.117387 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,13),(7,14),-0.0364426 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,13),(7,15),-0.0228513 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,13),(7,18),-0.0360446 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,13),(7,19),0.0214906 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,13),(7,20),-0.0553934 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,14),(7,15),0.0286922 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,14),(7,18),0.0119401 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,14),(7,19),-0.0540756 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,14),(7,20),-0.118391 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,15),(7,18),-0.0459811 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,15),(7,19),0.0648777 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,15),(7,20),-0.0917792 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,18),(7,19),0.0294012 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,18),(7,20),-0.13786 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,19),(7,20),0.140919 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,7),(7,6),0.206394 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,7),(7,7),(7,5),0.127561 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,7),(7,7),(7,4),0.29702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,7),(7,7),(7,-1),-0.643998 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,7),(7,6),(7,5),0.116264 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,6),(7,4),0.197414 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,6),(7,-1),-0.228525 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,5),(7,4),0.103721 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,5),(7,-1),-0.367496 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,4),(7,-1),0.0475794 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,10),(10,11),-0.0308647 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,12),-0.0999373 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,13),0.0066762 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,14),-0.0990397 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,15),-0.253309 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,18),-0.0610323 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,19),-0.146771 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,20),-0.240693 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,10),(10,11),(10,12),-0.0873213 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,11),(10,13),-0.0242332 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,11),(10,14),-0.0876676 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,11),(10,15),-0.0794124 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,11),(10,18),0.000677978 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,11),(10,19),0.0502563 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,11),(10,20),-0.0664199 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,12),(10,13),-0.0388248 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,12),(10,14),-0.0616628 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,12),(10,15),0.0319809 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,12),(10,18),0.00575302 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,12),(10,19),-0.0198362 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,12),(10,20),-0.12073 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,13),(10,14),-0.0368301 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,13),(10,15),-0.0229752 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,13),(10,18),-0.0366576 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,13),(10,19),0.0188076 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,13),(10,20),-0.055404 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,14),(10,15),0.0367013 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,14),(10,18),0.00864912 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,14),(10,19),-0.0321001 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,14),(10,20),-0.121735 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,15),(10,18),-0.0460953 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,15),(10,19),0.0664424 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,15),(10,20),-0.0924876 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,18),(10,19),0.041448 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,18),(10,20),-0.139161 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,19),(10,20),0.14149 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,10),(10,9),0.123388 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,8),0.227413 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,7),0.02796 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,6),0.212425 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,5),0.123388 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,4),0.305929 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,3),0.303198 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,2),0.300884 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,1),0.269898 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,-1),-0.645629 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,10),(10,9),(10,8),0.197338 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,9),(10,7),0.1262 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,9),(10,6),0.306486 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,9),(10,5),0.0832419 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,9),(10,4),0.109646 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,9),(10,3),0.111767 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,9),(10,2),0.111764 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,9),(10,1),0.157048 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,9),(10,-1),-0.36254 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,8),(10,7),0.127573 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,8),(10,6),0.111624 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,8),(10,5),0.0885253 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,8),(10,4),0.13475 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,8),(10,3),0.132873 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,8),(10,2),0.132874 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,8),(10,1),0.125758 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,8),(10,-1),-0.163552 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,7),(10,6),0.11877 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,7),(10,5),0.0566095 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,7),(10,4),0.0974154 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,7),(10,3),0.0975873 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,7),(10,2),0.0975873 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,7),(10,1),0.109056 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,7),(10,-1),0.00689902 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,6),(10,5),0.117289 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,6),(10,4),0.197384 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,6),(10,3),0.197389 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,6),(10,2),0.197389 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,6),(10,1),0.119227 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,6),(10,-1),-0.214189 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,5),(10,4),0.109646 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,5),(10,3),0.111767 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,5),(10,2),0.111764 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,5),(10,1),0.157048 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,5),(10,-1),-0.36254 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,4),(10,3),0.14743 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,4),(10,2),0.14744 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,4),(10,1),0.0856954 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,4),(10,-1),0.033942 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,3),(10,2),0.147943 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,3),(10,1),0.0856999 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,3),(10,-1),0.033531 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,2),(10,1),0.0856999 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,2),(10,-1),0.0301887 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,1),(10,-1),0.00300036 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,12),(12,12),(12,13),0.0105195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,12),(12,12),(12,14),-0.106768 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,12),(12,12),(12,15),-0.246122 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,12),(12,12),(12,18),-0.0699088 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,12),(12,12),(12,19),-0.144976 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,12),(12,12),(12,20),-0.240693 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,12),(12,13),(12,14),-0.0364426 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,13),(12,15),-0.0228513 # DEPENDENCYPART_GRANDSIBL
