# _root_ And some carriers are facing other unexpected headaches : USAir , for example , blamed some of its loss on merger expenses and on disruptions caused by Hurricane Hugo last month .
#goldHeads=4,3,4,0,4,8,8,5,4,15,15,15,12,15,4,15,16,19,17,23,22,20,15,23,24,25,26,29,27,31,26,4,
#predictedHeads=4,3,4,0,4,8,8,5,4,15,15,15,12,15,4,15,16,19,17,23,22,20,15,23,24,25,26,29,27,31,26,4,
(4,8),(8,14),(8,17),-0.0189043 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,14),(8,19),-0.0465462 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,14),(8,20),-0.0182184 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,14),(8,22),-0.0447488 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,14),(8,23),0.0400614 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,14),(8,26),-0.00324078 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,14),(8,32),-0.0194519 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,14),(8,33),-0.0704137 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,15),(8,16),-0.00820972 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,15),(8,17),0.00328421 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,15),(8,19),-0.02647 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,15),(8,20),-0.000757352 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,15),(8,22),-0.02647 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,15),(8,23),-0.0269042 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,15),(8,26),-0.00383004 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,15),(8,32),-0.0198158 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,15),(8,33),-0.0199344 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,16),(8,17),-0.0249751 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,16),(8,19),-0.035504 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,16),(8,20),-0.0222149 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,16),(8,22),-0.035504 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,16),(8,23),-0.0221346 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,16),(8,26),-0.0206715 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,16),(8,32),-0.0208141 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,16),(8,33),0.0265475 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,17),(8,19),-0.0373789 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,17),(8,20),-0.0038442 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,17),(8,22),-0.0372791 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,17),(8,23),-0.0378859 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,17),(8,26),-0.00891709 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,17),(8,32),-0.0214351 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,17),(8,33),-0.0366405 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,19),(8,20),-0.030872 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,19),(8,22),-0.0310803 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,19),(8,23),-0.0315109 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,19),(8,26),-0.00608646 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,19),(8,32),-0.0209326 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,19),(8,33),-0.0266752 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,20),(8,22),-0.0362326 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,20),(8,23),-0.0291988 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,20),(8,26),-0.0110545 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,20),(8,32),-0.0213922 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,20),(8,33),-0.0248178 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,22),(8,23),-0.0315008 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,22),(8,26),-0.00608646 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,22),(8,32),-0.0209326 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,22),(8,33),-0.0231443 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,23),(8,26),0.00891325 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,23),(8,32),-0.00475843 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,23),(8,33),-0.0177602 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,26),(8,32),-0.0198158 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,26),(8,33),-0.0211025 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,32),(8,33),-0.0121025 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,8),(8,7),0.123519 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,6),0.120944 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,5),0.164791 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,3),-0.0417707 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,2),-0.149004 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,1),-0.138915 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,-1),-0.2334 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,8),(8,7),(8,6),0.101252 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,7),(8,5),0.102306 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,7),(8,3),-0.14492 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,7),(8,2),-0.14797 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,7),(8,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,7),(8,-1),-0.0986849 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,6),(8,5),0.101687 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,6),(8,3),-0.14492 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,6),(8,2),-0.14797 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,6),(8,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,6),(8,-1),-0.0991123 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,5),(8,3),-0.138157 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,5),(8,2),-0.150197 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,5),(8,1),-0.144786 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,5),(8,-1),-0.113562 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,3),(8,2),-0.142208 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,3),(8,1),-0.145518 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,3),(8,-1),-0.0995323 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,2),(8,1),-0.144724 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,2),(8,-1),-0.172301 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,1),(8,-1),-0.144606 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,9),(9,13),-0.0252414 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,33),0.0180248 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,9),(9,13),(9,33),-0.0243969 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,9),(9,-1),-0.12689 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,11),(11,11),(11,12),-0.0279052 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,33),0.0263685 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,11),(11,12),(11,33),-0.0279052 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,11),(11,-1),-0.118465 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,12),(12,12),(12,13),0.0487833 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,12),(12,12),(12,14),-0.0384019 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,12),(12,12),(12,15),-0.00748641 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,12),(12,12),(12,33),-0.0444754 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,12),(12,13),(12,14),-0.0403953 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,13),(12,15),-0.0349318 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,13),(12,33),0.0987674 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,12),(12,14),(12,15),-0.0214514 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,14),(12,33),0.0320923 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,12),(12,15),(12,33),-0.0848979 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,12),(12,12),(12,11),0.0990561 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,12),(12,12),(12,-1),0.061398 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,12),(12,11),(12,-1),-0.155363 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,14),(14,33),0.0263685 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,14),(14,14),(14,-1),-0.118465 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,15),(15,15),(15,16),-0.0394583 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,17),-0.0840936 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,19),0.0600376 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,20),-0.0444466 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,21),0.0559296 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,22),0.0572899 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,23),0.00324607 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,24),-0.0444466 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,25),0.0578379 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,26),-0.0637445 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,27),-0.0663585 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,30),0.0285207 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,31),0.0536221 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,32),-0.0411165 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,33),0.076966 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,15),(15,16),(15,17),-0.0105996 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,16),(15,19),-0.0235211 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,16),(15,20),-0.00492188 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,16),(15,21),-0.0235211 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,16),(15,22),-0.0235211 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,16),(15,23),-0.0170697 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,16),(15,24),-0.00492188 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,16),(15,25),-0.0235211 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,16),(15,26),-0.0245598 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,16),(15,27),-0.00395227 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,16),(15,30),-0.0252816 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,16),(15,31),-0.0235216 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,16),(15,32),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,16),(15,33),-0.0462251 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,17),(15,19),-0.0132122 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,17),(15,20),-0.0766239 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,17),(15,21),-0.0132122 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,17),(15,22),-0.0132122 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,17),(15,23),-0.0304457 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,17),(15,24),-0.0766239 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,17),(15,25),-0.0132122 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,17),(15,26),-0.0489808 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,17),(15,27),-0.0769574 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,17),(15,30),-0.0302376 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,17),(15,31),-0.0150845 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,17),(15,32),-0.0302885 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,17),(15,33),0.0525309 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,19),(15,20),-0.0190172 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,19),(15,21),0.00318056 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,19),(15,22),0.00318056 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,19),(15,23),0.00542145 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,19),(15,24),-0.0190172 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,19),(15,25),0.00318056 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,19),(15,26),-0.035932 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,19),(15,27),-0.0105799 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,19),(15,30),-0.0158448 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,19),(15,31),0.00145497 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,19),(15,32),-0.0145716 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,19),(15,33),-0.034283 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,20),(15,21),-0.0218484 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,20),(15,22),-0.0218484 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,20),(15,23),-0.0306664 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,20),(15,24),-0.0673141 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,20),(15,25),-0.0218484 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,20),(15,26),-0.0552519 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,20),(15,27),-0.0676476 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,20),(15,30),-0.0294485 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,20),(15,31),-0.0237207 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,20),(15,32),-0.0302885 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,20),(15,33),0.0855597 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,21),(15,22),0.00318434 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,21),(15,23),0.00595598 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,21),(15,24),-0.0189239 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,21),(15,25),0.00318434 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,21),(15,26),-0.0353383 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,21),(15,27),-0.0104866 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,21),(15,30),-0.0158444 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,21),(15,31),0.00145875 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,21),(15,32),-0.0145716 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,21),(15,33),-0.0373873 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,22),(15,23),0.00595598 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,22),(15,24),-0.0189239 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,22),(15,25),0.00318434 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,22),(15,26),-0.035344 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,22),(15,27),-0.0104866 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,22),(15,30),-0.0158444 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,22),(15,31),0.00145875 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,22),(15,32),-0.0145716 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,22),(15,33),-0.037504 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,23),(15,24),0.021652 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,23),(15,25),-0.233006 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,23),(15,26),0.0101708 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,23),(15,27),-0.00232094 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,23),(15,30),-0.0801405 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,23),(15,31),-0.321944 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,23),(15,32),-0.00446298 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,23),(15,33),-0.0565793 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,24),(15,25),-0.0218484 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,24),(15,26),-0.0552519 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,24),(15,27),-0.0676476 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,24),(15,30),-0.0294485 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,24),(15,31),-0.0237207 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,24),(15,32),-0.0302885 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,24),(15,33),0.0855597 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,25),(15,26),-0.0353383 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,25),(15,27),-0.0104866 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,25),(15,30),-0.0158444 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,25),(15,31),0.00145875 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,25),(15,32),-0.0145716 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,25),(15,33),-0.0369616 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,26),(15,27),-0.0360757 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,26),(15,30),-0.0230465 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,26),(15,31),-0.03079 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,26),(15,32),-0.00237462 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,26),(15,33),-0.00914326 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,27),(15,30),-0.0304698 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,27),(15,31),-0.0181647 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,27),(15,32),-0.030662 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,27),(15,33),0.0511063 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,30),(15,31),-0.0357272 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,30),(15,32),-0.0198773 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,30),(15,33),0.00691354 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,31),(15,32),-0.0152215 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,31),(15,33),-0.0450764 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,32),(15,33),-0.0327868 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,15),(15,14),0.11444 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,13),0.154508 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,12),-0.0175768 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,11),0.11444 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,10),0.153643 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,9),0.110636 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,8),0.155091 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,7),0.139963 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,6),0.1427 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,5),0.135853 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,4),0.12858 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,3),-0.191263 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,2),-0.138603 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,1),-0.166447 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,-1),-0.217985 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,15),(15,14),(15,13),0.119161 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,14),(15,12),0.061314 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,14),(15,11),0.112316 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,14),(15,10),0.119161 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,14),(15,9),0.109007 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,14),(15,8),0.119161 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,14),(15,7),0.0978599 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,14),(15,6),0.0978599 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,14),(15,5),0.138265 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,14),(15,4),0.140767 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,14),(15,3),-0.146784 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,14),(15,2),-0.144711 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,14),(15,1),-0.15206 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,14),(15,-1),-0.124446 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,13),(15,12),0.224892 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,13),(15,11),0.101448 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,13),(15,10),0.095863 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,13),(15,9),0.109727 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,13),(15,8),0.095863 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,13),(15,7),0.0983029 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,13),(15,6),0.0982973 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,13),(15,5),0.104395 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,13),(15,4),0.102421 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,13),(15,3),-0.147956 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,13),(15,2),-0.144723 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,13),(15,1),-0.145923 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,13),(15,-1),-0.16826 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,12),(15,11),0.0574286 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,12),(15,10),0.108968 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,12),(15,9),0.111086 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,12),(15,8),0.108968 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,12),(15,7),0.135365 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,12),(15,6),0.135359 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,12),(15,5),0.107048 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,12),(15,4),0.106526 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,12),(15,3),-0.145339 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,12),(15,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,12),(15,1),-0.147984 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,12),(15,-1),-0.125731 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,11),(15,10),0.119161 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,11),(15,9),0.109007 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,11),(15,8),0.119161 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,11),(15,7),0.0978599 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,11),(15,6),0.0978599 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,11),(15,5),0.138265 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,11),(15,4),0.140767 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,11),(15,3),-0.146784 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,11),(15,2),-0.144711 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,11),(15,1),-0.15206 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,11),(15,-1),-0.124446 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,10),(15,9),0.109727 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,10),(15,8),0.095863 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,10),(15,7),0.0983029 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,10),(15,6),0.0982973 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,10),(15,5),0.104395 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,10),(15,4),0.102421 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,10),(15,3),-0.147956 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,10),(15,2),-0.144723 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,10),(15,1),-0.145923 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,10),(15,-1),-0.168258 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,9),(15,8),0.106244 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,9),(15,7),0.108985 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,9),(15,6),0.108985 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,9),(15,5),0.133317 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,9),(15,4),0.138358 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,9),(15,3),-0.144961 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,9),(15,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
