# _root_ Directors of Bergen Bank and Den Norske Creditbank , two of Norway 's leading banks , announced they had agreed to the formal merger of the banks .
#goldHeads=17,1,4,5,2,8,8,5,5,5,10,15,12,15,11,5,0,19,17,19,20,24,24,21,24,27,25,17,
#predictedHeads=17,1,4,5,2,8,8,5,8,8,10,15,12,15,11,8,0,19,17,19,20,24,24,21,24,27,25,17,
(0,5),(5,2),(5,-1),-0.21306 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,5),(5,1),(5,-1),-0.0357716 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,17),(17,18),-0.0303922 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,19),-0.0344793 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,20),-0.0444761 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,21),-0.0814549 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,23),0.0608378 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,24),-0.0230806 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,25),-0.175614 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,27),-0.0241725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,28),-0.109415 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,29),-0.195809 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,17),(17,18),(17,19),-0.00523085 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,18),(17,20),-0.00683236 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,18),(17,21),-0.0221594 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,18),(17,23),-0.0132691 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,18),(17,24),-0.0113842 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,18),(17,25),-0.00631124 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,18),(17,27),-0.0113842 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,18),(17,28),-0.034552 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,18),(17,29),-0.0194899 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,19),(17,20),-0.0480859 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,19),(17,21),-0.0307739 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,19),(17,23),-0.0172769 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,19),(17,24),0.0015971 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,19),(17,25),0.0390943 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,19),(17,27),0.0015971 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,19),(17,28),-0.0270607 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,19),(17,29),-0.05984 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,20),(17,21),-0.0307739 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,20),(17,23),-0.0172769 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,20),(17,24),0.0015854 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,20),(17,25),0.0381034 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,20),(17,27),0.0015854 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,20),(17,28),-0.0317718 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,20),(17,29),-0.059653 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,21),(17,23),-0.0219397 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,21),(17,24),0.0043449 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,21),(17,25),-0.0275079 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,21),(17,27),0.0043449 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,21),(17,28),0.0211487 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,21),(17,29),-0.051534 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,23),(17,24),-0.0212095 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,23),(17,25),0.00759386 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,23),(17,27),-0.0212095 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,23),(17,28),0.0680269 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,23),(17,29),-0.0328261 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,24),(17,25),0.0573076 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,24),(17,27),0.0272734 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,24),(17,28),0.0628238 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,24),(17,29),-0.075382 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,25),(17,27),-0.0104755 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,25),(17,28),0.112309 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,25),(17,29),-0.0578816 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,27),(17,28),0.0617524 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,27),(17,29),-0.0753823 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,28),(17,29),0.172565 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,17),(17,16),0.110661 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,15),0.318125 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,14),0.220472 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,12),0.320079 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,11),0.167521 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,10),0.187616 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,9),0.110661 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,8),0.320079 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,7),0.320079 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,6),0.320079 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,5),0.110991 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,4),0.310562 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,3),0.320079 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,2),0.167521 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,1),0.319721 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,-1),-0.633935 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,17),(17,16),(17,15),0.105512 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,16),(17,14),0.138577 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,16),(17,12),0.101053 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,16),(17,11),0.319123 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,16),(17,10),0.0928338 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,16),(17,9),0.072063 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,16),(17,8),0.101053 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,16),(17,7),0.101053 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,16),(17,6),0.101053 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,16),(17,5),0.0979901 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,16),(17,4),0.0964772 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,16),(17,3),0.101053 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,16),(17,2),0.319123 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,16),(17,1),0.101053 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,16),(17,-1),-0.350862 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,15),(17,14),0.0905629 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,15),(17,12),0.113736 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,15),(17,11),-0.0840363 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,15),(17,10),0.104796 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,15),(17,9),0.290622 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,15),(17,8),0.113736 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,15),(17,7),0.113736 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,15),(17,6),0.113736 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,15),(17,5),0.131488 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,15),(17,4),0.116195 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,15),(17,3),0.113736 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,15),(17,2),-0.0840363 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,15),(17,1),0.113736 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,15),(17,-1),0.0607869 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,14),(17,12),0.0991657 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,14),(17,11),0.106212 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,14),(17,10),0.109097 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,14),(17,9),0.138326 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,14),(17,8),0.0991657 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,14),(17,7),0.0991657 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,14),(17,6),0.0991657 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,14),(17,5),0.107712 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,14),(17,4),0.0991657 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,14),(17,3),0.0991657 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,14),(17,2),0.106212 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,14),(17,1),0.0991657 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,14),(17,-1),-0.0621601 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,12),(17,11),-0.0833535 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,12),(17,10),0.104796 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,12),(17,9),0.289483 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,12),(17,8),0.113736 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,12),(17,7),0.113736 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,12),(17,6),0.113736 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,12),(17,5),0.131488 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,12),(17,4),0.116195 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,12),(17,3),0.113736 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,12),(17,2),-0.0833535 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,12),(17,1),0.113736 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,12),(17,-1),0.060866 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,11),(17,10),0.103608 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,11),(17,9),0.119789 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,11),(17,8),0.16526 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,11),(17,7),0.16526 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,11),(17,6),0.16526 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,11),(17,5),0.0985079 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,11),(17,4),0.164942 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,11),(17,3),0.16526 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,11),(17,2),0.116317 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,11),(17,1),0.16526 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,11),(17,-1),-0.227399 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,10),(17,9),0.132825 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,10),(17,8),0.104831 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,10),(17,7),0.104831 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,10),(17,6),0.104831 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,10),(17,5),0.10954 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,10),(17,4),0.104831 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,10),(17,3),0.104831 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,10),(17,2),0.10534 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,10),(17,1),0.104831 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,10),(17,-1),-0.0980645 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,9),(17,8),0.101053 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,9),(17,7),0.101053 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,9),(17,6),0.101053 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,9),(17,5),0.0979901 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,9),(17,4),0.0964772 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,9),(17,3),0.101053 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,9),(17,2),0.319123 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,9),(17,1),0.101053 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,9),(17,-1),-0.350862 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,8),(17,7),0.113736 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,8),(17,6),0.113736 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,8),(17,5),0.131488 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,8),(17,4),0.116195 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,8),(17,3),0.113736 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,8),(17,2),-0.0833535 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,8),(17,1),0.113736 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,8),(17,-1),0.060866 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,7),(17,6),0.113736 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,7),(17,5),0.131488 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,7),(17,4),0.116195 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,7),(17,3),0.113736 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,7),(17,2),-0.0833535 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,7),(17,1),0.113736 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,7),(17,-1),0.060866 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,6),(17,5),0.131488 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,6),(17,4),0.116195 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,6),(17,3),0.113736 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,6),(17,2),-0.0833535 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,6),(17,1),0.113736 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,6),(17,-1),0.060866 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,5),(17,4),-0.211946 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,5),(17,3),-0.181121 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,5),(17,2),-0.184435 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,5),(17,1),-0.0872321 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,5),(17,-1),0.00891383 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,4),(17,3),0.113046 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,4),(17,2),-0.0787874 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,4),(17,1),0.113046 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,4),(17,-1),0.0473356 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,3),(17,2),-0.0833535 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,3),(17,1),0.113736 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,3),(17,-1),0.060866 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,2),(17,1),0.16526 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,2),(17,-1),-0.227399 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,1),(17,-1),0.0610396 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,19),(19,20),-0.0479377 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,21),-0.0814665 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,24),-0.0231008 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,25),-0.178325 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,27),-0.0241928 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,28),-0.112526 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,29),-0.195809 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,19),(19,20),(19,21),-0.0307739 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,20),(19,24),-0.0015349 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,20),(19,25),0.0372842 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,20),(19,27),-0.0015349 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,20),(19,28),-0.027392 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,20),(19,29),-0.0606152 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,21),(19,24),0.00434503 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,21),(19,25),-0.0270006 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,21),(19,27),0.00434503 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,21),(19,28),0.020524 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,21),(19,29),-0.051534 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,24),(19,25),0.0589702 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,24),(19,27),0.0247032 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,24),(19,28),0.0643555 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,24),(19,29),-0.0754692 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,25),(19,27),-0.0111151 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,25),(19,28),0.104576 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,25),(19,29),-0.0578823 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,27),(19,28),0.0632841 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,27),(19,29),-0.0754696 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,28),(19,29),0.176718 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,19),(19,18),0.180757 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,17),0.0481684 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,16),0.109205 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,15),0.332425 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,14),0.220991 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,11),0.161476 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,10),0.191498 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,9),0.109205 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,8),0.334379 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,7),0.334379 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,6),0.334379 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,5),0.109865 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,4),0.324862 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,3),0.334379 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,1),0.334021 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,-1),-0.6347 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,19),(19,18),(19,17),0.123076 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,16),0.0518539 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,15),0.112084 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,14),0.105244 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,11),0.0904422 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,10),0.110295 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,9),0.0518539 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,8),0.112084 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,7),0.112084 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,6),0.112084 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,5),0.145863 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,4),0.112084 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,3),0.112084 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,1),0.112084 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,-1),-0.136081 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,17),(19,16),0.0746811 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,15),0.0515966 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,14),0.103067 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,11),0.10323 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,10),0.111118 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,9),0.0746811 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,8),0.0515972 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,7),0.0515972 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,6),0.0515972 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,5),0.135784 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,4),0.0531879 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,3),0.0515972 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,1),0.0510374 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,-1),-0.0653371 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,16),(19,15),0.10187 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,16),(19,14),0.141647 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,16),(19,11),0.318505 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,16),(19,10),0.0928576 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,16),(19,9),0.0718221 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,16),(19,8),0.0974111 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,16),(19,7),0.0974111 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,16),(19,6),0.0974111 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,16),(19,5),0.0968148 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,16),(19,4),0.092835 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,16),(19,3),0.0974111 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,16),(19,1),0.0974109 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,16),(19,-1),-0.34978 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,15),(19,14),0.0902532 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,15),(19,11),-0.0837609 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,15),(19,10),0.104796 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,15),(19,9),0.289151 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,15),(19,8),0.10359 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,15),(19,7),0.10359 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,15),(19,6),0.10359 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,15),(19,5),0.125925 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,15),(19,4),0.106049 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,15),(19,3),0.10359 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,15),(19,1),0.10359 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,15),(19,-1),0.0726811 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,14),(19,11),0.106212 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,14),(19,10),0.109097 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,14),(19,9),0.138807 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,14),(19,8),0.0991657 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,14),(19,7),0.0991657 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,14),(19,6),0.0991657 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,14),(19,5),0.107712 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,14),(19,4),0.0991657 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,14),(19,3),0.0991657 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,14),(19,1),0.0991657 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,14),(19,-1),-0.0589661 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,11),(19,10),0.103608 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,11),(19,9),0.11749 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,11),(19,8),0.161458 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,11),(19,7),0.161458 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,11),(19,6),0.161458 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,11),(19,5),0.10168 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,11),(19,4),0.16114 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,11),(19,3),0.161458 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,11),(19,1),0.161458 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,11),(19,-1),-0.230085 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
