# _root_ `` With the decline in stock prices and continued low or stable interest rates , stocks are representing a better value all the time , '' Renaissance President Frank W. Terrizzi said yesterday .
#goldHeads=32,17,4,8,4,7,5,2,14,11,14,11,14,8,17,17,32,17,21,21,18,24,24,18,32,32,31,31,31,31,32,0,32,32,
#predictedHeads=32,8,4,2,4,7,5,17,8,11,14,11,14,9,17,17,32,17,21,21,18,24,24,21,32,32,31,31,31,31,32,0,32,32,
(0,17),(17,2),-0.304963 # DEPENDENCYPART_GRANDPAR
(0,17),(17,4),0.018811 # DEPENDENCYPART_GRANDPAR
(0,17),(17,5),-0.0242792 # DEPENDENCYPART_GRANDPAR
(0,17),(17,7),-0.550958 # DEPENDENCYPART_GRANDPAR
(0,17),(17,8),0.310842 # DEPENDENCYPART_GRANDPAR
(0,17),(17,9),0.166868 # DEPENDENCYPART_GRANDPAR
(0,17),(17,10),-0.281439 # DEPENDENCYPART_GRANDPAR
(0,17),(17,11),-0.271508 # DEPENDENCYPART_GRANDPAR
(0,17),(17,12),-0.42007 # DEPENDENCYPART_GRANDPAR
(0,17),(17,13),-0.358872 # DEPENDENCYPART_GRANDPAR
(0,17),(17,14),-0.600526 # DEPENDENCYPART_GRANDPAR
(0,17),(17,15),0.601461 # DEPENDENCYPART_GRANDPAR
(0,17),(17,16),-0.545601 # DEPENDENCYPART_GRANDPAR
(0,17),(17,18),-0.315578 # DEPENDENCYPART_GRANDPAR
(0,17),(17,19),-0.610625 # DEPENDENCYPART_GRANDPAR
(0,17),(17,20),-0.755485 # DEPENDENCYPART_GRANDPAR
(0,17),(17,21),0.165291 # DEPENDENCYPART_GRANDPAR
(0,17),(17,24),-0.149378 # DEPENDENCYPART_GRANDPAR
(0,17),(17,25),-0.314314 # DEPENDENCYPART_GRANDPAR
(0,17),(17,26),0.345673 # DEPENDENCYPART_GRANDPAR
(0,17),(17,32),2.25419 # DEPENDENCYPART_GRANDPAR
(0,17),(17,33),1.4888 # DEPENDENCYPART_GRANDPAR
(0,17),(17,34),2.47856 # DEPENDENCYPART_GRANDPAR
(0,32),(32,1),0.885402 # DEPENDENCYPART_GRANDPAR
(0,32),(32,2),-0.323672 # DEPENDENCYPART_GRANDPAR
(0,32),(32,5),-0.0199705 # DEPENDENCYPART_GRANDPAR
(0,32),(32,7),-0.580588 # DEPENDENCYPART_GRANDPAR
(0,32),(32,8),0.158339 # DEPENDENCYPART_GRANDPAR
(0,32),(32,9),0.043781 # DEPENDENCYPART_GRANDPAR
(0,32),(32,11),-0.400866 # DEPENDENCYPART_GRANDPAR
(0,32),(32,13),-0.383492 # DEPENDENCYPART_GRANDPAR
(0,32),(32,14),-0.626829 # DEPENDENCYPART_GRANDPAR
(0,32),(32,15),0.510561 # DEPENDENCYPART_GRANDPAR
(0,32),(32,16),-0.571447 # DEPENDENCYPART_GRANDPAR
(0,32),(32,17),0.639408 # DEPENDENCYPART_GRANDPAR
(0,32),(32,18),-0.49265 # DEPENDENCYPART_GRANDPAR
(0,32),(32,19),-0.9503 # DEPENDENCYPART_GRANDPAR
(0,32),(32,21),-0.230607 # DEPENDENCYPART_GRANDPAR
(0,32),(32,23),-0.974526 # DEPENDENCYPART_GRANDPAR
(0,32),(32,24),-0.546087 # DEPENDENCYPART_GRANDPAR
(0,32),(32,25),-0.220758 # DEPENDENCYPART_GRANDPAR
(0,32),(32,26),0.46662 # DEPENDENCYPART_GRANDPAR
(0,32),(32,27),-0.219595 # DEPENDENCYPART_GRANDPAR
(0,32),(32,28),-0.475837 # DEPENDENCYPART_GRANDPAR
(0,32),(32,29),-0.410135 # DEPENDENCYPART_GRANDPAR
(0,32),(32,30),-0.540294 # DEPENDENCYPART_GRANDPAR
(0,32),(32,31),-0.314848 # DEPENDENCYPART_GRANDPAR
(0,32),(32,33),1.31612 # DEPENDENCYPART_GRANDPAR
(0,32),(32,34),2.48635 # DEPENDENCYPART_GRANDPAR
(2,3),(3,2),-0.558129 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,3),(3,5),0.531507 # DEPENDENCYPART_GRANDPAR
(2,4),(4,1),-0.500674 # DEPENDENCYPART_GRANDPAR
(2,4),(4,2),-0.557142 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,4),(4,3),0.702927 # DEPENDENCYPART_GRANDPAR
(2,4),(4,5),0.60067 # DEPENDENCYPART_GRANDPAR
(2,4),(4,6),0.118646 # DEPENDENCYPART_GRANDPAR
(2,4),(4,7),0.363545 # DEPENDENCYPART_GRANDPAR
(2,4),(4,8),0.0721794 # DEPENDENCYPART_GRANDPAR
(2,4),(4,9),0.143986 # DEPENDENCYPART_GRANDPAR
(2,4),(4,10),-0.378294 # DEPENDENCYPART_GRANDPAR
(2,4),(4,15),0.0588723 # DEPENDENCYPART_GRANDPAR
(2,4),(4,17),-0.0941 # DEPENDENCYPART_GRANDPAR
(2,4),(4,25),-0.14301 # DEPENDENCYPART_GRANDPAR
(2,4),(4,34),-0.738506 # DEPENDENCYPART_GRANDPAR
(2,5),(5,2),-0.593298 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,5),(5,4),0.679357 # DEPENDENCYPART_GRANDPAR
(2,5),(5,6),0.0980215 # DEPENDENCYPART_GRANDPAR
(2,5),(5,7),0.347974 # DEPENDENCYPART_GRANDPAR
(2,5),(5,8),0.106002 # DEPENDENCYPART_GRANDPAR
(2,5),(5,9),0.00955481 # DEPENDENCYPART_GRANDPAR
(2,5),(5,10),-0.417982 # DEPENDENCYPART_GRANDPAR
(2,5),(5,11),-0.0252743 # DEPENDENCYPART_GRANDPAR
(2,5),(5,13),-0.394006 # DEPENDENCYPART_GRANDPAR
(2,5),(5,14),-0.0669935 # DEPENDENCYPART_GRANDPAR
(2,6),(6,4),0.842413 # DEPENDENCYPART_GRANDPAR
(2,7),(7,1),-0.500851 # DEPENDENCYPART_GRANDPAR
(2,7),(7,2),-0.562768 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,7),(7,3),0.694707 # DEPENDENCYPART_GRANDPAR
(2,7),(7,4),0.746215 # DEPENDENCYPART_GRANDPAR
(2,7),(7,5),0.32546 # DEPENDENCYPART_GRANDPAR
(2,7),(7,6),0.355862 # DEPENDENCYPART_GRANDPAR
(2,7),(7,8),0.0501606 # DEPENDENCYPART_GRANDPAR
(2,7),(7,9),0.140052 # DEPENDENCYPART_GRANDPAR
(2,8),(8,1),-0.510586 # DEPENDENCYPART_GRANDPAR
(2,8),(8,2),-0.680662 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,8),(8,3),0.396671 # DEPENDENCYPART_GRANDPAR
(2,8),(8,4),0.717274 # DEPENDENCYPART_GRANDPAR
(2,8),(8,5),0.23743 # DEPENDENCYPART_GRANDPAR
(2,8),(8,6),0.198956 # DEPENDENCYPART_GRANDPAR
(2,8),(8,7),0.566313 # DEPENDENCYPART_GRANDPAR
(2,8),(8,9),0.110057 # DEPENDENCYPART_GRANDPAR
(2,8),(8,10),-0.307828 # DEPENDENCYPART_GRANDPAR
(2,8),(8,11),0.0675478 # DEPENDENCYPART_GRANDPAR
(2,8),(8,12),-0.305892 # DEPENDENCYPART_GRANDPAR
(2,8),(8,13),-0.27181 # DEPENDENCYPART_GRANDPAR
(2,8),(8,14),0.0360236 # DEPENDENCYPART_GRANDPAR
(2,8),(8,15),-0.0421451 # DEPENDENCYPART_GRANDPAR
(2,8),(8,16),-0.352424 # DEPENDENCYPART_GRANDPAR
(2,8),(8,17),-0.133872 # DEPENDENCYPART_GRANDPAR
(2,8),(8,18),-0.543824 # DEPENDENCYPART_GRANDPAR
(2,8),(8,21),-0.462568 # DEPENDENCYPART_GRANDPAR
(2,8),(8,25),-0.244027 # DEPENDENCYPART_GRANDPAR
(2,8),(8,26),-0.0473876 # DEPENDENCYPART_GRANDPAR
(2,8),(8,32),-0.545347 # DEPENDENCYPART_GRANDPAR
(2,8),(8,34),-0.749297 # DEPENDENCYPART_GRANDPAR
(2,9),(9,1),-0.473399 # DEPENDENCYPART_GRANDPAR
(2,9),(9,2),-0.549016 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,9),(9,4),0.709085 # DEPENDENCYPART_GRANDPAR
(2,9),(9,5),0.342517 # DEPENDENCYPART_GRANDPAR
(2,9),(9,6),0.264048 # DEPENDENCYPART_GRANDPAR
(2,9),(9,7),0.508341 # DEPENDENCYPART_GRANDPAR
(2,9),(9,8),0.34924 # DEPENDENCYPART_GRANDPAR
(2,9),(9,10),-0.427463 # DEPENDENCYPART_GRANDPAR
(2,9),(9,11),0.0670277 # DEPENDENCYPART_GRANDPAR
(2,9),(9,12),-0.416262 # DEPENDENCYPART_GRANDPAR
(2,9),(9,13),-0.315083 # DEPENDENCYPART_GRANDPAR
(2,9),(9,14),-0.0144116 # DEPENDENCYPART_GRANDPAR
(2,9),(9,15),-0.127815 # DEPENDENCYPART_GRANDPAR
(2,9),(9,16),-0.371248 # DEPENDENCYPART_GRANDPAR
(2,9),(9,17),-0.198103 # DEPENDENCYPART_GRANDPAR
(2,9),(9,18),-0.60372 # DEPENDENCYPART_GRANDPAR
(2,9),(9,21),-0.517151 # DEPENDENCYPART_GRANDPAR
(2,9),(9,24),-0.449681 # DEPENDENCYPART_GRANDPAR
(2,9),(9,25),-0.329697 # DEPENDENCYPART_GRANDPAR
(2,9),(9,26),0.128811 # DEPENDENCYPART_GRANDPAR
(2,9),(9,32),-0.595746 # DEPENDENCYPART_GRANDPAR
(2,9),(9,33),-0.793795 # DEPENDENCYPART_GRANDPAR
(2,9),(9,34),-0.814826 # DEPENDENCYPART_GRANDPAR
(2,11),(11,1),-0.488612 # DEPENDENCYPART_GRANDPAR
(2,11),(11,2),-0.624631 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,11),(11,3),0.407372 # DEPENDENCYPART_GRANDPAR
(2,11),(11,4),0.710441 # DEPENDENCYPART_GRANDPAR
(2,11),(11,5),0.294328 # DEPENDENCYPART_GRANDPAR
(2,11),(11,6),0.215466 # DEPENDENCYPART_GRANDPAR
(2,11),(11,7),0.538632 # DEPENDENCYPART_GRANDPAR
(2,11),(11,8),0.3374 # DEPENDENCYPART_GRANDPAR
(2,11),(11,9),0.135026 # DEPENDENCYPART_GRANDPAR
(2,11),(11,10),-0.557508 # DEPENDENCYPART_GRANDPAR
(2,11),(11,12),-0.336718 # DEPENDENCYPART_GRANDPAR
(2,11),(11,13),-0.241595 # DEPENDENCYPART_GRANDPAR
(2,11),(11,14),0.0581376 # DEPENDENCYPART_GRANDPAR
(2,11),(11,15),-0.024898 # DEPENDENCYPART_GRANDPAR
(2,11),(11,16),-0.310241 # DEPENDENCYPART_GRANDPAR
(2,11),(11,17),-0.100883 # DEPENDENCYPART_GRANDPAR
(2,11),(11,18),-0.511477 # DEPENDENCYPART_GRANDPAR
(2,11),(11,21),-0.426114 # DEPENDENCYPART_GRANDPAR
(2,11),(11,25),-0.22678 # DEPENDENCYPART_GRANDPAR
(2,11),(11,26),0.0168797 # DEPENDENCYPART_GRANDPAR
(2,11),(11,27),-0.522495 # DEPENDENCYPART_GRANDPAR
(2,11),(11,32),-0.509301 # DEPENDENCYPART_GRANDPAR
(2,14),(14,2),-0.520953 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,14),(14,6),0.370463 # DEPENDENCYPART_GRANDPAR
(2,14),(14,7),0.583681 # DEPENDENCYPART_GRANDPAR
(2,14),(14,8),0.614138 # DEPENDENCYPART_GRANDPAR
(2,14),(14,9),0.406928 # DEPENDENCYPART_GRANDPAR
(2,14),(14,10),-0.284524 # DEPENDENCYPART_GRANDPAR
(2,14),(14,11),0.359562 # DEPENDENCYPART_GRANDPAR
(2,14),(14,12),-0.289363 # DEPENDENCYPART_GRANDPAR
(2,14),(14,13),-0.198915 # DEPENDENCYPART_GRANDPAR
(2,14),(14,15),0.0720571 # DEPENDENCYPART_GRANDPAR
(2,14),(14,16),-0.445023 # DEPENDENCYPART_GRANDPAR
(2,14),(14,17),-0.0739804 # DEPENDENCYPART_GRANDPAR
(2,14),(14,18),-0.488349 # DEPENDENCYPART_GRANDPAR
(2,14),(14,19),-0.657941 # DEPENDENCYPART_GRANDPAR
(2,14),(14,20),-0.730206 # DEPENDENCYPART_GRANDPAR
(2,14),(14,21),-0.60548 # DEPENDENCYPART_GRANDPAR
(2,14),(14,24),-0.540749 # DEPENDENCYPART_GRANDPAR
(2,14),(14,25),-0.129825 # DEPENDENCYPART_GRANDPAR
(2,14),(14,26),0.142166 # DEPENDENCYPART_GRANDPAR
(2,14),(14,33),-0.892381 # DEPENDENCYPART_GRANDPAR
(2,14),(14,34),-0.737106 # DEPENDENCYPART_GRANDPAR
(2,18),(18,9),0.152559 # DEPENDENCYPART_GRANDPAR
(2,18),(18,15),-0.176214 # DEPENDENCYPART_GRANDPAR
(2,18),(18,16),-0.317779 # DEPENDENCYPART_GRANDPAR
(2,18),(18,17),-0.11314 # DEPENDENCYPART_GRANDPAR
(2,18),(18,19),-0.729402 # DEPENDENCYPART_GRANDPAR
(2,18),(18,20),-0.761686 # DEPENDENCYPART_GRANDPAR
(2,18),(18,21),-0.510436 # DEPENDENCYPART_GRANDPAR
(2,18),(18,24),-0.442967 # DEPENDENCYPART_GRANDPAR
(2,18),(18,25),-0.329785 # DEPENDENCYPART_GRANDPAR
(2,18),(18,26),0.12754 # DEPENDENCYPART_GRANDPAR
(2,18),(18,32),-0.597591 # DEPENDENCYPART_GRANDPAR
(2,18),(18,33),-0.78708 # DEPENDENCYPART_GRANDPAR
(2,18),(18,34),-0.816642 # DEPENDENCYPART_GRANDPAR
(2,32),(32,1),-0.474342 # DEPENDENCYPART_GRANDPAR
(2,32),(32,2),-0.575952 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,32),(32,5),0.332099 # DEPENDENCYPART_GRANDPAR
(2,32),(32,7),0.467938 # DEPENDENCYPART_GRANDPAR
(2,32),(32,8),0.330006 # DEPENDENCYPART_GRANDPAR
(2,32),(32,9),0.112915 # DEPENDENCYPART_GRANDPAR
(2,32),(32,11),0.132939 # DEPENDENCYPART_GRANDPAR
(2,32),(32,13),-0.284963 # DEPENDENCYPART_GRANDPAR
(2,32),(32,14),0.0458526 # DEPENDENCYPART_GRANDPAR
(2,32),(32,15),-0.144591 # DEPENDENCYPART_GRANDPAR
(2,32),(32,16),-0.355898 # DEPENDENCYPART_GRANDPAR
(2,32),(32,17),-0.146512 # DEPENDENCYPART_GRANDPAR
(2,32),(32,18),-0.537475 # DEPENDENCYPART_GRANDPAR
(2,32),(32,19),-0.925043 # DEPENDENCYPART_GRANDPAR
(2,32),(32,21),-0.510609 # DEPENDENCYPART_GRANDPAR
(2,32),(32,23),-1.49792 # DEPENDENCYPART_GRANDPAR
(2,32),(32,24),-0.461964 # DEPENDENCYPART_GRANDPAR
(2,32),(32,25),-0.346473 # DEPENDENCYPART_GRANDPAR
(2,32),(32,26),-0.043754 # DEPENDENCYPART_GRANDPAR
(2,32),(32,27),-0.575385 # DEPENDENCYPART_GRANDPAR
(2,32),(32,28),-1.00752 # DEPENDENCYPART_GRANDPAR
(2,32),(32,29),-0.473307 # DEPENDENCYPART_GRANDPAR
(2,32),(32,30),-0.48747 # DEPENDENCYPART_GRANDPAR
(2,32),(32,31),-0.555813 # DEPENDENCYPART_GRANDPAR
(2,32),(32,33),-0.840377 # DEPENDENCYPART_GRANDPAR
(2,32),(32,34),-0.729883 # DEPENDENCYPART_GRANDPAR
(3,2),(2,1),-0.142501 # DEPENDENCYPART_GRANDPAR
(3,2),(2,3),-1.24434 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,2),(2,4),-0.248694 # DEPENDENCYPART_GRANDPAR
(3,2),(2,5),-0.350328 # DEPENDENCYPART_GRANDPAR
(3,2),(2,6),-0.557703 # DEPENDENCYPART_GRANDPAR
(3,2),(2,7),-0.585035 # DEPENDENCYPART_GRANDPAR
(3,2),(2,8),-0.37205 # DEPENDENCYPART_GRANDPAR
(3,2),(2,9),-0.510873 # DEPENDENCYPART_GRANDPAR
(3,2),(2,11),-0.628947 # DEPENDENCYPART_GRANDPAR
(3,2),(2,14),-0.979281 # DEPENDENCYPART_GRANDPAR
(3,2),(2,18),-0.913512 # DEPENDENCYPART_GRANDPAR
(3,2),(2,32),-1.07063 # DEPENDENCYPART_GRANDPAR
(3,5),(5,2),-0.491754 # DEPENDENCYPART_GRANDPAR
(3,5),(5,4),0.159396 # DEPENDENCYPART_GRANDPAR
(3,5),(5,6),-0.0271763 # DEPENDENCYPART_GRANDPAR
(3,5),(5,7),-0.0674318 # DEPENDENCYPART_GRANDPAR
(3,5),(5,8),0.133171 # DEPENDENCYPART_GRANDPAR
(3,5),(5,9),-0.13188 # DEPENDENCYPART_GRANDPAR
(3,5),(5,10),-0.188953 # DEPENDENCYPART_GRANDPAR
(3,5),(5,11),-0.185606 # DEPENDENCYPART_GRANDPAR
(3,5),(5,13),-0.390566 # DEPENDENCYPART_GRANDPAR
(3,5),(5,14),-0.440216 # DEPENDENCYPART_GRANDPAR
(4,2),(2,1),0.0601144 # DEPENDENCYPART_GRANDPAR
(4,2),(2,3),0.382062 # DEPENDENCYPART_GRANDPAR
(4,2),(2,4),-1.03769 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,2),(2,5),-0.230249 # DEPENDENCYPART_GRANDPAR
(4,2),(2,6),-0.284602 # DEPENDENCYPART_GRANDPAR
(4,2),(2,7),-0.0853794 # DEPENDENCYPART_GRANDPAR
(4,2),(2,8),-0.263556 # DEPENDENCYPART_GRANDPAR
(4,2),(2,9),-0.197927 # DEPENDENCYPART_GRANDPAR
(4,2),(2,11),-0.342953 # DEPENDENCYPART_GRANDPAR
(4,2),(2,14),-0.571123 # DEPENDENCYPART_GRANDPAR
(4,2),(2,18),-0.639863 # DEPENDENCYPART_GRANDPAR
(4,2),(2,32),-0.691461 # DEPENDENCYPART_GRANDPAR
(4,3),(3,2),-0.0601851 # DEPENDENCYPART_GRANDPAR
(4,3),(3,5),-0.214872 # DEPENDENCYPART_GRANDPAR
(4,5),(5,2),-0.546225 # DEPENDENCYPART_GRANDPAR
(4,5),(5,4),-0.519815 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,5),(5,6),0.473125 # DEPENDENCYPART_GRANDPAR
(4,5),(5,7),0.618147 # DEPENDENCYPART_GRANDPAR
(4,5),(5,8),0.337657 # DEPENDENCYPART_GRANDPAR
(4,5),(5,9),0.278897 # DEPENDENCYPART_GRANDPAR
(4,5),(5,10),-0.20668 # DEPENDENCYPART_GRANDPAR
(4,5),(5,11),0.180178 # DEPENDENCYPART_GRANDPAR
(4,5),(5,13),-0.0223617 # DEPENDENCYPART_GRANDPAR
(4,5),(5,14),0.178625 # DEPENDENCYPART_GRANDPAR
(4,6),(6,4),-0.446606 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,7),(7,1),-0.507627 # DEPENDENCYPART_GRANDPAR
(4,7),(7,2),-0.535547 # DEPENDENCYPART_GRANDPAR
(4,7),(7,3),-0.169765 # DEPENDENCYPART_GRANDPAR
(4,7),(7,4),-0.456934 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,7),(7,5),0.284115 # DEPENDENCYPART_GRANDPAR
(4,7),(7,6),0.318999 # DEPENDENCYPART_GRANDPAR
(4,7),(7,8),0.188462 # DEPENDENCYPART_GRANDPAR
(4,7),(7,9),0.234711 # DEPENDENCYPART_GRANDPAR
(4,8),(8,1),-0.525803 # DEPENDENCYPART_GRANDPAR
(4,8),(8,2),-0.653804 # DEPENDENCYPART_GRANDPAR
(4,8),(8,3),-0.145517 # DEPENDENCYPART_GRANDPAR
(4,8),(8,4),-0.490334 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,8),(8,5),0.341956 # DEPENDENCYPART_GRANDPAR
(4,8),(8,6),0.164657 # DEPENDENCYPART_GRANDPAR
(4,8),(8,7),0.502315 # DEPENDENCYPART_GRANDPAR
(4,8),(8,9),0.354866 # DEPENDENCYPART_GRANDPAR
(4,8),(8,10),-0.0326952 # DEPENDENCYPART_GRANDPAR
(4,8),(8,11),0.189288 # DEPENDENCYPART_GRANDPAR
(4,8),(8,12),-0.183226 # DEPENDENCYPART_GRANDPAR
(4,8),(8,13),-0.143793 # DEPENDENCYPART_GRANDPAR
(4,8),(8,14),0.0354079 # DEPENDENCYPART_GRANDPAR
(4,8),(8,15),0.00332971 # DEPENDENCYPART_GRANDPAR
(4,8),(8,16),-0.146969 # DEPENDENCYPART_GRANDPAR
(4,8),(8,17),0.139979 # DEPENDENCYPART_GRANDPAR
(4,8),(8,18),-0.0831338 # DEPENDENCYPART_GRANDPAR
(4,8),(8,21),-0.290925 # DEPENDENCYPART_GRANDPAR
(4,8),(8,25),-0.204265 # DEPENDENCYPART_GRANDPAR
(4,8),(8,26),-0.39666 # DEPENDENCYPART_GRANDPAR
(4,8),(8,32),-0.133174 # DEPENDENCYPART_GRANDPAR
(4,8),(8,34),-1.27513 # DEPENDENCYPART_GRANDPAR
(4,9),(9,1),-0.57642 # DEPENDENCYPART_GRANDPAR
(4,9),(9,2),-0.689889 # DEPENDENCYPART_GRANDPAR
(4,9),(9,4),-0.587497 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,9),(9,5),0.244216 # DEPENDENCYPART_GRANDPAR
(4,9),(9,6),0.161696 # DEPENDENCYPART_GRANDPAR
(4,9),(9,7),0.364571 # DEPENDENCYPART_GRANDPAR
(4,9),(9,8),0.246368 # DEPENDENCYPART_GRANDPAR
(4,9),(9,10),-0.256996 # DEPENDENCYPART_GRANDPAR
(4,9),(9,11),0.171749 # DEPENDENCYPART_GRANDPAR
(4,9),(9,12),-0.399016 # DEPENDENCYPART_GRANDPAR
(4,9),(9,13),-0.123149 # DEPENDENCYPART_GRANDPAR
(4,9),(9,14),0.0524764 # DEPENDENCYPART_GRANDPAR
(4,9),(9,15),-0.0724311 # DEPENDENCYPART_GRANDPAR
(4,9),(9,16),-0.095183 # DEPENDENCYPART_GRANDPAR
(4,9),(9,17),0.0249302 # DEPENDENCYPART_GRANDPAR
(4,9),(9,18),-0.207748 # DEPENDENCYPART_GRANDPAR
(4,9),(9,21),-0.262822 # DEPENDENCYPART_GRANDPAR
(4,9),(9,24),-0.563115 # DEPENDENCYPART_GRANDPAR
(4,9),(9,25),-0.280026 # DEPENDENCYPART_GRANDPAR
(4,9),(9,26),-0.31402 # DEPENDENCYPART_GRANDPAR
(4,9),(9,32),-0.257004 # DEPENDENCYPART_GRANDPAR
(4,9),(9,33),-0.481603 # DEPENDENCYPART_GRANDPAR
(4,9),(9,34),-1.40425 # DEPENDENCYPART_GRANDPAR
(4,10),(10,4),-0.519232 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,10),(10,5),0.212742 # DEPENDENCYPART_GRANDPAR
(4,10),(10,7),0.444865 # DEPENDENCYPART_GRANDPAR
(4,10),(10,8),0.274335 # DEPENDENCYPART_GRANDPAR
(4,10),(10,11),0.17141 # DEPENDENCYPART_GRANDPAR
(4,10),(10,12),-0.338641 # DEPENDENCYPART_GRANDPAR
(4,10),(10,13),-0.0692017 # DEPENDENCYPART_GRANDPAR
(4,10),(10,14),0.135005 # DEPENDENCYPART_GRANDPAR
(4,10),(10,15),0.0632291 # DEPENDENCYPART_GRANDPAR
(4,10),(10,16),-0.0408851 # DEPENDENCYPART_GRANDPAR
(4,17),(17,1),-0.578673 # DEPENDENCYPART_GRANDPAR
(4,17),(17,2),-0.696394 # DEPENDENCYPART_GRANDPAR
(4,17),(17,4),-0.52255 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,17),(17,5),0.224466 # DEPENDENCYPART_GRANDPAR
(4,17),(17,7),0.43454 # DEPENDENCYPART_GRANDPAR
(4,17),(17,8),0.286965 # DEPENDENCYPART_GRANDPAR
(4,17),(17,9),0.347255 # DEPENDENCYPART_GRANDPAR
(4,17),(17,10),-0.279822 # DEPENDENCYPART_GRANDPAR
(4,17),(17,11),0.19886 # DEPENDENCYPART_GRANDPAR
(4,17),(17,12),-0.42881 # DEPENDENCYPART_GRANDPAR
(4,17),(17,13),-0.26772 # DEPENDENCYPART_GRANDPAR
(4,17),(17,14),-0.0350233 # DEPENDENCYPART_GRANDPAR
(4,17),(17,15),-0.133258 # DEPENDENCYPART_GRANDPAR
(4,17),(17,16),-0.247799 # DEPENDENCYPART_GRANDPAR
(4,17),(17,18),-0.219216 # DEPENDENCYPART_GRANDPAR
(4,17),(17,19),-0.375535 # DEPENDENCYPART_GRANDPAR
(4,17),(17,20),-0.517783 # DEPENDENCYPART_GRANDPAR
(4,17),(17,21),-0.276092 # DEPENDENCYPART_GRANDPAR
(4,17),(17,24),-0.573253 # DEPENDENCYPART_GRANDPAR
(4,17),(17,25),-0.289166 # DEPENDENCYPART_GRANDPAR
(4,17),(17,26),-0.314311 # DEPENDENCYPART_GRANDPAR
(4,17),(17,32),-0.267311 # DEPENDENCYPART_GRANDPAR
(4,17),(17,33),-0.491046 # DEPENDENCYPART_GRANDPAR
(4,17),(17,34),-1.36314 # DEPENDENCYPART_GRANDPAR
(4,34),(34,33),-0.718994 # DEPENDENCYPART_GRANDPAR
(5,2),(2,1),-0.29318 # DEPENDENCYPART_GRANDPAR
(5,2),(2,3),-0.330689 # DEPENDENCYPART_GRANDPAR
(5,2),(2,4),-0.514949 # DEPENDENCYPART_GRANDPAR
(5,2),(2,5),-1.22848 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,2),(2,6),0.176192 # DEPENDENCYPART_GRANDPAR
(5,2),(2,7),0.320071 # DEPENDENCYPART_GRANDPAR
(5,2),(2,8),-0.095004 # DEPENDENCYPART_GRANDPAR
(5,2),(2,9),-0.573813 # DEPENDENCYPART_GRANDPAR
(5,2),(2,11),-0.377426 # DEPENDENCYPART_GRANDPAR
(5,2),(2,14),-0.299091 # DEPENDENCYPART_GRANDPAR
(5,2),(2,18),-0.970251 # DEPENDENCYPART_GRANDPAR
(5,2),(2,32),-1.04121 # DEPENDENCYPART_GRANDPAR
(5,4),(4,1),-0.294688 # DEPENDENCYPART_GRANDPAR
(5,4),(4,2),-0.112602 # DEPENDENCYPART_GRANDPAR
(5,4),(4,3),-0.103719 # DEPENDENCYPART_GRANDPAR
(5,4),(4,5),-1.24832 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,4),(4,6),0.211373 # DEPENDENCYPART_GRANDPAR
(5,4),(4,7),0.365086 # DEPENDENCYPART_GRANDPAR
(5,4),(4,8),-0.146555 # DEPENDENCYPART_GRANDPAR
(5,4),(4,9),-0.633547 # DEPENDENCYPART_GRANDPAR
(5,4),(4,10),-0.522024 # DEPENDENCYPART_GRANDPAR
(5,4),(4,15),-0.519232 # DEPENDENCYPART_GRANDPAR
(5,4),(4,17),-0.697801 # DEPENDENCYPART_GRANDPAR
(5,4),(4,25),-1.25162 # DEPENDENCYPART_GRANDPAR
(5,4),(4,34),-1.14987 # DEPENDENCYPART_GRANDPAR
(5,6),(6,4),-0.874561 # DEPENDENCYPART_GRANDPAR
(5,7),(7,1),-0.754514 # DEPENDENCYPART_GRANDPAR
(5,7),(7,2),-0.647868 # DEPENDENCYPART_GRANDPAR
(5,7),(7,3),-0.744923 # DEPENDENCYPART_GRANDPAR
(5,7),(7,4),-0.874218 # DEPENDENCYPART_GRANDPAR
(5,7),(7,5),-0.851615 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,7),(7,6),0.84575 # DEPENDENCYPART_GRANDPAR
(5,7),(7,8),0.296074 # DEPENDENCYPART_GRANDPAR
