# _root_ Kemper Financial Services Inc. , charging that program trading is ruining the stock market , cut off four big Wall Street firms from doing any of its stock-trading business .
#goldHeads=4,4,4,16,16,16,10,9,10,6,10,14,14,11,16,0,16,22,22,22,22,16,16,23,24,25,29,29,26,16,
#predictedHeads=4,4,4,16,4,4,10,9,10,6,10,14,14,11,4,0,16,22,22,22,22,16,16,23,24,25,29,29,26,16,
(1,2),(2,5),(2,31),-0.0437627 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,6),(2,9),-0.0484081 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,6),(2,10),-0.0450603 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,6),(2,15),-0.0559393 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,6),(2,16),-0.0450603 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,6),(2,31),-0.0126296 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,9),(2,10),-0.0445551 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,9),(2,15),-0.0517455 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,9),(2,16),-0.0429856 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,9),(2,31),-0.000192106 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,10),(2,15),-0.0575829 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,10),(2,16),-0.0451548 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,10),(2,31),-0.0112876 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,15),(2,16),-0.117144 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,15),(2,31),-0.0437627 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,16),(2,31),-0.0126191 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,2),(2,1),0.152157 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,2),(2,2),(2,-1),0.0230439 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,2),(2,1),(2,-1),-0.143137 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,3),(3,3),(3,4),-0.185139 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,5),0.138725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,9),-0.184323 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,15),0.138725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,31),0.0811387 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,3),(3,4),(3,5),-0.0522134 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,9),-0.0137075 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,15),-0.0522134 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,31),-0.000583592 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,5),(3,9),0.13374 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,5),(3,15),-0.0496519 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,5),(3,31),-0.0437622 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,9),(3,15),-0.052047 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,9),(3,31),0.00133041 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,15),(3,31),-0.0437622 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,3),(3,2),0.155185 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,1),0.151353 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,3),(3,3),(3,-1),0.00318708 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,3),(3,2),(3,1),0.111179 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,2),(3,-1),-0.143507 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,1),(3,-1),-0.14375 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,4),(4,4),(4,5),0.139103 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,6),0.0466755 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,8),-0.185396 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,9),-0.182302 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,10),0.0529953 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,14),-0.182774 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,15),0.139103 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,16),0.0466852 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,22),-0.18225 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,30),0.0853674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,31),0.0952873 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,4),(4,5),(4,6),-0.117276 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,8),0.132328 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,9),0.132343 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,10),-0.12079 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,14),0.13234 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,15),-0.0496519 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,16),-0.117276 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,22),0.132303 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,30),-0.0439761 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,31),-0.0448958 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,6),(4,8),-0.0484081 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,9),-0.0484081 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,10),-0.0450603 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,14),-0.0484142 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,15),-0.0559491 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,16),-0.0450603 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,22),-0.0484118 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,30),-0.0421587 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,31),-0.0129456 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,8),(4,9),-0.00975009 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,10),-0.0448502 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,14),-0.0100205 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,15),-0.0525719 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,16),-0.0432807 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,22),-0.00974297 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,30),-0.0383727 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,31),0.00293288 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,9),(4,10),-0.0445551 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,9),(4,14),-0.0100207 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,9),(4,15),-0.0525653 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,9),(4,16),-0.0429856 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,9),(4,22),-0.00974322 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,9),(4,30),-0.0383727 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,9),(4,31),0.00461053 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,10),(4,14),-0.0484331 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,10),(4,15),-0.0575927 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,10),(4,16),-0.0451548 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,10),(4,22),-0.0484307 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,10),(4,30),-0.0421587 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,10),(4,31),-0.0116037 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,14),(4,15),-0.0525627 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,14),(4,16),-0.0429856 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,14),(4,22),-0.00974537 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,14),(4,30),-0.0383727 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,14),(4,31),0.00449414 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,15),(4,16),-0.117276 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,15),(4,22),0.132303 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,15),(4,30),-0.0439761 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,15),(4,31),-0.0448958 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,16),(4,22),-0.0484118 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,16),(4,30),-0.0421587 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,16),(4,31),-0.0129352 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,22),(4,30),-0.0383727 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,22),(4,31),0.00469958 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,30),(4,31),0.0957684 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,4),(4,3),0.153817 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,2),0.153931 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,1),0.150099 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,4),(4,4),(4,-1),0.0119281 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,4),(4,3),(4,2),0.115388 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,3),(4,1),0.112609 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,3),(4,-1),-0.14133 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,2),(4,1),0.112837 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,2),(4,-1),-0.140844 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,1),(4,-1),-0.141087 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,5),(5,5),(5,6),-0.0641462 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,31),-0.00463254 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,5),(5,6),(5,31),-0.0644333 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,5),(5,-1),-0.089501 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,6),(6,6),(6,7),-0.0727475 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,8),-0.0334494 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,9),-0.0297757 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,10),-0.0363109 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,11),-0.0402022 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,14),-0.0210194 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,15),-0.0734363 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,16),-0.040424 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,23),-0.0408943 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,24),-0.0348083 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,30),-0.048883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,31),0.0621898 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,6),(6,7),(6,8),-0.047486 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,9),-0.047486 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,10),-0.0409021 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,11),-0.0409021 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,14),-0.047486 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,15),-0.0427471 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,16),-0.0409021 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,23),-0.0593055 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,24),-0.0409021 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,30),-0.0430447 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,31),-0.0584424 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,8),(6,9),-0.0341321 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,8),(6,10),-0.0543816 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,8),(6,11),-0.0546307 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,8),(6,14),-0.036171 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,8),(6,15),-0.066619 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,8),(6,16),-0.0550171 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,8),(6,23),0.00496142 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,8),(6,24),-0.0556425 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,8),(6,30),-0.0550567 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,8),(6,31),-0.0604549 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,9),(6,10),-0.0538799 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,9),(6,11),-0.0541289 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,9),(6,14),-0.036566 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,9),(6,15),-0.0662858 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,9),(6,16),-0.0545153 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,9),(6,23),-0.0104102 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,9),(6,24),-0.0551407 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,9),(6,30),-0.0550567 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,9),(6,31),-0.0406595 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,10),(6,11),-0.0436864 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,10),(6,14),-0.047551 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,10),(6,15),-0.0336823 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,10),(6,16),-0.0436864 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,10),(6,23),-0.0481634 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,10),(6,24),-0.0436864 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,10),(6,30),-0.0419652 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,10),(6,31),-0.0861117 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,11),(6,14),-0.0470204 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,11),(6,15),-0.0347739 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,11),(6,16),-0.0436735 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,11),(6,23),-0.0478524 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,11),(6,24),-0.0436735 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,11),(6,30),-0.0419652 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,11),(6,31),-0.0843208 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,14),(6,15),-0.0662986 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,14),(6,16),-0.0542186 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,14),(6,23),0.00185794 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,14),(6,24),-0.0548441 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,14),(6,30),-0.0550567 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,14),(6,31),-0.0474508 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,15),(6,16),-0.0757783 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,15),(6,23),-0.0657901 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,15),(6,24),-0.0757783 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,15),(6,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,15),(6,31),-0.0932716 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,16),(6,23),-0.0478565 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,16),(6,24),-0.0436831 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,16),(6,30),-0.0419652 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,16),(6,31),-0.0886267 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,23),(6,24),-0.0326616 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,23),(6,30),-0.0531827 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,23),(6,31),-0.0234241 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,24),(6,30),-0.0419652 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,24),(6,31),-0.0799387 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,30),(6,31),-0.0871039 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,6),(6,5),0.139982 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,4),0.16405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,-1),0.0417683 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,6),(6,5),(6,4),0.117495 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,5),(6,-1),-0.188083 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,4),(6,-1),-0.0305444 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,9),(9,10),0.0528709 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,11),0.0465757 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,14),-0.182502 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,16),0.0465608 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,25),-0.0578028 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,31),0.103593 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,9),(9,10),(9,11),-0.0451548 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,10),(9,14),-0.0484331 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,10),(9,16),-0.0451548 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,10),(9,25),-0.03643 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,10),(9,31),-0.0119004 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,11),(9,14),-0.0484141 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,11),(9,16),-0.0450603 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,11),(9,25),-0.03643 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,11),(9,31),-0.013217 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,14),(9,16),-0.0432807 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,14),(9,25),-0.0375441 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,14),(9,31),0.00421176 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,16),(9,25),-0.03643 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,16),(9,31),-0.0132319 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,25),(9,31),-0.0568309 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,9),(9,8),0.146008 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,7),0.112328 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,6),0.125858 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,5),0.165641 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,4),0.144884 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,3),0.15068 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,2),0.150794 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,1),0.146962 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,9),(9,9),(9,-1),0.0283675 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,9),(9,8),(9,7),0.141821 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,8),(9,6),0.114159 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,8),(9,5),0.122624 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,8),(9,4),0.107749 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,8),(9,3),0.108897 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,8),(9,2),0.111676 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,8),(9,1),0.108897 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,8),(9,-1),-0.147067 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,7),(9,6),0.118561 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,7),(9,5),0.118933 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,7),(9,4),0.133984 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,7),(9,3),0.134009 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,7),(9,2),0.134009 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,7),(9,1),0.134009 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,7),(9,-1),-0.158628 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,6),(9,5),0.123218 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,6),(9,4),0.129524 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,6),(9,3),0.129526 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,6),(9,2),0.129462 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,6),(9,1),0.129526 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,6),(9,-1),-0.17382 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,5),(9,4),0.11226 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,5),(9,3),0.112618 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,5),(9,2),0.110635 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,5),(9,1),0.112774 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,5),(9,-1),-0.00352448 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,4),(9,3),0.109449 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,4),(9,2),0.112228 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,4),(9,1),0.109449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,4),(9,-1),-0.148215 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,3),(9,2),0.114029 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,3),(9,1),0.11125 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,3),(9,-1),-0.146494 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,2),(9,1),0.111477 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,2),(9,-1),-0.146009 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,1),(9,-1),-0.146252 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,10),(10,10),(10,11),-0.022282 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,10),(10,10),(10,13),-0.0435289 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,10),(10,10),(10,14),-0.0320865 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,10),(10,10),(10,15),-0.0674234 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,10),(10,10),(10,16),-0.0225038 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,10),(10,10),(10,19),0.0129262 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,10),(10,10),(10,23),-0.0560313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,10),(10,10),(10,30),-0.048883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,10),(10,10),(10,31),0.0527527 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,10),(10,11),(10,13),-0.0472748 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,11),(10,14),-0.0472941 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,11),(10,15),-0.0303575 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,11),(10,16),-0.0413826 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,11),(10,19),-0.0433515 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,11),(10,23),-0.049521 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,11),(10,30),-0.0420931 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,11),(10,31),-0.0926143 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,10),(10,13),(10,14),-0.0368175 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,13),(10,15),-0.0653534 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,13),(10,16),-0.0586404 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,13),(10,19),-0.0395751 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,13),(10,23),0.00244476 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,13),(10,30),-0.0550683 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,13),(10,31),-0.0538597 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,10),(10,14),(10,15),-0.0653648 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,14),(10,16),-0.0586117 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,14),(10,19),-0.0399404 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,14),(10,23),0.00516748 # DEPENDENCYPART_GRANDSIBL
