# _root_ In the diversifed businesses segment , which includes herbicides , profit grew to $ 64 million from $ 27 million .
#goldHeads=12,5,5,5,1,5,8,5,8,5,12,0,12,13,14,14,12,17,18,18,12,
#predictedHeads=12,5,5,5,1,5,8,5,8,12,12,0,12,13,14,14,12,17,18,18,12,
(1,4),(4,6),(4,10),-0.0779103 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,12),0.0229882 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,22),-0.0579944 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,8),(4,9),-0.0448732 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,10),0.0154235 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,12),-0.0297915 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,22),-0.111446 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,9),(4,10),-0.0735463 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,9),(4,12),-0.0628965 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,9),(4,22),-0.120572 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,10),(4,12),0.0229882 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,10),(4,22),-0.0579944 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,12),(4,22),-0.117548 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,4),(4,3),0.100043 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,2),0.0929822 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,1),0.163231 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,4),(4,4),(4,-1),-0.104886 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,4),(4,3),(4,2),0.125179 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,3),(4,1),0.117684 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,3),(4,-1),-0.0965645 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,2),(4,1),0.0939667 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,2),(4,-1),-0.0515515 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,1),(4,-1),-0.105485 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,5),(5,5),(5,6),-0.076318 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,8),-0.0577483 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,9),-0.214882 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,10),-0.076318 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,11),-0.216366 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,12),-0.0607864 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,13),0.0540622 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,15),-0.0134152 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,16),-0.0101394 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,17),-0.11767 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,21),-0.0677935 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,22),0.207071 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,5),(5,6),(5,8),0.025729 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,9),-0.0387663 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,10),-0.0779103 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,11),-0.0387663 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,12),0.02635 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,13),-0.0441029 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,15),-0.0660212 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,16),-0.066024 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,17),-0.0285207 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,21),-0.0420221 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,22),-0.0582944 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,8),(5,9),-0.0448732 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,8),(5,10),0.0146573 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,8),(5,11),-0.0448732 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,8),(5,12),-0.0297915 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,8),(5,13),-0.0249095 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,8),(5,15),-0.0428169 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,8),(5,16),-0.042817 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,8),(5,17),-0.0339794 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,8),(5,21),-0.0426279 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,8),(5,22),-0.10629 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,9),(5,10),-0.0735463 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,9),(5,11),-0.0526642 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,9),(5,12),-0.0628965 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,9),(5,13),-0.0433583 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,9),(5,15),-0.0371703 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,9),(5,16),-0.0371703 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,9),(5,17),-0.0309552 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,9),(5,21),-0.0457468 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,9),(5,22),-0.12061 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,10),(5,11),-0.0387663 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,10),(5,12),0.02635 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,10),(5,13),-0.0441029 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,10),(5,15),-0.0660212 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,10),(5,16),-0.066024 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,10),(5,17),-0.0285207 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,10),(5,21),-0.0420221 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,10),(5,22),-0.0582944 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,11),(5,12),-0.0628975 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,11),(5,13),-0.0433583 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,11),(5,15),-0.0371703 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,11),(5,16),-0.0371703 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,11),(5,17),-0.031329 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,11),(5,21),-0.0457468 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,11),(5,22),-0.12038 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,12),(5,13),-0.0249095 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,12),(5,15),-0.0428169 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,12),(5,16),-0.042817 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,12),(5,17),-0.0339794 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,12),(5,21),-0.0426279 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,12),(5,22),-0.112391 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,13),(5,15),-0.0484652 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,13),(5,16),-0.0484652 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,13),(5,17),-0.00124837 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,13),(5,21),-0.0428001 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,13),(5,22),0.0320392 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,15),(5,16),-0.052273 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,15),(5,17),-0.0390419 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,15),(5,21),-0.042001 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,15),(5,22),-0.0190271 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,16),(5,17),-0.0390532 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,16),(5,21),-0.042001 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,16),(5,22),-0.0185065 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,17),(5,21),-0.0438053 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,17),(5,22),-0.0537599 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,21),(5,22),-0.0623983 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,5),(5,4),0.172867 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,3),0.097367 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,2),0.0930612 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,1),0.163386 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,5),(5,5),(5,-1),-0.105085 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,5),(5,4),(5,3),0.144589 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,4),(5,2),0.0155423 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,4),(5,1),0.115283 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,4),(5,-1),-0.119425 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,3),(5,2),0.122978 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,3),(5,1),0.117684 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,3),(5,-1),-0.0991861 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,2),(5,1),0.0939667 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,2),(5,-1),-0.0527338 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,1),(5,-1),-0.105329 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,6),(6,6),(6,22),-0.0703525 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,6),(6,6),(6,1),0.119041 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,6),(6,6),(6,-1),-0.144486 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,6),(6,1),(6,-1),-0.125136 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,8),(8,8),(8,9),0.0659785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,10),-0.0907171 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,11),0.0667811 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,12),-0.0603996 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,13),-0.0860526 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,14),-0.0601884 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,17),-0.0871671 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,21),-0.0448079 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,22),-0.0353868 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,8),(8,9),(8,10),-0.071638 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,9),(8,11),-0.0498476 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,9),(8,12),-0.034492 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,9),(8,13),0.00169369 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,9),(8,14),-0.043714 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,9),(8,17),0.00370307 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,9),(8,21),-0.0453502 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,9),(8,22),-0.0494066 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,10),(8,11),-0.0542351 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,10),(8,12),-0.0551746 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,10),(8,13),-0.0421978 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,10),(8,14),-0.0423373 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,10),(8,17),-0.0589027 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,10),(8,21),-0.0420085 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,10),(8,22),-0.0406806 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,11),(8,12),-0.0302893 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,11),(8,13),0.00169369 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,11),(8,14),-0.043714 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,11),(8,17),0.000541398 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,11),(8,21),-0.0453502 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,11),(8,22),-0.0513446 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,12),(8,13),-0.0422386 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,12),(8,14),-0.0420642 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,12),(8,17),-0.0505155 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,12),(8,21),-0.0430385 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,12),(8,22),-0.0812175 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,13),(8,14),-0.0420178 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,13),(8,17),-0.0445796 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,13),(8,21),-0.0450061 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,13),(8,22),-0.0241961 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,14),(8,17),-0.0336165 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,14),(8,21),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,14),(8,22),-0.0566431 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,17),(8,21),-0.042432 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,17),(8,22),-0.0268421 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,21),(8,22),-0.0458084 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,8),(8,7),0.101035 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,6),0.103954 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,5),0.134011 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,3),0.104257 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,2),0.0933582 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,1),0.112819 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,8),(8,8),(8,-1),-0.124394 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,8),(8,7),(8,6),0.119147 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,7),(8,5),0.11916 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,7),(8,3),0.119164 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,7),(8,2),0.119164 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,7),(8,1),0.119151 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,7),(8,-1),-0.145219 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,6),(8,5),0.0960516 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,6),(8,3),0.112185 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,6),(8,2),0.115892 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,6),(8,1),0.122512 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,6),(8,-1),-0.143408 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,5),(8,3),0.118712 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,5),(8,2),0.108563 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,5),(8,1),0.118578 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,5),(8,-1),-0.116021 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,3),(8,2),0.118849 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,3),(8,1),0.118463 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,3),(8,-1),-0.125052 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,2),(8,1),0.11831 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,2),(8,-1),-0.175432 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,1),(8,-1),-0.129835 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,9),(9,9),(9,10),-0.0773281 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,11),-0.216366 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,12),-0.0606764 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,13),0.0540622 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,14),-0.0230189 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,21),-0.0677935 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,22),0.210463 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,9),(9,10),(9,11),-0.0387128 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,10),(9,12),0.0241657 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,10),(9,13),-0.0440983 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,10),(9,14),-0.0587072 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,10),(9,21),-0.0420221 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,10),(9,22),-0.0582944 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,11),(9,12),-0.0628975 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,11),(9,13),-0.0433583 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,11),(9,14),-0.0428835 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,11),(9,21),-0.0457468 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,11),(9,22),-0.120327 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,12),(9,13),-0.0249095 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,12),(9,14),-0.0430587 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,12),(9,21),-0.0426279 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,12),(9,22),-0.11447 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,13),(9,14),-0.0426013 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,13),(9,21),-0.0428001 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,13),(9,22),0.0320439 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,14),(9,21),-0.0420472 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,14),(9,22),-0.0275703 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,21),(9,22),-0.0623983 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,9),(9,8),0.0975482 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,7),0.109632 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,6),0.00717476 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,5),0.171166 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,3),0.0975482 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,2),0.0930612 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,1),0.163386 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,9),(9,9),(9,-1),-0.104401 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,9),(9,8),(9,7),0.117924 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,8),(9,6),0.129462 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,8),(9,5),0.136576 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,8),(9,3),0.118386 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,8),(9,2),0.122984 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,8),(9,1),0.117684 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,8),(9,-1),-0.0990153 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,7),(9,6),0.119164 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,7),(9,5),0.117464 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,7),(9,3),0.118254 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,7),(9,2),0.119164 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,7),(9,1),0.119164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,7),(9,-1),-0.147382 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,6),(9,5),0.0319497 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,6),(9,3),0.151536 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,6),(9,2),0.105755 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,6),(9,1),0.131001 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,6),(9,-1),-0.14086 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,5),(9,3),0.144589 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,5),(9,2),0.0149206 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,5),(9,1),0.115283 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,5),(9,-1),-0.118002 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,3),(9,2),0.122984 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,3),(9,1),0.117684 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,3),(9,-1),-0.0990112 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,2),(9,1),0.0939667 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,2),(9,-1),-0.0533655 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,1),(9,-1),-0.105329 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,10),(10,10),(10,22),-0.0703525 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,10),(10,10),(10,-1),-0.144486 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,1),(1,2),-0.124885 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,1),(1,3),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,4),-0.128289 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,5),-0.128289 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,6),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,8),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,9),-0.128289 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,10),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,22),-0.131235 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,2),(1,3),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,4),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,5),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,6),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,8),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,9),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,10),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,22),-0.126091 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,3),(1,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,22),-0.124916 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,4),(1,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,4),(1,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,4),(1,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,4),(1,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,4),(1,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,4),(1,22),-0.128825 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,5),(1,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,5),(1,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,5),(1,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,5),(1,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,5),(1,22),-0.128825 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,6),(1,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,6),(1,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,6),(1,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
