# _root_ Abby Joseph Cohen , a market strategist at Drexel Burnham Lambert , is n't nearly so sanguine about the market 's chances of surging to new highs anytime soon .
#goldHeads=3,3,13,3,7,7,3,7,11,11,8,3,0,13,17,17,13,17,20,22,20,18,22,23,24,27,25,24,28,13,
#predictedHeads=3,3,13,3,7,7,3,7,11,11,8,3,0,13,17,17,13,17,20,22,20,18,22,23,24,27,25,24,28,13,
(2,13),(13,11),(13,7),0.092888 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,11),(13,6),0.0927519 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,11),(13,5),0.10885 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,11),(13,4),0.0611768 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,11),(13,3),0.092888 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,11),(13,2),0.092888 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,11),(13,1),-0.144891 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,11),(13,-1),-0.0244586 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,10),(13,9),0.0928879 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,10),(13,8),0.104419 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,10),(13,7),0.0928879 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,10),(13,6),0.0927519 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,10),(13,5),0.10885 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,10),(13,4),0.0611768 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,10),(13,3),0.0928879 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,10),(13,2),0.0928879 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,10),(13,1),-0.144891 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,10),(13,-1),-0.0244575 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,9),(13,8),0.104419 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,9),(13,7),0.092888 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,9),(13,6),0.0927519 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,9),(13,5),0.10885 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,9),(13,4),0.0611768 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,9),(13,3),0.092888 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,9),(13,2),0.092888 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,9),(13,1),-0.144891 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,9),(13,-1),-0.0244588 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,8),(13,7),0.0998187 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,8),(13,6),0.0997184 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,8),(13,5),0.108537 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,8),(13,4),0.155629 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,8),(13,3),0.0998187 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,8),(13,2),0.0998187 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,8),(13,1),-0.144709 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,8),(13,-1),-0.235284 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,7),(13,6),0.0927519 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,7),(13,5),0.10885 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,7),(13,4),0.0611768 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,7),(13,3),0.092888 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,7),(13,2),0.092888 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,7),(13,1),-0.144891 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,7),(13,-1),-0.0244575 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,6),(13,5),0.108785 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,6),(13,4),0.0611723 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,6),(13,3),0.0928797 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,6),(13,2),0.0928797 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,6),(13,1),-0.144891 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,6),(13,-1),-0.0209231 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,5),(13,4),0.116864 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,5),(13,3),0.108704 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,5),(13,2),0.108704 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,5),(13,1),-0.14479 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,5),(13,-1),-0.162943 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,4),(13,3),0.118506 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,4),(13,2),0.118506 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,4),(13,1),-0.144819 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,4),(13,-1),-0.210496 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,3),(13,2),0.092888 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,3),(13,1),-0.144891 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,3),(13,-1),-0.0244575 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,2),(13,1),-0.144891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,2),(13,-1),-0.0244575 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,13),(13,1),(13,-1),-0.0244575 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,1),(1,2),0.161031 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,1),(1,3),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,1),(1,4),-0.145466 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,1),(1,7),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,1),(1,8),-0.155867 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,1),(1,11),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,1),(1,12),-0.145466 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,1),(1,13),-0.17322 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,1),(1,31),-0.0180488 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,1),(1,2),(1,3),-0.145195 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,2),(1,4),-0.145732 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,2),(1,7),-0.145195 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,2),(1,8),-0.14479 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,2),(1,11),-0.145195 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,2),(1,12),-0.145732 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,2),(1,13),-0.14473 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,2),(1,31),-0.173847 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,3),(1,4),-0.145732 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,3),(1,7),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,3),(1,8),-0.14479 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,3),(1,11),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,3),(1,12),-0.145732 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,3),(1,13),-0.14473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,3),(1,31),-0.173847 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,1),(1,4),(1,7),-0.14942 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,4),(1,8),-0.144861 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,4),(1,11),-0.14942 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,4),(1,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,4),(1,13),-0.146638 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,4),(1,31),-0.0334281 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,7),(1,8),-0.14479 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,7),(1,11),-0.145195 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,7),(1,12),-0.145732 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,7),(1,13),-0.14473 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,7),(1,31),-0.173847 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,8),(1,11),-0.14498 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,8),(1,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,8),(1,13),-0.144823 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,8),(1,31),-0.116522 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,11),(1,12),-0.145732 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,11),(1,13),-0.14473 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,11),(1,31),-0.174271 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,12),(1,13),-0.146638 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,12),(1,31),-0.0334281 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,13),(1,31),-0.198821 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,1),(1,-1),0.134444 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,2),(2,3),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,4),-0.145466 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,6),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,7),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,8),-0.155867 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,11),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,12),-0.145466 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,13),-0.17322 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,31),-0.0122034 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,3),(2,4),-0.145732 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,6),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,7),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,8),-0.14479 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,11),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,12),-0.145732 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,13),-0.14473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,31),-0.173847 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,4),(2,6),-0.14942 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,7),-0.14942 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,8),-0.144861 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,11),-0.14942 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,13),-0.146638 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,31),-0.0334281 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,6),(2,7),-0.145195 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,6),(2,8),-0.14479 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,6),(2,11),-0.145195 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,6),(2,12),-0.145732 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,6),(2,13),-0.14473 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,6),(2,31),-0.178041 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,7),(2,8),-0.14479 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,7),(2,11),-0.145195 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,7),(2,12),-0.145732 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,7),(2,13),-0.14473 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,7),(2,31),-0.173847 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,8),(2,11),-0.14498 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,8),(2,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,8),(2,13),-0.144823 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,8),(2,31),-0.116523 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,11),(2,12),-0.145732 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,11),(2,13),-0.14473 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,11),(2,31),-0.174271 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,12),(2,13),-0.146638 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,12),(2,31),-0.0334281 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,13),(2,31),-0.198821 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,2),(2,1),-0.130684 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,-1),0.139437 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,1),(2,-1),0.0272025 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,4),(4,31),-0.0455609 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,4),(4,4),(4,-1),-0.185996 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,6),(6,6),(6,8),0.015839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,11),-0.13419 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,12),0.133903 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,17),-0.0449397 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,31),0.144627 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,6),(6,8),(6,11),-0.0238661 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,8),(6,12),-0.04588 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,8),(6,17),-0.0184824 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,8),(6,31),0.025667 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,11),(6,12),0.00445263 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,11),(6,17),-0.0323088 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,11),(6,31),0.0185121 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,12),(6,17),-0.0325016 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,12),(6,31),-0.0204841 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,17),(6,31),-0.0300194 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,6),(6,5),0.114117 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,4),0.181967 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,-1),-0.00642708 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,6),(6,5),(6,4),0.10746 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,5),(6,-1),-0.0898813 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,4),(6,-1),-0.0334818 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,7),(7,8),0.0142762 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,9),-0.131974 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,10),-0.131974 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,11),-0.131974 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,12),0.133904 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,13),0.0491415 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,15),-0.0287724 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,16),-0.0333586 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,17),-0.0415639 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,31),0.134443 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,7),(7,8),(7,9),-0.0238661 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,10),-0.0238661 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,11),-0.0238661 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,12),-0.04588 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,13),-0.00996833 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,15),-0.0206382 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,16),-0.0206382 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,17),-0.0184824 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,31),0.0210087 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,9),(7,10),-0.00139317 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,9),(7,11),-0.00139317 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,9),(7,12),0.00445263 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,9),(7,13),-0.0208842 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,9),(7,15),-0.0145043 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,9),(7,16),-0.0145043 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,9),(7,17),-0.0323083 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,9),(7,31),0.0259137 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,10),(7,11),-0.00139317 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,10),(7,12),0.00445263 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,10),(7,13),-0.0208842 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,10),(7,15),-0.0145043 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,10),(7,16),-0.0145043 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,10),(7,17),-0.0323083 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,10),(7,31),0.0259132 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,11),(7,12),0.00445263 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,11),(7,13),-0.0208842 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,11),(7,15),-0.0145043 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,11),(7,16),-0.0145043 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,11),(7,17),-0.0323083 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,11),(7,31),0.0259137 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,12),(7,13),-0.0672102 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,12),(7,15),-0.0275917 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,12),(7,16),-0.0275909 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,12),(7,17),-0.0310298 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,12),(7,31),-0.020159 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,13),(7,15),-0.0198138 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,13),(7,16),-0.0198138 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,13),(7,17),-0.0198779 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,13),(7,31),0.00394494 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,15),(7,16),-0.0232032 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,15),(7,17),-0.0195969 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,15),(7,31),-0.0326544 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,16),(7,17),-0.0195969 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,16),(7,31),-0.0389661 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,17),(7,31),-0.0294546 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,7),(7,6),0.150357 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,5),0.114297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,4),0.182057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,3),0.161031 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,2),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,1),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,-1),-0.0180488 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,7),(7,6),(7,5),0.166741 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,6),(7,4),0.116647 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,6),(7,3),0.089559 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,6),(7,2),-0.145195 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,6),(7,1),-0.145195 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,6),(7,-1),-0.178041 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,5),(7,4),0.10746 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,5),(7,3),0.122034 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,5),(7,2),-0.144717 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,5),(7,1),-0.144717 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,5),(7,-1),-0.0885592 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,4),(7,3),0.118238 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,4),(7,2),-0.14942 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,4),(7,1),-0.14942 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,4),(7,-1),-0.033429 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,3),(7,2),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,3),(7,1),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,3),(7,-1),-0.173847 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,7),(7,2),(7,1),-0.145195 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,2),(7,-1),-0.173847 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,1),(7,-1),-0.173847 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,8),(8,9),0.109973 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,10),0.111442 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,11),0.110746 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,12),-0.0476227 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,14),-0.0589853 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,15),-0.0589703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,16),-0.0589956 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,31),-0.315113 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,8),(8,9),(8,10),-0.0528527 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,9),(8,11),-0.0529398 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,9),(8,12),-0.00197173 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,9),(8,14),-0.0257878 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,9),(8,15),-0.0257877 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,9),(8,16),-0.0257921 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,9),(8,31),0.0441363 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,10),(8,11),-0.0530269 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,10),(8,12),-0.00197173 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,10),(8,14),-0.0257878 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,10),(8,15),-0.0257877 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,10),(8,16),-0.0257921 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,10),(8,31),0.0456926 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,11),(8,12),-0.00197173 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,11),(8,14),-0.0257878 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,11),(8,15),-0.0257877 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,11),(8,16),-0.0257921 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,11),(8,31),0.0449744 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,12),(8,14),-0.0152585 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,12),(8,15),-0.0152585 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,12),(8,16),-0.0152586 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,12),(8,31),-0.00861653 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,14),(8,15),-0.0122523 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,14),(8,16),-0.0122543 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,14),(8,31),0.00114284 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,15),(8,16),-0.0122543 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,15),(8,31),0.00114133 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,16),(8,31),0.00100336 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,8),(8,7),0.0398031 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
