# _root_ But shortly before then , some of Wall Street 's sharpest traders say , they sensed a turn .
#goldHeads=13,3,13,3,13,13,6,9,12,9,12,7,0,13,16,13,18,16,13,
#predictedHeads=16,3,16,3,16,13,6,9,12,9,12,7,0,13,16,0,18,16,16,
(7,1),(7,4),0.265603 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.000898191 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.072035 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0673045 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0642009 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.00882263 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.109437 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.0289477 # DEPENDENCYPART_SIBL
(7,1),(7,14),0.042638 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.00076881 # DEPENDENCYPART_SIBL
(7,1),(7,18),-0.024117 # DEPENDENCYPART_SIBL
(7,1),(7,19),0.217516 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.052271 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0117948 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0295682 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0128832 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.00113171 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.087522 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.0420361 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.0261754 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.0982893 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.110597 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.0646688 # DEPENDENCYPART_SIBL
(7,2),(7,18),0.0444236 # DEPENDENCYPART_SIBL
(7,2),(7,19),0.144393 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0519734 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.3115 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0889651 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0841418 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0840159 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0292855 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.2428 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0958131 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.110617 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.0741409 # DEPENDENCYPART_SIBL
(7,3),(7,18),-0.0482215 # DEPENDENCYPART_SIBL
(7,3),(7,19),0.0357589 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.00716647 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.056223 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0447672 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.149845 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0139783 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.0656643 # DEPENDENCYPART_SIBL
(7,4),(7,13),0.0515426 # DEPENDENCYPART_SIBL
(7,4),(7,14),0.0636109 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.0121932 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.0408817 # DEPENDENCYPART_SIBL
(7,4),(7,19),0.108734 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.035544 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0374754 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.242281 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.000913463 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.138115 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.0370747 # DEPENDENCYPART_SIBL
(7,5),(7,14),0.576412 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.0728459 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.161273 # DEPENDENCYPART_SIBL
(7,5),(7,19),-0.0056302 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.838366 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.381565 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.35556 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.856965 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.608735 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.112653 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.591107 # DEPENDENCYPART_SIBL
(7,8),(7,18),-0.963897 # DEPENDENCYPART_SIBL
(7,8),(7,19),-0.106974 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.330209 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.302873 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.807534 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.557698 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.0420051 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.546258 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.904961 # DEPENDENCYPART_SIBL
(7,9),(7,19),-0.0586205 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0494568 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.504386 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.290381 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.0594412 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.248187 # DEPENDENCYPART_SIBL
(7,10),(7,18),-0.613906 # DEPENDENCYPART_SIBL
(7,10),(7,19),0.114454 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.494977 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.294489 # DEPENDENCYPART_SIBL
(7,11),(7,14),0.059448 # DEPENDENCYPART_SIBL
(7,11),(7,16),-0.27346 # DEPENDENCYPART_SIBL
(7,11),(7,18),-0.578783 # DEPENDENCYPART_SIBL
(7,11),(7,19),0.102001 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.60337 # DEPENDENCYPART_SIBL
(7,12),(7,14),-0.0645064 # DEPENDENCYPART_SIBL
(7,12),(7,16),-0.581056 # DEPENDENCYPART_SIBL
(7,12),(7,18),-0.951631 # DEPENDENCYPART_SIBL
(7,12),(7,19),-0.0255142 # DEPENDENCYPART_SIBL
(7,13),(7,14),0.48456 # DEPENDENCYPART_SIBL
(7,13),(7,16),-0.315164 # DEPENDENCYPART_SIBL
(7,13),(7,18),-0.49849 # DEPENDENCYPART_SIBL
(7,13),(7,19),0.261309 # DEPENDENCYPART_SIBL
(7,14),(7,16),0.456724 # DEPENDENCYPART_SIBL
(7,14),(7,18),0.00247073 # DEPENDENCYPART_SIBL
(7,14),(7,19),0.407798 # DEPENDENCYPART_SIBL
(7,16),(7,18),-0.537919 # DEPENDENCYPART_SIBL
(7,16),(7,19),0.412506 # DEPENDENCYPART_SIBL
(7,18),(7,19),-0.0845039 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0373434 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.0191657 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.090293 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.135328 # DEPENDENCYPART_SIBL
(8,9),(8,14),0.00890832 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.0652199 # DEPENDENCYPART_SIBL
(9,1),(9,2),0.00992878 # DEPENDENCYPART_SIBL
(9,1),(9,4),0.0483635 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.01133 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.0571288 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.0782391 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.112069 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.23296 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.0312411 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.0618654 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.032772 # DEPENDENCYPART_SIBL
(9,1),(9,16),0.0212208 # DEPENDENCYPART_SIBL
(9,1),(9,18),-0.0319102 # DEPENDENCYPART_SIBL
(9,1),(9,19),0.138663 # DEPENDENCYPART_SIBL
(9,2),(9,4),0.0261158 # DEPENDENCYPART_SIBL
(9,2),(9,5),0.0483734 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.140737 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.028754 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.011572 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.329292 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.0422833 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.00407627 # DEPENDENCYPART_SIBL
(9,2),(9,14),-0.082797 # DEPENDENCYPART_SIBL
(9,2),(9,16),0.0129638 # DEPENDENCYPART_SIBL
(9,2),(9,18),-0.0151681 # DEPENDENCYPART_SIBL
(9,2),(9,19),-0.0254431 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.0118449 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.136937 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.0136692 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.0205842 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.339919 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.0425205 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.0357336 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.0522276 # DEPENDENCYPART_SIBL
(9,4),(9,16),0.000413459 # DEPENDENCYPART_SIBL
(9,4),(9,18),-0.0210053 # DEPENDENCYPART_SIBL
(9,4),(9,19),-0.00706121 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.0506205 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.0978264 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.048372 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.562963 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.0462428 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.0802939 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.0297304 # DEPENDENCYPART_SIBL
(9,5),(9,16),0.0826106 # DEPENDENCYPART_SIBL
(9,5),(9,18),-0.168963 # DEPENDENCYPART_SIBL
(9,5),(9,19),-0.122004 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.00196147 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.0836342 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0202705 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0285281 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.0791092 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.0822125 # DEPENDENCYPART_SIBL
(9,6),(9,16),0.101061 # DEPENDENCYPART_SIBL
(9,6),(9,18),-0.0585554 # DEPENDENCYPART_SIBL
(9,6),(9,19),-0.0241152 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0902116 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.103873 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0079254 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.0315391 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.100362 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.00232065 # DEPENDENCYPART_SIBL
(9,7),(9,18),-0.0274555 # DEPENDENCYPART_SIBL
(9,7),(9,19),-0.0559862 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.0209544 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.091098 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0328665 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.115835 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.0473383 # DEPENDENCYPART_SIBL
(9,8),(9,18),-0.0482568 # DEPENDENCYPART_SIBL
(9,8),(9,19),-0.0454726 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.0296376 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.0531722 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.0647154 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.0264456 # DEPENDENCYPART_SIBL
(9,10),(9,18),-0.219522 # DEPENDENCYPART_SIBL
(9,10),(9,19),-0.0870516 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.0122539 # DEPENDENCYPART_SIBL
(9,11),(9,14),0.0771113 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.0182619 # DEPENDENCYPART_SIBL
(9,11),(9,18),-0.077157 # DEPENDENCYPART_SIBL
(9,11),(9,19),0.000339296 # DEPENDENCYPART_SIBL
(9,12),(9,14),0.0466769 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.0840079 # DEPENDENCYPART_SIBL
(9,12),(9,18),-0.0787815 # DEPENDENCYPART_SIBL
(9,12),(9,19),0.0867452 # DEPENDENCYPART_SIBL
(9,14),(9,16),0.473494 # DEPENDENCYPART_SIBL
(9,14),(9,18),0.654957 # DEPENDENCYPART_SIBL
(9,14),(9,19),-0.0176022 # DEPENDENCYPART_SIBL
(9,16),(9,18),-0.0917217 # DEPENDENCYPART_SIBL
(9,16),(9,19),0.0180997 # DEPENDENCYPART_SIBL
(9,18),(9,19),0.083804 # DEPENDENCYPART_SIBL
(10,1),(10,3),0.130732 # DEPENDENCYPART_SIBL
(10,1),(10,6),0.154974 # DEPENDENCYPART_SIBL
(10,1),(10,7),0.121728 # DEPENDENCYPART_SIBL
(10,1),(10,11),0.0920504 # DEPENDENCYPART_SIBL
(10,3),(10,6),0.0979111 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.0977761 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.00450253 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.0401405 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.101604 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.00203069 # DEPENDENCYPART_SIBL
(11,1),(11,2),0.0744416 # DEPENDENCYPART_SIBL
(11,1),(11,3),0.0500838 # DEPENDENCYPART_SIBL
(11,1),(11,4),0.115981 # DEPENDENCYPART_SIBL
(11,1),(11,5),-0.000311099 # DEPENDENCYPART_SIBL
(11,1),(11,6),0.0824513 # DEPENDENCYPART_SIBL
(11,1),(11,7),0.0421969 # DEPENDENCYPART_SIBL
(11,1),(11,9),0.0103633 # DEPENDENCYPART_SIBL
(11,1),(11,10),-0.0311645 # DEPENDENCYPART_SIBL
(11,1),(11,12),-0.0813614 # DEPENDENCYPART_SIBL
(11,1),(11,13),0.0207717 # DEPENDENCYPART_SIBL
(11,1),(11,14),-0.019939 # DEPENDENCYPART_SIBL
(11,1),(11,16),0.00508334 # DEPENDENCYPART_SIBL
(11,1),(11,18),0.00506396 # DEPENDENCYPART_SIBL
(11,2),(11,3),0.0307215 # DEPENDENCYPART_SIBL
(11,2),(11,4),-0.000769993 # DEPENDENCYPART_SIBL
(11,2),(11,5),0.00933708 # DEPENDENCYPART_SIBL
(11,2),(11,6),0.0755632 # DEPENDENCYPART_SIBL
(11,2),(11,7),0.0153748 # DEPENDENCYPART_SIBL
(11,2),(11,9),0.00918267 # DEPENDENCYPART_SIBL
(11,2),(11,10),0.0513402 # DEPENDENCYPART_SIBL
(11,2),(11,12),-0.00225877 # DEPENDENCYPART_SIBL
(11,2),(11,13),0.0106176 # DEPENDENCYPART_SIBL
(11,2),(11,14),-0.00615255 # DEPENDENCYPART_SIBL
(11,2),(11,16),0.00753126 # DEPENDENCYPART_SIBL
(11,2),(11,18),0.0672909 # DEPENDENCYPART_SIBL
(11,3),(11,4),0.0224779 # DEPENDENCYPART_SIBL
(11,3),(11,5),0.309064 # DEPENDENCYPART_SIBL
(11,3),(11,6),0.0327028 # DEPENDENCYPART_SIBL
(11,3),(11,7),-0.10508 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.00580299 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.0177386 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.0701042 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.0549559 # DEPENDENCYPART_SIBL
(11,3),(11,14),-0.105538 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.0327009 # DEPENDENCYPART_SIBL
(11,3),(11,18),0.030006 # DEPENDENCYPART_SIBL
(11,4),(11,5),-0.0230504 # DEPENDENCYPART_SIBL
(11,4),(11,6),0.0766974 # DEPENDENCYPART_SIBL
(11,4),(11,7),0.0346354 # DEPENDENCYPART_SIBL
(11,4),(11,9),0.0408824 # DEPENDENCYPART_SIBL
(11,4),(11,10),0.0509584 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.031826 # DEPENDENCYPART_SIBL
(11,4),(11,13),0.0217382 # DEPENDENCYPART_SIBL
(11,4),(11,14),0.0140091 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.00349883 # DEPENDENCYPART_SIBL
(11,4),(11,18),0.063249 # DEPENDENCYPART_SIBL
(11,5),(11,6),0.0402046 # DEPENDENCYPART_SIBL
(11,5),(11,7),-0.0134969 # DEPENDENCYPART_SIBL
(11,5),(11,9),0.027101 # DEPENDENCYPART_SIBL
(11,5),(11,10),0.0334416 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.0557611 # DEPENDENCYPART_SIBL
(11,5),(11,13),0.0621375 # DEPENDENCYPART_SIBL
(11,5),(11,14),0.0523439 # DEPENDENCYPART_SIBL
(11,5),(11,16),0.000457813 # DEPENDENCYPART_SIBL
(11,5),(11,18),-0.0561066 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.00546207 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.0371394 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.0140642 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.0706285 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.012527 # DEPENDENCYPART_SIBL
(11,6),(11,14),0.0295656 # DEPENDENCYPART_SIBL
(11,6),(11,16),0.147596 # DEPENDENCYPART_SIBL
(11,6),(11,18),0.0374034 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.00938541 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.015142 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.0551673 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.0671078 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.106044 # DEPENDENCYPART_SIBL
(11,7),(11,16),-0.0241178 # DEPENDENCYPART_SIBL
(11,7),(11,18),-0.00150678 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.0525873 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0388837 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0306653 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.0677727 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.00698537 # DEPENDENCYPART_SIBL
(11,9),(11,18),0.0181371 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0446154 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.000995436 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.0686862 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.0273417 # DEPENDENCYPART_SIBL
(11,10),(11,18),-0.00886126 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.0949611 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.0255819 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.113882 # DEPENDENCYPART_SIBL
(11,12),(11,18),-0.0655078 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.276439 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.14194 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.0411964 # DEPENDENCYPART_SIBL
(11,14),(11,16),0.248163 # DEPENDENCYPART_SIBL
(11,14),(11,18),0.297844 # DEPENDENCYPART_SIBL
(11,16),(11,18),-0.0474495 # DEPENDENCYPART_SIBL
(12,2),(12,3),0.0174076 # DEPENDENCYPART_SIBL
(12,2),(12,6),-0.0580885 # DEPENDENCYPART_SIBL
(12,2),(12,7),0.0289602 # DEPENDENCYPART_SIBL
(12,2),(12,8),0.0351662 # DEPENDENCYPART_SIBL
(12,2),(12,9),0.0602973 # DEPENDENCYPART_SIBL
(12,2),(12,10),0.0265428 # DEPENDENCYPART_SIBL
(12,2),(12,11),-0.0167624 # DEPENDENCYPART_SIBL
(12,2),(12,13),0.0274689 # DEPENDENCYPART_SIBL
(12,2),(12,14),0.0810468 # DEPENDENCYPART_SIBL
(12,2),(12,16),-0.0151308 # DEPENDENCYPART_SIBL
(12,2),(12,18),0.0594866 # DEPENDENCYPART_SIBL
(12,2),(12,19),0.0519274 # DEPENDENCYPART_SIBL
(12,3),(12,6),-0.11172 # DEPENDENCYPART_SIBL
(12,3),(12,7),-0.0699287 # DEPENDENCYPART_SIBL
(12,3),(12,8),0.0293743 # DEPENDENCYPART_SIBL
(12,3),(12,9),0.0415323 # DEPENDENCYPART_SIBL
(12,3),(12,10),0.0156409 # DEPENDENCYPART_SIBL
(12,3),(12,11),-0.00718334 # DEPENDENCYPART_SIBL
(12,3),(12,13),-0.0117225 # DEPENDENCYPART_SIBL
(12,3),(12,14),-0.0417631 # DEPENDENCYPART_SIBL
(12,3),(12,16),-0.0449471 # DEPENDENCYPART_SIBL
(12,3),(12,18),0.00540362 # DEPENDENCYPART_SIBL
(12,3),(12,19),0.0349684 # DEPENDENCYPART_SIBL
(12,6),(12,7),0.0918336 # DEPENDENCYPART_SIBL
(12,6),(12,8),0.137368 # DEPENDENCYPART_SIBL
(12,6),(12,9),0.139185 # DEPENDENCYPART_SIBL
(12,6),(12,10),0.0424534 # DEPENDENCYPART_SIBL
(12,6),(12,11),0.0285304 # DEPENDENCYPART_SIBL
(12,6),(12,13),-0.0494629 # DEPENDENCYPART_SIBL
(12,6),(12,14),0.115865 # DEPENDENCYPART_SIBL
(12,6),(12,16),0.0579776 # DEPENDENCYPART_SIBL
(12,6),(12,18),-0.0816193 # DEPENDENCYPART_SIBL
(12,6),(12,19),-0.0513253 # DEPENDENCYPART_SIBL
(12,7),(12,8),-0.00204516 # DEPENDENCYPART_SIBL
(12,7),(12,9),0.0100561 # DEPENDENCYPART_SIBL
(12,7),(12,10),-0.0223597 # DEPENDENCYPART_SIBL
(12,7),(12,11),-0.051441 # DEPENDENCYPART_SIBL
(12,7),(12,13),-0.00447671 # DEPENDENCYPART_SIBL
(12,7),(12,14),-0.0313304 # DEPENDENCYPART_SIBL
(12,7),(12,16),-0.0170197 # DEPENDENCYPART_SIBL
(12,7),(12,18),-0.00115861 # DEPENDENCYPART_SIBL
(12,7),(12,19),0.0391743 # DEPENDENCYPART_SIBL
(12,8),(12,9),0.21052 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.0134912 # DEPENDENCYPART_SIBL
(12,8),(12,11),0.018134 # DEPENDENCYPART_SIBL
(12,8),(12,13),-0.0098622 # DEPENDENCYPART_SIBL
(12,8),(12,14),0.0442044 # DEPENDENCYPART_SIBL
(12,8),(12,16),-0.0310161 # DEPENDENCYPART_SIBL
(12,8),(12,18),-0.0171043 # DEPENDENCYPART_SIBL
(12,8),(12,19),-0.0058511 # DEPENDENCYPART_SIBL
(12,9),(12,10),-0.000181187 # DEPENDENCYPART_SIBL
(12,9),(12,11),0.00817321 # DEPENDENCYPART_SIBL
(12,9),(12,13),-0.0304637 # DEPENDENCYPART_SIBL
(12,9),(12,14),-0.0218276 # DEPENDENCYPART_SIBL
(12,9),(12,16),-0.0610075 # DEPENDENCYPART_SIBL
(12,9),(12,18),-0.0423044 # DEPENDENCYPART_SIBL
(12,9),(12,19),-0.0100811 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.0609422 # DEPENDENCYPART_SIBL
(12,10),(12,13),0.0538673 # DEPENDENCYPART_SIBL
(12,10),(12,14),0.0273691 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.0259933 # DEPENDENCYPART_SIBL
(12,10),(12,18),-0.0160206 # DEPENDENCYPART_SIBL
(12,10),(12,19),0.129397 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.0161054 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.00823893 # DEPENDENCYPART_SIBL
(12,11),(12,16),-0.0409191 # DEPENDENCYPART_SIBL
(12,11),(12,18),-0.000531286 # DEPENDENCYPART_SIBL
(12,11),(12,19),-0.0378346 # DEPENDENCYPART_SIBL
(12,13),(12,14),0.534771 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.0838948 # DEPENDENCYPART_SIBL
(12,13),(12,18),0.0350267 # DEPENDENCYPART_SIBL
(12,13),(12,19),0.0483835 # DEPENDENCYPART_SIBL
(12,14),(12,16),0.453681 # DEPENDENCYPART_SIBL
(12,14),(12,18),0.516324 # DEPENDENCYPART_SIBL
(12,14),(12,19),-0.0415965 # DEPENDENCYPART_SIBL
(12,16),(12,18),-0.00921352 # DEPENDENCYPART_SIBL
(12,16),(12,19),0.0583238 # DEPENDENCYPART_SIBL
(12,18),(12,19),0.0250379 # DEPENDENCYPART_SIBL
(13,1),(13,2),-0.0287231 # DEPENDENCYPART_SIBL
(13,1),(13,3),0.0374939 # DEPENDENCYPART_SIBL
(13,1),(13,4),0.0487126 # DEPENDENCYPART_SIBL
(13,1),(13,5),-0.0305605 # DEPENDENCYPART_SIBL
(13,1),(13,6),-0.0521711 # DEPENDENCYPART_SIBL
(13,1),(13,7),0.0227948 # DEPENDENCYPART_SIBL
(13,1),(13,8),-0.0881202 # DEPENDENCYPART_SIBL
(13,1),(13,9),-0.0805565 # DEPENDENCYPART_SIBL
(13,1),(13,10),-0.0834736 # DEPENDENCYPART_SIBL
(13,1),(13,11),-0.061908 # DEPENDENCYPART_SIBL
(13,1),(13,12),0.0356223 # DEPENDENCYPART_SIBL
(13,1),(13,14),-0.0898492 # DEPENDENCYPART_SIBL
(13,1),(13,15),-0.119496 # DEPENDENCYPART_SIBL
(13,1),(13,16),0.0228312 # DEPENDENCYPART_SIBL
(13,1),(13,18),-0.117316 # DEPENDENCYPART_SIBL
(13,1),(13,19),0.265291 # DEPENDENCYPART_SIBL
(13,2),(13,3),0.00940778 # DEPENDENCYPART_SIBL
(13,2),(13,4),-0.0162737 # DEPENDENCYPART_SIBL
(13,2),(13,5),-0.0086879 # DEPENDENCYPART_SIBL
(13,2),(13,6),-0.0479151 # DEPENDENCYPART_SIBL
(13,2),(13,7),-0.0161323 # DEPENDENCYPART_SIBL
(13,2),(13,8),-0.0809265 # DEPENDENCYPART_SIBL
(13,2),(13,9),-0.0710458 # DEPENDENCYPART_SIBL
(13,2),(13,10),-0.00770905 # DEPENDENCYPART_SIBL
(13,2),(13,11),-0.0280717 # DEPENDENCYPART_SIBL
(13,2),(13,12),0.0428954 # DEPENDENCYPART_SIBL
(13,2),(13,14),-0.0869379 # DEPENDENCYPART_SIBL
(13,2),(13,15),-0.14447 # DEPENDENCYPART_SIBL
(13,2),(13,16),-0.00433018 # DEPENDENCYPART_SIBL
(13,2),(13,18),-0.0496767 # DEPENDENCYPART_SIBL
(13,2),(13,19),0.0110765 # DEPENDENCYPART_SIBL
(13,3),(13,4),0.0574332 # DEPENDENCYPART_SIBL
(13,3),(13,5),0.239428 # DEPENDENCYPART_SIBL
(13,3),(13,6),-0.0904626 # DEPENDENCYPART_SIBL
(13,3),(13,7),-0.167039 # DEPENDENCYPART_SIBL
(13,3),(13,8),-0.0585218 # DEPENDENCYPART_SIBL
(13,3),(13,9),-0.0615795 # DEPENDENCYPART_SIBL
