# _root_ While some assets have been written down , others are undervalued in the accounts , Mr. Bond maintained .
#goldHeads=4,3,4,10,4,5,6,10,10,18,10,11,14,12,18,17,18,0,18,
#predictedHeads=4,3,4,10,4,5,6,10,10,18,10,11,14,12,18,17,18,0,18,
(2,4),(4,11),(4,18),-0.0195882 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,11),(4,19),-0.0206099 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,11),(4,20),0.00343306 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,15),(4,18),-0.0204379 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,15),(4,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,15),(4,20),-0.0196615 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,18),(4,19),-0.0206099 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,18),(4,20),0.00343306 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,19),(4,20),-0.0216082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,4),(4,3),0.103351 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,2),0.104953 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,-1),-0.198695 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,4),(4,3),(4,2),0.109539 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,3),(4,1),-0.145181 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,3),(4,-1),-0.147031 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,2),(4,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,2),(4,-1),-0.148216 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,4),(4,1),(4,-1),-0.153097 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,5),(5,6),-0.00456461 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,7),-0.0253797 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,8),-0.020134 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,9),-0.061359 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,10),-0.00462141 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,11),-0.00456461 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,12),-0.0056175 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,15),-0.020134 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,18),-0.00456461 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,20),0.0152704 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,5),(5,6),(5,7),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,8),-0.0244263 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,9),-0.0196498 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,10),-0.0195882 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,11),-0.0195882 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,12),-0.0200408 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,15),-0.0244263 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,18),-0.0195882 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,19),-0.0206099 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,20),-0.00152732 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,7),(5,8),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,9),-0.0194414 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,10),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,11),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,12),-0.0229424 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,20),-0.0200984 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,8),(5,9),-0.019452 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,10),-0.0204379 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,11),-0.0204379 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,12),-0.0205806 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,18),-0.0204379 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,20),-0.0196615 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,9),(5,10),-0.0201066 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,11),-0.0201052 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,12),-0.0225203 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,15),-0.021205 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,18),-0.0201052 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,19),-0.0197135 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,20),-0.0402826 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,10),(5,11),-0.0195882 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,10),(5,12),-0.0200408 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,10),(5,15),-0.0244263 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,10),(5,18),-0.0195882 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,10),(5,19),-0.0206099 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,10),(5,20),-0.00174512 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,11),(5,12),-0.0200408 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,15),-0.0244263 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,18),-0.0195882 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,19),-0.0206099 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,20),-0.00152732 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,12),(5,15),-0.0204786 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,12),(5,18),-0.0206488 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,12),(5,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,12),(5,20),-0.0193387 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,15),(5,18),-0.0204379 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,15),(5,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,15),(5,20),-0.0196615 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,18),(5,19),-0.0206099 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,18),(5,20),-0.00152732 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,19),(5,20),-0.0216082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,5),(5,4),0.108322 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,3),0.104056 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,2),0.104953 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,-1),-0.19873 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,5),(5,4),(5,3),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,4),(5,2),0.109354 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,4),(5,1),-0.144723 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,4),(5,-1),-0.145773 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,3),(5,2),0.109539 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,3),(5,1),-0.145181 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,3),(5,-1),-0.146994 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,2),(5,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,2),(5,-1),-0.148216 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,5),(5,1),(5,-1),-0.150309 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,6),(6,7),-0.0253797 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,8),-0.020134 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,9),-0.0613586 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,10),-0.003982 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,11),-0.00392519 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,12),-0.00561752 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,14),-0.0613586 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,15),-0.020134 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,18),-0.00392519 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,20),0.0153587 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,6),(6,7),(6,8),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,7),(6,9),-0.0194414 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,7),(6,10),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,7),(6,11),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,7),(6,12),-0.0229424 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,7),(6,14),-0.0194414 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,7),(6,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,7),(6,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,7),(6,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,7),(6,20),-0.0200984 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,8),(6,9),-0.019452 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,8),(6,10),-0.0204379 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,8),(6,11),-0.0204379 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,8),(6,12),-0.0205806 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,8),(6,14),-0.019452 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,8),(6,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,8),(6,18),-0.0204379 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,8),(6,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,8),(6,20),-0.0196615 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,9),(6,10),-0.0201066 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,9),(6,11),-0.0201052 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,9),(6,12),-0.0225203 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,9),(6,14),-0.0200982 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,9),(6,15),-0.021205 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,9),(6,18),-0.0201052 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,9),(6,19),-0.0197135 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,9),(6,20),-0.0402822 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,10),(6,11),-0.0195882 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,10),(6,12),-0.0200408 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,10),(6,14),-0.0196498 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,10),(6,15),-0.0244263 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,10),(6,18),-0.0195882 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,10),(6,19),-0.0206099 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,10),(6,20),-0.0011057 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,11),(6,12),-0.0200408 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,11),(6,14),-0.0196498 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,11),(6,15),-0.0244263 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,11),(6,18),-0.0195882 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,11),(6,19),-0.0206099 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,11),(6,20),-0.000887902 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,12),(6,14),-0.0195089 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,12),(6,15),-0.0204786 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,12),(6,18),-0.0206488 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,12),(6,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,12),(6,20),-0.0193387 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,14),(6,15),-0.021205 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,14),(6,18),-0.0201052 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,14),(6,19),-0.0197135 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,14),(6,20),-0.0402822 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,15),(6,18),-0.0204379 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,15),(6,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,15),(6,20),-0.0196615 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,18),(6,19),-0.0206099 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,18),(6,20),-0.000887902 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,19),(6,20),-0.0216082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,6),(6,3),0.104069 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,2),0.104953 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,-1),-0.197928 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,6),(6,3),(6,2),0.109539 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,3),(6,1),-0.145181 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,3),(6,-1),-0.146987 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,2),(6,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,2),(6,-1),-0.148216 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,6),(6,1),(6,-1),-0.150304 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,8),(8,20),-0.0329757 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,8),(8,8),(8,-1),-0.157199 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,10),(10,10),(10,11),-0.00161749 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,12),-0.00574193 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,13),-0.019634 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,14),-0.0613601 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,15),-0.020134 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,18),-0.00161749 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,20),0.0153581 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,10),(10,11),(10,12),-0.0200408 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,11),(10,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,11),(10,14),-0.0196498 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,11),(10,15),-0.0244263 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,11),(10,18),-0.0195882 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,11),(10,19),-0.0206099 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,11),(10,20),0.00172972 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,12),(10,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,12),(10,14),-0.0195089 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,12),(10,15),-0.0204786 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,12),(10,18),-0.0206488 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,12),(10,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,12),(10,20),-0.0194679 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,13),(10,14),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,13),(10,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,13),(10,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,13),(10,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,13),(10,20),-0.0196163 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,14),(10,15),-0.021205 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,14),(10,18),-0.0201052 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,14),(10,19),-0.0197135 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,14),(10,20),-0.0402884 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,15),(10,18),-0.0204379 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,15),(10,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,15),(10,20),-0.0196615 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,18),(10,19),-0.0206099 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,18),(10,20),0.00172972 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,19),(10,20),-0.0216096 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,10),(10,9),0.103522 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,8),0.109486 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,6),0.108282 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,5),0.108282 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,4),0.108282 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,3),0.103521 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,2),0.104952 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,-1),-0.199022 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,10),(10,9),(10,8),0.109517 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,9),(10,6),0.109472 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,9),(10,5),0.109472 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,9),(10,4),0.109472 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,9),(10,3),0.109454 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,9),(10,2),0.109539 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,9),(10,1),-0.145181 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,9),(10,-1),-0.147594 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,8),(10,6),0.109537 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,8),(10,5),0.109537 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,8),(10,4),0.109537 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,8),(10,3),0.109534 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,8),(10,2),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,8),(10,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,8),(10,-1),-0.145362 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,6),(10,5),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,6),(10,4),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,6),(10,3),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,6),(10,2),0.109354 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,6),(10,1),-0.144723 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,6),(10,-1),-0.145777 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,5),(10,4),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,5),(10,3),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,5),(10,2),0.109354 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,5),(10,1),-0.144723 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,5),(10,-1),-0.145777 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,4),(10,3),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,4),(10,2),0.109354 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,4),(10,1),-0.144723 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,4),(10,-1),-0.145777 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,3),(10,2),0.109539 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,3),(10,1),-0.145181 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,3),(10,-1),-0.147595 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,2),(10,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,2),(10,-1),-0.148216 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,10),(10,1),(10,-1),-0.152247 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,1),(1,2),0.115537 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,1),(1,3),-0.161202 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,1),(1,4),-0.148496 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,1),(1,8),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,1),(1,10),-0.148496 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,1),(1,20),-0.140428 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,1),(1,2),(1,3),-0.144702 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,2),(1,4),-0.144786 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,2),(1,8),-0.145875 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,2),(1,10),-0.144786 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,2),(1,20),-0.158115 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,3),(1,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,3),(1,8),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,3),(1,10),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,3),(1,20),-0.19194 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,1),(1,4),(1,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,4),(1,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,4),(1,20),-0.155356 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,8),(1,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,8),(1,20),-0.14741 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,10),(1,20),-0.155358 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,1),(1,-1),-0.331269 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,2),(2,3),-0.144963 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,4),-0.147027 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,5),-0.146359 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,6),-0.146359 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,8),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,10),-0.146359 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,20),-0.0329401 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,3),(2,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,5),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,8),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,10),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,20),-0.1531 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,4),(2,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
