# _root_ Burmah , which owns the Castrol brand of lubricant oils , reported a 17 % rise in net income to # 43.5 million ( $ 68.3 million ) in the first half .
#goldHeads=12,1,4,1,7,7,4,7,10,8,1,0,16,15,16,12,16,19,17,16,20,21,21,25,21,25,25,25,16,32,32,29,12,
#predictedHeads=12,1,4,1,7,7,4,7,10,8,1,0,16,15,16,12,16,19,17,16,20,21,21,25,21,25,25,25,16,32,32,29,12,
(12,13),(12,29),-0.136707 # DEPENDENCYPART_SIBL
(12,13),(12,32),-0.170004 # DEPENDENCYPART_SIBL
(12,13),(12,33),-0.169523 # DEPENDENCYPART_SIBL
(12,14),(12,15),-0.221774 # DEPENDENCYPART_SIBL
(12,14),(12,16),-0.17932 # DEPENDENCYPART_SIBL
(12,14),(12,17),-0.0601736 # DEPENDENCYPART_SIBL
(12,14),(12,18),-0.134188 # DEPENDENCYPART_SIBL
(12,14),(12,19),-0.237014 # DEPENDENCYPART_SIBL
(12,14),(12,20),-0.0565814 # DEPENDENCYPART_SIBL
(12,14),(12,21),-0.103112 # DEPENDENCYPART_SIBL
(12,14),(12,24),-0.0512407 # DEPENDENCYPART_SIBL
(12,14),(12,28),-0.0453043 # DEPENDENCYPART_SIBL
(12,14),(12,29),-0.0601736 # DEPENDENCYPART_SIBL
(12,14),(12,32),-0.197633 # DEPENDENCYPART_SIBL
(12,14),(12,33),-0.117862 # DEPENDENCYPART_SIBL
(12,15),(12,16),-0.108268 # DEPENDENCYPART_SIBL
(12,15),(12,17),-0.030495 # DEPENDENCYPART_SIBL
(12,15),(12,18),-0.148225 # DEPENDENCYPART_SIBL
(12,15),(12,19),-0.218761 # DEPENDENCYPART_SIBL
(12,15),(12,20),0.0465032 # DEPENDENCYPART_SIBL
(12,15),(12,21),-0.128425 # DEPENDENCYPART_SIBL
(12,15),(12,24),-0.053785 # DEPENDENCYPART_SIBL
(12,15),(12,28),-0.0659604 # DEPENDENCYPART_SIBL
(12,15),(12,29),-0.030495 # DEPENDENCYPART_SIBL
(12,15),(12,32),-0.143772 # DEPENDENCYPART_SIBL
(12,15),(12,33),-0.139649 # DEPENDENCYPART_SIBL
(12,16),(12,17),-0.153854 # DEPENDENCYPART_SIBL
(12,16),(12,18),-0.148689 # DEPENDENCYPART_SIBL
(12,16),(12,19),-0.365348 # DEPENDENCYPART_SIBL
(12,16),(12,20),-0.111953 # DEPENDENCYPART_SIBL
(12,16),(12,21),-0.162519 # DEPENDENCYPART_SIBL
(12,16),(12,24),-0.0920137 # DEPENDENCYPART_SIBL
(12,16),(12,28),-0.0846515 # DEPENDENCYPART_SIBL
(12,16),(12,29),-0.153854 # DEPENDENCYPART_SIBL
(12,16),(12,32),-0.289801 # DEPENDENCYPART_SIBL
(12,16),(12,33),-0.135735 # DEPENDENCYPART_SIBL
(12,17),(12,18),-0.106127 # DEPENDENCYPART_SIBL
(12,17),(12,19),-0.152236 # DEPENDENCYPART_SIBL
(12,17),(12,20),-0.203885 # DEPENDENCYPART_SIBL
(12,17),(12,21),-0.16288 # DEPENDENCYPART_SIBL
(12,17),(12,24),-0.0316967 # DEPENDENCYPART_SIBL
(12,17),(12,28),-0.0745412 # DEPENDENCYPART_SIBL
(12,17),(12,29),-0.25153 # DEPENDENCYPART_SIBL
(12,17),(12,32),-0.0849252 # DEPENDENCYPART_SIBL
(12,17),(12,33),-0.172808 # DEPENDENCYPART_SIBL
(12,18),(12,19),-0.217354 # DEPENDENCYPART_SIBL
(12,18),(12,20),-0.154797 # DEPENDENCYPART_SIBL
(12,18),(12,21),-0.166729 # DEPENDENCYPART_SIBL
(12,18),(12,24),-0.0903871 # DEPENDENCYPART_SIBL
(12,18),(12,28),-0.170798 # DEPENDENCYPART_SIBL
(12,18),(12,29),-0.0416275 # DEPENDENCYPART_SIBL
(12,18),(12,32),-0.187433 # DEPENDENCYPART_SIBL
(12,18),(12,33),-0.114368 # DEPENDENCYPART_SIBL
(12,19),(12,20),-0.0932478 # DEPENDENCYPART_SIBL
(12,19),(12,21),-0.132757 # DEPENDENCYPART_SIBL
(12,19),(12,24),-0.0623188 # DEPENDENCYPART_SIBL
(12,19),(12,28),-0.05583 # DEPENDENCYPART_SIBL
(12,19),(12,29),-0.135122 # DEPENDENCYPART_SIBL
(12,19),(12,32),-0.245925 # DEPENDENCYPART_SIBL
(12,19),(12,33),-0.108306 # DEPENDENCYPART_SIBL
(12,20),(12,21),-0.221699 # DEPENDENCYPART_SIBL
(12,20),(12,24),-0.0921591 # DEPENDENCYPART_SIBL
(12,20),(12,28),-0.038433 # DEPENDENCYPART_SIBL
(12,20),(12,29),-0.055703 # DEPENDENCYPART_SIBL
(12,20),(12,32),-0.12193 # DEPENDENCYPART_SIBL
(12,20),(12,33),-0.0917594 # DEPENDENCYPART_SIBL
(12,21),(12,24),-0.0280755 # DEPENDENCYPART_SIBL
(12,21),(12,28),-0.0389293 # DEPENDENCYPART_SIBL
(12,21),(12,29),-0.0478893 # DEPENDENCYPART_SIBL
(12,21),(12,32),-0.127119 # DEPENDENCYPART_SIBL
(12,21),(12,33),-0.0448047 # DEPENDENCYPART_SIBL
(12,24),(12,28),0.117108 # DEPENDENCYPART_SIBL
(12,24),(12,29),-0.0441942 # DEPENDENCYPART_SIBL
(12,24),(12,32),-0.121473 # DEPENDENCYPART_SIBL
(12,24),(12,33),-0.0551453 # DEPENDENCYPART_SIBL
(12,28),(12,29),-0.167498 # DEPENDENCYPART_SIBL
(12,28),(12,32),-0.225069 # DEPENDENCYPART_SIBL
(12,28),(12,33),-0.268084 # DEPENDENCYPART_SIBL
(12,29),(12,32),-0.0849252 # DEPENDENCYPART_SIBL
(12,29),(12,33),-0.172808 # DEPENDENCYPART_SIBL
(12,32),(12,33),-0.118061 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.00214547 # DEPENDENCYPART_SIBL
(14,8),(14,11),0.167699 # DEPENDENCYPART_SIBL
(14,8),(14,13),-0.0114302 # DEPENDENCYPART_SIBL
(14,8),(14,15),0.0130236 # DEPENDENCYPART_SIBL
(14,8),(14,16),-0.0294577 # DEPENDENCYPART_SIBL
(14,8),(14,19),-0.019083 # DEPENDENCYPART_SIBL
(14,11),(14,13),0.162153 # DEPENDENCYPART_SIBL
(14,11),(14,15),0.0149605 # DEPENDENCYPART_SIBL
(14,11),(14,16),-0.0493291 # DEPENDENCYPART_SIBL
(14,11),(14,19),-0.0557658 # DEPENDENCYPART_SIBL
(14,13),(14,15),-0.0259824 # DEPENDENCYPART_SIBL
(14,13),(14,16),-0.0304044 # DEPENDENCYPART_SIBL
(14,13),(14,19),-0.0117539 # DEPENDENCYPART_SIBL
(14,15),(14,16),0.0327242 # DEPENDENCYPART_SIBL
(14,15),(14,19),0.00349434 # DEPENDENCYPART_SIBL
(14,16),(14,19),-0.0866675 # DEPENDENCYPART_SIBL
(15,13),(15,14),-0.103157 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.161714 # DEPENDENCYPART_SIBL
(15,13),(15,17),-0.0472206 # DEPENDENCYPART_SIBL
(15,13),(15,19),-0.0991292 # DEPENDENCYPART_SIBL
(15,14),(15,16),-0.125856 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.00579228 # DEPENDENCYPART_SIBL
(15,14),(15,19),-0.074594 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.0625454 # DEPENDENCYPART_SIBL
(15,16),(15,19),-0.0844757 # DEPENDENCYPART_SIBL
(15,17),(15,19),0.321953 # DEPENDENCYPART_SIBL
(16,7),(16,8),0.0593508 # DEPENDENCYPART_SIBL
(16,7),(16,9),-0.0081231 # DEPENDENCYPART_SIBL
(16,7),(16,10),0.0225177 # DEPENDENCYPART_SIBL
(16,7),(16,11),0.168994 # DEPENDENCYPART_SIBL
(16,7),(16,13),-0.321635 # DEPENDENCYPART_SIBL
(16,7),(16,14),0.0271821 # DEPENDENCYPART_SIBL
(16,7),(16,15),-0.0441992 # DEPENDENCYPART_SIBL
(16,7),(16,17),0.0438368 # DEPENDENCYPART_SIBL
(16,7),(16,18),-0.0325159 # DEPENDENCYPART_SIBL
(16,7),(16,19),0.0734523 # DEPENDENCYPART_SIBL
(16,7),(16,20),-0.0830696 # DEPENDENCYPART_SIBL
(16,7),(16,21),0.00444642 # DEPENDENCYPART_SIBL
(16,7),(16,22),-0.0247466 # DEPENDENCYPART_SIBL
(16,7),(16,23),-0.0331044 # DEPENDENCYPART_SIBL
(16,7),(16,25),-0.051814 # DEPENDENCYPART_SIBL
(16,7),(16,28),0.0525534 # DEPENDENCYPART_SIBL
(16,7),(16,29),0.0438368 # DEPENDENCYPART_SIBL
(16,7),(16,32),0.0448258 # DEPENDENCYPART_SIBL
(16,7),(16,33),-0.00327141 # DEPENDENCYPART_SIBL
(16,8),(16,9),-0.123521 # DEPENDENCYPART_SIBL
(16,8),(16,10),-0.0776399 # DEPENDENCYPART_SIBL
(16,8),(16,11),0.0427754 # DEPENDENCYPART_SIBL
(16,8),(16,13),0.0156163 # DEPENDENCYPART_SIBL
(16,8),(16,14),-0.102605 # DEPENDENCYPART_SIBL
(16,8),(16,15),-0.0964418 # DEPENDENCYPART_SIBL
(16,8),(16,17),-0.0965345 # DEPENDENCYPART_SIBL
(16,8),(16,18),-0.0771807 # DEPENDENCYPART_SIBL
(16,8),(16,19),-0.04131 # DEPENDENCYPART_SIBL
(16,8),(16,20),-0.147802 # DEPENDENCYPART_SIBL
(16,8),(16,21),-0.0595224 # DEPENDENCYPART_SIBL
(16,8),(16,22),-0.0152169 # DEPENDENCYPART_SIBL
(16,8),(16,23),-0.00647021 # DEPENDENCYPART_SIBL
(16,8),(16,25),-0.0634708 # DEPENDENCYPART_SIBL
(16,8),(16,28),0.0374933 # DEPENDENCYPART_SIBL
(16,8),(16,29),-0.0965345 # DEPENDENCYPART_SIBL
(16,8),(16,32),-0.0581018 # DEPENDENCYPART_SIBL
(16,8),(16,33),-0.0178545 # DEPENDENCYPART_SIBL
(16,9),(16,10),0.0873621 # DEPENDENCYPART_SIBL
(16,9),(16,11),0.267399 # DEPENDENCYPART_SIBL
(16,9),(16,13),-0.198494 # DEPENDENCYPART_SIBL
(16,9),(16,14),-0.0819396 # DEPENDENCYPART_SIBL
(16,9),(16,15),0.155529 # DEPENDENCYPART_SIBL
(16,9),(16,17),0.0690523 # DEPENDENCYPART_SIBL
(16,9),(16,18),-0.0231642 # DEPENDENCYPART_SIBL
(16,9),(16,19),0.140876 # DEPENDENCYPART_SIBL
(16,9),(16,20),0.0326177 # DEPENDENCYPART_SIBL
(16,9),(16,21),0.0216746 # DEPENDENCYPART_SIBL
(16,9),(16,22),-0.0091768 # DEPENDENCYPART_SIBL
(16,9),(16,23),-0.0519584 # DEPENDENCYPART_SIBL
(16,9),(16,25),0.0455661 # DEPENDENCYPART_SIBL
(16,9),(16,28),0.0155599 # DEPENDENCYPART_SIBL
(16,9),(16,29),0.0690523 # DEPENDENCYPART_SIBL
(16,9),(16,32),0.112401 # DEPENDENCYPART_SIBL
(16,9),(16,33),0.0174603 # DEPENDENCYPART_SIBL
(16,10),(16,11),0.111454 # DEPENDENCYPART_SIBL
(16,10),(16,13),-0.288933 # DEPENDENCYPART_SIBL
(16,10),(16,14),-0.0828119 # DEPENDENCYPART_SIBL
(16,10),(16,15),-0.0575368 # DEPENDENCYPART_SIBL
(16,10),(16,17),0.0154344 # DEPENDENCYPART_SIBL
(16,10),(16,18),-0.0357408 # DEPENDENCYPART_SIBL
(16,10),(16,19),0.00629385 # DEPENDENCYPART_SIBL
(16,10),(16,20),-0.0425307 # DEPENDENCYPART_SIBL
(16,10),(16,21),-0.0333608 # DEPENDENCYPART_SIBL
(16,10),(16,22),-0.0469853 # DEPENDENCYPART_SIBL
(16,10),(16,23),-0.0551827 # DEPENDENCYPART_SIBL
(16,10),(16,25),-0.0670269 # DEPENDENCYPART_SIBL
(16,10),(16,28),0.048118 # DEPENDENCYPART_SIBL
(16,10),(16,29),0.0154344 # DEPENDENCYPART_SIBL
(16,10),(16,32),-0.00266861 # DEPENDENCYPART_SIBL
(16,10),(16,33),0.0871468 # DEPENDENCYPART_SIBL
(16,11),(16,13),-0.00891294 # DEPENDENCYPART_SIBL
(16,11),(16,14),0.0221396 # DEPENDENCYPART_SIBL
(16,11),(16,15),0.139664 # DEPENDENCYPART_SIBL
(16,11),(16,17),0.0376753 # DEPENDENCYPART_SIBL
(16,11),(16,18),-0.0153316 # DEPENDENCYPART_SIBL
(16,11),(16,19),-0.000360227 # DEPENDENCYPART_SIBL
(16,11),(16,20),-0.0166107 # DEPENDENCYPART_SIBL
(16,11),(16,21),-0.0509526 # DEPENDENCYPART_SIBL
(16,11),(16,22),-0.0696153 # DEPENDENCYPART_SIBL
(16,11),(16,23),-0.0752387 # DEPENDENCYPART_SIBL
(16,11),(16,25),-0.064256 # DEPENDENCYPART_SIBL
(16,11),(16,28),0.119731 # DEPENDENCYPART_SIBL
(16,11),(16,29),0.0376753 # DEPENDENCYPART_SIBL
(16,11),(16,32),-0.00671882 # DEPENDENCYPART_SIBL
(16,11),(16,33),0.0409807 # DEPENDENCYPART_SIBL
(16,13),(16,14),0.0595212 # DEPENDENCYPART_SIBL
(16,13),(16,15),0.324815 # DEPENDENCYPART_SIBL
(16,13),(16,17),0.390151 # DEPENDENCYPART_SIBL
(16,13),(16,18),0.228816 # DEPENDENCYPART_SIBL
(16,13),(16,19),0.179145 # DEPENDENCYPART_SIBL
(16,13),(16,20),0.323666 # DEPENDENCYPART_SIBL
(16,13),(16,21),0.21198 # DEPENDENCYPART_SIBL
(16,13),(16,22),0.212191 # DEPENDENCYPART_SIBL
(16,13),(16,23),0.267232 # DEPENDENCYPART_SIBL
(16,13),(16,25),0.127125 # DEPENDENCYPART_SIBL
(16,13),(16,28),0.184362 # DEPENDENCYPART_SIBL
(16,13),(16,29),0.390151 # DEPENDENCYPART_SIBL
(16,13),(16,32),0.286559 # DEPENDENCYPART_SIBL
(16,13),(16,33),0.11005 # DEPENDENCYPART_SIBL
(16,14),(16,15),0.0200488 # DEPENDENCYPART_SIBL
(16,14),(16,17),0.124207 # DEPENDENCYPART_SIBL
(16,14),(16,18),0.0175083 # DEPENDENCYPART_SIBL
(16,14),(16,19),0.0208144 # DEPENDENCYPART_SIBL
(16,14),(16,20),0.0180962 # DEPENDENCYPART_SIBL
(16,14),(16,21),-0.0044633 # DEPENDENCYPART_SIBL
(16,14),(16,22),-0.0245853 # DEPENDENCYPART_SIBL
(16,14),(16,23),-0.0406608 # DEPENDENCYPART_SIBL
(16,14),(16,25),0.0717608 # DEPENDENCYPART_SIBL
(16,14),(16,28),0.0363792 # DEPENDENCYPART_SIBL
(16,14),(16,29),0.124207 # DEPENDENCYPART_SIBL
(16,14),(16,32),0.0184055 # DEPENDENCYPART_SIBL
(16,14),(16,33),0.00241414 # DEPENDENCYPART_SIBL
(16,15),(16,17),0.260948 # DEPENDENCYPART_SIBL
(16,15),(16,18),0.0114522 # DEPENDENCYPART_SIBL
(16,15),(16,19),0.128452 # DEPENDENCYPART_SIBL
(16,15),(16,20),0.0186028 # DEPENDENCYPART_SIBL
(16,15),(16,21),0.0620681 # DEPENDENCYPART_SIBL
(16,15),(16,22),0.0119093 # DEPENDENCYPART_SIBL
(16,15),(16,23),4.31296e-05 # DEPENDENCYPART_SIBL
(16,15),(16,25),0.00542867 # DEPENDENCYPART_SIBL
(16,15),(16,28),0.12463 # DEPENDENCYPART_SIBL
(16,15),(16,29),0.260948 # DEPENDENCYPART_SIBL
(16,15),(16,32),0.110809 # DEPENDENCYPART_SIBL
(16,15),(16,33),0.0167555 # DEPENDENCYPART_SIBL
(16,17),(16,18),0.106553 # DEPENDENCYPART_SIBL
(16,17),(16,19),0.258435 # DEPENDENCYPART_SIBL
(16,17),(16,20),0.24485 # DEPENDENCYPART_SIBL
(16,17),(16,21),0.0647755 # DEPENDENCYPART_SIBL
(16,17),(16,22),0.126996 # DEPENDENCYPART_SIBL
(16,17),(16,23),0.132876 # DEPENDENCYPART_SIBL
(16,17),(16,25),0.0178379 # DEPENDENCYPART_SIBL
(16,17),(16,28),0.104438 # DEPENDENCYPART_SIBL
(16,17),(16,29),-0.0565919 # DEPENDENCYPART_SIBL
(16,17),(16,32),0.250478 # DEPENDENCYPART_SIBL
(16,17),(16,33),0.0696217 # DEPENDENCYPART_SIBL
(16,18),(16,19),0.0383634 # DEPENDENCYPART_SIBL
(16,18),(16,20),0.102489 # DEPENDENCYPART_SIBL
(16,18),(16,21),-0.0173432 # DEPENDENCYPART_SIBL
(16,18),(16,22),-0.0207242 # DEPENDENCYPART_SIBL
(16,18),(16,23),-0.0291176 # DEPENDENCYPART_SIBL
(16,18),(16,25),-0.0447073 # DEPENDENCYPART_SIBL
(16,18),(16,28),-0.000909496 # DEPENDENCYPART_SIBL
(16,18),(16,29),0.110126 # DEPENDENCYPART_SIBL
(16,18),(16,32),-0.00908097 # DEPENDENCYPART_SIBL
(16,18),(16,33),-0.0099722 # DEPENDENCYPART_SIBL
(16,19),(16,20),0.0849102 # DEPENDENCYPART_SIBL
(16,19),(16,21),-0.0514613 # DEPENDENCYPART_SIBL
(16,19),(16,22),-0.0421244 # DEPENDENCYPART_SIBL
(16,19),(16,23),-0.0562525 # DEPENDENCYPART_SIBL
(16,19),(16,25),-0.0313819 # DEPENDENCYPART_SIBL
(16,19),(16,28),0.0393045 # DEPENDENCYPART_SIBL
(16,19),(16,29),-0.0709392 # DEPENDENCYPART_SIBL
(16,19),(16,32),-0.0933741 # DEPENDENCYPART_SIBL
(16,19),(16,33),-0.0175311 # DEPENDENCYPART_SIBL
(16,20),(16,21),-0.0469626 # DEPENDENCYPART_SIBL
(16,20),(16,22),0.277781 # DEPENDENCYPART_SIBL
(16,20),(16,23),0.35339 # DEPENDENCYPART_SIBL
(16,20),(16,25),-0.010137 # DEPENDENCYPART_SIBL
(16,20),(16,28),0.160283 # DEPENDENCYPART_SIBL
(16,20),(16,29),0.20095 # DEPENDENCYPART_SIBL
(16,20),(16,32),0.0884915 # DEPENDENCYPART_SIBL
(16,20),(16,33),-0.000245944 # DEPENDENCYPART_SIBL
(16,21),(16,22),0.000290821 # DEPENDENCYPART_SIBL
(16,21),(16,23),-0.0133985 # DEPENDENCYPART_SIBL
(16,21),(16,25),0.00274047 # DEPENDENCYPART_SIBL
(16,21),(16,28),0.0233008 # DEPENDENCYPART_SIBL
(16,21),(16,29),-0.040237 # DEPENDENCYPART_SIBL
(16,21),(16,32),0.0212674 # DEPENDENCYPART_SIBL
(16,21),(16,33),-0.0465169 # DEPENDENCYPART_SIBL
(16,22),(16,23),0.0861747 # DEPENDENCYPART_SIBL
(16,22),(16,25),0.0226546 # DEPENDENCYPART_SIBL
(16,22),(16,28),0.0519792 # DEPENDENCYPART_SIBL
(16,22),(16,29),-0.0147301 # DEPENDENCYPART_SIBL
(16,22),(16,32),-0.0024218 # DEPENDENCYPART_SIBL
(16,22),(16,33),-0.0630966 # DEPENDENCYPART_SIBL
(16,23),(16,25),0.0211611 # DEPENDENCYPART_SIBL
(16,23),(16,28),0.0447329 # DEPENDENCYPART_SIBL
(16,23),(16,29),0.0716154 # DEPENDENCYPART_SIBL
(16,23),(16,32),-0.0290728 # DEPENDENCYPART_SIBL
(16,23),(16,33),-0.0624728 # DEPENDENCYPART_SIBL
(16,25),(16,28),0.187459 # DEPENDENCYPART_SIBL
(16,25),(16,29),0.16915 # DEPENDENCYPART_SIBL
(16,25),(16,32),0.0874338 # DEPENDENCYPART_SIBL
(16,25),(16,33),0.0517483 # DEPENDENCYPART_SIBL
(16,28),(16,29),-0.0944074 # DEPENDENCYPART_SIBL
(16,28),(16,32),0.00241769 # DEPENDENCYPART_SIBL
(16,28),(16,33),-0.0493128 # DEPENDENCYPART_SIBL
(16,29),(16,32),0.250478 # DEPENDENCYPART_SIBL
(16,29),(16,33),0.0696217 # DEPENDENCYPART_SIBL
(16,32),(16,33),-0.0343863 # DEPENDENCYPART_SIBL
(17,16),(17,18),-0.052275 # DEPENDENCYPART_SIBL
(17,16),(17,19),0.0133277 # DEPENDENCYPART_SIBL
(17,16),(17,20),-0.0829069 # DEPENDENCYPART_SIBL
(17,16),(17,21),-0.0533116 # DEPENDENCYPART_SIBL
(17,16),(17,22),-0.0579531 # DEPENDENCYPART_SIBL
(17,16),(17,23),-0.0758946 # DEPENDENCYPART_SIBL
(17,16),(17,25),-0.0773287 # DEPENDENCYPART_SIBL
(17,18),(17,19),-0.602354 # DEPENDENCYPART_SIBL
(17,18),(17,20),-0.201748 # DEPENDENCYPART_SIBL
(17,18),(17,21),-0.179462 # DEPENDENCYPART_SIBL
(17,18),(17,22),-0.349891 # DEPENDENCYPART_SIBL
(17,18),(17,23),-0.358241 # DEPENDENCYPART_SIBL
(17,18),(17,25),-0.342823 # DEPENDENCYPART_SIBL
(17,19),(17,20),-0.141886 # DEPENDENCYPART_SIBL
(17,19),(17,21),-0.268825 # DEPENDENCYPART_SIBL
(17,19),(17,22),-0.458565 # DEPENDENCYPART_SIBL
(17,19),(17,23),-0.472795 # DEPENDENCYPART_SIBL
(17,19),(17,25),-0.418676 # DEPENDENCYPART_SIBL
(17,20),(17,21),-0.090039 # DEPENDENCYPART_SIBL
(17,20),(17,22),-0.0177749 # DEPENDENCYPART_SIBL
(17,20),(17,23),0.0542086 # DEPENDENCYPART_SIBL
(17,20),(17,25),-0.173906 # DEPENDENCYPART_SIBL
(17,21),(17,22),-0.232041 # DEPENDENCYPART_SIBL
(17,21),(17,23),-0.245689 # DEPENDENCYPART_SIBL
(17,21),(17,25),-0.205142 # DEPENDENCYPART_SIBL
(17,22),(17,23),-0.399752 # DEPENDENCYPART_SIBL
(17,22),(17,25),-0.406209 # DEPENDENCYPART_SIBL
(17,23),(17,25),-0.373188 # DEPENDENCYPART_SIBL
(19,13),(19,14),0.040096 # DEPENDENCYPART_SIBL
(19,13),(19,15),0.226508 # DEPENDENCYPART_SIBL
(19,13),(19,16),0.17083 # DEPENDENCYPART_SIBL
(19,13),(19,17),-0.0482311 # DEPENDENCYPART_SIBL
(19,13),(19,18),0.194977 # DEPENDENCYPART_SIBL
(19,13),(19,20),0.111121 # DEPENDENCYPART_SIBL
(19,13),(19,21),0.0674504 # DEPENDENCYPART_SIBL
(19,13),(19,22),0.0692425 # DEPENDENCYPART_SIBL
(19,13),(19,23),0.124282 # DEPENDENCYPART_SIBL
(19,13),(19,25),-0.0119834 # DEPENDENCYPART_SIBL
(19,13),(19,28),0.0161103 # DEPENDENCYPART_SIBL
(19,13),(19,29),0.0475416 # DEPENDENCYPART_SIBL
(19,13),(19,32),0.131887 # DEPENDENCYPART_SIBL
(19,14),(19,15),-0.023015 # DEPENDENCYPART_SIBL
(19,14),(19,16),0.189316 # DEPENDENCYPART_SIBL
(19,14),(19,17),0.0152158 # DEPENDENCYPART_SIBL
(19,14),(19,18),0.322032 # DEPENDENCYPART_SIBL
(19,14),(19,20),-0.0524192 # DEPENDENCYPART_SIBL
(19,14),(19,21),0.00414654 # DEPENDENCYPART_SIBL
(19,14),(19,22),-0.0152035 # DEPENDENCYPART_SIBL
(19,14),(19,23),-0.0312787 # DEPENDENCYPART_SIBL
(19,14),(19,25),0.086095 # DEPENDENCYPART_SIBL
(19,14),(19,28),0.0277142 # DEPENDENCYPART_SIBL
(19,14),(19,29),0.0777931 # DEPENDENCYPART_SIBL
(19,14),(19,32),0.0224777 # DEPENDENCYPART_SIBL
(19,15),(19,16),-0.0455486 # DEPENDENCYPART_SIBL
(19,15),(19,17),0.0416947 # DEPENDENCYPART_SIBL
(19,15),(19,18),0.260264 # DEPENDENCYPART_SIBL
(19,15),(19,20),-0.127634 # DEPENDENCYPART_SIBL
(19,15),(19,21),-0.018567 # DEPENDENCYPART_SIBL
(19,15),(19,22),-0.0679562 # DEPENDENCYPART_SIBL
(19,15),(19,23),-0.0798255 # DEPENDENCYPART_SIBL
(19,15),(19,25),-0.0680178 # DEPENDENCYPART_SIBL
(19,15),(19,28),0.0229888 # DEPENDENCYPART_SIBL
(19,15),(19,29),0.116695 # DEPENDENCYPART_SIBL
(19,15),(19,32),0.0383298 # DEPENDENCYPART_SIBL
(19,16),(19,17),-0.00765501 # DEPENDENCYPART_SIBL
(19,16),(19,18),0.165805 # DEPENDENCYPART_SIBL
(19,16),(19,20),-0.203275 # DEPENDENCYPART_SIBL
(19,16),(19,21),-0.0306346 # DEPENDENCYPART_SIBL
(19,16),(19,22),-0.0591229 # DEPENDENCYPART_SIBL
(19,16),(19,23),-0.0675056 # DEPENDENCYPART_SIBL
(19,16),(19,25),-0.0800792 # DEPENDENCYPART_SIBL
(19,16),(19,28),-0.00381408 # DEPENDENCYPART_SIBL
(19,16),(19,29),-0.0686766 # DEPENDENCYPART_SIBL
(19,16),(19,32),0.00369117 # DEPENDENCYPART_SIBL
(19,17),(19,18),0.0561195 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.111147 # DEPENDENCYPART_SIBL
(19,17),(19,21),-0.0360528 # DEPENDENCYPART_SIBL
(19,17),(19,22),0.0152351 # DEPENDENCYPART_SIBL
(19,17),(19,23),0.0310406 # DEPENDENCYPART_SIBL
(19,17),(19,25),-0.012736 # DEPENDENCYPART_SIBL
(19,17),(19,28),0.139137 # DEPENDENCYPART_SIBL
(19,17),(19,29),-0.103571 # DEPENDENCYPART_SIBL
(19,17),(19,32),0.0119528 # DEPENDENCYPART_SIBL
(19,18),(19,20),-0.0702385 # DEPENDENCYPART_SIBL
(19,18),(19,21),0.0792051 # DEPENDENCYPART_SIBL
(19,18),(19,22),0.042644 # DEPENDENCYPART_SIBL
(19,18),(19,23),-0.0009738 # DEPENDENCYPART_SIBL
(19,18),(19,25),0.162195 # DEPENDENCYPART_SIBL
(19,18),(19,28),0.064186 # DEPENDENCYPART_SIBL
(19,18),(19,29),0.137423 # DEPENDENCYPART_SIBL
(19,18),(19,32),0.169157 # DEPENDENCYPART_SIBL
(19,20),(19,21),-0.0408159 # DEPENDENCYPART_SIBL
(19,20),(19,22),0.274063 # DEPENDENCYPART_SIBL
(19,20),(19,23),0.340572 # DEPENDENCYPART_SIBL
(19,20),(19,25),0.0144422 # DEPENDENCYPART_SIBL
(19,20),(19,28),0.152855 # DEPENDENCYPART_SIBL
(19,20),(19,29),0.192053 # DEPENDENCYPART_SIBL
(19,20),(19,32),0.107921 # DEPENDENCYPART_SIBL
(19,21),(19,22),-0.00960395 # DEPENDENCYPART_SIBL
(19,21),(19,23),-0.0323973 # DEPENDENCYPART_SIBL
(19,21),(19,25),0.0173781 # DEPENDENCYPART_SIBL
(19,21),(19,28),0.00972565 # DEPENDENCYPART_SIBL
(19,21),(19,29),-0.0128326 # DEPENDENCYPART_SIBL
(19,21),(19,32),0.0289525 # DEPENDENCYPART_SIBL
(19,22),(19,23),0.0707158 # DEPENDENCYPART_SIBL
(19,22),(19,25),0.0407634 # DEPENDENCYPART_SIBL
(19,22),(19,28),0.0419471 # DEPENDENCYPART_SIBL
(19,22),(19,29),0.0161639 # DEPENDENCYPART_SIBL
(19,22),(19,32),0.00966755 # DEPENDENCYPART_SIBL
(19,23),(19,25),0.039229 # DEPENDENCYPART_SIBL
(19,23),(19,28),0.0346684 # DEPENDENCYPART_SIBL
(19,23),(19,29),0.102469 # DEPENDENCYPART_SIBL
(19,23),(19,32),-0.0170239 # DEPENDENCYPART_SIBL
(19,25),(19,28),0.149455 # DEPENDENCYPART_SIBL
(19,25),(19,29),0.181247 # DEPENDENCYPART_SIBL
(19,25),(19,32),0.071783 # DEPENDENCYPART_SIBL
(19,28),(19,29),-0.0670331 # DEPENDENCYPART_SIBL
(19,28),(19,32),0.0100835 # DEPENDENCYPART_SIBL
