# _root_ `` All this may not be obvious to the public , which is concerned about advances in treatment , but I am convinced this basic research will begin showing results there soon . ''
#goldHeads=20,3,4,20,4,4,6,7,10,8,10,13,10,13,14,15,16,17,20,0,22,20,22,26,26,27,23,27,28,29,29,29,20,20,
#predictedHeads=20,3,4,20,4,4,6,7,10,8,10,13,10,13,14,15,16,17,20,0,22,20,22,26,26,27,23,27,28,29,29,31,20,20,
(23,30),(30,32),0.312148 # DEPENDENCYPART_GRANDPAR
(23,31),(31,26),0.651074 # DEPENDENCYPART_GRANDPAR
(23,31),(31,29),0.0246778 # DEPENDENCYPART_GRANDPAR
(23,31),(31,30),0.348287 # DEPENDENCYPART_GRANDPAR
(23,31),(31,32),0.381281 # DEPENDENCYPART_GRANDPAR
(23,31),(31,34),0.151961 # DEPENDENCYPART_GRANDPAR
(23,32),(32,26),0.647339 # DEPENDENCYPART_GRANDPAR
(23,32),(32,29),0.012866 # DEPENDENCYPART_GRANDPAR
(23,32),(32,30),0.344552 # DEPENDENCYPART_GRANDPAR
(23,32),(32,31),0.0165501 # DEPENDENCYPART_GRANDPAR
(23,32),(32,34),0.159085 # DEPENDENCYPART_GRANDPAR
(24,25),(25,21),-0.316391 # DEPENDENCYPART_GRANDPAR
(24,25),(25,24),-0.826961 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(24,25),(25,27),0.146647 # DEPENDENCYPART_GRANDPAR
(24,25),(25,28),0.186433 # DEPENDENCYPART_GRANDPAR
(24,25),(25,29),0.133053 # DEPENDENCYPART_GRANDPAR
(24,25),(25,30),-0.0474235 # DEPENDENCYPART_GRANDPAR
(24,28),(28,21),-0.336393 # DEPENDENCYPART_GRANDPAR
(24,28),(28,24),-0.821425 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(24,28),(28,25),0.29511 # DEPENDENCYPART_GRANDPAR
(24,28),(28,26),0.209138 # DEPENDENCYPART_GRANDPAR
(24,28),(28,29),0.0719353 # DEPENDENCYPART_GRANDPAR
(24,28),(28,30),-0.0933841 # DEPENDENCYPART_GRANDPAR
(24,28),(28,31),0.218669 # DEPENDENCYPART_GRANDPAR
(24,28),(28,32),0.132041 # DEPENDENCYPART_GRANDPAR
(24,28),(28,33),-0.218049 # DEPENDENCYPART_GRANDPAR
(24,28),(28,34),-0.0278038 # DEPENDENCYPART_GRANDPAR
(24,29),(29,24),-0.82141 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(24,29),(29,26),0.202881 # DEPENDENCYPART_GRANDPAR
(24,29),(29,30),-0.0863192 # DEPENDENCYPART_GRANDPAR
(24,29),(29,31),0.218449 # DEPENDENCYPART_GRANDPAR
(24,29),(29,32),0.129563 # DEPENDENCYPART_GRANDPAR
(24,29),(29,33),-0.221832 # DEPENDENCYPART_GRANDPAR
(24,29),(29,34),-0.0278038 # DEPENDENCYPART_GRANDPAR
(25,21),(21,26),-0.191686 # DEPENDENCYPART_GRANDPAR
(25,24),(24,25),-1.57888 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(25,24),(24,28),-0.454603 # DEPENDENCYPART_GRANDPAR
(25,24),(24,29),-0.450923 # DEPENDENCYPART_GRANDPAR
(25,27),(27,1),-1.13559 # DEPENDENCYPART_GRANDPAR
(25,27),(27,4),-1.05632 # DEPENDENCYPART_GRANDPAR
(25,27),(27,5),-0.861089 # DEPENDENCYPART_GRANDPAR
(25,27),(27,7),-0.866052 # DEPENDENCYPART_GRANDPAR
(25,27),(27,10),-1.41938 # DEPENDENCYPART_GRANDPAR
(25,27),(27,11),-1.1886 # DEPENDENCYPART_GRANDPAR
(25,27),(27,13),-1.08884 # DEPENDENCYPART_GRANDPAR
(25,27),(27,14),-1.01478 # DEPENDENCYPART_GRANDPAR
(25,27),(27,15),-0.739647 # DEPENDENCYPART_GRANDPAR
(25,27),(27,16),-1.15799 # DEPENDENCYPART_GRANDPAR
(25,27),(27,17),-0.732868 # DEPENDENCYPART_GRANDPAR
(25,27),(27,18),-1.10239 # DEPENDENCYPART_GRANDPAR
(25,27),(27,19),-0.941263 # DEPENDENCYPART_GRANDPAR
(25,27),(27,20),-0.852956 # DEPENDENCYPART_GRANDPAR
(25,27),(27,21),-0.615083 # DEPENDENCYPART_GRANDPAR
(25,27),(27,22),-0.877745 # DEPENDENCYPART_GRANDPAR
(25,27),(27,23),-0.911795 # DEPENDENCYPART_GRANDPAR
(25,27),(27,24),-0.578959 # DEPENDENCYPART_GRANDPAR
(25,27),(27,25),-1.15523 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(25,27),(27,26),0.308571 # DEPENDENCYPART_GRANDPAR
(25,27),(27,28),0.0627982 # DEPENDENCYPART_GRANDPAR
(25,27),(27,30),-0.363448 # DEPENDENCYPART_GRANDPAR
(25,27),(27,31),-0.14902 # DEPENDENCYPART_GRANDPAR
(25,27),(27,32),-0.05544 # DEPENDENCYPART_GRANDPAR
(25,27),(27,33),-0.347003 # DEPENDENCYPART_GRANDPAR
(25,27),(27,34),-0.0612142 # DEPENDENCYPART_GRANDPAR
(25,28),(28,21),-0.615354 # DEPENDENCYPART_GRANDPAR
(25,28),(28,24),-0.562121 # DEPENDENCYPART_GRANDPAR
(25,28),(28,25),-1.19563 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(25,28),(28,26),0.245923 # DEPENDENCYPART_GRANDPAR
(25,28),(28,29),-0.0461144 # DEPENDENCYPART_GRANDPAR
(25,28),(28,30),-0.401537 # DEPENDENCYPART_GRANDPAR
(25,28),(28,31),-0.170123 # DEPENDENCYPART_GRANDPAR
(25,28),(28,32),-0.0964247 # DEPENDENCYPART_GRANDPAR
(25,28),(28,33),-0.443935 # DEPENDENCYPART_GRANDPAR
(25,28),(28,34),-0.0613501 # DEPENDENCYPART_GRANDPAR
(25,29),(29,24),-0.562122 # DEPENDENCYPART_GRANDPAR
(25,29),(29,26),0.241281 # DEPENDENCYPART_GRANDPAR
(25,29),(29,30),-0.377753 # DEPENDENCYPART_GRANDPAR
(25,29),(29,31),-0.152371 # DEPENDENCYPART_GRANDPAR
(25,29),(29,32),-0.0809305 # DEPENDENCYPART_GRANDPAR
(25,29),(29,33),-0.433692 # DEPENDENCYPART_GRANDPAR
(25,29),(29,34),-0.0473235 # DEPENDENCYPART_GRANDPAR
(25,30),(30,23),-0.921757 # DEPENDENCYPART_GRANDPAR
(25,30),(30,24),-0.631909 # DEPENDENCYPART_GRANDPAR
(25,30),(30,25),-1.10779 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(25,30),(30,26),0.214258 # DEPENDENCYPART_GRANDPAR
(25,30),(30,28),0.0239269 # DEPENDENCYPART_GRANDPAR
(25,30),(30,29),0.0316073 # DEPENDENCYPART_GRANDPAR
(25,30),(30,31),-0.178373 # DEPENDENCYPART_GRANDPAR
(25,30),(30,32),-0.0756649 # DEPENDENCYPART_GRANDPAR
(26,21),(21,26),-1.13844 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(26,22),(22,1),-0.412639 # DEPENDENCYPART_GRANDPAR
(26,22),(22,2),-0.698676 # DEPENDENCYPART_GRANDPAR
(26,22),(22,3),-0.326924 # DEPENDENCYPART_GRANDPAR
(26,22),(22,4),-0.785543 # DEPENDENCYPART_GRANDPAR
(26,22),(22,5),-0.583114 # DEPENDENCYPART_GRANDPAR
(26,22),(22,6),-0.612625 # DEPENDENCYPART_GRANDPAR
(26,22),(22,7),-0.134307 # DEPENDENCYPART_GRANDPAR
(26,22),(22,10),-0.597335 # DEPENDENCYPART_GRANDPAR
(26,22),(22,11),-0.235035 # DEPENDENCYPART_GRANDPAR
(26,22),(22,13),-0.677362 # DEPENDENCYPART_GRANDPAR
(26,22),(22,14),-0.567756 # DEPENDENCYPART_GRANDPAR
(26,22),(22,15),-0.219102 # DEPENDENCYPART_GRANDPAR
(26,22),(22,16),-0.607246 # DEPENDENCYPART_GRANDPAR
(26,22),(22,17),-0.192356 # DEPENDENCYPART_GRANDPAR
(26,22),(22,18),-0.438623 # DEPENDENCYPART_GRANDPAR
(26,22),(22,19),-0.214804 # DEPENDENCYPART_GRANDPAR
(26,22),(22,20),-0.0983513 # DEPENDENCYPART_GRANDPAR
(26,22),(22,21),0.06633 # DEPENDENCYPART_GRANDPAR
(26,22),(22,23),0.0198735 # DEPENDENCYPART_GRANDPAR
(26,22),(22,24),0.151241 # DEPENDENCYPART_GRANDPAR
(26,22),(22,25),0.415039 # DEPENDENCYPART_GRANDPAR
(26,22),(22,26),-1.33353 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(26,22),(22,27),-0.113772 # DEPENDENCYPART_GRANDPAR
(26,22),(22,28),-0.679969 # DEPENDENCYPART_GRANDPAR
(26,22),(22,29),-0.594435 # DEPENDENCYPART_GRANDPAR
(26,22),(22,30),-0.600451 # DEPENDENCYPART_GRANDPAR
(26,22),(22,31),-0.398687 # DEPENDENCYPART_GRANDPAR
(26,22),(22,32),-0.711193 # DEPENDENCYPART_GRANDPAR
(26,22),(22,33),-0.785859 # DEPENDENCYPART_GRANDPAR
(26,22),(22,34),-0.389448 # DEPENDENCYPART_GRANDPAR
(26,23),(23,10),-0.564344 # DEPENDENCYPART_GRANDPAR
(26,23),(23,12),-0.0915901 # DEPENDENCYPART_GRANDPAR
(26,23),(23,13),-0.659451 # DEPENDENCYPART_GRANDPAR
(26,23),(23,17),-0.174227 # DEPENDENCYPART_GRANDPAR
(26,23),(23,21),0.0630272 # DEPENDENCYPART_GRANDPAR
(26,23),(23,24),0.159167 # DEPENDENCYPART_GRANDPAR
(26,23),(23,25),0.426245 # DEPENDENCYPART_GRANDPAR
(26,23),(23,26),-1.33266 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(26,23),(23,27),-0.113772 # DEPENDENCYPART_GRANDPAR
(26,23),(23,28),-0.679152 # DEPENDENCYPART_GRANDPAR
(26,23),(23,29),-0.593618 # DEPENDENCYPART_GRANDPAR
(26,23),(23,30),-0.59958 # DEPENDENCYPART_GRANDPAR
(26,23),(23,31),-0.398687 # DEPENDENCYPART_GRANDPAR
(26,23),(23,32),-0.711193 # DEPENDENCYPART_GRANDPAR
(26,23),(23,33),-0.785859 # DEPENDENCYPART_GRANDPAR
(26,23),(23,34),-0.389448 # DEPENDENCYPART_GRANDPAR
(26,24),(24,25),0.486894 # DEPENDENCYPART_GRANDPAR
(26,24),(24,28),-0.503594 # DEPENDENCYPART_GRANDPAR
(26,24),(24,29),-0.418068 # DEPENDENCYPART_GRANDPAR
(26,25),(25,21),0.0867541 # DEPENDENCYPART_GRANDPAR
(26,25),(25,24),0.192055 # DEPENDENCYPART_GRANDPAR
(26,25),(25,27),0.0103495 # DEPENDENCYPART_GRANDPAR
(26,25),(25,28),-0.530224 # DEPENDENCYPART_GRANDPAR
(26,25),(25,29),-0.444699 # DEPENDENCYPART_GRANDPAR
(26,25),(25,30),-0.441457 # DEPENDENCYPART_GRANDPAR
(26,27),(27,1),-0.991064 # DEPENDENCYPART_GRANDPAR
(26,27),(27,4),-1.27201 # DEPENDENCYPART_GRANDPAR
(26,27),(27,5),-1.14705 # DEPENDENCYPART_GRANDPAR
(26,27),(27,7),-0.657435 # DEPENDENCYPART_GRANDPAR
(26,27),(27,10),-1.23278 # DEPENDENCYPART_GRANDPAR
(26,27),(27,11),-0.763389 # DEPENDENCYPART_GRANDPAR
(26,27),(27,13),-1.1498 # DEPENDENCYPART_GRANDPAR
(26,27),(27,14),-1.07312 # DEPENDENCYPART_GRANDPAR
(26,27),(27,15),-0.770034 # DEPENDENCYPART_GRANDPAR
(26,27),(27,16),-1.2552 # DEPENDENCYPART_GRANDPAR
(26,27),(27,17),-0.882105 # DEPENDENCYPART_GRANDPAR
(26,27),(27,18),-1.09194 # DEPENDENCYPART_GRANDPAR
(26,27),(27,19),-0.743158 # DEPENDENCYPART_GRANDPAR
(26,27),(27,20),-0.697993 # DEPENDENCYPART_GRANDPAR
(26,27),(27,21),-0.41393 # DEPENDENCYPART_GRANDPAR
(26,27),(27,22),-0.508842 # DEPENDENCYPART_GRANDPAR
(26,27),(27,23),-0.537551 # DEPENDENCYPART_GRANDPAR
(26,27),(27,24),-0.322258 # DEPENDENCYPART_GRANDPAR
(26,27),(27,25),0.0307245 # DEPENDENCYPART_GRANDPAR
(26,27),(27,26),-0.5744 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(26,27),(27,28),0.101245 # DEPENDENCYPART_GRANDPAR
(26,27),(27,30),0.192333 # DEPENDENCYPART_GRANDPAR
(26,27),(27,31),0.32161 # DEPENDENCYPART_GRANDPAR
(26,27),(27,32),0.00466741 # DEPENDENCYPART_GRANDPAR
(26,27),(27,33),-0.128989 # DEPENDENCYPART_GRANDPAR
(26,27),(27,34),0.275706 # DEPENDENCYPART_GRANDPAR
(26,28),(28,21),-0.551369 # DEPENDENCYPART_GRANDPAR
(26,28),(28,24),-0.442961 # DEPENDENCYPART_GRANDPAR
(26,28),(28,25),-0.0704655 # DEPENDENCYPART_GRANDPAR
(26,28),(28,26),-0.605068 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(26,28),(28,29),0.101061 # DEPENDENCYPART_GRANDPAR
(26,28),(28,30),0.241644 # DEPENDENCYPART_GRANDPAR
(26,28),(28,31),0.380383 # DEPENDENCYPART_GRANDPAR
(26,28),(28,32),0.0416143 # DEPENDENCYPART_GRANDPAR
(26,28),(28,33),-0.199879 # DEPENDENCYPART_GRANDPAR
(26,28),(28,34),0.350129 # DEPENDENCYPART_GRANDPAR
(26,29),(29,24),-0.443454 # DEPENDENCYPART_GRANDPAR
(26,29),(29,26),-0.623604 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(26,29),(29,30),0.242434 # DEPENDENCYPART_GRANDPAR
(26,29),(29,31),0.380432 # DEPENDENCYPART_GRANDPAR
(26,29),(29,32),0.0394047 # DEPENDENCYPART_GRANDPAR
(26,29),(29,33),-0.204598 # DEPENDENCYPART_GRANDPAR
(26,29),(29,34),0.349194 # DEPENDENCYPART_GRANDPAR
(26,30),(30,23),-0.620278 # DEPENDENCYPART_GRANDPAR
(26,30),(30,24),-0.434285 # DEPENDENCYPART_GRANDPAR
(26,30),(30,25),-0.0545769 # DEPENDENCYPART_GRANDPAR
(26,30),(30,26),-0.548775 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(26,30),(30,28),0.137904 # DEPENDENCYPART_GRANDPAR
(26,30),(30,29),0.227361 # DEPENDENCYPART_GRANDPAR
(26,30),(30,31),0.200453 # DEPENDENCYPART_GRANDPAR
(26,30),(30,32),-0.113235 # DEPENDENCYPART_GRANDPAR
(26,31),(31,26),-0.542159 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(26,31),(31,29),0.208414 # DEPENDENCYPART_GRANDPAR
(26,31),(31,30),0.186898 # DEPENDENCYPART_GRANDPAR
(26,31),(31,32),-0.019132 # DEPENDENCYPART_GRANDPAR
(26,31),(31,34),0.272289 # DEPENDENCYPART_GRANDPAR
(26,32),(32,26),-0.538029 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(26,32),(32,29),0.20897 # DEPENDENCYPART_GRANDPAR
(26,32),(32,30),0.191028 # DEPENDENCYPART_GRANDPAR
(26,32),(32,31),0.233754 # DEPENDENCYPART_GRANDPAR
(26,32),(32,34),0.272447 # DEPENDENCYPART_GRANDPAR
(27,4),(4,1),-0.495633 # DEPENDENCYPART_GRANDPAR
(27,4),(4,2),0.140735 # DEPENDENCYPART_GRANDPAR
(27,4),(4,3),-0.128471 # DEPENDENCYPART_GRANDPAR
(27,4),(4,5),0.219827 # DEPENDENCYPART_GRANDPAR
(27,4),(4,6),0.088542 # DEPENDENCYPART_GRANDPAR
(27,4),(4,7),-0.0338369 # DEPENDENCYPART_GRANDPAR
(27,4),(4,10),-0.14029 # DEPENDENCYPART_GRANDPAR
(27,4),(4,11),-0.0510183 # DEPENDENCYPART_GRANDPAR
(27,4),(4,13),0.414753 # DEPENDENCYPART_GRANDPAR
(27,4),(4,19),0.0440931 # DEPENDENCYPART_GRANDPAR
(27,4),(4,20),0.0770531 # DEPENDENCYPART_GRANDPAR
(27,4),(4,27),-1.25268 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(27,4),(4,33),-0.619421 # DEPENDENCYPART_GRANDPAR
(27,4),(4,34),-0.229265 # DEPENDENCYPART_GRANDPAR
(27,5),(5,2),0.114505 # DEPENDENCYPART_GRANDPAR
(27,5),(5,3),-0.154286 # DEPENDENCYPART_GRANDPAR
(27,5),(5,6),-0.0470748 # DEPENDENCYPART_GRANDPAR
(27,5),(5,7),-0.0439503 # DEPENDENCYPART_GRANDPAR
(27,5),(5,8),0.190287 # DEPENDENCYPART_GRANDPAR
(27,5),(5,10),-0.122608 # DEPENDENCYPART_GRANDPAR
(27,7),(7,3),-0.0815683 # DEPENDENCYPART_GRANDPAR
(27,7),(7,5),0.260938 # DEPENDENCYPART_GRANDPAR
(27,7),(7,6),0.018497 # DEPENDENCYPART_GRANDPAR
(27,7),(7,8),0.148931 # DEPENDENCYPART_GRANDPAR
(27,7),(7,10),-0.170576 # DEPENDENCYPART_GRANDPAR
(27,7),(7,11),-0.0457687 # DEPENDENCYPART_GRANDPAR
(27,7),(7,13),0.350617 # DEPENDENCYPART_GRANDPAR
(27,7),(7,14),0.240829 # DEPENDENCYPART_GRANDPAR
(27,7),(7,15),0.303124 # DEPENDENCYPART_GRANDPAR
(27,7),(7,27),-1.24423 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(27,10),(10,1),-0.495628 # DEPENDENCYPART_GRANDPAR
(27,10),(10,2),0.121193 # DEPENDENCYPART_GRANDPAR
(27,10),(10,3),-0.169545 # DEPENDENCYPART_GRANDPAR
(27,10),(10,5),0.334623 # DEPENDENCYPART_GRANDPAR
(27,10),(10,7),0.118535 # DEPENDENCYPART_GRANDPAR
(27,10),(10,8),0.255681 # DEPENDENCYPART_GRANDPAR
(27,10),(10,9),0.516748 # DEPENDENCYPART_GRANDPAR
(27,10),(10,11),0.089922 # DEPENDENCYPART_GRANDPAR
(27,10),(10,13),0.520114 # DEPENDENCYPART_GRANDPAR
(27,10),(10,14),0.397913 # DEPENDENCYPART_GRANDPAR
(27,10),(10,15),0.397927 # DEPENDENCYPART_GRANDPAR
(27,10),(10,16),0.168637 # DEPENDENCYPART_GRANDPAR
(27,10),(10,17),0.325012 # DEPENDENCYPART_GRANDPAR
(27,10),(10,18),0.231695 # DEPENDENCYPART_GRANDPAR
(27,10),(10,19),0.185033 # DEPENDENCYPART_GRANDPAR
(27,10),(10,20),0.224098 # DEPENDENCYPART_GRANDPAR
(27,10),(10,22),0.341868 # DEPENDENCYPART_GRANDPAR
(27,10),(10,23),0.394907 # DEPENDENCYPART_GRANDPAR
(27,10),(10,24),0.388977 # DEPENDENCYPART_GRANDPAR
(27,10),(10,31),-0.180379 # DEPENDENCYPART_GRANDPAR
(27,10),(10,32),-0.109787 # DEPENDENCYPART_GRANDPAR
(27,13),(13,1),-0.442782 # DEPENDENCYPART_GRANDPAR
(27,13),(13,2),0.223408 # DEPENDENCYPART_GRANDPAR
(27,13),(13,3),-0.0203144 # DEPENDENCYPART_GRANDPAR
(27,13),(13,4),-0.0559292 # DEPENDENCYPART_GRANDPAR
(27,13),(13,5),0.352489 # DEPENDENCYPART_GRANDPAR
(27,13),(13,6),0.0682938 # DEPENDENCYPART_GRANDPAR
(27,13),(13,7),0.222642 # DEPENDENCYPART_GRANDPAR
(27,13),(13,8),0.272881 # DEPENDENCYPART_GRANDPAR
(27,13),(13,10),0.132046 # DEPENDENCYPART_GRANDPAR
(27,13),(13,11),0.13971 # DEPENDENCYPART_GRANDPAR
(27,13),(13,12),-0.0213052 # DEPENDENCYPART_GRANDPAR
(27,13),(13,14),0.0333472 # DEPENDENCYPART_GRANDPAR
(27,13),(13,15),0.114736 # DEPENDENCYPART_GRANDPAR
(27,13),(13,16),-0.137812 # DEPENDENCYPART_GRANDPAR
(27,13),(13,17),0.0615296 # DEPENDENCYPART_GRANDPAR
(27,13),(13,18),-0.0837639 # DEPENDENCYPART_GRANDPAR
(27,13),(13,19),-0.148829 # DEPENDENCYPART_GRANDPAR
(27,13),(13,20),-0.158113 # DEPENDENCYPART_GRANDPAR
(27,13),(13,22),-0.0261805 # DEPENDENCYPART_GRANDPAR
(27,13),(13,23),0.050103 # DEPENDENCYPART_GRANDPAR
(27,13),(13,33),-0.48999 # DEPENDENCYPART_GRANDPAR
(27,13),(13,34),-0.103245 # DEPENDENCYPART_GRANDPAR
(27,14),(14,11),0.137928 # DEPENDENCYPART_GRANDPAR
(27,14),(14,12),-0.00183067 # DEPENDENCYPART_GRANDPAR
(27,14),(14,13),0.433647 # DEPENDENCYPART_GRANDPAR
(27,14),(14,15),0.125955 # DEPENDENCYPART_GRANDPAR
(27,14),(14,16),-0.0794856 # DEPENDENCYPART_GRANDPAR
(27,14),(14,17),0.0890045 # DEPENDENCYPART_GRANDPAR
(27,14),(14,18),-0.025437 # DEPENDENCYPART_GRANDPAR
(27,14),(14,19),-0.0916065 # DEPENDENCYPART_GRANDPAR
(27,14),(14,20),-0.0944149 # DEPENDENCYPART_GRANDPAR
(27,14),(14,22),-0.0425718 # DEPENDENCYPART_GRANDPAR
(27,14),(14,23),0.0344734 # DEPENDENCYPART_GRANDPAR
(27,14),(14,27),-1.12327 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(27,14),(14,31),-0.138508 # DEPENDENCYPART_GRANDPAR
(27,14),(14,32),-0.0681148 # DEPENDENCYPART_GRANDPAR
(27,14),(14,33),-0.486795 # DEPENDENCYPART_GRANDPAR
(27,15),(15,8),0.143353 # DEPENDENCYPART_GRANDPAR
(27,15),(15,12),-0.187024 # DEPENDENCYPART_GRANDPAR
(27,15),(15,14),0.23613 # DEPENDENCYPART_GRANDPAR
(27,15),(15,16),-0.0475288 # DEPENDENCYPART_GRANDPAR
(27,15),(15,17),0.198017 # DEPENDENCYPART_GRANDPAR
(27,15),(15,18),0.0117825 # DEPENDENCYPART_GRANDPAR
(27,16),(16,14),0.308634 # DEPENDENCYPART_GRANDPAR
(27,16),(16,15),0.477788 # DEPENDENCYPART_GRANDPAR
(27,16),(16,17),0.324545 # DEPENDENCYPART_GRANDPAR
(27,16),(16,18),0.232274 # DEPENDENCYPART_GRANDPAR
(27,16),(16,19),0.186067 # DEPENDENCYPART_GRANDPAR
(27,16),(16,20),0.223417 # DEPENDENCYPART_GRANDPAR
(27,16),(16,22),0.34147 # DEPENDENCYPART_GRANDPAR
(27,17),(17,12),-0.22054 # DEPENDENCYPART_GRANDPAR
(27,17),(17,15),0.424718 # DEPENDENCYPART_GRANDPAR
(27,17),(17,16),0.284898 # DEPENDENCYPART_GRANDPAR
(27,17),(17,18),0.117062 # DEPENDENCYPART_GRANDPAR
(27,17),(17,20),0.056695 # DEPENDENCYPART_GRANDPAR
(27,18),(18,12),0.0431294 # DEPENDENCYPART_GRANDPAR
(27,18),(18,15),0.475999 # DEPENDENCYPART_GRANDPAR
(27,18),(18,16),0.289052 # DEPENDENCYPART_GRANDPAR
(27,18),(18,17),0.398791 # DEPENDENCYPART_GRANDPAR
(27,18),(18,19),0.185815 # DEPENDENCYPART_GRANDPAR
(27,18),(18,22),0.341192 # DEPENDENCYPART_GRANDPAR
(27,20),(20,1),-0.518217 # DEPENDENCYPART_GRANDPAR
(27,20),(20,2),0.133827 # DEPENDENCYPART_GRANDPAR
(27,20),(20,3),-0.137774 # DEPENDENCYPART_GRANDPAR
(27,20),(20,4),-0.178186 # DEPENDENCYPART_GRANDPAR
(27,20),(20,5),0.30966 # DEPENDENCYPART_GRANDPAR
(27,20),(20,6),0.0292821 # DEPENDENCYPART_GRANDPAR
(27,20),(20,7),0.146921 # DEPENDENCYPART_GRANDPAR
(27,20),(20,8),0.167602 # DEPENDENCYPART_GRANDPAR
(27,20),(20,9),0.438138 # DEPENDENCYPART_GRANDPAR
(27,20),(20,10),-0.05153 # DEPENDENCYPART_GRANDPAR
(27,20),(20,11),-0.122012 # DEPENDENCYPART_GRANDPAR
(27,20),(20,12),-0.0546188 # DEPENDENCYPART_GRANDPAR
(27,20),(20,13),0.359717 # DEPENDENCYPART_GRANDPAR
(27,20),(20,14),0.306297 # DEPENDENCYPART_GRANDPAR
(27,20),(20,15),0.438736 # DEPENDENCYPART_GRANDPAR
(27,20),(20,16),0.222162 # DEPENDENCYPART_GRANDPAR
(27,20),(20,17),0.424021 # DEPENDENCYPART_GRANDPAR
(27,20),(20,18),0.290601 # DEPENDENCYPART_GRANDPAR
(27,20),(20,19),-0.0269009 # DEPENDENCYPART_GRANDPAR
(27,20),(20,21),-0.147556 # DEPENDENCYPART_GRANDPAR
(27,20),(20,22),0.160319 # DEPENDENCYPART_GRANDPAR
(27,20),(20,23),0.228499 # DEPENDENCYPART_GRANDPAR
(27,20),(20,24),0.0412024 # DEPENDENCYPART_GRANDPAR
(27,20),(20,25),0.231711 # DEPENDENCYPART_GRANDPAR
(27,20),(20,26),0.255634 # DEPENDENCYPART_GRANDPAR
(27,20),(20,27),-1.27696 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(27,20),(20,28),0.347557 # DEPENDENCYPART_GRANDPAR
(27,20),(20,29),0.151374 # DEPENDENCYPART_GRANDPAR
(27,20),(20,30),-0.339112 # DEPENDENCYPART_GRANDPAR
(27,20),(20,33),-0.631802 # DEPENDENCYPART_GRANDPAR
(27,20),(20,34),-0.243735 # DEPENDENCYPART_GRANDPAR
(27,21),(21,26),0.39375 # DEPENDENCYPART_GRANDPAR
(27,22),(22,1),-0.38644 # DEPENDENCYPART_GRANDPAR
(27,22),(22,2),0.232125 # DEPENDENCYPART_GRANDPAR
(27,22),(22,3),-0.00727594 # DEPENDENCYPART_GRANDPAR
(27,22),(22,4),-0.0304444 # DEPENDENCYPART_GRANDPAR
(27,22),(22,5),0.370812 # DEPENDENCYPART_GRANDPAR
(27,22),(22,6),0.121956 # DEPENDENCYPART_GRANDPAR
(27,22),(22,7),0.237504 # DEPENDENCYPART_GRANDPAR
(27,22),(22,10),0.102425 # DEPENDENCYPART_GRANDPAR
(27,22),(22,11),0.134879 # DEPENDENCYPART_GRANDPAR
(27,22),(22,13),0.440072 # DEPENDENCYPART_GRANDPAR
(27,22),(22,14),0.3849 # DEPENDENCYPART_GRANDPAR
(27,22),(22,15),0.55614 # DEPENDENCYPART_GRANDPAR
(27,22),(22,16),0.370039 # DEPENDENCYPART_GRANDPAR
(27,22),(22,17),0.639136 # DEPENDENCYPART_GRANDPAR
(27,22),(22,18),0.428023 # DEPENDENCYPART_GRANDPAR
(27,22),(22,19),0.22999 # DEPENDENCYPART_GRANDPAR
(27,22),(22,20),0.429887 # DEPENDENCYPART_GRANDPAR
(27,22),(22,21),0.0959394 # DEPENDENCYPART_GRANDPAR
(27,22),(22,23),0.0237647 # DEPENDENCYPART_GRANDPAR
(27,22),(22,24),0.0212179 # DEPENDENCYPART_GRANDPAR
(27,22),(22,25),0.159081 # DEPENDENCYPART_GRANDPAR
(27,22),(22,26),0.197223 # DEPENDENCYPART_GRANDPAR
(27,22),(22,27),-1.12324 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(27,22),(22,28),0.519906 # DEPENDENCYPART_GRANDPAR
(27,22),(22,29),0.323841 # DEPENDENCYPART_GRANDPAR
(27,22),(22,30),-0.17965 # DEPENDENCYPART_GRANDPAR
(27,22),(22,31),-0.138486 # DEPENDENCYPART_GRANDPAR
(27,22),(22,32),-0.0680924 # DEPENDENCYPART_GRANDPAR
(27,22),(22,33),-0.486773 # DEPENDENCYPART_GRANDPAR
