# _root_ In 1987 , despite a barrage of ads from most of the major investment firms , individuals ran from the market en masse .
#goldHeads=18,1,18,18,6,4,6,7,8,9,10,15,15,15,11,18,18,0,18,21,19,18,22,18,
#predictedHeads=18,1,18,18,6,4,6,7,6,9,10,15,15,15,11,18,18,0,18,21,19,23,19,18,
(6,10),(6,11),0.00579986 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.0195048 # DEPENDENCYPART_SIBL
(6,10),(6,16),0.119393 # DEPENDENCYPART_SIBL
(6,10),(6,18),-0.0522416 # DEPENDENCYPART_SIBL
(6,10),(6,19),0.044127 # DEPENDENCYPART_SIBL
(6,10),(6,21),-0.0257743 # DEPENDENCYPART_SIBL
(6,10),(6,22),0.00843109 # DEPENDENCYPART_SIBL
(6,10),(6,23),0.00843098 # DEPENDENCYPART_SIBL
(6,10),(6,24),-0.0503837 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.0936498 # DEPENDENCYPART_SIBL
(6,11),(6,16),0.0980473 # DEPENDENCYPART_SIBL
(6,11),(6,18),-0.154089 # DEPENDENCYPART_SIBL
(6,11),(6,19),0.12769 # DEPENDENCYPART_SIBL
(6,11),(6,21),0.116273 # DEPENDENCYPART_SIBL
(6,11),(6,22),0.0421334 # DEPENDENCYPART_SIBL
(6,11),(6,23),0.0239344 # DEPENDENCYPART_SIBL
(6,11),(6,24),-0.00192465 # DEPENDENCYPART_SIBL
(6,15),(6,16),-0.00691626 # DEPENDENCYPART_SIBL
(6,15),(6,18),-0.110262 # DEPENDENCYPART_SIBL
(6,15),(6,19),0.0456051 # DEPENDENCYPART_SIBL
(6,15),(6,21),-0.0836037 # DEPENDENCYPART_SIBL
(6,15),(6,22),-0.00322713 # DEPENDENCYPART_SIBL
(6,15),(6,23),-0.00321907 # DEPENDENCYPART_SIBL
(6,15),(6,24),-0.00590887 # DEPENDENCYPART_SIBL
(6,16),(6,18),0.495956 # DEPENDENCYPART_SIBL
(6,16),(6,19),0.233065 # DEPENDENCYPART_SIBL
(6,16),(6,21),0.716447 # DEPENDENCYPART_SIBL
(6,16),(6,22),0.302169 # DEPENDENCYPART_SIBL
(6,16),(6,23),0.308535 # DEPENDENCYPART_SIBL
(6,16),(6,24),0.00703491 # DEPENDENCYPART_SIBL
(6,18),(6,19),0.00464792 # DEPENDENCYPART_SIBL
(6,18),(6,21),0.00242848 # DEPENDENCYPART_SIBL
(6,18),(6,22),0.0222083 # DEPENDENCYPART_SIBL
(6,18),(6,23),0.0222082 # DEPENDENCYPART_SIBL
(6,18),(6,24),0.0369998 # DEPENDENCYPART_SIBL
(6,19),(6,21),0.0390609 # DEPENDENCYPART_SIBL
(6,19),(6,22),0.0973372 # DEPENDENCYPART_SIBL
(6,19),(6,23),0.0791382 # DEPENDENCYPART_SIBL
(6,19),(6,24),0.113204 # DEPENDENCYPART_SIBL
(6,21),(6,22),-0.0293026 # DEPENDENCYPART_SIBL
(6,21),(6,23),-0.0293027 # DEPENDENCYPART_SIBL
(6,21),(6,24),-0.0227216 # DEPENDENCYPART_SIBL
(6,22),(6,23),0.0890539 # DEPENDENCYPART_SIBL
(6,22),(6,24),-0.0438571 # DEPENDENCYPART_SIBL
(6,23),(6,24),-0.0542807 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.188194 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0248431 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.233343 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0172739 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0180811 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.00270587 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.195554 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.112132 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.135182 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0614914 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.0177525 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0740791 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.101733 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.229064 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0423665 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0165938 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0141919 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.194916 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0219719 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.352054 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.073634 # DEPENDENCYPART_SIBL
(7,8),(7,15),-1.12068 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0924281 # DEPENDENCYPART_SIBL
(7,9),(7,11),0.042591 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.304396 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.125395 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.53932 # DEPENDENCYPART_SIBL
(7,11),(7,15),0.00469949 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0844848 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.0463179 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.0770249 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0526571 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.0348237 # DEPENDENCYPART_SIBL
(8,3),(8,16),0.017467 # DEPENDENCYPART_SIBL
(8,3),(8,17),-0.0215222 # DEPENDENCYPART_SIBL
(8,3),(8,18),-0.0127751 # DEPENDENCYPART_SIBL
(8,3),(8,19),-0.0463179 # DEPENDENCYPART_SIBL
(8,3),(8,21),-0.0672318 # DEPENDENCYPART_SIBL
(8,3),(8,24),0.143757 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0530196 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.0161055 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0848999 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.0239289 # DEPENDENCYPART_SIBL
(8,6),(8,16),0.0472749 # DEPENDENCYPART_SIBL
(8,6),(8,17),0.00947543 # DEPENDENCYPART_SIBL
(8,6),(8,18),-0.00247355 # DEPENDENCYPART_SIBL
(8,6),(8,19),-0.0530196 # DEPENDENCYPART_SIBL
(8,6),(8,21),0.00468285 # DEPENDENCYPART_SIBL
(8,6),(8,24),0.00500831 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.01576 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.045373 # DEPENDENCYPART_SIBL
(8,9),(8,15),0.0619448 # DEPENDENCYPART_SIBL
(8,9),(8,16),0.155937 # DEPENDENCYPART_SIBL
(8,9),(8,17),0.0652551 # DEPENDENCYPART_SIBL
(8,9),(8,18),0.0365017 # DEPENDENCYPART_SIBL
(8,9),(8,19),-0.0569637 # DEPENDENCYPART_SIBL
(8,9),(8,21),0.0132415 # DEPENDENCYPART_SIBL
(8,9),(8,24),0.111889 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.0312084 # DEPENDENCYPART_SIBL
(8,10),(8,15),0.0105405 # DEPENDENCYPART_SIBL
(8,10),(8,16),0.0556568 # DEPENDENCYPART_SIBL
(8,10),(8,17),0.016808 # DEPENDENCYPART_SIBL
(8,10),(8,18),-0.0543337 # DEPENDENCYPART_SIBL
(8,10),(8,19),0.0175464 # DEPENDENCYPART_SIBL
(8,10),(8,21),-0.0473469 # DEPENDENCYPART_SIBL
(8,10),(8,24),-0.0170683 # DEPENDENCYPART_SIBL
(8,11),(8,15),-0.00665153 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.0199477 # DEPENDENCYPART_SIBL
(8,11),(8,17),-0.00235598 # DEPENDENCYPART_SIBL
(8,11),(8,18),-0.22435 # DEPENDENCYPART_SIBL
(8,11),(8,19),-0.0332764 # DEPENDENCYPART_SIBL
(8,11),(8,21),0.0300383 # DEPENDENCYPART_SIBL
(8,11),(8,24),-0.0459165 # DEPENDENCYPART_SIBL
(8,15),(8,16),0.0144733 # DEPENDENCYPART_SIBL
(8,15),(8,17),-0.210844 # DEPENDENCYPART_SIBL
(8,15),(8,18),-0.0832971 # DEPENDENCYPART_SIBL
(8,15),(8,19),0.0442733 # DEPENDENCYPART_SIBL
(8,15),(8,21),-0.0664648 # DEPENDENCYPART_SIBL
(8,15),(8,24),0.0285325 # DEPENDENCYPART_SIBL
(8,16),(8,17),0.714988 # DEPENDENCYPART_SIBL
(8,16),(8,18),0.518348 # DEPENDENCYPART_SIBL
(8,16),(8,19),0.25825 # DEPENDENCYPART_SIBL
(8,16),(8,21),0.607707 # DEPENDENCYPART_SIBL
(8,16),(8,24),0.0489057 # DEPENDENCYPART_SIBL
(8,17),(8,18),-0.0855193 # DEPENDENCYPART_SIBL
(8,17),(8,19),0.0550209 # DEPENDENCYPART_SIBL
(8,17),(8,21),-0.0645421 # DEPENDENCYPART_SIBL
(8,17),(8,24),0.0156588 # DEPENDENCYPART_SIBL
(8,18),(8,19),-0.0204237 # DEPENDENCYPART_SIBL
(8,18),(8,21),-0.00480362 # DEPENDENCYPART_SIBL
(8,18),(8,24),0.0615323 # DEPENDENCYPART_SIBL
(8,19),(8,21),0.0132415 # DEPENDENCYPART_SIBL
(8,19),(8,24),0.111889 # DEPENDENCYPART_SIBL
(8,21),(8,24),0.019787 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.189835 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.0248457 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.0303348 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.0652135 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.0120757 # DEPENDENCYPART_SIBL
(9,1),(9,11),0.0258693 # DEPENDENCYPART_SIBL
(9,1),(9,13),-0.0188386 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.0810225 # DEPENDENCYPART_SIBL
(9,1),(9,15),-0.0865424 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.130712 # DEPENDENCYPART_SIBL
(9,1),(9,17),-0.119721 # DEPENDENCYPART_SIBL
(9,1),(9,18),-0.00184259 # DEPENDENCYPART_SIBL
(9,1),(9,19),0.0056532 # DEPENDENCYPART_SIBL
(9,1),(9,22),-0.0638702 # DEPENDENCYPART_SIBL
(9,1),(9,24),0.107574 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.0380299 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.05486 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.091524 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.0580368 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.141125 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.0824341 # DEPENDENCYPART_SIBL
(9,3),(9,14),-0.212312 # DEPENDENCYPART_SIBL
(9,3),(9,15),-0.0956562 # DEPENDENCYPART_SIBL
(9,3),(9,16),0.365147 # DEPENDENCYPART_SIBL
(9,3),(9,17),-0.11303 # DEPENDENCYPART_SIBL
(9,3),(9,18),-0.117935 # DEPENDENCYPART_SIBL
(9,3),(9,19),-0.128736 # DEPENDENCYPART_SIBL
(9,3),(9,22),-0.0467781 # DEPENDENCYPART_SIBL
(9,3),(9,24),-0.0171898 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.101812 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.166401 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0746427 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0860098 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.0460011 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.111341 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.0660853 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.1489 # DEPENDENCYPART_SIBL
(9,6),(9,17),-0.0765573 # DEPENDENCYPART_SIBL
(9,6),(9,18),-0.0187327 # DEPENDENCYPART_SIBL
(9,6),(9,19),-0.06131 # DEPENDENCYPART_SIBL
(9,6),(9,22),-0.0531055 # DEPENDENCYPART_SIBL
(9,6),(9,24),-0.00564261 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.00254747 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.022829 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.016873 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0680213 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.146297 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.101699 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.194812 # DEPENDENCYPART_SIBL
(9,7),(9,17),-0.130529 # DEPENDENCYPART_SIBL
(9,7),(9,18),-0.0458676 # DEPENDENCYPART_SIBL
(9,7),(9,19),-0.0803078 # DEPENDENCYPART_SIBL
(9,7),(9,22),-0.0839734 # DEPENDENCYPART_SIBL
(9,7),(9,24),0.0602192 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.00538241 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.016319 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0367957 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.0716589 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.0807151 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.153853 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.0988445 # DEPENDENCYPART_SIBL
(9,8),(9,18),0.150812 # DEPENDENCYPART_SIBL
(9,8),(9,19),-0.028987 # DEPENDENCYPART_SIBL
(9,8),(9,22),-0.0150379 # DEPENDENCYPART_SIBL
(9,8),(9,24),0.0701973 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.096614 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.140033 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.443966 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.461967 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.113418 # DEPENDENCYPART_SIBL
(9,10),(9,17),-0.471749 # DEPENDENCYPART_SIBL
(9,10),(9,18),-0.43033 # DEPENDENCYPART_SIBL
(9,10),(9,19),-0.0599486 # DEPENDENCYPART_SIBL
(9,10),(9,22),-0.14346 # DEPENDENCYPART_SIBL
(9,10),(9,24),-0.0597552 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.0963341 # DEPENDENCYPART_SIBL
(9,11),(9,14),0.16258 # DEPENDENCYPART_SIBL
(9,11),(9,15),0.0197299 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.0562509 # DEPENDENCYPART_SIBL
(9,11),(9,17),0.00798083 # DEPENDENCYPART_SIBL
(9,11),(9,18),-0.439045 # DEPENDENCYPART_SIBL
(9,11),(9,19),-0.284479 # DEPENDENCYPART_SIBL
(9,11),(9,22),-0.0641491 # DEPENDENCYPART_SIBL
(9,11),(9,24),-0.0737476 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.433591 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.510377 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.0853076 # DEPENDENCYPART_SIBL
(9,13),(9,17),-0.525839 # DEPENDENCYPART_SIBL
(9,13),(9,18),-0.499816 # DEPENDENCYPART_SIBL
(9,13),(9,19),-0.181782 # DEPENDENCYPART_SIBL
(9,13),(9,22),-0.194308 # DEPENDENCYPART_SIBL
(9,13),(9,24),-0.114269 # DEPENDENCYPART_SIBL
(9,14),(9,15),-0.877075 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.0296295 # DEPENDENCYPART_SIBL
(9,14),(9,17),-0.880946 # DEPENDENCYPART_SIBL
(9,14),(9,18),-0.641053 # DEPENDENCYPART_SIBL
(9,14),(9,19),-0.0608756 # DEPENDENCYPART_SIBL
(9,14),(9,22),-0.291468 # DEPENDENCYPART_SIBL
(9,14),(9,24),-0.079587 # DEPENDENCYPART_SIBL
(9,15),(9,16),-0.0627502 # DEPENDENCYPART_SIBL
(9,15),(9,17),-0.826032 # DEPENDENCYPART_SIBL
(9,15),(9,18),-0.554132 # DEPENDENCYPART_SIBL
(9,15),(9,19),0.0210595 # DEPENDENCYPART_SIBL
(9,15),(9,22),-0.193525 # DEPENDENCYPART_SIBL
(9,15),(9,24),0.0129353 # DEPENDENCYPART_SIBL
(9,16),(9,17),-0.107064 # DEPENDENCYPART_SIBL
(9,16),(9,18),0.0873326 # DEPENDENCYPART_SIBL
(9,16),(9,19),0.170565 # DEPENDENCYPART_SIBL
(9,16),(9,22),0.0880478 # DEPENDENCYPART_SIBL
(9,16),(9,24),0.0494833 # DEPENDENCYPART_SIBL
(9,17),(9,18),-0.552364 # DEPENDENCYPART_SIBL
(9,17),(9,19),0.0313463 # DEPENDENCYPART_SIBL
(9,17),(9,22),-0.190413 # DEPENDENCYPART_SIBL
(9,17),(9,24),-0.0100838 # DEPENDENCYPART_SIBL
(9,18),(9,19),-0.0198679 # DEPENDENCYPART_SIBL
(9,18),(9,22),-0.11603 # DEPENDENCYPART_SIBL
(9,18),(9,24),0.204613 # DEPENDENCYPART_SIBL
(9,19),(9,22),-0.111962 # DEPENDENCYPART_SIBL
(9,19),(9,24),-0.0492022 # DEPENDENCYPART_SIBL
(9,22),(9,24),0.00259236 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.067441 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.096604 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0739982 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.0379579 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.0382625 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.013094 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.0276107 # DEPENDENCYPART_SIBL
(10,6),(10,18),0.00921525 # DEPENDENCYPART_SIBL
(10,6),(10,19),-0.031921 # DEPENDENCYPART_SIBL
(10,6),(10,21),0.0407121 # DEPENDENCYPART_SIBL
(10,6),(10,22),0.00200204 # DEPENDENCYPART_SIBL
(10,6),(10,23),0.00203221 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.107379 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0724975 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0179701 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.0626816 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.118334 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.0713484 # DEPENDENCYPART_SIBL
(10,9),(10,18),-0.0218954 # DEPENDENCYPART_SIBL
(10,9),(10,19),-0.0862762 # DEPENDENCYPART_SIBL
(10,9),(10,21),-0.0176206 # DEPENDENCYPART_SIBL
(10,9),(10,22),-0.0439549 # DEPENDENCYPART_SIBL
(10,9),(10,23),-0.0439549 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0356924 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.00963219 # DEPENDENCYPART_SIBL
(10,11),(10,15),0.065968 # DEPENDENCYPART_SIBL
(10,11),(10,16),0.0474311 # DEPENDENCYPART_SIBL
(10,11),(10,17),0.0644396 # DEPENDENCYPART_SIBL
(10,11),(10,18),-0.147065 # DEPENDENCYPART_SIBL
(10,11),(10,19),-0.199368 # DEPENDENCYPART_SIBL
(10,11),(10,21),0.167501 # DEPENDENCYPART_SIBL
(10,11),(10,22),-0.0204332 # DEPENDENCYPART_SIBL
(10,11),(10,23),-0.0386321 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.0163843 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.0156134 # DEPENDENCYPART_SIBL
(10,12),(10,16),0.0171369 # DEPENDENCYPART_SIBL
(10,12),(10,17),-0.0145987 # DEPENDENCYPART_SIBL
(10,12),(10,18),-0.0527142 # DEPENDENCYPART_SIBL
(10,12),(10,19),-0.0839589 # DEPENDENCYPART_SIBL
(10,12),(10,21),-0.0450702 # DEPENDENCYPART_SIBL
(10,12),(10,22),-0.0510638 # DEPENDENCYPART_SIBL
(10,12),(10,23),-0.0510638 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.0719595 # DEPENDENCYPART_SIBL
(10,13),(10,16),0.103303 # DEPENDENCYPART_SIBL
(10,13),(10,17),-0.0727442 # DEPENDENCYPART_SIBL
(10,13),(10,18),-0.068724 # DEPENDENCYPART_SIBL
(10,13),(10,19),-0.0537061 # DEPENDENCYPART_SIBL
(10,13),(10,21),-0.0217368 # DEPENDENCYPART_SIBL
(10,13),(10,22),-0.023642 # DEPENDENCYPART_SIBL
(10,13),(10,23),-0.0236415 # DEPENDENCYPART_SIBL
(10,15),(10,16),0.0656176 # DEPENDENCYPART_SIBL
(10,15),(10,17),-0.286142 # DEPENDENCYPART_SIBL
(10,15),(10,18),-0.117454 # DEPENDENCYPART_SIBL
(10,15),(10,19),0.0157536 # DEPENDENCYPART_SIBL
(10,15),(10,21),-0.0914576 # DEPENDENCYPART_SIBL
(10,15),(10,22),-0.0465712 # DEPENDENCYPART_SIBL
(10,15),(10,23),-0.046563 # DEPENDENCYPART_SIBL
(10,16),(10,17),0.18169 # DEPENDENCYPART_SIBL
(10,16),(10,18),0.24122 # DEPENDENCYPART_SIBL
(10,16),(10,19),0.049876 # DEPENDENCYPART_SIBL
(10,16),(10,21),0.30741 # DEPENDENCYPART_SIBL
(10,16),(10,22),0.0902595 # DEPENDENCYPART_SIBL
(10,16),(10,23),0.0966262 # DEPENDENCYPART_SIBL
(10,17),(10,18),-0.116422 # DEPENDENCYPART_SIBL
(10,17),(10,19),0.0325813 # DEPENDENCYPART_SIBL
(10,17),(10,21),-0.0862812 # DEPENDENCYPART_SIBL
(10,17),(10,22),-0.0441813 # DEPENDENCYPART_SIBL
(10,17),(10,23),-0.0441731 # DEPENDENCYPART_SIBL
(10,18),(10,19),-0.0550774 # DEPENDENCYPART_SIBL
(10,18),(10,21),-0.0426225 # DEPENDENCYPART_SIBL
(10,18),(10,22),-0.040412 # DEPENDENCYPART_SIBL
(10,18),(10,23),-0.040412 # DEPENDENCYPART_SIBL
(10,19),(10,21),-0.00178683 # DEPENDENCYPART_SIBL
(10,19),(10,22),-0.0275399 # DEPENDENCYPART_SIBL
(10,19),(10,23),-0.0457388 # DEPENDENCYPART_SIBL
(10,21),(10,22),-0.0526433 # DEPENDENCYPART_SIBL
(10,21),(10,23),-0.0526433 # DEPENDENCYPART_SIBL
(10,22),(10,23),-0.00200585 # DEPENDENCYPART_SIBL
(11,1),(11,9),0.00438237 # DEPENDENCYPART_SIBL
(11,1),(11,10),-0.0147325 # DEPENDENCYPART_SIBL
(11,1),(11,12),-0.0905999 # DEPENDENCYPART_SIBL
(11,1),(11,13),-0.0144116 # DEPENDENCYPART_SIBL
(11,1),(11,14),-0.0683385 # DEPENDENCYPART_SIBL
(11,1),(11,15),-0.195554 # DEPENDENCYPART_SIBL
(11,1),(11,16),-0.0639605 # DEPENDENCYPART_SIBL
(11,1),(11,17),-0.229276 # DEPENDENCYPART_SIBL
(11,1),(11,18),-0.0404332 # DEPENDENCYPART_SIBL
(11,1),(11,19),-0.0172739 # DEPENDENCYPART_SIBL
(11,1),(11,22),-0.0715771 # DEPENDENCYPART_SIBL
(11,1),(11,23),-0.0715771 # DEPENDENCYPART_SIBL
(11,1),(11,24),0.0542729 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.00536798 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.108989 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0148689 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.108483 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.21157 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.139371 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.241689 # DEPENDENCYPART_SIBL
(11,9),(11,18),-0.0686885 # DEPENDENCYPART_SIBL
(11,9),(11,19),-0.0870817 # DEPENDENCYPART_SIBL
(11,9),(11,22),-0.0822254 # DEPENDENCYPART_SIBL
(11,9),(11,23),-0.0822254 # DEPENDENCYPART_SIBL
(11,9),(11,24),-0.0114331 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.165685 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0515206 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.214858 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.219154 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.16341 # DEPENDENCYPART_SIBL
(11,10),(11,17),-0.237341 # DEPENDENCYPART_SIBL
(11,10),(11,18),-0.114955 # DEPENDENCYPART_SIBL
(11,10),(11,19),-0.0940242 # DEPENDENCYPART_SIBL
(11,10),(11,22),-0.122339 # DEPENDENCYPART_SIBL
(11,10),(11,23),-0.122339 # DEPENDENCYPART_SIBL
(11,10),(11,24),-0.0791754 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.157387 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.622082 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.384431 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.00482386 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.390377 # DEPENDENCYPART_SIBL
(11,12),(11,18),-0.339765 # DEPENDENCYPART_SIBL
(11,12),(11,19),-0.0386473 # DEPENDENCYPART_SIBL
(11,12),(11,22),-0.169932 # DEPENDENCYPART_SIBL
(11,12),(11,23),-0.169908 # DEPENDENCYPART_SIBL
(11,12),(11,24),-0.0780031 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.638485 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.565291 # DEPENDENCYPART_SIBL
(11,13),(11,16),0.00600153 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.575404 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.40697 # DEPENDENCYPART_SIBL
(11,13),(11,19),-0.102232 # DEPENDENCYPART_SIBL
(11,13),(11,22),-0.202695 # DEPENDENCYPART_SIBL
(11,13),(11,23),-0.20267 # DEPENDENCYPART_SIBL
(11,13),(11,24),-0.015725 # DEPENDENCYPART_SIBL
(11,14),(11,15),-1.14389 # DEPENDENCYPART_SIBL
(11,14),(11,16),0.000384605 # DEPENDENCYPART_SIBL
(11,14),(11,17),-1.14478 # DEPENDENCYPART_SIBL
(11,14),(11,18),-0.671456 # DEPENDENCYPART_SIBL
(11,14),(11,19),-0.0747882 # DEPENDENCYPART_SIBL
(11,14),(11,22),-0.438395 # DEPENDENCYPART_SIBL
(11,14),(11,23),-0.43837 # DEPENDENCYPART_SIBL
(11,14),(11,24),-0.0932137 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.0294963 # DEPENDENCYPART_SIBL
(11,15),(11,17),-1.10586 # DEPENDENCYPART_SIBL
(11,15),(11,18),-0.568326 # DEPENDENCYPART_SIBL
(11,15),(11,19),-0.0216688 # DEPENDENCYPART_SIBL
(11,15),(11,22),-0.349494 # DEPENDENCYPART_SIBL
(11,15),(11,23),-0.349462 # DEPENDENCYPART_SIBL
(11,15),(11,24),0.0093531 # DEPENDENCYPART_SIBL
(11,16),(11,17),0.0149014 # DEPENDENCYPART_SIBL
(11,16),(11,18),0.435698 # DEPENDENCYPART_SIBL
(11,16),(11,19),0.522657 # DEPENDENCYPART_SIBL
(11,16),(11,22),0.257512 # DEPENDENCYPART_SIBL
(11,16),(11,23),0.263951 # DEPENDENCYPART_SIBL
(11,16),(11,24),0.407798 # DEPENDENCYPART_SIBL
(11,17),(11,18),-0.562972 # DEPENDENCYPART_SIBL
(11,17),(11,19),-0.00429348 # DEPENDENCYPART_SIBL
(11,17),(11,22),-0.342796 # DEPENDENCYPART_SIBL
