# _root_ During the takeover , Mr. Hahn said he would put his account up for review if WPP 's bid were successful , but he did n't .
#goldHeads=7,3,1,7,6,7,23,9,7,9,12,10,10,13,14,20,19,17,20,10,20,23,0,25,23,25,23,
#predictedHeads=7,3,1,7,6,7,23,9,7,9,12,10,10,10,14,20,19,17,20,10,20,23,0,25,23,25,23,
(3,23),(23,15),(23,5),0.119144 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,15),(23,4),0.0798863 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,15),(23,3),0.119161 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,15),(23,2),-0.145094 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,15),(23,1),-0.145609 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,15),(23,-1),-0.18763 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,23),(23,14),(23,12),0.104928 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,14),(23,10),0.10644 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,14),(23,9),0.109525 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,14),(23,8),0.109536 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,14),(23,7),0.10644 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,14),(23,6),0.104928 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,14),(23,5),0.104926 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,14),(23,4),0.104849 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,14),(23,3),0.104928 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,14),(23,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,14),(23,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,14),(23,-1),-0.0821974 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,23),(23,12),(23,10),0.0968896 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,12),(23,9),0.106858 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,12),(23,8),0.108002 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,12),(23,7),0.0968887 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,12),(23,6),0.119238 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,12),(23,5),0.119221 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,12),(23,4),0.079886 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,12),(23,3),0.119238 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,12),(23,2),-0.145094 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,12),(23,1),-0.145609 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,12),(23,-1),-0.190228 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,23),(23,10),(23,9),0.105316 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,10),(23,8),0.0974505 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,10),(23,7),0.101891 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,10),(23,6),0.0851713 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,10),(23,5),0.0851704 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,10),(23,4),0.109464 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,10),(23,3),0.0851713 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,10),(23,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,10),(23,1),-0.144713 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,10),(23,-1),-0.136451 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,23),(23,9),(23,8),0.113308 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,9),(23,7),0.108578 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,9),(23,6),0.104905 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,9),(23,5),0.104905 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,9),(23,4),0.108594 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,9),(23,3),0.104905 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,9),(23,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,9),(23,1),-0.144837 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,9),(23,-1),-0.134125 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,23),(23,8),(23,7),0.106893 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,8),(23,6),0.108086 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,8),(23,5),0.108086 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,8),(23,4),0.105604 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,8),(23,3),0.108086 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,8),(23,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,8),(23,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,8),(23,-1),-0.159492 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,23),(23,7),(23,6),0.0840525 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,7),(23,5),0.0840516 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,7),(23,4),0.108902 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,7),(23,3),0.0840525 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,7),(23,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,7),(23,1),-0.144713 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,7),(23,-1),-0.133049 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,23),(23,6),(23,5),0.119445 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,6),(23,4),0.0798863 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,6),(23,3),0.119461 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,6),(23,2),-0.145094 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,6),(23,1),-0.145609 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,6),(23,-1),-0.190197 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,23),(23,5),(23,4),0.0798863 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,5),(23,3),0.11946 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,5),(23,2),-0.145094 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,5),(23,1),-0.145609 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,5),(23,-1),-0.207632 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,23),(23,4),(23,3),0.0958645 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,4),(23,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,4),(23,1),-0.146252 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,4),(23,-1),-0.171643 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,23),(23,3),(23,2),-0.145094 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,23),(23,3),(23,1),-0.145609 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,23),(23,3),(23,-1),-0.190206 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,23),(23,2),(23,1),-0.144704 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,2),(23,-1),-0.111815 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,23),(23,1),(23,-1),-0.0958281 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,25),(25,25),(25,26),0.00414897 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,25),(25,25),(25,27),-0.0230578 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,25),(25,25),(25,28),0.0584523 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,25),(25,26),(25,27),-0.0277419 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,26),(25,28),0.0245415 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,25),(25,27),(25,28),-0.0609297 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,25),(25,25),(25,24),0.118179 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,25),(25,25),(25,23),0.120724 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,25),(25,25),(25,22),0.113726 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,25),(25,25),(25,21),0.0494695 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,25),(25,25),(25,20),0.133904 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,25),(25,25),(25,19),0.124367 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,25),(25,25),(25,16),0.162151 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,25),(25,25),(25,14),0.1685 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,25),(25,25),(25,12),0.126514 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,25),(25,25),(25,10),0.135141 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,25),(25,25),(25,9),0.101925 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,25),(25,25),(25,8),0.118179 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,25),(25,25),(25,7),0.136403 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,25),(25,25),(25,6),0.12674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,25),(25,25),(25,4),0.113726 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,25),(25,25),(25,3),0.126422 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,25),(25,25),(25,1),-0.172106 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,25),(25,25),(25,-1),-0.0260691 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,25),(25,24),(25,23),0.108307 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,24),(25,22),0.0998718 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,24),(25,21),0.112786 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,24),(25,20),0.109009 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,24),(25,19),0.103508 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,24),(25,16),0.0763806 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,24),(25,14),0.0802347 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,24),(25,12),0.103508 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,24),(25,10),0.109009 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,24),(25,9),0.109016 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,24),(25,8),0.109509 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,24),(25,7),0.109009 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,24),(25,6),0.103508 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,24),(25,4),0.0998718 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,24),(25,3),0.103508 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,24),(25,1),-0.144745 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,24),(25,-1),0.00610169 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,25),(25,23),(25,22),0.0897675 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,23),(25,21),0.0589989 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,23),(25,20),0.287214 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,23),(25,19),-0.0225908 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,23),(25,16),0.308488 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,23),(25,14),0.343118 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,23),(25,12),0.0462396 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,23),(25,10),0.214431 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,23),(25,9),0.163968 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,23),(25,8),0.154055 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,23),(25,7),0.204915 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,23),(25,6),0.0369742 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,23),(25,4),0.198683 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,23),(25,3),0.108533 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,23),(25,1),0.0482319 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,23),(25,-1),-0.149023 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,25),(25,22),(25,21),0.104855 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,22),(25,20),0.122376 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,22),(25,19),0.119937 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,22),(25,16),0.137162 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,22),(25,14),0.136528 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,22),(25,12),0.119937 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,22),(25,10),0.123234 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,22),(25,9),0.115712 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,22),(25,8),0.110688 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,22),(25,7),0.123238 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,22),(25,6),0.119937 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,22),(25,4),0.109063 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,22),(25,3),0.119937 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,22),(25,1),-0.145222 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,22),(25,-1),-0.208607 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,25),(25,21),(25,20),0.109496 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,21),(25,19),0.108638 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,21),(25,16),0.110732 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,21),(25,14),0.110739 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,21),(25,12),0.108638 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,21),(25,10),0.109496 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,21),(25,9),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,21),(25,8),0.10946 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,21),(25,7),0.109496 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,21),(25,6),0.108638 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,21),(25,4),0.113755 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,21),(25,3),0.108638 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,21),(25,1),-0.144877 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,21),(25,-1),-0.225916 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,25),(25,20),(25,19),0.107552 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,20),(25,16),0.101783 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,20),(25,14),0.102334 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,20),(25,12),0.107552 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,20),(25,10),0.109402 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,20),(25,9),0.109495 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,20),(25,8),0.107224 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,20),(25,7),0.109402 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,20),(25,6),0.107552 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,20),(25,4),0.114423 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,20),(25,3),0.107552 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,20),(25,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,20),(25,-1),-0.157701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,25),(25,19),(25,16),0.102431 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,19),(25,14),0.115356 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,19),(25,12),0.0939946 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,19),(25,10),0.103748 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,19),(25,9),0.112078 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,19),(25,8),0.109113 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,19),(25,7),0.103629 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,19),(25,6),0.093995 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,19),(25,4),0.0646585 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,19),(25,3),0.093995 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,19),(25,1),-0.145537 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,19),(25,-1),-0.0884991 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,25),(25,16),(25,14),0.112099 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,16),(25,12),0.101658 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,16),(25,10),0.108929 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,16),(25,9),0.109371 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,16),(25,8),0.109423 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,16),(25,7),0.108929 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,16),(25,6),0.101658 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,16),(25,4),0.156066 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,16),(25,3),0.101658 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,16),(25,1),-0.145076 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,16),(25,-1),-0.230323 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,25),(25,14),(25,12),0.099808 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,14),(25,10),0.108881 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,14),(25,9),0.109376 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,14),(25,8),0.109423 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,14),(25,7),0.108881 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,14),(25,6),0.099808 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,14),(25,4),0.153904 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,14),(25,3),0.099808 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,14),(25,1),-0.145076 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,14),(25,-1),-0.215405 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,25),(25,12),(25,10),0.103748 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,12),(25,9),0.112078 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,12),(25,8),0.109113 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,12),(25,7),0.103629 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,12),(25,6),0.093995 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,12),(25,4),0.0646585 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,12),(25,3),0.093995 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,12),(25,1),-0.145537 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,12),(25,-1),-0.0861173 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,25),(25,10),(25,9),0.109495 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,10),(25,8),0.107224 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,10),(25,7),0.109439 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,10),(25,6),0.107566 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,10),(25,4),0.114424 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,10),(25,3),0.107565 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,10),(25,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,10),(25,-1),-0.157521 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,25),(25,9),(25,8),0.109511 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,9),(25,7),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,9),(25,6),0.108876 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,9),(25,4),0.109324 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,9),(25,3),0.108876 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,9),(25,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,9),(25,-1),-0.147155 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,25),(25,8),(25,7),0.109009 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,8),(25,6),0.103508 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,8),(25,4),0.0998718 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,8),(25,3),0.103508 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,8),(25,1),-0.144745 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,8),(25,-1),0.00610169 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,25),(25,7),(25,6),0.107559 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,7),(25,4),0.114421 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,7),(25,3),0.107558 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,7),(25,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,7),(25,-1),-0.158392 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,25),(25,6),(25,4),0.0646585 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,6),(25,3),0.093995 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,6),(25,1),-0.145537 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,6),(25,-1),-0.0861283 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,25),(25,4),(25,3),0.119937 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,4),(25,1),-0.145222 # DEPENDENCYPART_GRANDSIBL
(3,25),(25,4),(25,-1),-0.208607 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,25),(25,3),(25,1),-0.145537 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,25),(25,3),(25,-1),-0.0864468 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,25),(25,1),(25,-1),-0.224371 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,27),(27,27),(27,28),0.00397895 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,27),(27,27),(27,-1),-0.112603 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,2),(2,2),(2,3),0.0992386 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,28),0.0897726 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,2),(2,3),(2,28),-0.154196 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,2),(2,1),-0.0275742 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,-1),0.208956 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,2),(2,1),(2,-1),-0.0354189 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,3),(3,4),0.181674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,5),-0.15646 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,6),-0.15646 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,7),-0.172273 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,9),-0.148305 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,10),-0.172272 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,22),-0.145466 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,23),-0.149974 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,25),-0.172272 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,27),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,28),-0.019824 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,3),(3,4),(3,5),-0.14942 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,6),-0.14942 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,7),-0.146635 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,9),-0.145749 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,10),-0.146635 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,23),-0.148964 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,25),-0.146635 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,28),-0.0338126 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,5),(3,6),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,7),-0.14473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,9),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,10),-0.14473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,22),-0.145732 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,23),-0.144705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,25),-0.14473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,27),-0.144801 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,28),-0.184068 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,3),(3,6),(3,7),-0.14473 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,6),(3,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,6),(3,10),-0.14473 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,6),(3,22),-0.145732 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,6),(3,23),-0.144705 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,6),(3,25),-0.14473 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,6),(3,27),-0.144801 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,6),(3,28),-0.174754 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,7),(3,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,7),(3,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,7),(3,22),-0.145956 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,7),(3,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,7),(3,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,7),(3,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
