# _root_ These procedures consume millions of man-hours of labor and produce tons of paper , and each year , their end product -- the Five Year Defense Plan -- promptly melts away .
#goldHeads=2,9,9,3,4,5,6,7,15,9,10,11,12,15,0,17,30,30,21,21,30,27,27,27,27,27,21,27,30,15,30,15,
#predictedHeads=2,9,9,3,4,5,6,7,15,9,10,11,12,15,0,17,11,11,21,21,30,27,27,27,27,27,21,27,30,15,30,15,
(10,29),(10,33),-0.226625 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,30),(10,31),-0.743364 # DEPENDENCYPART_NEXTSIBL
(10,30),(10,32),0.0394689 # DEPENDENCYPART_NEXTSIBL
(10,30),(10,33),-0.625074 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,31),(10,32),-0.567815 # DEPENDENCYPART_NEXTSIBL
(10,31),(10,33),0.139166 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,32),(10,33),-1.86622 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,10),(10,9),-0.0334225 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,8),-0.0758024 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,7),-0.351105 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,6),-0.112177 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,4),0.000595112 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,3),-0.152541 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,2),-0.269543 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,-1),-0.525813 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(10,9),(10,8),-0.598934 # DEPENDENCYPART_NEXTSIBL
(10,9),(10,7),-0.396286 # DEPENDENCYPART_NEXTSIBL
(10,9),(10,6),-0.755178 # DEPENDENCYPART_NEXTSIBL
(10,9),(10,4),-0.806403 # DEPENDENCYPART_NEXTSIBL
(10,9),(10,3),-0.599323 # DEPENDENCYPART_NEXTSIBL
(10,9),(10,2),-0.794431 # DEPENDENCYPART_NEXTSIBL
(10,9),(10,-1),-0.474766 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,8),(10,7),-0.908889 # DEPENDENCYPART_NEXTSIBL
(10,8),(10,6),-1.36124 # DEPENDENCYPART_NEXTSIBL
(10,8),(10,4),-1.65514 # DEPENDENCYPART_NEXTSIBL
(10,8),(10,3),-1.07915 # DEPENDENCYPART_NEXTSIBL
(10,8),(10,2),-1.59497 # DEPENDENCYPART_NEXTSIBL
(10,8),(10,-1),-0.651861 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,7),(10,6),-0.786165 # DEPENDENCYPART_NEXTSIBL
(10,7),(10,4),-1.12022 # DEPENDENCYPART_NEXTSIBL
(10,7),(10,3),-1.14059 # DEPENDENCYPART_NEXTSIBL
(10,7),(10,2),-1.23656 # DEPENDENCYPART_NEXTSIBL
(10,7),(10,-1),-0.627646 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,6),(10,4),-1.54587 # DEPENDENCYPART_NEXTSIBL
(10,6),(10,3),-1.21321 # DEPENDENCYPART_NEXTSIBL
(10,6),(10,2),-1.66953 # DEPENDENCYPART_NEXTSIBL
(10,6),(10,-1),-0.719883 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,4),(10,3),-0.908047 # DEPENDENCYPART_NEXTSIBL
(10,4),(10,2),-1.28142 # DEPENDENCYPART_NEXTSIBL
(10,4),(10,-1),-0.867133 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,3),(10,2),-0.772267 # DEPENDENCYPART_NEXTSIBL
(10,3),(10,-1),-0.88198 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,2),(10,-1),-0.633056 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,11),(11,12),-0.21774 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,13),-0.399097 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,14),-0.629118 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,15),0.0889692 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,16),-0.368753 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,17),-0.66318 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,18),-0.910833 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,20),-0.42812 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,21),0.175262 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,22),-0.668287 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,27),0.0753314 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,28),-0.909656 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,30),0.371955 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,33),-0.246076 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(11,12),(11,13),-0.722394 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,14),-0.445961 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,15),-0.772953 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,16),-0.739594 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,17),-0.574743 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,18),-0.362369 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,20),-0.667472 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,21),-0.628694 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,22),-0.514634 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,27),-0.65158 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,28),-0.661048 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,30),-0.509556 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,33),-0.32646 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,13),(11,14),-0.401 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,15),-1.21618 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,16),-1.03658 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,17),-1.15836 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,18),-0.58903 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,20),-0.938329 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,21),-1.23486 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,22),-0.755771 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,27),-1.26368 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,28),-0.847774 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,30),-0.887206 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,33),-0.603495 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,14),(11,15),-0.486342 # DEPENDENCYPART_NEXTSIBL
(11,14),(11,16),-0.72259 # DEPENDENCYPART_NEXTSIBL
(11,14),(11,17),-0.641353 # DEPENDENCYPART_NEXTSIBL
(11,14),(11,18),-1.41926 # DEPENDENCYPART_NEXTSIBL
(11,14),(11,20),-0.753824 # DEPENDENCYPART_NEXTSIBL
(11,14),(11,21),-0.707397 # DEPENDENCYPART_NEXTSIBL
(11,14),(11,22),-1.15602 # DEPENDENCYPART_NEXTSIBL
(11,14),(11,27),-0.566907 # DEPENDENCYPART_NEXTSIBL
(11,14),(11,28),-1.34272 # DEPENDENCYPART_NEXTSIBL
(11,14),(11,30),-1.16323 # DEPENDENCYPART_NEXTSIBL
(11,14),(11,33),-0.650166 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,15),(11,16),-0.651885 # DEPENDENCYPART_NEXTSIBL
(11,15),(11,17),-0.771153 # DEPENDENCYPART_NEXTSIBL
(11,15),(11,18),-0.173402 # DEPENDENCYPART_NEXTSIBL
(11,15),(11,20),-0.652993 # DEPENDENCYPART_NEXTSIBL
(11,15),(11,21),-0.838599 # DEPENDENCYPART_NEXTSIBL
(11,15),(11,22),-0.454822 # DEPENDENCYPART_NEXTSIBL
(11,15),(11,27),-0.890619 # DEPENDENCYPART_NEXTSIBL
(11,15),(11,28),-0.512459 # DEPENDENCYPART_NEXTSIBL
(11,15),(11,30),-0.637785 # DEPENDENCYPART_NEXTSIBL
(11,15),(11,33),-0.227273 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,16),(11,17),-0.829324 # DEPENDENCYPART_NEXTSIBL
(11,16),(11,18),-0.884983 # DEPENDENCYPART_NEXTSIBL
(11,16),(11,20),-1.06763 # DEPENDENCYPART_NEXTSIBL
(11,16),(11,21),-1.03443 # DEPENDENCYPART_NEXTSIBL
(11,16),(11,22),-0.757245 # DEPENDENCYPART_NEXTSIBL
(11,16),(11,27),-0.977784 # DEPENDENCYPART_NEXTSIBL
(11,16),(11,28),-0.597783 # DEPENDENCYPART_NEXTSIBL
(11,16),(11,30),-1.01998 # DEPENDENCYPART_NEXTSIBL
(11,16),(11,33),-0.531332 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,17),(11,18),-0.331019 # DEPENDENCYPART_NEXTSIBL
(11,17),(11,20),-0.877797 # DEPENDENCYPART_NEXTSIBL
(11,17),(11,21),-1.10647 # DEPENDENCYPART_NEXTSIBL
(11,17),(11,22),-0.661568 # DEPENDENCYPART_NEXTSIBL
(11,17),(11,27),-1.13236 # DEPENDENCYPART_NEXTSIBL
(11,17),(11,28),-0.693091 # DEPENDENCYPART_NEXTSIBL
(11,17),(11,30),-0.687431 # DEPENDENCYPART_NEXTSIBL
(11,17),(11,33),-0.341225 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,18),(11,20),-0.218807 # DEPENDENCYPART_NEXTSIBL
(11,18),(11,21),-0.311724 # DEPENDENCYPART_NEXTSIBL
(11,18),(11,22),-0.773193 # DEPENDENCYPART_NEXTSIBL
(11,18),(11,27),-0.143663 # DEPENDENCYPART_NEXTSIBL
(11,18),(11,28),-0.968152 # DEPENDENCYPART_NEXTSIBL
(11,18),(11,30),-0.679639 # DEPENDENCYPART_NEXTSIBL
(11,18),(11,33),-0.414135 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,20),(11,21),-0.855307 # DEPENDENCYPART_NEXTSIBL
(11,20),(11,22),-0.784155 # DEPENDENCYPART_NEXTSIBL
(11,20),(11,27),-1.20515 # DEPENDENCYPART_NEXTSIBL
(11,20),(11,28),-0.769417 # DEPENDENCYPART_NEXTSIBL
(11,20),(11,30),-0.776921 # DEPENDENCYPART_NEXTSIBL
(11,20),(11,33),-0.272248 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,21),(11,22),-0.671829 # DEPENDENCYPART_NEXTSIBL
(11,21),(11,27),-0.956627 # DEPENDENCYPART_NEXTSIBL
(11,21),(11,28),-0.727948 # DEPENDENCYPART_NEXTSIBL
(11,21),(11,30),-0.638085 # DEPENDENCYPART_NEXTSIBL
(11,21),(11,33),-0.135742 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,22),(11,27),-0.174457 # DEPENDENCYPART_NEXTSIBL
(11,22),(11,28),-0.913581 # DEPENDENCYPART_NEXTSIBL
(11,22),(11,30),-0.303605 # DEPENDENCYPART_NEXTSIBL
(11,22),(11,33),-0.678076 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,27),(11,28),-0.428127 # DEPENDENCYPART_NEXTSIBL
(11,27),(11,30),-0.675416 # DEPENDENCYPART_NEXTSIBL
(11,27),(11,33),-0.180285 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,28),(11,30),-0.200278 # DEPENDENCYPART_NEXTSIBL
(11,28),(11,33),-0.243952 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,30),(11,33),-0.670093 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,11),(11,10),0.0558355 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,9),0.0758888 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,8),-0.158626 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,7),-0.263113 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,6),-0.195634 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,-1),-0.334916 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(11,10),(11,9),-0.428306 # DEPENDENCYPART_NEXTSIBL
(11,10),(11,8),-0.802301 # DEPENDENCYPART_NEXTSIBL
(11,10),(11,7),-1.00356 # DEPENDENCYPART_NEXTSIBL
(11,10),(11,6),-0.921553 # DEPENDENCYPART_NEXTSIBL
(11,10),(11,-1),-0.86284 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,9),(11,8),-0.4659 # DEPENDENCYPART_NEXTSIBL
(11,9),(11,7),-0.395422 # DEPENDENCYPART_NEXTSIBL
(11,9),(11,6),-0.621848 # DEPENDENCYPART_NEXTSIBL
(11,9),(11,-1),-0.580266 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,8),(11,7),-0.867453 # DEPENDENCYPART_NEXTSIBL
(11,8),(11,6),-1.11598 # DEPENDENCYPART_NEXTSIBL
(11,8),(11,-1),-0.492614 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,7),(11,6),-0.732984 # DEPENDENCYPART_NEXTSIBL
(11,7),(11,-1),-0.495822 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,6),(11,-1),-0.556737 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,12),(12,13),-0.131167 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,15),0.200543 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,17),-0.463103 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,21),0.493264 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,33),-0.766316 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(12,13),(12,15),-1.34266 # DEPENDENCYPART_NEXTSIBL
(12,13),(12,17),-1.29727 # DEPENDENCYPART_NEXTSIBL
(12,13),(12,21),-1.34428 # DEPENDENCYPART_NEXTSIBL
(12,13),(12,33),-0.387448 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,15),(12,17),-0.899288 # DEPENDENCYPART_NEXTSIBL
(12,15),(12,21),-0.934946 # DEPENDENCYPART_NEXTSIBL
(12,15),(12,33),-0.279613 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,17),(12,21),-1.23123 # DEPENDENCYPART_NEXTSIBL
(12,17),(12,33),-0.188356 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,21),(12,33),0.126863 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,12),(12,11),0.138877 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,-1),-0.112178 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(12,11),(12,-1),-1.08014 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,13),(13,14),-0.649465 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,15),0.0799343 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,16),-0.365924 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,17),-0.680712 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,18),-0.931179 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,20),-0.427388 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,21),0.16625 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,22),-0.660941 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,26),-0.539583 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,27),0.0663199 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,28),-0.90231 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,29),-0.00140146 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,30),0.350794 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,31),0.558282 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,32),-0.889468 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,33),-0.223395 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(13,14),(13,15),-0.495044 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,16),-0.72652 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,17),-0.661298 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,18),-1.42902 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,20),-0.756429 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,21),-0.721976 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,22),-1.1565 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,26),-0.713073 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,27),-0.581485 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,28),-1.3432 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,29),-1.24372 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,30),-1.176 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,31),-1.29464 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,32),-1.69926 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,33),-0.649756 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,15),(13,16),-0.654403 # DEPENDENCYPART_NEXTSIBL
(13,15),(13,17),-0.782925 # DEPENDENCYPART_NEXTSIBL
(13,15),(13,18),-0.181794 # DEPENDENCYPART_NEXTSIBL
(13,15),(13,20),-0.655755 # DEPENDENCYPART_NEXTSIBL
(13,15),(13,21),-0.845004 # DEPENDENCYPART_NEXTSIBL
(13,15),(13,22),-0.453876 # DEPENDENCYPART_NEXTSIBL
(13,15),(13,26),-0.856473 # DEPENDENCYPART_NEXTSIBL
(13,15),(13,27),-0.897024 # DEPENDENCYPART_NEXTSIBL
(13,15),(13,28),-0.511512 # DEPENDENCYPART_NEXTSIBL
(13,15),(13,29),-0.672397 # DEPENDENCYPART_NEXTSIBL
(13,15),(13,30),-0.649884 # DEPENDENCYPART_NEXTSIBL
(13,15),(13,31),-0.767491 # DEPENDENCYPART_NEXTSIBL
(13,15),(13,32),-1.49624 # DEPENDENCYPART_NEXTSIBL
(13,15),(13,33),-0.236602 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,16),(13,17),-0.835613 # DEPENDENCYPART_NEXTSIBL
(13,16),(13,18),-0.888913 # DEPENDENCYPART_NEXTSIBL
(13,16),(13,20),-1.06594 # DEPENDENCYPART_NEXTSIBL
(13,16),(13,21),-1.0359 # DEPENDENCYPART_NEXTSIBL
(13,16),(13,22),-0.751871 # DEPENDENCYPART_NEXTSIBL
(13,16),(13,26),-0.99702 # DEPENDENCYPART_NEXTSIBL
(13,16),(13,27),-0.979258 # DEPENDENCYPART_NEXTSIBL
(13,16),(13,28),-0.592409 # DEPENDENCYPART_NEXTSIBL
(13,16),(13,29),-1.0717 # DEPENDENCYPART_NEXTSIBL
(13,16),(13,30),-1.02763 # DEPENDENCYPART_NEXTSIBL
(13,16),(13,31),-1.16959 # DEPENDENCYPART_NEXTSIBL
(13,16),(13,32),-1.351 # DEPENDENCYPART_NEXTSIBL
(13,16),(13,33),-0.529576 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,17),(13,18),-0.342863 # DEPENDENCYPART_NEXTSIBL
(13,17),(13,20),-0.885398 # DEPENDENCYPART_NEXTSIBL
(13,17),(13,21),-1.11776 # DEPENDENCYPART_NEXTSIBL
(13,17),(13,22),-0.663062 # DEPENDENCYPART_NEXTSIBL
(13,17),(13,26),-1.09435 # DEPENDENCYPART_NEXTSIBL
(13,17),(13,27),-1.14365 # DEPENDENCYPART_NEXTSIBL
(13,17),(13,28),-0.694585 # DEPENDENCYPART_NEXTSIBL
(13,17),(13,29),-1.01641 # DEPENDENCYPART_NEXTSIBL
(13,17),(13,30),-0.704381 # DEPENDENCYPART_NEXTSIBL
(13,17),(13,31),-1.11372 # DEPENDENCYPART_NEXTSIBL
(13,17),(13,32),-0.59857 # DEPENDENCYPART_NEXTSIBL
(13,17),(13,33),-0.374527 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,18),(13,20),-0.221413 # DEPENDENCYPART_NEXTSIBL
(13,18),(13,21),-0.326302 # DEPENDENCYPART_NEXTSIBL
(13,18),(13,22),-0.773668 # DEPENDENCYPART_NEXTSIBL
(13,18),(13,26),-0.302665 # DEPENDENCYPART_NEXTSIBL
(13,18),(13,27),-0.158242 # DEPENDENCYPART_NEXTSIBL
(13,18),(13,28),-0.968627 # DEPENDENCYPART_NEXTSIBL
(13,18),(13,29),-0.853326 # DEPENDENCYPART_NEXTSIBL
(13,18),(13,30),-0.692415 # DEPENDENCYPART_NEXTSIBL
(13,18),(13,31),-0.933974 # DEPENDENCYPART_NEXTSIBL
(13,18),(13,32),-1.18251 # DEPENDENCYPART_NEXTSIBL
(13,18),(13,33),-0.413725 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,20),(13,21),-0.857552 # DEPENDENCYPART_NEXTSIBL
(13,20),(13,22),-0.779005 # DEPENDENCYPART_NEXTSIBL
(13,20),(13,26),-1.12857 # DEPENDENCYPART_NEXTSIBL
(13,20),(13,27),-1.2074 # DEPENDENCYPART_NEXTSIBL
(13,20),(13,28),-0.764267 # DEPENDENCYPART_NEXTSIBL
(13,20),(13,29),-0.965751 # DEPENDENCYPART_NEXTSIBL
(13,20),(13,30),-0.784797 # DEPENDENCYPART_NEXTSIBL
(13,20),(13,31),-1.02954 # DEPENDENCYPART_NEXTSIBL
(13,20),(13,32),-0.662772 # DEPENDENCYPART_NEXTSIBL
(13,20),(13,33),-0.271604 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,21),(13,22),-0.667957 # DEPENDENCYPART_NEXTSIBL
(13,21),(13,26),-0.948203 # DEPENDENCYPART_NEXTSIBL
(13,21),(13,27),-0.96255 # DEPENDENCYPART_NEXTSIBL
(13,21),(13,28),-0.724075 # DEPENDENCYPART_NEXTSIBL
(13,21),(13,29),-0.894036 # DEPENDENCYPART_NEXTSIBL
(13,21),(13,30),-0.649669 # DEPENDENCYPART_NEXTSIBL
(13,21),(13,31),-0.963384 # DEPENDENCYPART_NEXTSIBL
(13,21),(13,32),-0.31111 # DEPENDENCYPART_NEXTSIBL
(13,21),(13,33),-0.157589 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,22),(13,26),-0.177794 # DEPENDENCYPART_NEXTSIBL
(13,22),(13,27),-0.168107 # DEPENDENCYPART_NEXTSIBL
(13,22),(13,28),-0.904741 # DEPENDENCYPART_NEXTSIBL
(13,22),(13,29),-0.557351 # DEPENDENCYPART_NEXTSIBL
(13,22),(13,30),-0.30935 # DEPENDENCYPART_NEXTSIBL
(13,22),(13,31),-0.582469 # DEPENDENCYPART_NEXTSIBL
(13,22),(13,32),-0.816154 # DEPENDENCYPART_NEXTSIBL
(13,22),(13,33),-0.673655 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,26),(13,27),-0.923009 # DEPENDENCYPART_NEXTSIBL
(13,26),(13,28),-0.729624 # DEPENDENCYPART_NEXTSIBL
(13,26),(13,29),-0.951898 # DEPENDENCYPART_NEXTSIBL
(13,26),(13,30),-0.879144 # DEPENDENCYPART_NEXTSIBL
(13,26),(13,31),-1.02322 # DEPENDENCYPART_NEXTSIBL
(13,26),(13,32),-0.465359 # DEPENDENCYPART_NEXTSIBL
(13,26),(13,33),-0.437055 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,27),(13,28),-0.424255 # DEPENDENCYPART_NEXTSIBL
(13,27),(13,29),-0.740349 # DEPENDENCYPART_NEXTSIBL
(13,27),(13,30),-0.687 # DEPENDENCYPART_NEXTSIBL
(13,27),(13,31),-0.800417 # DEPENDENCYPART_NEXTSIBL
(13,27),(13,32),-0.350574 # DEPENDENCYPART_NEXTSIBL
(13,27),(13,33),-0.202132 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,28),(13,29),-0.451666 # DEPENDENCYPART_NEXTSIBL
(13,28),(13,30),-0.206023 # DEPENDENCYPART_NEXTSIBL
(13,28),(13,31),-0.527556 # DEPENDENCYPART_NEXTSIBL
(13,28),(13,32),-0.797194 # DEPENDENCYPART_NEXTSIBL
(13,28),(13,33),-0.239531 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,29),(13,30),-0.518741 # DEPENDENCYPART_NEXTSIBL
(13,29),(13,31),-1.05468 # DEPENDENCYPART_NEXTSIBL
(13,29),(13,32),-0.985618 # DEPENDENCYPART_NEXTSIBL
(13,29),(13,33),-0.233353 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,30),(13,31),-0.728346 # DEPENDENCYPART_NEXTSIBL
(13,30),(13,32),0.0610489 # DEPENDENCYPART_NEXTSIBL
(13,30),(13,33),-0.687516 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,31),(13,32),-0.592664 # DEPENDENCYPART_NEXTSIBL
(13,31),(13,33),0.0914624 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,32),(13,33),-1.7811 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,13),(13,12),-0.359468 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,11),0.221236 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,-1),-0.31668 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(13,12),(13,11),-0.810587 # DEPENDENCYPART_NEXTSIBL
(13,12),(13,-1),-0.472246 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,11),(13,-1),-0.948601 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,14),(14,33),-0.0672377 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(14,14),(14,-1),-0.159702 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(15,15),(15,16),-0.385473 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,17),-0.682851 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,18),-1.04476 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,20),-0.258481 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,21),0.237187 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,22),-0.76543 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,25),-0.507214 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,26),-0.402589 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,27),0.193942 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,28),-1.0068 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,30),0.456007 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,32),-1.02562 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,33),-0.528794 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(15,16),(15,17),-0.862447 # DEPENDENCYPART_NEXTSIBL
