# _root_ The French group has an agreement giving it the right to buy all the shares outstanding , and this could be completed within a few months , a BSN spokeswoman said .
#goldHeads=3,3,4,31,6,4,6,7,10,7,10,11,15,15,12,15,4,4,20,18,20,21,22,26,26,23,4,30,30,31,0,31,
#predictedHeads=3,3,4,31,6,4,6,7,10,7,10,11,15,15,12,15,4,4,20,18,20,21,22,26,26,23,31,30,30,31,0,31,
(15,13),(15,26),0.0465427 # DEPENDENCYPART_SIBL
(15,13),(15,27),-0.00508165 # DEPENDENCYPART_SIBL
(15,13),(15,30),-0.0435305 # DEPENDENCYPART_SIBL
(15,14),(15,16),0.206731 # DEPENDENCYPART_SIBL
(15,14),(15,17),-0.0425836 # DEPENDENCYPART_SIBL
(15,14),(15,18),-0.0356411 # DEPENDENCYPART_SIBL
(15,14),(15,19),-0.0314736 # DEPENDENCYPART_SIBL
(15,14),(15,20),0.123698 # DEPENDENCYPART_SIBL
(15,14),(15,21),-0.0633006 # DEPENDENCYPART_SIBL
(15,14),(15,22),0.106223 # DEPENDENCYPART_SIBL
(15,14),(15,23),-0.144275 # DEPENDENCYPART_SIBL
(15,14),(15,26),-0.0568427 # DEPENDENCYPART_SIBL
(15,14),(15,27),-0.0425836 # DEPENDENCYPART_SIBL
(15,14),(15,30),-0.0726471 # DEPENDENCYPART_SIBL
(15,16),(15,17),0.0721451 # DEPENDENCYPART_SIBL
(15,16),(15,18),0.0662805 # DEPENDENCYPART_SIBL
(15,16),(15,19),0.0772278 # DEPENDENCYPART_SIBL
(15,16),(15,20),0.0730943 # DEPENDENCYPART_SIBL
(15,16),(15,21),0.0530293 # DEPENDENCYPART_SIBL
(15,16),(15,22),0.137128 # DEPENDENCYPART_SIBL
(15,16),(15,23),0.109745 # DEPENDENCYPART_SIBL
(15,16),(15,26),0.0426685 # DEPENDENCYPART_SIBL
(15,16),(15,27),0.0721451 # DEPENDENCYPART_SIBL
(15,16),(15,30),0.00936789 # DEPENDENCYPART_SIBL
(15,17),(15,18),0.662649 # DEPENDENCYPART_SIBL
(15,17),(15,19),0.46851 # DEPENDENCYPART_SIBL
(15,17),(15,20),0.660228 # DEPENDENCYPART_SIBL
(15,17),(15,21),0.562955 # DEPENDENCYPART_SIBL
(15,17),(15,22),0.622355 # DEPENDENCYPART_SIBL
(15,17),(15,23),0.444677 # DEPENDENCYPART_SIBL
(15,17),(15,26),0.815066 # DEPENDENCYPART_SIBL
(15,17),(15,27),0.223727 # DEPENDENCYPART_SIBL
(15,17),(15,30),0.669536 # DEPENDENCYPART_SIBL
(15,18),(15,19),0.00263766 # DEPENDENCYPART_SIBL
(15,18),(15,20),-0.0141751 # DEPENDENCYPART_SIBL
(15,18),(15,21),-0.165836 # DEPENDENCYPART_SIBL
(15,18),(15,22),-0.00655589 # DEPENDENCYPART_SIBL
(15,18),(15,23),-0.0834593 # DEPENDENCYPART_SIBL
(15,18),(15,26),-0.0522491 # DEPENDENCYPART_SIBL
(15,18),(15,27),-0.0649186 # DEPENDENCYPART_SIBL
(15,18),(15,30),-0.0414437 # DEPENDENCYPART_SIBL
(15,19),(15,20),-0.0951274 # DEPENDENCYPART_SIBL
(15,19),(15,21),-0.0739113 # DEPENDENCYPART_SIBL
(15,19),(15,22),-0.0405443 # DEPENDENCYPART_SIBL
(15,19),(15,23),-0.050289 # DEPENDENCYPART_SIBL
(15,19),(15,26),-0.0107053 # DEPENDENCYPART_SIBL
(15,19),(15,27),-0.0459699 # DEPENDENCYPART_SIBL
(15,19),(15,30),-0.0266585 # DEPENDENCYPART_SIBL
(15,20),(15,21),-0.0604215 # DEPENDENCYPART_SIBL
(15,20),(15,22),-0.00946612 # DEPENDENCYPART_SIBL
(15,20),(15,23),-0.0152335 # DEPENDENCYPART_SIBL
(15,20),(15,26),0.020133 # DEPENDENCYPART_SIBL
(15,20),(15,27),0.0697799 # DEPENDENCYPART_SIBL
(15,20),(15,30),0.00678676 # DEPENDENCYPART_SIBL
(15,21),(15,22),-0.0789297 # DEPENDENCYPART_SIBL
(15,21),(15,23),-0.0253431 # DEPENDENCYPART_SIBL
(15,21),(15,26),0.0228732 # DEPENDENCYPART_SIBL
(15,21),(15,27),0.0853454 # DEPENDENCYPART_SIBL
(15,21),(15,30),-0.0990242 # DEPENDENCYPART_SIBL
(15,22),(15,23),-0.0242221 # DEPENDENCYPART_SIBL
(15,22),(15,26),0.00217116 # DEPENDENCYPART_SIBL
(15,22),(15,27),0.278549 # DEPENDENCYPART_SIBL
(15,22),(15,30),-0.103131 # DEPENDENCYPART_SIBL
(15,23),(15,26),0.0010212 # DEPENDENCYPART_SIBL
(15,23),(15,27),0.0308129 # DEPENDENCYPART_SIBL
(15,23),(15,30),-0.0373823 # DEPENDENCYPART_SIBL
(15,26),(15,27),-0.0888549 # DEPENDENCYPART_SIBL
(15,26),(15,30),-0.112522 # DEPENDENCYPART_SIBL
(15,27),(15,30),0.669536 # DEPENDENCYPART_SIBL
(16,13),(16,14),0.118038 # DEPENDENCYPART_SIBL
(16,13),(16,15),-0.0682915 # DEPENDENCYPART_SIBL
(16,13),(16,17),-0.153048 # DEPENDENCYPART_SIBL
(16,13),(16,18),-0.131782 # DEPENDENCYPART_SIBL
(16,13),(16,19),-0.0509985 # DEPENDENCYPART_SIBL
(16,13),(16,20),0.0372868 # DEPENDENCYPART_SIBL
(16,13),(16,21),-0.0729742 # DEPENDENCYPART_SIBL
(16,13),(16,23),-0.0482633 # DEPENDENCYPART_SIBL
(16,14),(16,15),-0.0793394 # DEPENDENCYPART_SIBL
(16,14),(16,17),0.00467501 # DEPENDENCYPART_SIBL
(16,14),(16,18),0.0142484 # DEPENDENCYPART_SIBL
(16,14),(16,19),0.0963058 # DEPENDENCYPART_SIBL
(16,14),(16,20),0.213844 # DEPENDENCYPART_SIBL
(16,14),(16,21),-0.0126281 # DEPENDENCYPART_SIBL
(16,14),(16,23),0.00934745 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.0273021 # DEPENDENCYPART_SIBL
(16,15),(16,18),0.15208 # DEPENDENCYPART_SIBL
(16,15),(16,19),-0.00270903 # DEPENDENCYPART_SIBL
(16,15),(16,20),0.0481825 # DEPENDENCYPART_SIBL
(16,15),(16,21),0.0504315 # DEPENDENCYPART_SIBL
(16,15),(16,23),-0.0215292 # DEPENDENCYPART_SIBL
(16,17),(16,18),0.271164 # DEPENDENCYPART_SIBL
(16,17),(16,19),0.0368001 # DEPENDENCYPART_SIBL
(16,17),(16,20),0.260188 # DEPENDENCYPART_SIBL
(16,17),(16,21),0.261636 # DEPENDENCYPART_SIBL
(16,17),(16,23),0.187637 # DEPENDENCYPART_SIBL
(16,18),(16,19),-0.0461357 # DEPENDENCYPART_SIBL
(16,18),(16,20),-0.0164621 # DEPENDENCYPART_SIBL
(16,18),(16,21),-0.159435 # DEPENDENCYPART_SIBL
(16,18),(16,23),0.00412093 # DEPENDENCYPART_SIBL
(16,19),(16,20),-0.0717899 # DEPENDENCYPART_SIBL
(16,19),(16,21),-0.0673031 # DEPENDENCYPART_SIBL
(16,19),(16,23),0.0327759 # DEPENDENCYPART_SIBL
(16,20),(16,21),-0.0997645 # DEPENDENCYPART_SIBL
(16,20),(16,23),-0.00998788 # DEPENDENCYPART_SIBL
(16,21),(16,23),0.0224678 # DEPENDENCYPART_SIBL
(18,19),(18,20),-0.376693 # DEPENDENCYPART_SIBL
(18,19),(18,21),-0.229094 # DEPENDENCYPART_SIBL
(18,19),(18,22),-0.0534893 # DEPENDENCYPART_SIBL
(18,19),(18,23),0.00674602 # DEPENDENCYPART_SIBL
(18,19),(18,26),-0.251787 # DEPENDENCYPART_SIBL
(18,19),(18,31),-0.468471 # DEPENDENCYPART_SIBL
(18,20),(18,21),-0.303388 # DEPENDENCYPART_SIBL
(18,20),(18,22),-0.0986193 # DEPENDENCYPART_SIBL
(18,20),(18,23),-0.041264 # DEPENDENCYPART_SIBL
(18,20),(18,26),-0.321949 # DEPENDENCYPART_SIBL
(18,20),(18,31),-0.683438 # DEPENDENCYPART_SIBL
(18,21),(18,22),-0.260107 # DEPENDENCYPART_SIBL
(18,21),(18,23),-0.122491 # DEPENDENCYPART_SIBL
(18,21),(18,26),-0.422336 # DEPENDENCYPART_SIBL
(18,21),(18,31),-0.632992 # DEPENDENCYPART_SIBL
(18,22),(18,23),-0.152518 # DEPENDENCYPART_SIBL
(18,22),(18,26),-0.451466 # DEPENDENCYPART_SIBL
(18,22),(18,31),-0.617435 # DEPENDENCYPART_SIBL
(18,23),(18,26),-0.298798 # DEPENDENCYPART_SIBL
(18,23),(18,31),-0.527844 # DEPENDENCYPART_SIBL
(18,26),(18,31),-0.694156 # DEPENDENCYPART_SIBL
(19,20),(19,21),-0.0734253 # DEPENDENCYPART_SIBL
(20,3),(20,4),-0.194588 # DEPENDENCYPART_SIBL
(20,3),(20,5),-0.489523 # DEPENDENCYPART_SIBL
(20,3),(20,6),-0.650815 # DEPENDENCYPART_SIBL
(20,3),(20,7),-0.21695 # DEPENDENCYPART_SIBL
(20,3),(20,8),-0.640291 # DEPENDENCYPART_SIBL
(20,3),(20,10),-0.654954 # DEPENDENCYPART_SIBL
(20,3),(20,11),-0.34564 # DEPENDENCYPART_SIBL
(20,3),(20,13),-0.519274 # DEPENDENCYPART_SIBL
(20,3),(20,14),-0.530951 # DEPENDENCYPART_SIBL
(20,3),(20,15),-0.525542 # DEPENDENCYPART_SIBL
(20,3),(20,16),-0.316914 # DEPENDENCYPART_SIBL
(20,3),(20,17),-0.13181 # DEPENDENCYPART_SIBL
(20,3),(20,19),-0.509415 # DEPENDENCYPART_SIBL
(20,3),(20,21),0.0525547 # DEPENDENCYPART_SIBL
(20,3),(20,22),-0.0516777 # DEPENDENCYPART_SIBL
(20,3),(20,23),0.00504638 # DEPENDENCYPART_SIBL
(20,3),(20,26),-0.0918471 # DEPENDENCYPART_SIBL
(20,3),(20,27),0.00880539 # DEPENDENCYPART_SIBL
(20,3),(20,30),-0.0685174 # DEPENDENCYPART_SIBL
(20,3),(20,32),0.0412964 # DEPENDENCYPART_SIBL
(20,4),(20,5),-0.0604183 # DEPENDENCYPART_SIBL
(20,4),(20,6),-0.0406428 # DEPENDENCYPART_SIBL
(20,4),(20,7),-0.0652857 # DEPENDENCYPART_SIBL
(20,4),(20,8),0.00966595 # DEPENDENCYPART_SIBL
(20,4),(20,10),-0.0431238 # DEPENDENCYPART_SIBL
(20,4),(20,11),-0.0971687 # DEPENDENCYPART_SIBL
(20,4),(20,13),-0.0864762 # DEPENDENCYPART_SIBL
(20,4),(20,14),-0.0568168 # DEPENDENCYPART_SIBL
(20,4),(20,15),-0.0577696 # DEPENDENCYPART_SIBL
(20,4),(20,16),-0.0237037 # DEPENDENCYPART_SIBL
(20,4),(20,17),0.217355 # DEPENDENCYPART_SIBL
(20,4),(20,19),-0.03292 # DEPENDENCYPART_SIBL
(20,4),(20,21),-0.0607712 # DEPENDENCYPART_SIBL
(20,4),(20,22),-0.0294162 # DEPENDENCYPART_SIBL
(20,4),(20,23),-0.019509 # DEPENDENCYPART_SIBL
(20,4),(20,26),-0.0728091 # DEPENDENCYPART_SIBL
(20,4),(20,27),-0.0211832 # DEPENDENCYPART_SIBL
(20,4),(20,30),-0.0292705 # DEPENDENCYPART_SIBL
(20,4),(20,32),0.0261272 # DEPENDENCYPART_SIBL
(20,5),(20,6),-0.214567 # DEPENDENCYPART_SIBL
(20,5),(20,7),0.0635006 # DEPENDENCYPART_SIBL
(20,5),(20,8),-0.403109 # DEPENDENCYPART_SIBL
(20,5),(20,10),-0.177946 # DEPENDENCYPART_SIBL
(20,5),(20,11),-0.321558 # DEPENDENCYPART_SIBL
(20,5),(20,13),-0.382046 # DEPENDENCYPART_SIBL
(20,5),(20,14),-0.442932 # DEPENDENCYPART_SIBL
(20,5),(20,15),-0.233777 # DEPENDENCYPART_SIBL
(20,5),(20,16),-0.0530853 # DEPENDENCYPART_SIBL
(20,5),(20,17),0.0656564 # DEPENDENCYPART_SIBL
(20,5),(20,19),-0.374346 # DEPENDENCYPART_SIBL
(20,5),(20,21),-0.144362 # DEPENDENCYPART_SIBL
(20,5),(20,22),-0.00321623 # DEPENDENCYPART_SIBL
(20,5),(20,23),0.00458099 # DEPENDENCYPART_SIBL
(20,5),(20,26),-0.156568 # DEPENDENCYPART_SIBL
(20,5),(20,27),-0.0798101 # DEPENDENCYPART_SIBL
(20,5),(20,30),-0.098437 # DEPENDENCYPART_SIBL
(20,5),(20,32),-0.0882128 # DEPENDENCYPART_SIBL
(20,6),(20,7),-0.222915 # DEPENDENCYPART_SIBL
(20,6),(20,8),-0.641278 # DEPENDENCYPART_SIBL
(20,6),(20,10),-0.689756 # DEPENDENCYPART_SIBL
(20,6),(20,11),-0.346602 # DEPENDENCYPART_SIBL
(20,6),(20,13),-0.522693 # DEPENDENCYPART_SIBL
(20,6),(20,14),-0.532304 # DEPENDENCYPART_SIBL
(20,6),(20,15),-0.525384 # DEPENDENCYPART_SIBL
(20,6),(20,16),-0.331671 # DEPENDENCYPART_SIBL
(20,6),(20,17),-0.119263 # DEPENDENCYPART_SIBL
(20,6),(20,19),-0.509816 # DEPENDENCYPART_SIBL
(20,6),(20,21),0.065693 # DEPENDENCYPART_SIBL
(20,6),(20,22),-0.0489677 # DEPENDENCYPART_SIBL
(20,6),(20,23),0.0316693 # DEPENDENCYPART_SIBL
(20,6),(20,26),-0.102217 # DEPENDENCYPART_SIBL
(20,6),(20,27),0.00763778 # DEPENDENCYPART_SIBL
(20,6),(20,30),-0.0552993 # DEPENDENCYPART_SIBL
(20,6),(20,32),0.00118807 # DEPENDENCYPART_SIBL
(20,7),(20,8),-0.317764 # DEPENDENCYPART_SIBL
(20,7),(20,10),-0.229755 # DEPENDENCYPART_SIBL
(20,7),(20,11),-0.222333 # DEPENDENCYPART_SIBL
(20,7),(20,13),-0.21215 # DEPENDENCYPART_SIBL
(20,7),(20,14),-0.234878 # DEPENDENCYPART_SIBL
(20,7),(20,15),-0.209893 # DEPENDENCYPART_SIBL
(20,7),(20,16),-0.127365 # DEPENDENCYPART_SIBL
(20,7),(20,17),0.269021 # DEPENDENCYPART_SIBL
(20,7),(20,19),-0.177554 # DEPENDENCYPART_SIBL
(20,7),(20,21),0.116836 # DEPENDENCYPART_SIBL
(20,7),(20,22),0.00533425 # DEPENDENCYPART_SIBL
(20,7),(20,23),0.0483641 # DEPENDENCYPART_SIBL
(20,7),(20,26),-0.00560872 # DEPENDENCYPART_SIBL
(20,7),(20,27),0.0351184 # DEPENDENCYPART_SIBL
(20,7),(20,30),0.00980454 # DEPENDENCYPART_SIBL
(20,7),(20,32),0.0668855 # DEPENDENCYPART_SIBL
(20,8),(20,10),-0.216229 # DEPENDENCYPART_SIBL
(20,8),(20,11),-0.179003 # DEPENDENCYPART_SIBL
(20,8),(20,13),-0.223306 # DEPENDENCYPART_SIBL
(20,8),(20,14),-0.194 # DEPENDENCYPART_SIBL
(20,8),(20,15),-0.23778 # DEPENDENCYPART_SIBL
(20,8),(20,16),-0.0527086 # DEPENDENCYPART_SIBL
(20,8),(20,17),-0.0891813 # DEPENDENCYPART_SIBL
(20,8),(20,19),-0.164675 # DEPENDENCYPART_SIBL
(20,8),(20,21),-0.0885963 # DEPENDENCYPART_SIBL
(20,8),(20,22),0.0357453 # DEPENDENCYPART_SIBL
(20,8),(20,23),-0.0762131 # DEPENDENCYPART_SIBL
(20,8),(20,26),-0.128308 # DEPENDENCYPART_SIBL
(20,8),(20,27),0.0653972 # DEPENDENCYPART_SIBL
(20,8),(20,30),-0.0488532 # DEPENDENCYPART_SIBL
(20,8),(20,32),-0.0437115 # DEPENDENCYPART_SIBL
(20,10),(20,11),-0.360097 # DEPENDENCYPART_SIBL
(20,10),(20,13),-0.540127 # DEPENDENCYPART_SIBL
(20,10),(20,14),-0.560781 # DEPENDENCYPART_SIBL
(20,10),(20,15),-0.526686 # DEPENDENCYPART_SIBL
(20,10),(20,16),-0.35609 # DEPENDENCYPART_SIBL
(20,10),(20,17),-0.165769 # DEPENDENCYPART_SIBL
(20,10),(20,19),-0.530266 # DEPENDENCYPART_SIBL
(20,10),(20,21),0.0410801 # DEPENDENCYPART_SIBL
(20,10),(20,22),-0.0463562 # DEPENDENCYPART_SIBL
(20,10),(20,23),-0.0178693 # DEPENDENCYPART_SIBL
(20,10),(20,26),-0.0996336 # DEPENDENCYPART_SIBL
(20,10),(20,27),-0.00825846 # DEPENDENCYPART_SIBL
(20,10),(20,30),0.0120782 # DEPENDENCYPART_SIBL
(20,10),(20,32),-0.00800608 # DEPENDENCYPART_SIBL
(20,11),(20,13),-0.0618926 # DEPENDENCYPART_SIBL
(20,11),(20,14),-0.059603 # DEPENDENCYPART_SIBL
(20,11),(20,15),-0.0463109 # DEPENDENCYPART_SIBL
(20,11),(20,16),-0.0111743 # DEPENDENCYPART_SIBL
(20,11),(20,17),0.25824 # DEPENDENCYPART_SIBL
(20,11),(20,19),-0.00659134 # DEPENDENCYPART_SIBL
(20,11),(20,21),-0.106428 # DEPENDENCYPART_SIBL
(20,11),(20,22),-0.0795935 # DEPENDENCYPART_SIBL
(20,11),(20,23),-0.0241893 # DEPENDENCYPART_SIBL
(20,11),(20,26),-0.0427836 # DEPENDENCYPART_SIBL
(20,11),(20,27),-0.0859827 # DEPENDENCYPART_SIBL
(20,11),(20,30),-0.0550645 # DEPENDENCYPART_SIBL
(20,11),(20,32),-0.0318415 # DEPENDENCYPART_SIBL
(20,13),(20,14),-0.14228 # DEPENDENCYPART_SIBL
(20,13),(20,15),-0.259059 # DEPENDENCYPART_SIBL
(20,13),(20,16),-0.107279 # DEPENDENCYPART_SIBL
(20,13),(20,17),-0.0461621 # DEPENDENCYPART_SIBL
(20,13),(20,19),-0.261307 # DEPENDENCYPART_SIBL
(20,13),(20,21),-0.21045 # DEPENDENCYPART_SIBL
(20,13),(20,22),-0.107026 # DEPENDENCYPART_SIBL
(20,13),(20,23),-0.0410958 # DEPENDENCYPART_SIBL
(20,13),(20,26),-0.150872 # DEPENDENCYPART_SIBL
(20,13),(20,27),-0.106146 # DEPENDENCYPART_SIBL
(20,13),(20,30),-0.141093 # DEPENDENCYPART_SIBL
(20,13),(20,32),-0.181131 # DEPENDENCYPART_SIBL
(20,14),(20,15),-0.247389 # DEPENDENCYPART_SIBL
(20,14),(20,16),-0.0551065 # DEPENDENCYPART_SIBL
(20,14),(20,17),-0.0570042 # DEPENDENCYPART_SIBL
(20,14),(20,19),-0.519711 # DEPENDENCYPART_SIBL
(20,14),(20,21),-0.310285 # DEPENDENCYPART_SIBL
(20,14),(20,22),-0.0682386 # DEPENDENCYPART_SIBL
(20,14),(20,23),-0.113456 # DEPENDENCYPART_SIBL
(20,14),(20,26),-0.220948 # DEPENDENCYPART_SIBL
(20,14),(20,27),-0.090243 # DEPENDENCYPART_SIBL
(20,14),(20,30),-0.170729 # DEPENDENCYPART_SIBL
(20,14),(20,32),-0.242817 # DEPENDENCYPART_SIBL
(20,15),(20,16),-0.311403 # DEPENDENCYPART_SIBL
(20,15),(20,17),-0.0917289 # DEPENDENCYPART_SIBL
(20,15),(20,19),-0.336839 # DEPENDENCYPART_SIBL
(20,15),(20,21),0.010865 # DEPENDENCYPART_SIBL
(20,15),(20,22),-0.023726 # DEPENDENCYPART_SIBL
(20,15),(20,23),-0.00794896 # DEPENDENCYPART_SIBL
(20,15),(20,26),-0.0840013 # DEPENDENCYPART_SIBL
(20,15),(20,27),-0.0038813 # DEPENDENCYPART_SIBL
(20,15),(20,30),-0.0514587 # DEPENDENCYPART_SIBL
(20,15),(20,32),-0.0280878 # DEPENDENCYPART_SIBL
(20,16),(20,17),0.109608 # DEPENDENCYPART_SIBL
(20,16),(20,19),-0.210302 # DEPENDENCYPART_SIBL
(20,16),(20,21),-0.08274 # DEPENDENCYPART_SIBL
(20,16),(20,22),-0.0597924 # DEPENDENCYPART_SIBL
(20,16),(20,23),0.000560724 # DEPENDENCYPART_SIBL
(20,16),(20,26),-0.0668488 # DEPENDENCYPART_SIBL
(20,16),(20,27),-0.0114601 # DEPENDENCYPART_SIBL
(20,16),(20,30),-0.0336718 # DEPENDENCYPART_SIBL
(20,16),(20,32),-0.0140181 # DEPENDENCYPART_SIBL
(20,17),(20,19),0.0642753 # DEPENDENCYPART_SIBL
(20,17),(20,21),-0.0666914 # DEPENDENCYPART_SIBL
(20,17),(20,22),-0.125524 # DEPENDENCYPART_SIBL
(20,17),(20,23),-0.0226138 # DEPENDENCYPART_SIBL
(20,17),(20,26),-0.0848031 # DEPENDENCYPART_SIBL
(20,17),(20,27),-0.0306482 # DEPENDENCYPART_SIBL
(20,17),(20,30),-0.0318425 # DEPENDENCYPART_SIBL
(20,17),(20,32),0.0484081 # DEPENDENCYPART_SIBL
(20,19),(20,21),-0.0380889 # DEPENDENCYPART_SIBL
(20,19),(20,22),0.042 # DEPENDENCYPART_SIBL
(20,19),(20,23),-0.0481676 # DEPENDENCYPART_SIBL
(20,19),(20,26),-0.0695929 # DEPENDENCYPART_SIBL
(20,19),(20,27),0.00442754 # DEPENDENCYPART_SIBL
(20,19),(20,30),-0.0165006 # DEPENDENCYPART_SIBL
(20,19),(20,32),0.0304961 # DEPENDENCYPART_SIBL
(20,21),(20,22),-0.330544 # DEPENDENCYPART_SIBL
(20,21),(20,23),-0.207026 # DEPENDENCYPART_SIBL
(20,21),(20,26),-0.261055 # DEPENDENCYPART_SIBL
(20,21),(20,27),-0.133575 # DEPENDENCYPART_SIBL
(20,21),(20,30),-0.372082 # DEPENDENCYPART_SIBL
(20,21),(20,32),0.0669696 # DEPENDENCYPART_SIBL
(20,22),(20,23),-0.145211 # DEPENDENCYPART_SIBL
(20,22),(20,26),-0.194968 # DEPENDENCYPART_SIBL
(20,22),(20,27),0.0266657 # DEPENDENCYPART_SIBL
(20,22),(20,30),-0.264797 # DEPENDENCYPART_SIBL
(20,22),(20,32),-0.0218872 # DEPENDENCYPART_SIBL
(20,23),(20,26),-0.0312025 # DEPENDENCYPART_SIBL
(20,23),(20,27),0.0654168 # DEPENDENCYPART_SIBL
(20,23),(20,30),-0.0236712 # DEPENDENCYPART_SIBL
(20,23),(20,32),0.035823 # DEPENDENCYPART_SIBL
(20,26),(20,27),-0.0353641 # DEPENDENCYPART_SIBL
(20,26),(20,30),-0.135499 # DEPENDENCYPART_SIBL
(20,26),(20,32),0.0289334 # DEPENDENCYPART_SIBL
(20,27),(20,30),0.352283 # DEPENDENCYPART_SIBL
(20,27),(20,32),0.0459078 # DEPENDENCYPART_SIBL
(20,30),(20,32),0.0644441 # DEPENDENCYPART_SIBL
(21,15),(21,16),-0.0499648 # DEPENDENCYPART_SIBL
(21,15),(21,19),-0.0605785 # DEPENDENCYPART_SIBL
(21,15),(21,22),0.087239 # DEPENDENCYPART_SIBL
(21,15),(21,23),-0.0783704 # DEPENDENCYPART_SIBL
(21,15),(21,25),-0.0691379 # DEPENDENCYPART_SIBL
(21,15),(21,26),-0.0458446 # DEPENDENCYPART_SIBL
(21,15),(21,27),-0.0441964 # DEPENDENCYPART_SIBL
(21,15),(21,30),-0.076486 # DEPENDENCYPART_SIBL
(21,16),(21,19),-0.162227 # DEPENDENCYPART_SIBL
(21,16),(21,22),-0.0291448 # DEPENDENCYPART_SIBL
(21,16),(21,23),-0.116638 # DEPENDENCYPART_SIBL
(21,16),(21,25),-0.0932866 # DEPENDENCYPART_SIBL
(21,16),(21,26),-0.0973539 # DEPENDENCYPART_SIBL
(21,16),(21,27),-0.102991 # DEPENDENCYPART_SIBL
(21,16),(21,30),-0.0680366 # DEPENDENCYPART_SIBL
(21,19),(21,22),0.0115551 # DEPENDENCYPART_SIBL
(21,19),(21,23),-0.200132 # DEPENDENCYPART_SIBL
(21,19),(21,25),-0.147041 # DEPENDENCYPART_SIBL
(21,19),(21,26),-0.131486 # DEPENDENCYPART_SIBL
(21,19),(21,27),-0.103178 # DEPENDENCYPART_SIBL
(21,19),(21,30),-0.112878 # DEPENDENCYPART_SIBL
(21,22),(21,23),-0.367223 # DEPENDENCYPART_SIBL
(21,22),(21,25),-0.464685 # DEPENDENCYPART_SIBL
(21,22),(21,26),-0.499501 # DEPENDENCYPART_SIBL
(21,22),(21,27),-0.258117 # DEPENDENCYPART_SIBL
(21,22),(21,30),-0.649055 # DEPENDENCYPART_SIBL
(21,23),(21,25),-0.115009 # DEPENDENCYPART_SIBL
(21,23),(21,26),-0.134062 # DEPENDENCYPART_SIBL
(21,23),(21,27),-0.0412238 # DEPENDENCYPART_SIBL
(21,23),(21,30),-0.188754 # DEPENDENCYPART_SIBL
(21,25),(21,26),-0.166576 # DEPENDENCYPART_SIBL
(21,25),(21,27),-0.0352011 # DEPENDENCYPART_SIBL
(21,25),(21,30),-0.200503 # DEPENDENCYPART_SIBL
(21,26),(21,27),-0.0761232 # DEPENDENCYPART_SIBL
(21,26),(21,30),-0.348396 # DEPENDENCYPART_SIBL
(21,27),(21,30),0.161508 # DEPENDENCYPART_SIBL
(22,19),(22,23),-0.0508646 # DEPENDENCYPART_SIBL
(22,19),(22,24),-0.00466247 # DEPENDENCYPART_SIBL
(22,19),(22,25),-0.0573873 # DEPENDENCYPART_SIBL
(22,19),(22,26),-0.0169741 # DEPENDENCYPART_SIBL
(22,19),(22,27),0.0513671 # DEPENDENCYPART_SIBL
(22,19),(22,30),0.0265474 # DEPENDENCYPART_SIBL
(22,23),(22,24),-0.0559035 # DEPENDENCYPART_SIBL
(22,23),(22,25),-0.112854 # DEPENDENCYPART_SIBL
(22,23),(22,26),-0.201607 # DEPENDENCYPART_SIBL
(22,23),(22,27),-0.0167201 # DEPENDENCYPART_SIBL
(22,23),(22,30),-0.152209 # DEPENDENCYPART_SIBL
(22,24),(22,25),-0.0588677 # DEPENDENCYPART_SIBL
(22,24),(22,26),-0.130741 # DEPENDENCYPART_SIBL
(22,24),(22,27),-0.0500636 # DEPENDENCYPART_SIBL
(22,24),(22,30),-0.115147 # DEPENDENCYPART_SIBL
(22,25),(22,26),-0.181587 # DEPENDENCYPART_SIBL
(22,25),(22,27),0.00719096 # DEPENDENCYPART_SIBL
(22,25),(22,30),-0.16574 # DEPENDENCYPART_SIBL
(22,26),(22,27),-0.00461288 # DEPENDENCYPART_SIBL
(22,26),(22,30),-0.185746 # DEPENDENCYPART_SIBL
(22,27),(22,30),0.234955 # DEPENDENCYPART_SIBL
(23,19),(23,24),-0.09451 # DEPENDENCYPART_SIBL
(23,19),(23,25),-0.119956 # DEPENDENCYPART_SIBL
(23,19),(23,26),-0.17511 # DEPENDENCYPART_SIBL
(23,19),(23,27),-0.108032 # DEPENDENCYPART_SIBL
(23,19),(23,30),-0.0544118 # DEPENDENCYPART_SIBL
(23,19),(23,31),-0.037765 # DEPENDENCYPART_SIBL
(23,24),(23,25),-0.233937 # DEPENDENCYPART_SIBL
(23,24),(23,26),-0.402745 # DEPENDENCYPART_SIBL
(23,24),(23,27),-0.0383808 # DEPENDENCYPART_SIBL
(23,24),(23,30),-0.449434 # DEPENDENCYPART_SIBL
(23,24),(23,31),-0.415338 # DEPENDENCYPART_SIBL
(23,25),(23,26),-0.466708 # DEPENDENCYPART_SIBL
(23,25),(23,27),-0.0078842 # DEPENDENCYPART_SIBL
(23,25),(23,30),-0.44702 # DEPENDENCYPART_SIBL
(23,25),(23,31),-0.4518 # DEPENDENCYPART_SIBL
(23,26),(23,27),-0.133592 # DEPENDENCYPART_SIBL
(23,26),(23,30),-0.760185 # DEPENDENCYPART_SIBL
(23,26),(23,31),-0.619653 # DEPENDENCYPART_SIBL
(23,27),(23,30),0.0768447 # DEPENDENCYPART_SIBL
(23,27),(23,31),0.0954142 # DEPENDENCYPART_SIBL
