# _root_ The sales are being dragged down by a glut of 1989 vehicles , said Joel Pitcoff , a Ford analyst .
#goldHeads=2,3,14,3,4,5,5,9,7,9,12,10,14,0,16,14,16,20,20,16,14,
#predictedHeads=2,3,14,3,4,5,5,9,7,9,12,10,14,0,16,14,16,20,20,16,14,
(9,11),(9,20),-1.30069 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,21),-1.13897 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,22),-0.708894 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,12),(9,13),-0.176179 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,14),-0.773336 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,16),-1.11015 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,17),-0.287391 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,20),-1.0339 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,21),-0.185241 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,22),-0.715735 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,13),(9,14),-0.207955 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,16),-0.520129 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,17),-1.54986 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,20),-0.422294 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,21),-1.20951 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,22),-0.84974 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,14),(9,16),-0.657234 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,17),0.0544231 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,20),-0.60167 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,21),0.0685472 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,22),-0.848397 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,16),(9,17),-0.398348 # DEPENDENCYPART_NEXTSIBL
(9,16),(9,20),-1.08276 # DEPENDENCYPART_NEXTSIBL
(9,16),(9,21),-0.309115 # DEPENDENCYPART_NEXTSIBL
(9,16),(9,22),-0.588722 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,17),(9,20),0.317773 # DEPENDENCYPART_NEXTSIBL
(9,17),(9,21),-0.757707 # DEPENDENCYPART_NEXTSIBL
(9,17),(9,22),-1.01664 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,20),(9,21),-0.401402 # DEPENDENCYPART_NEXTSIBL
(9,20),(9,22),-0.844655 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,21),(9,22),-1.25491 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,9),(9,8),-0.343537 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,7),-0.650467 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,3),-0.232661 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,-1),-0.306697 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(9,8),(9,7),-0.629956 # DEPENDENCYPART_NEXTSIBL
(9,8),(9,3),-1.00135 # DEPENDENCYPART_NEXTSIBL
(9,8),(9,-1),-0.454804 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,7),(9,3),-1.09874 # DEPENDENCYPART_NEXTSIBL
(9,7),(9,-1),-0.899648 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,3),(9,-1),-0.830376 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,10),(10,11),-0.260974 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,12),0.0242249 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,13),-1.24028 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,14),0.0279679 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,16),-0.257177 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,20),-0.377786 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,22),-0.756088 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(10,11),(10,12),-0.923014 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,13),-0.99083 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,14),-1.22687 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,16),-1.28796 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,20),-1.24846 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,22),-0.564299 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,12),(10,13),-0.340701 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,14),-0.829495 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,16),-1.22144 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,20),-1.15458 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,22),-0.472597 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,13),(10,14),-0.340075 # DEPENDENCYPART_NEXTSIBL
(10,13),(10,16),-0.782424 # DEPENDENCYPART_NEXTSIBL
(10,13),(10,20),-0.709794 # DEPENDENCYPART_NEXTSIBL
(10,13),(10,22),-0.816498 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,14),(10,16),-0.701753 # DEPENDENCYPART_NEXTSIBL
(10,14),(10,20),-0.655256 # DEPENDENCYPART_NEXTSIBL
(10,14),(10,22),-0.91337 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,16),(10,20),-1.2063 # DEPENDENCYPART_NEXTSIBL
(10,16),(10,22),-0.353231 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,20),(10,22),-0.619394 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,10),(10,9),-0.273629 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,8),-0.476175 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,7),-0.671759 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,4),-0.00558376 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,-1),-0.101949 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(10,9),(10,8),-0.452225 # DEPENDENCYPART_NEXTSIBL
(10,9),(10,7),-0.495886 # DEPENDENCYPART_NEXTSIBL
(10,9),(10,4),-1.06255 # DEPENDENCYPART_NEXTSIBL
(10,9),(10,-1),-0.563443 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,8),(10,7),-0.688751 # DEPENDENCYPART_NEXTSIBL
(10,8),(10,4),-1.12557 # DEPENDENCYPART_NEXTSIBL
(10,8),(10,-1),-0.823799 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,7),(10,4),-1.0171 # DEPENDENCYPART_NEXTSIBL
(10,7),(10,-1),-0.904368 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,4),(10,-1),-0.49246 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,11),(11,13),-1.17053 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,14),0.0250291 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,16),-0.426579 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,20),-0.543324 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,22),-0.144105 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(11,13),(11,14),-0.300927 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,16),-0.719938 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,20),-0.64602 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,22),-0.994795 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,14),(11,16),-0.670559 # DEPENDENCYPART_NEXTSIBL
(11,14),(11,20),-0.622774 # DEPENDENCYPART_NEXTSIBL
(11,14),(11,22),-0.854241 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,16),(11,20),-1.12799 # DEPENDENCYPART_NEXTSIBL
(11,16),(11,22),-0.584376 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,20),(11,22),-0.846674 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,11),(11,10),-0.28158 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,9),-0.359398 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,8),-0.4027 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,-1),-0.303491 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(11,10),(11,9),-0.842439 # DEPENDENCYPART_NEXTSIBL
(11,10),(11,8),-0.900892 # DEPENDENCYPART_NEXTSIBL
(11,10),(11,-1),-0.564511 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,9),(11,8),-0.457709 # DEPENDENCYPART_NEXTSIBL
(11,9),(11,-1),-0.549319 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,8),(11,-1),-0.70144 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,12),(12,13),-1.05849 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,14),0.0397356 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,15),-0.494049 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,16),-0.547784 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,17),-0.72686 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,20),-0.655295 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,21),-0.616764 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,22),-0.263175 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(12,13),(12,14),-0.199197 # DEPENDENCYPART_NEXTSIBL
(12,13),(12,15),-0.630421 # DEPENDENCYPART_NEXTSIBL
(12,13),(12,16),-0.519375 # DEPENDENCYPART_NEXTSIBL
(12,13),(12,17),-1.54532 # DEPENDENCYPART_NEXTSIBL
(12,13),(12,20),-0.42154 # DEPENDENCYPART_NEXTSIBL
(12,13),(12,21),-1.20733 # DEPENDENCYPART_NEXTSIBL
(12,13),(12,22),-0.845008 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,14),(12,15),-0.64096 # DEPENDENCYPART_NEXTSIBL
(12,14),(12,16),-0.652891 # DEPENDENCYPART_NEXTSIBL
(12,14),(12,17),0.0626174 # DEPENDENCYPART_NEXTSIBL
(12,14),(12,20),-0.597327 # DEPENDENCYPART_NEXTSIBL
(12,14),(12,21),0.074075 # DEPENDENCYPART_NEXTSIBL
(12,14),(12,22),-0.831188 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,15),(12,16),-1.11212 # DEPENDENCYPART_NEXTSIBL
(12,15),(12,17),-0.74203 # DEPENDENCYPART_NEXTSIBL
(12,15),(12,20),-1.26222 # DEPENDENCYPART_NEXTSIBL
(12,15),(12,21),-0.778545 # DEPENDENCYPART_NEXTSIBL
(12,15),(12,22),-0.793888 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,16),(12,17),-0.397594 # DEPENDENCYPART_NEXTSIBL
(12,16),(12,20),-1.0853 # DEPENDENCYPART_NEXTSIBL
(12,16),(12,21),-0.310467 # DEPENDENCYPART_NEXTSIBL
(12,16),(12,22),-0.592278 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,17),(12,20),0.318528 # DEPENDENCYPART_NEXTSIBL
(12,17),(12,21),-0.755522 # DEPENDENCYPART_NEXTSIBL
(12,17),(12,22),-1.01191 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,20),(12,21),-0.402753 # DEPENDENCYPART_NEXTSIBL
(12,20),(12,22),-0.84821 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,21),(12,22),-1.25512 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,12),(12,11),-0.512 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,10),-0.187529 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,9),-0.203264 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,8),-0.334306 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,7),-0.63706 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,4),-0.0573325 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,-1),-0.32731 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(12,11),(12,10),-0.580569 # DEPENDENCYPART_NEXTSIBL
(12,11),(12,9),-0.628805 # DEPENDENCYPART_NEXTSIBL
(12,11),(12,8),-0.790502 # DEPENDENCYPART_NEXTSIBL
(12,11),(12,7),-0.98108 # DEPENDENCYPART_NEXTSIBL
(12,11),(12,4),-0.829755 # DEPENDENCYPART_NEXTSIBL
(12,11),(12,-1),-0.745252 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,10),(12,9),-0.763435 # DEPENDENCYPART_NEXTSIBL
(12,10),(12,8),-0.81794 # DEPENDENCYPART_NEXTSIBL
(12,10),(12,7),-1.17479 # DEPENDENCYPART_NEXTSIBL
(12,10),(12,4),-1.07247 # DEPENDENCYPART_NEXTSIBL
(12,10),(12,-1),-0.425592 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,9),(12,8),-0.282634 # DEPENDENCYPART_NEXTSIBL
(12,9),(12,7),-0.492655 # DEPENDENCYPART_NEXTSIBL
(12,9),(12,4),-0.941255 # DEPENDENCYPART_NEXTSIBL
(12,9),(12,-1),-0.439659 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,8),(12,7),-0.622492 # DEPENDENCYPART_NEXTSIBL
(12,8),(12,4),-0.975488 # DEPENDENCYPART_NEXTSIBL
(12,8),(12,-1),-0.44567 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,7),(12,4),-1.03772 # DEPENDENCYPART_NEXTSIBL
(12,7),(12,-1),-0.886486 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,4),(12,-1),-0.503094 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,13),(13,22),-0.0570091 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(13,13),(13,-1),-0.149473 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(14,14),(14,15),-0.540487 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,16),-0.594222 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,17),-0.56395 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,20),-0.703194 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,21),-0.808291 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,22),-0.674984 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(14,15),(14,16),-1.24747 # DEPENDENCYPART_NEXTSIBL
(14,15),(14,17),-1.08369 # DEPENDENCYPART_NEXTSIBL
(14,15),(14,20),-1.4042 # DEPENDENCYPART_NEXTSIBL
(14,15),(14,21),-0.851851 # DEPENDENCYPART_NEXTSIBL
(14,15),(14,22),-0.981208 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,16),(14,17),-0.739256 # DEPENDENCYPART_NEXTSIBL
(14,16),(14,20),-1.22729 # DEPENDENCYPART_NEXTSIBL
(14,16),(14,21),-0.383773 # DEPENDENCYPART_NEXTSIBL
(14,16),(14,22),-0.779598 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,17),(14,20),-0.0743259 # DEPENDENCYPART_NEXTSIBL
(14,17),(14,21),-0.752747 # DEPENDENCYPART_NEXTSIBL
(14,17),(14,22),-0.934172 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,20),(14,21),-0.478378 # DEPENDENCYPART_NEXTSIBL
(14,20),(14,22),-1.04073 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,21),(14,22),-1.14064 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,14),(14,13),-1.62239 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,12),0.0221334 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,11),-0.595097 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,10),-0.306996 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,9),-0.025425 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,8),-0.446092 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,7),-0.733407 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,5),-0.136657 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,4),-0.0643849 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,3),-0.29873 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,2),-0.0826694 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,-1),-0.648445 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(14,13),(14,12),-0.241583 # DEPENDENCYPART_NEXTSIBL
(14,13),(14,11),-0.563565 # DEPENDENCYPART_NEXTSIBL
(14,13),(14,10),-0.411179 # DEPENDENCYPART_NEXTSIBL
(14,13),(14,9),-0.52917 # DEPENDENCYPART_NEXTSIBL
(14,13),(14,8),-0.867554 # DEPENDENCYPART_NEXTSIBL
(14,13),(14,7),-0.127672 # DEPENDENCYPART_NEXTSIBL
(14,13),(14,5),0.438072 # DEPENDENCYPART_NEXTSIBL
(14,13),(14,4),0.332449 # DEPENDENCYPART_NEXTSIBL
(14,13),(14,3),0.592622 # DEPENDENCYPART_NEXTSIBL
(14,13),(14,2),-0.486378 # DEPENDENCYPART_NEXTSIBL
(14,13),(14,-1),-0.899942 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,12),(14,11),-0.538212 # DEPENDENCYPART_NEXTSIBL
(14,12),(14,10),-0.619367 # DEPENDENCYPART_NEXTSIBL
(14,12),(14,9),-1.16047 # DEPENDENCYPART_NEXTSIBL
(14,12),(14,8),-0.721474 # DEPENDENCYPART_NEXTSIBL
(14,12),(14,7),-0.723942 # DEPENDENCYPART_NEXTSIBL
(14,12),(14,5),-1.03643 # DEPENDENCYPART_NEXTSIBL
(14,12),(14,4),-1.0908 # DEPENDENCYPART_NEXTSIBL
(14,12),(14,3),-1.02303 # DEPENDENCYPART_NEXTSIBL
(14,12),(14,2),-1.23667 # DEPENDENCYPART_NEXTSIBL
(14,12),(14,-1),-0.921151 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,11),(14,10),-0.604241 # DEPENDENCYPART_NEXTSIBL
(14,11),(14,9),-0.779979 # DEPENDENCYPART_NEXTSIBL
(14,11),(14,8),-1.00547 # DEPENDENCYPART_NEXTSIBL
(14,11),(14,7),-0.937407 # DEPENDENCYPART_NEXTSIBL
(14,11),(14,5),-0.990495 # DEPENDENCYPART_NEXTSIBL
(14,11),(14,4),-0.942936 # DEPENDENCYPART_NEXTSIBL
(14,11),(14,3),-0.954972 # DEPENDENCYPART_NEXTSIBL
(14,11),(14,2),-0.957232 # DEPENDENCYPART_NEXTSIBL
(14,11),(14,-1),-0.925117 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,10),(14,9),-0.819844 # DEPENDENCYPART_NEXTSIBL
(14,10),(14,8),-0.962228 # DEPENDENCYPART_NEXTSIBL
(14,10),(14,7),-1.11358 # DEPENDENCYPART_NEXTSIBL
(14,10),(14,5),-1.05436 # DEPENDENCYPART_NEXTSIBL
(14,10),(14,4),-1.128 # DEPENDENCYPART_NEXTSIBL
(14,10),(14,3),-1.09522 # DEPENDENCYPART_NEXTSIBL
(14,10),(14,2),-1.16941 # DEPENDENCYPART_NEXTSIBL
(14,10),(14,-1),-0.577916 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,9),(14,8),-0.492673 # DEPENDENCYPART_NEXTSIBL
(14,9),(14,7),-0.420272 # DEPENDENCYPART_NEXTSIBL
(14,9),(14,5),-1.04228 # DEPENDENCYPART_NEXTSIBL
(14,9),(14,4),-1.09722 # DEPENDENCYPART_NEXTSIBL
(14,9),(14,3),-1.16079 # DEPENDENCYPART_NEXTSIBL
(14,9),(14,2),-1.40652 # DEPENDENCYPART_NEXTSIBL
(14,9),(14,-1),-0.643626 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,8),(14,7),-0.732397 # DEPENDENCYPART_NEXTSIBL
(14,8),(14,5),-1.14217 # DEPENDENCYPART_NEXTSIBL
(14,8),(14,4),-1.1883 # DEPENDENCYPART_NEXTSIBL
(14,8),(14,3),-1.21376 # DEPENDENCYPART_NEXTSIBL
(14,8),(14,2),-1.27678 # DEPENDENCYPART_NEXTSIBL
(14,8),(14,-1),-0.898816 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,7),(14,5),-0.994353 # DEPENDENCYPART_NEXTSIBL
(14,7),(14,4),-1.03784 # DEPENDENCYPART_NEXTSIBL
(14,7),(14,3),-1.09707 # DEPENDENCYPART_NEXTSIBL
(14,7),(14,2),-1.09115 # DEPENDENCYPART_NEXTSIBL
(14,7),(14,-1),-0.89959 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,5),(14,4),-1.26785 # DEPENDENCYPART_NEXTSIBL
(14,5),(14,3),-1.41038 # DEPENDENCYPART_NEXTSIBL
(14,5),(14,2),-1.05001 # DEPENDENCYPART_NEXTSIBL
(14,5),(14,-1),-0.814231 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,4),(14,3),-1.08796 # DEPENDENCYPART_NEXTSIBL
(14,4),(14,2),-0.742901 # DEPENDENCYPART_NEXTSIBL
(14,4),(14,-1),-0.446895 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,3),(14,2),-0.716407 # DEPENDENCYPART_NEXTSIBL
(14,3),(14,-1),-0.766442 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,2),(14,-1),-0.484725 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,15),(15,16),-0.544486 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,20),-0.651997 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,22),-0.243295 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(15,16),(15,20),-1.08276 # DEPENDENCYPART_NEXTSIBL
(15,16),(15,22),-0.588722 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,20),(15,22),-0.844655 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,15),(15,-1),-0.31584 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(16,16),(16,17),-0.726601 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,19),-0.709156 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,20),-0.651997 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,21),-0.616559 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,22),-0.243295 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(16,17),(16,19),-0.000512671 # DEPENDENCYPART_NEXTSIBL
(16,17),(16,20),0.320296 # DEPENDENCYPART_NEXTSIBL
(16,17),(16,21),-0.755184 # DEPENDENCYPART_NEXTSIBL
(16,17),(16,22),-1.01165 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,19),(16,20),-0.925008 # DEPENDENCYPART_NEXTSIBL
(16,19),(16,21),-0.802297 # DEPENDENCYPART_NEXTSIBL
(16,19),(16,22),-0.589816 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,20),(16,21),-0.401401 # DEPENDENCYPART_NEXTSIBL
(16,20),(16,22),-0.844655 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,21),(16,22),-1.2549 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,16),(16,15),-0.347274 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,14),-0.130533 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,13),-1.48471 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,12),-0.151192 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,8),-0.334394 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,-1),-0.31584 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(16,15),(16,14),-0.501031 # DEPENDENCYPART_NEXTSIBL
(16,15),(16,13),-0.868888 # DEPENDENCYPART_NEXTSIBL
(16,15),(16,12),-1.02966 # DEPENDENCYPART_NEXTSIBL
(16,15),(16,8),-0.923467 # DEPENDENCYPART_NEXTSIBL
(16,15),(16,-1),-0.75636 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,14),(16,13),-0.630106 # DEPENDENCYPART_NEXTSIBL
(16,14),(16,12),-0.575724 # DEPENDENCYPART_NEXTSIBL
(16,14),(16,8),-0.860188 # DEPENDENCYPART_NEXTSIBL
(16,14),(16,-1),-1.1418 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,13),(16,12),-0.216959 # DEPENDENCYPART_NEXTSIBL
(16,13),(16,8),-0.7829 # DEPENDENCYPART_NEXTSIBL
(16,13),(16,-1),-1.20054 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,12),(16,8),-0.509106 # DEPENDENCYPART_NEXTSIBL
(16,12),(16,-1),-0.701841 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,8),(16,-1),-0.445661 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,17),(17,22),-0.0570091 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(17,17),(17,-1),-0.149473 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(18,18),(18,22),-0.138673 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(18,18),(18,17),-1.02647 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,-1),-0.195345 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(18,17),(18,-1),-1.27024 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,19),(19,21),-0.616561 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,22),-0.246496 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(19,21),(19,22),-1.25491 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,19),(19,18),-0.609935 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,-1),-0.311302 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(19,18),(19,-1),-0.259864 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,20),(20,21),-0.618039 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,22),-0.250649 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(20,21),(20,22),-1.25717 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,20),(20,19),-0.557808 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,18),-0.606815 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,17),-1.15476 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,16),-0.406645 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
