# _root_ James Alexander , a Burmah spokesman , said SHV had previously owned `` a little under 5 % '' of Burmah for about two years .
#goldHeads=2,8,2,6,6,2,2,0,10,8,10,10,15,15,18,15,15,12,18,18,20,12,25,23,22,8,
#predictedHeads=2,8,2,6,6,2,2,0,10,8,10,10,18,15,18,15,18,12,18,18,20,12,25,23,22,8,
(6,4),(6,19),0.0187364 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.025765 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0707088 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0080462 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0320134 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0612515 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.00224042 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0273285 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.105928 # DEPENDENCYPART_SIBL
(6,5),(6,19),0.00489196 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.28224 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.640258 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.377409 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.295399 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.61005 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.29454 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.541853 # DEPENDENCYPART_SIBL
(6,7),(6,19),0.347226 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.000952185 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.30985 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0672083 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0751999 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0297515 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.0533777 # DEPENDENCYPART_SIBL
(6,8),(6,19),0.055592 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0520186 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0578575 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0564552 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0523495 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.0685816 # DEPENDENCYPART_SIBL
(6,9),(6,19),0.00289705 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0342085 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.0529815 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.0111483 # DEPENDENCYPART_SIBL
(6,10),(6,18),-0.0319123 # DEPENDENCYPART_SIBL
(6,10),(6,19),0.0913003 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.00337232 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.0344507 # DEPENDENCYPART_SIBL
(6,11),(6,18),0.0283302 # DEPENDENCYPART_SIBL
(6,11),(6,19),-0.0535157 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.0611349 # DEPENDENCYPART_SIBL
(6,12),(6,18),-0.111821 # DEPENDENCYPART_SIBL
(6,12),(6,19),0.163041 # DEPENDENCYPART_SIBL
(6,13),(6,18),0.240936 # DEPENDENCYPART_SIBL
(6,13),(6,19),0.358196 # DEPENDENCYPART_SIBL
(6,18),(6,19),-0.0320987 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.605852 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.116572 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.331034 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.557889 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.353904 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.116572 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.195222 # DEPENDENCYPART_SIBL
(8,1),(8,10),0.00429405 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.0286695 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.12861 # DEPENDENCYPART_SIBL
(8,1),(8,13),0.0319364 # DEPENDENCYPART_SIBL
(8,1),(8,14),-0.146148 # DEPENDENCYPART_SIBL
(8,1),(8,15),-0.141449 # DEPENDENCYPART_SIBL
(8,1),(8,16),-0.0736489 # DEPENDENCYPART_SIBL
(8,1),(8,19),0.0259653 # DEPENDENCYPART_SIBL
(8,1),(8,22),-0.175575 # DEPENDENCYPART_SIBL
(8,1),(8,26),0.0153729 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.0612555 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.320643 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.556756 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.341772 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.0612555 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.250951 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.0609554 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.0886972 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.192752 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.0474268 # DEPENDENCYPART_SIBL
(8,2),(8,14),-0.21003 # DEPENDENCYPART_SIBL
(8,2),(8,15),-0.204178 # DEPENDENCYPART_SIBL
(8,2),(8,16),-0.142925 # DEPENDENCYPART_SIBL
(8,2),(8,19),-0.0450368 # DEPENDENCYPART_SIBL
(8,2),(8,22),-0.237845 # DEPENDENCYPART_SIBL
(8,2),(8,26),-0.047367 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.0417504 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.109586 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0966497 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.324472 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.00529177 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0463046 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.00804888 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.197286 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.0219462 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.0774993 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.0593943 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.023196 # DEPENDENCYPART_SIBL
(8,3),(8,19),-0.017487 # DEPENDENCYPART_SIBL
(8,3),(8,22),-0.166607 # DEPENDENCYPART_SIBL
(8,3),(8,26),0.01006 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.225104 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.1773 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.114361 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.174173 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.14421 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.00206356 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.0352387 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.0805333 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0973132 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.0569114 # DEPENDENCYPART_SIBL
(8,4),(8,16),0.054438 # DEPENDENCYPART_SIBL
(8,4),(8,19),-0.0212858 # DEPENDENCYPART_SIBL
(8,4),(8,22),0.0253386 # DEPENDENCYPART_SIBL
(8,4),(8,26),0.0158657 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.353158 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.106166 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.200459 # DEPENDENCYPART_SIBL
(8,5),(8,10),0.0209464 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.027529 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.131561 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.0137407 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.14887 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.143978 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.08659 # DEPENDENCYPART_SIBL
(8,5),(8,19),0.0308887 # DEPENDENCYPART_SIBL
(8,5),(8,22),-0.18138 # DEPENDENCYPART_SIBL
(8,5),(8,26),0.0304876 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.310947 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.101457 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.189059 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.0632232 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0467014 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.0762956 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.087167 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.0699122 # DEPENDENCYPART_SIBL
(8,6),(8,16),0.0330922 # DEPENDENCYPART_SIBL
(8,6),(8,19),0.103488 # DEPENDENCYPART_SIBL
(8,6),(8,22),0.00273223 # DEPENDENCYPART_SIBL
(8,6),(8,26),0.420344 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.00529177 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0463046 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.00804888 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.197286 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.0219462 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.0774993 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.0593943 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.023196 # DEPENDENCYPART_SIBL
(8,7),(8,19),-0.017487 # DEPENDENCYPART_SIBL
(8,7),(8,22),-0.166607 # DEPENDENCYPART_SIBL
(8,7),(8,26),0.01006 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.424795 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0561389 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.195329 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.0396785 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.0747295 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.104092 # DEPENDENCYPART_SIBL
(8,9),(8,16),0.00552974 # DEPENDENCYPART_SIBL
(8,9),(8,19),-0.131568 # DEPENDENCYPART_SIBL
(8,9),(8,22),-0.026442 # DEPENDENCYPART_SIBL
(8,9),(8,26),-0.0703389 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.144854 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.277185 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.100766 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.171349 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.254732 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.16324 # DEPENDENCYPART_SIBL
(8,10),(8,19),-0.0658854 # DEPENDENCYPART_SIBL
(8,10),(8,22),-0.146479 # DEPENDENCYPART_SIBL
(8,10),(8,26),-0.0780205 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.0572506 # DEPENDENCYPART_SIBL
(8,11),(8,13),0.0835478 # DEPENDENCYPART_SIBL
(8,11),(8,14),0.0145085 # DEPENDENCYPART_SIBL
(8,11),(8,15),0.0273103 # DEPENDENCYPART_SIBL
(8,11),(8,16),0.164456 # DEPENDENCYPART_SIBL
(8,11),(8,19),0.0440912 # DEPENDENCYPART_SIBL
(8,11),(8,22),0.1506 # DEPENDENCYPART_SIBL
(8,11),(8,26),0.0405908 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.0918922 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.208679 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.342206 # DEPENDENCYPART_SIBL
(8,12),(8,16),-0.271833 # DEPENDENCYPART_SIBL
(8,12),(8,19),-0.0174077 # DEPENDENCYPART_SIBL
(8,12),(8,22),-0.236499 # DEPENDENCYPART_SIBL
(8,12),(8,26),-0.070066 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.0918196 # DEPENDENCYPART_SIBL
(8,13),(8,15),-0.0294796 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.0422764 # DEPENDENCYPART_SIBL
(8,13),(8,19),-0.0739707 # DEPENDENCYPART_SIBL
(8,13),(8,22),-0.00993868 # DEPENDENCYPART_SIBL
(8,13),(8,26),-0.0043514 # DEPENDENCYPART_SIBL
(8,14),(8,15),-0.199639 # DEPENDENCYPART_SIBL
(8,14),(8,16),-0.119812 # DEPENDENCYPART_SIBL
(8,14),(8,19),-0.197299 # DEPENDENCYPART_SIBL
(8,14),(8,22),-0.0787058 # DEPENDENCYPART_SIBL
(8,14),(8,26),-0.251736 # DEPENDENCYPART_SIBL
(8,15),(8,16),0.00546952 # DEPENDENCYPART_SIBL
(8,15),(8,19),-0.0234801 # DEPENDENCYPART_SIBL
(8,15),(8,22),-0.0498859 # DEPENDENCYPART_SIBL
(8,15),(8,26),-0.10566 # DEPENDENCYPART_SIBL
(8,16),(8,19),0.00801899 # DEPENDENCYPART_SIBL
(8,16),(8,22),0.137241 # DEPENDENCYPART_SIBL
(8,16),(8,26),-0.135081 # DEPENDENCYPART_SIBL
(8,19),(8,22),0.331756 # DEPENDENCYPART_SIBL
(8,19),(8,26),-0.116861 # DEPENDENCYPART_SIBL
(8,22),(8,26),-0.126603 # DEPENDENCYPART_SIBL
(9,2),(9,4),0.11652 # DEPENDENCYPART_SIBL
(9,2),(9,5),0.10528 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.394705 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.486948 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.0939858 # DEPENDENCYPART_SIBL
(9,2),(9,10),0.0336285 # DEPENDENCYPART_SIBL
(9,2),(9,11),0.0340442 # DEPENDENCYPART_SIBL
(9,2),(9,12),0.0354864 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.111561 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.181284 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.144866 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.0984826 # DEPENDENCYPART_SIBL
(9,4),(9,10),0.31239 # DEPENDENCYPART_SIBL
(9,4),(9,11),0.0837677 # DEPENDENCYPART_SIBL
(9,4),(9,12),0.305153 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.399031 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.475149 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.0996374 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0596279 # DEPENDENCYPART_SIBL
(9,5),(9,11),0.0462018 # DEPENDENCYPART_SIBL
(9,5),(9,12),0.0476952 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0690348 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.0738841 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.0496862 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0256898 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.0187973 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0827852 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.104522 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0546833 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.087692 # DEPENDENCYPART_SIBL
(9,8),(9,10),4.65718e-05 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0191477 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0162094 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.0560435 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.0955157 # DEPENDENCYPART_SIBL
(9,11),(9,12),0.0212218 # DEPENDENCYPART_SIBL
(10,1),(10,2),-0.495383 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.00888198 # DEPENDENCYPART_SIBL
(10,1),(10,5),-0.467965 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.217516 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.00888198 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.16377 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.467214 # DEPENDENCYPART_SIBL
(10,1),(10,11),0.0934007 # DEPENDENCYPART_SIBL
(10,1),(10,12),0.0195699 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.0506514 # DEPENDENCYPART_SIBL
(10,1),(10,14),-0.0352451 # DEPENDENCYPART_SIBL
(10,1),(10,15),-0.011227 # DEPENDENCYPART_SIBL
(10,1),(10,16),0.0237779 # DEPENDENCYPART_SIBL
(10,1),(10,18),-0.0841032 # DEPENDENCYPART_SIBL
(10,1),(10,19),0.051391 # DEPENDENCYPART_SIBL
(10,1),(10,20),-0.056257 # DEPENDENCYPART_SIBL
(10,1),(10,21),-0.0352058 # DEPENDENCYPART_SIBL
(10,1),(10,22),-0.0528564 # DEPENDENCYPART_SIBL
(10,1),(10,23),-0.0188543 # DEPENDENCYPART_SIBL
(10,1),(10,25),-0.0413785 # DEPENDENCYPART_SIBL
(10,1),(10,26),0.0037642 # DEPENDENCYPART_SIBL
(10,2),(10,3),0.0464285 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.466836 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.205387 # DEPENDENCYPART_SIBL
(10,2),(10,7),0.0464285 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.153411 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.466084 # DEPENDENCYPART_SIBL
(10,2),(10,11),0.0716622 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.00628062 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.091728 # DEPENDENCYPART_SIBL
(10,2),(10,14),-0.0608375 # DEPENDENCYPART_SIBL
(10,2),(10,15),-0.0356661 # DEPENDENCYPART_SIBL
(10,2),(10,16),-0.00466362 # DEPENDENCYPART_SIBL
(10,2),(10,18),-0.135023 # DEPENDENCYPART_SIBL
(10,2),(10,19),0.0231433 # DEPENDENCYPART_SIBL
(10,2),(10,20),-0.0944145 # DEPENDENCYPART_SIBL
(10,2),(10,21),-0.0530957 # DEPENDENCYPART_SIBL
(10,2),(10,22),-0.0742919 # DEPENDENCYPART_SIBL
(10,2),(10,23),-0.0405923 # DEPENDENCYPART_SIBL
(10,2),(10,25),-0.0688275 # DEPENDENCYPART_SIBL
(10,2),(10,26),-0.017582 # DEPENDENCYPART_SIBL
(10,3),(10,5),0.0213303 # DEPENDENCYPART_SIBL
(10,3),(10,6),0.0972224 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.01123 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.0411926 # DEPENDENCYPART_SIBL
(10,3),(10,9),0.0220763 # DEPENDENCYPART_SIBL
(10,3),(10,11),0.0956424 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.00124504 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.07588 # DEPENDENCYPART_SIBL
(10,3),(10,14),-0.0221083 # DEPENDENCYPART_SIBL
(10,3),(10,15),0.0954003 # DEPENDENCYPART_SIBL
(10,3),(10,16),0.112417 # DEPENDENCYPART_SIBL
(10,3),(10,18),-0.11056 # DEPENDENCYPART_SIBL
(10,3),(10,19),0.0357936 # DEPENDENCYPART_SIBL
(10,3),(10,20),-0.0903357 # DEPENDENCYPART_SIBL
(10,3),(10,21),-0.0318974 # DEPENDENCYPART_SIBL
(10,3),(10,22),0.0179937 # DEPENDENCYPART_SIBL
(10,3),(10,23),0.000968003 # DEPENDENCYPART_SIBL
(10,3),(10,25),0.0133639 # DEPENDENCYPART_SIBL
(10,3),(10,26),0.0634279 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.216773 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.00151795 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.163472 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.470296 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.0959461 # DEPENDENCYPART_SIBL
(10,5),(10,12),0.0180258 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.0674449 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.036562 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.0123506 # DEPENDENCYPART_SIBL
(10,5),(10,16),0.0147871 # DEPENDENCYPART_SIBL
(10,5),(10,18),-0.107039 # DEPENDENCYPART_SIBL
(10,5),(10,19),0.0576824 # DEPENDENCYPART_SIBL
(10,5),(10,20),-0.0744621 # DEPENDENCYPART_SIBL
(10,5),(10,21),-0.0348223 # DEPENDENCYPART_SIBL
(10,5),(10,22),-0.0547115 # DEPENDENCYPART_SIBL
(10,5),(10,23),-0.0163085 # DEPENDENCYPART_SIBL
(10,5),(10,25),-0.0445487 # DEPENDENCYPART_SIBL
(10,5),(10,26),0.0193541 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.17214 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.260184 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.45358 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.110687 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.0712047 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.0160668 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.057994 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.0331492 # DEPENDENCYPART_SIBL
(10,6),(10,16),0.0506691 # DEPENDENCYPART_SIBL
(10,6),(10,18),-0.0172332 # DEPENDENCYPART_SIBL
(10,6),(10,19),0.0766887 # DEPENDENCYPART_SIBL
(10,6),(10,20),-0.0804343 # DEPENDENCYPART_SIBL
(10,6),(10,21),-0.0173501 # DEPENDENCYPART_SIBL
(10,6),(10,22),0.0818059 # DEPENDENCYPART_SIBL
(10,6),(10,23),-0.07799 # DEPENDENCYPART_SIBL
(10,6),(10,25),-0.0411491 # DEPENDENCYPART_SIBL
(10,6),(10,26),0.282741 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.0411926 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.0220763 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.0956424 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.00124504 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.07588 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.0221083 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.0954003 # DEPENDENCYPART_SIBL
(10,7),(10,16),0.112417 # DEPENDENCYPART_SIBL
(10,7),(10,18),-0.11056 # DEPENDENCYPART_SIBL
(10,7),(10,19),0.0357936 # DEPENDENCYPART_SIBL
(10,7),(10,20),-0.0903357 # DEPENDENCYPART_SIBL
(10,7),(10,21),-0.0318974 # DEPENDENCYPART_SIBL
(10,7),(10,22),0.0179937 # DEPENDENCYPART_SIBL
(10,7),(10,23),0.000968003 # DEPENDENCYPART_SIBL
(10,7),(10,25),0.0133639 # DEPENDENCYPART_SIBL
(10,7),(10,26),0.0634279 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0813704 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0035644 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0682793 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0746351 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.0922808 # DEPENDENCYPART_SIBL
(10,8),(10,15),0.00697419 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0312241 # DEPENDENCYPART_SIBL
(10,8),(10,18),-0.0895445 # DEPENDENCYPART_SIBL
(10,8),(10,19),0.0390882 # DEPENDENCYPART_SIBL
(10,8),(10,20),-0.0956308 # DEPENDENCYPART_SIBL
(10,8),(10,21),-0.00633554 # DEPENDENCYPART_SIBL
(10,8),(10,22),-0.0640457 # DEPENDENCYPART_SIBL
(10,8),(10,23),-0.0884599 # DEPENDENCYPART_SIBL
(10,8),(10,25),-0.0999802 # DEPENDENCYPART_SIBL
(10,8),(10,26),-0.014086 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.101006 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.0289 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0623859 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.0317346 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.00632664 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.0353616 # DEPENDENCYPART_SIBL
(10,9),(10,18),-0.104685 # DEPENDENCYPART_SIBL
(10,9),(10,19),0.0605034 # DEPENDENCYPART_SIBL
(10,9),(10,20),-0.0526242 # DEPENDENCYPART_SIBL
(10,9),(10,21),-0.00355605 # DEPENDENCYPART_SIBL
(10,9),(10,22),-0.0342058 # DEPENDENCYPART_SIBL
(10,9),(10,23),-0.0112484 # DEPENDENCYPART_SIBL
(10,9),(10,25),-0.0396425 # DEPENDENCYPART_SIBL
(10,9),(10,26),0.029375 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.27115 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.00751136 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.0419307 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.0246438 # DEPENDENCYPART_SIBL
(10,11),(10,16),0.0371184 # DEPENDENCYPART_SIBL
(10,11),(10,18),-0.219463 # DEPENDENCYPART_SIBL
(10,11),(10,19),0.0182685 # DEPENDENCYPART_SIBL
(10,11),(10,20),-0.0930413 # DEPENDENCYPART_SIBL
(10,11),(10,21),-0.0274311 # DEPENDENCYPART_SIBL
(10,11),(10,22),0.0172474 # DEPENDENCYPART_SIBL
(10,11),(10,23),-0.0125561 # DEPENDENCYPART_SIBL
(10,11),(10,25),-0.178899 # DEPENDENCYPART_SIBL
(10,11),(10,26),0.0237053 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.228828 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.292826 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.423644 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.374195 # DEPENDENCYPART_SIBL
(10,12),(10,18),-0.647346 # DEPENDENCYPART_SIBL
(10,12),(10,19),-0.0621535 # DEPENDENCYPART_SIBL
(10,12),(10,20),-0.482376 # DEPENDENCYPART_SIBL
(10,12),(10,21),-0.375177 # DEPENDENCYPART_SIBL
(10,12),(10,22),-0.350269 # DEPENDENCYPART_SIBL
(10,12),(10,23),-0.435791 # DEPENDENCYPART_SIBL
(10,12),(10,25),-0.499207 # DEPENDENCYPART_SIBL
(10,12),(10,26),0.0115735 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.0509716 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.0188225 # DEPENDENCYPART_SIBL
(10,13),(10,16),0.0209759 # DEPENDENCYPART_SIBL
(10,13),(10,18),-0.03707 # DEPENDENCYPART_SIBL
(10,13),(10,19),0.0900159 # DEPENDENCYPART_SIBL
(10,13),(10,20),-0.16256 # DEPENDENCYPART_SIBL
(10,13),(10,21),-0.0145536 # DEPENDENCYPART_SIBL
(10,13),(10,22),0.0487894 # DEPENDENCYPART_SIBL
(10,13),(10,23),0.0218421 # DEPENDENCYPART_SIBL
(10,13),(10,25),0.0255451 # DEPENDENCYPART_SIBL
(10,13),(10,26),0.0987526 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.172033 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.0818895 # DEPENDENCYPART_SIBL
(10,14),(10,18),-0.247356 # DEPENDENCYPART_SIBL
(10,14),(10,19),-0.142751 # DEPENDENCYPART_SIBL
(10,14),(10,20),-0.169702 # DEPENDENCYPART_SIBL
