# _root_ Mr. Carpenter , a former consulting-firm executive who has a love for `` task forces , '' says he has done a `` complete rethink '' of Kidder in recent months .
#goldHeads=2,18,2,7,7,7,2,9,7,11,9,11,12,15,12,2,2,0,20,18,20,25,25,25,21,25,25,27,21,31,29,18,
#predictedHeads=2,18,2,7,7,7,2,9,7,11,9,11,15,15,12,18,18,0,20,18,20,25,25,25,21,25,25,27,21,31,29,18,
(1,2),(2,23),(2,26),-0.042388 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,23),(2,32),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,23),(2,33),-0.0342136 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,25),(2,26),-0.0443227 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,25),(2,32),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,25),(2,33),0.00689902 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,26),(2,32),-0.0420366 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,26),(2,33),-0.0659716 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,32),(2,33),0.0955477 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,2),(2,1),0.149666 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,2),(2,2),(2,-1),0.0156682 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,2),(2,1),(2,-1),-0.144503 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,3),(3,3),(3,33),-0.00727019 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,3),(3,3),(3,-1),-0.0920224 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,6),(6,6),(6,7),-0.184093 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,9),0.0437192 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,11),-0.183162 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,12),-0.0318237 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,13),-0.0442244 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,15),-0.183005 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,33),0.0860845 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,6),(6,7),(6,9),-0.0439123 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,11),-0.0133757 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,12),-0.031949 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,13),-0.0543662 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,15),-0.0133757 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,33),0.00102476 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,9),(6,11),-0.0484128 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,9),(6,12),-0.0517866 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,9),(6,13),-0.0421734 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,9),(6,15),-0.048416 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,9),(6,33),-0.0145976 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,11),(6,12),-0.0319467 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,11),(6,13),-0.0543662 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,11),(6,15),-0.013313 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,11),(6,33),0.00269949 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,12),(6,13),-0.0425055 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,12),(6,15),-0.0427082 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,12),(6,33),-0.0718924 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,13),(6,15),-0.0494718 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,13),(6,33),-0.0342136 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,15),(6,33),0.00285673 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,6),(6,5),0.0926298 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,4),0.144822 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,3),0.165706 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,2),0.151495 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,-1),0.0158013 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,6),(6,5),(6,4),0.144366 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,5),(6,3),0.090184 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,5),(6,2),0.137356 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,5),(6,-1),-0.149662 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,4),(6,3),0.116766 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,4),(6,2),0.133817 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,4),(6,-1),-0.100688 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,3),(6,2),0.11276 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,3),(6,-1),-0.00344564 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,2),(6,-1),-0.143841 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,7),(7,9),0.0459565 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,11),-0.183735 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,12),-0.026 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,13),-0.0442244 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,15),-0.183578 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,16),0.138637 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,17),-0.0321429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,18),0.0487315 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,20),0.0459565 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,21),0.04783 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,25),-0.183578 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,26),-0.0321429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,32),0.0851298 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,33),0.0902604 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,7),(7,9),(7,11),-0.0484128 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,9),(7,12),-0.0517866 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,9),(7,13),-0.0421734 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,9),(7,15),-0.048416 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,9),(7,16),-0.0582747 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,9),(7,17),-0.0385683 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,9),(7,18),-0.045351 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,9),(7,20),-0.0461013 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,9),(7,21),-0.045351 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,9),(7,25),-0.0484128 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,9),(7,26),-0.0385683 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,9),(7,32),-0.0421587 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,9),(7,33),-0.0120938 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,11),(7,12),-0.0319467 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,11),(7,13),-0.0543662 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,11),(7,15),-0.0133425 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,11),(7,16),-0.0517423 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,11),(7,17),-0.0443227 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,11),(7,18),-0.0429856 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,11),(7,20),-0.0434787 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,11),(7,21),-0.0429856 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,11),(7,25),-0.0133425 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,11),(7,26),-0.0443227 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,11),(7,32),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,11),(7,33),0.00181636 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,12),(7,13),-0.0427028 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,12),(7,15),-0.0427414 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,12),(7,16),-0.0772072 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,12),(7,17),-0.0464359 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,12),(7,18),-0.0339122 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,12),(7,20),-0.0340308 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,12),(7,21),-0.0338678 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,12),(7,25),-0.0427414 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,12),(7,26),-0.0464359 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,12),(7,32),-0.0454444 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,12),(7,33),-0.0655028 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,13),(7,15),-0.0494718 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,13),(7,16),-0.0448183 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,13),(7,17),-0.042388 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,13),(7,18),-0.0485129 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,13),(7,20),-0.0485134 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,13),(7,21),-0.0485129 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,13),(7,25),-0.0494718 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,13),(7,26),-0.042388 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,13),(7,32),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,13),(7,33),-0.0342196 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,15),(7,16),-0.0517423 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,15),(7,17),-0.0443227 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,15),(7,18),-0.0429856 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,15),(7,20),-0.0434787 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,15),(7,21),-0.0429856 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,15),(7,25),-0.0133425 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,15),(7,26),-0.0443227 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,15),(7,32),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,15),(7,33),0.00197361 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,16),(7,17),-0.050774 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,16),(7,18),-0.117552 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,16),(7,20),-0.117229 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,16),(7,21),-0.117434 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,16),(7,25),0.133917 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,16),(7,26),-0.050774 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,16),(7,32),-0.0439761 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,16),(7,33),-0.0445189 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,17),(7,18),-0.043748 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,17),(7,20),-0.0439387 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,17),(7,21),-0.0437475 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,17),(7,25),-0.0394321 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,17),(7,26),-0.0426046 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,17),(7,32),-0.0420366 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,17),(7,33),-0.0659767 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,18),(7,20),-0.0458174 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,18),(7,21),-0.0450671 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,18),(7,25),-0.0484081 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,18),(7,26),-0.0385643 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,18),(7,32),-0.0421587 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,18),(7,33),-0.0102474 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,20),(7,21),-0.045351 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,20),(7,25),-0.0484128 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,20),(7,26),-0.0385683 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,20),(7,32),-0.0421587 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,20),(7,33),-0.0120938 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,21),(7,25),-0.0484081 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,21),(7,26),-0.0385643 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,21),(7,32),-0.0421587 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,21),(7,33),-0.011111 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,25),(7,26),-0.0443227 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,25),(7,32),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,25),(7,33),0.00197361 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,26),(7,32),-0.0420366 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,26),(7,33),-0.0659767 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,32),(7,33),0.0955477 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,7),(7,6),0.158214 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,5),0.0959753 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,4),0.143454 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,3),0.165706 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,2),0.158214 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,1),0.156767 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,7),(7,7),(7,-1),0.0190895 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,7),(7,6),(7,5),0.16808 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,6),(7,4),0.178355 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,6),(7,3),0.122619 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,6),(7,2),0.11351 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,6),(7,1),0.112753 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,6),(7,-1),-0.137895 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,5),(7,4),0.145216 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,5),(7,3),0.090184 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,5),(7,2),0.14052 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,5),(7,1),0.140509 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,5),(7,-1),-0.149293 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,4),(7,3),0.116766 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,4),(7,2),0.133817 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,4),(7,1),0.133819 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,4),(7,-1),-0.10129 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,3),(7,2),0.112758 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,3),(7,1),0.112756 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,3),(7,-1),-0.00361476 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,2),(7,1),0.112753 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,2),(7,-1),-0.137896 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,1),(7,-1),-0.138177 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,9),(9,9),(9,10),-0.0365113 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,11),-0.0286897 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,12),-0.0585626 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,13),-0.0512925 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,14),-0.028706 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,15),-0.0262003 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,16),-0.0738696 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,17),-0.0322631 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,18),-0.0357188 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,20),-0.0375594 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,21),-0.0387395 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,23),-0.0512925 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,26),-0.0322631 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,32),-0.048883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,33),0.0593168 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,9),(9,10),(9,11),-0.0441729 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,10),(9,12),-0.0518776 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,10),(9,13),-0.0420039 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,10),(9,14),-0.0441729 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,10),(9,15),-0.0441729 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,10),(9,16),-0.042167 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,10),(9,17),-0.0419998 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,10),(9,18),-0.0389933 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,10),(9,20),-0.0389933 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,10),(9,21),-0.0389933 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,10),(9,23),-0.0420039 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,10),(9,26),-0.0419998 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,10),(9,32),-0.0430447 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,10),(9,33),-0.0316445 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,11),(9,12),-0.0106308 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,11),(9,13),-0.0466629 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,11),(9,14),-0.0352848 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,11),(9,15),-0.0352848 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,11),(9,16),-0.0632175 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,11),(9,17),-0.0170816 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,11),(9,18),-0.0600332 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,11),(9,20),-0.0599396 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,11),(9,21),-0.0599728 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,11),(9,23),-0.0466629 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,11),(9,26),-0.0170816 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,11),(9,32),-0.0550567 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,11),(9,33),-0.0477864 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,12),(9,13),-0.0392891 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,12),(9,14),-0.0349235 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,12),(9,15),-0.0349235 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,12),(9,16),-0.022336 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,12),(9,17),-0.0287667 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,12),(9,18),-0.0399247 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,12),(9,20),-0.0401691 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,12),(9,21),-0.039903 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,12),(9,23),-0.0392891 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,12),(9,26),-0.0287667 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,12),(9,32),-0.0548053 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,12),(9,33),-0.0406164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,13),(9,14),-0.0334768 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,13),(9,15),-0.0334768 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,13),(9,16),-0.0442745 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,13),(9,17),-0.0430463 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,13),(9,18),-0.0249087 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,13),(9,20),-0.0249087 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,13),(9,21),-0.0249087 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,13),(9,23),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,13),(9,26),-0.0430463 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,13),(9,32),-0.0320264 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,13),(9,33),-0.0434961 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,14),(9,15),-0.0352848 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,14),(9,16),-0.0609955 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,14),(9,17),-0.0170813 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,14),(9,18),-0.0600332 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,14),(9,20),-0.0599396 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,14),(9,21),-0.0599728 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,14),(9,23),-0.0466629 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,14),(9,26),-0.0170813 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,14),(9,32),-0.0550567 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,14),(9,33),-0.0479077 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,15),(9,16),-0.0632179 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,15),(9,17),-0.0170813 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,15),(9,18),-0.0600352 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,15),(9,20),-0.0599416 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,15),(9,21),-0.0599749 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,15),(9,23),-0.0466629 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,15),(9,26),-0.0170813 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,15),(9,32),-0.0550567 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,15),(9,33),-0.0455387 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,16),(9,17),-0.0408353 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,16),(9,18),-0.0765591 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,16),(9,20),-0.0774663 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,16),(9,21),-0.0760041 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,16),(9,23),-0.0218988 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,16),(9,26),-0.0408353 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,16),(9,32),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,16),(9,33),-0.0940006 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,17),(9,18),-0.0391285 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,17),(9,20),-0.0389897 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,17),(9,21),-0.0389897 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,17),(9,23),-0.0419997 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,17),(9,26),-0.0429791 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,17),(9,32),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,17),(9,33),-0.022757 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,18),(9,20),-0.0439717 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,18),(9,21),-0.0439657 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,18),(9,23),-0.0425631 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,18),(9,26),-0.0250027 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,18),(9,32),-0.0440243 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,18),(9,33),-0.062397 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,20),(9,21),-0.0438235 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,20),(9,23),-0.0425631 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,20),(9,26),-0.0250027 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,20),(9,32),-0.0440243 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,20),(9,33),-0.0668303 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,21),(9,23),-0.0425631 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,21),(9,26),-0.0250027 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,21),(9,32),-0.0440243 # DEPENDENCYPART_GRANDSIBL
