# _root_ Great Northern Nekoosa reacted coolly to Georgia-Pacific 's takeover bid of $ 58 a share , or $ 3.19 billion , though the suitor said all terms are negotiable .
#goldHeads=3,3,4,0,4,4,10,7,10,6,10,13,17,15,13,17,11,17,18,18,17,25,24,25,4,27,28,25,28,4,
#predictedHeads=3,3,4,0,4,4,10,7,10,6,10,13,17,15,13,17,11,17,18,18,4,25,24,25,4,27,28,25,28,4,
(9,10),(10,10),(10,4),-0.15429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,3),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,2),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,1),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,-1),0.0210963 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,10),(10,9),(10,8),-0.125323 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,9),(10,7),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,9),(10,6),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,9),(10,5),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,9),(10,4),-0.125545 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,9),(10,3),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,9),(10,2),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,9),(10,1),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,9),(10,-1),-0.147224 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,10),(10,8),(10,7),-0.124913 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,8),(10,6),-0.125487 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,8),(10,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,8),(10,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,8),(10,3),-0.124913 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,8),(10,2),-0.124913 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,8),(10,1),-0.124913 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,8),(10,-1),0.07468 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,7),(10,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,7),(10,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,7),(10,4),-0.125545 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,7),(10,3),-0.125449 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,7),(10,2),-0.125449 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,7),(10,1),-0.125449 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,7),(10,-1),-0.147927 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,6),(10,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,6),(10,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,6),(10,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,6),(10,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,6),(10,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,6),(10,-1),-0.090785 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,5),(10,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,5),(10,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,5),(10,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,5),(10,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,5),(10,-1),-0.116372 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,4),(10,3),-0.124957 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,4),(10,2),-0.124957 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,4),(10,1),-0.124957 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,4),(10,-1),-0.17381 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,3),(10,2),-0.125449 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,3),(10,1),-0.125449 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,3),(10,-1),-0.149064 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,2),(10,1),-0.125449 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,2),(10,-1),-0.150527 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,1),(10,-1),-0.147487 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,11),(11,12),0.0506176 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,13),0.0623203 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,15),0.0908122 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,16),-0.0822877 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,17),0.014237 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,18),0.0506176 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,31),-0.417847 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,11),(11,12),(11,13),-0.0464031 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,15),-0.0520202 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,16),-0.0421636 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,17),-0.04654 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,18),-0.0421822 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,31),0.0898493 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,13),(11,15),-0.0553866 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,13),(11,16),-0.0458405 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,13),(11,17),-0.0375389 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,13),(11,18),-0.0426618 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,13),(11,31),0.0243282 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,15),(11,16),-0.0228811 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,15),(11,17),-0.0606724 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,15),(11,18),-0.0428958 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,15),(11,31),0.0379599 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,16),(11,17),-0.0469052 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,16),(11,18),-0.0420075 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,16),(11,31),-0.0289964 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,17),(11,18),0.145274 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,17),(11,31),0.00211896 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,18),(11,31),0.0898493 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,11),(11,6),-0.134684 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,-1),0.0194434 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,11),(11,6),(11,-1),-0.154272 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,12),(12,13),-0.0665681 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,14),-0.050717 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,15),-0.0433601 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,16),-0.042042 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,18),-0.0431158 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,19),-0.0665681 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,20),-0.0678294 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,29),-0.0873389 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,31),0.0903342 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,12),(12,13),(12,14),-0.0430328 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,13),(12,15),-0.0348496 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,13),(12,16),-0.0479615 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,13),(12,18),-0.0220037 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,13),(12,19),-0.0359832 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,13),(12,20),-0.0411461 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,13),(12,29),-0.0451332 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,13),(12,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,13),(12,31),-0.0499425 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,14),(12,15),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,14),(12,16),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,14),(12,18),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,14),(12,19),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,14),(12,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,14),(12,29),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,14),(12,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,14),(12,31),-0.0651624 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,15),(12,16),-0.0174915 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,15),(12,18),-0.0420104 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,15),(12,19),-0.0420409 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,15),(12,20),-0.0420409 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,15),(12,29),-0.0420011 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,15),(12,30),-0.0420062 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,15),(12,31),-0.0456102 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,16),(12,18),-0.0424015 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,16),(12,19),-0.0431679 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,16),(12,20),-0.0433824 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,16),(12,29),-0.0485794 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,16),(12,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,16),(12,31),-0.0412524 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,18),(12,19),-0.0430686 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,18),(12,20),-0.0430686 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,18),(12,29),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,18),(12,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,18),(12,31),-0.00791068 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,19),(12,20),-0.0411461 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,19),(12,29),-0.0451332 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,19),(12,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,19),(12,31),-0.0499425 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,20),(12,29),-0.0453045 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,20),(12,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,20),(12,31),-0.0505848 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,29),(12,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,29),(12,31),-0.0666371 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,30),(12,31),-0.0449236 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,12),(12,11),0.121353 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,10),0.102595 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,9),0.10262 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,12),(12,12),(12,-1),-0.257756 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,12),(12,11),(12,10),0.118854 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,11),(12,9),0.118854 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,11),(12,-1),-0.197646 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,10),(12,9),0.119163 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,10),(12,-1),-0.120904 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,9),(12,-1),-0.120879 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,13),(13,13),(13,14),-0.0562855 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,15),-0.0508764 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,16),-0.0636333 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,17),-0.0423259 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,19),-0.0256139 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,22),-0.032287 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,24),-0.0504758 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,25),-0.054602 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,27),-0.0504761 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,31),0.148772 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,13),(13,14),(13,15),-0.0420731 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,16),-0.0420122 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,17),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,19),-0.0419997 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,22),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,24),-0.0420731 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,25),-0.0420093 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,27),-0.0420731 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,31),-0.0893101 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,15),(13,16),-0.0440481 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,15),(13,17),-0.0422295 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,15),(13,19),-0.0420976 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,15),(13,22),-0.042802 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,15),(13,24),-0.0428603 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,15),(13,25),-0.0420045 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,15),(13,27),-0.0428603 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,15),(13,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,15),(13,31),-0.0628869 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,16),(13,17),-0.0394286 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,16),(13,19),-0.0503241 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,16),(13,22),-0.047759 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,16),(13,24),-0.0611546 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,16),(13,25),-0.0442617 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,16),(13,27),-0.0611696 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,16),(13,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,16),(13,31),-0.04084 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,17),(13,19),0.0694693 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,17),(13,22),0.168518 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,17),(13,24),-0.0795323 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,17),(13,25),0.157236 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,17),(13,27),-0.111289 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,17),(13,30),0.0798837 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,17),(13,31),-0.0418103 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,19),(13,22),-0.0431416 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,19),(13,24),-0.0420016 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,19),(13,25),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,19),(13,27),-0.0420016 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,19),(13,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,19),(13,31),0.0946558 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,22),(13,24),-0.0415712 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,22),(13,25),-0.0449616 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,22),(13,27),-0.0415712 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,22),(13,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,22),(13,31),-0.0469452 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,24),(13,25),-0.0420045 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,24),(13,27),-0.0428603 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,24),(13,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,24),(13,31),-0.0611712 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,25),(13,27),-0.041999 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,25),(13,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,25),(13,31),-0.062936 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,27),(13,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,27),(13,31),-0.0611865 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,30),(13,31),-0.0419988 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,13),(13,12),0.146379 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,11),0.0681177 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,10),0.193757 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,9),0.193757 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,13),(13,13),(13,-1),-0.0437037 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,13),(13,12),(13,11),0.11848 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,12),(13,10),0.118932 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,12),(13,9),0.118932 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,12),(13,-1),-0.0618292 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,11),(13,10),0.118255 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,11),(13,9),0.118255 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,11),(13,-1),-0.178071 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,10),(13,9),0.12178 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,10),(13,-1),-0.0586368 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,9),(13,-1),-0.0586341 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,1),(1,1),(1,2),0.14683 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,1),(1,3),0.147551 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,1),(1,4),0.125612 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,1),(1,31),0.0297374 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,1),(1,2),(1,3),0.110117 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,2),(1,4),0.114163 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,2),(1,31),-0.146757 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,3),(1,4),0.114163 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,3),(1,31),-0.145294 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,4),(1,31),-0.174102 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,1),(1,-1),0.100385 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,2),(2,2),(2,3),0.147551 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,4),0.125613 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,5),0.105448 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,8),0.234134 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,31),0.0247811 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,2),(2,3),(2,4),0.114163 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,5),0.111072 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,8),0.107718 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,31),-0.145294 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,4),(2,5),0.130934 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,8),0.128173 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,31),-0.174102 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,5),(2,8),0.113876 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,5),(2,31),-0.11283 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,8),(2,31),0.0752053 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,2),(2,1),-0.178034 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,-1),0.0966505 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,2),(2,1),(2,-1),0.00466461 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,3),(3,4),0.125603 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,5),0.105448 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,8),0.231443 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,30),-0.125132 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,31),0.0255412 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,3),(3,4),(3,5),0.130934 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,8),0.128173 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,30),-0.124886 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,31),-0.174112 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,5),(3,8),0.113876 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,31),-0.11283 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,8),(3,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,8),(3,31),0.0725147 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,30),(3,31),-0.144995 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,3),(3,2),-0.177913 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,1),-0.178036 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,-1),0.0947439 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,3),(3,2),(3,1),-0.0111944 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,2),(3,-1),0.00565933 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,1),(3,-1),0.00466357 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,4),(4,4),(4,5),0.233181 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,6),0.168367 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,7),0.158683 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,9),0.159185 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,10),-0.175299 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,4),(4,4),(4,11),-0.154802 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,12),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,15),-0.175387 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,16),-0.12509 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,17),-0.154375 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,21),-0.12509 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,22),-0.154432 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,25),-0.170031 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,28),-0.170187 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,30),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,31),0.0523758 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,4),(4,5),(4,6),0.147457 # DEPENDENCYPART_GRANDSIBL
