# _root_ `` For all intents and purposes , an agreement appears to have been achieved , '' he said .
#goldHeads=18,10,4,2,4,5,10,9,10,18,10,11,12,13,18,18,18,0,18,
#predictedHeads=18,10,4,2,4,5,10,9,10,18,10,11,12,13,18,18,18,0,18,
(9,2),(9,10),-0.023192 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.0595205 # DEPENDENCYPART_SIBL
(9,2),(9,13),0.0149949 # DEPENDENCYPART_SIBL
(9,2),(9,14),-0.00113469 # DEPENDENCYPART_SIBL
(9,2),(9,15),-0.119353 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.0365995 # DEPENDENCYPART_SIBL
(9,2),(9,18),-0.0681965 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.26631 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.0701577 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.214173 # DEPENDENCYPART_SIBL
(9,4),(9,10),0.0435308 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.0258052 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.00969146 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.000945226 # DEPENDENCYPART_SIBL
(9,4),(9,15),-0.0298577 # DEPENDENCYPART_SIBL
(9,4),(9,16),0.0281142 # DEPENDENCYPART_SIBL
(9,4),(9,18),0.0146814 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0688457 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.21443 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.0432685 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0275855 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.00994597 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.00119973 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.0302912 # DEPENDENCYPART_SIBL
(9,6),(9,16),0.0278592 # DEPENDENCYPART_SIBL
(9,6),(9,18),0.014427 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0371441 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.0400046 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.00313259 # DEPENDENCYPART_SIBL
(9,7),(9,13),0.0265406 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.0212346 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.0420393 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.0127485 # DEPENDENCYPART_SIBL
(9,7),(9,18),0.227866 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.183732 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.435851 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.237025 # DEPENDENCYPART_SIBL
(9,8),(9,14),0.275133 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.0618862 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.0481992 # DEPENDENCYPART_SIBL
(9,8),(9,18),0.185429 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.0348955 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.0675216 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.0405759 # DEPENDENCYPART_SIBL
(9,10),(9,15),0.289725 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.0824883 # DEPENDENCYPART_SIBL
(9,10),(9,18),-0.151717 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.0451824 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.0174909 # DEPENDENCYPART_SIBL
(9,11),(9,15),0.0648344 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.0252273 # DEPENDENCYPART_SIBL
(9,11),(9,18),-0.0405475 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.361192 # DEPENDENCYPART_SIBL
(9,13),(9,15),0.255595 # DEPENDENCYPART_SIBL
(9,13),(9,16),0.1283 # DEPENDENCYPART_SIBL
(9,13),(9,18),-0.0574776 # DEPENDENCYPART_SIBL
(9,14),(9,15),0.265046 # DEPENDENCYPART_SIBL
(9,14),(9,16),0.169138 # DEPENDENCYPART_SIBL
(9,14),(9,18),-0.0355547 # DEPENDENCYPART_SIBL
(9,15),(9,16),0.292658 # DEPENDENCYPART_SIBL
(9,15),(9,18),0.26362 # DEPENDENCYPART_SIBL
(9,16),(9,18),0.0336434 # DEPENDENCYPART_SIBL
(10,1),(10,2),-0.00280538 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.0637175 # DEPENDENCYPART_SIBL
(10,1),(10,4),0.00797831 # DEPENDENCYPART_SIBL
(10,1),(10,5),-0.0218408 # DEPENDENCYPART_SIBL
(10,1),(10,6),0.00795875 # DEPENDENCYPART_SIBL
(10,1),(10,7),0.0489968 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.0145177 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.0043537 # DEPENDENCYPART_SIBL
(10,1),(10,11),0.0589264 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.0203584 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.0605203 # DEPENDENCYPART_SIBL
(10,1),(10,14),0.0349992 # DEPENDENCYPART_SIBL
(10,1),(10,15),-0.072309 # DEPENDENCYPART_SIBL
(10,1),(10,16),0.257734 # DEPENDENCYPART_SIBL
(10,1),(10,18),-0.165238 # DEPENDENCYPART_SIBL
(10,1),(10,19),0.155272 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.0631546 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.0361593 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.177127 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.0372798 # DEPENDENCYPART_SIBL
(10,2),(10,7),0.352769 # DEPENDENCYPART_SIBL
(10,2),(10,8),0.0143411 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.0268483 # DEPENDENCYPART_SIBL
(10,2),(10,11),0.141705 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.0176769 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.00104628 # DEPENDENCYPART_SIBL
(10,2),(10,14),0.0365164 # DEPENDENCYPART_SIBL
(10,2),(10,15),-0.0466265 # DEPENDENCYPART_SIBL
(10,2),(10,16),0.0677977 # DEPENDENCYPART_SIBL
(10,2),(10,18),0.00402398 # DEPENDENCYPART_SIBL
(10,2),(10,19),0.0626911 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.254619 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.334592 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.254647 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.184222 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.280686 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.270769 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.0578595 # DEPENDENCYPART_SIBL
(10,3),(10,12),0.0209212 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.119053 # DEPENDENCYPART_SIBL
(10,3),(10,14),-0.0563913 # DEPENDENCYPART_SIBL
(10,3),(10,15),0.0205077 # DEPENDENCYPART_SIBL
(10,3),(10,16),0.0392638 # DEPENDENCYPART_SIBL
(10,3),(10,18),-0.0218269 # DEPENDENCYPART_SIBL
(10,3),(10,19),-0.00710012 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.143606 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.449787 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.037509 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.130154 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.227944 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.0701392 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.0434899 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.0459943 # DEPENDENCYPART_SIBL
(10,4),(10,14),-0.0281705 # DEPENDENCYPART_SIBL
(10,4),(10,15),-0.088595 # DEPENDENCYPART_SIBL
(10,4),(10,16),-0.0556465 # DEPENDENCYPART_SIBL
(10,4),(10,18),-0.0828314 # DEPENDENCYPART_SIBL
(10,4),(10,19),-0.031514 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.015039 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.121805 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.0604823 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.00630135 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.0415225 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0129371 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.00154336 # DEPENDENCYPART_SIBL
(10,5),(10,14),0.0197979 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.100778 # DEPENDENCYPART_SIBL
(10,5),(10,16),0.0479622 # DEPENDENCYPART_SIBL
(10,5),(10,18),-0.0636643 # DEPENDENCYPART_SIBL
(10,5),(10,19),0.121669 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.0380591 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.130155 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.227966 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0747194 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0450409 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.0475228 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.029699 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.0902984 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.0571752 # DEPENDENCYPART_SIBL
(10,6),(10,18),-0.0843598 # DEPENDENCYPART_SIBL
(10,6),(10,19),-0.038082 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.0438322 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.0134402 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.0338777 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0208587 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.0562729 # DEPENDENCYPART_SIBL
(10,7),(10,14),0.050711 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.0599179 # DEPENDENCYPART_SIBL
(10,7),(10,16),0.0725233 # DEPENDENCYPART_SIBL
(10,7),(10,18),0.124302 # DEPENDENCYPART_SIBL
(10,7),(10,19),0.106355 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.197319 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.086471 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0510582 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0736204 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.0071222 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.0562801 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0223319 # DEPENDENCYPART_SIBL
(10,8),(10,18),-0.00774007 # DEPENDENCYPART_SIBL
(10,8),(10,19),-0.0236882 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.0433467 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0264974 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.0556951 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.00456366 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.0353723 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.0457672 # DEPENDENCYPART_SIBL
(10,9),(10,18),-0.0201589 # DEPENDENCYPART_SIBL
(10,9),(10,19),0.0547554 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.225379 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.0486341 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.0694608 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.00037208 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.0311316 # DEPENDENCYPART_SIBL
(10,11),(10,18),-0.0912738 # DEPENDENCYPART_SIBL
(10,11),(10,19),0.0321616 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.16616 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.189657 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.0357565 # DEPENDENCYPART_SIBL
(10,12),(10,16),0.0284394 # DEPENDENCYPART_SIBL
(10,12),(10,18),-0.188078 # DEPENDENCYPART_SIBL
(10,12),(10,19),-0.027474 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.642853 # DEPENDENCYPART_SIBL
(10,13),(10,15),0.12409 # DEPENDENCYPART_SIBL
(10,13),(10,16),0.115707 # DEPENDENCYPART_SIBL
(10,13),(10,18),-0.215891 # DEPENDENCYPART_SIBL
(10,13),(10,19),0.163553 # DEPENDENCYPART_SIBL
(10,14),(10,15),0.0339912 # DEPENDENCYPART_SIBL
(10,14),(10,16),0.0899241 # DEPENDENCYPART_SIBL
(10,14),(10,18),-0.247109 # DEPENDENCYPART_SIBL
(10,14),(10,19),0.0285966 # DEPENDENCYPART_SIBL
(10,15),(10,16),0.0336042 # DEPENDENCYPART_SIBL
(10,15),(10,18),-0.10524 # DEPENDENCYPART_SIBL
(10,15),(10,19),-0.0506591 # DEPENDENCYPART_SIBL
(10,16),(10,18),-0.0990718 # DEPENDENCYPART_SIBL
(10,16),(10,19),-0.0765648 # DEPENDENCYPART_SIBL
(10,18),(10,19),0.00968845 # DEPENDENCYPART_SIBL
(11,2),(11,4),-0.0199959 # DEPENDENCYPART_SIBL
(11,2),(11,8),0.0607162 # DEPENDENCYPART_SIBL
(11,2),(11,9),-0.0818858 # DEPENDENCYPART_SIBL
(11,2),(11,12),0.00812692 # DEPENDENCYPART_SIBL
(11,2),(11,13),0.0135623 # DEPENDENCYPART_SIBL
(11,2),(11,14),-0.00350503 # DEPENDENCYPART_SIBL
(11,2),(11,15),-0.0593317 # DEPENDENCYPART_SIBL
(11,4),(11,8),-0.0856434 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.191454 # DEPENDENCYPART_SIBL
(11,4),(11,12),0.0803003 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.0390064 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.0311237 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.0504646 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.10099 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.1035 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.0310682 # DEPENDENCYPART_SIBL
(11,8),(11,14),0.00160552 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.112482 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.0569459 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.0519474 # DEPENDENCYPART_SIBL
(11,9),(11,14),0.0196581 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.0129755 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.295605 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.290751 # DEPENDENCYPART_SIBL
(11,12),(11,15),0.0480619 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.428027 # DEPENDENCYPART_SIBL
(11,13),(11,15),0.162674 # DEPENDENCYPART_SIBL
(11,14),(11,15),0.126999 # DEPENDENCYPART_SIBL
(12,1),(12,2),0.0552256 # DEPENDENCYPART_SIBL
(12,1),(12,4),0.0603992 # DEPENDENCYPART_SIBL
(12,1),(12,6),0.0603945 # DEPENDENCYPART_SIBL
(12,1),(12,7),-0.0231258 # DEPENDENCYPART_SIBL
(12,1),(12,8),0.0282787 # DEPENDENCYPART_SIBL
(12,1),(12,9),0.0664693 # DEPENDENCYPART_SIBL
(12,1),(12,11),-0.0192955 # DEPENDENCYPART_SIBL
(12,1),(12,13),0.214058 # DEPENDENCYPART_SIBL
(12,1),(12,14),0.274359 # DEPENDENCYPART_SIBL
(12,1),(12,15),0.0767978 # DEPENDENCYPART_SIBL
(12,1),(12,16),0.749064 # DEPENDENCYPART_SIBL
(12,1),(12,17),0.0232022 # DEPENDENCYPART_SIBL
(12,1),(12,18),0.0622667 # DEPENDENCYPART_SIBL
(12,1),(12,19),0.300727 # DEPENDENCYPART_SIBL
(12,2),(12,4),-0.00660449 # DEPENDENCYPART_SIBL
(12,2),(12,6),-0.00771149 # DEPENDENCYPART_SIBL
(12,2),(12,7),0.276951 # DEPENDENCYPART_SIBL
(12,2),(12,8),0.0189851 # DEPENDENCYPART_SIBL
(12,2),(12,9),-0.0360273 # DEPENDENCYPART_SIBL
(12,2),(12,11),0.0224964 # DEPENDENCYPART_SIBL
(12,2),(12,13),4.93422e-05 # DEPENDENCYPART_SIBL
(12,2),(12,14),-0.00289698 # DEPENDENCYPART_SIBL
(12,2),(12,15),-0.0808615 # DEPENDENCYPART_SIBL
(12,2),(12,16),-0.0302042 # DEPENDENCYPART_SIBL
(12,2),(12,17),-0.0517126 # DEPENDENCYPART_SIBL
(12,2),(12,18),-0.0699974 # DEPENDENCYPART_SIBL
(12,2),(12,19),0.0379021 # DEPENDENCYPART_SIBL
(12,4),(12,6),-0.529023 # DEPENDENCYPART_SIBL
(12,4),(12,7),-0.135155 # DEPENDENCYPART_SIBL
(12,4),(12,8),-0.14729 # DEPENDENCYPART_SIBL
(12,4),(12,9),-0.199712 # DEPENDENCYPART_SIBL
(12,4),(12,11),-0.10116 # DEPENDENCYPART_SIBL
(12,4),(12,13),0.0751084 # DEPENDENCYPART_SIBL
(12,4),(12,14),0.095771 # DEPENDENCYPART_SIBL
(12,4),(12,15),-0.00761585 # DEPENDENCYPART_SIBL
(12,4),(12,16),0.0142102 # DEPENDENCYPART_SIBL
(12,4),(12,17),-0.0201778 # DEPENDENCYPART_SIBL
(12,4),(12,18),0.0304304 # DEPENDENCYPART_SIBL
(12,4),(12,19),0.136641 # DEPENDENCYPART_SIBL
(12,6),(12,7),-0.135705 # DEPENDENCYPART_SIBL
(12,6),(12,8),-0.14729 # DEPENDENCYPART_SIBL
(12,6),(12,9),-0.199734 # DEPENDENCYPART_SIBL
(12,6),(12,11),-0.10116 # DEPENDENCYPART_SIBL
(12,6),(12,13),0.0751083 # DEPENDENCYPART_SIBL
(12,6),(12,14),0.0957709 # DEPENDENCYPART_SIBL
(12,6),(12,15),-0.00779096 # DEPENDENCYPART_SIBL
(12,6),(12,16),0.0142099 # DEPENDENCYPART_SIBL
(12,6),(12,17),-0.0201778 # DEPENDENCYPART_SIBL
(12,6),(12,18),0.0304304 # DEPENDENCYPART_SIBL
(12,6),(12,19),0.133132 # DEPENDENCYPART_SIBL
(12,7),(12,8),-0.0103196 # DEPENDENCYPART_SIBL
(12,7),(12,9),0.0429742 # DEPENDENCYPART_SIBL
(12,7),(12,11),-0.0267982 # DEPENDENCYPART_SIBL
(12,7),(12,13),0.0531039 # DEPENDENCYPART_SIBL
(12,7),(12,14),0.0924079 # DEPENDENCYPART_SIBL
(12,7),(12,15),-0.0118455 # DEPENDENCYPART_SIBL
(12,7),(12,16),-0.0235328 # DEPENDENCYPART_SIBL
(12,7),(12,17),0.0497137 # DEPENDENCYPART_SIBL
(12,7),(12,18),0.220471 # DEPENDENCYPART_SIBL
(12,7),(12,19),0.211616 # DEPENDENCYPART_SIBL
(12,8),(12,9),-0.104334 # DEPENDENCYPART_SIBL
(12,8),(12,11),-0.252277 # DEPENDENCYPART_SIBL
(12,8),(12,13),0.0264934 # DEPENDENCYPART_SIBL
(12,8),(12,14),0.0771782 # DEPENDENCYPART_SIBL
(12,8),(12,15),-0.0890974 # DEPENDENCYPART_SIBL
(12,8),(12,16),-0.081683 # DEPENDENCYPART_SIBL
(12,8),(12,17),-0.0647883 # DEPENDENCYPART_SIBL
(12,8),(12,18),0.0123347 # DEPENDENCYPART_SIBL
(12,8),(12,19),-0.0196482 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.0478985 # DEPENDENCYPART_SIBL
(12,9),(12,13),0.0431042 # DEPENDENCYPART_SIBL
(12,9),(12,14),0.0449636 # DEPENDENCYPART_SIBL
(12,9),(12,15),-0.0314754 # DEPENDENCYPART_SIBL
(12,9),(12,16),0.00896586 # DEPENDENCYPART_SIBL
(12,9),(12,17),-0.0501538 # DEPENDENCYPART_SIBL
(12,9),(12,18),-0.00024266 # DEPENDENCYPART_SIBL
(12,9),(12,19),0.034463 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.0745169 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.0705717 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.101393 # DEPENDENCYPART_SIBL
(12,11),(12,16),0.00429872 # DEPENDENCYPART_SIBL
(12,11),(12,17),0.0632148 # DEPENDENCYPART_SIBL
(12,11),(12,18),-0.0162035 # DEPENDENCYPART_SIBL
(12,11),(12,19),0.0144136 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.618366 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.000860388 # DEPENDENCYPART_SIBL
(12,13),(12,16),0.0459251 # DEPENDENCYPART_SIBL
(12,13),(12,17),-0.234546 # DEPENDENCYPART_SIBL
(12,13),(12,18),-0.256625 # DEPENDENCYPART_SIBL
(12,13),(12,19),0.220756 # DEPENDENCYPART_SIBL
(12,14),(12,15),-0.0647386 # DEPENDENCYPART_SIBL
(12,14),(12,16),0.0277589 # DEPENDENCYPART_SIBL
(12,14),(12,17),-0.254079 # DEPENDENCYPART_SIBL
(12,14),(12,18),-0.28216 # DEPENDENCYPART_SIBL
(12,14),(12,19),0.115699 # DEPENDENCYPART_SIBL
(12,15),(12,16),0.137658 # DEPENDENCYPART_SIBL
(12,15),(12,17),0.0309398 # DEPENDENCYPART_SIBL
(12,15),(12,18),0.108018 # DEPENDENCYPART_SIBL
(12,15),(12,19),0.0403305 # DEPENDENCYPART_SIBL
(12,16),(12,17),-0.049107 # DEPENDENCYPART_SIBL
(12,16),(12,18),-0.0771762 # DEPENDENCYPART_SIBL
(12,16),(12,19),-0.103291 # DEPENDENCYPART_SIBL
(12,17),(12,18),-0.0716951 # DEPENDENCYPART_SIBL
(12,17),(12,19),-0.0675893 # DEPENDENCYPART_SIBL
(12,18),(12,19),0.120189 # DEPENDENCYPART_SIBL
(13,1),(13,2),-0.0158444 # DEPENDENCYPART_SIBL
(13,1),(13,4),0.0262672 # DEPENDENCYPART_SIBL
(13,1),(13,9),0.0901394 # DEPENDENCYPART_SIBL
(13,1),(13,14),0.12767 # DEPENDENCYPART_SIBL
(13,1),(13,15),0.122006 # DEPENDENCYPART_SIBL
(13,1),(13,16),0.554009 # DEPENDENCYPART_SIBL
(13,1),(13,17),-0.0203595 # DEPENDENCYPART_SIBL
(13,1),(13,18),-0.0422232 # DEPENDENCYPART_SIBL
(13,2),(13,4),0.0263906 # DEPENDENCYPART_SIBL
(13,2),(13,9),0.0762617 # DEPENDENCYPART_SIBL
(13,2),(13,14),-0.0874388 # DEPENDENCYPART_SIBL
(13,2),(13,15),-0.115173 # DEPENDENCYPART_SIBL
(13,2),(13,16),-0.0703964 # DEPENDENCYPART_SIBL
(13,2),(13,17),-0.087276 # DEPENDENCYPART_SIBL
(13,2),(13,18),-0.110159 # DEPENDENCYPART_SIBL
(13,4),(13,9),-0.0688128 # DEPENDENCYPART_SIBL
(13,4),(13,14),0.016358 # DEPENDENCYPART_SIBL
(13,4),(13,15),0.0207126 # DEPENDENCYPART_SIBL
(13,4),(13,16),0.00175833 # DEPENDENCYPART_SIBL
(13,4),(13,17),-0.0138415 # DEPENDENCYPART_SIBL
(13,4),(13,18),-0.0254115 # DEPENDENCYPART_SIBL
(13,9),(13,14),0.0278761 # DEPENDENCYPART_SIBL
(13,9),(13,15),0.0198549 # DEPENDENCYPART_SIBL
(13,9),(13,16),0.017117 # DEPENDENCYPART_SIBL
(13,9),(13,17),-0.0704987 # DEPENDENCYPART_SIBL
(13,9),(13,18),-0.0284583 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.257681 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.136273 # DEPENDENCYPART_SIBL
(13,14),(13,17),-0.244176 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.291683 # DEPENDENCYPART_SIBL
(13,15),(13,16),0.238156 # DEPENDENCYPART_SIBL
(13,15),(13,17),0.0751709 # DEPENDENCYPART_SIBL
(13,15),(13,18),0.130049 # DEPENDENCYPART_SIBL
(13,16),(13,17),0.0541835 # DEPENDENCYPART_SIBL
(13,16),(13,18),0.0234624 # DEPENDENCYPART_SIBL
(13,17),(13,18),-0.00420471 # DEPENDENCYPART_SIBL
(14,1),(14,2),-0.013861 # DEPENDENCYPART_SIBL
(14,1),(14,4),0.0309143 # DEPENDENCYPART_SIBL
(14,1),(14,5),0.000968608 # DEPENDENCYPART_SIBL
(14,1),(14,6),0.0309095 # DEPENDENCYPART_SIBL
(14,1),(14,7),-0.0129325 # DEPENDENCYPART_SIBL
(14,1),(14,8),0.0111793 # DEPENDENCYPART_SIBL
(14,1),(14,9),0.0511347 # DEPENDENCYPART_SIBL
(14,1),(14,11),-0.0235219 # DEPENDENCYPART_SIBL
(14,1),(14,13),-0.0135681 # DEPENDENCYPART_SIBL
(14,1),(14,15),0.0923189 # DEPENDENCYPART_SIBL
(14,1),(14,16),0.511886 # DEPENDENCYPART_SIBL
(14,1),(14,17),-0.0273583 # DEPENDENCYPART_SIBL
(14,1),(14,18),-0.0401406 # DEPENDENCYPART_SIBL
(14,2),(14,4),-0.000232103 # DEPENDENCYPART_SIBL
(14,2),(14,5),-0.0872357 # DEPENDENCYPART_SIBL
(14,2),(14,6),-0.0013391 # DEPENDENCYPART_SIBL
(14,2),(14,7),0.372253 # DEPENDENCYPART_SIBL
(14,2),(14,8),0.0447392 # DEPENDENCYPART_SIBL
(14,2),(14,9),-0.0080456 # DEPENDENCYPART_SIBL
(14,2),(14,11),0.0549508 # DEPENDENCYPART_SIBL
(14,2),(14,13),-0.0572589 # DEPENDENCYPART_SIBL
(14,2),(14,15),-0.104275 # DEPENDENCYPART_SIBL
(14,2),(14,16),-0.0609285 # DEPENDENCYPART_SIBL
(14,2),(14,17),-0.0644764 # DEPENDENCYPART_SIBL
(14,2),(14,18),-0.0783815 # DEPENDENCYPART_SIBL
(14,4),(14,5),-0.0331741 # DEPENDENCYPART_SIBL
(14,4),(14,6),-0.35955 # DEPENDENCYPART_SIBL
(14,4),(14,7),-0.037121 # DEPENDENCYPART_SIBL
(14,4),(14,8),-0.0764923 # DEPENDENCYPART_SIBL
(14,4),(14,9),-0.108967 # DEPENDENCYPART_SIBL
(14,4),(14,11),0.00180305 # DEPENDENCYPART_SIBL
(14,4),(14,13),0.00626301 # DEPENDENCYPART_SIBL
(14,4),(14,15),0.022177 # DEPENDENCYPART_SIBL
(14,4),(14,16),-0.00178572 # DEPENDENCYPART_SIBL
(14,4),(14,17),0.00193181 # DEPENDENCYPART_SIBL
(14,4),(14,18),-0.000100387 # DEPENDENCYPART_SIBL
(14,5),(14,6),-0.00914865 # DEPENDENCYPART_SIBL
(14,5),(14,7),0.0278595 # DEPENDENCYPART_SIBL
(14,5),(14,8),0.051906 # DEPENDENCYPART_SIBL
(14,5),(14,9),-0.0202873 # DEPENDENCYPART_SIBL
(14,5),(14,11),-0.017009 # DEPENDENCYPART_SIBL
(14,5),(14,13),-0.0647739 # DEPENDENCYPART_SIBL
(14,5),(14,15),-0.109091 # DEPENDENCYPART_SIBL
(14,5),(14,16),-0.0283037 # DEPENDENCYPART_SIBL
(14,5),(14,17),-0.0375302 # DEPENDENCYPART_SIBL
(14,5),(14,18),-0.0631666 # DEPENDENCYPART_SIBL
(14,6),(14,7),-0.0376708 # DEPENDENCYPART_SIBL
(14,6),(14,8),-0.0764923 # DEPENDENCYPART_SIBL
(14,6),(14,9),-0.108989 # DEPENDENCYPART_SIBL
(14,6),(14,11),0.00180305 # DEPENDENCYPART_SIBL
