# _root_ But the Oct. 17 temblor put a halt to much nonessential building , and heavy rains last week slowed the rest , freeing construction workers for earthquake repairs .
#goldHeads=14,5,5,3,6,14,8,6,6,12,12,9,14,0,16,19,18,16,14,21,19,14,14,25,23,23,28,26,14,
#predictedHeads=14,5,5,3,6,14,8,6,6,12,12,9,14,0,16,19,18,19,14,21,19,19,19,25,23,23,28,26,14,
(6,14),(14,18),(14,21),0.0245984 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,18),(14,22),-0.10813 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,18),(14,23),-0.0483591 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,18),(14,25),0.0289312 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,18),(14,26),-0.044516 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,18),(14,28),0.0245984 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,18),(14,29),-0.0420619 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,18),(14,30),-0.0278729 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,14),(14,19),(14,20),-0.0362513 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,19),(14,21),-0.0730253 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,19),(14,22),-0.0566117 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,19),(14,23),-0.0463141 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,19),(14,25),-0.0739687 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,19),(14,26),-0.00932789 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,19),(14,28),-0.0730253 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,19),(14,29),-0.0604304 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,19),(14,30),-0.160708 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,14),(14,20),(14,21),-0.0504447 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,20),(14,22),-0.0501327 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,20),(14,23),-0.044873 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,20),(14,25),-0.0504447 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,20),(14,26),-0.0389994 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,20),(14,28),-0.0504447 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,20),(14,29),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,20),(14,30),0.0337808 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,14),(14,21),(14,22),-0.10813 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,21),(14,23),-0.0483635 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,21),(14,25),0.0289312 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,21),(14,26),-0.0445066 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,21),(14,28),0.0245984 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,21),(14,29),-0.0420619 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,21),(14,30),-0.0238827 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,14),(14,22),(14,23),-0.00253914 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,22),(14,25),-0.00391266 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,22),(14,26),-0.116383 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,22),(14,28),-0.00391079 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,22),(14,29),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,22),(14,30),-0.0202752 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,14),(14,23),(14,25),-0.0739687 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,23),(14,26),-0.00932789 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,23),(14,28),-0.0730253 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,23),(14,29),-0.0604304 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,23),(14,30),-0.160708 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,14),(14,25),(14,26),-0.0445533 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,25),(14,28),0.0245984 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,25),(14,29),-0.0420619 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,25),(14,30),-0.0232043 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,14),(14,26),(14,28),-0.0538232 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,26),(14,29),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,26),(14,30),-0.0116223 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,14),(14,28),(14,29),-0.0420619 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,28),(14,30),-0.0235601 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,14),(14,29),(14,30),-0.0574623 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,14),(14,14),(14,13),0.0349585 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,14),(14,14),(14,12),0.132041 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,14),(14,14),(14,11),0.178803 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,14),(14,14),(14,10),0.174147 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,14),(14,14),(14,9),0.166131 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,14),(14,14),(14,8),0.130565 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,14),(14,14),(14,7),0.0851073 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,14),(14,14),(14,6),0.174452 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,14),(14,14),(14,5),-0.148679 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,14),(14,14),(14,4),-0.125015 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,14),(14,14),(14,3),-0.148679 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,14),(14,14),(14,2),-0.125399 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,14),(14,14),(14,1),-0.130486 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,14),(14,14),(14,-1),-0.132975 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,14),(14,13),(14,12),0.21883 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,13),(14,11),0.134371 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,13),(14,10),0.130479 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,13),(14,9),0.123041 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,13),(14,8),0.218904 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,13),(14,7),0.107949 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,13),(14,6),0.14303 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,14),(14,13),(14,5),-0.1302 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,13),(14,4),-0.126073 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,13),(14,3),-0.1302 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,13),(14,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,13),(14,1),-0.136181 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,13),(14,-1),-0.179627 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,14),(14,12),(14,11),0.138494 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,12),(14,10),0.138164 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,12),(14,9),0.0965718 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,12),(14,8),0.126837 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,12),(14,7),0.110798 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,12),(14,6),0.0961802 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,14),(14,12),(14,5),-0.125649 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,12),(14,4),-0.124992 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,12),(14,3),-0.125649 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,12),(14,2),-0.124928 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,12),(14,1),-0.127359 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,12),(14,-1),-0.160195 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,14),(14,11),(14,10),0.11993 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,11),(14,9),0.117669 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,11),(14,8),0.158174 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,11),(14,7),0.139358 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,11),(14,6),0.11127 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,14),(14,11),(14,5),-0.125275 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,11),(14,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,11),(14,3),-0.125275 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,11),(14,2),-0.124893 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,11),(14,1),-0.124926 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,11),(14,-1),-0.148495 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,14),(14,10),(14,9),0.117032 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,10),(14,8),0.158173 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,10),(14,7),0.139338 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,10),(14,6),0.11127 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,14),(14,10),(14,5),-0.125275 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,10),(14,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,10),(14,3),-0.125275 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,10),(14,2),-0.124893 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,10),(14,1),-0.124926 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,10),(14,-1),-0.149185 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,14),(14,9),(14,8),0.0957302 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,9),(14,7),0.118008 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,9),(14,6),0.0905066 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,14),(14,9),(14,5),-0.125082 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,9),(14,4),-0.124909 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,9),(14,3),-0.125082 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,9),(14,2),-0.12517 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,9),(14,1),-0.126539 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,9),(14,-1),-0.0714689 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,14),(14,8),(14,7),0.110799 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,8),(14,6),0.0961802 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,14),(14,8),(14,5),-0.125649 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,8),(14,4),-0.124992 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,8),(14,3),-0.125649 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,8),(14,2),-0.124928 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,8),(14,1),-0.127359 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,8),(14,-1),-0.163042 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,14),(14,7),(14,6),0.112376 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,14),(14,7),(14,5),-0.125174 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,7),(14,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,7),(14,3),-0.125174 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,7),(14,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,7),(14,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,7),(14,-1),-0.110865 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,14),(14,6),(14,5),-0.133136 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,14),(14,6),(14,4),-0.124887 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,14),(14,6),(14,3),-0.133136 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,14),(14,6),(14,2),-0.125785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,14),(14,6),(14,1),-0.126291 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,14),(14,6),(14,-1),-0.1233 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,14),(14,5),(14,4),-0.124992 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,5),(14,3),-0.125649 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,5),(14,2),-0.124928 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,5),(14,1),-0.127359 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,5),(14,-1),-0.163035 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,14),(14,4),(14,3),-0.125168 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,4),(14,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,4),(14,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,4),(14,-1),-0.155671 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,14),(14,3),(14,2),-0.124928 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,3),(14,1),-0.127359 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,3),(14,-1),-0.170396 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,14),(14,2),(14,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,2),(14,-1),-0.0823634 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,14),(14,1),(14,-1),-0.136871 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,15),(15,15),(15,16),-0.0269705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,15),(15,15),(15,17),-0.00812697 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,15),(15,15),(15,18),-0.0172427 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,15),(15,15),(15,30),-0.0566962 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,15),(15,16),(15,17),-0.0445158 # DEPENDENCYPART_GRANDSIBL
(6,15),(15,16),(15,18),-0.0429076 # DEPENDENCYPART_GRANDSIBL
(6,15),(15,16),(15,30),-0.0725744 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,15),(15,17),(15,18),-0.0436624 # DEPENDENCYPART_GRANDSIBL
(6,15),(15,17),(15,30),-0.0305343 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,15),(15,18),(15,30),-0.0628958 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,15),(15,15),(15,-1),-0.199551 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,16),(16,16),(16,17),-0.0232515 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,16),(16,16),(16,18),0.00216401 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,16),(16,16),(16,19),-0.0147572 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,16),(16,16),(16,21),0.00536282 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,16),(16,16),(16,22),0.0400534 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,16),(16,16),(16,25),0.00235785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,16),(16,16),(16,26),-0.089826 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,16),(16,16),(16,28),0.00539314 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,16),(16,16),(16,30),0.0819368 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,16),(16,17),(16,18),-0.0422778 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,17),(16,19),-0.0463946 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,17),(16,21),-0.0422573 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,17),(16,22),-0.060858 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,17),(16,25),-0.0422573 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,17),(16,26),-0.0586391 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,17),(16,28),-0.0422573 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,17),(16,30),-0.0182075 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,16),(16,18),(16,19),-0.01221 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,18),(16,21),-0.0435369 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,18),(16,22),-0.0600207 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,18),(16,25),-0.0435369 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,18),(16,26),-0.0677345 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,18),(16,28),-0.0435369 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,18),(16,30),-0.0339024 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,16),(16,19),(16,21),-0.0600572 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,19),(16,22),-0.0657821 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,19),(16,25),-0.06006 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,19),(16,26),-0.00303457 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,19),(16,28),-0.0600572 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,19),(16,30),-0.0684504 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,16),(16,21),(16,22),-0.058207 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,21),(16,25),-0.0432938 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,21),(16,26),-0.065123 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,21),(16,28),-0.0432938 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,21),(16,30),-0.0278274 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,16),(16,22),(16,25),-0.093096 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,22),(16,26),0.00262399 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,22),(16,28),-0.093096 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,22),(16,30),-0.0329639 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,16),(16,25),(16,26),-0.065123 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,25),(16,28),-0.0439565 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,25),(16,30),-0.0287012 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,16),(16,26),(16,28),-0.0737389 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,26),(16,30),-0.0338835 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,16),(16,28),(16,30),-0.0277971 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,16),(16,16),(16,15),0.13825 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,16),(16,16),(16,14),0.0860938 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,16),(16,16),(16,13),0.0389927 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,16),(16,16),(16,12),0.0394183 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,16),(16,16),(16,11),0.138066 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,16),(16,16),(16,10),0.160942 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,16),(16,16),(16,7),0.0959796 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,16),(16,16),(16,-1),-0.149715 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,16),(16,15),(16,14),0.12518 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,15),(16,13),0.15594 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,15),(16,12),0.0612118 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,15),(16,11),0.120915 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,15),(16,10),0.129179 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,15),(16,7),0.157272 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,15),(16,-1),-0.0509147 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,16),(16,14),(16,13),0.0358704 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,14),(16,12),-0.00290746 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,14),(16,11),0.224983 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,14),(16,10),0.218694 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,14),(16,7),0.520711 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,14),(16,-1),-0.0917896 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,16),(16,13),(16,12),0.20236 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,13),(16,11),0.147625 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,13),(16,10),0.147549 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,13),(16,7),0.112776 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,13),(16,-1),-0.123866 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,16),(16,12),(16,11),0.126693 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,12),(16,10),0.128319 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,12),(16,7),0.054735 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,12),(16,-1),-0.097791 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,16),(16,11),(16,10),0.128853 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,11),(16,7),0.154807 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,11),(16,-1),-0.050974 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,16),(16,10),(16,7),0.154652 # DEPENDENCYPART_GRANDSIBL
(6,16),(16,10),(16,-1),-0.0182901 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,16),(16,7),(16,-1),-0.154284 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,17),(17,17),(17,18),-0.00588893 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,17),(17,17),(17,19),-0.0336209 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,17),(17,17),(17,21),-0.0156167 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,17),(17,17),(17,30),-0.0614418 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,17),(17,18),(17,19),-0.0407764 # DEPENDENCYPART_GRANDSIBL
(6,17),(17,18),(17,21),-0.04291 # DEPENDENCYPART_GRANDSIBL
(6,17),(17,18),(17,30),-0.0515635 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,17),(17,19),(17,21),-0.0369502 # DEPENDENCYPART_GRANDSIBL
(6,17),(17,19),(17,30),-0.0332573 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,17),(17,21),(17,30),-0.0612421 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,17),(17,17),(17,16),0.152839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,17),(17,17),(17,15),0.1166 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,17),(17,17),(17,14),0.0717481 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,17),(17,17),(17,12),0.155771 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,17),(17,17),(17,9),0.0994575 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,17),(17,17),(17,-1),-0.192808 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,17),(17,16),(17,15),0.115712 # DEPENDENCYPART_GRANDSIBL
(6,17),(17,16),(17,14),0.116833 # DEPENDENCYPART_GRANDSIBL
(6,17),(17,16),(17,12),0.1116 # DEPENDENCYPART_GRANDSIBL
(6,17),(17,16),(17,9),0.11886 # DEPENDENCYPART_GRANDSIBL
(6,17),(17,16),(17,-1),-0.0120545 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,17),(17,15),(17,14),0.119163 # DEPENDENCYPART_GRANDSIBL
(6,17),(17,15),(17,12),0.117891 # DEPENDENCYPART_GRANDSIBL
(6,17),(17,15),(17,9),0.119152 # DEPENDENCYPART_GRANDSIBL
(6,17),(17,15),(17,-1),-0.111773 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,17),(17,14),(17,12),0.00725959 # DEPENDENCYPART_GRANDSIBL
(6,17),(17,14),(17,9),0.163171 # DEPENDENCYPART_GRANDSIBL
(6,17),(17,14),(17,-1),-0.111028 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,17),(17,12),(17,9),0.11886 # DEPENDENCYPART_GRANDSIBL
(6,17),(17,12),(17,-1),-0.00912253 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,17),(17,9),(17,-1),-0.106323 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,18),(18,18),(18,19),-0.017273 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,18),(18,18),(18,21),0.00594411 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,18),(18,18),(18,25),0.00293914 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,18),(18,18),(18,30),0.0976337 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,18),(18,19),(18,21),-0.0600572 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,19),(18,25),-0.06006 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,19),(18,30),-0.0754057 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,18),(18,21),(18,25),-0.0456199 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,21),(18,30),-0.035085 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,18),(18,25),(18,30),-0.0359588 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,18),(18,18),(18,17),0.188717 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,18),(18,18),(18,16),0.038089 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,18),(18,18),(18,15),0.145252 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,18),(18,18),(18,14),0.0860669 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,18),(18,18),(18,13),0.0311532 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,18),(18,18),(18,11),0.145069 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,18),(18,18),(18,10),0.167944 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,18),(18,18),(18,7),0.0846615 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,18),(18,18),(18,-1),-0.127642 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,18),(18,17),(18,16),0.051779 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,17),(18,15),0.117746 # DEPENDENCYPART_GRANDSIBL
