# _root_ Laidlaw is 47%-controlled by Canadian Pacific Ltd. , a Montreal transportation , resources and industrial holding concern .
#goldHeads=2,0,4,2,6,4,6,6,11,11,6,11,11,13,17,17,14,2,
#predictedHeads=2,0,2,2,6,4,6,6,11,11,6,11,11,13,17,17,14,2,
(6,1),(6,13),0.0210983 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.111867 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0267683 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0417354 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0100105 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.0509037 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0122578 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.156049 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.129357 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0278186 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.00853049 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0555166 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0278186 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0101396 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.0931804 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.0365548 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.011461 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.0327605 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0602656 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0561724 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0389704 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.126524 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0823676 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0392739 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.126524 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0806845 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0351973 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.00860558 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0472254 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0840172 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0415317 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.578853 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.000351372 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.104889 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0699857 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.000351372 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0336732 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.159775 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.00659609 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0262816 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.0378218 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.0669359 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.143891 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0651883 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.150257 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.143891 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0669509 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.371868 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.0758379 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0192144 # DEPENDENCYPART_SIBL
(6,7),(6,17),0.157142 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.10025 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.697654 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.643226 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.00893209 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.364959 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.516806 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.364152 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.385496 # DEPENDENCYPART_SIBL
(6,8),(6,17),0.539031 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.00169954 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0428991 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.0591368 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.0518015 # DEPENDENCYPART_SIBL
(6,10),(6,14),0.0272477 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.0481632 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.149608 # DEPENDENCYPART_SIBL
(6,10),(6,17),-0.034875 # DEPENDENCYPART_SIBL
(6,10),(6,18),-0.00441838 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.153915 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.0832959 # DEPENDENCYPART_SIBL
(6,11),(6,14),0.0857177 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.0148354 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.0848348 # DEPENDENCYPART_SIBL
(6,11),(6,17),-0.308751 # DEPENDENCYPART_SIBL
(6,11),(6,18),0.110308 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.364959 # DEPENDENCYPART_SIBL
(6,12),(6,14),0.516806 # DEPENDENCYPART_SIBL
(6,12),(6,15),0.364152 # DEPENDENCYPART_SIBL
(6,12),(6,16),0.385496 # DEPENDENCYPART_SIBL
(6,12),(6,17),0.539031 # DEPENDENCYPART_SIBL
(6,12),(6,18),-0.00169954 # DEPENDENCYPART_SIBL
(6,13),(6,14),-0.00102713 # DEPENDENCYPART_SIBL
(6,13),(6,15),-0.0132052 # DEPENDENCYPART_SIBL
(6,13),(6,16),-0.0741424 # DEPENDENCYPART_SIBL
(6,13),(6,17),-0.125218 # DEPENDENCYPART_SIBL
(6,13),(6,18),0.0859088 # DEPENDENCYPART_SIBL
(6,14),(6,15),-0.0163737 # DEPENDENCYPART_SIBL
(6,14),(6,16),-0.0718616 # DEPENDENCYPART_SIBL
(6,14),(6,17),-0.114346 # DEPENDENCYPART_SIBL
(6,14),(6,18),-0.181498 # DEPENDENCYPART_SIBL
(6,15),(6,16),-0.103205 # DEPENDENCYPART_SIBL
(6,15),(6,17),-0.108626 # DEPENDENCYPART_SIBL
(6,15),(6,18),0.0261407 # DEPENDENCYPART_SIBL
(6,16),(6,17),-0.0757931 # DEPENDENCYPART_SIBL
(6,16),(6,18),0.149205 # DEPENDENCYPART_SIBL
(6,17),(6,18),0.100141 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.188221 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.200262 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.00179728 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0122095 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.271677 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.117805 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.074841 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0949011 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.271677 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.0739446 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.139017 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.122882 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.138108 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.12833 # DEPENDENCYPART_SIBL
(7,1),(7,18),-0.0433728 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.012256 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0961194 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0813141 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.122536 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0220412 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.00727831 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.033373 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.122536 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.0108179 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.0152703 # DEPENDENCYPART_SIBL
(7,3),(7,15),0.0366877 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.0114622 # DEPENDENCYPART_SIBL
(7,3),(7,17),0.00976463 # DEPENDENCYPART_SIBL
(7,3),(7,18),-0.0592183 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.116105 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.134321 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.221239 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0685657 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0981736 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0614163 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.221239 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.080005 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.113107 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.00847143 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.0472254 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.107012 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.0404833 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0347211 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.278184 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.101549 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0318091 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0680373 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.278184 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.061871 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.099036 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.103504 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.123449 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.101189 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.028135 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.270938 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.127832 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0770517 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0962739 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.270938 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0844142 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.121478 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.126111 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.148694 # DEPENDENCYPART_SIBL
(7,6),(7,17),-0.129703 # DEPENDENCYPART_SIBL
(7,6),(7,18),-0.0500489 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.053412 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.597514 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.483235 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0675747 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.277804 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.348345 # DEPENDENCYPART_SIBL
(7,8),(7,15),0.274114 # DEPENDENCYPART_SIBL
(7,8),(7,16),0.295446 # DEPENDENCYPART_SIBL
(7,8),(7,17),0.376513 # DEPENDENCYPART_SIBL
(7,8),(7,18),-0.0891025 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.0152038 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.00686939 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0222184 # DEPENDENCYPART_SIBL
(7,9),(7,13),0.0359368 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.0506562 # DEPENDENCYPART_SIBL
(7,9),(7,15),0.0384038 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.0974822 # DEPENDENCYPART_SIBL
(7,9),(7,17),-0.0416569 # DEPENDENCYPART_SIBL
(7,9),(7,18),0.0109338 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0598521 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0262117 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.0450491 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.0155081 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.0427196 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.144174 # DEPENDENCYPART_SIBL
(7,10),(7,17),-0.0531076 # DEPENDENCYPART_SIBL
(7,10),(7,18),0.00437423 # DEPENDENCYPART_SIBL
(7,11),(7,12),0.162195 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.084491 # DEPENDENCYPART_SIBL
(7,11),(7,14),0.0441407 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.017249 # DEPENDENCYPART_SIBL
(7,11),(7,16),-0.0872582 # DEPENDENCYPART_SIBL
(7,11),(7,17),-0.335219 # DEPENDENCYPART_SIBL
(7,11),(7,18),0.110128 # DEPENDENCYPART_SIBL
(7,12),(7,13),0.277804 # DEPENDENCYPART_SIBL
(7,12),(7,14),0.348345 # DEPENDENCYPART_SIBL
(7,12),(7,15),0.274114 # DEPENDENCYPART_SIBL
(7,12),(7,16),0.295446 # DEPENDENCYPART_SIBL
(7,12),(7,17),0.376513 # DEPENDENCYPART_SIBL
(7,12),(7,18),-0.0891025 # DEPENDENCYPART_SIBL
(7,13),(7,14),-0.0406944 # DEPENDENCYPART_SIBL
(7,13),(7,15),-0.012659 # DEPENDENCYPART_SIBL
(7,13),(7,16),-0.0736059 # DEPENDENCYPART_SIBL
(7,13),(7,17),-0.148726 # DEPENDENCYPART_SIBL
(7,13),(7,18),0.0888251 # DEPENDENCYPART_SIBL
(7,14),(7,15),-0.013265 # DEPENDENCYPART_SIBL
(7,14),(7,16),-0.0687626 # DEPENDENCYPART_SIBL
(7,14),(7,17),-0.135292 # DEPENDENCYPART_SIBL
(7,14),(7,18),-0.175991 # DEPENDENCYPART_SIBL
(7,15),(7,16),-0.103069 # DEPENDENCYPART_SIBL
(7,15),(7,17),-0.132538 # DEPENDENCYPART_SIBL
(7,15),(7,18),0.0286867 # DEPENDENCYPART_SIBL
(7,16),(7,17),-0.0998381 # DEPENDENCYPART_SIBL
(7,16),(7,18),0.151614 # DEPENDENCYPART_SIBL
(7,17),(7,18),0.0990165 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0460927 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.063011 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.0289617 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.465855 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.118482 # DEPENDENCYPART_SIBL
(10,5),(10,12),0.0531265 # DEPENDENCYPART_SIBL
(10,5),(10,13),0.0342569 # DEPENDENCYPART_SIBL
(10,5),(10,14),0.12598 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.00737607 # DEPENDENCYPART_SIBL
(10,5),(10,17),0.0508971 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0752679 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.00748594 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0928798 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.178528 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.0679174 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.162797 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0525329 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.0384183 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.171091 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.111752 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.0419225 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.365157 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.444231 # DEPENDENCYPART_SIBL
(10,12),(10,15),0.361873 # DEPENDENCYPART_SIBL
(10,12),(10,17),0.539118 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.0371733 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.0126158 # DEPENDENCYPART_SIBL
(10,13),(10,17),-0.123335 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.013069 # DEPENDENCYPART_SIBL
(10,14),(10,17),-0.109748 # DEPENDENCYPART_SIBL
(10,15),(10,17),-0.107175 # DEPENDENCYPART_SIBL
(11,1),(11,3),0.0499482 # DEPENDENCYPART_SIBL
(11,1),(11,4),0.0345931 # DEPENDENCYPART_SIBL
(11,1),(11,5),-0.0314145 # DEPENDENCYPART_SIBL
(11,1),(11,6),0.00963448 # DEPENDENCYPART_SIBL
(11,1),(11,7),-0.00740357 # DEPENDENCYPART_SIBL
(11,1),(11,8),0.168969 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.358102 # DEPENDENCYPART_SIBL
(11,1),(11,10),0.0139685 # DEPENDENCYPART_SIBL
(11,1),(11,12),0.0193625 # DEPENDENCYPART_SIBL
(11,1),(11,13),-0.0544354 # DEPENDENCYPART_SIBL
(11,1),(11,14),0.0434193 # DEPENDENCYPART_SIBL
(11,1),(11,15),-0.0360322 # DEPENDENCYPART_SIBL
(11,1),(11,16),-0.0357248 # DEPENDENCYPART_SIBL
(11,1),(11,17),0.00971294 # DEPENDENCYPART_SIBL
(11,1),(11,18),-0.0158627 # DEPENDENCYPART_SIBL
(11,3),(11,4),-0.0197819 # DEPENDENCYPART_SIBL
(11,3),(11,5),0.118316 # DEPENDENCYPART_SIBL
(11,3),(11,6),0.164823 # DEPENDENCYPART_SIBL
(11,3),(11,7),0.159089 # DEPENDENCYPART_SIBL
(11,3),(11,8),0.0816245 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.367347 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.169127 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.00227401 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.0248871 # DEPENDENCYPART_SIBL
(11,3),(11,14),0.0615734 # DEPENDENCYPART_SIBL
(11,3),(11,15),0.0332867 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.0111302 # DEPENDENCYPART_SIBL
(11,3),(11,17),-0.0303667 # DEPENDENCYPART_SIBL
(11,3),(11,18),0.00370532 # DEPENDENCYPART_SIBL
(11,4),(11,5),-0.120912 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.0920708 # DEPENDENCYPART_SIBL
(11,4),(11,7),-0.10032 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.232793 # DEPENDENCYPART_SIBL
(11,4),(11,9),0.0494746 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.0869114 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.0669854 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.0531684 # DEPENDENCYPART_SIBL
(11,4),(11,14),0.050499 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.00685094 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.000870452 # DEPENDENCYPART_SIBL
(11,4),(11,17),-0.0450296 # DEPENDENCYPART_SIBL
(11,4),(11,18),0.0631129 # DEPENDENCYPART_SIBL
(11,5),(11,6),0.0288262 # DEPENDENCYPART_SIBL
(11,5),(11,7),0.0134067 # DEPENDENCYPART_SIBL
(11,5),(11,8),0.187096 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.339813 # DEPENDENCYPART_SIBL
(11,5),(11,10),0.0348206 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.0453262 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.0748113 # DEPENDENCYPART_SIBL
(11,5),(11,14),0.0627584 # DEPENDENCYPART_SIBL
(11,5),(11,15),-0.0407389 # DEPENDENCYPART_SIBL
(11,5),(11,16),-0.0551019 # DEPENDENCYPART_SIBL
(11,5),(11,17),-0.00787788 # DEPENDENCYPART_SIBL
(11,5),(11,18),-0.0348772 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.0292169 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.175723 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.345576 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.050589 # DEPENDENCYPART_SIBL
(11,6),(11,12),0.0466574 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.0523589 # DEPENDENCYPART_SIBL
(11,6),(11,14),0.0607521 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.0309619 # DEPENDENCYPART_SIBL
(11,6),(11,16),-0.0348741 # DEPENDENCYPART_SIBL
(11,6),(11,17),0.0188825 # DEPENDENCYPART_SIBL
(11,6),(11,18),-0.00687487 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.147714 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.364863 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.0102471 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.0152449 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.055791 # DEPENDENCYPART_SIBL
(11,7),(11,14),0.037426 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.0419884 # DEPENDENCYPART_SIBL
(11,7),(11,16),-0.042196 # DEPENDENCYPART_SIBL
(11,7),(11,17),-0.022693 # DEPENDENCYPART_SIBL
(11,7),(11,18),-0.163965 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.00729582 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.0805638 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.0090097 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.0617952 # DEPENDENCYPART_SIBL
(11,8),(11,14),0.00681424 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.00426597 # DEPENDENCYPART_SIBL
(11,8),(11,16),0.0733426 # DEPENDENCYPART_SIBL
(11,8),(11,17),-0.022645 # DEPENDENCYPART_SIBL
(11,8),(11,18),0.0689341 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.187131 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0367367 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0144017 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.0316426 # DEPENDENCYPART_SIBL
(11,9),(11,15),0.13845 # DEPENDENCYPART_SIBL
(11,9),(11,16),0.343882 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.0263712 # DEPENDENCYPART_SIBL
(11,9),(11,18),-0.00802373 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.00918712 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0513418 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.0482516 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.00753453 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.0321695 # DEPENDENCYPART_SIBL
(11,10),(11,17),0.00772624 # DEPENDENCYPART_SIBL
(11,10),(11,18),-0.016219 # DEPENDENCYPART_SIBL
(11,12),(11,13),0.537277 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.467443 # DEPENDENCYPART_SIBL
(11,12),(11,15),0.418551 # DEPENDENCYPART_SIBL
(11,12),(11,16),0.492097 # DEPENDENCYPART_SIBL
(11,12),(11,17),0.542971 # DEPENDENCYPART_SIBL
(11,12),(11,18),-0.0831963 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.0271751 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.00274707 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.00623206 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.113853 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.0379674 # DEPENDENCYPART_SIBL
(11,14),(11,15),0.0407246 # DEPENDENCYPART_SIBL
(11,14),(11,16),0.035092 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.0818537 # DEPENDENCYPART_SIBL
(11,14),(11,18),-0.0599406 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.0133675 # DEPENDENCYPART_SIBL
(11,15),(11,17),-0.0644172 # DEPENDENCYPART_SIBL
(11,15),(11,18),-0.0626314 # DEPENDENCYPART_SIBL
(11,16),(11,17),-0.0747467 # DEPENDENCYPART_SIBL
(11,16),(11,18),0.0168156 # DEPENDENCYPART_SIBL
(11,17),(11,18),-0.0141653 # DEPENDENCYPART_SIBL
(13,3),(13,5),0.230406 # DEPENDENCYPART_SIBL
(13,3),(13,6),0.218013 # DEPENDENCYPART_SIBL
(13,3),(13,9),-0.177227 # DEPENDENCYPART_SIBL
(13,3),(13,10),0.220793 # DEPENDENCYPART_SIBL
(13,3),(13,11),0.082992 # DEPENDENCYPART_SIBL
(13,3),(13,12),0.120429 # DEPENDENCYPART_SIBL
(13,3),(13,14),0.100214 # DEPENDENCYPART_SIBL
(13,3),(13,15),-0.000238878 # DEPENDENCYPART_SIBL
(13,3),(13,16),-0.0326948 # DEPENDENCYPART_SIBL
(13,3),(13,17),0.0278288 # DEPENDENCYPART_SIBL
(13,3),(13,18),-0.0198898 # DEPENDENCYPART_SIBL
(13,5),(13,6),0.0111771 # DEPENDENCYPART_SIBL
(13,5),(13,9),-0.0957632 # DEPENDENCYPART_SIBL
(13,5),(13,10),0.0201802 # DEPENDENCYPART_SIBL
(13,5),(13,11),0.071108 # DEPENDENCYPART_SIBL
(13,5),(13,12),0.0804195 # DEPENDENCYPART_SIBL
(13,5),(13,14),0.0595368 # DEPENDENCYPART_SIBL
(13,5),(13,15),-0.0745636 # DEPENDENCYPART_SIBL
(13,5),(13,16),-0.156192 # DEPENDENCYPART_SIBL
(13,5),(13,17),0.0233306 # DEPENDENCYPART_SIBL
(13,5),(13,18),0.0141035 # DEPENDENCYPART_SIBL
(13,6),(13,9),-0.0999651 # DEPENDENCYPART_SIBL
(13,6),(13,10),0.029265 # DEPENDENCYPART_SIBL
(13,6),(13,11),0.0499445 # DEPENDENCYPART_SIBL
(13,6),(13,12),0.0687403 # DEPENDENCYPART_SIBL
(13,6),(13,14),0.0466723 # DEPENDENCYPART_SIBL
(13,6),(13,15),-0.090692 # DEPENDENCYPART_SIBL
(13,6),(13,16),-0.173411 # DEPENDENCYPART_SIBL
(13,6),(13,17),0.00508634 # DEPENDENCYPART_SIBL
(13,6),(13,18),0.00323714 # DEPENDENCYPART_SIBL
(13,9),(13,10),0.0674819 # DEPENDENCYPART_SIBL
(13,9),(13,11),0.0803078 # DEPENDENCYPART_SIBL
(13,9),(13,12),0.193395 # DEPENDENCYPART_SIBL
(13,9),(13,14),0.150957 # DEPENDENCYPART_SIBL
(13,9),(13,15),0.040243 # DEPENDENCYPART_SIBL
(13,9),(13,16),0.0442134 # DEPENDENCYPART_SIBL
(13,9),(13,17),-0.0565631 # DEPENDENCYPART_SIBL
(13,9),(13,18),-0.0354306 # DEPENDENCYPART_SIBL
(13,10),(13,11),0.0485707 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.065414 # DEPENDENCYPART_SIBL
(13,10),(13,14),0.0471685 # DEPENDENCYPART_SIBL
(13,10),(13,15),-0.0713276 # DEPENDENCYPART_SIBL
(13,10),(13,16),-0.16207 # DEPENDENCYPART_SIBL
(13,10),(13,17),0.0108528 # DEPENDENCYPART_SIBL
(13,10),(13,18),0.00342208 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.0953401 # DEPENDENCYPART_SIBL
(13,11),(13,14),0.0725159 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.0593782 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.100057 # DEPENDENCYPART_SIBL
(13,11),(13,17),-0.0392798 # DEPENDENCYPART_SIBL
