# _root_ John Fitzsimmons , chief executive officer of Data Systems , said the company was profitable and expected sales of nearly $ 100 million this year .
#goldHeads=2,11,2,6,6,2,6,9,7,2,0,13,16,16,14,11,16,17,18,21,19,21,21,25,17,11,
#predictedHeads=2,11,2,6,6,2,6,9,7,2,0,13,16,16,14,11,16,17,18,21,19,21,21,25,21,11,
(2,11),(11,7),(11,-1),-0.207682 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,6),(11,5),0.0935838 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,6),(11,4),0.105514 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,6),(11,3),0.0635165 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,6),(11,2),0.0935849 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,6),(11,1),-0.144891 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,6),(11,-1),-0.0920587 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,5),(11,4),0.105514 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,5),(11,3),0.0635165 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,5),(11,2),0.0936203 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,5),(11,1),-0.144891 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,5),(11,-1),-0.0929061 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,4),(11,3),0.11399 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,4),(11,2),0.108637 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,4),(11,1),-0.144961 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,4),(11,-1),-0.22685 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,3),(11,2),0.119586 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,3),(11,1),-0.144819 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,3),(11,-1),-0.211168 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,2),(11,1),-0.144891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,2),(11,-1),-0.0916031 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,11),(11,1),(11,-1),-0.0916067 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,13),(13,14),0.0535724 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,15),-0.0389348 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,16),-0.0388282 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,17),0.0546193 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,18),-0.12947 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,19),0.0117232 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,27),0.118574 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,13),(13,14),(13,15),-0.0202908 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,14),(13,16),-0.0222928 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,14),(13,17),-0.0237911 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,14),(13,18),-0.0234178 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,14),(13,19),-0.0238748 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,14),(13,27),0.0062518 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,15),(13,16),-0.0198425 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,15),(13,17),-0.0145135 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,15),(13,18),-0.0388116 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,15),(13,19),-0.0242692 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,15),(13,27),-0.0305222 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,16),(13,17),0.318675 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,16),(13,18),-0.123998 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,16),(13,19),0.259367 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,16),(13,27),-0.0343102 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,17),(13,18),-0.0237564 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,17),(13,19),-0.0238686 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,17),(13,27),0.00631196 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,18),(13,19),-0.0237098 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,18),(13,27),0.0228071 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,19),(13,27),-0.0060147 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,13),(13,12),0.11612 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,11),0.0994594 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,3),0.181205 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,-1),-0.0402742 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,13),(13,12),(13,11),0.107062 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,12),(13,3),0.107467 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,12),(13,-1),-0.130716 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,11),(13,3),0.106016 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,11),(13,-1),-0.192983 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,3),(13,-1),-0.0334899 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,14),(14,15),0.015211 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,16),0.015848 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,17),-0.0379496 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,18),-0.0240989 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,19),-0.00646344 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,20),0.0120424 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,21),-0.000584282 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,25),-0.00290403 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,26),-0.0231182 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,27),0.0601967 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,14),(14,15),(14,16),-0.0133042 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,15),(14,17),-0.0257021 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,15),(14,18),-0.0110565 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,15),(14,19),-0.0367781 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,15),(14,20),-0.0192788 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,15),(14,21),-0.019458 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,15),(14,25),-0.00920082 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,15),(14,26),-0.0243432 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,15),(14,27),0.0343632 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,16),(14,17),0.32585 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,16),(14,18),-0.115214 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,16),(14,19),0.2638 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,16),(14,20),0.0804627 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,16),(14,21),0.0915433 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,16),(14,25),-0.130172 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,16),(14,26),0.0828142 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,16),(14,27),-0.0276054 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,17),(14,18),-0.0218614 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,17),(14,19),-0.0267613 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,17),(14,20),-0.0211147 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,17),(14,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,17),(14,25),-0.0238949 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,17),(14,26),-0.0240135 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,17),(14,27),-0.0194302 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,18),(14,19),-0.00697912 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,18),(14,20),-0.00799984 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,18),(14,21),-0.0233121 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,18),(14,25),0.00356989 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,18),(14,26),-0.0254121 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,18),(14,27),-0.0215799 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,19),(14,20),-0.0155456 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,19),(14,21),-0.0227377 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,19),(14,25),-0.0115386 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,19),(14,26),-0.0307027 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,19),(14,27),-0.0232082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,20),(14,21),-0.017063 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,20),(14,25),-0.0179457 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,20),(14,26),-0.0252755 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,20),(14,27),0.0284845 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,21),(14,25),-0.0225916 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,21),(14,26),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,21),(14,27),-0.0284419 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,25),(14,26),-0.0254121 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,25),(14,27),-0.000641022 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,26),(14,27),-0.0619727 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,14),(14,13),0.142874 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,12),0.0912529 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,11),0.134033 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,10),0.117334 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,9),0.139615 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,7),0.195827 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,6),0.139234 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,4),0.0443667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,3),0.117334 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,2),0.139717 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,1),-0.194064 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,-1),-0.0284086 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,14),(14,13),(14,12),0.107704 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,13),(14,11),0.103189 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,13),(14,10),0.0617669 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,13),(14,9),0.0932754 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,13),(14,7),0.0847399 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,13),(14,6),0.0932754 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,13),(14,4),0.105508 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,13),(14,3),0.0617669 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,13),(14,2),0.0932754 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,13),(14,1),-0.144891 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,13),(14,-1),-0.0659634 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,12),(14,11),0.109466 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,12),(14,10),0.114067 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,12),(14,9),0.108668 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,12),(14,7),0.104034 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,12),(14,6),0.108668 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,12),(14,4),0.109525 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,12),(14,3),0.114067 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,12),(14,2),0.108668 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,12),(14,1),-0.144878 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,12),(14,-1),-0.161641 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,11),(14,10),0.114366 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,11),(14,9),0.107447 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,11),(14,7),0.103138 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,11),(14,6),0.107448 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,11),(14,4),0.109339 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,11),(14,3),0.114366 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,11),(14,2),0.107448 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,11),(14,1),-0.144706 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,11),(14,-1),-0.159695 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,10),(14,9),0.119054 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,10),(14,7),0.138725 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,10),(14,6),0.119051 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,10),(14,4),0.105055 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,10),(14,3),0.108961 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,10),(14,2),0.119054 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,10),(14,1),-0.144849 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,10),(14,-1),-0.211857 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,9),(14,7),0.0846871 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,9),(14,6),0.0932754 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,9),(14,4),0.105508 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,9),(14,3),0.0619082 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,9),(14,2),0.0932754 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,9),(14,1),-0.144891 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,9),(14,-1),-0.067265 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,7),(14,6),0.0999171 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,7),(14,4),0.109729 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,7),(14,3),0.157613 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,7),(14,2),0.0999171 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,7),(14,1),-0.144709 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,7),(14,-1),-0.233823 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,6),(14,4),0.105508 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,6),(14,3),0.0619082 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,6),(14,2),0.0932377 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,6),(14,1),-0.144891 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,6),(14,-1),-0.0676208 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,4),(14,3),0.11399 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,4),(14,2),0.108598 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,4),(14,1),-0.144961 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,4),(14,-1),-0.226192 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,3),(14,2),0.119054 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,3),(14,1),-0.144849 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,3),(14,-1),-0.211857 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,2),(14,1),-0.144891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,2),(14,-1),-0.0671652 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,14),(14,1),(14,-1),-0.0671688 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,16),(16,17),0.00782595 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,18),-0.0808919 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,19),-0.00892351 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,20),-0.0129099 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,21),-0.0287246 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,22),-0.0118597 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,23),-0.0144095 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,25),-0.0697328 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,26),-0.0252004 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,27),-0.253183 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,16),(16,17),(16,18),-0.00042405 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,17),(16,19),-0.0274767 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,17),(16,20),-0.0216209 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,17),(16,21),-0.0196821 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,17),(16,22),-0.0202627 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,17),(16,23),-0.0202627 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,17),(16,25),-0.00042405 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,17),(16,26),-0.0223631 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,17),(16,27),-0.0215057 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,18),(16,19),0.00555088 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,18),(16,20),-0.0260247 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,18),(16,21),-0.0196674 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,18),(16,22),-0.0199749 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,18),(16,23),-0.0199748 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,18),(16,25),-0.00266475 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,18),(16,26),-0.0156692 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,18),(16,27),-0.0214863 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,19),(16,20),-0.0151505 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,19),(16,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,19),(16,22),-0.0195995 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,19),(16,23),-0.0195995 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,19),(16,25),-0.018658 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,19),(16,26),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,19),(16,27),0.0497343 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,20),(16,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,20),(16,22),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,20),(16,23),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,20),(16,25),-0.0236353 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,20),(16,26),-0.019613 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,20),(16,27),0.0102565 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,21),(16,22),-0.0092441 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,21),(16,23),-0.0092441 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,21),(16,25),-0.0200958 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,21),(16,26),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,21),(16,27),-0.00652547 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,22),(16,23),-0.0104206 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,22),(16,25),-0.024826 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,22),(16,26),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,22),(16,27),-0.0534452 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,23),(16,25),-0.0248551 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,23),(16,26),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,23),(16,27),-0.0554093 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,25),(16,26),-0.0156692 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,25),(16,27),-0.0122532 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,26),(16,27),-0.0291688 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,16),(16,15),0.177957 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,14),0.182866 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,13),0.197769 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,12),0.119791 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,11),0.177988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,10),0.131504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,9),0.193711 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,8),0.185069 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,7),0.208636 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,6),0.203881 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,5),0.190062 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,4),0.167181 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,3),0.131504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,2),0.195461 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,1),-0.161073 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,-1),-0.451396 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,16),(16,15),(16,14),0.102463 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,13),0.0740925 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,12),0.107485 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,11),0.102537 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,10),0.131172 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,9),0.0741465 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,8),0.0741465 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,7),0.110759 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,6),0.0741465 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,5),0.0739378 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,4),0.0907065 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,3),0.131172 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,2),0.0741465 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,1),-0.149473 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,-1),-0.061001 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,14),(16,13),0.0735634 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,12),0.113352 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,11),0.0959161 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,10),0.113775 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,9),0.0744691 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,8),0.0744633 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,7),0.0958814 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,6),0.0744691 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,5),0.0744308 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,4),0.105759 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,3),0.113775 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,2),0.0744691 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,1),-0.14523 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,-1),-0.168487 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,13),(16,12),0.0963718 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,11),0.0877274 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,10),0.078272 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,9),0.138574 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,8),0.140686 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,7),0.0771945 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,6),0.138578 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,5),0.137643 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,4),0.0868612 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,3),0.078272 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,2),0.138578 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,1),-0.146776 # DEPENDENCYPART_GRANDSIBL
