# _root_ Spiegel also opposes the beeper bill , saying the noise it requires would interfere with customer orders , causing irritation and even errors .
#goldHeads=3,3,0,6,6,3,3,3,10,13,12,10,8,13,14,17,15,14,14,21,19,21,21,3,
#predictedHeads=3,3,0,6,6,3,3,3,10,8,12,10,12,13,14,17,21,21,20,21,15,23,21,3,
(6,21),(21,12),0.411584 # DEPENDENCYPART_GRANDPAR
(6,21),(21,13),0.458873 # DEPENDENCYPART_GRANDPAR
(6,21),(21,14),0.289882 # DEPENDENCYPART_GRANDPAR
(6,21),(21,15),0.131004 # DEPENDENCYPART_GRANDPAR
(6,21),(21,16),-0.301221 # DEPENDENCYPART_GRANDPAR
(6,21),(21,17),-0.262055 # DEPENDENCYPART_GRANDPAR
(6,21),(21,18),0.0403164 # DEPENDENCYPART_GRANDPAR
(6,21),(21,19),0.00451355 # DEPENDENCYPART_GRANDPAR
(6,21),(21,20),-0.374122 # DEPENDENCYPART_GRANDPAR
(6,21),(21,22),-0.292883 # DEPENDENCYPART_GRANDPAR
(6,21),(21,23),-0.539788 # DEPENDENCYPART_GRANDPAR
(6,21),(21,24),-0.476595 # DEPENDENCYPART_GRANDPAR
(6,22),(22,20),-0.408257 # DEPENDENCYPART_GRANDPAR
(6,22),(22,23),-0.472013 # DEPENDENCYPART_GRANDPAR
(6,23),(23,19),-0.055823 # DEPENDENCYPART_GRANDPAR
(6,23),(23,20),-0.347561 # DEPENDENCYPART_GRANDPAR
(6,23),(23,21),-0.0430891 # DEPENDENCYPART_GRANDPAR
(6,23),(23,22),-0.410417 # DEPENDENCYPART_GRANDPAR
(6,23),(23,24),-0.4538 # DEPENDENCYPART_GRANDPAR
(6,24),(24,22),-0.512189 # DEPENDENCYPART_GRANDPAR
(7,8),(8,6),-0.441896 # DEPENDENCYPART_GRANDPAR
(7,8),(8,7),-0.654404 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,8),(8,9),0.0240895 # DEPENDENCYPART_GRANDPAR
(7,8),(8,10),-0.102095 # DEPENDENCYPART_GRANDPAR
(7,8),(8,11),-0.0960274 # DEPENDENCYPART_GRANDPAR
(7,8),(8,12),-0.135718 # DEPENDENCYPART_GRANDPAR
(7,8),(8,13),-0.0115991 # DEPENDENCYPART_GRANDPAR
(7,8),(8,14),-0.178914 # DEPENDENCYPART_GRANDPAR
(7,8),(8,15),-0.11833 # DEPENDENCYPART_GRANDPAR
(7,8),(8,17),-0.341728 # DEPENDENCYPART_GRANDPAR
(7,8),(8,18),-0.0720475 # DEPENDENCYPART_GRANDPAR
(7,8),(8,19),-0.379735 # DEPENDENCYPART_GRANDPAR
(7,8),(8,20),-0.525874 # DEPENDENCYPART_GRANDPAR
(7,8),(8,21),-0.324197 # DEPENDENCYPART_GRANDPAR
(7,8),(8,24),-0.422571 # DEPENDENCYPART_GRANDPAR
(8,6),(6,1),-0.116292 # DEPENDENCYPART_GRANDPAR
(8,6),(6,2),-0.103361 # DEPENDENCYPART_GRANDPAR
(8,6),(6,4),-0.0771289 # DEPENDENCYPART_GRANDPAR
(8,6),(6,5),-0.111826 # DEPENDENCYPART_GRANDPAR
(8,6),(6,7),0.401827 # DEPENDENCYPART_GRANDPAR
(8,6),(6,8),-0.704307 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,6),(6,10),0.390971 # DEPENDENCYPART_GRANDPAR
(8,6),(6,12),0.15518 # DEPENDENCYPART_GRANDPAR
(8,6),(6,13),0.0355319 # DEPENDENCYPART_GRANDPAR
(8,6),(6,14),-0.10801 # DEPENDENCYPART_GRANDPAR
(8,6),(6,15),0.00544287 # DEPENDENCYPART_GRANDPAR
(8,6),(6,17),-0.425006 # DEPENDENCYPART_GRANDPAR
(8,6),(6,18),-0.108258 # DEPENDENCYPART_GRANDPAR
(8,6),(6,21),-0.449088 # DEPENDENCYPART_GRANDPAR
(8,6),(6,22),-0.351183 # DEPENDENCYPART_GRANDPAR
(8,6),(6,23),-0.654861 # DEPENDENCYPART_GRANDPAR
(8,6),(6,24),-0.781491 # DEPENDENCYPART_GRANDPAR
(8,7),(7,8),-0.733926 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,9),(9,12),0.428432 # DEPENDENCYPART_GRANDPAR
(8,10),(10,4),-0.605934 # DEPENDENCYPART_GRANDPAR
(8,10),(10,5),-0.586089 # DEPENDENCYPART_GRANDPAR
(8,10),(10,8),-0.243663 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,10),(10,9),0.556019 # DEPENDENCYPART_GRANDPAR
(8,10),(10,11),0.341005 # DEPENDENCYPART_GRANDPAR
(8,10),(10,12),0.508081 # DEPENDENCYPART_GRANDPAR
(8,10),(10,13),0.373443 # DEPENDENCYPART_GRANDPAR
(8,10),(10,14),0.246798 # DEPENDENCYPART_GRANDPAR
(8,10),(10,15),-0.0562946 # DEPENDENCYPART_GRANDPAR
(8,10),(10,17),-0.0472146 # DEPENDENCYPART_GRANDPAR
(8,10),(10,20),-0.274945 # DEPENDENCYPART_GRANDPAR
(8,10),(10,23),-0.268955 # DEPENDENCYPART_GRANDPAR
(8,11),(11,14),0.180712 # DEPENDENCYPART_GRANDPAR
(8,12),(12,1),-0.670583 # DEPENDENCYPART_GRANDPAR
(8,12),(12,2),-0.548525 # DEPENDENCYPART_GRANDPAR
(8,12),(12,3),-0.432357 # DEPENDENCYPART_GRANDPAR
(8,12),(12,5),-0.59799 # DEPENDENCYPART_GRANDPAR
(8,12),(12,6),-0.675911 # DEPENDENCYPART_GRANDPAR
(8,12),(12,7),-0.23202 # DEPENDENCYPART_GRANDPAR
(8,12),(12,8),-0.354204 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,12),(12,9),0.380444 # DEPENDENCYPART_GRANDPAR
(8,12),(12,10),0.679564 # DEPENDENCYPART_GRANDPAR
(8,12),(12,11),0.276105 # DEPENDENCYPART_GRANDPAR
(8,12),(12,13),0.397339 # DEPENDENCYPART_GRANDPAR
(8,12),(12,14),0.221904 # DEPENDENCYPART_GRANDPAR
(8,12),(12,15),0.172421 # DEPENDENCYPART_GRANDPAR
(8,12),(12,17),0.0400528 # DEPENDENCYPART_GRANDPAR
(8,12),(12,18),0.544305 # DEPENDENCYPART_GRANDPAR
(8,12),(12,21),0.200802 # DEPENDENCYPART_GRANDPAR
(8,12),(12,24),-0.430107 # DEPENDENCYPART_GRANDPAR
(8,13),(13,1),-0.66485 # DEPENDENCYPART_GRANDPAR
(8,13),(13,2),-0.561691 # DEPENDENCYPART_GRANDPAR
(8,13),(13,3),-0.437109 # DEPENDENCYPART_GRANDPAR
(8,13),(13,4),-0.622523 # DEPENDENCYPART_GRANDPAR
(8,13),(13,6),-0.670379 # DEPENDENCYPART_GRANDPAR
(8,13),(13,7),-0.232464 # DEPENDENCYPART_GRANDPAR
(8,13),(13,8),-0.263353 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,13),(13,9),0.534076 # DEPENDENCYPART_GRANDPAR
(8,13),(13,10),0.771734 # DEPENDENCYPART_GRANDPAR
(8,13),(13,11),0.360119 # DEPENDENCYPART_GRANDPAR
(8,13),(13,12),0.611961 # DEPENDENCYPART_GRANDPAR
(8,13),(13,14),0.351548 # DEPENDENCYPART_GRANDPAR
(8,13),(13,15),0.115133 # DEPENDENCYPART_GRANDPAR
(8,13),(13,16),-0.131827 # DEPENDENCYPART_GRANDPAR
(8,13),(13,18),0.487463 # DEPENDENCYPART_GRANDPAR
(8,13),(13,21),0.183145 # DEPENDENCYPART_GRANDPAR
(8,13),(13,24),-0.357667 # DEPENDENCYPART_GRANDPAR
(8,14),(14,7),-0.232122 # DEPENDENCYPART_GRANDPAR
(8,14),(14,10),0.681085 # DEPENDENCYPART_GRANDPAR
(8,14),(14,11),0.275725 # DEPENDENCYPART_GRANDPAR
(8,14),(14,12),0.527044 # DEPENDENCYPART_GRANDPAR
(8,14),(14,13),0.335125 # DEPENDENCYPART_GRANDPAR
(8,14),(14,15),0.185732 # DEPENDENCYPART_GRANDPAR
(8,14),(14,16),-0.0887864 # DEPENDENCYPART_GRANDPAR
(8,14),(14,17),0.048775 # DEPENDENCYPART_GRANDPAR
(8,14),(14,18),0.547444 # DEPENDENCYPART_GRANDPAR
(8,14),(14,19),0.335779 # DEPENDENCYPART_GRANDPAR
(8,14),(14,20),-0.186485 # DEPENDENCYPART_GRANDPAR
(8,14),(14,21),0.210957 # DEPENDENCYPART_GRANDPAR
(8,14),(14,23),-0.180509 # DEPENDENCYPART_GRANDPAR
(8,14),(14,24),-0.430889 # DEPENDENCYPART_GRANDPAR
(8,15),(15,16),-0.0506495 # DEPENDENCYPART_GRANDPAR
(8,15),(15,17),0.0624925 # DEPENDENCYPART_GRANDPAR
(8,15),(15,19),0.306619 # DEPENDENCYPART_GRANDPAR
(8,15),(15,20),-0.150308 # DEPENDENCYPART_GRANDPAR
(8,15),(15,21),0.176811 # DEPENDENCYPART_GRANDPAR
(8,15),(15,23),-0.144318 # DEPENDENCYPART_GRANDPAR
(8,17),(17,9),0.573746 # DEPENDENCYPART_GRANDPAR
(8,17),(17,10),0.71343 # DEPENDENCYPART_GRANDPAR
(8,17),(17,14),0.387015 # DEPENDENCYPART_GRANDPAR
(8,17),(17,15),0.0724632 # DEPENDENCYPART_GRANDPAR
(8,17),(17,16),-0.237189 # DEPENDENCYPART_GRANDPAR
(8,17),(17,18),0.414585 # DEPENDENCYPART_GRANDPAR
(8,17),(17,19),0.334629 # DEPENDENCYPART_GRANDPAR
(8,17),(17,20),-0.28181 # DEPENDENCYPART_GRANDPAR
(8,17),(17,21),0.0159771 # DEPENDENCYPART_GRANDPAR
(8,17),(17,22),0.167144 # DEPENDENCYPART_GRANDPAR
(8,17),(17,23),-0.27582 # DEPENDENCYPART_GRANDPAR
(8,18),(18,19),0.265386 # DEPENDENCYPART_GRANDPAR
(8,19),(19,15),0.118465 # DEPENDENCYPART_GRANDPAR
(8,19),(19,17),-0.141345 # DEPENDENCYPART_GRANDPAR
(8,19),(19,18),0.403773 # DEPENDENCYPART_GRANDPAR
(8,19),(19,20),-0.177596 # DEPENDENCYPART_GRANDPAR
(8,19),(19,21),0.229527 # DEPENDENCYPART_GRANDPAR
(8,19),(19,22),0.157429 # DEPENDENCYPART_GRANDPAR
(8,19),(19,23),-0.171619 # DEPENDENCYPART_GRANDPAR
(8,19),(19,24),-0.422389 # DEPENDENCYPART_GRANDPAR
(8,20),(20,16),-0.265728 # DEPENDENCYPART_GRANDPAR
(8,20),(20,17),-0.13626 # DEPENDENCYPART_GRANDPAR
(8,20),(20,19),0.469714 # DEPENDENCYPART_GRANDPAR
(8,20),(20,22),0.16871 # DEPENDENCYPART_GRANDPAR
(8,20),(20,23),-0.271371 # DEPENDENCYPART_GRANDPAR
(8,21),(21,1),-0.828416 # DEPENDENCYPART_GRANDPAR
(8,21),(21,2),-0.645932 # DEPENDENCYPART_GRANDPAR
(8,21),(21,3),-0.564385 # DEPENDENCYPART_GRANDPAR
(8,21),(21,4),-0.722609 # DEPENDENCYPART_GRANDPAR
(8,21),(21,6),-0.833649 # DEPENDENCYPART_GRANDPAR
(8,21),(21,7),-0.350436 # DEPENDENCYPART_GRANDPAR
(8,21),(21,8),-0.297819 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,21),(21,9),0.421676 # DEPENDENCYPART_GRANDPAR
(8,21),(21,10),0.761341 # DEPENDENCYPART_GRANDPAR
(8,21),(21,11),0.190155 # DEPENDENCYPART_GRANDPAR
(8,21),(21,12),0.573232 # DEPENDENCYPART_GRANDPAR
(8,21),(21,13),0.544581 # DEPENDENCYPART_GRANDPAR
(8,21),(21,14),0.319017 # DEPENDENCYPART_GRANDPAR
(8,21),(21,15),0.117748 # DEPENDENCYPART_GRANDPAR
(8,21),(21,16),-0.191969 # DEPENDENCYPART_GRANDPAR
(8,21),(21,17),-0.048898 # DEPENDENCYPART_GRANDPAR
(8,21),(21,18),0.588171 # DEPENDENCYPART_GRANDPAR
(8,21),(21,19),0.408489 # DEPENDENCYPART_GRANDPAR
(8,21),(21,20),-0.295389 # DEPENDENCYPART_GRANDPAR
(8,21),(21,22),0.227801 # DEPENDENCYPART_GRANDPAR
(8,21),(21,23),-0.191717 # DEPENDENCYPART_GRANDPAR
(8,21),(21,24),-0.408165 # DEPENDENCYPART_GRANDPAR
(8,24),(24,22),-0.121813 # DEPENDENCYPART_GRANDPAR
(9,12),(12,1),-0.733664 # DEPENDENCYPART_GRANDPAR
(9,12),(12,2),-0.500616 # DEPENDENCYPART_GRANDPAR
(9,12),(12,3),-0.635288 # DEPENDENCYPART_GRANDPAR
(9,12),(12,5),-0.53616 # DEPENDENCYPART_GRANDPAR
(9,12),(12,6),-0.655555 # DEPENDENCYPART_GRANDPAR
(9,12),(12,7),-0.494149 # DEPENDENCYPART_GRANDPAR
(9,12),(12,8),-0.486881 # DEPENDENCYPART_GRANDPAR
(9,12),(12,9),-0.884277 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,12),(12,10),0.21552 # DEPENDENCYPART_GRANDPAR
(9,12),(12,11),0.278725 # DEPENDENCYPART_GRANDPAR
(9,12),(12,13),-0.131997 # DEPENDENCYPART_GRANDPAR
(9,12),(12,14),-0.0871209 # DEPENDENCYPART_GRANDPAR
(9,12),(12,15),-0.122465 # DEPENDENCYPART_GRANDPAR
(9,12),(12,17),-0.306985 # DEPENDENCYPART_GRANDPAR
(9,12),(12,18),-0.31203 # DEPENDENCYPART_GRANDPAR
(9,12),(12,21),-0.314723 # DEPENDENCYPART_GRANDPAR
(9,12),(12,24),-0.567546 # DEPENDENCYPART_GRANDPAR
(10,4),(4,5),-0.197292 # DEPENDENCYPART_GRANDPAR
(10,4),(4,7),-0.177333 # DEPENDENCYPART_GRANDPAR
(10,4),(4,8),-0.225512 # DEPENDENCYPART_GRANDPAR
(10,5),(5,2),-0.308673 # DEPENDENCYPART_GRANDPAR
(10,5),(5,4),-0.394492 # DEPENDENCYPART_GRANDPAR
(10,5),(5,10),-0.945072 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,8),(8,6),-0.490039 # DEPENDENCYPART_GRANDPAR
(10,8),(8,7),-0.0906322 # DEPENDENCYPART_GRANDPAR
(10,8),(8,9),0.00477477 # DEPENDENCYPART_GRANDPAR
(10,8),(8,10),-1.08641 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,8),(8,11),0.362946 # DEPENDENCYPART_GRANDPAR
(10,8),(8,12),-0.49065 # DEPENDENCYPART_GRANDPAR
(10,8),(8,13),-0.263594 # DEPENDENCYPART_GRANDPAR
(10,8),(8,14),-0.320884 # DEPENDENCYPART_GRANDPAR
(10,8),(8,15),-0.526542 # DEPENDENCYPART_GRANDPAR
(10,8),(8,17),-0.663803 # DEPENDENCYPART_GRANDPAR
(10,8),(8,18),-0.416712 # DEPENDENCYPART_GRANDPAR
(10,8),(8,19),-0.639172 # DEPENDENCYPART_GRANDPAR
(10,8),(8,20),-0.754496 # DEPENDENCYPART_GRANDPAR
(10,8),(8,21),-0.778953 # DEPENDENCYPART_GRANDPAR
(10,8),(8,24),-1.03769 # DEPENDENCYPART_GRANDPAR
(10,9),(9,12),-0.337664 # DEPENDENCYPART_GRANDPAR
(10,11),(11,14),0.269802 # DEPENDENCYPART_GRANDPAR
(10,12),(12,1),-1.48829 # DEPENDENCYPART_GRANDPAR
(10,12),(12,2),-0.91535 # DEPENDENCYPART_GRANDPAR
(10,12),(12,3),-1.13206 # DEPENDENCYPART_GRANDPAR
(10,12),(12,5),-0.701507 # DEPENDENCYPART_GRANDPAR
(10,12),(12,6),-1.25197 # DEPENDENCYPART_GRANDPAR
(10,12),(12,7),-0.666348 # DEPENDENCYPART_GRANDPAR
(10,12),(12,8),-0.880792 # DEPENDENCYPART_GRANDPAR
(10,12),(12,9),-0.430854 # DEPENDENCYPART_GRANDPAR
(10,12),(12,10),-0.528301 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,12),(12,11),0.913272 # DEPENDENCYPART_GRANDPAR
(10,12),(12,13),0.234601 # DEPENDENCYPART_GRANDPAR
(10,12),(12,14),0.239018 # DEPENDENCYPART_GRANDPAR
(10,12),(12,15),0.217092 # DEPENDENCYPART_GRANDPAR
(10,12),(12,17),0.0677291 # DEPENDENCYPART_GRANDPAR
(10,12),(12,18),0.120677 # DEPENDENCYPART_GRANDPAR
(10,12),(12,21),-0.0125709 # DEPENDENCYPART_GRANDPAR
(10,12),(12,24),-0.572166 # DEPENDENCYPART_GRANDPAR
(10,13),(13,1),-1.3357 # DEPENDENCYPART_GRANDPAR
(10,13),(13,2),-0.792667 # DEPENDENCYPART_GRANDPAR
(10,13),(13,3),-0.9712 # DEPENDENCYPART_GRANDPAR
(10,13),(13,4),-0.79971 # DEPENDENCYPART_GRANDPAR
(10,13),(13,6),-1.09959 # DEPENDENCYPART_GRANDPAR
(10,13),(13,7),-0.538935 # DEPENDENCYPART_GRANDPAR
(10,13),(13,8),-0.71987 # DEPENDENCYPART_GRANDPAR
(10,13),(13,9),-0.324664 # DEPENDENCYPART_GRANDPAR
(10,13),(13,10),-0.462754 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,13),(13,11),0.925506 # DEPENDENCYPART_GRANDPAR
(10,13),(13,12),0.190474 # DEPENDENCYPART_GRANDPAR
(10,13),(13,14),0.322189 # DEPENDENCYPART_GRANDPAR
(10,13),(13,15),0.148972 # DEPENDENCYPART_GRANDPAR
(10,13),(13,16),-0.103983 # DEPENDENCYPART_GRANDPAR
(10,13),(13,18),0.138887 # DEPENDENCYPART_GRANDPAR
(10,13),(13,21),0.0087063 # DEPENDENCYPART_GRANDPAR
(10,13),(13,24),-0.4751 # DEPENDENCYPART_GRANDPAR
(10,14),(14,7),-0.666348 # DEPENDENCYPART_GRANDPAR
(10,14),(14,10),-0.531558 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,14),(14,11),0.913432 # DEPENDENCYPART_GRANDPAR
(10,14),(14,12),0.165478 # DEPENDENCYPART_GRANDPAR
(10,14),(14,13),0.217924 # DEPENDENCYPART_GRANDPAR
(10,14),(14,15),0.236064 # DEPENDENCYPART_GRANDPAR
(10,14),(14,16),-0.0542646 # DEPENDENCYPART_GRANDPAR
(10,14),(14,17),0.0749768 # DEPENDENCYPART_GRANDPAR
(10,14),(14,18),0.119081 # DEPENDENCYPART_GRANDPAR
(10,14),(14,19),-0.0670521 # DEPENDENCYPART_GRANDPAR
(10,14),(14,20),-0.0156536 # DEPENDENCYPART_GRANDPAR
(10,14),(14,21),-0.00378219 # DEPENDENCYPART_GRANDPAR
(10,14),(14,23),-0.278547 # DEPENDENCYPART_GRANDPAR
(10,14),(14,24),-0.574219 # DEPENDENCYPART_GRANDPAR
(10,15),(15,16),0.0291836 # DEPENDENCYPART_GRANDPAR
(10,15),(15,17),0.15433 # DEPENDENCYPART_GRANDPAR
(10,15),(15,19),-0.0893927 # DEPENDENCYPART_GRANDPAR
(10,15),(15,20),0.0667302 # DEPENDENCYPART_GRANDPAR
(10,15),(15,21),-0.0359296 # DEPENDENCYPART_GRANDPAR
(10,15),(15,23),-0.19615 # DEPENDENCYPART_GRANDPAR
(10,17),(17,9),-0.421279 # DEPENDENCYPART_GRANDPAR
(10,17),(17,10),-0.413858 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,17),(17,14),0.405792 # DEPENDENCYPART_GRANDPAR
(10,17),(17,15),0.0963321 # DEPENDENCYPART_GRANDPAR
(10,17),(17,16),-0.116193 # DEPENDENCYPART_GRANDPAR
(10,17),(17,18),0.219262 # DEPENDENCYPART_GRANDPAR
(10,17),(17,19),-0.0759827 # DEPENDENCYPART_GRANDPAR
(10,17),(17,20),-0.0435515 # DEPENDENCYPART_GRANDPAR
(10,17),(17,21),-0.177897 # DEPENDENCYPART_GRANDPAR
(10,17),(17,22),-0.521037 # DEPENDENCYPART_GRANDPAR
(10,17),(17,23),-0.306432 # DEPENDENCYPART_GRANDPAR
(10,20),(20,16),-0.119443 # DEPENDENCYPART_GRANDPAR
(10,20),(20,17),0.00712555 # DEPENDENCYPART_GRANDPAR
(10,20),(20,19),0.0962178 # DEPENDENCYPART_GRANDPAR
(10,20),(20,22),-0.523088 # DEPENDENCYPART_GRANDPAR
(10,20),(20,23),-0.304942 # DEPENDENCYPART_GRANDPAR
(10,23),(23,19),0.0962178 # DEPENDENCYPART_GRANDPAR
(10,23),(23,20),-0.0854812 # DEPENDENCYPART_GRANDPAR
(10,23),(23,21),-0.0659764 # DEPENDENCYPART_GRANDPAR
(10,23),(23,22),-0.356234 # DEPENDENCYPART_GRANDPAR
(10,23),(23,24),-0.434074 # DEPENDENCYPART_GRANDPAR
(11,14),(14,7),-0.443861 # DEPENDENCYPART_GRANDPAR
(11,14),(14,10),-0.328538 # DEPENDENCYPART_GRANDPAR
(11,14),(14,11),-0.574971 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,14),(14,12),0.466866 # DEPENDENCYPART_GRANDPAR
(11,14),(14,13),0.109002 # DEPENDENCYPART_GRANDPAR
(11,14),(14,15),0.136177 # DEPENDENCYPART_GRANDPAR
(11,14),(14,16),0.0383397 # DEPENDENCYPART_GRANDPAR
(11,14),(14,17),-0.0422614 # DEPENDENCYPART_GRANDPAR
(11,14),(14,18),0.0824642 # DEPENDENCYPART_GRANDPAR
(11,14),(14,19),0.134127 # DEPENDENCYPART_GRANDPAR
(11,14),(14,20),-0.20459 # DEPENDENCYPART_GRANDPAR
(11,14),(14,21),-0.165468 # DEPENDENCYPART_GRANDPAR
(11,14),(14,23),-0.254359 # DEPENDENCYPART_GRANDPAR
(11,14),(14,24),-0.240665 # DEPENDENCYPART_GRANDPAR
(12,1),(1,2),0.348899 # DEPENDENCYPART_GRANDPAR
(12,1),(1,3),0.445192 # DEPENDENCYPART_GRANDPAR
(12,1),(1,6),-0.0871697 # DEPENDENCYPART_GRANDPAR
(12,1),(1,7),0.214501 # DEPENDENCYPART_GRANDPAR
(12,1),(1,10),0.278518 # DEPENDENCYPART_GRANDPAR
(12,1),(1,12),-0.782061 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,1),(1,13),0.125339 # DEPENDENCYPART_GRANDPAR
(12,1),(1,18),-0.318985 # DEPENDENCYPART_GRANDPAR
(12,1),(1,24),-0.71768 # DEPENDENCYPART_GRANDPAR
(12,2),(2,1),0.00539058 # DEPENDENCYPART_GRANDPAR
(12,2),(2,3),0.272983 # DEPENDENCYPART_GRANDPAR
(12,2),(2,6),-0.0701465 # DEPENDENCYPART_GRANDPAR
(12,2),(2,7),0.128353 # DEPENDENCYPART_GRANDPAR
(12,3),(3,1),0.149296 # DEPENDENCYPART_GRANDPAR
(12,3),(3,2),0.51727 # DEPENDENCYPART_GRANDPAR
(12,3),(3,4),0.0178417 # DEPENDENCYPART_GRANDPAR
(12,3),(3,5),0.131509 # DEPENDENCYPART_GRANDPAR
(12,3),(3,6),-0.0963932 # DEPENDENCYPART_GRANDPAR
(12,3),(3,7),0.0968996 # DEPENDENCYPART_GRANDPAR
(12,3),(3,8),0.18539 # DEPENDENCYPART_GRANDPAR
(12,3),(3,10),0.263399 # DEPENDENCYPART_GRANDPAR
(12,3),(3,12),-0.852227 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,3),(3,13),0.0903714 # DEPENDENCYPART_GRANDPAR
(12,3),(3,14),-0.12122 # DEPENDENCYPART_GRANDPAR
(12,3),(3,15),-0.246675 # DEPENDENCYPART_GRANDPAR
(12,3),(3,18),-0.293131 # DEPENDENCYPART_GRANDPAR
(12,3),(3,19),-0.306845 # DEPENDENCYPART_GRANDPAR
(12,3),(3,21),-0.387648 # DEPENDENCYPART_GRANDPAR
(12,3),(3,24),-0.760909 # DEPENDENCYPART_GRANDPAR
(12,5),(5,2),0.449136 # DEPENDENCYPART_GRANDPAR
(12,5),(5,4),0.188036 # DEPENDENCYPART_GRANDPAR
(12,5),(5,10),0.315649 # DEPENDENCYPART_GRANDPAR
(12,6),(6,1),0.0749315 # DEPENDENCYPART_GRANDPAR
(12,6),(6,2),0.464596 # DEPENDENCYPART_GRANDPAR
(12,6),(6,4),0.252965 # DEPENDENCYPART_GRANDPAR
(12,6),(6,5),0.307057 # DEPENDENCYPART_GRANDPAR
(12,6),(6,7),0.260187 # DEPENDENCYPART_GRANDPAR
(12,6),(6,8),0.359542 # DEPENDENCYPART_GRANDPAR
(12,6),(6,10),0.348413 # DEPENDENCYPART_GRANDPAR
(12,6),(6,12),-0.783428 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,6),(6,13),0.124019 # DEPENDENCYPART_GRANDPAR
(12,6),(6,14),-0.0524513 # DEPENDENCYPART_GRANDPAR
(12,6),(6,15),-0.0493335 # DEPENDENCYPART_GRANDPAR
(12,6),(6,17),-0.475369 # DEPENDENCYPART_GRANDPAR
(12,6),(6,18),-0.321363 # DEPENDENCYPART_GRANDPAR
(12,6),(6,21),-0.309619 # DEPENDENCYPART_GRANDPAR
(12,6),(6,22),-0.440282 # DEPENDENCYPART_GRANDPAR
(12,6),(6,23),-0.800927 # DEPENDENCYPART_GRANDPAR
(12,6),(6,24),-0.718989 # DEPENDENCYPART_GRANDPAR
(12,7),(7,8),0.17673 # DEPENDENCYPART_GRANDPAR
(12,8),(8,6),0.103144 # DEPENDENCYPART_GRANDPAR
(12,8),(8,7),0.268012 # DEPENDENCYPART_GRANDPAR
(12,8),(8,9),0.217689 # DEPENDENCYPART_GRANDPAR
(12,8),(8,10),0.238325 # DEPENDENCYPART_GRANDPAR
(12,8),(8,11),0.320964 # DEPENDENCYPART_GRANDPAR
(12,8),(8,12),-0.841915 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,8),(8,13),0.0902636 # DEPENDENCYPART_GRANDPAR
(12,8),(8,14),-0.110908 # DEPENDENCYPART_GRANDPAR
(12,8),(8,15),-0.246783 # DEPENDENCYPART_GRANDPAR
(12,8),(8,17),-0.647876 # DEPENDENCYPART_GRANDPAR
(12,8),(8,18),-0.293239 # DEPENDENCYPART_GRANDPAR
(12,8),(8,19),-0.296533 # DEPENDENCYPART_GRANDPAR
(12,8),(8,20),-1.01901 # DEPENDENCYPART_GRANDPAR
(12,8),(8,21),-0.388214 # DEPENDENCYPART_GRANDPAR
(12,8),(8,24),-0.761017 # DEPENDENCYPART_GRANDPAR
(12,9),(9,12),-0.811371 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,10),(10,4),0.233856 # DEPENDENCYPART_GRANDPAR
(12,10),(10,5),0.289848 # DEPENDENCYPART_GRANDPAR
(12,10),(10,8),0.223479 # DEPENDENCYPART_GRANDPAR
(12,10),(10,9),0.450077 # DEPENDENCYPART_GRANDPAR
(12,10),(10,11),0.251042 # DEPENDENCYPART_GRANDPAR
(12,10),(10,12),-0.782075 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,10),(10,13),0.125334 # DEPENDENCYPART_GRANDPAR
(12,10),(10,14),-0.0510978 # DEPENDENCYPART_GRANDPAR
(12,10),(10,15),-0.0479087 # DEPENDENCYPART_GRANDPAR
(12,10),(10,17),-0.47316 # DEPENDENCYPART_GRANDPAR
(12,10),(10,20),-0.844332 # DEPENDENCYPART_GRANDPAR
(12,10),(10,23),-0.798717 # DEPENDENCYPART_GRANDPAR
(12,11),(11,14),0.00219254 # DEPENDENCYPART_GRANDPAR
(12,13),(13,1),-0.460775 # DEPENDENCYPART_GRANDPAR
(12,13),(13,2),-0.00503845 # DEPENDENCYPART_GRANDPAR
