# _root_ Lawrence B. Seidman , 41 years old , was named chairman of this savings and loan institution .
#goldHeads=3,3,9,3,6,3,6,3,0,9,10,11,15,15,12,15,15,9,
#predictedHeads=3,3,9,3,6,7,3,3,0,9,10,11,15,15,12,15,15,9,
(2,11),(11,13),(11,19),-0.0442877 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,14),(11,15),-0.0427057 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,14),(11,16),-0.0120586 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,14),(11,17),-0.0119275 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,14),(11,18),-0.038356 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,14),(11,19),-0.00502866 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,15),(11,16),-0.139472 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,15),(11,17),-0.165056 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,15),(11,18),0.0489487 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,15),(11,19),-0.0342611 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,16),(11,17),-0.0142655 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,16),(11,18),-0.038356 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,16),(11,19),-0.00453906 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,17),(11,18),-0.038356 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,17),(11,19),-0.00453764 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,18),(11,19),0.0957653 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,11),(11,10),0.122792 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,9),0.123462 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,8),0.164032 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,7),0.100949 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,6),0.147591 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,5),0.196488 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,4),0.164032 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,3),0.147611 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,2),0.14655 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,11),(11,11),(11,1),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,-1),0.0284455 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,11),(11,10),(11,9),0.118217 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,10),(11,8),0.123217 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,10),(11,7),0.119792 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,10),(11,6),0.128571 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,10),(11,5),0.116844 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,10),(11,4),0.123217 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,10),(11,3),0.128575 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,10),(11,2),0.128575 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,10),(11,1),-0.124957 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,10),(11,-1),-0.176571 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,9),(11,8),0.123218 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,9),(11,7),0.119791 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,9),(11,6),0.128661 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,9),(11,5),0.116844 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,9),(11,4),0.123218 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,9),(11,3),0.128664 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,9),(11,2),0.128664 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,9),(11,1),-0.124957 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,9),(11,-1),-0.17552 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,8),(11,7),0.0910982 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,8),(11,6),0.111372 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,8),(11,5),0.117009 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,8),(11,4),0.115514 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,8),(11,3),0.11139 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,8),(11,2),0.11139 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,8),(11,1),-0.129532 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,8),(11,-1),-0.00475833 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,7),(11,6),0.135685 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,7),(11,5),0.103842 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,7),(11,4),0.0899046 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,7),(11,3),0.136477 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,7),(11,2),0.136477 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,7),(11,1),-0.124914 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,7),(11,-1),-0.156836 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,6),(11,5),0.105078 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,6),(11,4),0.120796 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,6),(11,3),0.110926 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,6),(11,2),0.110889 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,6),(11,1),-0.125449 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,6),(11,-1),-0.145303 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,5),(11,4),0.141637 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,5),(11,3),0.119402 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,5),(11,2),0.119402 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,5),(11,1),-0.12492 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,5),(11,-1),-0.127284 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,4),(11,3),0.11139 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,4),(11,2),0.11139 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,4),(11,1),-0.129532 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,4),(11,-1),-0.00475833 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,3),(11,2),0.110889 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,3),(11,1),-0.125449 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,3),(11,-1),-0.144331 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,2),(11,1),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,2),(11,-1),-0.145423 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,11),(11,1),(11,-1),-0.144018 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,1),(1,2),0.151082 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,1),(1,3),-0.141313 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,1),(1,1),(1,4),-0.129725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,1),(1,5),-0.125914 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,1),(1,6),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,1),(1,8),-0.129725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,1),(1,9),-0.154371 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,1),(1,18),-0.125132 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,1),(1,19),0.0317207 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,1),(1,2),(1,3),-0.125449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,2),(1,4),-0.126785 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,2),(1,5),-0.125238 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,2),(1,6),-0.125449 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,2),(1,8),-0.126785 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,2),(1,9),-0.125545 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,2),(1,18),-0.125194 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,2),(1,19),-0.144242 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,3),(1,4),-0.126785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,3),(1,5),-0.125238 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,3),(1,6),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,3),(1,8),-0.126785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,3),(1,9),-0.125545 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,3),(1,18),-0.125194 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,3),(1,19),-0.14315 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,1),(1,4),(1,5),-0.124905 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,4),(1,6),-0.129532 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,4),(1,8),-0.125325 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,4),(1,9),-0.127235 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,4),(1,18),-0.124886 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,4),(1,19),-0.00435657 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,5),(1,6),-0.12492 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,5),(1,8),-0.125133 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,5),(1,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,5),(1,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,5),(1,19),-0.125751 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,6),(1,8),-0.126785 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,6),(1,9),-0.125545 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,6),(1,18),-0.125194 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,6),(1,19),-0.144122 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,8),(1,9),-0.127235 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,8),(1,18),-0.124886 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,8),(1,19),-0.00435657 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,9),(1,18),-0.124886 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,9),(1,19),-0.174431 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,18),(1,19),-0.144995 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,1),(1,-1),0.106155 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,2),(2,3),-0.141313 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,2),(2,4),-0.129725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,5),-0.125914 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,6),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,7),-0.126121 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,8),-0.129725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,9),-0.154371 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,11),-0.141328 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,19),0.0267272 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,3),(2,4),-0.126785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,5),-0.125238 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,6),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,7),-0.125126 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,8),-0.126785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,9),-0.125545 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,11),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,19),-0.143132 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,4),(2,5),-0.124905 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,6),-0.129532 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,7),-0.12731 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,8),-0.125325 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,9),-0.127235 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,11),-0.129604 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,19),-0.003372 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,5),(2,6),-0.12492 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,5),(2,7),-0.125745 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,5),(2,8),-0.125133 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,5),(2,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,5),(2,11),-0.12492 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,5),(2,19),-0.125751 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,6),(2,7),-0.125126 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,6),(2,8),-0.126785 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,6),(2,9),-0.125545 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,6),(2,11),-0.125449 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,6),(2,19),-0.144105 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,7),(2,8),-0.125225 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,7),(2,9),-0.124918 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,7),(2,11),-0.124914 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,7),(2,19),-0.158135 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,8),(2,9),-0.127235 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,8),(2,11),-0.129604 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,8),(2,19),-0.003372 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,9),(2,11),-0.124957 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,9),(2,19),-0.174431 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,11),(2,19),-0.147707 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,2),(2,1),-0.183011 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,-1),0.102292 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,1),(2,-1),0.00271643 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,4),(4,19),-0.00624447 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,4),(4,4),(4,-1),-0.091115 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,5),(5,5),(5,6),-0.0510857 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,7),-0.0932807 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,8),-0.0636583 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,19),0.13948 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,5),(5,6),(5,7),-0.0420073 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,6),(5,8),-0.0440463 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,6),(5,19),-0.0617983 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,7),(5,8),-0.042 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,7),(5,19),-0.0760544 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,8),(5,19),-0.0408479 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,5),(5,4),0.127336 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,3),0.193764 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,5),(5,5),(5,2),-0.127158 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,-1),-0.0525069 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,5),(5,4),(5,3),0.146099 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,4),(5,2),-0.124886 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,4),(5,-1),-0.151191 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,3),(5,2),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,3),(5,-1),-0.0584688 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,5),(5,2),(5,-1),-0.0584688 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,6),(6,7),-0.0654964 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,8),0.138851 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,9),0.0462772 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,10),0.0499778 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,11),-0.18337 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,12),-0.0170334 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,15),-0.0502667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,18),0.0853671 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,19),0.0952038 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,6),(6,7),(6,8),-0.0335859 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,7),(6,9),-0.0395049 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,7),(6,10),-0.0395049 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,7),(6,11),-0.0605472 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,7),(6,12),-0.0395578 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,7),(6,15),-0.0427844 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,7),(6,18),-0.0421103 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,7),(6,19),-0.0491018 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,8),(6,9),-0.117293 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,8),(6,10),-0.117178 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,8),(6,11),0.128114 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,8),(6,12),-0.0267764 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,8),(6,15),-0.0666007 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,8),(6,18),-0.0439761 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,8),(6,19),-0.0441761 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,9),(6,10),-0.0450753 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,9),(6,11),-0.0484738 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,9),(6,12),-0.0517344 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,9),(6,15),-0.0432391 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,9),(6,18),-0.0421587 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,9),(6,19),-0.0170466 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,10),(6,11),-0.0484478 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,10),(6,12),-0.0517279 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,10),(6,15),-0.0432391 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,10),(6,18),-0.0421587 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,10),(6,19),-0.013075 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,11),(6,12),-0.037208 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,11),(6,15),-0.042798 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,11),(6,18),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,11),(6,19),-0.00274751 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,12),(6,15),-0.0355032 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,12),(6,18),-0.0471799 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,12),(6,19),-0.046745 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,15),(6,18),0.0800466 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,15),(6,19),-0.0337 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,18),(6,19),0.095785 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,6),(6,5),0.199136 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,4),0.165353 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,3),0.152049 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,6),(6,6),(6,2),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,1),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,-1),0.0186277 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,6),(6,5),(6,4),0.141646 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,5),(6,3),0.119401 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,5),(6,2),-0.12492 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,5),(6,1),-0.12492 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,5),(6,-1),-0.122004 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,4),(6,3),0.11273 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,4),(6,2),-0.129532 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,4),(6,1),-0.129532 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,4),(6,-1),-0.0040625 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,3),(6,2),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,3),(6,1),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,3),(6,-1),-0.143488 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,6),(6,2),(6,1),-0.125449 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,2),(6,-1),-0.14458 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,1),(6,-1),-0.143175 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,7),(7,8),0.0333276 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,9),-0.0436077 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,10),-0.0475183 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,11),-0.047375 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,12),0.0378998 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,15),-0.0181773 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,17),-0.0473749 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,18),-0.042021 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,19),0.047409 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,7),(7,8),(7,9),-0.0438322 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,10),-0.0437942 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,11),0.0390867 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,12),-0.0531137 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,15),-0.044606 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,17),0.0390867 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,18),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,19),-0.081404 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,9),(7,10),-0.0422668 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,9),(7,11),-0.0426621 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,9),(7,12),-0.0449652 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,9),(7,15),-0.0420891 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,9),(7,17),-0.0426621 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,9),(7,18),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,9),(7,19),-0.0397784 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,10),(7,11),-0.042662 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,10),(7,12),-0.0444611 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,10),(7,15),-0.0420891 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,10),(7,17),-0.042662 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,10),(7,18),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,10),(7,19),-0.0423509 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,11),(7,12),-0.0493032 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,11),(7,15),-0.0422452 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,11),(7,17),-0.0178255 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,11),(7,18),-0.0419993 # DEPENDENCYPART_GRANDSIBL
