# _root_ Computers that once were the state of the art , The marvels bought three years ago , Are now obsolete .
#goldHeads=18,4,4,1,6,4,6,9,7,1,12,1,12,15,16,13,1,0,18,18,18,
#predictedHeads=18,4,4,1,6,4,6,9,7,1,12,1,12,15,16,13,1,0,18,18,18,
(18,15),(18,1),-1.46072 # DEPENDENCYPART_NEXTSIBL
(18,15),(18,-1),-0.378219 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,14),(18,13),-0.704389 # DEPENDENCYPART_NEXTSIBL
(18,14),(18,12),-0.976342 # DEPENDENCYPART_NEXTSIBL
(18,14),(18,11),-1.15122 # DEPENDENCYPART_NEXTSIBL
(18,14),(18,10),-0.822418 # DEPENDENCYPART_NEXTSIBL
(18,14),(18,9),-1.24786 # DEPENDENCYPART_NEXTSIBL
(18,14),(18,7),-1.18262 # DEPENDENCYPART_NEXTSIBL
(18,14),(18,6),-1.21701 # DEPENDENCYPART_NEXTSIBL
(18,14),(18,4),-1.14257 # DEPENDENCYPART_NEXTSIBL
(18,14),(18,3),-1.15558 # DEPENDENCYPART_NEXTSIBL
(18,14),(18,1),-1.26408 # DEPENDENCYPART_NEXTSIBL
(18,14),(18,-1),-0.555458 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,13),(18,12),-0.610009 # DEPENDENCYPART_NEXTSIBL
(18,13),(18,11),-0.760799 # DEPENDENCYPART_NEXTSIBL
(18,13),(18,10),-0.646131 # DEPENDENCYPART_NEXTSIBL
(18,13),(18,9),-0.841059 # DEPENDENCYPART_NEXTSIBL
(18,13),(18,7),-0.932306 # DEPENDENCYPART_NEXTSIBL
(18,13),(18,6),-0.90999 # DEPENDENCYPART_NEXTSIBL
(18,13),(18,4),-0.988421 # DEPENDENCYPART_NEXTSIBL
(18,13),(18,3),-0.87216 # DEPENDENCYPART_NEXTSIBL
(18,13),(18,1),-0.986903 # DEPENDENCYPART_NEXTSIBL
(18,13),(18,-1),-0.967714 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,12),(18,11),-0.881607 # DEPENDENCYPART_NEXTSIBL
(18,12),(18,10),-0.421278 # DEPENDENCYPART_NEXTSIBL
(18,12),(18,9),-1.26939 # DEPENDENCYPART_NEXTSIBL
(18,12),(18,7),-1.42331 # DEPENDENCYPART_NEXTSIBL
(18,12),(18,6),-1.56134 # DEPENDENCYPART_NEXTSIBL
(18,12),(18,4),-0.996718 # DEPENDENCYPART_NEXTSIBL
(18,12),(18,3),-1.15785 # DEPENDENCYPART_NEXTSIBL
(18,12),(18,1),-1.40564 # DEPENDENCYPART_NEXTSIBL
(18,12),(18,-1),-0.867728 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,11),(18,10),-0.672609 # DEPENDENCYPART_NEXTSIBL
(18,11),(18,9),-1.23582 # DEPENDENCYPART_NEXTSIBL
(18,11),(18,7),-1.10198 # DEPENDENCYPART_NEXTSIBL
(18,11),(18,6),-1.29626 # DEPENDENCYPART_NEXTSIBL
(18,11),(18,4),-1.30181 # DEPENDENCYPART_NEXTSIBL
(18,11),(18,3),-1.13846 # DEPENDENCYPART_NEXTSIBL
(18,11),(18,1),-1.15612 # DEPENDENCYPART_NEXTSIBL
(18,11),(18,-1),-0.802842 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,10),(18,9),-0.517275 # DEPENDENCYPART_NEXTSIBL
(18,10),(18,7),-0.511239 # DEPENDENCYPART_NEXTSIBL
(18,10),(18,6),-0.700974 # DEPENDENCYPART_NEXTSIBL
(18,10),(18,4),0.500935 # DEPENDENCYPART_NEXTSIBL
(18,10),(18,3),-0.510943 # DEPENDENCYPART_NEXTSIBL
(18,10),(18,1),-0.50451 # DEPENDENCYPART_NEXTSIBL
(18,10),(18,-1),-1.094 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,9),(18,7),-0.721402 # DEPENDENCYPART_NEXTSIBL
(18,9),(18,6),-1.25612 # DEPENDENCYPART_NEXTSIBL
(18,9),(18,4),-1.12898 # DEPENDENCYPART_NEXTSIBL
(18,9),(18,3),-0.953304 # DEPENDENCYPART_NEXTSIBL
(18,9),(18,1),-1.34652 # DEPENDENCYPART_NEXTSIBL
(18,9),(18,-1),-0.94117 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,7),(18,6),-0.879966 # DEPENDENCYPART_NEXTSIBL
(18,7),(18,4),-1.28162 # DEPENDENCYPART_NEXTSIBL
(18,7),(18,3),-1.01481 # DEPENDENCYPART_NEXTSIBL
(18,7),(18,1),-1.26332 # DEPENDENCYPART_NEXTSIBL
(18,7),(18,-1),-0.793498 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,6),(18,4),-1.25099 # DEPENDENCYPART_NEXTSIBL
(18,6),(18,3),-0.860809 # DEPENDENCYPART_NEXTSIBL
(18,6),(18,1),-1.49811 # DEPENDENCYPART_NEXTSIBL
(18,6),(18,-1),-0.778231 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,4),(18,3),-0.570631 # DEPENDENCYPART_NEXTSIBL
(18,4),(18,1),-0.978495 # DEPENDENCYPART_NEXTSIBL
(18,4),(18,-1),-0.640157 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,3),(18,1),-0.223616 # DEPENDENCYPART_NEXTSIBL
(18,3),(18,-1),-0.28303 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,1),(18,-1),-0.550569 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,19),(19,20),-0.532889 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,21),-1.27108 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,22),-0.316788 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(19,20),(19,21),-0.57577 # DEPENDENCYPART_NEXTSIBL
(19,20),(19,22),-0.730906 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,21),(19,22),-1.7598 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,19),(19,15),-0.189495 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,12),-0.476871 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,9),-0.652087 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,6),-0.53749 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,1),-0.492972 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,-1),-0.466533 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(19,15),(19,12),-1.35539 # DEPENDENCYPART_NEXTSIBL
(19,15),(19,9),-1.45588 # DEPENDENCYPART_NEXTSIBL
(19,15),(19,6),-1.49723 # DEPENDENCYPART_NEXTSIBL
(19,15),(19,1),-1.34968 # DEPENDENCYPART_NEXTSIBL
(19,15),(19,-1),-0.217623 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,12),(19,9),-1.18926 # DEPENDENCYPART_NEXTSIBL
(19,12),(19,6),-1.4841 # DEPENDENCYPART_NEXTSIBL
(19,12),(19,1),-1.32878 # DEPENDENCYPART_NEXTSIBL
(19,12),(19,-1),-0.797007 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,9),(19,6),-1.17481 # DEPENDENCYPART_NEXTSIBL
(19,9),(19,1),-1.26559 # DEPENDENCYPART_NEXTSIBL
(19,9),(19,-1),-0.866412 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,6),(19,1),-1.42073 # DEPENDENCYPART_NEXTSIBL
(19,6),(19,-1),-0.711135 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,1),(19,-1),-0.476924 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,20),(20,21),-1.18966 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,22),-0.488234 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(20,21),(20,22),-1.65801 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,20),(20,19),-0.310183 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,17),-1.55166 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,16),-0.662245 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,15),-0.230546 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,9),-0.638776 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,6),-0.532032 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,-1),-0.496414 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(20,19),(20,17),-1.06104 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,16),-1.15847 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,15),-1.04025 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,9),-0.708412 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,6),-0.721333 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,-1),-1.02089 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,17),(20,16),-0.148454 # DEPENDENCYPART_NEXTSIBL
(20,17),(20,15),-0.561282 # DEPENDENCYPART_NEXTSIBL
(20,17),(20,9),-0.452776 # DEPENDENCYPART_NEXTSIBL
(20,17),(20,6),-0.594302 # DEPENDENCYPART_NEXTSIBL
(20,17),(20,-1),-0.537343 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,16),(20,15),-0.58075 # DEPENDENCYPART_NEXTSIBL
(20,16),(20,9),-1.18962 # DEPENDENCYPART_NEXTSIBL
(20,16),(20,6),-1.19935 # DEPENDENCYPART_NEXTSIBL
(20,16),(20,-1),-0.638088 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,15),(20,9),-1.40379 # DEPENDENCYPART_NEXTSIBL
(20,15),(20,6),-1.4479 # DEPENDENCYPART_NEXTSIBL
(20,15),(20,-1),-0.187092 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,9),(20,6),-1.11145 # DEPENDENCYPART_NEXTSIBL
(20,9),(20,-1),-0.795266 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,6),(20,-1),-0.648244 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,21),(21,22),-0.557975 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(21,21),(21,20),-0.645998 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,-1),-0.145313 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(21,20),(21,-1),-0.79388 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,1),(1,3),0.405566 # DEPENDENCYPART_GRANDPAR
(0,1),(1,4),0.41516 # DEPENDENCYPART_GRANDPAR
(0,1),(1,6),-0.0862476 # DEPENDENCYPART_GRANDPAR
(0,1),(1,7),-0.0468536 # DEPENDENCYPART_GRANDPAR
(0,1),(1,9),-0.100812 # DEPENDENCYPART_GRANDPAR
(0,1),(1,10),0.320363 # DEPENDENCYPART_GRANDPAR
(0,1),(1,12),-0.142041 # DEPENDENCYPART_GRANDPAR
(0,1),(1,13),0.176417 # DEPENDENCYPART_GRANDPAR
(0,1),(1,15),-0.254161 # DEPENDENCYPART_GRANDPAR
(0,1),(1,17),0.057759 # DEPENDENCYPART_GRANDPAR
(0,1),(1,18),-0.0648373 # DEPENDENCYPART_GRANDPAR
(0,1),(1,21),2.37703 # DEPENDENCYPART_GRANDPAR
(0,4),(4,1),0.388724 # DEPENDENCYPART_GRANDPAR
(0,4),(4,2),-0.229547 # DEPENDENCYPART_GRANDPAR
(0,4),(4,3),0.0455062 # DEPENDENCYPART_GRANDPAR
(0,4),(4,5),-0.203073 # DEPENDENCYPART_GRANDPAR
(0,4),(4,6),-0.186229 # DEPENDENCYPART_GRANDPAR
(0,4),(4,7),-0.0223433 # DEPENDENCYPART_GRANDPAR
(0,4),(4,8),-0.439914 # DEPENDENCYPART_GRANDPAR
(0,4),(4,9),-0.214217 # DEPENDENCYPART_GRANDPAR
(0,4),(4,10),0.33021 # DEPENDENCYPART_GRANDPAR
(0,4),(4,12),-0.247844 # DEPENDENCYPART_GRANDPAR
(0,4),(4,13),0.175091 # DEPENDENCYPART_GRANDPAR
(0,4),(4,16),-0.225465 # DEPENDENCYPART_GRANDPAR
(0,4),(4,17),0.0676062 # DEPENDENCYPART_GRANDPAR
(0,4),(4,18),-0.205508 # DEPENDENCYPART_GRANDPAR
(0,4),(4,19),0.280811 # DEPENDENCYPART_GRANDPAR
(0,4),(4,20),-0.353988 # DEPENDENCYPART_GRANDPAR
(0,4),(4,21),2.43225 # DEPENDENCYPART_GRANDPAR
(0,13),(13,1),0.352386 # DEPENDENCYPART_GRANDPAR
(0,13),(13,2),-0.298123 # DEPENDENCYPART_GRANDPAR
(0,13),(13,4),0.271381 # DEPENDENCYPART_GRANDPAR
(0,13),(13,6),-0.599552 # DEPENDENCYPART_GRANDPAR
(0,13),(13,7),-0.635343 # DEPENDENCYPART_GRANDPAR
(0,13),(13,9),-0.591063 # DEPENDENCYPART_GRANDPAR
(0,13),(13,10),0.406781 # DEPENDENCYPART_GRANDPAR
(0,13),(13,11),-0.77955 # DEPENDENCYPART_GRANDPAR
(0,13),(13,12),-0.628862 # DEPENDENCYPART_GRANDPAR
(0,13),(13,14),-0.223386 # DEPENDENCYPART_GRANDPAR
(0,13),(13,15),-0.401996 # DEPENDENCYPART_GRANDPAR
(0,13),(13,16),-0.200688 # DEPENDENCYPART_GRANDPAR
(0,13),(13,17),-0.0132981 # DEPENDENCYPART_GRANDPAR
(0,13),(13,18),-0.234405 # DEPENDENCYPART_GRANDPAR
(0,13),(13,19),0.224671 # DEPENDENCYPART_GRANDPAR
(0,13),(13,20),-0.410866 # DEPENDENCYPART_GRANDPAR
(0,13),(13,21),2.33417 # DEPENDENCYPART_GRANDPAR
(0,18),(18,1),0.354586 # DEPENDENCYPART_GRANDPAR
(0,18),(18,3),0.0234673 # DEPENDENCYPART_GRANDPAR
(0,18),(18,4),0.259284 # DEPENDENCYPART_GRANDPAR
(0,18),(18,6),-0.601881 # DEPENDENCYPART_GRANDPAR
(0,18),(18,7),-0.708096 # DEPENDENCYPART_GRANDPAR
(0,18),(18,9),-0.588862 # DEPENDENCYPART_GRANDPAR
(0,18),(18,10),0.373822 # DEPENDENCYPART_GRANDPAR
(0,18),(18,11),-0.823072 # DEPENDENCYPART_GRANDPAR
(0,18),(18,12),-0.626662 # DEPENDENCYPART_GRANDPAR
(0,18),(18,13),-0.0258707 # DEPENDENCYPART_GRANDPAR
(0,18),(18,14),-0.607435 # DEPENDENCYPART_GRANDPAR
(0,18),(18,15),-0.772831 # DEPENDENCYPART_GRANDPAR
(0,18),(18,16),-0.96426 # DEPENDENCYPART_GRANDPAR
(0,18),(18,17),0.111219 # DEPENDENCYPART_GRANDPAR
(0,18),(18,19),0.306113 # DEPENDENCYPART_GRANDPAR
(0,18),(18,20),-0.327326 # DEPENDENCYPART_GRANDPAR
(0,18),(18,21),2.48791 # DEPENDENCYPART_GRANDPAR
(1,3),(3,1),-0.422605 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,3),(3,4),0.668886 # DEPENDENCYPART_GRANDPAR
(1,3),(3,6),0.287166 # DEPENDENCYPART_GRANDPAR
(1,3),(3,7),0.405867 # DEPENDENCYPART_GRANDPAR
(1,4),(4,1),-0.507214 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,4),(4,2),0.937973 # DEPENDENCYPART_GRANDPAR
(1,4),(4,3),0.673536 # DEPENDENCYPART_GRANDPAR
(1,4),(4,5),0.26524 # DEPENDENCYPART_GRANDPAR
(1,4),(4,6),0.350781 # DEPENDENCYPART_GRANDPAR
(1,4),(4,7),0.327686 # DEPENDENCYPART_GRANDPAR
(1,4),(4,8),0.0935274 # DEPENDENCYPART_GRANDPAR
(1,4),(4,9),0.245829 # DEPENDENCYPART_GRANDPAR
(1,4),(4,10),0.386725 # DEPENDENCYPART_GRANDPAR
(1,4),(4,12),0.147642 # DEPENDENCYPART_GRANDPAR
(1,4),(4,13),0.355211 # DEPENDENCYPART_GRANDPAR
(1,4),(4,16),0.333834 # DEPENDENCYPART_GRANDPAR
(1,4),(4,17),0.440441 # DEPENDENCYPART_GRANDPAR
(1,4),(4,18),0.161715 # DEPENDENCYPART_GRANDPAR
(1,4),(4,19),0.391122 # DEPENDENCYPART_GRANDPAR
(1,4),(4,20),-0.0730291 # DEPENDENCYPART_GRANDPAR
(1,4),(4,21),-0.536348 # DEPENDENCYPART_GRANDPAR
(1,6),(6,1),-0.399038 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,6),(6,2),0.700239 # DEPENDENCYPART_GRANDPAR
(1,6),(6,3),0.71032 # DEPENDENCYPART_GRANDPAR
(1,6),(6,4),0.789083 # DEPENDENCYPART_GRANDPAR
(1,6),(6,5),0.546746 # DEPENDENCYPART_GRANDPAR
(1,6),(6,7),0.327005 # DEPENDENCYPART_GRANDPAR
(1,6),(6,8),0.143756 # DEPENDENCYPART_GRANDPAR
(1,6),(6,9),0.208625 # DEPENDENCYPART_GRANDPAR
(1,6),(6,10),0.432017 # DEPENDENCYPART_GRANDPAR
(1,6),(6,12),0.105932 # DEPENDENCYPART_GRANDPAR
(1,6),(6,13),0.395941 # DEPENDENCYPART_GRANDPAR
(1,6),(6,15),-0.000444548 # DEPENDENCYPART_GRANDPAR
(1,6),(6,16),0.192937 # DEPENDENCYPART_GRANDPAR
(1,6),(6,17),0.485733 # DEPENDENCYPART_GRANDPAR
(1,6),(6,18),0.256967 # DEPENDENCYPART_GRANDPAR
(1,6),(6,19),0.262214 # DEPENDENCYPART_GRANDPAR
(1,6),(6,20),-0.181887 # DEPENDENCYPART_GRANDPAR
(1,6),(6,21),-0.405607 # DEPENDENCYPART_GRANDPAR
(1,7),(7,2),0.876128 # DEPENDENCYPART_GRANDPAR
(1,7),(7,5),0.333568 # DEPENDENCYPART_GRANDPAR
(1,7),(7,6),0.166908 # DEPENDENCYPART_GRANDPAR
(1,7),(7,8),0.256384 # DEPENDENCYPART_GRANDPAR
(1,7),(7,9),0.401171 # DEPENDENCYPART_GRANDPAR
(1,7),(7,10),0.528246 # DEPENDENCYPART_GRANDPAR
(1,7),(7,12),0.295099 # DEPENDENCYPART_GRANDPAR
(1,7),(7,15),0.143347 # DEPENDENCYPART_GRANDPAR
(1,7),(7,19),0.438667 # DEPENDENCYPART_GRANDPAR
(1,9),(9,1),-0.411301 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,9),(9,3),0.698298 # DEPENDENCYPART_GRANDPAR
(1,9),(9,4),0.785951 # DEPENDENCYPART_GRANDPAR
(1,9),(9,5),0.571991 # DEPENDENCYPART_GRANDPAR
(1,9),(9,6),0.278556 # DEPENDENCYPART_GRANDPAR
(1,9),(9,7),0.51032 # DEPENDENCYPART_GRANDPAR
(1,9),(9,8),0.400279 # DEPENDENCYPART_GRANDPAR
(1,9),(9,10),0.429685 # DEPENDENCYPART_GRANDPAR
(1,9),(9,11),0.180614 # DEPENDENCYPART_GRANDPAR
(1,9),(9,12),0.119161 # DEPENDENCYPART_GRANDPAR
(1,9),(9,13),0.3984 # DEPENDENCYPART_GRANDPAR
(1,9),(9,14),0.441389 # DEPENDENCYPART_GRANDPAR
(1,9),(9,15),0.0127838 # DEPENDENCYPART_GRANDPAR
(1,9),(9,16),0.190004 # DEPENDENCYPART_GRANDPAR
(1,9),(9,17),0.483401 # DEPENDENCYPART_GRANDPAR
(1,9),(9,18),0.258811 # DEPENDENCYPART_GRANDPAR
(1,9),(9,19),0.26243 # DEPENDENCYPART_GRANDPAR
(1,9),(9,20),-0.175504 # DEPENDENCYPART_GRANDPAR
(1,9),(9,21),-0.408082 # DEPENDENCYPART_GRANDPAR
(1,12),(12,8),0.394343 # DEPENDENCYPART_GRANDPAR
(1,12),(12,9),0.188724 # DEPENDENCYPART_GRANDPAR
(1,12),(12,10),0.411313 # DEPENDENCYPART_GRANDPAR
(1,12),(12,11),0.475868 # DEPENDENCYPART_GRANDPAR
(1,12),(12,13),0.399017 # DEPENDENCYPART_GRANDPAR
(1,12),(12,14),0.441392 # DEPENDENCYPART_GRANDPAR
(1,12),(12,15),0.0133555 # DEPENDENCYPART_GRANDPAR
(1,12),(12,16),0.189404 # DEPENDENCYPART_GRANDPAR
(1,12),(12,17),0.483404 # DEPENDENCYPART_GRANDPAR
(1,12),(12,18),0.259428 # DEPENDENCYPART_GRANDPAR
(1,12),(12,19),0.262433 # DEPENDENCYPART_GRANDPAR
(1,12),(12,20),-0.175501 # DEPENDENCYPART_GRANDPAR
(1,12),(12,21),-0.408076 # DEPENDENCYPART_GRANDPAR
(1,13),(13,1),-0.524964 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,13),(13,2),0.888266 # DEPENDENCYPART_GRANDPAR
(1,13),(13,4),0.674835 # DEPENDENCYPART_GRANDPAR
(1,13),(13,6),0.167369 # DEPENDENCYPART_GRANDPAR
(1,13),(13,7),0.363382 # DEPENDENCYPART_GRANDPAR
(1,13),(13,9),0.0745091 # DEPENDENCYPART_GRANDPAR
(1,13),(13,10),0.257541 # DEPENDENCYPART_GRANDPAR
(1,13),(13,11),0.172452 # DEPENDENCYPART_GRANDPAR
(1,13),(13,12),-0.0240089 # DEPENDENCYPART_GRANDPAR
(1,13),(13,14),0.497476 # DEPENDENCYPART_GRANDPAR
(1,13),(13,15),0.0609205 # DEPENDENCYPART_GRANDPAR
(1,13),(13,16),0.444215 # DEPENDENCYPART_GRANDPAR
(1,13),(13,17),0.450923 # DEPENDENCYPART_GRANDPAR
(1,13),(13,18),0.201382 # DEPENDENCYPART_GRANDPAR
(1,13),(13,19),0.426255 # DEPENDENCYPART_GRANDPAR
(1,13),(13,20),-0.0456679 # DEPENDENCYPART_GRANDPAR
(1,13),(13,21),-0.533267 # DEPENDENCYPART_GRANDPAR
(1,15),(15,8),0.385495 # DEPENDENCYPART_GRANDPAR
(1,15),(15,10),0.376082 # DEPENDENCYPART_GRANDPAR
(1,15),(15,11),0.46702 # DEPENDENCYPART_GRANDPAR
(1,15),(15,12),0.0389934 # DEPENDENCYPART_GRANDPAR
(1,15),(15,13),0.534728 # DEPENDENCYPART_GRANDPAR
(1,15),(15,14),0.332309 # DEPENDENCYPART_GRANDPAR
(1,15),(15,16),0.187462 # DEPENDENCYPART_GRANDPAR
(1,15),(15,17),0.450264 # DEPENDENCYPART_GRANDPAR
(1,15),(15,18),0.253753 # DEPENDENCYPART_GRANDPAR
(1,15),(15,19),0.257025 # DEPENDENCYPART_GRANDPAR
(1,15),(15,20),-0.184225 # DEPENDENCYPART_GRANDPAR
(1,15),(15,21),-0.415846 # DEPENDENCYPART_GRANDPAR
(1,17),(17,16),0.162222 # DEPENDENCYPART_GRANDPAR
(1,18),(18,1),-0.454324 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,18),(18,3),0.704326 # DEPENDENCYPART_GRANDPAR
(1,18),(18,4),0.698912 # DEPENDENCYPART_GRANDPAR
(1,18),(18,6),0.234853 # DEPENDENCYPART_GRANDPAR
(1,18),(18,7),0.374665 # DEPENDENCYPART_GRANDPAR
(1,18),(18,9),0.145148 # DEPENDENCYPART_GRANDPAR
(1,18),(18,10),0.260104 # DEPENDENCYPART_GRANDPAR
(1,18),(18,11),0.175666 # DEPENDENCYPART_GRANDPAR
(1,18),(18,12),0.0466303 # DEPENDENCYPART_GRANDPAR
(1,18),(18,13),0.458297 # DEPENDENCYPART_GRANDPAR
(1,18),(18,14),0.257866 # DEPENDENCYPART_GRANDPAR
(1,18),(18,15),-0.0170959 # DEPENDENCYPART_GRANDPAR
(1,18),(18,16),0.205606 # DEPENDENCYPART_GRANDPAR
(1,18),(18,17),0.31382 # DEPENDENCYPART_GRANDPAR
(1,18),(18,19),0.39694 # DEPENDENCYPART_GRANDPAR
(1,18),(18,20),0.00406448 # DEPENDENCYPART_GRANDPAR
(1,18),(18,21),-0.492509 # DEPENDENCYPART_GRANDPAR
(1,21),(21,20),-0.117982 # DEPENDENCYPART_GRANDPAR
(3,1),(1,3),-1.57162 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,1),(1,4),-0.498182 # DEPENDENCYPART_GRANDPAR
(3,1),(1,6),-0.645646 # DEPENDENCYPART_GRANDPAR
(3,1),(1,7),-0.63752 # DEPENDENCYPART_GRANDPAR
(3,1),(1,9),-0.795734 # DEPENDENCYPART_GRANDPAR
(3,1),(1,10),-0.718678 # DEPENDENCYPART_GRANDPAR
(3,1),(1,12),-0.917359 # DEPENDENCYPART_GRANDPAR
(3,1),(1,13),-0.838999 # DEPENDENCYPART_GRANDPAR
(3,1),(1,15),-0.94512 # DEPENDENCYPART_GRANDPAR
(3,1),(1,17),-0.831287 # DEPENDENCYPART_GRANDPAR
(3,1),(1,18),-0.791417 # DEPENDENCYPART_GRANDPAR
(3,1),(1,21),-1.17713 # DEPENDENCYPART_GRANDPAR
(3,4),(4,1),-0.800489 # DEPENDENCYPART_GRANDPAR
(3,4),(4,2),-0.421673 # DEPENDENCYPART_GRANDPAR
(3,4),(4,3),-1.13191 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,4),(4,5),-0.2052 # DEPENDENCYPART_GRANDPAR
(3,4),(4,6),-0.259225 # DEPENDENCYPART_GRANDPAR
(3,4),(4,7),-0.377784 # DEPENDENCYPART_GRANDPAR
(3,4),(4,8),-0.33723 # DEPENDENCYPART_GRANDPAR
(3,4),(4,9),-0.418823 # DEPENDENCYPART_GRANDPAR
(3,4),(4,10),-0.17388 # DEPENDENCYPART_GRANDPAR
(3,4),(4,12),-0.536798 # DEPENDENCYPART_GRANDPAR
(3,4),(4,13),-0.440396 # DEPENDENCYPART_GRANDPAR
(3,4),(4,16),-0.518094 # DEPENDENCYPART_GRANDPAR
(3,4),(4,17),-0.286488 # DEPENDENCYPART_GRANDPAR
(3,4),(4,18),-0.427337 # DEPENDENCYPART_GRANDPAR
(3,4),(4,19),-0.172193 # DEPENDENCYPART_GRANDPAR
(3,4),(4,20),-0.794588 # DEPENDENCYPART_GRANDPAR
(3,4),(4,21),-0.769315 # DEPENDENCYPART_GRANDPAR
(3,6),(6,1),-0.703439 # DEPENDENCYPART_GRANDPAR
(3,6),(6,2),-0.512497 # DEPENDENCYPART_GRANDPAR
(3,6),(6,3),-1.17471 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,6),(6,4),0.0175841 # DEPENDENCYPART_GRANDPAR
(3,6),(6,5),-0.0311159 # DEPENDENCYPART_GRANDPAR
(3,6),(6,7),-0.300787 # DEPENDENCYPART_GRANDPAR
(3,6),(6,8),-0.250439 # DEPENDENCYPART_GRANDPAR
(3,6),(6,9),-0.36964 # DEPENDENCYPART_GRANDPAR
(3,6),(6,10),-0.0959811 # DEPENDENCYPART_GRANDPAR
(3,6),(6,12),-0.491223 # DEPENDENCYPART_GRANDPAR
(3,6),(6,13),-0.329514 # DEPENDENCYPART_GRANDPAR
(3,6),(6,15),-0.526828 # DEPENDENCYPART_GRANDPAR
(3,6),(6,16),-0.534229 # DEPENDENCYPART_GRANDPAR
(3,6),(6,17),-0.208589 # DEPENDENCYPART_GRANDPAR
(3,6),(6,18),-0.268701 # DEPENDENCYPART_GRANDPAR
(3,6),(6,19),-0.152874 # DEPENDENCYPART_GRANDPAR
(3,6),(6,20),-0.756794 # DEPENDENCYPART_GRANDPAR
(3,6),(6,21),-0.661539 # DEPENDENCYPART_GRANDPAR
(3,7),(7,2),-0.463881 # DEPENDENCYPART_GRANDPAR
