# _root_ `` The way the world is shaping up , the strategic buyer is going to be the rule and the financial buyer is going to be the exception , '' said one trader .
#goldHeads=31,3,19,5,6,3,6,7,19,12,12,13,19,13,16,14,18,16,31,22,22,23,19,23,26,24,28,26,31,31,0,33,31,31,
#predictedHeads=31,3,13,5,6,3,6,7,13,12,12,13,19,13,16,14,18,16,31,22,22,23,19,23,26,24,28,26,31,31,0,33,31,31,
(11,3),(3,6),(3,9),0.118645 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,6),(3,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,6),(3,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,6),(3,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,6),(3,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,6),(3,35),-0.140659 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,3),(3,7),(3,9),0.118754 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,7),(3,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,7),(3,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,7),(3,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,7),(3,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,7),(3,35),-0.139871 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,3),(3,9),(3,12),-0.125994 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,9),(3,13),-0.124893 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,9),(3,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,9),(3,34),-0.125117 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,9),(3,35),-0.130106 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,3),(3,12),(3,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,12),(3,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,12),(3,34),-0.124966 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,12),(3,35),-0.154403 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,3),(3,13),(3,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,13),(3,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,13),(3,35),-0.140659 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,3),(3,19),(3,34),0.057944 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,19),(3,35),-0.13175 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,3),(3,34),(3,35),-0.125244 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,3),(3,3),(3,2),-0.0317579 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,3),(3,3),(3,1),-0.04272 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,3),(3,3),(3,-1),-0.0817373 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,3),(3,2),(3,1),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(11,3),(3,2),(3,-1),-0.0170715 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,3),(3,1),(3,-1),-0.0496391 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,10),(10,11),-0.124885 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,10),(10,10),(10,14),-0.125283 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,35),-0.0548579 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,10),(10,11),(10,14),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,11),(10,35),-0.125291 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,10),(10,14),(10,35),-0.12666 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,10),(10,9),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,-1),0.0232838 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,10),(10,9),(10,-1),-0.0419988 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,14),(14,15),-0.0893434 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,16),-0.067861 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,18),-0.0244178 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,19),-0.0791441 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,22),-0.0244178 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,23),-0.0685768 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,24),-0.0658744 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,26),-0.067861 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,28),-0.0244178 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,29),-0.036856 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,30),-0.0295222 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,31),-0.0715079 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,34),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,35),0.120283 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,14),(14,15),(14,16),-0.0434724 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,18),-0.0486338 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,19),-0.0425303 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,22),-0.0486338 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,23),-0.0436175 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,24),-0.0434724 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,26),-0.0434724 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,28),-0.0486338 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,29),-0.0478007 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,31),-0.0434724 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,34),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,35),-0.070908 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,16),(14,18),-0.0428432 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,16),(14,19),-0.042203 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,16),(14,22),-0.0428432 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,16),(14,23),-0.042514 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,16),(14,24),-0.042514 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,16),(14,26),-0.042514 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,16),(14,28),-0.0428432 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,16),(14,29),-0.0430305 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,16),(14,30),-0.0360336 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,16),(14,31),-0.042514 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,16),(14,34),-0.0435475 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,16),(14,35),-0.0274919 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,18),(14,19),-0.0252348 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,18),(14,22),-0.0513131 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,18),(14,23),-0.0504009 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,18),(14,24),-0.0501653 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,18),(14,26),-0.0501653 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,18),(14,28),-0.0513131 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,18),(14,29),-0.0164683 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,18),(14,30),-0.0454309 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,18),(14,31),-0.0501653 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,18),(14,34),-0.0437079 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,18),(14,35),-0.096009 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,19),(14,22),-0.102011 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,19),(14,23),0.124839 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,19),(14,24),0.152814 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,19),(14,26),0.116867 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,19),(14,28),-0.00987928 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,19),(14,29),0.0172569 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,19),(14,30),0.140921 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,19),(14,31),0.178469 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,19),(14,34),0.14083 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,19),(14,35),-0.0662827 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,22),(14,23),-0.0504009 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,22),(14,24),-0.0501653 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,22),(14,26),-0.0501653 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,22),(14,28),-0.0513131 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,22),(14,29),-0.0164683 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,22),(14,30),-0.0454309 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,22),(14,31),-0.0501653 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,22),(14,34),-0.0437079 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,22),(14,35),-0.096009 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,23),(14,24),-0.042514 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,23),(14,26),-0.042514 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,23),(14,28),-0.0429056 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,23),(14,29),-0.0430305 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,23),(14,30),-0.0360336 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,23),(14,31),-0.042514 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,23),(14,34),-0.0435475 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,23),(14,35),-0.0288287 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,24),(14,26),-0.042514 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,24),(14,28),-0.0428432 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,24),(14,29),-0.0430305 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,24),(14,30),-0.0360336 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,24),(14,31),-0.042514 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,24),(14,34),-0.0435475 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,24),(14,35),-0.0256624 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,26),(14,28),-0.0428432 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,26),(14,29),-0.0430305 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,26),(14,30),-0.0360336 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,26),(14,31),-0.042514 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,26),(14,34),-0.0435475 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,26),(14,35),-0.0274919 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,28),(14,29),-0.0164683 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,28),(14,30),-0.0454309 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,28),(14,31),-0.0501653 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,28),(14,34),-0.0437079 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,28),(14,35),-0.096009 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,29),(14,30),-0.0392741 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,29),(14,31),-0.0478317 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,29),(14,34),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,29),(14,35),-0.0541073 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,30),(14,31),-0.0330182 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,30),(14,34),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,30),(14,35),-0.0438936 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,31),(14,34),-0.0435475 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,31),(14,35),-0.0311302 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,34),(14,35),-0.0456856 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,14),(14,12),0.13537 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,-1),-0.224809 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,14),(14,12),(14,-1),-0.118569 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,7),(7,8),0.122827 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,9),0.139975 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,10),0.109251 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,11),0.0475169 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,12),-0.175297 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,7),(7,7),(7,13),-0.170753 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,14),-0.169968 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,16),-0.170142 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,19),-0.162739 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,23),-0.170753 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,24),-0.169968 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,29),-0.12509 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,30),-0.124933 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,34),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,35),0.0436875 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,7),(7,8),(7,9),0.119164 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,8),(7,10),0.119164 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,8),(7,11),0.118367 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,8),(7,12),-0.124891 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,8),(7,13),-0.124888 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,8),(7,14),-0.124888 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,8),(7,16),-0.124888 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,8),(7,19),-0.124999 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,8),(7,23),-0.124888 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,8),(7,24),-0.124888 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,8),(7,29),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,8),(7,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,8),(7,34),-0.124896 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,8),(7,35),-0.115114 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,9),(7,10),0.118119 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,9),(7,11),0.114429 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,9),(7,12),-0.125259 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,9),(7,13),-0.127247 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,9),(7,14),-0.127089 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,9),(7,16),-0.127581 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,9),(7,19),-0.124954 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,9),(7,23),-0.127247 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,9),(7,24),-0.127089 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,9),(7,29),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,9),(7,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,9),(7,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,9),(7,35),-0.188097 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,10),(7,11),0.119144 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,10),(7,12),-0.124886 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,10),(7,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,10),(7,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,10),(7,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,10),(7,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,10),(7,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,10),(7,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,10),(7,29),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,10),(7,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,10),(7,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,10),(7,35),-0.134194 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,11),(7,12),-0.124907 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,11),(7,13),-0.125064 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,11),(7,14),-0.125064 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,11),(7,16),-0.125064 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,11),(7,19),-0.124908 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,11),(7,23),-0.125064 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,11),(7,24),-0.125064 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,11),(7,29),-0.12494 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,11),(7,30),-0.125016 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,11),(7,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,11),(7,35),-0.203628 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,12),(7,13),-0.125221 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,12),(7,14),-0.125221 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,12),(7,16),-0.125221 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,12),(7,19),-0.125032 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,12),(7,23),-0.125221 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,12),(7,24),-0.125221 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,12),(7,29),-0.125057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,12),(7,30),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,12),(7,34),-0.124886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,12),(7,35),-0.0309353 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,7),(7,13),(7,14),-0.124903 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,13),(7,16),-0.124903 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,13),(7,19),-0.124982 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,13),(7,23),-0.124903 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,13),(7,24),-0.124903 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,13),(7,29),-0.124926 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,13),(7,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,13),(7,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,13),(7,35),-0.148537 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,14),(7,16),-0.124903 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,14),(7,19),-0.124982 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,14),(7,23),-0.124903 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,14),(7,24),-0.124903 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,14),(7,29),-0.124926 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,14),(7,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,14),(7,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,14),(7,35),-0.146228 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,16),(7,19),-0.124982 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,16),(7,23),-0.124903 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,16),(7,24),-0.124903 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,16),(7,29),-0.124926 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,16),(7,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,16),(7,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,16),(7,35),-0.141952 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,19),(7,23),-0.119605 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,19),(7,24),-0.0232886 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,19),(7,29),-0.123123 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,19),(7,30),-0.144629 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,19),(7,34),-0.028669 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,19),(7,35),-0.129461 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,23),(7,24),-0.124903 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,23),(7,29),-0.124926 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,23),(7,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,23),(7,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,23),(7,35),-0.148537 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,24),(7,29),-0.124926 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,24),(7,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,24),(7,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,24),(7,35),-0.146228 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,29),(7,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,29),(7,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,29),(7,35),-0.188097 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,30),(7,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,30),(7,35),-0.158506 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,34),(7,35),-0.127823 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,7),(7,6),-0.0363035 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,5),-0.0258963 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,3),-0.0253689 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,-1),0.0658668 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,7),(7,6),(7,5),-0.0475317 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,6),(7,3),-0.0475317 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,6),(7,-1),-0.0861044 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,5),(7,3),-0.034133 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,5),(7,-1),-0.0529284 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,3),(7,-1),-0.0497546 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,9),(9,35),-0.0865276 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,9),(9,9),(9,-1),-0.00165765 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,10),(10,10),(10,11),0.103012 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,14),-0.126126 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,35),0.146858 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,10),(10,11),(10,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,11),(10,35),-0.140235 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,14),(10,35),-0.116516 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,10),(10,9),-0.0438799 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,-1),0.210981 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,10),(10,9),(10,-1),-0.0299675 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,11),(11,11),(11,14),-0.135911 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,11),(11,35),0.00791516 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,11),(11,14),(11,35),-0.144922 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,11),(11,11),(11,10),-0.0630561 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,11),(11,3),-0.0446195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,11),(11,-1),0.036009 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,11),(11,10),(11,3),-0.0420636 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,10),(11,-1),-0.107774 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,11),(11,3),(11,-1),0.00211261 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,13),(13,13),(13,14),-0.0204454 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
