# _root_ `` It 's pure psychology , '' said William Au Yeung , an account executive for Drexel Burnham Lambert ( HK ) Ltd. in Hong Kong .
#goldHeads=8,3,8,5,3,8,8,0,11,11,8,11,15,15,11,15,19,19,16,21,19,21,19,19,26,24,8,
#predictedHeads=8,3,8,5,3,8,8,0,11,11,8,11,15,15,11,15,19,19,16,21,19,21,19,19,26,24,8,
(5,12),(5,16),0.201373 # DEPENDENCYPART_SIBL
(5,12),(5,19),0.661271 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.0882564 # DEPENDENCYPART_SIBL
(5,15),(5,19),-0.0731747 # DEPENDENCYPART_SIBL
(5,16),(5,19),0.0415035 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.143341 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0725752 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.378037 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0657454 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.139016 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0313855 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.00890356 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.0314527 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.00518318 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.00513608 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.0456389 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.0743268 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.312413 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.00929022 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.00557601 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.00557601 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.132649 # DEPENDENCYPART_SIBL
(8,1),(8,15),0.169417 # DEPENDENCYPART_SIBL
(8,1),(8,16),-0.0454877 # DEPENDENCYPART_SIBL
(8,1),(8,19),-0.00559094 # DEPENDENCYPART_SIBL
(8,1),(8,20),-0.0394381 # DEPENDENCYPART_SIBL
(8,1),(8,22),0.00922068 # DEPENDENCYPART_SIBL
(8,1),(8,23),-0.00586283 # DEPENDENCYPART_SIBL
(8,1),(8,24),0.0875128 # DEPENDENCYPART_SIBL
(8,1),(8,26),-0.00688912 # DEPENDENCYPART_SIBL
(8,1),(8,27),0.415924 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.134652 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.0035554 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.130823 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.0478413 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.0675517 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.0900767 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.0900424 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.0900424 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.0163318 # DEPENDENCYPART_SIBL
(8,2),(8,15),0.0832114 # DEPENDENCYPART_SIBL
(8,2),(8,16),0.0956657 # DEPENDENCYPART_SIBL
(8,2),(8,19),-0.0900564 # DEPENDENCYPART_SIBL
(8,2),(8,20),0.0169121 # DEPENDENCYPART_SIBL
(8,2),(8,22),-0.00613378 # DEPENDENCYPART_SIBL
(8,2),(8,23),-0.090364 # DEPENDENCYPART_SIBL
(8,2),(8,24),-0.0155993 # DEPENDENCYPART_SIBL
(8,2),(8,26),-0.0894988 # DEPENDENCYPART_SIBL
(8,2),(8,27),-0.00798525 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.100085 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.0367991 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.255747 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.117668 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.0548424 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.0548907 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.0548907 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.00102901 # DEPENDENCYPART_SIBL
(8,3),(8,15),0.0809845 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.0878747 # DEPENDENCYPART_SIBL
(8,3),(8,19),0.0548762 # DEPENDENCYPART_SIBL
(8,3),(8,20),-0.0270388 # DEPENDENCYPART_SIBL
(8,3),(8,22),-0.0455001 # DEPENDENCYPART_SIBL
(8,3),(8,23),0.0538475 # DEPENDENCYPART_SIBL
(8,3),(8,24),0.0361583 # DEPENDENCYPART_SIBL
(8,3),(8,26),0.053825 # DEPENDENCYPART_SIBL
(8,3),(8,27),0.0570859 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.0880467 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.00891539 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.18857 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.105488 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.104901 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.104901 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.0581484 # DEPENDENCYPART_SIBL
(8,4),(8,15),0.0436017 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.125184 # DEPENDENCYPART_SIBL
(8,4),(8,19),-0.104919 # DEPENDENCYPART_SIBL
(8,4),(8,20),-0.00287923 # DEPENDENCYPART_SIBL
(8,4),(8,22),-0.0543141 # DEPENDENCYPART_SIBL
(8,4),(8,23),-0.0986713 # DEPENDENCYPART_SIBL
(8,4),(8,24),-0.0649339 # DEPENDENCYPART_SIBL
(8,4),(8,26),-0.110466 # DEPENDENCYPART_SIBL
(8,4),(8,27),-0.0203286 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.236392 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.348253 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.158529 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.158445 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.158445 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.0772913 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.0391029 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.0773939 # DEPENDENCYPART_SIBL
(8,5),(8,19),-0.158556 # DEPENDENCYPART_SIBL
(8,5),(8,20),-0.0343712 # DEPENDENCYPART_SIBL
(8,5),(8,22),-0.0201744 # DEPENDENCYPART_SIBL
(8,5),(8,23),-0.152453 # DEPENDENCYPART_SIBL
(8,5),(8,24),-0.0309578 # DEPENDENCYPART_SIBL
(8,5),(8,26),-0.164473 # DEPENDENCYPART_SIBL
(8,5),(8,27),0.0432135 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.568542 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.00409573 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.0079332 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.0079332 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.0972144 # DEPENDENCYPART_SIBL
(8,6),(8,15),0.0669229 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.166607 # DEPENDENCYPART_SIBL
(8,6),(8,19),0.00771561 # DEPENDENCYPART_SIBL
(8,6),(8,20),0.0196643 # DEPENDENCYPART_SIBL
(8,6),(8,22),-0.0395516 # DEPENDENCYPART_SIBL
(8,6),(8,23),0.000795883 # DEPENDENCYPART_SIBL
(8,6),(8,24),-0.0239132 # DEPENDENCYPART_SIBL
(8,6),(8,26),0.00767468 # DEPENDENCYPART_SIBL
(8,6),(8,27),0.01006 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0220907 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0183778 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.0183778 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.180908 # DEPENDENCYPART_SIBL
(8,7),(8,15),0.144588 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.0557948 # DEPENDENCYPART_SIBL
(8,7),(8,19),-0.0183918 # DEPENDENCYPART_SIBL
(8,7),(8,20),0.00450832 # DEPENDENCYPART_SIBL
(8,7),(8,22),-0.000504919 # DEPENDENCYPART_SIBL
(8,7),(8,23),-0.0200358 # DEPENDENCYPART_SIBL
(8,7),(8,24),0.164091 # DEPENDENCYPART_SIBL
(8,7),(8,26),-0.0191992 # DEPENDENCYPART_SIBL
(8,7),(8,27),0.163678 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.279572 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.279572 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.0270817 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.17669 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.0198277 # DEPENDENCYPART_SIBL
(8,9),(8,19),-0.276328 # DEPENDENCYPART_SIBL
(8,9),(8,20),-0.095923 # DEPENDENCYPART_SIBL
(8,9),(8,22),-0.0555232 # DEPENDENCYPART_SIBL
(8,9),(8,23),-0.281337 # DEPENDENCYPART_SIBL
(8,9),(8,24),-0.00642842 # DEPENDENCYPART_SIBL
(8,9),(8,26),-0.290476 # DEPENDENCYPART_SIBL
(8,9),(8,27),-0.0717653 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.279194 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0325808 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.175359 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.019668 # DEPENDENCYPART_SIBL
(8,10),(8,19),-0.27595 # DEPENDENCYPART_SIBL
(8,10),(8,20),-0.095902 # DEPENDENCYPART_SIBL
(8,10),(8,22),-0.0554793 # DEPENDENCYPART_SIBL
(8,10),(8,23),-0.280959 # DEPENDENCYPART_SIBL
(8,10),(8,24),-0.00627605 # DEPENDENCYPART_SIBL
(8,10),(8,26),-0.290098 # DEPENDENCYPART_SIBL
(8,10),(8,27),-0.0680305 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.0325808 # DEPENDENCYPART_SIBL
(8,11),(8,15),-0.175359 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.019668 # DEPENDENCYPART_SIBL
(8,11),(8,19),-0.27595 # DEPENDENCYPART_SIBL
(8,11),(8,20),-0.095902 # DEPENDENCYPART_SIBL
(8,11),(8,22),-0.0554793 # DEPENDENCYPART_SIBL
(8,11),(8,23),-0.280959 # DEPENDENCYPART_SIBL
(8,11),(8,24),-0.00627605 # DEPENDENCYPART_SIBL
(8,11),(8,26),-0.290098 # DEPENDENCYPART_SIBL
(8,11),(8,27),-0.0680305 # DEPENDENCYPART_SIBL
(8,12),(8,15),0.132501 # DEPENDENCYPART_SIBL
(8,12),(8,16),-0.0361513 # DEPENDENCYPART_SIBL
(8,12),(8,19),-0.026692 # DEPENDENCYPART_SIBL
(8,12),(8,20),0.0620747 # DEPENDENCYPART_SIBL
(8,12),(8,22),-0.0583621 # DEPENDENCYPART_SIBL
(8,12),(8,23),-0.143366 # DEPENDENCYPART_SIBL
(8,12),(8,24),-0.0619268 # DEPENDENCYPART_SIBL
(8,12),(8,26),-0.0412699 # DEPENDENCYPART_SIBL
(8,12),(8,27),-0.220475 # DEPENDENCYPART_SIBL
(8,15),(8,16),-0.029825 # DEPENDENCYPART_SIBL
(8,15),(8,19),-0.165715 # DEPENDENCYPART_SIBL
(8,15),(8,20),-0.0623393 # DEPENDENCYPART_SIBL
(8,15),(8,22),-0.0506216 # DEPENDENCYPART_SIBL
(8,15),(8,23),-0.169116 # DEPENDENCYPART_SIBL
(8,15),(8,24),-0.091624 # DEPENDENCYPART_SIBL
(8,15),(8,26),-0.171667 # DEPENDENCYPART_SIBL
(8,15),(8,27),-0.136405 # DEPENDENCYPART_SIBL
(8,16),(8,19),-0.138742 # DEPENDENCYPART_SIBL
(8,16),(8,20),0.0226646 # DEPENDENCYPART_SIBL
(8,16),(8,22),-0.0144508 # DEPENDENCYPART_SIBL
(8,16),(8,23),-0.151424 # DEPENDENCYPART_SIBL
(8,16),(8,24),0.14614 # DEPENDENCYPART_SIBL
(8,16),(8,26),-0.150688 # DEPENDENCYPART_SIBL
(8,16),(8,27),-0.126603 # DEPENDENCYPART_SIBL
(8,19),(8,20),-0.0959423 # DEPENDENCYPART_SIBL
(8,19),(8,22),-0.0555197 # DEPENDENCYPART_SIBL
(8,19),(8,23),-0.281178 # DEPENDENCYPART_SIBL
(8,19),(8,24),0.00116557 # DEPENDENCYPART_SIBL
(8,19),(8,26),-0.290317 # DEPENDENCYPART_SIBL
(8,19),(8,27),-0.0686947 # DEPENDENCYPART_SIBL
(8,20),(8,22),0.117865 # DEPENDENCYPART_SIBL
(8,20),(8,23),-0.116387 # DEPENDENCYPART_SIBL
(8,20),(8,24),-0.0470022 # DEPENDENCYPART_SIBL
(8,20),(8,26),-0.114794 # DEPENDENCYPART_SIBL
(8,20),(8,27),-0.0514821 # DEPENDENCYPART_SIBL
(8,22),(8,23),-0.2282 # DEPENDENCYPART_SIBL
(8,22),(8,24),-0.170755 # DEPENDENCYPART_SIBL
(8,22),(8,26),-0.228987 # DEPENDENCYPART_SIBL
(8,22),(8,27),-0.26622 # DEPENDENCYPART_SIBL
(8,23),(8,24),0.00737335 # DEPENDENCYPART_SIBL
(8,23),(8,26),-0.288813 # DEPENDENCYPART_SIBL
(8,23),(8,27),-0.0823023 # DEPENDENCYPART_SIBL
(8,24),(8,26),0.0746671 # DEPENDENCYPART_SIBL
(8,24),(8,27),0.00363171 # DEPENDENCYPART_SIBL
(8,26),(8,27),-0.0831673 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.0634467 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.00399828 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.0539527 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.00399828 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.0539527 # DEPENDENCYPART_SIBL
(9,12),(9,15),0.718874 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.190324 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.127996 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.00712062 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0383486 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.00389586 # DEPENDENCYPART_SIBL
(10,5),(10,15),0.0150058 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.044992 # DEPENDENCYPART_SIBL
(10,5),(10,19),-0.0142696 # DEPENDENCYPART_SIBL
(10,5),(10,24),0.00215896 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.0435659 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.0250598 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0365458 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.00987781 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.00387403 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.0358429 # DEPENDENCYPART_SIBL
(10,7),(10,19),-0.0321257 # DEPENDENCYPART_SIBL
(10,7),(10,24),0.0589126 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.0770674 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.189819 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.0872234 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.114422 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.0544837 # DEPENDENCYPART_SIBL
(10,9),(10,19),0.0700772 # DEPENDENCYPART_SIBL
(10,9),(10,24),0.120616 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.00642347 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.0739776 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.0629695 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.0509312 # DEPENDENCYPART_SIBL
(10,11),(10,19),-0.0396187 # DEPENDENCYPART_SIBL
(10,11),(10,24),-0.0292627 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.633939 # DEPENDENCYPART_SIBL
(10,12),(10,15),0.692781 # DEPENDENCYPART_SIBL
(10,12),(10,16),0.106031 # DEPENDENCYPART_SIBL
(10,12),(10,19),0.735419 # DEPENDENCYPART_SIBL
(10,12),(10,24),0.226792 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.303829 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.0318536 # DEPENDENCYPART_SIBL
(10,14),(10,19),-0.0155611 # DEPENDENCYPART_SIBL
(10,14),(10,24),0.00586181 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.0234587 # DEPENDENCYPART_SIBL
(10,15),(10,19),-0.0139815 # DEPENDENCYPART_SIBL
(10,15),(10,24),-0.00489329 # DEPENDENCYPART_SIBL
(10,16),(10,19),0.145496 # DEPENDENCYPART_SIBL
(10,16),(10,24),0.372599 # DEPENDENCYPART_SIBL
(10,19),(10,24),-0.0213118 # DEPENDENCYPART_SIBL
(11,1),(11,3),0.156222 # DEPENDENCYPART_SIBL
(11,1),(11,4),0.19194 # DEPENDENCYPART_SIBL
(11,1),(11,5),0.297341 # DEPENDENCYPART_SIBL
(11,1),(11,6),0.0938178 # DEPENDENCYPART_SIBL
(11,1),(11,7),0.902488 # DEPENDENCYPART_SIBL
(11,1),(11,8),0.0831214 # DEPENDENCYPART_SIBL
(11,1),(11,9),0.0674072 # DEPENDENCYPART_SIBL
(11,1),(11,10),0.0962678 # DEPENDENCYPART_SIBL
(11,1),(11,12),0.115559 # DEPENDENCYPART_SIBL
(11,1),(11,13),0.0831897 # DEPENDENCYPART_SIBL
(11,1),(11,14),0.235424 # DEPENDENCYPART_SIBL
(11,1),(11,15),0.245806 # DEPENDENCYPART_SIBL
(11,1),(11,16),0.0929104 # DEPENDENCYPART_SIBL
(11,1),(11,18),0.196326 # DEPENDENCYPART_SIBL
(11,1),(11,19),0.189989 # DEPENDENCYPART_SIBL
(11,1),(11,20),0.021699 # DEPENDENCYPART_SIBL
(11,1),(11,21),0.197055 # DEPENDENCYPART_SIBL
(11,1),(11,22),0.208518 # DEPENDENCYPART_SIBL
(11,1),(11,23),0.316022 # DEPENDENCYPART_SIBL
(11,1),(11,24),0.193878 # DEPENDENCYPART_SIBL
(11,1),(11,26),0.205434 # DEPENDENCYPART_SIBL
(11,3),(11,4),0.123135 # DEPENDENCYPART_SIBL
(11,3),(11,5),0.208935 # DEPENDENCYPART_SIBL
(11,3),(11,6),0.254271 # DEPENDENCYPART_SIBL
(11,3),(11,7),0.282189 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.0735664 # DEPENDENCYPART_SIBL
(11,3),(11,9),0.0329491 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.0454118 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.0912132 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.0476886 # DEPENDENCYPART_SIBL
(11,3),(11,14),-0.06737 # DEPENDENCYPART_SIBL
(11,3),(11,15),-0.0485507 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.0174846 # DEPENDENCYPART_SIBL
(11,3),(11,18),0.00510867 # DEPENDENCYPART_SIBL
(11,3),(11,19),-0.0016349 # DEPENDENCYPART_SIBL
(11,3),(11,20),-0.0871789 # DEPENDENCYPART_SIBL
(11,3),(11,21),0.00543154 # DEPENDENCYPART_SIBL
(11,3),(11,22),-0.0410369 # DEPENDENCYPART_SIBL
(11,3),(11,23),0.122995 # DEPENDENCYPART_SIBL
(11,3),(11,24),0.0148778 # DEPENDENCYPART_SIBL
(11,3),(11,26),0.0140572 # DEPENDENCYPART_SIBL
(11,4),(11,5),0.31892 # DEPENDENCYPART_SIBL
(11,4),(11,6),0.248296 # DEPENDENCYPART_SIBL
(11,4),(11,7),0.181334 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.0330156 # DEPENDENCYPART_SIBL
(11,4),(11,9),0.157114 # DEPENDENCYPART_SIBL
(11,4),(11,10),0.176127 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.0069818 # DEPENDENCYPART_SIBL
(11,4),(11,13),0.0566929 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.0407213 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.0299967 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.0379258 # DEPENDENCYPART_SIBL
(11,4),(11,18),0.0241456 # DEPENDENCYPART_SIBL
(11,4),(11,19),0.0131621 # DEPENDENCYPART_SIBL
(11,4),(11,20),-0.0339215 # DEPENDENCYPART_SIBL
(11,4),(11,21),0.0202312 # DEPENDENCYPART_SIBL
(11,4),(11,22),-0.0363385 # DEPENDENCYPART_SIBL
(11,4),(11,23),0.147501 # DEPENDENCYPART_SIBL
(11,4),(11,24),-0.00192828 # DEPENDENCYPART_SIBL
(11,4),(11,26),0.0216355 # DEPENDENCYPART_SIBL
(11,5),(11,6),0.0899819 # DEPENDENCYPART_SIBL
(11,5),(11,7),0.190324 # DEPENDENCYPART_SIBL
(11,5),(11,8),0.0643982 # DEPENDENCYPART_SIBL
(11,5),(11,9),0.127996 # DEPENDENCYPART_SIBL
(11,5),(11,10),0.144657 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.0383486 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.0522314 # DEPENDENCYPART_SIBL
(11,5),(11,14),-0.00389586 # DEPENDENCYPART_SIBL
(11,5),(11,15),0.0150058 # DEPENDENCYPART_SIBL
(11,5),(11,16),-0.044992 # DEPENDENCYPART_SIBL
(11,5),(11,18),-0.00747878 # DEPENDENCYPART_SIBL
(11,5),(11,19),-0.0142696 # DEPENDENCYPART_SIBL
(11,5),(11,20),-0.0835104 # DEPENDENCYPART_SIBL
(11,5),(11,21),-0.00712062 # DEPENDENCYPART_SIBL
(11,5),(11,22),-0.0632369 # DEPENDENCYPART_SIBL
(11,5),(11,23),0.113306 # DEPENDENCYPART_SIBL
(11,5),(11,24),0.00215896 # DEPENDENCYPART_SIBL
(11,5),(11,26),-0.00228881 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.323198 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.0827852 # DEPENDENCYPART_SIBL
(11,6),(11,9),0.0480994 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.048802 # DEPENDENCYPART_SIBL
(11,6),(11,12),0.00138496 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.0522015 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.150552 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.12577 # DEPENDENCYPART_SIBL
(11,6),(11,16),-0.0504385 # DEPENDENCYPART_SIBL
(11,6),(11,18),-0.117048 # DEPENDENCYPART_SIBL
(11,6),(11,19),-0.12624 # DEPENDENCYPART_SIBL
(11,6),(11,20),-0.102828 # DEPENDENCYPART_SIBL
(11,6),(11,21),-0.118971 # DEPENDENCYPART_SIBL
(11,6),(11,22),-0.0093366 # DEPENDENCYPART_SIBL
(11,6),(11,23),-0.0134781 # DEPENDENCYPART_SIBL
(11,6),(11,24),0.0622602 # DEPENDENCYPART_SIBL
(11,6),(11,26),-0.109915 # DEPENDENCYPART_SIBL
(11,7),(11,8),-0.076687 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.0435659 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.0303195 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.0365458 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.0351454 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.00987781 # DEPENDENCYPART_SIBL
(11,7),(11,15),0.00387403 # DEPENDENCYPART_SIBL
(11,7),(11,16),-0.0358429 # DEPENDENCYPART_SIBL
(11,7),(11,18),-0.0254058 # DEPENDENCYPART_SIBL
(11,7),(11,19),-0.0321257 # DEPENDENCYPART_SIBL
(11,7),(11,20),-0.0710467 # DEPENDENCYPART_SIBL
(11,7),(11,21),-0.0250598 # DEPENDENCYPART_SIBL
(11,7),(11,22),0.004706 # DEPENDENCYPART_SIBL
(11,7),(11,23),0.0911665 # DEPENDENCYPART_SIBL
(11,7),(11,24),0.0589126 # DEPENDENCYPART_SIBL
(11,7),(11,26),-0.0161899 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.0650633 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.0781515 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.0302386 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.0194376 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.0196057 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.0093703 # DEPENDENCYPART_SIBL
(11,8),(11,16),-0.00735043 # DEPENDENCYPART_SIBL
(11,8),(11,18),0.0191952 # DEPENDENCYPART_SIBL
(11,8),(11,19),0.01244 # DEPENDENCYPART_SIBL
(11,8),(11,20),-0.0125344 # DEPENDENCYPART_SIBL
(11,8),(11,21),0.0195089 # DEPENDENCYPART_SIBL
(11,8),(11,22),-0.0157581 # DEPENDENCYPART_SIBL
(11,8),(11,23),0.13846 # DEPENDENCYPART_SIBL
(11,8),(11,24),0.0254956 # DEPENDENCYPART_SIBL
(11,8),(11,26),0.0283926 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.137947 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.189819 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.0287766 # DEPENDENCYPART_SIBL
(11,9),(11,14),0.0872234 # DEPENDENCYPART_SIBL
(11,9),(11,15),0.114422 # DEPENDENCYPART_SIBL
(11,9),(11,16),0.0544837 # DEPENDENCYPART_SIBL
(11,9),(11,18),0.0876295 # DEPENDENCYPART_SIBL
(11,9),(11,19),0.0700772 # DEPENDENCYPART_SIBL
(11,9),(11,20),-0.0111672 # DEPENDENCYPART_SIBL
(11,9),(11,21),0.0770674 # DEPENDENCYPART_SIBL
(11,9),(11,22),0.0936891 # DEPENDENCYPART_SIBL
(11,9),(11,23),0.517386 # DEPENDENCYPART_SIBL
(11,9),(11,24),0.120616 # DEPENDENCYPART_SIBL
(11,9),(11,26),0.0743466 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.0788217 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0031404 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.0287495 # DEPENDENCYPART_SIBL
(11,10),(11,15),0.0559485 # DEPENDENCYPART_SIBL
(11,10),(11,16),0.0362059 # DEPENDENCYPART_SIBL
(11,10),(11,18),0.0452213 # DEPENDENCYPART_SIBL
(11,10),(11,19),0.027669 # DEPENDENCYPART_SIBL
(11,10),(11,20),-0.0419263 # DEPENDENCYPART_SIBL
(11,10),(11,21),0.0346592 # DEPENDENCYPART_SIBL
(11,10),(11,22),0.0196766 # DEPENDENCYPART_SIBL
(11,10),(11,23),0.474978 # DEPENDENCYPART_SIBL
(11,10),(11,24),0.0977327 # DEPENDENCYPART_SIBL
(11,10),(11,26),0.0319384 # DEPENDENCYPART_SIBL
(11,12),(11,13),0.151041 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.633939 # DEPENDENCYPART_SIBL
(11,12),(11,15),0.692781 # DEPENDENCYPART_SIBL
(11,12),(11,16),0.106031 # DEPENDENCYPART_SIBL
(11,12),(11,18),0.710749 # DEPENDENCYPART_SIBL
(11,12),(11,19),0.735419 # DEPENDENCYPART_SIBL
(11,12),(11,20),0.321424 # DEPENDENCYPART_SIBL
(11,12),(11,21),0.70283 # DEPENDENCYPART_SIBL
(11,12),(11,22),0.176278 # DEPENDENCYPART_SIBL
(11,12),(11,23),0.48824 # DEPENDENCYPART_SIBL
