# _root_ He is an avuncular figure who remembers the birthdays of colleagues ' children , opens doors for women , and almost never has a bad word to say about anybody .
#goldHeads=2,0,5,5,2,20,20,9,7,9,13,11,10,20,20,15,15,17,20,5,23,21,20,26,26,23,28,26,28,29,2,
#predictedHeads=2,0,5,5,2,7,5,9,7,9,13,11,10,5,20,15,16,17,20,5,23,21,20,26,26,23,28,26,28,29,2,
(15,15),(15,23),-0.0477001 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,28),0.124862 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,31),-1.73001 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,32),-0.801467 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(15,16),(15,17),-0.514723 # DEPENDENCYPART_NEXTSIBL
(15,16),(15,18),-0.844928 # DEPENDENCYPART_NEXTSIBL
(15,16),(15,19),-0.511266 # DEPENDENCYPART_NEXTSIBL
(15,16),(15,20),-0.846815 # DEPENDENCYPART_NEXTSIBL
(15,16),(15,21),-0.780693 # DEPENDENCYPART_NEXTSIBL
(15,16),(15,22),-0.755158 # DEPENDENCYPART_NEXTSIBL
(15,16),(15,23),-0.863801 # DEPENDENCYPART_NEXTSIBL
(15,16),(15,28),-0.809157 # DEPENDENCYPART_NEXTSIBL
(15,16),(15,31),-0.629999 # DEPENDENCYPART_NEXTSIBL
(15,16),(15,32),-0.559806 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,17),(15,18),-1.00408 # DEPENDENCYPART_NEXTSIBL
(15,17),(15,19),-0.582841 # DEPENDENCYPART_NEXTSIBL
(15,17),(15,20),-1.01273 # DEPENDENCYPART_NEXTSIBL
(15,17),(15,21),-0.900803 # DEPENDENCYPART_NEXTSIBL
(15,17),(15,22),-0.89057 # DEPENDENCYPART_NEXTSIBL
(15,17),(15,23),-0.957099 # DEPENDENCYPART_NEXTSIBL
(15,17),(15,28),-0.989149 # DEPENDENCYPART_NEXTSIBL
(15,17),(15,31),-0.938578 # DEPENDENCYPART_NEXTSIBL
(15,17),(15,32),-0.550123 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,18),(15,19),-0.57417 # DEPENDENCYPART_NEXTSIBL
(15,18),(15,20),-1.2366 # DEPENDENCYPART_NEXTSIBL
(15,18),(15,21),-1.02579 # DEPENDENCYPART_NEXTSIBL
(15,18),(15,22),-0.994284 # DEPENDENCYPART_NEXTSIBL
(15,18),(15,23),-1.16459 # DEPENDENCYPART_NEXTSIBL
(15,18),(15,28),-1.06372 # DEPENDENCYPART_NEXTSIBL
(15,18),(15,31),-0.7865 # DEPENDENCYPART_NEXTSIBL
(15,18),(15,32),-0.896851 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,19),(15,20),-0.826715 # DEPENDENCYPART_NEXTSIBL
(15,19),(15,21),-0.871152 # DEPENDENCYPART_NEXTSIBL
(15,19),(15,22),-0.904302 # DEPENDENCYPART_NEXTSIBL
(15,19),(15,23),-0.794406 # DEPENDENCYPART_NEXTSIBL
(15,19),(15,28),-1.20457 # DEPENDENCYPART_NEXTSIBL
(15,19),(15,31),-1.41971 # DEPENDENCYPART_NEXTSIBL
(15,19),(15,32),-0.737631 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,20),(15,21),-0.479075 # DEPENDENCYPART_NEXTSIBL
(15,20),(15,22),-0.460807 # DEPENDENCYPART_NEXTSIBL
(15,20),(15,23),-0.507707 # DEPENDENCYPART_NEXTSIBL
(15,20),(15,28),-0.354493 # DEPENDENCYPART_NEXTSIBL
(15,20),(15,31),-0.2502 # DEPENDENCYPART_NEXTSIBL
(15,20),(15,32),-0.359576 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,21),(15,22),-0.691384 # DEPENDENCYPART_NEXTSIBL
(15,21),(15,23),-0.544521 # DEPENDENCYPART_NEXTSIBL
(15,21),(15,28),-0.837354 # DEPENDENCYPART_NEXTSIBL
(15,21),(15,31),-0.960488 # DEPENDENCYPART_NEXTSIBL
(15,21),(15,32),-0.625692 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,22),(15,23),-0.575958 # DEPENDENCYPART_NEXTSIBL
(15,22),(15,28),-1.06767 # DEPENDENCYPART_NEXTSIBL
(15,22),(15,31),-1.21639 # DEPENDENCYPART_NEXTSIBL
(15,22),(15,32),-0.751095 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,23),(15,28),-0.88753 # DEPENDENCYPART_NEXTSIBL
(15,23),(15,31),0.259384 # DEPENDENCYPART_NEXTSIBL
(15,23),(15,32),-0.498454 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,28),(15,31),-0.321051 # DEPENDENCYPART_NEXTSIBL
(15,28),(15,32),-0.615643 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,31),(15,32),-2.08163 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,15),(15,14),-2.11101 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,13),-0.420764 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,11),-0.479213 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,10),-0.293474 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,9),-0.319463 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,7),-0.319732 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,6),-0.361998 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,5),-0.233972 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,4),-0.544095 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,3),-0.677645 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,2),-0.314774 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,-1),-0.769224 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(15,14),(15,13),-0.289551 # DEPENDENCYPART_NEXTSIBL
(15,14),(15,11),-0.54089 # DEPENDENCYPART_NEXTSIBL
(15,14),(15,10),-0.601964 # DEPENDENCYPART_NEXTSIBL
(15,14),(15,9),-0.731999 # DEPENDENCYPART_NEXTSIBL
(15,14),(15,7),0.0989516 # DEPENDENCYPART_NEXTSIBL
(15,14),(15,6),-0.608134 # DEPENDENCYPART_NEXTSIBL
(15,14),(15,5),-0.434802 # DEPENDENCYPART_NEXTSIBL
(15,14),(15,4),-0.451276 # DEPENDENCYPART_NEXTSIBL
(15,14),(15,3),-1.06122 # DEPENDENCYPART_NEXTSIBL
(15,14),(15,2),0.766252 # DEPENDENCYPART_NEXTSIBL
(15,14),(15,-1),-0.842651 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,13),(15,11),-0.832697 # DEPENDENCYPART_NEXTSIBL
(15,13),(15,10),-1.03156 # DEPENDENCYPART_NEXTSIBL
(15,13),(15,9),-1.19659 # DEPENDENCYPART_NEXTSIBL
(15,13),(15,7),-1.17448 # DEPENDENCYPART_NEXTSIBL
(15,13),(15,6),-1.23377 # DEPENDENCYPART_NEXTSIBL
(15,13),(15,5),-1.36004 # DEPENDENCYPART_NEXTSIBL
(15,13),(15,4),-1.23395 # DEPENDENCYPART_NEXTSIBL
(15,13),(15,3),-1.10185 # DEPENDENCYPART_NEXTSIBL
(15,13),(15,2),-1.07658 # DEPENDENCYPART_NEXTSIBL
(15,13),(15,-1),-0.707499 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,11),(15,10),-1.15118 # DEPENDENCYPART_NEXTSIBL
(15,11),(15,9),-1.91776 # DEPENDENCYPART_NEXTSIBL
(15,11),(15,7),-1.56656 # DEPENDENCYPART_NEXTSIBL
(15,11),(15,6),-1.53439 # DEPENDENCYPART_NEXTSIBL
(15,11),(15,5),-2.19564 # DEPENDENCYPART_NEXTSIBL
(15,11),(15,4),-1.85704 # DEPENDENCYPART_NEXTSIBL
(15,11),(15,3),-1.79553 # DEPENDENCYPART_NEXTSIBL
(15,11),(15,2),-1.67378 # DEPENDENCYPART_NEXTSIBL
(15,11),(15,-1),-0.52424 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,10),(15,9),-0.979399 # DEPENDENCYPART_NEXTSIBL
(15,10),(15,7),-1.38646 # DEPENDENCYPART_NEXTSIBL
(15,10),(15,6),-1.14752 # DEPENDENCYPART_NEXTSIBL
(15,10),(15,5),-1.41883 # DEPENDENCYPART_NEXTSIBL
(15,10),(15,4),-1.41988 # DEPENDENCYPART_NEXTSIBL
(15,10),(15,3),-1.67032 # DEPENDENCYPART_NEXTSIBL
(15,10),(15,2),-1.49045 # DEPENDENCYPART_NEXTSIBL
(15,10),(15,-1),-1.01167 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,9),(15,7),-1.26282 # DEPENDENCYPART_NEXTSIBL
(15,9),(15,6),-1.2447 # DEPENDENCYPART_NEXTSIBL
(15,9),(15,5),-1.64327 # DEPENDENCYPART_NEXTSIBL
(15,9),(15,4),-1.46458 # DEPENDENCYPART_NEXTSIBL
(15,9),(15,3),-1.53175 # DEPENDENCYPART_NEXTSIBL
(15,9),(15,2),-1.55974 # DEPENDENCYPART_NEXTSIBL
(15,9),(15,-1),-0.99567 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,7),(15,6),-0.59387 # DEPENDENCYPART_NEXTSIBL
(15,7),(15,5),-0.95187 # DEPENDENCYPART_NEXTSIBL
(15,7),(15,4),-0.903042 # DEPENDENCYPART_NEXTSIBL
(15,7),(15,3),-0.872975 # DEPENDENCYPART_NEXTSIBL
(15,7),(15,2),-1.35839 # DEPENDENCYPART_NEXTSIBL
(15,7),(15,-1),-0.670352 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,6),(15,5),-0.293635 # DEPENDENCYPART_NEXTSIBL
(15,6),(15,4),-0.40611 # DEPENDENCYPART_NEXTSIBL
(15,6),(15,3),-0.646747 # DEPENDENCYPART_NEXTSIBL
(15,6),(15,2),-0.563383 # DEPENDENCYPART_NEXTSIBL
(15,6),(15,-1),0.11452 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,5),(15,4),-0.726673 # DEPENDENCYPART_NEXTSIBL
(15,5),(15,3),-0.844839 # DEPENDENCYPART_NEXTSIBL
(15,5),(15,2),-1.33324 # DEPENDENCYPART_NEXTSIBL
(15,5),(15,-1),-0.95624 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,4),(15,3),-0.50665 # DEPENDENCYPART_NEXTSIBL
(15,4),(15,2),-0.89909 # DEPENDENCYPART_NEXTSIBL
(15,4),(15,-1),-0.920518 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,3),(15,2),-1.02118 # DEPENDENCYPART_NEXTSIBL
(15,3),(15,-1),-0.868361 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,2),(15,-1),-0.714059 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,16),(16,17),-0.177782 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,18),-0.892783 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,19),-1.048 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,23),-0.00164891 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,26),-0.31742 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,32),-0.503134 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(16,17),(16,18),-0.981927 # DEPENDENCYPART_NEXTSIBL
(16,17),(16,19),-0.562969 # DEPENDENCYPART_NEXTSIBL
(16,17),(16,23),-0.776429 # DEPENDENCYPART_NEXTSIBL
(16,17),(16,26),-0.824287 # DEPENDENCYPART_NEXTSIBL
(16,17),(16,32),-0.573861 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,18),(16,19),-0.301244 # DEPENDENCYPART_NEXTSIBL
(16,18),(16,23),-1.09861 # DEPENDENCYPART_NEXTSIBL
(16,18),(16,26),-1.28019 # DEPENDENCYPART_NEXTSIBL
(16,18),(16,32),-0.926318 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,19),(16,23),-0.635979 # DEPENDENCYPART_NEXTSIBL
(16,19),(16,26),-1.0931 # DEPENDENCYPART_NEXTSIBL
(16,19),(16,32),-0.534477 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,23),(16,26),-0.629915 # DEPENDENCYPART_NEXTSIBL
(16,23),(16,32),-0.587317 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,26),(16,32),-0.565926 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,16),(16,15),-0.319935 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,14),-1.97284 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,13),-0.536551 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,12),-1.06614 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,11),-0.560175 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,-1),-0.56335 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(16,15),(16,14),-0.66349 # DEPENDENCYPART_NEXTSIBL
(16,15),(16,13),-0.635099 # DEPENDENCYPART_NEXTSIBL
(16,15),(16,12),-1.00164 # DEPENDENCYPART_NEXTSIBL
(16,15),(16,11),-0.673444 # DEPENDENCYPART_NEXTSIBL
(16,15),(16,-1),-1.06769 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,14),(16,13),-0.2498 # DEPENDENCYPART_NEXTSIBL
(16,14),(16,12),-0.556097 # DEPENDENCYPART_NEXTSIBL
(16,14),(16,11),-0.487373 # DEPENDENCYPART_NEXTSIBL
(16,14),(16,-1),-0.928095 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,13),(16,12),-0.369588 # DEPENDENCYPART_NEXTSIBL
(16,13),(16,11),-0.546183 # DEPENDENCYPART_NEXTSIBL
(16,13),(16,-1),-0.482038 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,12),(16,11),-0.46301 # DEPENDENCYPART_NEXTSIBL
(16,12),(16,-1),-0.794035 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,11),(16,-1),-0.277286 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,17),(17,18),-0.583642 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,20),-0.00878023 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,21),-0.299992 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,26),-0.0304604 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,32),-0.914662 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(17,18),(17,20),-1.36562 # DEPENDENCYPART_NEXTSIBL
(17,18),(17,21),-1.0387 # DEPENDENCYPART_NEXTSIBL
(17,18),(17,26),-1.37554 # DEPENDENCYPART_NEXTSIBL
(17,18),(17,32),-0.773365 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,20),(17,21),-0.578569 # DEPENDENCYPART_NEXTSIBL
(17,20),(17,26),-0.659114 # DEPENDENCYPART_NEXTSIBL
(17,20),(17,32),-0.257515 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,21),(17,26),-0.971137 # DEPENDENCYPART_NEXTSIBL
(17,21),(17,32),-0.590626 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,26),(17,32),-0.440686 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,17),(17,16),-0.435146 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,-1),-0.367968 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(17,16),(17,-1),-0.706504 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,18),(18,19),-1.02077 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,21),-0.278163 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,22),-0.241078 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,23),0.0120388 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,26),-0.319879 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,32),-0.514202 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(18,19),(18,21),-0.828134 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,22),-0.873611 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,23),-0.62086 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,26),-1.08073 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,32),-0.514067 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,21),(18,22),-0.679908 # DEPENDENCYPART_NEXTSIBL
(18,21),(18,23),-0.492764 # DEPENDENCYPART_NEXTSIBL
(18,21),(18,26),-0.906191 # DEPENDENCYPART_NEXTSIBL
(18,21),(18,32),-0.585816 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,22),(18,23),-0.544999 # DEPENDENCYPART_NEXTSIBL
(18,22),(18,26),-1.10328 # DEPENDENCYPART_NEXTSIBL
(18,22),(18,32),-0.719373 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,23),(18,26),-0.628121 # DEPENDENCYPART_NEXTSIBL
(18,23),(18,32),-0.57289 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,26),(18,32),-0.569303 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,18),(18,17),-0.399621 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,16),-0.368153 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,-1),-0.536246 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(18,17),(18,16),-0.825308 # DEPENDENCYPART_NEXTSIBL
(18,17),(18,-1),-0.696749 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,16),(18,-1),-0.59005 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,19),(19,32),-0.232253 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(19,19),(19,-1),-0.329066 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(20,20),(20,21),-0.326588 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,22),-0.315246 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,23),0.118643 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,24),-1.24019 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,25),-0.0487324 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,26),-0.295295 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,28),0.364573 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,29),-0.0907553 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,30),-0.418708 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,31),-1.42211 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,32),-0.798832 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(20,21),(20,22),-0.731756 # DEPENDENCYPART_NEXTSIBL
(20,21),(20,23),-0.414959 # DEPENDENCYPART_NEXTSIBL
(20,21),(20,24),-0.981024 # DEPENDENCYPART_NEXTSIBL
(20,21),(20,25),-0.838809 # DEPENDENCYPART_NEXTSIBL
(20,21),(20,26),-0.920777 # DEPENDENCYPART_NEXTSIBL
(20,21),(20,28),-0.70483 # DEPENDENCYPART_NEXTSIBL
(20,21),(20,29),-0.911675 # DEPENDENCYPART_NEXTSIBL
(20,21),(20,30),-1.04484 # DEPENDENCYPART_NEXTSIBL
(20,21),(20,31),-1.07514 # DEPENDENCYPART_NEXTSIBL
(20,21),(20,32),-0.648525 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,22),(20,23),-0.480904 # DEPENDENCYPART_NEXTSIBL
(20,22),(20,24),-1.145 # DEPENDENCYPART_NEXTSIBL
(20,22),(20,25),-1.06485 # DEPENDENCYPART_NEXTSIBL
(20,22),(20,26),-1.12791 # DEPENDENCYPART_NEXTSIBL
(20,22),(20,28),-0.969652 # DEPENDENCYPART_NEXTSIBL
(20,22),(20,29),-1.23933 # DEPENDENCYPART_NEXTSIBL
(20,22),(20,30),-1.29712 # DEPENDENCYPART_NEXTSIBL
(20,22),(20,31),-1.34881 # DEPENDENCYPART_NEXTSIBL
(20,22),(20,32),-0.802123 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,23),(20,24),-0.671247 # DEPENDENCYPART_NEXTSIBL
(20,23),(20,25),-0.720437 # DEPENDENCYPART_NEXTSIBL
(20,23),(20,26),-0.557813 # DEPENDENCYPART_NEXTSIBL
(20,23),(20,28),-0.767166 # DEPENDENCYPART_NEXTSIBL
(20,23),(20,29),-0.473633 # DEPENDENCYPART_NEXTSIBL
(20,23),(20,30),-0.488014 # DEPENDENCYPART_NEXTSIBL
(20,23),(20,31),0.636207 # DEPENDENCYPART_NEXTSIBL
(20,23),(20,32),-0.417488 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,24),(20,25),-0.806356 # DEPENDENCYPART_NEXTSIBL
(20,24),(20,26),-0.847594 # DEPENDENCYPART_NEXTSIBL
(20,24),(20,28),-0.778345 # DEPENDENCYPART_NEXTSIBL
(20,24),(20,29),-1.00274 # DEPENDENCYPART_NEXTSIBL
(20,24),(20,30),-0.991413 # DEPENDENCYPART_NEXTSIBL
(20,24),(20,31),-0.989593 # DEPENDENCYPART_NEXTSIBL
(20,24),(20,32),-1.08754 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,25),(20,26),-0.817795 # DEPENDENCYPART_NEXTSIBL
(20,25),(20,28),-0.555029 # DEPENDENCYPART_NEXTSIBL
(20,25),(20,29),-0.921454 # DEPENDENCYPART_NEXTSIBL
(20,25),(20,30),-1.07069 # DEPENDENCYPART_NEXTSIBL
(20,25),(20,31),-0.820259 # DEPENDENCYPART_NEXTSIBL
(20,25),(20,32),-0.949907 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,26),(20,28),-0.505311 # DEPENDENCYPART_NEXTSIBL
(20,26),(20,29),-0.794127 # DEPENDENCYPART_NEXTSIBL
(20,26),(20,30),-1.11545 # DEPENDENCYPART_NEXTSIBL
(20,26),(20,31),-0.586428 # DEPENDENCYPART_NEXTSIBL
(20,26),(20,32),-0.575588 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,28),(20,29),-0.707326 # DEPENDENCYPART_NEXTSIBL
(20,28),(20,30),-0.648386 # DEPENDENCYPART_NEXTSIBL
(20,28),(20,31),0.0146225 # DEPENDENCYPART_NEXTSIBL
(20,28),(20,32),-0.425546 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,29),(20,30),-0.939136 # DEPENDENCYPART_NEXTSIBL
(20,29),(20,31),-0.876461 # DEPENDENCYPART_NEXTSIBL
(20,29),(20,32),-0.553525 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,30),(20,31),-0.599902 # DEPENDENCYPART_NEXTSIBL
(20,30),(20,32),-0.66177 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,31),(20,32),-2.05852 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,20),(20,19),-1.03735 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,18),-0.926567 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,17),-0.465256 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,16),-0.449384 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,15),0.358243 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,14),-1.48095 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,13),-0.658039 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,11),-0.679131 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,10),-0.324329 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,9),-0.528584 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,8),-0.641644 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,7),0.365798 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,6),-0.499165 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,5),-0.437142 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,4),-0.622068 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,3),-0.763375 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,2),0.466346 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,1),-0.390518 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,-1),-1.16363 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(20,19),(20,18),-0.309496 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,17),-0.256118 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,16),-0.389851 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,15),0.389661 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,14),-0.948467 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,13),-0.476124 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,11),-0.557825 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,10),-0.734921 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,9),-0.552573 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,8),-1.21148 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,7),0.417024 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,6),-0.715491 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,5),-0.436539 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,4),-0.392948 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,3),-1.12423 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,2),1.08905 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,1),-0.948429 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,-1),-1.10664 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,18),(20,17),-0.769183 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,16),-1.57895 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,15),-1.22834 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,14),-1.455 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,13),-1.69012 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,11),-1.63698 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,10),-2.25391 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,9),-1.76086 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,8),-1.18984 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,7),-0.932114 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,6),-1.55004 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,5),-1.77462 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,4),-1.47548 # DEPENDENCYPART_NEXTSIBL
