# _root_ `` Those shares which had posted gains on M&A speculation were dashed with cold water , but as far as major stocks are concerned , there is n't much impact . ''
#goldHeads=11,3,11,5,3,5,6,6,10,8,0,11,12,15,13,11,11,27,18,18,22,23,20,23,27,27,17,27,30,27,11,11,
#predictedHeads=11,3,11,5,3,5,6,7,10,8,0,11,12,15,13,11,11,27,18,18,22,23,20,23,27,27,17,27,30,27,11,11,
(11,9),(11,14),-0.0382671 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.0255339 # DEPENDENCYPART_SIBL
(11,9),(11,16),0.0469803 # DEPENDENCYPART_SIBL
(11,9),(11,17),0.00815329 # DEPENDENCYPART_SIBL
(11,9),(11,18),-0.0720789 # DEPENDENCYPART_SIBL
(11,9),(11,19),-0.0287729 # DEPENDENCYPART_SIBL
(11,9),(11,20),-0.131337 # DEPENDENCYPART_SIBL
(11,9),(11,23),0.0468446 # DEPENDENCYPART_SIBL
(11,9),(11,24),-0.0379407 # DEPENDENCYPART_SIBL
(11,9),(11,27),0.00968796 # DEPENDENCYPART_SIBL
(11,9),(11,28),0.0664174 # DEPENDENCYPART_SIBL
(11,9),(11,31),-0.0184323 # DEPENDENCYPART_SIBL
(11,9),(11,32),-0.00674864 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0789891 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0610437 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.0442896 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.00547808 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.0379334 # DEPENDENCYPART_SIBL
(11,10),(11,17),-0.0504655 # DEPENDENCYPART_SIBL
(11,10),(11,18),-0.0892189 # DEPENDENCYPART_SIBL
(11,10),(11,19),-0.0670516 # DEPENDENCYPART_SIBL
(11,10),(11,20),-0.0719312 # DEPENDENCYPART_SIBL
(11,10),(11,23),-0.080244 # DEPENDENCYPART_SIBL
(11,10),(11,24),-0.137611 # DEPENDENCYPART_SIBL
(11,10),(11,27),-0.0319596 # DEPENDENCYPART_SIBL
(11,10),(11,28),0.00552738 # DEPENDENCYPART_SIBL
(11,10),(11,31),-0.03222 # DEPENDENCYPART_SIBL
(11,10),(11,32),-0.0527273 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.242385 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.2856 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.447841 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.0197704 # DEPENDENCYPART_SIBL
(11,12),(11,17),0.146155 # DEPENDENCYPART_SIBL
(11,12),(11,18),-0.398567 # DEPENDENCYPART_SIBL
(11,12),(11,19),-0.37347 # DEPENDENCYPART_SIBL
(11,12),(11,20),-0.277911 # DEPENDENCYPART_SIBL
(11,12),(11,23),-0.223696 # DEPENDENCYPART_SIBL
(11,12),(11,24),-0.558181 # DEPENDENCYPART_SIBL
(11,12),(11,27),-0.0960468 # DEPENDENCYPART_SIBL
(11,12),(11,28),-0.384731 # DEPENDENCYPART_SIBL
(11,12),(11,31),0.041616 # DEPENDENCYPART_SIBL
(11,12),(11,32),0.040744 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.046722 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.0137526 # DEPENDENCYPART_SIBL
(11,13),(11,16),0.0338759 # DEPENDENCYPART_SIBL
(11,13),(11,17),0.113375 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.0814081 # DEPENDENCYPART_SIBL
(11,13),(11,19),-0.121431 # DEPENDENCYPART_SIBL
(11,13),(11,20),-0.0759996 # DEPENDENCYPART_SIBL
(11,13),(11,23),-0.107455 # DEPENDENCYPART_SIBL
(11,13),(11,24),-0.0784849 # DEPENDENCYPART_SIBL
(11,13),(11,27),-0.0725226 # DEPENDENCYPART_SIBL
(11,13),(11,28),-0.109514 # DEPENDENCYPART_SIBL
(11,13),(11,31),-0.0498251 # DEPENDENCYPART_SIBL
(11,13),(11,32),-0.0324646 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.0526257 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.0292443 # DEPENDENCYPART_SIBL
(11,14),(11,17),0.0458009 # DEPENDENCYPART_SIBL
(11,14),(11,18),-0.064491 # DEPENDENCYPART_SIBL
(11,14),(11,19),-0.05489 # DEPENDENCYPART_SIBL
(11,14),(11,20),-0.0522502 # DEPENDENCYPART_SIBL
(11,14),(11,23),-0.0958886 # DEPENDENCYPART_SIBL
(11,14),(11,24),-0.0963243 # DEPENDENCYPART_SIBL
(11,14),(11,27),0.00503295 # DEPENDENCYPART_SIBL
(11,14),(11,28),-0.0702566 # DEPENDENCYPART_SIBL
(11,14),(11,31),0.0574245 # DEPENDENCYPART_SIBL
(11,14),(11,32),0.0805718 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.0151764 # DEPENDENCYPART_SIBL
(11,15),(11,17),0.0283386 # DEPENDENCYPART_SIBL
(11,15),(11,18),-0.0370908 # DEPENDENCYPART_SIBL
(11,15),(11,19),-0.0926684 # DEPENDENCYPART_SIBL
(11,15),(11,20),0.036326 # DEPENDENCYPART_SIBL
(11,15),(11,23),-0.173979 # DEPENDENCYPART_SIBL
(11,15),(11,24),-0.106436 # DEPENDENCYPART_SIBL
(11,15),(11,27),-0.0386966 # DEPENDENCYPART_SIBL
(11,15),(11,28),-0.133601 # DEPENDENCYPART_SIBL
(11,15),(11,31),-0.0795077 # DEPENDENCYPART_SIBL
(11,15),(11,32),-0.0373501 # DEPENDENCYPART_SIBL
(11,16),(11,17),1.04402 # DEPENDENCYPART_SIBL
(11,16),(11,18),0.199651 # DEPENDENCYPART_SIBL
(11,16),(11,19),0.0920006 # DEPENDENCYPART_SIBL
(11,16),(11,20),0.444751 # DEPENDENCYPART_SIBL
(11,16),(11,23),0.220861 # DEPENDENCYPART_SIBL
(11,16),(11,24),0.271114 # DEPENDENCYPART_SIBL
(11,16),(11,27),0.343182 # DEPENDENCYPART_SIBL
(11,16),(11,28),0.036481 # DEPENDENCYPART_SIBL
(11,16),(11,31),0.00167636 # DEPENDENCYPART_SIBL
(11,16),(11,32),0.0690393 # DEPENDENCYPART_SIBL
(11,17),(11,18),-0.067168 # DEPENDENCYPART_SIBL
(11,17),(11,19),-0.0795049 # DEPENDENCYPART_SIBL
(11,17),(11,20),-0.129256 # DEPENDENCYPART_SIBL
(11,17),(11,23),-0.182548 # DEPENDENCYPART_SIBL
(11,17),(11,24),-0.139823 # DEPENDENCYPART_SIBL
(11,17),(11,27),-0.0465699 # DEPENDENCYPART_SIBL
(11,17),(11,28),-0.0873102 # DEPENDENCYPART_SIBL
(11,17),(11,31),0.262041 # DEPENDENCYPART_SIBL
(11,17),(11,32),0.128746 # DEPENDENCYPART_SIBL
(11,18),(11,19),-0.2077 # DEPENDENCYPART_SIBL
(11,18),(11,20),-0.317861 # DEPENDENCYPART_SIBL
(11,18),(11,23),-0.283562 # DEPENDENCYPART_SIBL
(11,18),(11,24),-0.227411 # DEPENDENCYPART_SIBL
(11,18),(11,27),-0.121239 # DEPENDENCYPART_SIBL
(11,18),(11,28),-0.180838 # DEPENDENCYPART_SIBL
(11,18),(11,31),-0.044345 # DEPENDENCYPART_SIBL
(11,18),(11,32),-0.0377817 # DEPENDENCYPART_SIBL
(11,19),(11,20),0.00750748 # DEPENDENCYPART_SIBL
(11,19),(11,23),-0.176366 # DEPENDENCYPART_SIBL
(11,19),(11,24),-0.0599581 # DEPENDENCYPART_SIBL
(11,19),(11,27),-0.0471537 # DEPENDENCYPART_SIBL
(11,19),(11,28),-0.11594 # DEPENDENCYPART_SIBL
(11,19),(11,31),0.00272905 # DEPENDENCYPART_SIBL
(11,19),(11,32),0.00711539 # DEPENDENCYPART_SIBL
(11,20),(11,23),-0.195922 # DEPENDENCYPART_SIBL
(11,20),(11,24),-0.246271 # DEPENDENCYPART_SIBL
(11,20),(11,27),-0.0666597 # DEPENDENCYPART_SIBL
(11,20),(11,28),-0.153558 # DEPENDENCYPART_SIBL
(11,20),(11,31),-0.0195282 # DEPENDENCYPART_SIBL
(11,20),(11,32),0.0034839 # DEPENDENCYPART_SIBL
(11,23),(11,24),-0.215174 # DEPENDENCYPART_SIBL
(11,23),(11,27),-0.39197 # DEPENDENCYPART_SIBL
(11,23),(11,28),-0.149067 # DEPENDENCYPART_SIBL
(11,23),(11,31),0.00758173 # DEPENDENCYPART_SIBL
(11,23),(11,32),-0.0151068 # DEPENDENCYPART_SIBL
(11,24),(11,27),-0.105204 # DEPENDENCYPART_SIBL
(11,24),(11,28),-0.396576 # DEPENDENCYPART_SIBL
(11,24),(11,31),-0.0154647 # DEPENDENCYPART_SIBL
(11,24),(11,32),0.0269634 # DEPENDENCYPART_SIBL
(11,27),(11,28),-0.195017 # DEPENDENCYPART_SIBL
(11,27),(11,31),0.00482201 # DEPENDENCYPART_SIBL
(11,27),(11,32),0.0524584 # DEPENDENCYPART_SIBL
(11,28),(11,31),0.0901052 # DEPENDENCYPART_SIBL
(11,28),(11,32),0.0921949 # DEPENDENCYPART_SIBL
(11,31),(11,32),1.25641 # DEPENDENCYPART_SIBL
(12,4),(12,7),-0.105269 # DEPENDENCYPART_SIBL
(12,4),(12,8),0.152342 # DEPENDENCYPART_SIBL
(12,4),(12,9),-0.0939534 # DEPENDENCYPART_SIBL
(12,4),(12,10),-0.00864796 # DEPENDENCYPART_SIBL
(12,4),(12,13),-0.0125679 # DEPENDENCYPART_SIBL
(12,4),(12,14),-0.0330421 # DEPENDENCYPART_SIBL
(12,4),(12,15),0.00732642 # DEPENDENCYPART_SIBL
(12,4),(12,16),-0.131568 # DEPENDENCYPART_SIBL
(12,4),(12,17),0.050478 # DEPENDENCYPART_SIBL
(12,4),(12,18),0.154267 # DEPENDENCYPART_SIBL
(12,4),(12,19),0.0979879 # DEPENDENCYPART_SIBL
(12,4),(12,20),0.0502108 # DEPENDENCYPART_SIBL
(12,4),(12,22),0.0155209 # DEPENDENCYPART_SIBL
(12,4),(12,24),-0.11814 # DEPENDENCYPART_SIBL
(12,4),(12,25),-0.131568 # DEPENDENCYPART_SIBL
(12,4),(12,26),-0.0450704 # DEPENDENCYPART_SIBL
(12,4),(12,27),-0.101897 # DEPENDENCYPART_SIBL
(12,4),(12,28),0.0490258 # DEPENDENCYPART_SIBL
(12,4),(12,31),-0.350123 # DEPENDENCYPART_SIBL
(12,4),(12,32),-0.11328 # DEPENDENCYPART_SIBL
(12,7),(12,8),0.0176493 # DEPENDENCYPART_SIBL
(12,7),(12,9),-0.138342 # DEPENDENCYPART_SIBL
(12,7),(12,10),-0.108476 # DEPENDENCYPART_SIBL
(12,7),(12,13),-0.111053 # DEPENDENCYPART_SIBL
(12,7),(12,14),-0.0209527 # DEPENDENCYPART_SIBL
(12,7),(12,15),0.00194263 # DEPENDENCYPART_SIBL
(12,7),(12,16),0.0229146 # DEPENDENCYPART_SIBL
(12,7),(12,17),0.219137 # DEPENDENCYPART_SIBL
(12,7),(12,18),0.0118144 # DEPENDENCYPART_SIBL
(12,7),(12,19),-0.0235117 # DEPENDENCYPART_SIBL
(12,7),(12,20),-0.0296513 # DEPENDENCYPART_SIBL
(12,7),(12,22),0.00379489 # DEPENDENCYPART_SIBL
(12,7),(12,24),0.00843786 # DEPENDENCYPART_SIBL
(12,7),(12,25),0.0229146 # DEPENDENCYPART_SIBL
(12,7),(12,26),-0.0327674 # DEPENDENCYPART_SIBL
(12,7),(12,27),-0.0038568 # DEPENDENCYPART_SIBL
(12,7),(12,28),0.0203152 # DEPENDENCYPART_SIBL
(12,7),(12,31),0.152966 # DEPENDENCYPART_SIBL
(12,7),(12,32),0.00148785 # DEPENDENCYPART_SIBL
(12,8),(12,9),0.0200677 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.0377102 # DEPENDENCYPART_SIBL
(12,8),(12,13),-0.0501578 # DEPENDENCYPART_SIBL
(12,8),(12,14),-0.0888196 # DEPENDENCYPART_SIBL
(12,8),(12,15),-0.0616393 # DEPENDENCYPART_SIBL
(12,8),(12,16),-0.106322 # DEPENDENCYPART_SIBL
(12,8),(12,17),0.0311626 # DEPENDENCYPART_SIBL
(12,8),(12,18),-0.036314 # DEPENDENCYPART_SIBL
(12,8),(12,19),-0.0574938 # DEPENDENCYPART_SIBL
(12,8),(12,20),-0.0750568 # DEPENDENCYPART_SIBL
(12,8),(12,22),-0.0181699 # DEPENDENCYPART_SIBL
(12,8),(12,24),-0.0803751 # DEPENDENCYPART_SIBL
(12,8),(12,25),-0.106322 # DEPENDENCYPART_SIBL
(12,8),(12,26),-0.0837604 # DEPENDENCYPART_SIBL
(12,8),(12,27),-0.10899 # DEPENDENCYPART_SIBL
(12,8),(12,28),-0.0706718 # DEPENDENCYPART_SIBL
(12,8),(12,31),0.0371655 # DEPENDENCYPART_SIBL
(12,8),(12,32),-0.0800679 # DEPENDENCYPART_SIBL
(12,9),(12,10),-0.00160403 # DEPENDENCYPART_SIBL
(12,9),(12,13),0.00867763 # DEPENDENCYPART_SIBL
(12,9),(12,14),-0.0427045 # DEPENDENCYPART_SIBL
(12,9),(12,15),0.0136844 # DEPENDENCYPART_SIBL
(12,9),(12,16),0.00977506 # DEPENDENCYPART_SIBL
(12,9),(12,17),0.143032 # DEPENDENCYPART_SIBL
(12,9),(12,18),-0.00641656 # DEPENDENCYPART_SIBL
(12,9),(12,19),-0.0345876 # DEPENDENCYPART_SIBL
(12,9),(12,20),0.00289365 # DEPENDENCYPART_SIBL
(12,9),(12,22),0.0518401 # DEPENDENCYPART_SIBL
(12,9),(12,24),0.024853 # DEPENDENCYPART_SIBL
(12,9),(12,25),0.00977506 # DEPENDENCYPART_SIBL
(12,9),(12,26),0.0214448 # DEPENDENCYPART_SIBL
(12,9),(12,27),-0.00110702 # DEPENDENCYPART_SIBL
(12,9),(12,28),0.0246643 # DEPENDENCYPART_SIBL
(12,9),(12,31),0.205098 # DEPENDENCYPART_SIBL
(12,9),(12,32),0.0397252 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.0252397 # DEPENDENCYPART_SIBL
(12,10),(12,14),-0.0186302 # DEPENDENCYPART_SIBL
(12,10),(12,15),0.0259815 # DEPENDENCYPART_SIBL
(12,10),(12,16),0.0464315 # DEPENDENCYPART_SIBL
(12,10),(12,17),0.171723 # DEPENDENCYPART_SIBL
(12,10),(12,18),0.0200714 # DEPENDENCYPART_SIBL
(12,10),(12,19),0.00542714 # DEPENDENCYPART_SIBL
(12,10),(12,20),0.0141445 # DEPENDENCYPART_SIBL
(12,10),(12,22),0.062576 # DEPENDENCYPART_SIBL
(12,10),(12,24),0.0319764 # DEPENDENCYPART_SIBL
(12,10),(12,25),0.0464315 # DEPENDENCYPART_SIBL
(12,10),(12,26),0.0529901 # DEPENDENCYPART_SIBL
(12,10),(12,27),-0.00527443 # DEPENDENCYPART_SIBL
(12,10),(12,28),0.0418721 # DEPENDENCYPART_SIBL
(12,10),(12,31),0.228255 # DEPENDENCYPART_SIBL
(12,10),(12,32),0.0288504 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.181194 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.167622 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.0735134 # DEPENDENCYPART_SIBL
(12,13),(12,17),-0.0359694 # DEPENDENCYPART_SIBL
(12,13),(12,18),-0.23987 # DEPENDENCYPART_SIBL
(12,13),(12,19),-0.295436 # DEPENDENCYPART_SIBL
(12,13),(12,20),-0.225019 # DEPENDENCYPART_SIBL
(12,13),(12,22),-0.294758 # DEPENDENCYPART_SIBL
(12,13),(12,24),-0.140551 # DEPENDENCYPART_SIBL
(12,13),(12,25),-0.0735134 # DEPENDENCYPART_SIBL
(12,13),(12,26),-0.188365 # DEPENDENCYPART_SIBL
(12,13),(12,27),-0.242747 # DEPENDENCYPART_SIBL
(12,13),(12,28),-0.223529 # DEPENDENCYPART_SIBL
(12,13),(12,31),-0.0384534 # DEPENDENCYPART_SIBL
(12,13),(12,32),-0.135159 # DEPENDENCYPART_SIBL
(12,14),(12,15),-0.163765 # DEPENDENCYPART_SIBL
(12,14),(12,16),0.0128105 # DEPENDENCYPART_SIBL
(12,14),(12,17),0.0347093 # DEPENDENCYPART_SIBL
(12,14),(12,18),-0.0821726 # DEPENDENCYPART_SIBL
(12,14),(12,19),-0.0957621 # DEPENDENCYPART_SIBL
(12,14),(12,20),-0.0368715 # DEPENDENCYPART_SIBL
(12,14),(12,22),-0.170438 # DEPENDENCYPART_SIBL
(12,14),(12,24),-0.0172541 # DEPENDENCYPART_SIBL
(12,14),(12,25),0.0128105 # DEPENDENCYPART_SIBL
(12,14),(12,26),-0.0265778 # DEPENDENCYPART_SIBL
(12,14),(12,27),-0.0924964 # DEPENDENCYPART_SIBL
(12,14),(12,28),-0.0679863 # DEPENDENCYPART_SIBL
(12,14),(12,31),-0.0275013 # DEPENDENCYPART_SIBL
(12,14),(12,32),0.0244094 # DEPENDENCYPART_SIBL
(12,15),(12,16),0.0084585 # DEPENDENCYPART_SIBL
(12,15),(12,17),0.00603844 # DEPENDENCYPART_SIBL
(12,15),(12,18),-0.0104502 # DEPENDENCYPART_SIBL
(12,15),(12,19),-0.0576721 # DEPENDENCYPART_SIBL
(12,15),(12,20),0.052077 # DEPENDENCYPART_SIBL
(12,15),(12,22),-0.282083 # DEPENDENCYPART_SIBL
(12,15),(12,24),-0.000512993 # DEPENDENCYPART_SIBL
(12,15),(12,25),0.0084585 # DEPENDENCYPART_SIBL
(12,15),(12,26),-0.0664928 # DEPENDENCYPART_SIBL
(12,15),(12,27),-0.0889951 # DEPENDENCYPART_SIBL
(12,15),(12,28),-0.0428698 # DEPENDENCYPART_SIBL
(12,15),(12,31),0.032591 # DEPENDENCYPART_SIBL
(12,15),(12,32),-0.0452019 # DEPENDENCYPART_SIBL
(12,16),(12,17),0.671176 # DEPENDENCYPART_SIBL
(12,16),(12,18),0.41145 # DEPENDENCYPART_SIBL
(12,16),(12,19),0.198977 # DEPENDENCYPART_SIBL
(12,16),(12,20),0.484491 # DEPENDENCYPART_SIBL
(12,16),(12,22),0.0934952 # DEPENDENCYPART_SIBL
(12,16),(12,24),0.505355 # DEPENDENCYPART_SIBL
(12,16),(12,25),-0.0282582 # DEPENDENCYPART_SIBL
(12,16),(12,26),0.0462003 # DEPENDENCYPART_SIBL
(12,16),(12,27),0.242882 # DEPENDENCYPART_SIBL
(12,16),(12,28),0.207794 # DEPENDENCYPART_SIBL
(12,16),(12,31),0.0433423 # DEPENDENCYPART_SIBL
(12,16),(12,32),0.18283 # DEPENDENCYPART_SIBL
(12,17),(12,18),-0.0812811 # DEPENDENCYPART_SIBL
(12,17),(12,19),-0.0731412 # DEPENDENCYPART_SIBL
(12,17),(12,20),-0.150115 # DEPENDENCYPART_SIBL
(12,17),(12,22),0.000889174 # DEPENDENCYPART_SIBL
(12,17),(12,24),-0.0328364 # DEPENDENCYPART_SIBL
(12,17),(12,25),-0.0116029 # DEPENDENCYPART_SIBL
(12,17),(12,26),-0.047051 # DEPENDENCYPART_SIBL
(12,17),(12,27),-0.0701581 # DEPENDENCYPART_SIBL
(12,17),(12,28),-0.037695 # DEPENDENCYPART_SIBL
(12,17),(12,31),0.206777 # DEPENDENCYPART_SIBL
(12,17),(12,32),0.077503 # DEPENDENCYPART_SIBL
(12,18),(12,19),-0.114275 # DEPENDENCYPART_SIBL
(12,18),(12,20),-0.149546 # DEPENDENCYPART_SIBL
(12,18),(12,22),-0.0661937 # DEPENDENCYPART_SIBL
(12,18),(12,24),-0.0209226 # DEPENDENCYPART_SIBL
(12,18),(12,25),0.0958452 # DEPENDENCYPART_SIBL
(12,18),(12,26),-0.00174729 # DEPENDENCYPART_SIBL
(12,18),(12,27),-0.0751254 # DEPENDENCYPART_SIBL
(12,18),(12,28),-0.0586751 # DEPENDENCYPART_SIBL
(12,18),(12,31),0.00323394 # DEPENDENCYPART_SIBL
(12,18),(12,32),0.0192588 # DEPENDENCYPART_SIBL
(12,19),(12,20),0.0622307 # DEPENDENCYPART_SIBL
(12,19),(12,22),-0.0919031 # DEPENDENCYPART_SIBL
(12,19),(12,24),0.0133752 # DEPENDENCYPART_SIBL
(12,19),(12,25),0.100269 # DEPENDENCYPART_SIBL
(12,19),(12,26),-0.00429812 # DEPENDENCYPART_SIBL
(12,19),(12,27),-0.109476 # DEPENDENCYPART_SIBL
(12,19),(12,28),-0.0558419 # DEPENDENCYPART_SIBL
(12,19),(12,31),-0.0169906 # DEPENDENCYPART_SIBL
(12,19),(12,32),-0.0252326 # DEPENDENCYPART_SIBL
(12,20),(12,22),-0.175319 # DEPENDENCYPART_SIBL
(12,20),(12,24),-0.118297 # DEPENDENCYPART_SIBL
(12,20),(12,25),0.0402387 # DEPENDENCYPART_SIBL
(12,20),(12,26),-0.117864 # DEPENDENCYPART_SIBL
(12,20),(12,27),-0.101763 # DEPENDENCYPART_SIBL
(12,20),(12,28),-0.143138 # DEPENDENCYPART_SIBL
(12,20),(12,31),0.0324077 # DEPENDENCYPART_SIBL
(12,20),(12,32),0.0268987 # DEPENDENCYPART_SIBL
(12,22),(12,24),0.0113315 # DEPENDENCYPART_SIBL
(12,22),(12,25),0.0365993 # DEPENDENCYPART_SIBL
(12,22),(12,26),0.0358646 # DEPENDENCYPART_SIBL
(12,22),(12,27),-0.0876909 # DEPENDENCYPART_SIBL
(12,22),(12,28),0.037989 # DEPENDENCYPART_SIBL
(12,22),(12,31),0.130573 # DEPENDENCYPART_SIBL
(12,22),(12,32),0.00631609 # DEPENDENCYPART_SIBL
(12,24),(12,25),-0.0681579 # DEPENDENCYPART_SIBL
(12,24),(12,26),-0.128374 # DEPENDENCYPART_SIBL
(12,24),(12,27),-0.132162 # DEPENDENCYPART_SIBL
(12,24),(12,28),-0.254791 # DEPENDENCYPART_SIBL
(12,24),(12,31),0.0219969 # DEPENDENCYPART_SIBL
(12,24),(12,32),-0.0106394 # DEPENDENCYPART_SIBL
(12,25),(12,26),0.0462003 # DEPENDENCYPART_SIBL
(12,25),(12,27),0.242882 # DEPENDENCYPART_SIBL
(12,25),(12,28),0.207794 # DEPENDENCYPART_SIBL
(12,25),(12,31),0.0433423 # DEPENDENCYPART_SIBL
(12,25),(12,32),0.18283 # DEPENDENCYPART_SIBL
(12,26),(12,27),-0.047319 # DEPENDENCYPART_SIBL
(12,26),(12,28),-0.0357328 # DEPENDENCYPART_SIBL
(12,26),(12,31),-0.032101 # DEPENDENCYPART_SIBL
(12,26),(12,32),-0.0731534 # DEPENDENCYPART_SIBL
(12,27),(12,28),-0.0967352 # DEPENDENCYPART_SIBL
(12,27),(12,31),0.0231346 # DEPENDENCYPART_SIBL
(12,27),(12,32),-0.00418281 # DEPENDENCYPART_SIBL
(12,28),(12,31),-0.0622274 # DEPENDENCYPART_SIBL
(12,28),(12,32),-0.0793449 # DEPENDENCYPART_SIBL
(12,31),(12,32),0.601036 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.476747 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.0109054 # DEPENDENCYPART_SIBL
(13,14),(13,17),0.0133387 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.0845643 # DEPENDENCYPART_SIBL
(13,14),(13,22),-0.444829 # DEPENDENCYPART_SIBL
(13,14),(13,23),-0.495987 # DEPENDENCYPART_SIBL
(13,14),(13,27),-0.524127 # DEPENDENCYPART_SIBL
(13,14),(13,31),-0.0350767 # DEPENDENCYPART_SIBL
(13,15),(13,16),0.0400946 # DEPENDENCYPART_SIBL
(13,15),(13,17),0.042936 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.0878094 # DEPENDENCYPART_SIBL
(13,15),(13,22),-0.833426 # DEPENDENCYPART_SIBL
(13,15),(13,23),-0.631081 # DEPENDENCYPART_SIBL
(13,15),(13,27),-0.678368 # DEPENDENCYPART_SIBL
(13,15),(13,31),0.0355644 # DEPENDENCYPART_SIBL
(13,16),(13,17),0.969357 # DEPENDENCYPART_SIBL
(13,16),(13,18),0.611419 # DEPENDENCYPART_SIBL
(13,16),(13,22),0.00188782 # DEPENDENCYPART_SIBL
(13,16),(13,23),0.130296 # DEPENDENCYPART_SIBL
(13,16),(13,27),0.128089 # DEPENDENCYPART_SIBL
(13,16),(13,31),0.231532 # DEPENDENCYPART_SIBL
(13,17),(13,18),-0.00273764 # DEPENDENCYPART_SIBL
(13,17),(13,22),-0.11197 # DEPENDENCYPART_SIBL
(13,17),(13,23),-0.329206 # DEPENDENCYPART_SIBL
(13,17),(13,27),-0.34061 # DEPENDENCYPART_SIBL
(13,17),(13,31),0.180663 # DEPENDENCYPART_SIBL
(13,18),(13,22),-0.263498 # DEPENDENCYPART_SIBL
(13,18),(13,23),-0.455721 # DEPENDENCYPART_SIBL
(13,18),(13,27),-0.446155 # DEPENDENCYPART_SIBL
(13,18),(13,31),0.0697677 # DEPENDENCYPART_SIBL
(13,22),(13,23),-0.584067 # DEPENDENCYPART_SIBL
(13,22),(13,27),-0.724429 # DEPENDENCYPART_SIBL
(13,22),(13,31),0.00377438 # DEPENDENCYPART_SIBL
(13,23),(13,27),-0.799908 # DEPENDENCYPART_SIBL
(13,23),(13,31),0.260507 # DEPENDENCYPART_SIBL
(13,27),(13,31),0.172604 # DEPENDENCYPART_SIBL
(15,6),(15,9),0.0314026 # DEPENDENCYPART_SIBL
(15,6),(15,10),0.0488113 # DEPENDENCYPART_SIBL
(15,6),(15,13),-0.152758 # DEPENDENCYPART_SIBL
(15,6),(15,14),-0.0402037 # DEPENDENCYPART_SIBL
(15,6),(15,16),-0.0245516 # DEPENDENCYPART_SIBL
(15,6),(15,17),0.0102736 # DEPENDENCYPART_SIBL
(15,6),(15,18),-0.00430571 # DEPENDENCYPART_SIBL
(15,6),(15,19),-0.0356571 # DEPENDENCYPART_SIBL
(15,6),(15,22),3.101e-05 # DEPENDENCYPART_SIBL
(15,6),(15,23),0.0177908 # DEPENDENCYPART_SIBL
(15,6),(15,25),-0.0245516 # DEPENDENCYPART_SIBL
(15,6),(15,30),0.0195596 # DEPENDENCYPART_SIBL
(15,9),(15,10),0.124847 # DEPENDENCYPART_SIBL
(15,9),(15,13),0.00186847 # DEPENDENCYPART_SIBL
(15,9),(15,14),0.0461299 # DEPENDENCYPART_SIBL
(15,9),(15,16),0.0209279 # DEPENDENCYPART_SIBL
(15,9),(15,17),-0.022711 # DEPENDENCYPART_SIBL
(15,9),(15,18),-0.00352584 # DEPENDENCYPART_SIBL
(15,9),(15,19),-0.0702139 # DEPENDENCYPART_SIBL
(15,9),(15,22),-0.0638448 # DEPENDENCYPART_SIBL
(15,9),(15,23),-0.0171509 # DEPENDENCYPART_SIBL
(15,9),(15,25),0.0209279 # DEPENDENCYPART_SIBL
(15,9),(15,30),-0.0171409 # DEPENDENCYPART_SIBL
(15,10),(15,13),0.00177267 # DEPENDENCYPART_SIBL
(15,10),(15,14),-0.0458955 # DEPENDENCYPART_SIBL
(15,10),(15,16),-0.00161939 # DEPENDENCYPART_SIBL
(15,10),(15,17),-0.0174373 # DEPENDENCYPART_SIBL
(15,10),(15,18),-0.0105067 # DEPENDENCYPART_SIBL
(15,10),(15,19),-0.0392551 # DEPENDENCYPART_SIBL
(15,10),(15,22),-0.0312619 # DEPENDENCYPART_SIBL
(15,10),(15,23),-0.0484753 # DEPENDENCYPART_SIBL
(15,10),(15,25),-0.00161939 # DEPENDENCYPART_SIBL
(15,10),(15,30),-0.0108812 # DEPENDENCYPART_SIBL
(15,13),(15,14),-0.0872984 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.0813263 # DEPENDENCYPART_SIBL
(15,13),(15,17),-0.053022 # DEPENDENCYPART_SIBL
