# _root_ `` We must do more to help the Japanese here in Baja if we want them to invest elsewhere , '' says Mr. Ruffo , the governor-elect of the National Action Party and himself a succesful businessman .
#goldHeads=22,3,22,3,4,7,4,9,7,7,10,11,15,15,4,18,18,15,18,22,22,0,24,22,24,27,33,27,32,32,32,28,24,33,37,37,34,22,
#predictedHeads=22,3,22,3,4,7,4,9,7,7,7,11,15,15,7,18,18,15,18,22,22,0,24,22,24,27,24,27,32,32,32,33,28,37,37,37,33,22,
(0,4),(4,10),(4,17),-0.00446742 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,10),(4,18),-0.0482658 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,10),(4,19),-0.00618747 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,10),(4,20),-0.0455058 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,10),(4,21),-0.0235794 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,10),(4,22),-0.0517772 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,10),(4,25),-0.0455058 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,10),(4,33),-0.0645634 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,10),(4,38),0.07578 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,10),(4,39),-0.0304647 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,11),(4,12),-0.00345167 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,11),(4,13),-0.0173739 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,11),(4,15),-0.0505845 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,11),(4,17),0.0142899 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,11),(4,18),-0.0500137 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,11),(4,19),0.0219617 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,11),(4,20),0.0316811 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,11),(4,21),-0.0328244 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,11),(4,22),-0.0458716 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,11),(4,25),0.0316811 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,11),(4,33),-0.0680043 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,11),(4,38),0.113515 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,11),(4,39),-0.0621397 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,12),(4,13),0.0619986 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,12),(4,15),0.00630316 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,12),(4,17),-0.0295058 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,12),(4,18),0.00638446 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,12),(4,19),-0.0419367 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,12),(4,20),-0.0665886 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,12),(4,21),-0.0168224 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,12),(4,22),0.00453615 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,12),(4,25),-0.0665886 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,12),(4,33),-0.00840189 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,12),(4,38),0.0522194 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,12),(4,39),-0.0753369 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,13),(4,15),-0.046164 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,13),(4,17),0.0103313 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,13),(4,18),-0.0455932 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,13),(4,19),0.0111806 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,13),(4,20),0.0329076 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,13),(4,21),-0.0299296 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,13),(4,22),-0.0414511 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,13),(4,25),0.0329076 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,13),(4,33),-0.0563889 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,13),(4,38),0.100001 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,13),(4,39),-0.0577293 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,15),(4,17),-0.0309258 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,15),(4,18),-0.0477639 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,15),(4,19),-0.0103466 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,15),(4,20),-0.0503834 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,15),(4,21),-0.0627203 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,15),(4,22),-0.0521113 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,15),(4,25),-0.0503834 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,15),(4,33),-0.0317764 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,15),(4,38),-0.0251437 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,15),(4,39),-0.0564675 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,17),(4,18),-0.0393165 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,17),(4,19),-0.0334748 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,17),(4,20),0.0625989 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,17),(4,21),-0.0239677 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,17),(4,22),-0.0393202 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,17),(4,25),0.0625989 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,17),(4,33),-0.0279168 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,17),(4,38),0.0211448 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,17),(4,39),-0.051534 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,18),(4,19),-0.0103466 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,18),(4,20),-0.0537568 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,18),(4,21),-0.0627203 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,18),(4,22),-0.0521113 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,18),(4,25),-0.0537568 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,18),(4,33),-0.0327638 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,18),(4,38),-0.0211467 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,18),(4,39),-0.0564579 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,19),(4,20),-0.0451771 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,19),(4,21),-0.0235794 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,19),(4,22),-0.0537175 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,19),(4,25),-0.0451771 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,19),(4,33),-0.0643719 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,19),(4,38),0.0757579 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,19),(4,39),-0.0304645 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,20),(4,21),-0.0687749 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,20),(4,22),-0.0185386 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,20),(4,25),-0.0438422 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,20),(4,33),0.00785693 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,20),(4,38),-0.0136738 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,20),(4,39),-0.0566999 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,21),(4,22),-0.0825411 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,21),(4,25),-0.027645 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,21),(4,33),-0.0425957 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,21),(4,38),-0.0482781 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,21),(4,39),0.0372725 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,22),(4,25),-0.0560732 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,22),(4,33),-0.0317774 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,22),(4,38),-0.032709 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,22),(4,39),-0.0566549 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,25),(4,33),0.00785693 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,25),(4,38),-0.0136738 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,25),(4,39),-0.0566999 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,33),(4,38),1.16859 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,33),(4,39),-0.0889222 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,38),(4,39),0.183102 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,4),(4,3),0.0372393 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,2),0.198347 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,1),0.0566949 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,-1),-0.627414 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,4),(4,3),(4,2),0.0937113 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,3),(4,1),0.126114 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,3),(4,-1),-0.0602948 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,2),(4,1),0.063505 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,2),(4,-1),-0.117864 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,1),(4,-1),-0.0675265 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,22),(22,23),-0.0305145 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,24),-0.0302761 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,25),0.00992492 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,27),-0.0302321 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,28),-0.178124 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,33),0.096985 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,38),-0.0932914 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,39),-0.197173 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,22),(22,23),(22,24),0.0203209 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,23),(22,25),-0.0802595 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,23),(22,27),0.0203292 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,23),(22,28),0.052561 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,23),(22,33),-0.00827059 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,23),(22,38),0.0694454 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,23),(22,39),-0.0760753 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,24),(22,25),-0.0802385 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,24),(22,27),0.0203309 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,24),(22,28),0.0525621 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,24),(22,33),-0.00827059 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,24),(22,38),0.0694556 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,24),(22,39),-0.0758824 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,25),(22,27),-0.105057 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,25),(22,28),0.0938403 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,25),(22,33),0.00560368 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,25),(22,38),-0.015457 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,25),(22,39),-0.0589072 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,27),(22,28),0.0525621 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,27),(22,33),-0.00827059 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,27),(22,38),0.0694556 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,27),(22,39),-0.0758824 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,28),(22,33),-0.0573294 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,28),(22,38),0.102743 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,28),(22,39),-0.0579596 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,33),(22,38),1.1805 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,33),(22,39),-0.0895062 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,38),(22,39),0.212267 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,22),(22,21),0.0887535 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,20),0.120758 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,19),0.177424 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,18),0.0731189 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,17),-0.0552013 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,16),0.194437 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,15),0.0731006 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,14),0.205843 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,13),0.164276 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,12),0.334099 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,11),0.158761 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,10),0.172061 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,7),0.0725657 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,4),0.0675811 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,3),0.0338474 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,1),0.0548422 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,-1),-0.631021 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,22),(22,21),(22,20),0.140216 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,21),(22,19),0.105752 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,21),(22,18),0.141714 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,21),(22,17),0.10954 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,21),(22,16),0.108738 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,21),(22,15),0.141714 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,21),(22,14),0.108738 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,21),(22,13),0.115028 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,21),(22,12),0.134561 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,21),(22,11),0.11269 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,21),(22,10),0.105752 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,21),(22,7),0.141714 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,21),(22,4),0.13952 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,21),(22,3),0.104409 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,21),(22,1),0.0952652 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,21),(22,-1),-0.148507 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,20),(22,19),0.150632 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,20),(22,18),0.0852938 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,20),(22,17),0.172433 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,20),(22,16),0.103886 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,20),(22,15),0.0837451 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,20),(22,14),0.104291 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,20),(22,13),0.295206 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,20),(22,12),0.088057 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,20),(22,11),0.309276 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,20),(22,10),0.154326 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,20),(22,7),0.0861569 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,20),(22,4),0.0838038 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,20),(22,3),0.163752 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,20),(22,1),0.0957216 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,20),(22,-1),-0.356295 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,19),(22,18),0.102337 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,19),(22,17),0.107171 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,19),(22,16),0.1249 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,19),(22,15),0.102337 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,19),(22,14),0.125281 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,19),(22,13),0.106162 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,19),(22,12),0.152999 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,19),(22,11),0.10598 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,19),(22,10),0.0933971 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,19),(22,7),0.102337 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,19),(22,4),0.0993603 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,19),(22,3),0.09586 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,19),(22,1),0.107678 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,19),(22,-1),-0.176586 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,18),(22,17),0.106725 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,18),(22,16),0.0687117 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,18),(22,15),0.103794 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,18),(22,14),0.0727844 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,18),(22,13),0.0981378 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,18),(22,12),0.0537144 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,18),(22,11),0.0900532 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,18),(22,10),0.122058 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,18),(22,7),0.103794 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,18),(22,4),0.103765 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,18),(22,3),0.107829 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,18),(22,1),0.209319 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,18),(22,-1),-0.0456889 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,17),(22,16),0.10954 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,17),(22,15),0.109098 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,17),(22,14),0.10954 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,17),(22,13),0.0995492 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,17),(22,12),0.0875777 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,17),(22,11),0.0991639 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,17),(22,10),0.103643 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,17),(22,7),0.109098 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,17),(22,4),0.109098 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,17),(22,3),0.109539 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,17),(22,1),0.128914 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,17),(22,-1),-0.217516 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,16),(22,15),0.11966 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,16),(22,14),0.109338 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,16),(22,13),0.0721667 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,16),(22,12),0.11236 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,16),(22,11),0.0801894 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,16),(22,10),0.128333 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,16),(22,7),0.11966 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,16),(22,4),0.127259 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,16),(22,3),0.134636 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,16),(22,1),0.0663666 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,16),(22,-1),-0.125297 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,15),(22,14),0.0727844 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,15),(22,13),0.0981378 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,15),(22,12),0.0537144 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,15),(22,11),0.0900532 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,15),(22,10),0.122058 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,15),(22,7),0.103794 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,15),(22,4),0.103765 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,15),(22,3),0.107829 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,15),(22,1),0.205965 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,15),(22,-1),-0.0390783 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,14),(22,13),0.0791579 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,14),(22,12),0.112048 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,14),(22,11),0.0871806 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,14),(22,10),0.127776 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,14),(22,7),0.122491 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,14),(22,4),0.13009 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,14),(22,3),0.133429 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,14),(22,1),0.0633236 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,14),(22,-1),-0.112455 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,13),(22,12),0.16289 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,13),(22,11),0.120348 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,13),(22,10),0.058387 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,13),(22,7),0.100652 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,13),(22,4),0.100652 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,13),(22,3),0.109166 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,13),(22,1),0.078925 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,13),(22,-1),-0.275169 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,12),(22,11),-0.0421364 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,12),(22,10),0.109638 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,12),(22,7),0.133608 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,12),(22,4),0.132508 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,12),(22,3),0.113549 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,12),(22,1),0.12853 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,12),(22,-1),0.0621071 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,11),(22,10),0.0481371 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,11),(22,7),0.0999048 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,11),(22,4),0.0999048 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,11),(22,3),0.109166 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,11),(22,1),0.0794983 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,11),(22,-1),-0.204737 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,10),(22,7),0.102297 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,10),(22,4),0.0993197 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,10),(22,3),0.09586 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,10),(22,1),0.107678 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,10),(22,-1),-0.171579 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,7),(22,4),0.103765 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,7),(22,3),0.107829 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,7),(22,1),0.209319 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,7),(22,-1),-0.045379 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,4),(22,3),0.107595 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,4),(22,1),0.198603 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,4),(22,-1),-0.0402625 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,3),(22,1),0.131165 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,3),(22,-1),-0.0555638 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,1),(22,-1),-0.0679291 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,4),(4,5),-0.0217349 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,6),-0.0207085 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,7),-0.0212371 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,8),-0.0216329 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,9),-0.0250097 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,10),-0.0108027 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,11),-0.0300259 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,12),-0.0250097 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,13),-0.0296312 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,15),-0.0212371 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
