# _root_ Since the recent deterioration of the junk-bond market , at least two other junk issuers have said they plan to scale back planned high-yield offerings , and several issues have been postponed .
#goldHeads=16,4,4,1,4,8,8,5,16,15,10,10,15,15,16,0,16,19,27,21,19,21,25,25,21,27,17,29,30,27,30,31,16,
#predictedHeads=16,4,4,1,4,8,8,5,4,15,10,10,15,15,16,27,16,19,17,21,19,21,25,25,21,27,0,29,30,27,30,31,27,
(8,14),(14,13),(14,-1),-0.195618 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,14),(14,12),(14,11),0.10531 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,12),(14,10),0.104026 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,12),(14,-1),-0.139758 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,14),(14,11),(14,10),0.113554 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,11),(14,-1),-0.193912 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,14),(14,10),(14,-1),-0.11685 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,15),(15,16),0.0508916 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,17),0.0522713 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,19),0.0526473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,34),0.13086 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,15),(15,16),(15,17),-0.0239104 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,16),(15,19),-0.0239104 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,16),(15,34),-0.00270287 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,17),(15,19),-0.0237873 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,17),(15,34),0.0039983 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,19),(15,34),0.00413609 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,15),(15,14),0.16198 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,13),0.0682099 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,12),0.174855 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,10),0.146147 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,8),0.151472 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,7),-0.156076 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,6),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,5),-0.158083 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,1),-0.155566 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,-1),-0.0177861 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,15),(15,14),(15,13),0.133666 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,14),(15,12),0.102058 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,14),(15,10),0.110205 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,14),(15,8),0.0870509 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,14),(15,7),-0.145195 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,14),(15,6),-0.145039 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,14),(15,5),-0.14479 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,14),(15,1),-0.14479 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,14),(15,-1),-0.177951 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,13),(15,12),0.0996062 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,13),(15,10),0.113712 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,13),(15,8),0.121901 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,13),(15,7),-0.144705 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,13),(15,6),-0.144709 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,13),(15,5),-0.144704 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,13),(15,1),-0.144704 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,13),(15,-1),-0.195618 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,12),(15,10),0.104026 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,12),(15,8),0.111568 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,12),(15,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,12),(15,6),-0.144951 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,12),(15,5),-0.144706 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,12),(15,1),-0.144705 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,12),(15,-1),-0.139758 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,10),(15,8),0.104273 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,10),(15,7),-0.14498 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,10),(15,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,10),(15,5),-0.146551 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,10),(15,1),-0.146151 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,10),(15,-1),-0.118038 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,8),(15,7),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,8),(15,6),-0.145039 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,8),(15,5),-0.14479 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,8),(15,1),-0.14479 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,8),(15,-1),-0.181982 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,15),(15,7),(15,6),-0.145039 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,7),(15,5),-0.14479 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,7),(15,1),-0.14479 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,7),(15,-1),-0.17788 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,6),(15,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,6),(15,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,6),(15,-1),-0.159627 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,5),(15,1),-0.147024 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,5),(15,-1),-0.0843673 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,1),(15,-1),-0.115276 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,16),(16,17),-0.034509 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,18),-0.0382379 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,19),-0.037777 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,20),-0.0363899 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,21),-0.0349589 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,23),0.00401879 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,25),-0.0239527 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,26),-0.041096 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,27),0.0149879 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,30),-0.0386758 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,33),-0.0230578 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,34),0.0607459 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,16),(16,17),(16,18),-0.0195513 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,17),(16,19),-0.0223416 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,17),(16,20),-0.0249704 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,17),(16,21),-0.0223416 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,17),(16,23),-0.0198316 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,17),(16,25),-0.0220549 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,17),(16,26),-0.0187075 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,17),(16,27),-0.0153817 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,17),(16,30),-0.0223827 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,17),(16,33),-0.0235343 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,17),(16,34),-0.00705784 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,18),(16,19),-0.0126365 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,18),(16,20),-0.0211232 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,18),(16,21),-0.0126365 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,18),(16,23),-0.020921 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,18),(16,25),-0.020732 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,18),(16,26),-0.019551 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,18),(16,27),-0.0141006 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,18),(16,30),-0.0126365 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,18),(16,33),-0.0194445 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,18),(16,34),-0.0559591 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,19),(16,20),-0.0252937 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,19),(16,21),-0.0237744 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,19),(16,23),-0.0198316 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,19),(16,25),-0.022052 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,19),(16,26),-0.0192767 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,19),(16,27),-0.0153817 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,19),(16,30),-0.0238156 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,19),(16,33),-0.0235343 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,19),(16,34),-0.00763844 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,20),(16,21),-0.0270055 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,20),(16,23),-0.0205568 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,20),(16,25),-0.0264166 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,20),(16,26),-0.0298917 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,20),(16,27),-0.0198873 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,20),(16,30),-0.0275711 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,20),(16,33),-0.0201925 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,20),(16,34),-0.0460683 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,21),(16,23),-0.0198316 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,21),(16,25),-0.022052 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,21),(16,26),-0.0187038 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,21),(16,27),-0.0153817 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,21),(16,30),-0.0223827 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,21),(16,33),-0.0235343 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,21),(16,34),-0.00883288 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,23),(16,25),-0.0133944 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,23),(16,26),-0.0132115 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,23),(16,27),-0.0132855 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,23),(16,30),-0.0247885 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,23),(16,33),-0.0243432 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,23),(16,34),0.0184755 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,25),(16,26),-0.0351231 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,25),(16,27),-0.0421181 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,25),(16,30),-0.0359277 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,25),(16,33),-0.0253691 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,25),(16,34),-0.0254248 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,26),(16,27),-0.0239514 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,26),(16,30),-0.01699 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,26),(16,33),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,26),(16,34),-0.0253015 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,27),(16,30),0.30277 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,27),(16,33),0.155263 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,27),(16,34),-0.0281171 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,30),(16,33),-0.0235343 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,30),(16,34),-0.0160844 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,33),(16,34),-0.0609297 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,16),(16,15),0.133424 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,14),0.133424 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,13),0.0443858 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,12),0.0589278 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,11),0.0449571 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,10),0.168716 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,9),0.113772 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,8),0.13077 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,7),-0.193425 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,6),-0.145127 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,5),-0.175041 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,4),-0.193425 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,3),-0.150693 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,1),-0.172106 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,-1),-0.0388868 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,16),(16,15),(16,14),0.0936437 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,13),0.105269 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,12),0.109459 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,11),0.105535 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,10),0.0817099 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,9),0.0643419 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,8),0.0935076 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,7),-0.144891 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,6),-0.145141 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,5),-0.145537 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,4),-0.144891 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,3),-0.144711 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,1),-0.145538 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,-1),-0.0643404 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,14),(16,13),0.105269 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,14),(16,12),0.109459 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,14),(16,11),0.105535 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,14),(16,10),0.0817099 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,14),(16,9),0.0643419 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,14),(16,8),0.0935076 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,14),(16,7),-0.144891 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,14),(16,6),-0.145141 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,14),(16,5),-0.145537 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,14),(16,4),-0.144891 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,14),(16,3),-0.144711 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,14),(16,1),-0.145538 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,14),(16,-1),-0.0643405 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,13),(16,12),0.109387 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,13),(16,11),0.108597 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,13),(16,10),0.11024 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,13),(16,9),0.113914 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,13),(16,8),0.108635 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,13),(16,7),-0.144961 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,13),(16,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,13),(16,5),-0.144877 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,13),(16,4),-0.144961 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,13),(16,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,13),(16,1),-0.144877 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,13),(16,-1),-0.227115 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,12),(16,11),0.109484 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,12),(16,10),0.10755 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,12),(16,9),0.109102 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,12),(16,8),0.108846 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,12),(16,7),-0.14471 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,12),(16,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,12),(16,5),-0.144782 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,12),(16,4),-0.14471 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,12),(16,3),-0.144704 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,12),(16,1),-0.144782 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,12),(16,-1),-0.19641 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,11),(16,10),0.109964 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,11),(16,9),0.113914 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,11),(16,8),0.108635 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,11),(16,7),-0.144961 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,11),(16,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,11),(16,5),-0.144877 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,11),(16,4),-0.144961 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,11),(16,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,11),(16,1),-0.144877 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,11),(16,-1),-0.226318 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,10),(16,9),0.155937 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,10),(16,8),0.101348 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,10),(16,7),-0.144709 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,10),(16,6),-0.145129 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,10),(16,5),-0.145076 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,10),(16,4),-0.144709 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,10),(16,3),-0.144734 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,10),(16,1),-0.145076 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,10),(16,-1),-0.241417 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,9),(16,8),0.119124 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,9),(16,7),-0.144819 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,9),(16,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,9),(16,5),-0.145222 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,9),(16,4),-0.144819 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,9),(16,3),-0.144776 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,9),(16,1),-0.145222 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,9),(16,-1),-0.208911 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,8),(16,7),-0.144891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,8),(16,6),-0.145141 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,8),(16,5),-0.145598 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,8),(16,4),-0.144891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,8),(16,3),-0.144711 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,8),(16,1),-0.145599 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,8),(16,-1),-0.0608052 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,16),(16,7),(16,6),-0.145141 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,7),(16,5),-0.145537 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,7),(16,4),-0.144891 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,7),(16,3),-0.144711 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,7),(16,1),-0.145538 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,7),(16,-1),-0.0643412 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,6),(16,5),-0.144715 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,6),(16,4),-0.144878 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,6),(16,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,6),(16,1),-0.144715 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,6),(16,-1),-0.167131 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,5),(16,4),-0.144709 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,5),(16,3),-0.144734 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,5),(16,1),-0.145076 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,5),(16,-1),-0.222348 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,4),(16,3),-0.144711 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,4),(16,1),-0.145538 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,4),(16,-1),-0.0644277 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,3),(16,1),-0.144877 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,3),(16,-1),-0.226013 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,1),(16,-1),-0.22509 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,26),(26,26),(26,34),-0.046784 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,26),(26,26),(26,-1),-0.187215 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,33),(33,33),(33,34),0.00122169 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,33),(33,33),(33,32),0.107451 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,33),(33,33),(33,31),0.107451 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,33),(33,33),(33,-1),-0.115359 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,33),(33,32),(33,31),0.10954 # DEPENDENCYPART_GRANDSIBL
(8,33),(33,32),(33,-1),-0.146792 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,33),(33,31),(33,-1),-0.146792 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,5),(5,6),0.0860402 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,5),(5,7),0.135854 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,5),(5,8),0.135851 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,5),(5,9),0.114874 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,5),(5,15),-0.163268 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,5),(5,34),-0.0330164 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,5),(5,6),(5,7),0.10954 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,6),(5,8),0.10954 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,6),(5,9),0.109537 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,6),(5,15),-0.144702 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,6),(5,34),-0.179145 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,7),(5,8),0.109534 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,7),(5,9),0.109396 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,7),(5,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,7),(5,34),-0.122521 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,8),(5,9),0.109396 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,8),(5,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,8),(5,34),-0.122528 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,9),(5,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,9),(5,34),-0.136127 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,15),(5,34),-0.122521 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,5),(5,3),0.0057272 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,5),(5,-1),0.108188 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,5),(5,3),(5,-1),-0.0127193 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
