# _root_ The average plunged some 600 points , or 1.7 % , in the first 20 minutes of trading .
#goldHeads=2,3,0,6,4,3,6,6,10,8,6,3,16,16,16,12,16,17,3,
#predictedHeads=2,3,0,6,4,3,6,6,10,8,6,3,16,16,16,12,16,17,3,
(6,1),(6,16),-0.0342467 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.456853 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.10701 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0755141 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.369317 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0545162 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0601664 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0843067 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0151016 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0623402 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.0601664 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0307173 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.00237932 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.00107817 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.0375355 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.0640392 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.108537 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0217365 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0402623 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0375695 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0187693 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0264788 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0402623 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0591186 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.03101 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0281888 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.00347945 # DEPENDENCYPART_SIBL
(6,3),(6,19),0.00386649 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.132256 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.17083 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.192139 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0616338 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.095233 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.17083 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.0656922 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.00512112 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0655404 # DEPENDENCYPART_SIBL
(6,4),(6,17),0.15471 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.031444 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.107057 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.124249 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0247893 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0122182 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.107057 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.283337 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.061116 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.079124 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.167575 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.101122 # DEPENDENCYPART_SIBL
(6,7),(6,8),1.23941 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.311479 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.385096 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0887232 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.155295 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.29541 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.650276 # DEPENDENCYPART_SIBL
(6,7),(6,17),0.0650908 # DEPENDENCYPART_SIBL
(6,7),(6,19),-0.0843929 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0429119 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0200798 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.222645 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.126413 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.0186532 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.0834996 # DEPENDENCYPART_SIBL
(6,8),(6,17),0.269962 # DEPENDENCYPART_SIBL
(6,8),(6,19),-0.138358 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.00103418 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.00750836 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.00414595 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.0755479 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.0791331 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.0121254 # DEPENDENCYPART_SIBL
(6,9),(6,19),0.0112456 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.00263906 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.0265586 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.0354317 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.146342 # DEPENDENCYPART_SIBL
(6,10),(6,17),-0.0363358 # DEPENDENCYPART_SIBL
(6,10),(6,19),0.0585473 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.155295 # DEPENDENCYPART_SIBL
(6,11),(6,14),0.29541 # DEPENDENCYPART_SIBL
(6,11),(6,16),0.650276 # DEPENDENCYPART_SIBL
(6,11),(6,17),0.0650908 # DEPENDENCYPART_SIBL
(6,11),(6,19),-0.0843929 # DEPENDENCYPART_SIBL
(6,12),(6,14),0.0129856 # DEPENDENCYPART_SIBL
(6,12),(6,16),0.0616792 # DEPENDENCYPART_SIBL
(6,12),(6,17),-0.032128 # DEPENDENCYPART_SIBL
(6,12),(6,19),0.00781702 # DEPENDENCYPART_SIBL
(6,14),(6,16),-0.000845249 # DEPENDENCYPART_SIBL
(6,14),(6,17),0.0960009 # DEPENDENCYPART_SIBL
(6,14),(6,19),0.0248092 # DEPENDENCYPART_SIBL
(6,16),(6,17),-0.0293961 # DEPENDENCYPART_SIBL
(6,16),(6,19),0.0224917 # DEPENDENCYPART_SIBL
(6,17),(6,19),-0.0452314 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.00362705 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0583393 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0624667 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0540417 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0584965 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.0555053 # DEPENDENCYPART_SIBL
(8,7),(8,16),0.00421083 # DEPENDENCYPART_SIBL
(8,7),(8,17),-0.100458 # DEPENDENCYPART_SIBL
(8,7),(8,19),0.00882871 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.333287 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.24003 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.226166 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.269777 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.456909 # DEPENDENCYPART_SIBL
(8,9),(8,17),-0.216657 # DEPENDENCYPART_SIBL
(8,9),(8,19),-0.120779 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.233143 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0207213 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.215237 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.496744 # DEPENDENCYPART_SIBL
(8,10),(8,17),-0.191509 # DEPENDENCYPART_SIBL
(8,10),(8,19),-0.095989 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.159336 # DEPENDENCYPART_SIBL
(8,11),(8,14),0.153187 # DEPENDENCYPART_SIBL
(8,11),(8,16),0.0787285 # DEPENDENCYPART_SIBL
(8,11),(8,17),-0.0540883 # DEPENDENCYPART_SIBL
(8,11),(8,19),0.0892096 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.141936 # DEPENDENCYPART_SIBL
(8,12),(8,16),-0.187846 # DEPENDENCYPART_SIBL
(8,12),(8,17),-0.247271 # DEPENDENCYPART_SIBL
(8,12),(8,19),-0.0323249 # DEPENDENCYPART_SIBL
(8,14),(8,16),-0.412652 # DEPENDENCYPART_SIBL
(8,14),(8,17),-0.170575 # DEPENDENCYPART_SIBL
(8,14),(8,19),-0.102802 # DEPENDENCYPART_SIBL
(8,16),(8,17),-0.210566 # DEPENDENCYPART_SIBL
(8,16),(8,19),-0.0596489 # DEPENDENCYPART_SIBL
(8,17),(8,19),-0.0391877 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.126642 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.380772 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.60167 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.422264 # DEPENDENCYPART_SIBL
(9,5),(9,11),0.0306612 # DEPENDENCYPART_SIBL
(9,5),(9,12),0.0238512 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.134747 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.246159 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.111456 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.0586573 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.0650671 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.923904 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.0162865 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.0453767 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.00463559 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.058501 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.0338327 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0403843 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.0721063 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.18094 # DEPENDENCYPART_SIBL
(9,11),(9,12),0.20378 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.403001 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.1188 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.0894785 # DEPENDENCYPART_SIBL
(10,2),(10,7),-0.00649707 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.0252857 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.129949 # DEPENDENCYPART_SIBL
(10,2),(10,11),-0.013579 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.0328805 # DEPENDENCYPART_SIBL
(10,2),(10,14),-0.0634094 # DEPENDENCYPART_SIBL
(10,2),(10,15),-0.0129593 # DEPENDENCYPART_SIBL
(10,2),(10,16),-0.038143 # DEPENDENCYPART_SIBL
(10,2),(10,17),0.090103 # DEPENDENCYPART_SIBL
(10,2),(10,18),-0.129754 # DEPENDENCYPART_SIBL
(10,2),(10,19),-0.107482 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.427578 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.161003 # DEPENDENCYPART_SIBL
(10,4),(10,7),0.0313393 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.221612 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.442426 # DEPENDENCYPART_SIBL
(10,4),(10,11),0.0883974 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.0314431 # DEPENDENCYPART_SIBL
(10,4),(10,14),-0.0563166 # DEPENDENCYPART_SIBL
(10,4),(10,15),0.0304732 # DEPENDENCYPART_SIBL
(10,4),(10,16),-0.0985486 # DEPENDENCYPART_SIBL
(10,4),(10,17),0.219988 # DEPENDENCYPART_SIBL
(10,4),(10,18),-0.0998432 # DEPENDENCYPART_SIBL
(10,4),(10,19),0.0973735 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.146083 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.0694389 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.274058 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.0336845 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.0260625 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0147147 # DEPENDENCYPART_SIBL
(10,5),(10,14),0.0199349 # DEPENDENCYPART_SIBL
(10,5),(10,15),0.14012 # DEPENDENCYPART_SIBL
(10,5),(10,16),0.0142761 # DEPENDENCYPART_SIBL
(10,5),(10,17),0.0476346 # DEPENDENCYPART_SIBL
(10,5),(10,18),-0.0592696 # DEPENDENCYPART_SIBL
(10,5),(10,19),0.0135579 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.042515 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.0395983 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.196975 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.00943253 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.119167 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.0532115 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.0222319 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.0685051 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.0298517 # DEPENDENCYPART_SIBL
(10,6),(10,18),-0.0602608 # DEPENDENCYPART_SIBL
(10,6),(10,19),0.0488394 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.632485 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.0416254 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.127688 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0920111 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.00889507 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.00745138 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.0300991 # DEPENDENCYPART_SIBL
(10,7),(10,17),-0.0658402 # DEPENDENCYPART_SIBL
(10,7),(10,18),-0.043397 # DEPENDENCYPART_SIBL
(10,7),(10,19),0.0835784 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.057533 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.207238 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.081422 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.0481572 # DEPENDENCYPART_SIBL
(10,8),(10,15),0.0570441 # DEPENDENCYPART_SIBL
(10,8),(10,16),0.0436769 # DEPENDENCYPART_SIBL
(10,8),(10,17),0.0310365 # DEPENDENCYPART_SIBL
(10,8),(10,18),0.0281111 # DEPENDENCYPART_SIBL
(10,8),(10,19),0.211662 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.0526872 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0555543 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.0109147 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.111886 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.0150094 # DEPENDENCYPART_SIBL
(10,9),(10,17),0.0122979 # DEPENDENCYPART_SIBL
(10,9),(10,18),-0.0892427 # DEPENDENCYPART_SIBL
(10,9),(10,19),-0.0145078 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.187408 # DEPENDENCYPART_SIBL
(10,11),(10,14),0.467035 # DEPENDENCYPART_SIBL
(10,11),(10,15),0.502076 # DEPENDENCYPART_SIBL
(10,11),(10,16),0.704487 # DEPENDENCYPART_SIBL
(10,11),(10,17),0.426652 # DEPENDENCYPART_SIBL
(10,11),(10,18),0.722365 # DEPENDENCYPART_SIBL
(10,11),(10,19),0.124336 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.115803 # DEPENDENCYPART_SIBL
(10,12),(10,15),0.28255 # DEPENDENCYPART_SIBL
(10,12),(10,16),0.173515 # DEPENDENCYPART_SIBL
(10,12),(10,17),0.131263 # DEPENDENCYPART_SIBL
(10,12),(10,18),0.259196 # DEPENDENCYPART_SIBL
(10,12),(10,19),0.0977268 # DEPENDENCYPART_SIBL
(10,14),(10,15),0.0407319 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.10538 # DEPENDENCYPART_SIBL
(10,14),(10,17),0.0494371 # DEPENDENCYPART_SIBL
(10,14),(10,18),-0.0666599 # DEPENDENCYPART_SIBL
(10,14),(10,19),-0.0262438 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.218627 # DEPENDENCYPART_SIBL
(10,15),(10,17),-0.0327343 # DEPENDENCYPART_SIBL
(10,15),(10,18),-0.0873707 # DEPENDENCYPART_SIBL
(10,15),(10,19),-0.109212 # DEPENDENCYPART_SIBL
(10,16),(10,17),0.00969088 # DEPENDENCYPART_SIBL
(10,16),(10,18),-0.105426 # DEPENDENCYPART_SIBL
(10,16),(10,19),0.0141966 # DEPENDENCYPART_SIBL
(10,17),(10,18),0.175922 # DEPENDENCYPART_SIBL
(10,17),(10,19),0.0388245 # DEPENDENCYPART_SIBL
(10,18),(10,19),0.0416702 # DEPENDENCYPART_SIBL
(12,8),(12,10),-0.0528886 # DEPENDENCYPART_SIBL
(12,8),(12,11),-0.00123069 # DEPENDENCYPART_SIBL
(12,8),(12,13),-0.0121513 # DEPENDENCYPART_SIBL
(12,8),(12,14),0.0216205 # DEPENDENCYPART_SIBL
(12,8),(12,15),0.0438469 # DEPENDENCYPART_SIBL
(12,8),(12,16),-0.0424243 # DEPENDENCYPART_SIBL
(12,8),(12,17),0.0455215 # DEPENDENCYPART_SIBL
(12,8),(12,18),0.10995 # DEPENDENCYPART_SIBL
(12,8),(12,19),0.204753 # DEPENDENCYPART_SIBL
(12,10),(12,11),-0.0397571 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.111558 # DEPENDENCYPART_SIBL
(12,10),(12,14),-0.0582264 # DEPENDENCYPART_SIBL
(12,10),(12,15),-0.0830829 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.108465 # DEPENDENCYPART_SIBL
(12,10),(12,17),-0.00481351 # DEPENDENCYPART_SIBL
(12,10),(12,18),0.00748335 # DEPENDENCYPART_SIBL
(12,10),(12,19),-0.0668698 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.0314199 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.00569257 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.0251901 # DEPENDENCYPART_SIBL
(12,11),(12,16),-0.0447662 # DEPENDENCYPART_SIBL
(12,11),(12,17),-0.0257121 # DEPENDENCYPART_SIBL
(12,11),(12,18),0.00966171 # DEPENDENCYPART_SIBL
(12,11),(12,19),0.0148219 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.242296 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.355365 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.475086 # DEPENDENCYPART_SIBL
(12,13),(12,17),-0.121973 # DEPENDENCYPART_SIBL
(12,13),(12,18),-0.72358 # DEPENDENCYPART_SIBL
(12,13),(12,19),-0.129917 # DEPENDENCYPART_SIBL
(12,14),(12,15),-0.372836 # DEPENDENCYPART_SIBL
(12,14),(12,16),-0.578856 # DEPENDENCYPART_SIBL
(12,14),(12,17),-0.0499967 # DEPENDENCYPART_SIBL
(12,14),(12,18),-0.672467 # DEPENDENCYPART_SIBL
(12,14),(12,19),0.0219719 # DEPENDENCYPART_SIBL
(12,15),(12,16),-0.845978 # DEPENDENCYPART_SIBL
(12,15),(12,17),-0.144642 # DEPENDENCYPART_SIBL
(12,15),(12,18),-0.845818 # DEPENDENCYPART_SIBL
(12,15),(12,19),-0.126156 # DEPENDENCYPART_SIBL
(12,16),(12,17),0.00988044 # DEPENDENCYPART_SIBL
(12,16),(12,18),-0.891134 # DEPENDENCYPART_SIBL
(12,16),(12,19),0.0361972 # DEPENDENCYPART_SIBL
(12,17),(12,18),-0.0653276 # DEPENDENCYPART_SIBL
(12,17),(12,19),0.0725186 # DEPENDENCYPART_SIBL
(12,18),(12,19),0.0606851 # DEPENDENCYPART_SIBL
(13,14),(13,15),0.0406924 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.0705316 # DEPENDENCYPART_SIBL
(14,13),(14,16),0.216931 # DEPENDENCYPART_SIBL
(14,13),(14,17),0.652688 # DEPENDENCYPART_SIBL
(14,13),(14,18),0.25354 # DEPENDENCYPART_SIBL
(14,13),(14,19),0.11721 # DEPENDENCYPART_SIBL
(14,15),(14,16),-0.198624 # DEPENDENCYPART_SIBL
(14,15),(14,17),-2.60203e-05 # DEPENDENCYPART_SIBL
(14,15),(14,18),-0.0627824 # DEPENDENCYPART_SIBL
(14,15),(14,19),-0.0617623 # DEPENDENCYPART_SIBL
(14,16),(14,17),0.061874 # DEPENDENCYPART_SIBL
(14,16),(14,18),-0.0641562 # DEPENDENCYPART_SIBL
(14,16),(14,19),0.10241 # DEPENDENCYPART_SIBL
(14,17),(14,18),0.200194 # DEPENDENCYPART_SIBL
(14,17),(14,19),0.0158562 # DEPENDENCYPART_SIBL
(14,18),(14,19),-0.0405808 # DEPENDENCYPART_SIBL
(15,5),(15,6),0.15199 # DEPENDENCYPART_SIBL
(15,5),(15,7),0.399789 # DEPENDENCYPART_SIBL
(15,5),(15,8),0.615131 # DEPENDENCYPART_SIBL
(15,5),(15,9),0.16919 # DEPENDENCYPART_SIBL
(15,5),(15,10),0.0346093 # DEPENDENCYPART_SIBL
(15,5),(15,12),0.502861 # DEPENDENCYPART_SIBL
(15,5),(15,13),0.0174841 # DEPENDENCYPART_SIBL
(15,5),(15,14),0.290356 # DEPENDENCYPART_SIBL
(15,5),(15,16),0.0322377 # DEPENDENCYPART_SIBL
(15,5),(15,17),0.145835 # DEPENDENCYPART_SIBL
(15,5),(15,18),0.190494 # DEPENDENCYPART_SIBL
(15,6),(15,7),0.129906 # DEPENDENCYPART_SIBL
(15,6),(15,8),0.238884 # DEPENDENCYPART_SIBL
(15,6),(15,9),-0.0175249 # DEPENDENCYPART_SIBL
(15,6),(15,10),-0.130202 # DEPENDENCYPART_SIBL
(15,6),(15,12),0.237061 # DEPENDENCYPART_SIBL
(15,6),(15,13),-0.0329448 # DEPENDENCYPART_SIBL
(15,6),(15,14),-0.0323978 # DEPENDENCYPART_SIBL
(15,6),(15,16),0.0291602 # DEPENDENCYPART_SIBL
(15,6),(15,17),0.127971 # DEPENDENCYPART_SIBL
(15,6),(15,18),0.0580635 # DEPENDENCYPART_SIBL
(15,7),(15,8),0.905526 # DEPENDENCYPART_SIBL
(15,7),(15,9),0.417763 # DEPENDENCYPART_SIBL
(15,7),(15,10),0.297882 # DEPENDENCYPART_SIBL
(15,7),(15,12),0.393977 # DEPENDENCYPART_SIBL
(15,7),(15,13),0.166127 # DEPENDENCYPART_SIBL
(15,7),(15,14),0.248932 # DEPENDENCYPART_SIBL
(15,7),(15,16),-0.0430759 # DEPENDENCYPART_SIBL
(15,7),(15,17),0.012888 # DEPENDENCYPART_SIBL
(15,7),(15,18),-0.0584812 # DEPENDENCYPART_SIBL
(15,8),(15,9),0.0803541 # DEPENDENCYPART_SIBL
(15,8),(15,10),-0.00569893 # DEPENDENCYPART_SIBL
(15,8),(15,12),0.181966 # DEPENDENCYPART_SIBL
(15,8),(15,13),0.224991 # DEPENDENCYPART_SIBL
(15,8),(15,14),0.0374006 # DEPENDENCYPART_SIBL
(15,8),(15,16),0.00450997 # DEPENDENCYPART_SIBL
(15,8),(15,17),0.0184783 # DEPENDENCYPART_SIBL
(15,8),(15,18),0.0263276 # DEPENDENCYPART_SIBL
(15,9),(15,10),0.0315684 # DEPENDENCYPART_SIBL
(15,9),(15,12),0.502854 # DEPENDENCYPART_SIBL
(15,9),(15,13),0.0174838 # DEPENDENCYPART_SIBL
(15,9),(15,14),0.2683 # DEPENDENCYPART_SIBL
(15,9),(15,16),0.033474 # DEPENDENCYPART_SIBL
(15,9),(15,17),0.158746 # DEPENDENCYPART_SIBL
(15,9),(15,18),0.191582 # DEPENDENCYPART_SIBL
(15,10),(15,12),0.242594 # DEPENDENCYPART_SIBL
(15,10),(15,13),-0.19666 # DEPENDENCYPART_SIBL
(15,10),(15,14),-0.00518043 # DEPENDENCYPART_SIBL
(15,10),(15,16),0.0431534 # DEPENDENCYPART_SIBL
(15,10),(15,17),0.0635162 # DEPENDENCYPART_SIBL
(15,10),(15,18),0.0413949 # DEPENDENCYPART_SIBL
(15,12),(15,13),-0.0383862 # DEPENDENCYPART_SIBL
(15,12),(15,14),-0.0347007 # DEPENDENCYPART_SIBL
(15,12),(15,16),0.021727 # DEPENDENCYPART_SIBL
(15,12),(15,17),0.0900793 # DEPENDENCYPART_SIBL
(15,12),(15,18),0.0563994 # DEPENDENCYPART_SIBL
(15,13),(15,14),0.397617 # DEPENDENCYPART_SIBL
(15,13),(15,16),0.0640629 # DEPENDENCYPART_SIBL
(15,13),(15,17),0.490392 # DEPENDENCYPART_SIBL
(15,13),(15,18),0.0279969 # DEPENDENCYPART_SIBL
(15,14),(15,16),-0.00211282 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.241823 # DEPENDENCYPART_SIBL
(15,14),(15,18),0.102668 # DEPENDENCYPART_SIBL
(15,16),(15,17),0.0190483 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.0618413 # DEPENDENCYPART_SIBL
(15,17),(15,18),0.215749 # DEPENDENCYPART_SIBL
(16,4),(16,6),0.103257 # DEPENDENCYPART_SIBL
(16,4),(16,7),0.3054 # DEPENDENCYPART_SIBL
(16,4),(16,9),-0.122272 # DEPENDENCYPART_SIBL
(16,4),(16,10),0.0253588 # DEPENDENCYPART_SIBL
(16,4),(16,11),0.3054 # DEPENDENCYPART_SIBL
(16,4),(16,13),-0.482626 # DEPENDENCYPART_SIBL
(16,4),(16,14),0.211809 # DEPENDENCYPART_SIBL
(16,4),(16,15),-0.0951953 # DEPENDENCYPART_SIBL
(16,4),(16,17),0.19317 # DEPENDENCYPART_SIBL
(16,4),(16,18),-0.12338 # DEPENDENCYPART_SIBL
(16,4),(16,19),-0.0319479 # DEPENDENCYPART_SIBL
(16,6),(16,7),0.197571 # DEPENDENCYPART_SIBL
(16,6),(16,9),-0.0805953 # DEPENDENCYPART_SIBL
(16,6),(16,10),-0.109104 # DEPENDENCYPART_SIBL
(16,6),(16,11),0.197571 # DEPENDENCYPART_SIBL
(16,6),(16,13),-0.197543 # DEPENDENCYPART_SIBL
(16,6),(16,14),-0.0177117 # DEPENDENCYPART_SIBL
(16,6),(16,15),-0.0158492 # DEPENDENCYPART_SIBL
(16,6),(16,17),0.00409072 # DEPENDENCYPART_SIBL
(16,6),(16,18),-0.0369753 # DEPENDENCYPART_SIBL
(16,6),(16,19),-0.0158111 # DEPENDENCYPART_SIBL
(16,7),(16,9),-0.00422663 # DEPENDENCYPART_SIBL
(16,7),(16,10),0.0633071 # DEPENDENCYPART_SIBL
(16,7),(16,11),0.340315 # DEPENDENCYPART_SIBL
(16,7),(16,13),-0.196944 # DEPENDENCYPART_SIBL
(16,7),(16,14),0.10838 # DEPENDENCYPART_SIBL
(16,7),(16,15),0.0151365 # DEPENDENCYPART_SIBL
(16,7),(16,17),-0.0165782 # DEPENDENCYPART_SIBL
(16,7),(16,18),-0.0827778 # DEPENDENCYPART_SIBL
(16,7),(16,19),0.144412 # DEPENDENCYPART_SIBL
(16,9),(16,10),-0.32118 # DEPENDENCYPART_SIBL
(16,9),(16,11),0.107721 # DEPENDENCYPART_SIBL
(16,9),(16,13),-0.326415 # DEPENDENCYPART_SIBL
(16,9),(16,14),0.224745 # DEPENDENCYPART_SIBL
(16,9),(16,15),0.0550656 # DEPENDENCYPART_SIBL
(16,9),(16,17),0.0142646 # DEPENDENCYPART_SIBL
