# _root_ `` And you did n't want me to buy earthquake insurance , '' says Mrs. Hammack , reaching across the table and gently tapping his hand .
#goldHeads=4,4,4,14,4,4,9,9,6,11,9,4,4,0,16,14,14,22,18,21,19,14,24,22,26,24,14,
#predictedHeads=14,14,4,2,4,4,9,9,6,11,9,14,14,0,16,14,16,22,18,21,19,16,24,22,26,24,14,
(14,11),(14,2),-0.900743 # DEPENDENCYPART_NEXTSIBL
(14,11),(14,1),-1.02418 # DEPENDENCYPART_NEXTSIBL
(14,11),(14,-1),-1.01205 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,9),(14,8),-0.411408 # DEPENDENCYPART_NEXTSIBL
(14,9),(14,7),-0.907951 # DEPENDENCYPART_NEXTSIBL
(14,9),(14,6),-1.33076 # DEPENDENCYPART_NEXTSIBL
(14,9),(14,5),-0.924903 # DEPENDENCYPART_NEXTSIBL
(14,9),(14,4),-1.31898 # DEPENDENCYPART_NEXTSIBL
(14,9),(14,3),-1.28055 # DEPENDENCYPART_NEXTSIBL
(14,9),(14,2),-0.852481 # DEPENDENCYPART_NEXTSIBL
(14,9),(14,1),-0.707157 # DEPENDENCYPART_NEXTSIBL
(14,9),(14,-1),-0.827048 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,8),(14,7),-0.049321 # DEPENDENCYPART_NEXTSIBL
(14,8),(14,6),-0.609074 # DEPENDENCYPART_NEXTSIBL
(14,8),(14,5),-0.68703 # DEPENDENCYPART_NEXTSIBL
(14,8),(14,4),-0.700995 # DEPENDENCYPART_NEXTSIBL
(14,8),(14,3),-0.689092 # DEPENDENCYPART_NEXTSIBL
(14,8),(14,2),-0.35549 # DEPENDENCYPART_NEXTSIBL
(14,8),(14,1),-0.696527 # DEPENDENCYPART_NEXTSIBL
(14,8),(14,-1),-0.580392 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,7),(14,6),-0.794163 # DEPENDENCYPART_NEXTSIBL
(14,7),(14,5),-0.71017 # DEPENDENCYPART_NEXTSIBL
(14,7),(14,4),-0.946438 # DEPENDENCYPART_NEXTSIBL
(14,7),(14,3),-1.08761 # DEPENDENCYPART_NEXTSIBL
(14,7),(14,2),-0.932232 # DEPENDENCYPART_NEXTSIBL
(14,7),(14,1),-1.21205 # DEPENDENCYPART_NEXTSIBL
(14,7),(14,-1),-0.519344 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,6),(14,5),-0.698403 # DEPENDENCYPART_NEXTSIBL
(14,6),(14,4),-1.42323 # DEPENDENCYPART_NEXTSIBL
(14,6),(14,3),-1.11472 # DEPENDENCYPART_NEXTSIBL
(14,6),(14,2),-0.808107 # DEPENDENCYPART_NEXTSIBL
(14,6),(14,1),-0.816599 # DEPENDENCYPART_NEXTSIBL
(14,6),(14,-1),-1.02446 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,5),(14,4),-1.1166 # DEPENDENCYPART_NEXTSIBL
(14,5),(14,3),-0.897271 # DEPENDENCYPART_NEXTSIBL
(14,5),(14,2),-0.924133 # DEPENDENCYPART_NEXTSIBL
(14,5),(14,1),-1.04849 # DEPENDENCYPART_NEXTSIBL
(14,5),(14,-1),-1.27581 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,4),(14,3),-0.767313 # DEPENDENCYPART_NEXTSIBL
(14,4),(14,2),-0.543601 # DEPENDENCYPART_NEXTSIBL
(14,4),(14,1),-0.538804 # DEPENDENCYPART_NEXTSIBL
(14,4),(14,-1),-0.766979 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,3),(14,2),-0.211161 # DEPENDENCYPART_NEXTSIBL
(14,3),(14,1),-0.667692 # DEPENDENCYPART_NEXTSIBL
(14,3),(14,-1),-0.585851 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,2),(14,1),0.176274 # DEPENDENCYPART_NEXTSIBL
(14,2),(14,-1),-0.609114 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,1),(14,-1),-0.585669 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,15),(15,16),-0.412187 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,28),-0.271829 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(15,16),(15,28),-0.975381 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,15),(15,-1),-0.351496 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(16,16),(16,17),-0.483417 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,18),-0.348903 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,19),-0.0169448 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,21),-0.251748 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,22),-0.229437 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,26),-0.637011 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,28),-0.278996 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(16,17),(16,18),0.53258 # DEPENDENCYPART_NEXTSIBL
(16,17),(16,19),-0.266851 # DEPENDENCYPART_NEXTSIBL
(16,17),(16,21),-0.395114 # DEPENDENCYPART_NEXTSIBL
(16,17),(16,22),0.26153 # DEPENDENCYPART_NEXTSIBL
(16,17),(16,26),-0.48435 # DEPENDENCYPART_NEXTSIBL
(16,17),(16,28),-0.924309 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,18),(16,19),-0.418774 # DEPENDENCYPART_NEXTSIBL
(16,18),(16,21),-0.564449 # DEPENDENCYPART_NEXTSIBL
(16,18),(16,22),-0.671313 # DEPENDENCYPART_NEXTSIBL
(16,18),(16,26),-0.545855 # DEPENDENCYPART_NEXTSIBL
(16,18),(16,28),-0.402991 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,19),(16,21),-0.588094 # DEPENDENCYPART_NEXTSIBL
(16,19),(16,22),-0.695279 # DEPENDENCYPART_NEXTSIBL
(16,19),(16,26),-0.689645 # DEPENDENCYPART_NEXTSIBL
(16,19),(16,28),-1.36257 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,21),(16,22),-1.18415 # DEPENDENCYPART_NEXTSIBL
(16,21),(16,26),-1.49856 # DEPENDENCYPART_NEXTSIBL
(16,21),(16,28),-0.546244 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,22),(16,26),-0.968514 # DEPENDENCYPART_NEXTSIBL
(16,22),(16,28),-0.601948 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,26),(16,28),-1.14075 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,16),(16,15),-0.177386 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,13),-0.895621 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,12),-1.20092 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,11),-0.221792 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,10),-0.322166 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,-1),-0.351573 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(16,15),(16,13),-0.580595 # DEPENDENCYPART_NEXTSIBL
(16,15),(16,12),-1.06519 # DEPENDENCYPART_NEXTSIBL
(16,15),(16,11),-0.985867 # DEPENDENCYPART_NEXTSIBL
(16,15),(16,10),-0.88285 # DEPENDENCYPART_NEXTSIBL
(16,15),(16,-1),-0.642065 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,13),(16,12),0.182329 # DEPENDENCYPART_NEXTSIBL
(16,13),(16,11),-0.336709 # DEPENDENCYPART_NEXTSIBL
(16,13),(16,10),-0.39973 # DEPENDENCYPART_NEXTSIBL
(16,13),(16,-1),-1.06964 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,12),(16,11),-0.613087 # DEPENDENCYPART_NEXTSIBL
(16,12),(16,10),-0.733727 # DEPENDENCYPART_NEXTSIBL
(16,12),(16,-1),-1.15853 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,11),(16,10),-0.372406 # DEPENDENCYPART_NEXTSIBL
(16,11),(16,-1),-0.787611 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,10),(16,-1),-1.0807 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,17),(17,18),-0.499749 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,28),-0.0927381 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(17,18),(17,28),-0.521927 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,17),(17,-1),-0.185202 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(18,18),(18,19),-0.16119 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,20),-1.01354 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,21),0.0372523 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,22),0.01243 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,23),-0.473904 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,24),0.0316816 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,26),-0.345997 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,27),-1.0717 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,28),-0.599843 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(18,19),(18,20),-0.798614 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,21),-0.567355 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,22),-0.699937 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,23),-0.648946 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,24),-0.59141 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,26),-0.669123 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,27),-0.487785 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,28),-1.37128 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,20),(18,21),-0.90921 # DEPENDENCYPART_NEXTSIBL
(18,20),(18,22),-1.04388 # DEPENDENCYPART_NEXTSIBL
(18,20),(18,23),-1.02621 # DEPENDENCYPART_NEXTSIBL
(18,20),(18,24),-1.01942 # DEPENDENCYPART_NEXTSIBL
(18,20),(18,26),-1.16413 # DEPENDENCYPART_NEXTSIBL
(18,20),(18,27),-1.18386 # DEPENDENCYPART_NEXTSIBL
(18,20),(18,28),-0.930756 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,21),(18,22),-1.10307 # DEPENDENCYPART_NEXTSIBL
(18,21),(18,23),-1.15818 # DEPENDENCYPART_NEXTSIBL
(18,21),(18,24),-1.13901 # DEPENDENCYPART_NEXTSIBL
(18,21),(18,26),-1.38614 # DEPENDENCYPART_NEXTSIBL
(18,21),(18,27),-0.930284 # DEPENDENCYPART_NEXTSIBL
(18,21),(18,28),-0.47213 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,22),(18,23),-0.745595 # DEPENDENCYPART_NEXTSIBL
(18,22),(18,24),-0.82655 # DEPENDENCYPART_NEXTSIBL
(18,22),(18,26),-0.912599 # DEPENDENCYPART_NEXTSIBL
(18,22),(18,27),-0.826496 # DEPENDENCYPART_NEXTSIBL
(18,22),(18,28),-0.646466 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,23),(18,24),-0.268331 # DEPENDENCYPART_NEXTSIBL
(18,23),(18,26),-0.76076 # DEPENDENCYPART_NEXTSIBL
(18,23),(18,27),-0.850543 # DEPENDENCYPART_NEXTSIBL
(18,23),(18,28),-0.803891 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,24),(18,26),-0.746072 # DEPENDENCYPART_NEXTSIBL
(18,24),(18,27),0.0471663 # DEPENDENCYPART_NEXTSIBL
(18,24),(18,28),-0.560001 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,26),(18,27),-0.556337 # DEPENDENCYPART_NEXTSIBL
(18,26),(18,28),-1.07536 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,27),(18,28),-2.0446 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,18),(18,17),-1.05311 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,16),-0.188036 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,4),-0.257521 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,-1),-0.560856 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(18,17),(18,16),-0.564173 # DEPENDENCYPART_NEXTSIBL
(18,17),(18,4),-0.107346 # DEPENDENCYPART_NEXTSIBL
(18,17),(18,-1),-1.1365 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,16),(18,4),-0.568025 # DEPENDENCYPART_NEXTSIBL
(18,16),(18,-1),-1.11441 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,4),(18,-1),-0.804669 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,19),(19,20),-1.0063 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,21),-0.0889042 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,22),-0.0644182 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,23),-0.481729 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,24),0.094616 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,26),-0.461042 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,28),-0.567791 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(19,20),(19,21),-0.937117 # DEPENDENCYPART_NEXTSIBL
(19,20),(19,22),-1.06535 # DEPENDENCYPART_NEXTSIBL
(19,20),(19,23),-1.04354 # DEPENDENCYPART_NEXTSIBL
(19,20),(19,24),-0.993474 # DEPENDENCYPART_NEXTSIBL
(19,20),(19,26),-1.18746 # DEPENDENCYPART_NEXTSIBL
(19,20),(19,28),-0.960776 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,21),(19,22),-1.28774 # DEPENDENCYPART_NEXTSIBL
(19,21),(19,23),-1.26111 # DEPENDENCYPART_NEXTSIBL
(19,21),(19,24),-1.19371 # DEPENDENCYPART_NEXTSIBL
(19,21),(19,26),-1.63152 # DEPENDENCYPART_NEXTSIBL
(19,21),(19,28),-0.455207 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,22),(19,23),-0.836498 # DEPENDENCYPART_NEXTSIBL
(19,22),(19,24),-0.859203 # DEPENDENCYPART_NEXTSIBL
(19,22),(19,26),-1.05474 # DEPENDENCYPART_NEXTSIBL
(19,22),(19,28),-0.59309 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,23),(19,24),-0.28792 # DEPENDENCYPART_NEXTSIBL
(19,23),(19,26),-0.841297 # DEPENDENCYPART_NEXTSIBL
(19,23),(19,28),-0.832697 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,24),(19,26),-0.787231 # DEPENDENCYPART_NEXTSIBL
(19,24),(19,28),-0.658208 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,26),(19,28),-1.04801 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,19),(19,17),-0.724478 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,-1),-0.188063 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(19,17),(19,-1),-1.08441 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,20),(20,21),-0.190359 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,28),-0.120105 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(20,21),(20,28),-0.587571 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,20),(20,-1),-0.183856 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(21,21),(21,22),-0.229439 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,23),-0.441961 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,24),0.0960888 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,26),-0.637011 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,28),-0.279021 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(21,22),(21,23),-0.785675 # DEPENDENCYPART_NEXTSIBL
(21,22),(21,24),-0.787157 # DEPENDENCYPART_NEXTSIBL
(21,22),(21,26),-0.968515 # DEPENDENCYPART_NEXTSIBL
(21,22),(21,28),-0.60195 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,23),(21,24),-0.250455 # DEPENDENCYPART_NEXTSIBL
(21,23),(21,26),-0.756386 # DEPENDENCYPART_NEXTSIBL
(21,23),(21,28),-0.804347 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,24),(21,26),-0.731578 # DEPENDENCYPART_NEXTSIBL
(21,24),(21,28),-0.605175 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,26),(21,28),-1.14075 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,21),(21,20),-0.562829 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,19),-0.00061705 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,-1),-0.354339 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(21,20),(21,19),-0.600094 # DEPENDENCYPART_NEXTSIBL
(21,20),(21,-1),-0.217526 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,19),(21,-1),-1.25415 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,22),(22,23),-0.506944 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,24),0.180491 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,26),-0.514593 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,27),-0.85563 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,28),-0.554295 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(22,23),(22,24),-0.182069 # DEPENDENCYPART_NEXTSIBL
(22,23),(22,26),-0.755852 # DEPENDENCYPART_NEXTSIBL
(22,23),(22,27),-0.970022 # DEPENDENCYPART_NEXTSIBL
(22,23),(22,28),-0.830661 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,24),(22,26),-0.629484 # DEPENDENCYPART_NEXTSIBL
(22,24),(22,27),0.347184 # DEPENDENCYPART_NEXTSIBL
(22,24),(22,28),-0.500313 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,26),(22,27),-0.619968 # DEPENDENCYPART_NEXTSIBL
(22,26),(22,28),-1.06736 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,27),(22,28),-2.06358 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,22),(22,21),-0.248395 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,20),-0.733279 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,19),-0.0993761 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,18),0.190589 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,17),-0.499798 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,16),-0.417925 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,15),-0.354341 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,14),0.55265 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,13),-0.97819 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,12),-0.790817 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,11),-0.331667 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,10),-0.458344 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,9),0.381837 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,8),-0.333798 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,7),-0.323221 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,6),0.383157 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,5),-0.330246 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,4),0.479891 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,3),-0.229742 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,2),-0.787061 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,1),-1.19667 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,-1),-0.950478 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(22,21),(22,20),-0.22489 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,19),-0.588477 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,18),-0.864923 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,17),-0.807274 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,16),-1.21138 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,15),-1.34992 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,14),-0.546045 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,13),-0.923953 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,12),-1.19228 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,11),-1.18921 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,10),-1.26457 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,9),-0.477215 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,8),-1.44354 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,7),-1.01286 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,6),-0.520869 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,5),-1.16913 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,4),-0.398639 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,3),-1.04443 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,2),-1.19703 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,1),-1.40609 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,-1),-0.578784 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,20),(22,19),-0.701954 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,18),-1.01028 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,17),-0.920306 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,16),-1.3317 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,15),-1.31135 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,14),-1.01362 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,13),-1.14736 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,12),-1.11443 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,11),-1.231 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,10),-1.21725 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,9),-0.907186 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,8),-1.13998 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,7),-1.20626 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,6),-0.928729 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,5),-1.0985 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,4),-0.864132 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,3),-1.20168 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,2),-0.974137 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,1),-1.05238 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,-1),-0.350182 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,19),(22,18),-0.786292 # DEPENDENCYPART_NEXTSIBL
(22,19),(22,17),-0.777493 # DEPENDENCYPART_NEXTSIBL
(22,19),(22,16),-1.06494 # DEPENDENCYPART_NEXTSIBL
(22,19),(22,15),-1.1626 # DEPENDENCYPART_NEXTSIBL
(22,19),(22,14),-1.10847 # DEPENDENCYPART_NEXTSIBL
(22,19),(22,13),-1.27717 # DEPENDENCYPART_NEXTSIBL
(22,19),(22,12),-1.24524 # DEPENDENCYPART_NEXTSIBL
(22,19),(22,11),-1.07777 # DEPENDENCYPART_NEXTSIBL
(22,19),(22,10),-1.14782 # DEPENDENCYPART_NEXTSIBL
(22,19),(22,9),-1.10934 # DEPENDENCYPART_NEXTSIBL
(22,19),(22,8),-1.22072 # DEPENDENCYPART_NEXTSIBL
(22,19),(22,7),-1.21832 # DEPENDENCYPART_NEXTSIBL
(22,19),(22,6),-1.08061 # DEPENDENCYPART_NEXTSIBL
(22,19),(22,5),-1.1184 # DEPENDENCYPART_NEXTSIBL
(22,19),(22,4),-1.02862 # DEPENDENCYPART_NEXTSIBL
(22,19),(22,3),-1.20644 # DEPENDENCYPART_NEXTSIBL
(22,19),(22,2),-1.13733 # DEPENDENCYPART_NEXTSIBL
(22,19),(22,1),-1.29401 # DEPENDENCYPART_NEXTSIBL
(22,19),(22,-1),-1.19252 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,18),(22,17),-0.302116 # DEPENDENCYPART_NEXTSIBL
(22,18),(22,16),-0.548592 # DEPENDENCYPART_NEXTSIBL
(22,18),(22,15),-0.573795 # DEPENDENCYPART_NEXTSIBL
(22,18),(22,14),-1.01171 # DEPENDENCYPART_NEXTSIBL
(22,18),(22,13),-0.782708 # DEPENDENCYPART_NEXTSIBL
(22,18),(22,12),-0.81865 # DEPENDENCYPART_NEXTSIBL
(22,18),(22,11),-0.441037 # DEPENDENCYPART_NEXTSIBL
(22,18),(22,10),-0.432405 # DEPENDENCYPART_NEXTSIBL
(22,18),(22,9),-0.76048 # DEPENDENCYPART_NEXTSIBL
(22,18),(22,8),-0.74802 # DEPENDENCYPART_NEXTSIBL
(22,18),(22,7),-1.03042 # DEPENDENCYPART_NEXTSIBL
(22,18),(22,6),-0.668129 # DEPENDENCYPART_NEXTSIBL
(22,18),(22,5),-0.821062 # DEPENDENCYPART_NEXTSIBL
(22,18),(22,4),-0.638528 # DEPENDENCYPART_NEXTSIBL
(22,18),(22,3),-1.05531 # DEPENDENCYPART_NEXTSIBL
(22,18),(22,2),-0.760519 # DEPENDENCYPART_NEXTSIBL
(22,18),(22,1),-0.748297 # DEPENDENCYPART_NEXTSIBL
(22,18),(22,-1),-0.586165 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,17),(22,16),-0.412839 # DEPENDENCYPART_NEXTSIBL
(22,17),(22,15),-0.701402 # DEPENDENCYPART_NEXTSIBL
(22,17),(22,14),-0.147224 # DEPENDENCYPART_NEXTSIBL
(22,17),(22,13),-0.963201 # DEPENDENCYPART_NEXTSIBL
(22,17),(22,12),-1.14169 # DEPENDENCYPART_NEXTSIBL
(22,17),(22,11),-0.62337 # DEPENDENCYPART_NEXTSIBL
(22,17),(22,10),-0.712261 # DEPENDENCYPART_NEXTSIBL
(22,17),(22,9),-0.151128 # DEPENDENCYPART_NEXTSIBL
(22,17),(22,8),-0.259774 # DEPENDENCYPART_NEXTSIBL
(22,17),(22,7),-1.08969 # DEPENDENCYPART_NEXTSIBL
