# _root_ `` As long as I am borrowing at 9.9 % and each { bond } yields over that , it enhances the yield , '' he maintains .
#goldHeads=27,21,2,11,6,11,6,7,10,8,2,14,14,16,14,11,16,17,21,21,27,23,21,27,27,27,0,27,
#predictedHeads=27,11,2,6,6,11,6,7,10,8,21,14,14,11,14,21,16,17,21,21,27,23,21,27,27,27,0,27,
(2,16),(16,16),(16,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,-1),-0.280937 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,16),(16,15),(16,14),0.10946 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,13),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,12),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,11),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,10),0.10946 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,9),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,8),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,7),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,6),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,5),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,4),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,3),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,2),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,-1),-0.144853 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,14),(16,13),0.109259 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,12),0.10947 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,11),0.109486 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,10),0.105686 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,9),0.109133 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,8),0.142252 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,7),0.108981 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,6),0.108981 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,5),0.109445 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,4),0.155685 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,3),0.114037 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,2),0.126805 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,-1),-0.173271 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,13),(16,12),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,11),0.109522 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,10),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,9),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,8),0.109381 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,7),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,6),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,5),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,4),0.109408 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,3),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,2),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,-1),-0.14616 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,12),(16,11),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,12),(16,10),0.109523 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,12),(16,9),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,12),(16,8),0.109082 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,12),(16,7),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,12),(16,6),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,12),(16,5),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,12),(16,4),0.109192 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,12),(16,3),0.109536 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,12),(16,2),0.109536 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,12),(16,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,12),(16,-1),-0.147132 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,11),(16,10),0.216265 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,11),(16,9),0.258693 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,11),(16,8),0.296714 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,11),(16,7),0.378667 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,11),(16,6),0.369818 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,11),(16,5),0.331645 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,11),(16,4),0.298403 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,11),(16,3),0.354077 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,11),(16,2),0.303288 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,11),(16,1),0.0167859 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,11),(16,-1),-0.146713 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,10),(16,9),0.109133 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,10),(16,8),0.14213 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,10),(16,7),0.108981 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,10),(16,6),0.108981 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,10),(16,5),0.109445 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,10),(16,4),0.155563 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,10),(16,3),0.114037 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,10),(16,2),0.126805 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,10),(16,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,10),(16,-1),-0.173279 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,9),(16,8),0.109436 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,9),(16,7),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,9),(16,6),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,9),(16,5),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,9),(16,4),0.109435 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,9),(16,3),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,9),(16,2),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,9),(16,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,9),(16,-1),-0.14681 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,8),(16,7),0.109439 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,8),(16,6),0.109439 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,8),(16,5),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,8),(16,4),0.108865 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,8),(16,3),0.105285 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,8),(16,2),0.10529 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,8),(16,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,8),(16,-1),-0.0401111 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,7),(16,6),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,7),(16,5),0.109397 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,7),(16,4),0.109206 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,7),(16,3),0.109253 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,7),(16,2),0.109252 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,7),(16,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,7),(16,-1),-0.142508 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,6),(16,5),0.109397 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,6),(16,4),0.109206 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,6),(16,3),0.109253 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,6),(16,2),0.109252 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,6),(16,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,6),(16,-1),-0.142508 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,5),(16,4),0.150414 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,5),(16,3),0.108923 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,5),(16,2),0.119498 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,5),(16,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,5),(16,-1),-0.15747 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,4),(16,3),0.104295 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,4),(16,2),0.104299 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,4),(16,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,4),(16,-1),-0.0236928 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,3),(16,2),0.107589 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,3),(16,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,3),(16,-1),-0.164835 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,2),(16,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,2),(16,-1),-0.149396 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,16),(16,1),(16,-1),-0.146962 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,19),(19,19),(19,29),-0.0682117 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,19),(19,19),(19,-1),-0.19438 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,1),(1,1),(1,29),-0.175492 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,1),(1,1),(1,-1),-0.0503892 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,2),(2,3),-0.14737 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,4),-0.144763 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,6),-0.145134 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,8),-0.144763 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,9),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,11),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,16),-0.145134 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,19),-0.144933 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,29),-0.0847569 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,3),(2,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,8),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,9),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,11),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,16),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,19),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,29),-0.174642 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,4),(2,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,29),-0.166118 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,6),(2,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,6),(2,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,6),(2,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,6),(2,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,6),(2,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,6),(2,29),-0.145203 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,8),(2,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,8),(2,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,8),(2,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,8),(2,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,8),(2,29),-0.164034 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,9),(2,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,9),(2,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,9),(2,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,9),(2,29),-0.145195 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,11),(2,16),0.24811 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,11),(2,19),0.247305 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,11),(2,29),-0.149575 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,16),(2,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,16),(2,29),-0.145203 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,19),(2,29),-0.133465 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,2),(2,1),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,-1),0.0912747 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,1),(2,-1),-0.0194405 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,4),(4,5),-0.0317713 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,6),-0.0400228 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,7),-0.0400228 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,9),0.0097792 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,11),-0.045916 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,15),-0.019708 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,28),-0.0194975 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,29),0.0694643 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,4),(4,5),(4,6),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,5),(4,7),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,5),(4,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,5),(4,11),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,5),(4,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,5),(4,28),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,5),(4,29),-0.0320303 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,6),(4,7),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,6),(4,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,6),(4,11),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,6),(4,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,6),(4,28),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,6),(4,29),-0.0417467 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,7),(4,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,7),(4,11),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,7),(4,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,7),(4,28),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,7),(4,29),-0.0417467 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,9),(4,11),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,9),(4,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,9),(4,28),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,9),(4,29),0.0255839 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,11),(4,15),0.252732 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,11),(4,28),0.224257 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,11),(4,29),-0.0439888 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,15),(4,28),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,15),(4,29),-0.0201158 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,28),(4,29),-0.0195066 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,4),(4,3),0.0819485 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,2),-0.144714 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,-1),-0.0325311 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,4),(4,3),(4,2),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,3),(4,-1),-0.180032 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,4),(4,2),(4,-1),-0.180235 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,5),(5,29),-0.0789665 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,5),(5,5),(5,-1),-0.202933 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,6),(6,6),(6,7),-0.0343762 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,8),-0.0394973 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,9),-0.0228474 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,10),-0.0495581 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,11),-0.00952431 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,14),-0.0529021 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,15),-0.0210486 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,16),-0.0343762 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,17),-0.0392513 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,19),-0.0339737 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,21),-0.0343762 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,24),-0.0339737 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,25),-0.0196726 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,28),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,29),0.0728289 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,6),(6,7),(6,8),-0.0196978 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,7),(6,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,7),(6,10),-0.0194631 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,7),(6,11),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,7),(6,14),-0.0194631 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,7),(6,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,7),(6,16),-0.0194437 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,7),(6,17),-0.0198194 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,7),(6,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,7),(6,21),-0.0194437 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,7),(6,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,7),(6,25),-0.0199685 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,7),(6,28),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,7),(6,29),-0.0231972 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,8),(6,9),-0.019441 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,8),(6,10),-0.021852 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,8),(6,11),-0.0207424 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,8),(6,14),-0.021852 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,8),(6,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,8),(6,16),-0.0207648 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,8),(6,17),-0.0235901 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,8),(6,19),-0.0201474 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,8),(6,21),-0.0207648 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,8),(6,24),-0.0201474 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,8),(6,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,8),(6,28),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,8),(6,29),-0.0336686 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,9),(6,10),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,9),(6,11),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,9),(6,14),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,9),(6,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,9),(6,16),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,9),(6,17),-0.0194418 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,9),(6,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,9),(6,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,9),(6,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,9),(6,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,9),(6,28),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,9),(6,29),-0.024016 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,10),(6,11),-0.0194514 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,10),(6,14),-0.02022 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,10),(6,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,10),(6,16),-0.0180495 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,10),(6,17),-0.016575 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,10),(6,19),-0.0200399 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,10),(6,21),-0.0180495 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,10),(6,24),-0.0200399 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,10),(6,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,10),(6,28),-0.0196156 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,10),(6,29),-0.0423192 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,11),(6,14),0.129259 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,11),(6,15),0.252732 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,11),(6,16),0.376873 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,11),(6,17),0.138227 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,11),(6,19),0.372067 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,11),(6,21),0.242945 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,11),(6,24),0.394972 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,11),(6,25),0.183988 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,11),(6,28),0.224257 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,11),(6,29),-0.0230172 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,14),(6,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,14),(6,16),-0.0180495 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,14),(6,17),-0.016575 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,14),(6,19),-0.0200399 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,14),(6,21),-0.0180495 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,14),(6,24),-0.0200399 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,14),(6,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,14),(6,28),-0.0196156 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,14),(6,29),-0.0456654 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,15),(6,16),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,15),(6,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,15),(6,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,15),(6,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,15),(6,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,15),(6,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
