# _root_ Egyelőre az autó nem saját tulajdon , egy cseh cégtől bérlik , akik a szervizszerelőket és a programozó mérnököt is adják .
#goldHeads=4,3,4,0,6,4,4,10,10,11,4,11,21,15,21,21,19,19,21,21,11,4,
#predictedHeads=11,3,11,11,6,11,11,10,10,11,0,11,21,15,21,21,19,19,21,21,11,11,
(9,3),(9,4),0.244333 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.0733224 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.291475 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.0268515 # DEPENDENCYPART_SIBL
(9,3),(9,21),0.00375307 # DEPENDENCYPART_SIBL
(9,3),(9,22),0.060411 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.133053 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.116674 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.000662615 # DEPENDENCYPART_SIBL
(9,4),(9,21),0.060742 # DEPENDENCYPART_SIBL
(9,4),(9,22),0.0444202 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.276826 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.0268382 # DEPENDENCYPART_SIBL
(9,6),(9,21),0.00366005 # DEPENDENCYPART_SIBL
(9,6),(9,22),0.0647909 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.127111 # DEPENDENCYPART_SIBL
(9,7),(9,21),-0.0231027 # DEPENDENCYPART_SIBL
(9,7),(9,22),0.0204077 # DEPENDENCYPART_SIBL
(9,8),(9,21),0.00307496 # DEPENDENCYPART_SIBL
(9,8),(9,22),-0.03219 # DEPENDENCYPART_SIBL
(9,21),(9,22),0.0657157 # DEPENDENCYPART_SIBL
(10,1),(10,2),-0.349555 # DEPENDENCYPART_SIBL
(10,1),(10,3),0.0331905 # DEPENDENCYPART_SIBL
(10,1),(10,4),0.164972 # DEPENDENCYPART_SIBL
(10,1),(10,6),0.031327 # DEPENDENCYPART_SIBL
(10,1),(10,7),0.0913181 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.261589 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.00296176 # DEPENDENCYPART_SIBL
(10,1),(10,12),0.00758845 # DEPENDENCYPART_SIBL
(10,1),(10,15),0.00785137 # DEPENDENCYPART_SIBL
(10,1),(10,19),0.00785137 # DEPENDENCYPART_SIBL
(10,1),(10,21),0.0692056 # DEPENDENCYPART_SIBL
(10,1),(10,22),0.138994 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.000514378 # DEPENDENCYPART_SIBL
(10,2),(10,4),0.0938406 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.00102091 # DEPENDENCYPART_SIBL
(10,2),(10,7),0.213182 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.438636 # DEPENDENCYPART_SIBL
(10,2),(10,9),0.209375 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.0165824 # DEPENDENCYPART_SIBL
(10,2),(10,15),-0.00571552 # DEPENDENCYPART_SIBL
(10,2),(10,19),-0.00571552 # DEPENDENCYPART_SIBL
(10,2),(10,21),-0.0121677 # DEPENDENCYPART_SIBL
(10,2),(10,22),-0.0202729 # DEPENDENCYPART_SIBL
(10,3),(10,4),0.276741 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.0231505 # DEPENDENCYPART_SIBL
(10,3),(10,7),0.654323 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.173008 # DEPENDENCYPART_SIBL
(10,3),(10,9),0.0489632 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.00550398 # DEPENDENCYPART_SIBL
(10,3),(10,15),0.00255138 # DEPENDENCYPART_SIBL
(10,3),(10,19),0.00255138 # DEPENDENCYPART_SIBL
(10,3),(10,21),0.00569496 # DEPENDENCYPART_SIBL
(10,3),(10,22),0.0399132 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.0154066 # DEPENDENCYPART_SIBL
(10,4),(10,7),0.0716173 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.283764 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.0501729 # DEPENDENCYPART_SIBL
(10,4),(10,12),0.0113354 # DEPENDENCYPART_SIBL
(10,4),(10,15),0.0134043 # DEPENDENCYPART_SIBL
(10,4),(10,19),0.0134043 # DEPENDENCYPART_SIBL
(10,4),(10,21),0.134003 # DEPENDENCYPART_SIBL
(10,4),(10,22),0.215983 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.636666 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.174104 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.046628 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.0248719 # DEPENDENCYPART_SIBL
(10,6),(10,15),0.0202533 # DEPENDENCYPART_SIBL
(10,6),(10,19),0.0202533 # DEPENDENCYPART_SIBL
(10,6),(10,21),0.0139468 # DEPENDENCYPART_SIBL
(10,6),(10,22),0.0526106 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.373833 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.0353707 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0346477 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.00844461 # DEPENDENCYPART_SIBL
(10,7),(10,19),-0.00844461 # DEPENDENCYPART_SIBL
(10,7),(10,21),-0.0260081 # DEPENDENCYPART_SIBL
(10,7),(10,22),0.0238545 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.251854 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0903453 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.0176379 # DEPENDENCYPART_SIBL
(10,8),(10,19),-0.0176379 # DEPENDENCYPART_SIBL
(10,8),(10,21),-0.0312215 # DEPENDENCYPART_SIBL
(10,8),(10,22),-0.0954496 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.0046526 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.0170575 # DEPENDENCYPART_SIBL
(10,9),(10,19),0.0170575 # DEPENDENCYPART_SIBL
(10,9),(10,21),-0.0242351 # DEPENDENCYPART_SIBL
(10,9),(10,22),0.00386973 # DEPENDENCYPART_SIBL
(10,12),(10,15),0.342981 # DEPENDENCYPART_SIBL
(10,12),(10,19),0.342981 # DEPENDENCYPART_SIBL
(10,12),(10,21),0.420522 # DEPENDENCYPART_SIBL
(10,12),(10,22),0.0787788 # DEPENDENCYPART_SIBL
(10,15),(10,19),0.00471394 # DEPENDENCYPART_SIBL
(10,15),(10,21),0.0590606 # DEPENDENCYPART_SIBL
(10,15),(10,22),0.0485651 # DEPENDENCYPART_SIBL
(10,19),(10,21),0.0590606 # DEPENDENCYPART_SIBL
(10,19),(10,22),0.0485651 # DEPENDENCYPART_SIBL
(10,21),(10,22),0.200897 # DEPENDENCYPART_SIBL
(11,1),(11,2),-0.0275872 # DEPENDENCYPART_SIBL
(11,1),(11,3),0.0374408 # DEPENDENCYPART_SIBL
(11,1),(11,4),-0.0335396 # DEPENDENCYPART_SIBL
(11,1),(11,6),0.0374588 # DEPENDENCYPART_SIBL
(11,1),(11,7),0.071568 # DEPENDENCYPART_SIBL
(11,1),(11,8),-0.0512067 # DEPENDENCYPART_SIBL
(11,1),(11,9),0.0418498 # DEPENDENCYPART_SIBL
(11,1),(11,10),0.036209 # DEPENDENCYPART_SIBL
(11,1),(11,12),-0.0261924 # DEPENDENCYPART_SIBL
(11,1),(11,13),0.00807018 # DEPENDENCYPART_SIBL
(11,1),(11,14),-0.0842958 # DEPENDENCYPART_SIBL
(11,1),(11,15),-0.0121943 # DEPENDENCYPART_SIBL
(11,1),(11,16),-0.0359531 # DEPENDENCYPART_SIBL
(11,1),(11,17),-0.0842958 # DEPENDENCYPART_SIBL
(11,1),(11,18),-0.00580489 # DEPENDENCYPART_SIBL
(11,1),(11,19),-0.0121943 # DEPENDENCYPART_SIBL
(11,1),(11,20),-0.0511475 # DEPENDENCYPART_SIBL
(11,1),(11,21),-0.0203789 # DEPENDENCYPART_SIBL
(11,1),(11,22),0.00799718 # DEPENDENCYPART_SIBL
(11,2),(11,3),-0.0378443 # DEPENDENCYPART_SIBL
(11,2),(11,4),-0.0663019 # DEPENDENCYPART_SIBL
(11,2),(11,6),-0.035744 # DEPENDENCYPART_SIBL
(11,2),(11,7),0.010349 # DEPENDENCYPART_SIBL
(11,2),(11,8),-0.153955 # DEPENDENCYPART_SIBL
(11,2),(11,9),0.0259486 # DEPENDENCYPART_SIBL
(11,2),(11,10),-0.0369862 # DEPENDENCYPART_SIBL
(11,2),(11,12),0.00190222 # DEPENDENCYPART_SIBL
(11,2),(11,13),0.0106867 # DEPENDENCYPART_SIBL
(11,2),(11,14),0.0353804 # DEPENDENCYPART_SIBL
(11,2),(11,15),-0.0106193 # DEPENDENCYPART_SIBL
(11,2),(11,16),-0.0118123 # DEPENDENCYPART_SIBL
(11,2),(11,17),0.0353804 # DEPENDENCYPART_SIBL
(11,2),(11,18),0.0124433 # DEPENDENCYPART_SIBL
(11,2),(11,19),-0.0106193 # DEPENDENCYPART_SIBL
(11,2),(11,20),0.0261765 # DEPENDENCYPART_SIBL
(11,2),(11,21),-0.0302931 # DEPENDENCYPART_SIBL
(11,2),(11,22),0.0125167 # DEPENDENCYPART_SIBL
(11,3),(11,4),0.0203054 # DEPENDENCYPART_SIBL
(11,3),(11,6),-0.0338725 # DEPENDENCYPART_SIBL
(11,3),(11,7),0.121294 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.0472072 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.000686135 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.0342173 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.0297302 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.0369831 # DEPENDENCYPART_SIBL
(11,3),(11,14),-0.0280498 # DEPENDENCYPART_SIBL
(11,3),(11,15),-0.0257862 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.0338114 # DEPENDENCYPART_SIBL
(11,3),(11,17),-0.0280498 # DEPENDENCYPART_SIBL
(11,3),(11,18),-0.0134961 # DEPENDENCYPART_SIBL
(11,3),(11,19),-0.0257862 # DEPENDENCYPART_SIBL
(11,3),(11,20),-0.0301531 # DEPENDENCYPART_SIBL
(11,3),(11,21),-0.0325551 # DEPENDENCYPART_SIBL
(11,3),(11,22),-0.0051051 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.0402609 # DEPENDENCYPART_SIBL
(11,4),(11,7),0.10045 # DEPENDENCYPART_SIBL
(11,4),(11,8),-0.0801967 # DEPENDENCYPART_SIBL
(11,4),(11,9),0.0607794 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.0415107 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.0271095 # DEPENDENCYPART_SIBL
(11,4),(11,13),0.0149878 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.0751647 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.013876 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.0184157 # DEPENDENCYPART_SIBL
(11,4),(11,17),-0.0751647 # DEPENDENCYPART_SIBL
(11,4),(11,18),0.0109823 # DEPENDENCYPART_SIBL
(11,4),(11,19),-0.013876 # DEPENDENCYPART_SIBL
(11,4),(11,20),-0.0321854 # DEPENDENCYPART_SIBL
(11,4),(11,21),0.0639401 # DEPENDENCYPART_SIBL
(11,4),(11,22),-0.0167147 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.0868567 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.0515256 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.00562091 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.0355622 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.00699021 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.0298468 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.0226048 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.0160242 # DEPENDENCYPART_SIBL
(11,6),(11,16),-0.0290243 # DEPENDENCYPART_SIBL
(11,6),(11,17),-0.0226048 # DEPENDENCYPART_SIBL
(11,6),(11,18),-0.00295712 # DEPENDENCYPART_SIBL
(11,6),(11,19),-0.0160242 # DEPENDENCYPART_SIBL
(11,6),(11,20),-0.0249661 # DEPENDENCYPART_SIBL
(11,6),(11,21),-0.0275101 # DEPENDENCYPART_SIBL
(11,6),(11,22),0.00803688 # DEPENDENCYPART_SIBL
(11,7),(11,8),-0.182331 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.00882694 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.011037 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.0162473 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.0201749 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.0135872 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.0264177 # DEPENDENCYPART_SIBL
(11,7),(11,16),-0.0247304 # DEPENDENCYPART_SIBL
(11,7),(11,17),-0.0135872 # DEPENDENCYPART_SIBL
(11,7),(11,18),-0.0192507 # DEPENDENCYPART_SIBL
(11,7),(11,19),-0.0264177 # DEPENDENCYPART_SIBL
(11,7),(11,20),-0.00406009 # DEPENDENCYPART_SIBL
(11,7),(11,21),-0.0120675 # DEPENDENCYPART_SIBL
(11,7),(11,22),0.0178625 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.0504225 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.0203442 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.110403 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.0371645 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.00743305 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.033664 # DEPENDENCYPART_SIBL
(11,8),(11,16),-0.0539748 # DEPENDENCYPART_SIBL
(11,8),(11,17),-0.00743305 # DEPENDENCYPART_SIBL
(11,8),(11,18),-0.03386 # DEPENDENCYPART_SIBL
(11,8),(11,19),-0.033664 # DEPENDENCYPART_SIBL
(11,8),(11,20),-0.0396995 # DEPENDENCYPART_SIBL
(11,8),(11,21),-0.0498937 # DEPENDENCYPART_SIBL
(11,8),(11,22),-0.111698 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.0141911 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.0184652 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.016272 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.005832 # DEPENDENCYPART_SIBL
(11,9),(11,15),0.00864068 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.0374289 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.005832 # DEPENDENCYPART_SIBL
(11,9),(11,18),-0.0300719 # DEPENDENCYPART_SIBL
(11,9),(11,19),0.00864068 # DEPENDENCYPART_SIBL
(11,9),(11,20),0.000757771 # DEPENDENCYPART_SIBL
(11,9),(11,21),-0.000998567 # DEPENDENCYPART_SIBL
(11,9),(11,22),0.00207222 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0226823 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0334497 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.0262159 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.0225398 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.0318346 # DEPENDENCYPART_SIBL
(11,10),(11,17),-0.0262159 # DEPENDENCYPART_SIBL
(11,10),(11,18),-0.0116373 # DEPENDENCYPART_SIBL
(11,10),(11,19),-0.0225398 # DEPENDENCYPART_SIBL
(11,10),(11,20),-0.0281763 # DEPENDENCYPART_SIBL
(11,10),(11,21),-0.0303934 # DEPENDENCYPART_SIBL
(11,10),(11,22),-0.000856802 # DEPENDENCYPART_SIBL
(11,12),(11,13),0.0278035 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.120225 # DEPENDENCYPART_SIBL
(11,12),(11,15),0.0725253 # DEPENDENCYPART_SIBL
(11,12),(11,16),0.066927 # DEPENDENCYPART_SIBL
(11,12),(11,17),0.120225 # DEPENDENCYPART_SIBL
(11,12),(11,18),0.0565109 # DEPENDENCYPART_SIBL
(11,12),(11,19),0.0725253 # DEPENDENCYPART_SIBL
(11,12),(11,20),0.0195627 # DEPENDENCYPART_SIBL
(11,12),(11,21),0.18007 # DEPENDENCYPART_SIBL
(11,12),(11,22),0.0393433 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.0952931 # DEPENDENCYPART_SIBL
(11,13),(11,15),0.0262479 # DEPENDENCYPART_SIBL
(11,13),(11,16),0.00964564 # DEPENDENCYPART_SIBL
(11,13),(11,17),0.0952931 # DEPENDENCYPART_SIBL
(11,13),(11,18),0.0727298 # DEPENDENCYPART_SIBL
(11,13),(11,19),0.0262479 # DEPENDENCYPART_SIBL
(11,13),(11,20),0.0485273 # DEPENDENCYPART_SIBL
(11,13),(11,21),-0.0355244 # DEPENDENCYPART_SIBL
(11,13),(11,22),-0.00364782 # DEPENDENCYPART_SIBL
(11,14),(11,15),0.0110282 # DEPENDENCYPART_SIBL
(11,14),(11,16),0.0339442 # DEPENDENCYPART_SIBL
(11,14),(11,17),0.0888948 # DEPENDENCYPART_SIBL
(11,14),(11,18),-0.00981097 # DEPENDENCYPART_SIBL
(11,14),(11,19),0.0110282 # DEPENDENCYPART_SIBL
(11,14),(11,20),0.0271066 # DEPENDENCYPART_SIBL
(11,14),(11,21),-0.0386243 # DEPENDENCYPART_SIBL
(11,14),(11,22),-0.0318163 # DEPENDENCYPART_SIBL
(11,15),(11,16),0.0287564 # DEPENDENCYPART_SIBL
(11,15),(11,17),0.0695299 # DEPENDENCYPART_SIBL
(11,15),(11,18),0.0250873 # DEPENDENCYPART_SIBL
(11,15),(11,19),-0.0203588 # DEPENDENCYPART_SIBL
(11,15),(11,20),0.0693237 # DEPENDENCYPART_SIBL
(11,15),(11,21),-0.020184 # DEPENDENCYPART_SIBL
(11,15),(11,22),-0.00463663 # DEPENDENCYPART_SIBL
(11,16),(11,17),0.0660952 # DEPENDENCYPART_SIBL
(11,16),(11,18),0.0299412 # DEPENDENCYPART_SIBL
(11,16),(11,19),0.107607 # DEPENDENCYPART_SIBL
(11,16),(11,20),-0.0328938 # DEPENDENCYPART_SIBL
(11,16),(11,21),0.0176047 # DEPENDENCYPART_SIBL
(11,16),(11,22),6.64311e-05 # DEPENDENCYPART_SIBL
(11,17),(11,18),-0.00981097 # DEPENDENCYPART_SIBL
(11,17),(11,19),0.0110282 # DEPENDENCYPART_SIBL
(11,17),(11,20),0.0271066 # DEPENDENCYPART_SIBL
(11,17),(11,21),-0.0386243 # DEPENDENCYPART_SIBL
(11,17),(11,22),-0.0318163 # DEPENDENCYPART_SIBL
(11,18),(11,19),-0.0236253 # DEPENDENCYPART_SIBL
(11,18),(11,20),-0.0144386 # DEPENDENCYPART_SIBL
(11,18),(11,21),-0.0344537 # DEPENDENCYPART_SIBL
(11,18),(11,22),-0.0142367 # DEPENDENCYPART_SIBL
(11,19),(11,20),0.0693237 # DEPENDENCYPART_SIBL
(11,19),(11,21),-0.020184 # DEPENDENCYPART_SIBL
(11,19),(11,22),-0.00463663 # DEPENDENCYPART_SIBL
(11,20),(11,21),0.061352 # DEPENDENCYPART_SIBL
(11,20),(11,22),0.0329903 # DEPENDENCYPART_SIBL
(11,21),(11,22),-0.00135582 # DEPENDENCYPART_SIBL
(13,15),(13,16),0.0036616 # DEPENDENCYPART_SIBL
(13,15),(13,18),0.0929718 # DEPENDENCYPART_SIBL
(13,15),(13,19),0.00781753 # DEPENDENCYPART_SIBL
(13,16),(13,18),-0.00668194 # DEPENDENCYPART_SIBL
(13,16),(13,19),-0.00284614 # DEPENDENCYPART_SIBL
(13,18),(13,19),0.0119097 # DEPENDENCYPART_SIBL
(15,4),(15,8),-0.283764 # DEPENDENCYPART_SIBL
(15,4),(15,11),0.0558039 # DEPENDENCYPART_SIBL
(15,4),(15,12),0.0716173 # DEPENDENCYPART_SIBL
(15,4),(15,13),-0.0226164 # DEPENDENCYPART_SIBL
(15,4),(15,14),-0.448274 # DEPENDENCYPART_SIBL
(15,4),(15,19),0.0134043 # DEPENDENCYPART_SIBL
(15,8),(15,11),0.157886 # DEPENDENCYPART_SIBL
(15,8),(15,12),0.348869 # DEPENDENCYPART_SIBL
(15,8),(15,13),0.0755739 # DEPENDENCYPART_SIBL
(15,8),(15,14),-0.613107 # DEPENDENCYPART_SIBL
(15,8),(15,19),-0.0176379 # DEPENDENCYPART_SIBL
(15,11),(15,12),0.316463 # DEPENDENCYPART_SIBL
(15,11),(15,13),-0.0192292 # DEPENDENCYPART_SIBL
(15,11),(15,14),-0.353507 # DEPENDENCYPART_SIBL
(15,11),(15,19),-0.00253578 # DEPENDENCYPART_SIBL
(15,12),(15,13),-0.0599302 # DEPENDENCYPART_SIBL
(15,12),(15,14),-0.408123 # DEPENDENCYPART_SIBL
(15,12),(15,19),-0.00844461 # DEPENDENCYPART_SIBL
(15,13),(15,14),0.0133863 # DEPENDENCYPART_SIBL
(15,13),(15,19),0.0181728 # DEPENDENCYPART_SIBL
(15,14),(15,19),-0.00331961 # DEPENDENCYPART_SIBL
(16,1),(16,3),-0.0102873 # DEPENDENCYPART_SIBL
(16,1),(16,4),-0.0336009 # DEPENDENCYPART_SIBL
(16,1),(16,6),-0.010913 # DEPENDENCYPART_SIBL
(16,1),(16,7),0.248289 # DEPENDENCYPART_SIBL
(16,1),(16,10),-0.0109124 # DEPENDENCYPART_SIBL
(16,1),(16,11),0.00552774 # DEPENDENCYPART_SIBL
(16,1),(16,12),0.248289 # DEPENDENCYPART_SIBL
(16,1),(16,13),0.029953 # DEPENDENCYPART_SIBL
(16,1),(16,14),-0.0648379 # DEPENDENCYPART_SIBL
(16,1),(16,15),-0.0109124 # DEPENDENCYPART_SIBL
(16,1),(16,17),-0.00886297 # DEPENDENCYPART_SIBL
(16,1),(16,18),0.0441601 # DEPENDENCYPART_SIBL
(16,1),(16,19),0.0345589 # DEPENDENCYPART_SIBL
(16,1),(16,20),-0.0422808 # DEPENDENCYPART_SIBL
(16,1),(16,21),0.0772727 # DEPENDENCYPART_SIBL
(16,1),(16,22),0.042275 # DEPENDENCYPART_SIBL
(16,3),(16,4),0.0370587 # DEPENDENCYPART_SIBL
(16,3),(16,6),0.00118968 # DEPENDENCYPART_SIBL
(16,3),(16,7),0.383708 # DEPENDENCYPART_SIBL
(16,3),(16,10),0.00209538 # DEPENDENCYPART_SIBL
(16,3),(16,11),0.0537088 # DEPENDENCYPART_SIBL
(16,3),(16,12),0.383708 # DEPENDENCYPART_SIBL
(16,3),(16,13),-0.00181759 # DEPENDENCYPART_SIBL
(16,3),(16,14),-0.0179215 # DEPENDENCYPART_SIBL
(16,3),(16,15),0.00209538 # DEPENDENCYPART_SIBL
(16,3),(16,17),0.0466162 # DEPENDENCYPART_SIBL
(16,3),(16,18),0.0247603 # DEPENDENCYPART_SIBL
(16,3),(16,19),0.231649 # DEPENDENCYPART_SIBL
(16,3),(16,20),-0.00616146 # DEPENDENCYPART_SIBL
(16,3),(16,21),0.0164021 # DEPENDENCYPART_SIBL
(16,3),(16,22),-0.0122205 # DEPENDENCYPART_SIBL
(16,4),(16,6),-0.0584475 # DEPENDENCYPART_SIBL
(16,4),(16,7),0.236199 # DEPENDENCYPART_SIBL
(16,4),(16,10),-0.0584469 # DEPENDENCYPART_SIBL
(16,4),(16,11),-0.0251589 # DEPENDENCYPART_SIBL
(16,4),(16,12),0.236199 # DEPENDENCYPART_SIBL
(16,4),(16,13),-0.0134949 # DEPENDENCYPART_SIBL
(16,4),(16,14),-0.10939 # DEPENDENCYPART_SIBL
(16,4),(16,15),-0.0584469 # DEPENDENCYPART_SIBL
(16,4),(16,17),-0.0276371 # DEPENDENCYPART_SIBL
(16,4),(16,18),0.0176163 # DEPENDENCYPART_SIBL
(16,4),(16,19),0.0215734 # DEPENDENCYPART_SIBL
(16,4),(16,20),-0.0583897 # DEPENDENCYPART_SIBL
(16,4),(16,21),0.108821 # DEPENDENCYPART_SIBL
(16,4),(16,22),0.0252154 # DEPENDENCYPART_SIBL
(16,6),(16,7),0.37392 # DEPENDENCYPART_SIBL
(16,6),(16,10),0.00622202 # DEPENDENCYPART_SIBL
(16,6),(16,11),0.0561889 # DEPENDENCYPART_SIBL
(16,6),(16,12),0.37392 # DEPENDENCYPART_SIBL
(16,6),(16,13),0.00278987 # DEPENDENCYPART_SIBL
(16,6),(16,14),-0.0157666 # DEPENDENCYPART_SIBL
(16,6),(16,15),0.00622202 # DEPENDENCYPART_SIBL
(16,6),(16,17),0.0476269 # DEPENDENCYPART_SIBL
(16,6),(16,18),0.0281564 # DEPENDENCYPART_SIBL
(16,6),(16,19),0.237278 # DEPENDENCYPART_SIBL
(16,6),(16,20),-0.00527132 # DEPENDENCYPART_SIBL
(16,6),(16,21),0.0175093 # DEPENDENCYPART_SIBL
(16,6),(16,22),-0.00570522 # DEPENDENCYPART_SIBL
(16,7),(16,10),0.0324195 # DEPENDENCYPART_SIBL
(16,7),(16,11),0.114059 # DEPENDENCYPART_SIBL
(16,7),(16,12),0.0345787 # DEPENDENCYPART_SIBL
(16,7),(16,13),-0.0154572 # DEPENDENCYPART_SIBL
(16,7),(16,14),0.00113436 # DEPENDENCYPART_SIBL
(16,7),(16,15),0.0324195 # DEPENDENCYPART_SIBL
(16,7),(16,17),0.0876369 # DEPENDENCYPART_SIBL
(16,7),(16,18),0.0701818 # DEPENDENCYPART_SIBL
(16,7),(16,19),0.0218518 # DEPENDENCYPART_SIBL
(16,7),(16,20),0.0297933 # DEPENDENCYPART_SIBL
(16,7),(16,21),0.219071 # DEPENDENCYPART_SIBL
(16,7),(16,22),0.198796 # DEPENDENCYPART_SIBL
(16,10),(16,11),0.0561891 # DEPENDENCYPART_SIBL
(16,10),(16,12),0.375892 # DEPENDENCYPART_SIBL
(16,10),(16,13),0.00279004 # DEPENDENCYPART_SIBL
(16,10),(16,14),-0.0157665 # DEPENDENCYPART_SIBL
(16,10),(16,15),0.00574894 # DEPENDENCYPART_SIBL
(16,10),(16,17),0.0477941 # DEPENDENCYPART_SIBL
(16,10),(16,18),0.0259515 # DEPENDENCYPART_SIBL
(16,10),(16,19),0.233831 # DEPENDENCYPART_SIBL
(16,10),(16,20),-0.00470338 # DEPENDENCYPART_SIBL
(16,10),(16,21),0.0180525 # DEPENDENCYPART_SIBL
(16,10),(16,22),-0.00815188 # DEPENDENCYPART_SIBL
(16,11),(16,12),0.440393 # DEPENDENCYPART_SIBL
(16,11),(16,13),-0.00255686 # DEPENDENCYPART_SIBL
(16,11),(16,14),-0.01647 # DEPENDENCYPART_SIBL
(16,11),(16,15),-0.0245933 # DEPENDENCYPART_SIBL
(16,11),(16,17),0.0626272 # DEPENDENCYPART_SIBL
(16,11),(16,18),0.0452498 # DEPENDENCYPART_SIBL
(16,11),(16,19),-0.00897235 # DEPENDENCYPART_SIBL
(16,11),(16,20),0.071712 # DEPENDENCYPART_SIBL
(16,11),(16,21),0.220163 # DEPENDENCYPART_SIBL
(16,11),(16,22),0.181437 # DEPENDENCYPART_SIBL
(16,12),(16,13),-0.0154572 # DEPENDENCYPART_SIBL
(16,12),(16,14),0.00113436 # DEPENDENCYPART_SIBL
(16,12),(16,15),0.0324195 # DEPENDENCYPART_SIBL
(16,12),(16,17),0.0876369 # DEPENDENCYPART_SIBL
(16,12),(16,18),0.0701818 # DEPENDENCYPART_SIBL
(16,12),(16,19),0.0218518 # DEPENDENCYPART_SIBL
(16,12),(16,20),0.0297933 # DEPENDENCYPART_SIBL
(16,12),(16,21),0.219071 # DEPENDENCYPART_SIBL
