# _root_ Szerinte a tudomány egyrészt az élet minden szférájába behatolt , másrészt viszont lekerült arról a piedesztálról , amelyre a felvilágosodás korában állították .
#goldHeads=9,3,9,9,6,8,8,9,0,9,13,13,9,16,16,13,13,22,20,21,22,14,9,
#predictedHeads=9,3,9,9,6,8,8,9,0,9,13,13,9,16,16,13,13,22,20,21,22,14,9,
(9,3),(9,6),0.00827016 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.108125 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.00868752 # DEPENDENCYPART_SIBL
(9,3),(9,10),0.00854591 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.011662 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.0589387 # DEPENDENCYPART_SIBL
(9,3),(9,13),0.00487949 # DEPENDENCYPART_SIBL
(9,3),(9,14),0.0395665 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.00685801 # DEPENDENCYPART_SIBL
(9,3),(9,17),0.00854591 # DEPENDENCYPART_SIBL
(9,3),(9,18),-0.0287328 # DEPENDENCYPART_SIBL
(9,3),(9,22),0.00364149 # DEPENDENCYPART_SIBL
(9,3),(9,23),0.0120253 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.0454308 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.0162512 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.114589 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.0147959 # DEPENDENCYPART_SIBL
(9,4),(9,10),0.0142714 # DEPENDENCYPART_SIBL
(9,4),(9,11),0.015726 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.0538308 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.0146446 # DEPENDENCYPART_SIBL
(9,4),(9,14),0.048695 # DEPENDENCYPART_SIBL
(9,4),(9,16),0.0275299 # DEPENDENCYPART_SIBL
(9,4),(9,17),0.0142714 # DEPENDENCYPART_SIBL
(9,4),(9,18),0.0216165 # DEPENDENCYPART_SIBL
(9,4),(9,22),-0.0260888 # DEPENDENCYPART_SIBL
(9,4),(9,23),0.0158199 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.0329611 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.173693 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.0329423 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0122401 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.00262628 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.0138002 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.0233201 # DEPENDENCYPART_SIBL
(9,5),(9,14),0.0337409 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.00346869 # DEPENDENCYPART_SIBL
(9,5),(9,17),0.0122401 # DEPENDENCYPART_SIBL
(9,5),(9,18),0.0108826 # DEPENDENCYPART_SIBL
(9,5),(9,22),-0.0270093 # DEPENDENCYPART_SIBL
(9,5),(9,23),0.0155209 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.12012 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.0356867 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0106269 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0206514 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.0734508 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.0180226 # DEPENDENCYPART_SIBL
(9,6),(9,14),0.0297437 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.0155724 # DEPENDENCYPART_SIBL
(9,6),(9,17),-0.0106269 # DEPENDENCYPART_SIBL
(9,6),(9,18),-0.0385556 # DEPENDENCYPART_SIBL
(9,6),(9,22),-0.0192606 # DEPENDENCYPART_SIBL
(9,6),(9,23),0.00422288 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.132903 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.106646 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0373464 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.132357 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.109519 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.0464936 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.0951629 # DEPENDENCYPART_SIBL
(9,7),(9,17),-0.106646 # DEPENDENCYPART_SIBL
(9,7),(9,18),-0.0739711 # DEPENDENCYPART_SIBL
(9,7),(9,22),-0.112792 # DEPENDENCYPART_SIBL
(9,7),(9,23),-0.0630901 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.00690809 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0183879 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0714782 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0160332 # DEPENDENCYPART_SIBL
(9,8),(9,14),0.0320916 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.0114015 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.00690809 # DEPENDENCYPART_SIBL
(9,8),(9,18),-0.0362077 # DEPENDENCYPART_SIBL
(9,8),(9,22),-0.0172712 # DEPENDENCYPART_SIBL
(9,8),(9,23),0.00615317 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.110324 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.227334 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.194562 # DEPENDENCYPART_SIBL
(9,10),(9,14),0.0178935 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.07652 # DEPENDENCYPART_SIBL
(9,10),(9,17),-0.0129099 # DEPENDENCYPART_SIBL
(9,10),(9,18),0.00674802 # DEPENDENCYPART_SIBL
(9,10),(9,22),0.18552 # DEPENDENCYPART_SIBL
(9,10),(9,23),0.0489202 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.0169069 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.00269493 # DEPENDENCYPART_SIBL
(9,11),(9,14),0.0522338 # DEPENDENCYPART_SIBL
(9,11),(9,16),0.0494052 # DEPENDENCYPART_SIBL
(9,11),(9,17),0.0351849 # DEPENDENCYPART_SIBL
(9,11),(9,18),0.030709 # DEPENDENCYPART_SIBL
(9,11),(9,22),-0.00353563 # DEPENDENCYPART_SIBL
(9,11),(9,23),0.0107927 # DEPENDENCYPART_SIBL
(9,12),(9,13),0.0180054 # DEPENDENCYPART_SIBL
(9,12),(9,14),0.0715142 # DEPENDENCYPART_SIBL
(9,12),(9,16),0.0716688 # DEPENDENCYPART_SIBL
(9,12),(9,17),0.0092611 # DEPENDENCYPART_SIBL
(9,12),(9,18),0.0565671 # DEPENDENCYPART_SIBL
(9,12),(9,22),0.0141907 # DEPENDENCYPART_SIBL
(9,12),(9,23),0.0239615 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.0206069 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.00448328 # DEPENDENCYPART_SIBL
(9,13),(9,17),0.0599745 # DEPENDENCYPART_SIBL
(9,13),(9,18),-0.0275794 # DEPENDENCYPART_SIBL
(9,13),(9,22),-0.00787623 # DEPENDENCYPART_SIBL
(9,13),(9,23),0.0178063 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.00392697 # DEPENDENCYPART_SIBL
(9,14),(9,17),0.0372643 # DEPENDENCYPART_SIBL
(9,14),(9,18),-0.0236692 # DEPENDENCYPART_SIBL
(9,14),(9,22),-0.0596582 # DEPENDENCYPART_SIBL
(9,14),(9,23),-0.00601458 # DEPENDENCYPART_SIBL
(9,16),(9,17),0.0430489 # DEPENDENCYPART_SIBL
(9,16),(9,18),0.0367359 # DEPENDENCYPART_SIBL
(9,16),(9,22),-0.0238231 # DEPENDENCYPART_SIBL
(9,16),(9,23),-1.62179e-05 # DEPENDENCYPART_SIBL
(9,17),(9,18),0.00674802 # DEPENDENCYPART_SIBL
(9,17),(9,22),0.18552 # DEPENDENCYPART_SIBL
(9,17),(9,23),0.0489202 # DEPENDENCYPART_SIBL
(9,18),(9,22),-0.0462888 # DEPENDENCYPART_SIBL
(9,18),(9,23),-0.0174575 # DEPENDENCYPART_SIBL
(9,22),(9,23),0.0158757 # DEPENDENCYPART_SIBL
(11,16),(11,17),0.055094 # DEPENDENCYPART_SIBL
(11,16),(11,20),0.0053817 # DEPENDENCYPART_SIBL
(11,16),(11,23),0.0195121 # DEPENDENCYPART_SIBL
(11,17),(11,20),0.00702434 # DEPENDENCYPART_SIBL
(11,17),(11,23),0.0551519 # DEPENDENCYPART_SIBL
(11,20),(11,23),0.0195116 # DEPENDENCYPART_SIBL
(12,3),(12,6),0.00803623 # DEPENDENCYPART_SIBL
(12,3),(12,7),0.0108471 # DEPENDENCYPART_SIBL
(12,3),(12,8),0.00936304 # DEPENDENCYPART_SIBL
(12,3),(12,9),0.0632585 # DEPENDENCYPART_SIBL
(12,3),(12,10),0.331879 # DEPENDENCYPART_SIBL
(12,3),(12,11),0.0397865 # DEPENDENCYPART_SIBL
(12,3),(12,13),0.00547943 # DEPENDENCYPART_SIBL
(12,3),(12,14),0.0067109 # DEPENDENCYPART_SIBL
(12,3),(12,16),0.136824 # DEPENDENCYPART_SIBL
(12,3),(12,17),0.0181242 # DEPENDENCYPART_SIBL
(12,3),(12,20),0.136411 # DEPENDENCYPART_SIBL
(12,3),(12,22),0.0100429 # DEPENDENCYPART_SIBL
(12,3),(12,23),0.0350501 # DEPENDENCYPART_SIBL
(12,6),(12,7),0.0207175 # DEPENDENCYPART_SIBL
(12,6),(12,8),-0.00217651 # DEPENDENCYPART_SIBL
(12,6),(12,9),0.0629614 # DEPENDENCYPART_SIBL
(12,6),(12,10),0.329743 # DEPENDENCYPART_SIBL
(12,6),(12,11),0.0394383 # DEPENDENCYPART_SIBL
(12,6),(12,13),-0.000573101 # DEPENDENCYPART_SIBL
(12,6),(12,14),0.00701688 # DEPENDENCYPART_SIBL
(12,6),(12,16),0.138474 # DEPENDENCYPART_SIBL
(12,6),(12,17),0.0139558 # DEPENDENCYPART_SIBL
(12,6),(12,20),0.138061 # DEPENDENCYPART_SIBL
(12,6),(12,22),0.00399038 # DEPENDENCYPART_SIBL
(12,6),(12,23),0.0366381 # DEPENDENCYPART_SIBL
(12,7),(12,8),-0.0240281 # DEPENDENCYPART_SIBL
(12,7),(12,9),0.0501015 # DEPENDENCYPART_SIBL
(12,7),(12,10),0.295024 # DEPENDENCYPART_SIBL
(12,7),(12,11),0.0139099 # DEPENDENCYPART_SIBL
(12,7),(12,13),0.0865187 # DEPENDENCYPART_SIBL
(12,7),(12,14),0.00793868 # DEPENDENCYPART_SIBL
(12,7),(12,16),0.0539437 # DEPENDENCYPART_SIBL
(12,7),(12,17),0.00594783 # DEPENDENCYPART_SIBL
(12,7),(12,20),0.0539437 # DEPENDENCYPART_SIBL
(12,7),(12,22),0.0901306 # DEPENDENCYPART_SIBL
(12,7),(12,23),0.0158858 # DEPENDENCYPART_SIBL
(12,8),(12,9),0.0636452 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.328367 # DEPENDENCYPART_SIBL
(12,8),(12,11),0.0408438 # DEPENDENCYPART_SIBL
(12,8),(12,13),-0.000234473 # DEPENDENCYPART_SIBL
(12,8),(12,14),0.0075347 # DEPENDENCYPART_SIBL
(12,8),(12,16),0.14028 # DEPENDENCYPART_SIBL
(12,8),(12,17),0.0151613 # DEPENDENCYPART_SIBL
(12,8),(12,20),0.139867 # DEPENDENCYPART_SIBL
(12,8),(12,22),0.00432901 # DEPENDENCYPART_SIBL
(12,8),(12,23),0.0371814 # DEPENDENCYPART_SIBL
(12,9),(12,10),0.403371 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.0404708 # DEPENDENCYPART_SIBL
(12,9),(12,13),0.116641 # DEPENDENCYPART_SIBL
(12,9),(12,14),-0.00245449 # DEPENDENCYPART_SIBL
(12,9),(12,16),-0.00246779 # DEPENDENCYPART_SIBL
(12,9),(12,17),0.00691192 # DEPENDENCYPART_SIBL
(12,9),(12,20),-0.00262028 # DEPENDENCYPART_SIBL
(12,9),(12,22),0.12369 # DEPENDENCYPART_SIBL
(12,9),(12,23),0.163526 # DEPENDENCYPART_SIBL
(12,10),(12,11),-0.043003 # DEPENDENCYPART_SIBL
(12,10),(12,13),0.153785 # DEPENDENCYPART_SIBL
(12,10),(12,14),0.0144188 # DEPENDENCYPART_SIBL
(12,10),(12,16),0.058363 # DEPENDENCYPART_SIBL
(12,10),(12,17),0.00801192 # DEPENDENCYPART_SIBL
(12,10),(12,20),0.058363 # DEPENDENCYPART_SIBL
(12,10),(12,22),0.164057 # DEPENDENCYPART_SIBL
(12,10),(12,23),0.23577 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.0346167 # DEPENDENCYPART_SIBL
(12,11),(12,14),-0.0179526 # DEPENDENCYPART_SIBL
(12,11),(12,16),0.05347 # DEPENDENCYPART_SIBL
(12,11),(12,17),-0.0206883 # DEPENDENCYPART_SIBL
(12,11),(12,20),0.0530555 # DEPENDENCYPART_SIBL
(12,11),(12,22),0.0340972 # DEPENDENCYPART_SIBL
(12,11),(12,23),0.0177048 # DEPENDENCYPART_SIBL
(12,13),(12,14),0.0788292 # DEPENDENCYPART_SIBL
(12,13),(12,16),0.0690068 # DEPENDENCYPART_SIBL
(12,13),(12,17),0.142227 # DEPENDENCYPART_SIBL
(12,13),(12,20),0.0690068 # DEPENDENCYPART_SIBL
(12,13),(12,22),-0.0304766 # DEPENDENCYPART_SIBL
(12,13),(12,23),0.0663626 # DEPENDENCYPART_SIBL
(12,14),(12,16),-0.0011887 # DEPENDENCYPART_SIBL
(12,14),(12,17),0.0235261 # DEPENDENCYPART_SIBL
(12,14),(12,20),-0.00118962 # DEPENDENCYPART_SIBL
(12,14),(12,22),-0.0482861 # DEPENDENCYPART_SIBL
(12,14),(12,23),0.0273238 # DEPENDENCYPART_SIBL
(12,16),(12,17),0.0700479 # DEPENDENCYPART_SIBL
(12,16),(12,20),0.0127082 # DEPENDENCYPART_SIBL
(12,16),(12,22),-0.0122097 # DEPENDENCYPART_SIBL
(12,16),(12,23),0.0382557 # DEPENDENCYPART_SIBL
(12,17),(12,20),0.117584 # DEPENDENCYPART_SIBL
(12,17),(12,22),0.212851 # DEPENDENCYPART_SIBL
(12,17),(12,23),0.0362054 # DEPENDENCYPART_SIBL
(12,20),(12,22),-0.0122097 # DEPENDENCYPART_SIBL
(12,20),(12,23),0.0382553 # DEPENDENCYPART_SIBL
(12,22),(12,23),0.073343 # DEPENDENCYPART_SIBL
(13,1),(13,3),0.0844089 # DEPENDENCYPART_SIBL
(13,1),(13,4),-0.0003509 # DEPENDENCYPART_SIBL
(13,1),(13,5),-0.011455 # DEPENDENCYPART_SIBL
(13,1),(13,6),0.0772563 # DEPENDENCYPART_SIBL
(13,1),(13,7),-0.0703346 # DEPENDENCYPART_SIBL
(13,1),(13,8),0.0787115 # DEPENDENCYPART_SIBL
(13,1),(13,9),0.010334 # DEPENDENCYPART_SIBL
(13,1),(13,10),0.0899213 # DEPENDENCYPART_SIBL
(13,1),(13,11),-0.0176761 # DEPENDENCYPART_SIBL
(13,1),(13,12),0.0940124 # DEPENDENCYPART_SIBL
(13,1),(13,14),0.0615801 # DEPENDENCYPART_SIBL
(13,1),(13,15),-0.0496688 # DEPENDENCYPART_SIBL
(13,1),(13,16),0.0433571 # DEPENDENCYPART_SIBL
(13,1),(13,17),0.00275288 # DEPENDENCYPART_SIBL
(13,1),(13,18),0.0345015 # DEPENDENCYPART_SIBL
(13,1),(13,19),-0.0496688 # DEPENDENCYPART_SIBL
(13,1),(13,20),0.0412869 # DEPENDENCYPART_SIBL
(13,1),(13,21),0.0433571 # DEPENDENCYPART_SIBL
(13,1),(13,22),-0.00555241 # DEPENDENCYPART_SIBL
(13,1),(13,23),0.0484751 # DEPENDENCYPART_SIBL
(13,3),(13,4),0.0296431 # DEPENDENCYPART_SIBL
(13,3),(13,5),-0.00271949 # DEPENDENCYPART_SIBL
(13,3),(13,6),0.00798886 # DEPENDENCYPART_SIBL
(13,3),(13,7),-0.107838 # DEPENDENCYPART_SIBL
(13,3),(13,8),0.00840622 # DEPENDENCYPART_SIBL
(13,3),(13,9),0.0133364 # DEPENDENCYPART_SIBL
(13,3),(13,10),0.131224 # DEPENDENCYPART_SIBL
(13,3),(13,11),0.0122529 # DEPENDENCYPART_SIBL
(13,3),(13,12),0.125627 # DEPENDENCYPART_SIBL
(13,3),(13,14),0.0383131 # DEPENDENCYPART_SIBL
(13,3),(13,15),-0.0146153 # DEPENDENCYPART_SIBL
(13,3),(13,16),-0.0110077 # DEPENDENCYPART_SIBL
(13,3),(13,17),0.00403277 # DEPENDENCYPART_SIBL
(13,3),(13,18),-0.0299863 # DEPENDENCYPART_SIBL
(13,3),(13,19),-0.0146153 # DEPENDENCYPART_SIBL
(13,3),(13,20),-0.0130747 # DEPENDENCYPART_SIBL
(13,3),(13,21),-0.0110101 # DEPENDENCYPART_SIBL
(13,3),(13,22),0.00216196 # DEPENDENCYPART_SIBL
(13,3),(13,23),0.00949852 # DEPENDENCYPART_SIBL
(13,4),(13,5),-0.0451627 # DEPENDENCYPART_SIBL
(13,4),(13,6),-0.0165216 # DEPENDENCYPART_SIBL
(13,4),(13,7),-0.114321 # DEPENDENCYPART_SIBL
(13,4),(13,8),-0.0150663 # DEPENDENCYPART_SIBL
(13,4),(13,9),-0.0132075 # DEPENDENCYPART_SIBL
(13,4),(13,10),0.044847 # DEPENDENCYPART_SIBL
(13,4),(13,11),-0.0498504 # DEPENDENCYPART_SIBL
(13,4),(13,12),0.0483354 # DEPENDENCYPART_SIBL
(13,4),(13,14),0.044603 # DEPENDENCYPART_SIBL
(13,4),(13,15),-0.0699539 # DEPENDENCYPART_SIBL
(13,4),(13,16),0.0200295 # DEPENDENCYPART_SIBL
(13,4),(13,17),0.00522324 # DEPENDENCYPART_SIBL
(13,4),(13,18),0.0175245 # DEPENDENCYPART_SIBL
(13,4),(13,19),-0.0699539 # DEPENDENCYPART_SIBL
(13,4),(13,20),0.0179593 # DEPENDENCYPART_SIBL
(13,4),(13,21),0.0200295 # DEPENDENCYPART_SIBL
(13,4),(13,22),-0.0303425 # DEPENDENCYPART_SIBL
(13,4),(13,23),0.00985205 # DEPENDENCYPART_SIBL
(13,5),(13,6),-0.0334996 # DEPENDENCYPART_SIBL
(13,5),(13,7),-0.173693 # DEPENDENCYPART_SIBL
(13,5),(13,8),-0.0334808 # DEPENDENCYPART_SIBL
(13,5),(13,9),0.0118049 # DEPENDENCYPART_SIBL
(13,5),(13,10),0.015601 # DEPENDENCYPART_SIBL
(13,5),(13,11),-0.0818427 # DEPENDENCYPART_SIBL
(13,5),(13,12),0.0664787 # DEPENDENCYPART_SIBL
(13,5),(13,14),0.0335566 # DEPENDENCYPART_SIBL
(13,5),(13,15),0.036946 # DEPENDENCYPART_SIBL
(13,5),(13,16),-0.00620579 # DEPENDENCYPART_SIBL
(13,5),(13,17),0.00931779 # DEPENDENCYPART_SIBL
(13,5),(13,18),0.0106984 # DEPENDENCYPART_SIBL
(13,5),(13,19),0.036946 # DEPENDENCYPART_SIBL
(13,5),(13,20),-0.00744697 # DEPENDENCYPART_SIBL
(13,5),(13,21),-0.00620579 # DEPENDENCYPART_SIBL
(13,5),(13,22),-0.0273222 # DEPENDENCYPART_SIBL
(13,5),(13,23),0.0142662 # DEPENDENCYPART_SIBL
(13,6),(13,7),-0.119833 # DEPENDENCYPART_SIBL
(13,6),(13,8),-0.035968 # DEPENDENCYPART_SIBL
(13,6),(13,9),-0.0105699 # DEPENDENCYPART_SIBL
(13,6),(13,10),0.0966987 # DEPENDENCYPART_SIBL
(13,6),(13,11),-0.0119053 # DEPENDENCYPART_SIBL
(13,6),(13,12),0.0963736 # DEPENDENCYPART_SIBL
(13,6),(13,14),0.0284903 # DEPENDENCYPART_SIBL
(13,6),(13,15),-0.0240978 # DEPENDENCYPART_SIBL
(13,6),(13,16),-0.0197221 # DEPENDENCYPART_SIBL
(13,6),(13,17),-0.01514 # DEPENDENCYPART_SIBL
(13,6),(13,18),-0.0398091 # DEPENDENCYPART_SIBL
(13,6),(13,19),-0.0240978 # DEPENDENCYPART_SIBL
(13,6),(13,20),-0.0217891 # DEPENDENCYPART_SIBL
(13,6),(13,21),-0.0197246 # DEPENDENCYPART_SIBL
(13,6),(13,22),-0.0207401 # DEPENDENCYPART_SIBL
(13,6),(13,23),0.00169609 # DEPENDENCYPART_SIBL
(13,7),(13,8),-0.133441 # DEPENDENCYPART_SIBL
(13,7),(13,9),-0.0565738 # DEPENDENCYPART_SIBL
(13,7),(13,10),0.0574689 # DEPENDENCYPART_SIBL
(13,7),(13,11),-0.0824949 # DEPENDENCYPART_SIBL
(13,7),(13,12),0.0319021 # DEPENDENCYPART_SIBL
(13,7),(13,14),-0.0466778 # DEPENDENCYPART_SIBL
(13,7),(13,15),-0.061941 # DEPENDENCYPART_SIBL
(13,7),(13,16),-0.0979 # DEPENDENCYPART_SIBL
(13,7),(13,17),-0.109568 # DEPENDENCYPART_SIBL
(13,7),(13,18),-0.0741553 # DEPENDENCYPART_SIBL
(13,7),(13,19),-0.061941 # DEPENDENCYPART_SIBL
(13,7),(13,20),-0.0991412 # DEPENDENCYPART_SIBL
(13,7),(13,21),-0.0979 # DEPENDENCYPART_SIBL
(13,7),(13,22),-0.113104 # DEPENDENCYPART_SIBL
(13,7),(13,23),-0.0643448 # DEPENDENCYPART_SIBL
(13,8),(13,9),-0.00889523 # DEPENDENCYPART_SIBL
(13,8),(13,10),0.0951294 # DEPENDENCYPART_SIBL
(13,8),(13,11),-0.00878712 # DEPENDENCYPART_SIBL
(13,8),(13,12),0.0983321 # DEPENDENCYPART_SIBL
(13,8),(13,14),0.0308382 # DEPENDENCYPART_SIBL
(13,8),(13,15),-0.0221252 # DEPENDENCYPART_SIBL
(13,8),(13,16),-0.0155512 # DEPENDENCYPART_SIBL
(13,8),(13,17),-0.0114212 # DEPENDENCYPART_SIBL
(13,8),(13,18),-0.0374612 # DEPENDENCYPART_SIBL
(13,8),(13,19),-0.0221252 # DEPENDENCYPART_SIBL
(13,8),(13,20),-0.0176181 # DEPENDENCYPART_SIBL
(13,8),(13,21),-0.0155536 # DEPENDENCYPART_SIBL
(13,8),(13,22),-0.0187507 # DEPENDENCYPART_SIBL
(13,8),(13,23),0.00362638 # DEPENDENCYPART_SIBL
(13,9),(13,10),0.0793449 # DEPENDENCYPART_SIBL
(13,9),(13,11),-0.0257199 # DEPENDENCYPART_SIBL
(13,9),(13,12),-0.00179776 # DEPENDENCYPART_SIBL
(13,9),(13,14),-0.0108567 # DEPENDENCYPART_SIBL
(13,9),(13,15),-0.0321 # DEPENDENCYPART_SIBL
(13,9),(13,16),-0.0114665 # DEPENDENCYPART_SIBL
(13,9),(13,17),-0.000645176 # DEPENDENCYPART_SIBL
(13,9),(13,18),-0.0258944 # DEPENDENCYPART_SIBL
(13,9),(13,19),-0.0321 # DEPENDENCYPART_SIBL
(13,9),(13,20),-0.0128602 # DEPENDENCYPART_SIBL
(13,9),(13,21),-0.0114667 # DEPENDENCYPART_SIBL
(13,9),(13,22),-0.0139071 # DEPENDENCYPART_SIBL
(13,9),(13,23),0.0145016 # DEPENDENCYPART_SIBL
(13,10),(13,11),-0.0456385 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.0514639 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.00406866 # DEPENDENCYPART_SIBL
(13,10),(13,15),-0.0116264 # DEPENDENCYPART_SIBL
(13,10),(13,16),-0.0207507 # DEPENDENCYPART_SIBL
(13,10),(13,17),-0.00782708 # DEPENDENCYPART_SIBL
(13,10),(13,18),-0.0184493 # DEPENDENCYPART_SIBL
(13,10),(13,19),-0.0116264 # DEPENDENCYPART_SIBL
(13,10),(13,20),-0.0219919 # DEPENDENCYPART_SIBL
(13,10),(13,21),-0.0207517 # DEPENDENCYPART_SIBL
(13,10),(13,22),-0.00597003 # DEPENDENCYPART_SIBL
(13,10),(13,23),0.020068 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.0569699 # DEPENDENCYPART_SIBL
(13,11),(13,14),0.0234008 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.0802518 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.00359951 # DEPENDENCYPART_SIBL
(13,11),(13,17),-0.0223165 # DEPENDENCYPART_SIBL
(13,11),(13,18),-0.00367776 # DEPENDENCYPART_SIBL
(13,11),(13,19),-0.0802518 # DEPENDENCYPART_SIBL
(13,11),(13,20),-0.00566967 # DEPENDENCYPART_SIBL
(13,11),(13,21),-0.00359951 # DEPENDENCYPART_SIBL
(13,11),(13,22),-0.0289011 # DEPENDENCYPART_SIBL
(13,11),(13,23),-0.00360467 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.018896 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.010543 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.0409599 # DEPENDENCYPART_SIBL
(13,12),(13,17),0.042117 # DEPENDENCYPART_SIBL
(13,12),(13,18),-0.000612091 # DEPENDENCYPART_SIBL
(13,12),(13,19),-0.010543 # DEPENDENCYPART_SIBL
(13,12),(13,20),-0.0422011 # DEPENDENCYPART_SIBL
(13,12),(13,21),-0.0409599 # DEPENDENCYPART_SIBL
(13,12),(13,22),0.0255095 # DEPENDENCYPART_SIBL
(13,12),(13,23),0.0968797 # DEPENDENCYPART_SIBL
(13,14),(13,15),0.0804041 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.00655782 # DEPENDENCYPART_SIBL
(13,14),(13,17),0.033384 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.0241705 # DEPENDENCYPART_SIBL
(13,14),(13,19),0.0804041 # DEPENDENCYPART_SIBL
(13,14),(13,20),-0.00656184 # DEPENDENCYPART_SIBL
(13,14),(13,21),-0.00655782 # DEPENDENCYPART_SIBL
(13,14),(13,22),-0.0605542 # DEPENDENCYPART_SIBL
(13,14),(13,23),-0.00806453 # DEPENDENCYPART_SIBL
(13,15),(13,16),0.00857998 # DEPENDENCYPART_SIBL
(13,15),(13,17),-0.0109861 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.00600717 # DEPENDENCYPART_SIBL
(13,15),(13,19),0.0888927 # DEPENDENCYPART_SIBL
(13,15),(13,20),0.00857624 # DEPENDENCYPART_SIBL
(13,15),(13,21),0.00857998 # DEPENDENCYPART_SIBL
(13,15),(13,22),-0.0389218 # DEPENDENCYPART_SIBL
(13,15),(13,23),-0.0303492 # DEPENDENCYPART_SIBL
(13,16),(13,17),0.0318624 # DEPENDENCYPART_SIBL
(13,16),(13,18),0.0318485 # DEPENDENCYPART_SIBL
(13,16),(13,19),0.0664684 # DEPENDENCYPART_SIBL
(13,16),(13,20),-0.0267243 # DEPENDENCYPART_SIBL
(13,16),(13,21),-0.0267222 # DEPENDENCYPART_SIBL
(13,16),(13,22),-0.029051 # DEPENDENCYPART_SIBL
(13,16),(13,23),-0.00702219 # DEPENDENCYPART_SIBL
(13,17),(13,18),0.000926598 # DEPENDENCYPART_SIBL
(13,17),(13,19),0.118711 # DEPENDENCYPART_SIBL
(13,17),(13,20),0.0661048 # DEPENDENCYPART_SIBL
(13,17),(13,21),0.0661095 # DEPENDENCYPART_SIBL
(13,17),(13,22),0.178381 # DEPENDENCYPART_SIBL
(13,17),(13,23),0.0409946 # DEPENDENCYPART_SIBL
(13,18),(13,19),0.0839532 # DEPENDENCYPART_SIBL
(13,18),(13,20),0.00332675 # DEPENDENCYPART_SIBL
(13,18),(13,21),0.00333077 # DEPENDENCYPART_SIBL
(13,18),(13,22),-0.0471848 # DEPENDENCYPART_SIBL
